40-11101,http://tshop.r10s.jp/biccamera/cabinet/product/2585/00000003583349_a01.jpg?fitin=700:700,5684.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 日惠製作所 NIKKEI　ニコトーチ120　VL12R型　LED回転灯　120パイ　黄　VL12R-024NY,,<!-- -->■高輝度LEDを効率よく照射する配列になっています。<BR><BR>■グローブにフレネルレンズを設けた構造により視認光の面積を高める設計となっています。<BR><BR>■周辺への注意喚起。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■幅(mm):120<BR>■奥行(mm):120<BR>■高さ(mm):155<BR>■電源(V):ＡＣ/ＤＣ24<BR>■消費電力(W):2.0<BR>■色:黄<BR>■モータレスLED<BR>■回転タイプ<BR>■取り付けビスはステンレスを使用<BR>■欧州RoHS指令対応品<ＢＲ>■【材質／仕上げ】　グローブ:アクリル　ボディー:ABS  <BR>■原産国:日本<BR>■質量:530G</td></tr></table></div>,【送料無料】 日惠製作所 NIKKEI　ニコトーチ120　VL12R型　LED回転灯　120パイ　黄　VL12R-024NY：ビックカメラ楽天市場店,【送料無料】 日惠製作所 NIKKEI　ニコトーチ120　VL12R型　LED回転灯　120パイ　黄　VL12R-024NY,【送料無料】 日惠製作所 NIKKEI　ニコトーチ120　VL12R型　LED回転灯　120パイ　黄　VL12R-024NY[rn]
40-11122,http://tshop.r10s.jp/biccamera/cabinet/product/1867/00000003254215_a01.jpg?fitin=700:700,1192.0000,,花・ガーデン・DIY > DIY・工具 > その他,ヘンケルジャパン ロックタイト タイプＡＲ アクリルスプレー ３４０ｇ ３６６９３０,,<!-- -->■透明なアクリル樹脂を主成分とし、塩素系およびフロン系溶剤は含みません。<BR>■5分で表面乾燥し、耐環境性があります。<BR>■透明なアクリル樹脂を主成分とし、塩素系およびフロン系溶剤は含みません。<BR>■5分で表面感想し、耐環境性<BR><BR>【用途】<BR>・電子部品の防湿、防じん、絶縁。<br>・石膏などの保護に。<br>・電子部品の防湿、防塵、絶縁<br>・石膏等の保護<BR><BR>【仕様】<BR>色:透明、容量（ml）:400<BR>使用温度範囲:-40～125℃、粘度:100cps、色：無職透明　、粘度：100cps　、使用温度：-40～125℃<BR><BR>【材質/仕上】<BR>■アクリル樹脂<BR><BR>【原産国】<BR>アメリカ,ヘンケルジャパン ロックタイト タイプＡＲ アクリルスプレー ３４０ｇ ３６６９３０：ビックカメラ楽天市場店,ヘンケルジャパン ロックタイト タイプＡＲ アクリルスプレー ３４０ｇ ３６６９３０,ヘンケルジャパン ロックタイト タイプＡＲ アクリルスプレー ３４０ｇ ３６６９３０[rn]
40-11123,http://tshop.r10s.jp/biccamera/cabinet/product/1772/00000003203440_a01.jpg?fitin=700:700,1710.4000,,花・ガーデン・DIY > DIY・工具 > その他,三彩化工 ネオリバー スプレーネクスト 420ml NRSN420,,<!-- -->■ジクロロメタンを含まない塗膜はく離剤です。<BR>■油性、水性、ラッカー、一般合成樹脂系塗膜などに対して強力なはく離性能を発揮します。<BR>■アルカリ性のエアゾールタイプです。<BR><BR>【用途】<BR>・鉄部などに塗られた塗膜、印刷インキ、接着剤などのはく離。<BR><BR>【仕様】<BR>色：淡緑色、容量(ｍｌ)：420<BR><BR>【材質/仕上】<BR>■主成分：石油系溶剤<BR><BR>【原産国】<BR>日本,三彩化工 ネオリバー スプレーネクスト 420ml NRSN420：ビックカメラ楽天市場店,三彩化工 ネオリバー スプレーネクスト 420ml NRSN420,三彩化工 ネオリバー スプレーネクスト 420ml NRSN420[rn]
40-11124,http://tshop.r10s.jp/biccamera/cabinet/product/1776/00000003202478_a01.jpg?fitin=700:700,1192.0000,,花・ガーデン・DIY > DIY・工具 > その他,ファインケミカルジャパン 帯電防止剤　REP7　420ml　FC174,,<!-- -->■低湿度下で、驚異的な表面抵抗値です。<BR><BR>【用途】<BR>・エレクトロニクス部品の包装材や作業用手袋の帯電防止に。<BR>・印刷機の静電気防止に。<BR>・静電気による誤作動の防止に。<BR><BR>【仕様】<BR>色：透明、容量(ｍｌ)：420、質量(ｇ)：375<BR>使用温度範囲：0～40℃<BR><BR>【材質/仕上】<BR>■主成分：界面活性剤。<BR><BR>【原産国】<BR>日本,ファインケミカルジャパン 帯電防止剤　REP7　420ml　FC174：ビックカメラ楽天市場店,ファインケミカルジャパン 帯電防止剤　REP7　420ml　FC174,ファインケミカルジャパン 帯電防止剤　REP7　420ml　FC174[rn]
40-11125,http://tshop.r10s.jp/biccamera/cabinet/product/1776/00000003202984_a01.jpg?fitin=700:700,28028.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 日本工作油 タッピングペースト　C-101（一般金属用）　15kg　C10115,,<!-- -->■仕上げ、作業効率が向上し、工具寿命も延長されます。<BR>■刷毛塗り、筆付が可能です。<BR><BR>【用途】<BR>・タッピング作業のみでなく、あらゆる低速切削作業に。<BR>・ねじ切り、フライス、ドリル、リーマ、ダイス通し、オーバーパイプねじ切り、など切削困難な場合。<BR><BR>【仕様】<BR>色：黄色、容量(ｋｇ)：15、質量(ｋｇ)：16.1<BR>使用温度範囲：35℃以下<BR><BR>【材質/仕上】<BR>■主成分：石油系炭化水素（鉱物油）<BR><BR>【原産国】<BR>日本,【送料無料】 日本工作油 タッピングペースト　C-101（一般金属用）　15kg　C10115：ビックカメラ楽天市場店,【送料無料】 日本工作油 タッピングペースト　C-101（一般金属用）　15kg　C10115,【送料無料】 日本工作油 タッピングペースト　C-101（一般金属用）　15kg　C10115[rn]
40-11126,http://tshop.r10s.jp/biccamera/cabinet/product/1772/00000003203133_a01.jpg?fitin=700:700,2315.2000,,花・ガーデン・DIY > DIY・工具 > その他,信越化学工業 高温潤滑用シリコーングリース　100g　G420100,,<!-- -->■高温潤滑用グリースです。<BR>■高温領域での潤滑性に優れています。<BR><BR>【用途】<BR>・高温潤滑用。<BR><BR>【仕様】<BR>ちょう度：281、色：白色、容量(ｋｇ)：0.1、質量(ｋｇ)：0.11<BR>使用温度範囲：ｰ30～250℃<BR><BR>【材質/仕上】<BR>■主成分：シリコーン<BR><BR>【原産国】<BR>日本,信越化学工業 高温潤滑用シリコーングリース　100g　G420100：ビックカメラ楽天市場店,信越化学工業 高温潤滑用シリコーングリース　100g　G420100,信越化学工業 高温潤滑用シリコーングリース　100g　G420100[rn]
40-11127,http://tshop.r10s.jp/biccamera/cabinet/product/1866/00000003256216_a01.jpg?fitin=700:700,1504.0000,,花・ガーデン・DIY > DIY・工具 > その他,古河薬品工業 KYKラクラククーラント赤5L ラクラククーラント赤5L 55－003,,<!-- -->■希釈せずにそのまま使える調合済みのクーラント（凍結温度－40℃）です。<BR>■自動車の冷却系統に使用されている各種金属の発錆防止、冬期の凍結防止や夏季のオーバーヒート予防としてオールシーズン使用できます。<BR>■使用中に不足したクーラント液の補充用としても使用できます。<BR><BR>【用途】<BR>・エンジン冷却液。<BR><BR>【仕様】<BR>色:赤、容量(L):5<BR><BR>【材質/仕上】<BR>■主成分:エチレングリコール<BR><BR>【原産国】<BR>日本,古河薬品工業 KYKラクラククーラント赤5L ラクラククーラント赤5L 55&minus;003：ビックカメラ楽天市場店,古河薬品工業 KYKラクラククーラント赤5L ラクラククーラント赤5L 55&minus;003,古河薬品工業 KYKラクラククーラント赤5L ラクラククーラント赤5L 55&minus;003[rn]
40-11128,http://tshop.r10s.jp/biccamera/cabinet/product/1760/00000003202848_a01.jpg?fitin=700:700,1192.0000,,花・ガーデン・DIY > DIY・工具 > その他,ダイゾー NIC金型洗浄剤スプレー　480ml　4004340,,<!-- -->■金型に付着している油脂類を強力に洗浄します。<BR><BR>【用途】<BR>・金属部品の洗浄・脱脂。<BR><BR>【仕様】<BR>色：透明、容量(ｍｌ)：480、質量(ｇ)：443<BR>使用温度範囲：常温<BR><BR>【材質/仕上】<BR>■主成分：脂肪族炭化水素油<BR><BR>【原産国】<BR>日本,ダイゾー NIC金型洗浄剤スプレー　480ml　4004340：ビックカメラ楽天市場店,ダイゾー NIC金型洗浄剤スプレー　480ml　4004340,ダイゾー NIC金型洗浄剤スプレー　480ml　4004340[rn]
40-11129,http://tshop.r10s.jp/biccamera/cabinet/product/2588/00000003584779_a01.jpg?fitin=700:700,1019.2000,,花・ガーデン・DIY > DIY・工具 > その他,住鉱潤滑剤 住鉱　スミモールドPV　420ML　515136,,<!-- -->■植物系基剤を高濃度に配合した樹脂成形用離型剤です。<BR><BR>■２次加工する成形品の離形に。<BR><BR>■ペインタブル用に。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■色:淡黄色透明<BR>■容量(ml):420<BR>■使用温度範囲:80℃以下<ＢＲ>■【材質／仕上げ】　主成分：植物油脂、石油系溶剤  <BR>■原産国:中国<BR>■質量:540G</td></tr></table></div>,住鉱潤滑剤 住鉱　スミモールドPV　420ML　515136：ビックカメラ楽天市場店,住鉱潤滑剤 住鉱　スミモールドPV　420ML　515136,住鉱潤滑剤 住鉱　スミモールドPV　420ML　515136[rn]
40-11130,http://tshop.r10s.jp/biccamera/cabinet/product/1925/00000003202247_a01.jpg?fitin=700:700,499.2000,,花・ガーデン・DIY > DIY・工具 > その他,ヘンケルジャパン ロックタイト　シールはがしプレミアム　60ml　DSP601,,<!-- -->■付属のＰＯＭ製特大ヘラにより、簡単にシール・ステッカーをはがせます。<BR>■下地を傷めにくく、においが少ないです。<BR><BR>【用途】<BR>・ロッカー、机、ガラス窓などについたシールや値札ラベルステッカー、運送便の送り状などに。<BR><BR>【仕様】<BR>色：透明、容量(ｍｌ)：60、質量(ｇ)：93<BR><BR>【材質/仕上】<BR>■主成分：石油系炭化水素<BR><BR>【原産国】<BR>日本,ヘンケルジャパン ロックタイト　シールはがしプレミアム　60ml　DSP601：ビックカメラ楽天市場店,ヘンケルジャパン ロックタイト　シールはがしプレミアム　60ml　DSP601,ヘンケルジャパン ロックタイト　シールはがしプレミアム　60ml　DSP601[rn]
40-11131,http://tshop.r10s.jp/biccamera/cabinet/product/1760/00000003202584_a01.jpg?fitin=700:700,386.4000,,花・ガーデン・DIY > DIY・工具 > その他,コスモビューティー グリーススプレー（420ml）　15079,,<!-- -->■耐熱性・耐水性・長期潤滑を実現するリチウムグリススプレーです。<BR><BR>【用途】<BR>・長期間の防錆・潤滑。<BR><BR>【仕様】<BR>色：黄淡色、容量(ｍｌ)：420、質量(ｇ)：350<BR>使用温度範囲：-25～120℃<BR><BR>【材質/仕上】<BR>■主成分：石油系溶剤、潤滑油、噴射剤<BR><BR>【原産国】<BR>中国,コスモビューティー グリーススプレー（420ml）　15079：ビックカメラ楽天市場店,コスモビューティー グリーススプレー（420ml）　15079,コスモビューティー グリーススプレー（420ml）　15079[rn]
40-11132,http://tshop.r10s.jp/biccamera/cabinet/product/2606/00000003584705_a01.jpg?fitin=700:700,5857.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 TRUSCO　シリカクリン　90cmX90cm　1枚入　湿度センサー付き　TSCPE-A-9090,,<!-- -->■超薄型で即効性の高い吸湿・消臭シートです。<BR><BR>■多孔質のシリカゲルを表面積を広げる特許製法で短時間で消臭と吸湿を同時に行います。<BR><BR>■３ｍｍ～１０ｍｍの超薄型で場所をとらずに、どこでも使用できます。<BR><BR>■再生サインで吸湿度合が目に見えます。<BR><BR>■繰り返し使用出来るECO素材です。<BR><BR>■アンモニア・酢酸の悪臭やVOC等のニオイも除去できます。<BR><BR>■湿度が気になる場所での湿度調整として。<BR><BR>■ニオイが気になる場所で消臭シートとして。<BR><BR>■輸送時の湿度管理に。<BR><BR>■ロッカーなどの密閉空間の消臭用<BR><BR>■制御盤などの精密機械の湿度管理に。<BR><BR>■ヘルメット・安全靴の汗・ニオイ除去に。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■幅(mm):900<BR>■厚み(mm):約5<BR>■長さ(mm):900<BR>■最大理論吸湿量(ml):約３８９<BR>■マグネット必要数（目安）:１枚につき６個<BR>■色:ブルー<ＢＲ>■【材質／仕上げ】　主成分:シリカゲル、ポリプロピレン(PP)、ポリエチレン(PE) <ＢＲ>■注意・シリカゲルは、地殻のケイ素で安全・安心な物質です。<BR>■原産国:中国<BR>■質量:850G</td></tr></table></div>,【送料無料】 トラスコ中山 TRUSCO　シリカクリン　90cmX90cm　1枚入　湿度センサー付き　TSCPE-A-9090：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 TRUSCO　シリカクリン　90cmX90cm　1枚入　湿度センサー付き　TSCPE-A-9090,【送料無料】 トラスコ中山 TRUSCO　シリカクリン　90cmX90cm　1枚入　湿度センサー付き　TSCPE-A-9090[rn]
40-11133,http://tshop.r10s.jp/biccamera/cabinet/product/2585/00000003577488_a01.jpg?fitin=700:700,68420.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 菱江化学 菱江化学 ダイアナND 10g DIANA_ND-10G,,<!-- -->■防錆成分を気化して、流通・保管中の製品を錆から守ります。<BR><BR>■劇物指定対象外の商品です。<BR><BR>■様々な鉄鋼製品の流通・保存に。<BR><BR>■錆による品質クレームの軽減に。<div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■幅(mm):125<BR>■長さ(mm):80<BR>■タイプ:不織布入(10g小袋×400個)/缶<BR>■【材質／仕上げ】　主成分:ジシクロヘキシルアミン亜硝酸塩、有機カルボン酸塩 <BR>■注意・燃焼性がありますので、火気に注意して下さい。・保管は直射日光、湿気は避け、冷暗所に保管して下さい。<BR>■原産国:日本<BR>■質量:6.13KG</td></tr></table></div>,【送料無料】 菱江化学 菱江化学 ダイアナND 10g DIANA_ND-10G：ビックカメラ楽天市場店,【送料無料】 菱江化学 菱江化学 ダイアナND 10g DIANA_ND-10G,【送料無料】 菱江化学 菱江化学 ダイアナND 10g DIANA_ND-10G[rn]
40-11134,http://tshop.r10s.jp/biccamera/cabinet/product/1818/00000003202506_a01.jpg?fitin=700:700,1200.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 光明丹　450g　KM045,,<!-- -->■擦り合わせ作業の定番品です。<BR><BR>【用途】<BR>・防錆、防腐、焼付防止。<BR><BR>【仕様】<BR>色：朱、容量(ｋｇ)：0.45、質量(ｋｇ)：0.5<BR>朱色粉末状、容器：缶<BR><BR>【材質/仕上】<BR>■主成分：四酸化三鉛（Ｐｂ3Ｏ4）<BR><BR>【原産国】<BR>日本,トラスコ中山 光明丹　450g　KM045：ビックカメラ楽天市場店,トラスコ中山 光明丹　450g　KM045,トラスコ中山 光明丹　450g　KM045[rn]
40-11135,http://tshop.r10s.jp/biccamera/cabinet/product/2588/00000003584777_a01.jpg?fitin=700:700,1537.6000,,花・ガーデン・DIY > DIY・工具 > その他,住鉱潤滑剤 住鉱　スミカバーブラック　420ML　504036,,<!-- -->■黒色系プラスチック表面の補修、艶出しに最適です。<BR><BR>■梨地、シボ面のウエルドライン、艶等の修正、補修。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■色:黒<BR>■容量(ml):420<BR>■使用温度範囲(℃):40℃以下<BR>■使用温度範囲:40℃以下<ＢＲ>■【材質／仕上げ】　主成分：カーボンブラック、石油系溶剤  <BR>■原産国:日本<BR>■質量:350G</td></tr></table></div>,住鉱潤滑剤 住鉱　スミカバーブラック　420ML　504036：ビックカメラ楽天市場店,住鉱潤滑剤 住鉱　スミカバーブラック　420ML　504036,住鉱潤滑剤 住鉱　スミカバーブラック　420ML　504036[rn]
40-11136,http://tshop.r10s.jp/biccamera/cabinet/product/1734/00000003202492_a01.jpg?fitin=700:700,11844.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 ゼラスト防錆剤　幅600×長さ800×厚み0．08　50枚入　TZF6080,,<!-- -->■商品の小分け管理と防錆効果が同時に行えます。<BR>■コンテナとの併用により、防錆管理をしながら部品を必要なだけ取り出していく継続使用が可能です。<BR>■海外で在庫が必要となるサービスパーツ類に対しても輸出時からそのまま海外在庫時まで併用で防錆可能です。（約1年間）<BR><BR>【用途】<BR>・鉄、鋳鉄部品の保管、輸出時防錆。<BR><BR>【仕様】<BR>幅(ｍｍ)：600、厚み(ｍｍ)：0.08、長さ(ｍｍ)：800、質量(ｋｇ)：3.6<BR>耐熱温度：80℃、未開封期限：5年、開封後期限：12ヵ月、使用温度範囲：-10～80℃<BR><BR>【材質/仕上】<BR>■ポリエチレン（ＰＥ）（ゼラスト添加物）<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 ゼラスト防錆剤　幅600&times;長さ800&times;厚み0．08　50枚入　TZF6080：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 ゼラスト防錆剤　幅600&times;長さ800&times;厚み0．08　50枚入　TZF6080,【送料無料】 トラスコ中山 ゼラスト防錆剤　幅600&times;長さ800&times;厚み0．08　50枚入　TZF6080[rn]
40-11137,http://tshop.r10s.jp/biccamera/cabinet/product/1753/00000003202742_a01.jpg?fitin=700:700,5598.4000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 住鉱潤滑剤 グリース（耐熱・耐水・高荷重用）　スミプレックスMP　No．2　2．5kg　SMP252,,<!-- -->■高温下で固化しにくい耐熱グリスです。<BR>■有機モリブデン配合のリチウムコンプレックスグリスです。<BR>■潤滑性、付着性、防錆性、耐水性に優れ、淡黄色で周辺をきれいに保ちます。<BR><BR>【用途】<BR>・高温や高荷重下の軸受、ギア、ピン、ヒンジなど。<BR><BR>【仕様】<BR>ちょう度：Ｎｏ.2、色：黄、容量(ｋｇ)：2.5、質量(ｋｇ)：2.8<BR>使用温度範囲：-20～200℃、容器：缶<BR><BR>【材質/仕上】<BR>■主成分：鉱物油、リチウム複合石けん、有機モリブデン化合物<BR><BR>【原産国】<BR>日本,【送料無料】 住鉱潤滑剤 グリース（耐熱・耐水・高荷重用）　スミプレックスMP　No．2　2．5kg　SMP252：ビックカメラ楽天市場店,【送料無料】 住鉱潤滑剤 グリース（耐熱・耐水・高荷重用）　スミプレックスMP　No．2　2．5kg　SMP252,【送料無料】 住鉱潤滑剤 グリース（耐熱・耐水・高荷重用）　スミプレックスMP　No．2　2．5kg　SMP252[rn]
40-11138,http://tshop.r10s.jp/biccamera/cabinet/product/1753/00000003202803_a01.jpg?fitin=700:700,1019.2000,,花・ガーデン・DIY > DIY・工具 > その他,住鉱潤滑剤 ペースト（組立用）　モリペースト500　50g（チューブ）　LP005,,<!-- -->■摺動部に少量塗布するだけで組立時のかじりや、組立後の摩耗、焼付を防止します。<BR><BR>【用途】<BR>・機械部品組立時の回転、摺動部の摩擦面に。<BR>・ピン、ねじの焼付防止。<BR><BR>【仕様】<BR>色：灰黒色、容量(ｇ)：50、質量(ｇ)：55<BR>使用温度範囲：350℃以下、容器：チューブ<BR><BR>【材質/仕上】<BR>■主成分：鉱物油、二硫化モリブデン、石油系ワセリン<BR><BR>【原産国】<BR>日本,住鉱潤滑剤 ペースト（組立用）　モリペースト500　50g（チューブ）　LP005：ビックカメラ楽天市場店,住鉱潤滑剤 ペースト（組立用）　モリペースト500　50g（チューブ）　LP005,住鉱潤滑剤 ペースト（組立用）　モリペースト500　50g（チューブ）　LP005[rn]
40-11139,http://tshop.r10s.jp/biccamera/cabinet/product/1772/00000003203145_a01.jpg?fitin=700:700,1969.6000,,花・ガーデン・DIY > DIY・工具 > その他,信越化学工業 シリコーンゴム用オイルコンパウンド　100g　KS650N100,,<!-- -->■シリコーンゴム用オイルコンパウンドです。<BR>■シリコーンゴムを膨潤させません。<BR><BR>【用途】<BR>・電気絶縁、シール用。<BR><BR>【仕様】<BR>色：乳白色半透明、容量(ｋｇ)：0.1<BR>使用温度範囲：-50～180℃<BR><BR>【材質/仕上】<BR>■主成分：シリコーン<BR><BR>【原産国】<BR>日本,信越化学工業 シリコーンゴム用オイルコンパウンド　100g　KS650N100：ビックカメラ楽天市場店,信越化学工業 シリコーンゴム用オイルコンパウンド　100g　KS650N100,信越化学工業 シリコーンゴム用オイルコンパウンド　100g　KS650N100[rn]
40-11140,http://tshop.r10s.jp/biccamera/cabinet/product/1753/00000003202809_a01.jpg?fitin=700:700,9080.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 住鉱潤滑剤 ペースト（組立用）　モリペースト500　1kg　LP10,,<!-- -->■摺動部に少量塗布するだけで組立時のかじりや、組立後の摩耗、焼付を防止します。<BR><BR>【用途】<BR>・機械部品組立時の回転、摺動部の摩擦面に。<BR>・ピン、ねじの焼付防止。<BR><BR>【仕様】<BR>色：灰黒色、容量(ｇ)：1000、質量(ｇ)：1200<BR>使用温度範囲：350℃以下、容器：チューブ<BR><BR>【材質/仕上】<BR>■主成分：鉱物油、二硫化モリブデン、石油系ワセリン<BR><BR>【原産国】<BR>日本,【送料無料】 住鉱潤滑剤 ペースト（組立用）　モリペースト500　1kg　LP10：ビックカメラ楽天市場店,【送料無料】 住鉱潤滑剤 ペースト（組立用）　モリペースト500　1kg　LP10,【送料無料】 住鉱潤滑剤 ペースト（組立用）　モリペースト500　1kg　LP10[rn]
40-11141,http://tshop.r10s.jp/biccamera/cabinet/product/1652/00000003144966_a01.jpg?fitin=700:700,6808.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 ハタヤリミテッド 温度センサー付コードリール　単相100V30M　GS30S,,<!-- -->■電線の異常な温度上昇を感知し自動的に電源を遮断します。危険な電線の溶解・焼損を未然に防ぎます。安心の保護機能です。<BR><BR>【仕様】<BR>電線仕様長さ(m)：30、電線仕様太さ(mm[[の2乗]])：2．00、電線仕様芯数(C)：2、定格電流(A)：5、コンセント仕様定格：2P・15A・125V、コンセント仕様形状：[[二芯]]、コンセント仕様個数：4、温度センサー：○、通電ランプ：-、接地端子：-、2P・3P兼用プラグ：-、質量(kg)：6．6<BR>AC100V、電線種：VCT、防じんシャッター付<BR><BR>【原産国】<BR>日本,【送料無料】 ハタヤリミテッド 温度センサー付コードリール　単相100V30M　GS30S：ビックカメラ楽天市場店,【送料無料】 ハタヤリミテッド 温度センサー付コードリール　単相100V30M　GS30S,【送料無料】 ハタヤリミテッド 温度センサー付コードリール　単相100V30M　GS30S[rn]
40-11142,http://tshop.r10s.jp/biccamera/cabinet/product/1652/00000003145032_a01.jpg?fitin=700:700,317.6000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤリミテッド プラグカッパー　2P・3Pプラグ防雨型変換カバー　KGS1,,<!-- -->■普通の2Pプラグに取り付けるだけで防雨プラグに簡単、早変わりします。<BR><BR>■どんなプラグにもマッチする万能な屋外用プラグカバーです。<BR><BR>■取り付けが簡単で瞬時に屋外用プラグに変身します。（相手側のコンセントも防雨型を使用しないと防水効果はありません）<BR><BR>■適合電線は外径7．4mm以上の丸形電線です。<BR><BR>【用途】<BR>・あらゆる屋外作業現場を対象といたします。<BR><BR>【仕様】<BR>適合外径(mm)：φ7．4~φ13丸形コード、質量(g)：16<BR><BR>【注意】<BR>・プラグ別売<BR><BR>【原産国】<BR>日本,ハタヤリミテッド プラグカッパー　2P・3Pプラグ防雨型変換カバー　KGS1：ビックカメラ楽天市場店,ハタヤリミテッド プラグカッパー　2P・3Pプラグ防雨型変換カバー　KGS1,ハタヤリミテッド プラグカッパー　2P・3Pプラグ防雨型変換カバー　KGS1[rn]
40-11143,http://tshop.r10s.jp/biccamera/cabinet/product/1758/00000003204992_a01.jpg?fitin=700:700,4916.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 ハタヤリミテッド 防雨型サンデーレインボーリール　単相100Vアース付　20m　SG20K,,<!-- -->■コンセント盤配電部を一体モールド成型することで完全な防水処理が可能です。<BR>■防雨型4ッ口コンセント付です。<BR><BR>【用途】<BR>・屋外でのあらゆる作業に。<BR><BR>【仕様】<BR>電線仕様長さ(ｍ)：20、電線仕様太さ(ｍｍ[[の2乗]])：2、電線仕様芯数(Ｃ)：3、定格電流(Ａ)：5、コンセント仕様定格：2Ｐ・15Ａ・125Ｖ アース付、コンセント仕様形状：[[三芯]]、コンセント仕様個数：4、温度センサー：-、通電ランプ：-、2Ｐ・3Ｐ兼用プラグ：○、質量(ｋｇ)：5.6<BR>AC100V、電線種：VCT、防雨型コンセントキャップ、アースなし、ブレーカーなし<BR><BR>【原産国】<BR>日本,【送料無料】 ハタヤリミテッド 防雨型サンデーレインボーリール　単相100Vアース付　20m　SG20K：ビックカメラ楽天市場店,【送料無料】 ハタヤリミテッド 防雨型サンデーレインボーリール　単相100Vアース付　20m　SG20K,【送料無料】 ハタヤリミテッド 防雨型サンデーレインボーリール　単相100Vアース付　20m　SG20K[rn]
40-11144,http://tshop.r10s.jp/biccamera/cabinet/product/1941/00000003135767_a01.jpg?fitin=700:700,32728.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 ハタヤリミテッド 三相200V型ブレーカーリール　3.5スケア電線　30mアース付　20A　BL332M,,<!-- -->■BL-332Mはプロ仕様の太さ3．5mm[[の2乗]]ケーブルを使用しています。<BR><BR>■電圧ドロップが小さいので機器の安定したパワーが得られます。<BR><BR>■複数の機器を同時に使用できるので作業効率がアップします。<BR><BR>■油やホコリの侵入を防ぐコンセントキャップ付です。<BR><BR>【仕様】<BR>電線仕様長さ(m)：30、電線仕様太さ(mm[[の2乗]])：3．5、電線仕様芯数(C)：4、定格電流(A)：5、コンセント仕様定格：3P・20A・250V アース付、コンセント仕様形状：[[四芯]]、コンセント仕様個数：2、温度センサー：-、通電ランプ：○、接地端子：-、2P・3P兼用プラグ：-、質量(kg)：14．6<BR>三相200V、電線種：ソフトンVCT、コンセントキャップ付、漏電保護専用、アース付<BR><BR>【原産国】<BR>日本,【送料無料】 ハタヤリミテッド 三相200V型ブレーカーリール　3.5スケア電線　30mアース付　20A　BL332M：ビックカメラ楽天市場店,【送料無料】 ハタヤリミテッド 三相200V型ブレーカーリール　3.5スケア電線　30mアース付　20A　BL332M,【送料無料】 ハタヤリミテッド 三相200V型ブレーカーリール　3.5スケア電線　30mアース付　20A　BL332M[rn]
