40-10801,http://tshop.r10s.jp/biccamera/cabinet/product/1687/00000003181714_a01.jpg?fitin=700:700,1969.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＮＴＮ G　ベアリングユニット 　UCFC205D1,,<!-- -->●軸受箱の取り付け面に円筒状の印ろうを設け、フレームにはめ込む形式になっており、取り付けの際に偏芯が少なく、位置決めも正確です。<BR><BR>【用途】<BR>●ドラムプーリなどに。<BR><BR>【仕様】<BR>●軸径(mm)：25●全長(mm)：115●全高(mm)：115●取付ピッチ(mm)：90●取付ねじ：M10●質量(kg)：1<BR>●給油式印ろう付き丸フランジ形●止めねじ式●使用温度範囲：-15～100℃<BR><BR>【材質/仕上】<BR>●軸受：高炭素クロム軸受鋼●軸受箱：鋳鉄<BR><BR>【原産国】<BR>日本,ＮＴＮ G　ベアリングユニット 　UCFC205D1：ビックカメラ楽天市場店,ＮＴＮ G　ベアリングユニット 　UCFC205D1,ＮＴＮ G　ベアリングユニット 　UCFC205D1[rn]
40-10824,http://tshop.r10s.jp/biccamera/cabinet/product/1703/00000003187696_a01.jpg?fitin=700:700,749.6000,,花・ガーデン・DIY > DIY・工具 > その他,ニチフ端子工業 絶縁被覆付圧着端子　Y形　TGV2Y3.5BLU （1袋100個）,,<!-- -->■接触面（舌部）の取り付け穴の一方が開いており、ねじを完全に外さなくても取り付けができる絶縁被覆付圧着端子です。<BR><BR>【用途】<BR>■軟鋼のより線電線の接続に。<BR><BR>【仕様】<BR>電線抱合範囲より線mm[[の2乗]]：1.04～2.63、電線抱合範囲AWG：16－14、外寸(mm)：6.4、スタッド径(mm)：3.7、全長(mm)：21.3、内寸(mm)：3.9、JIS規格品：×、電線抱合範囲単線mm：-、色：青、質量(g)：90<BR><BR>【材質/仕上】<BR>■端子：無酸素銅（Ｃ1020）/電気すずメッキ■絶縁体：ポリ塩化ビニール<BR><BR>【注意】<BR>■軟銅より線を接続するために使用します。■電線抱合範囲内でご使用ください。■当社指定の適用圧着工具をご使用ください。<BR><BR>【原産国】<BR>日本,ニチフ端子工業 絶縁被覆付圧着端子　Y形　TGV2Y3.5BLU （1袋100個）：ビックカメラ楽天市場店,ニチフ端子工業 絶縁被覆付圧着端子　Y形　TGV2Y3.5BLU （1袋100個）,ニチフ端子工業 絶縁被覆付圧着端子　Y形　TGV2Y3.5BLU （1袋100個）[rn]
40-10825,http://tshop.r10s.jp/biccamera/cabinet/product/0150/00000001456506_a01.jpg?fitin=700:700,1537.6000,,花・ガーデン・DIY > DIY・工具 > その他,日機 クーラントシステム3／4　ホース　140mm　2本入　86061,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■繋ぎ目の勘合が固く、姿勢保持能力が高いです。<BR><BR>■耐薬品性・耐熱性・耐衝撃性に優れております。<BR><BR>【仕様】<BR>長さ(mm)：150、呼びサイズ：3/4、リンク：12、質量(g)：25<BR>ホース2本組セット<BR><BR>【材質/仕上】<BR>■アセタール樹脂<BR><BR>【注意】<BR>・専用組立工具が必要です。<BR>・リンク数は2本合わせての個数です。<BR><BR>【原産国】<BR>台湾,日機 クーラントシステム3／4　ホース　140mm　2本入　86061：ビックカメラ楽天市場店,日機 クーラントシステム3／4　ホース　140mm　2本入　86061,AppStore/AndroidMarketでビック楽天を検索。日機 クーラントシステム3／4　ホース　140mm　2本入　86061[rn]
40-10826,http://tshop.r10s.jp/biccamera/cabinet/product/0783/00000001828151_a01.jpg?fitin=700:700,1624.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 クーラントライナー　丸ノズル　サイズ3／8　ノズル口径1／2　CL3N03 （1袋10個）,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■材質はポリアセタール樹脂を使用しており、機械的強度、耐疲労性、寸法安定性、耐油、耐薬品性に優れています。<BR><BR>■また、使用温度域も-30℃～+80℃と広いのが特長です。<BR><BR>【仕様】<BR>長さ(mm)：33、呼びサイズ：3/8、口径(mm)：1/2（12.7）、質量(g)：100<BR>丸ノズル<BR><BR>【材質/仕上】<BR>■ポリアセタール<BR><BR>【注意】<BR>・クーラントライナーの脱着にはジョイントプライヤーが必要です。サイズに合わせて選んでください。<BR>・使用可能外気温度は約70℃以下となります。<BR><BR>【原産国】<BR>台湾,トラスコ中山 クーラントライナー　丸ノズル　サイズ3／8　ノズル口径1／2　CL3N03 （1袋10個）：ビックカメラ楽天市場店,トラスコ中山 クーラントライナー　丸ノズル　サイズ3／8　ノズル口径1／2　CL3N03 （1袋10個）,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 クーラントライナー　丸ノズル　サイズ3／8　ノズル口径1／2　CL3N03 （1袋10個）[rn]
40-10827,http://tshop.r10s.jp/biccamera/cabinet/product/1255/00000002106589_a01.jpg?fitin=700:700,2365.6000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 クーラントライナー　フレアノズル　サイズ3／8　ノズル幅11／4　CL3N09 （1袋10個）,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■材質はポリアセタール樹脂を使用しており、機械的強度、耐疲労性、寸法安定性、耐油、耐薬品性に優れています。<BR><BR>■また、使用温度域も-30℃～+80℃と広いのが特長です。<BR><BR>【仕様】<BR>長さ(mm)：38.6、呼びサイズ：3/8、ノズル幅(mm)：1 1/4（32.0）、質量(g)：200<BR><BR>【材質/仕上】<BR>■ポリアセタール<BR><BR>【注意】<BR>・クーラントライナーの脱着にはジョイントプライヤーが必要です。サイズに合わせて選んでください。<BR>・使用可能外気温度は約70℃以下となります。<BR><BR>【原産国】<BR>台湾,トラスコ中山 クーラントライナー　フレアノズル　サイズ3／8　ノズル幅11／4　CL3N09 （1袋10個）：ビックカメラ楽天市場店,トラスコ中山 クーラントライナー　フレアノズル　サイズ3／8　ノズル幅11／4　CL3N09 （1袋10個）,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 クーラントライナー　フレアノズル　サイズ3／8　ノズル幅11／4　CL3N09 （1袋10個）[rn]
40-10828,http://tshop.r10s.jp/biccamera/cabinet/product/1255/00000002106743_a01.jpg?fitin=700:700,159658.4000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 超硬付レースセンター　MT5　チップ径45mm　TRSP545,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■超硬チップ付です。<BR><BR>【用途】<BR>・加工物の振れを防止。<BR><BR>【仕様】<BR>シャンク：MT5、全長(mm)：200、チップ径(mm)：45、質量(kg)：1.9<BR>公称角度60°<BR><BR>【材質/仕上】<BR>■機械構造用炭素鋼（S45C）■焼き入れ研磨品<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 超硬付レースセンター　MT5　チップ径45mm　TRSP545：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 超硬付レースセンター　MT5　チップ径45mm　TRSP545,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 トラスコ中山 超硬付レースセンター　MT5　チップ径45mm　TRSP545[rn]
40-10829,http://tshop.r10s.jp/biccamera/cabinet/product/1255/00000002106741_a01.jpg?fitin=700:700,25963.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 超硬付ハーフセンター　MT4　3．5mm　THSP41435,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■レースセンターの先端部をワークと接しないようにカットしてあります。<BR><BR>【用途】<BR>・センター振れを防止。<BR><BR>【仕様】<BR>シャンク：MT4、全長(mm)：195、チップ径(mm)：14、ハーフ長さ(mm)：70、端面距離(mm)：3.5、<BR>質量(kg)：0.9<BR><BR>【材質/仕上】<BR>■機械構造用炭素鋼（S45C）■焼き入れ研磨品■超硬チップJIS B 4104適用品<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 超硬付ハーフセンター　MT4　3．5mm　THSP41435：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 超硬付ハーフセンター　MT4　3．5mm　THSP41435,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 トラスコ中山 超硬付ハーフセンター　MT4　3．5mm　THSP41435[rn]
40-10830,http://tshop.r10s.jp/biccamera/cabinet/product/1098/00000002014526_a01.jpg?fitin=700:700,3092.8000,,花・ガーデン・DIY > DIY・工具 > その他,イマオコーポレーション ダブルエッジクランプ（セルフカット）28．6X12．7　M4　MBDES04,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■六角レンチによる締め付けで、一度に2個のワークをクランプできます。<BR><BR>■ワーク形状に合わせたセルフカットでご使用できます。<BR><BR>【用途】<BR>・シンプル＆コンパクト設計により、ワークの多数個取りに最適です。<BR><BR>【仕様】<BR>幅(mm)：28.6、高さ(mm)：12.7、クランプ力(N)：2200、奥行(mm)：15.7、ねじ寸法：M4×0.70、質量(g)：15<BR><BR>【原産国】<BR>アメリカ,イマオコーポレーション ダブルエッジクランプ（セルフカット）28．6X12．7　M4　MBDES04：ビックカメラ楽天市場店,イマオコーポレーション ダブルエッジクランプ（セルフカット）28．6X12．7　M4　MBDES04,AppStore/AndroidMarketでビック楽天を検索。イマオコーポレーション ダブルエッジクランプ（セルフカット）28．6X12．7　M4　MBDES04[rn]
40-10831,http://tshop.r10s.jp/biccamera/cabinet/product/0783/00000001828334_a01.jpg?fitin=700:700,7844.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 イマオコーポレーション スロットクランプ（黒皮面用）M12　MBSC12A,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■シンプル・コンパクト設計により、薄物ワークのクランプに最適です。<BR><BR>【用途】<BR>・シンプル＆コンパクト設計により、薄物ワークに最適です。<BR><BR>【仕様】<BR>幅(mm)：38.1、クランプ力(N)：50000、奥行(mm)：38.1、ねじ寸法：M12.0×30L、用途：黒皮面用、<BR>質量(g)：200<BR><BR>【原産国】<BR>アメリカ,【送料無料】 イマオコーポレーション スロットクランプ（黒皮面用）M12　MBSC12A：ビックカメラ楽天市場店,【送料無料】 イマオコーポレーション スロットクランプ（黒皮面用）M12　MBSC12A,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 イマオコーポレーション スロットクランプ（黒皮面用）M12　MBSC12A[rn]
40-10832,http://tshop.r10s.jp/biccamera/cabinet/product/1680/00000003176269_a01.jpg?fitin=700:700,4648.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 ユキワ精工 ドリルミルコレット　YCC1313,,<!-- -->●ダブルテーパ方式によって強力な把握力があります。<BR><BR>【仕様】<BR>●把握径(mm)：12.0～13.0●適合機種：NDC13●質量(g)：30<BR><BR><BR>【原産国】<BR>日本,【送料無料】 ユキワ精工 ドリルミルコレット　YCC1313：ビックカメラ楽天市場店,【送料無料】 ユキワ精工 ドリルミルコレット　YCC1313,【送料無料】 ユキワ精工 ドリルミルコレット　YCC1313[rn]
40-10833,http://tshop.r10s.jp/biccamera/cabinet/product/1780/00000003176878_a01.jpg?fitin=700:700,25668.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 ノガジャパン コブラ基本ユニット　CB2000,,<!-- -->●0.1cc以下の少量の切削液を特定のポイントに正確に噴射させることができます。<BR>●標準キットには、リミットバルブが付属しています。メカ式にエアをオンオフするのに便利です。<BR>●補助エア取り込み口を同時使用すると、先端のノズルを調整するだけで、切削液だけの噴射とスプレー状の噴射が、容易に行えます。<BR>●圧縮空気3～9気圧程度で使用します。<BR><BR>【用途】<BR>●切削油の噴射に。<BR><BR>【仕様】<BR>●ノズル数：1●ノズル長さ(mm)：***●穴径：M6×1.0●品名：コブラ基本ユニット●質量(g)：140<BR>●適応流体：水溶性切削液・油性切削液<BR><BR>【セット内容/付属品】<BR><BR><BR>【原産国】<BR>イスラエル,【送料無料】 ノガジャパン コブラ基本ユニット　CB2000：ビックカメラ楽天市場店,【送料無料】 ノガジャパン コブラ基本ユニット　CB2000,【送料無料】 ノガジャパン コブラ基本ユニット　CB2000[rn]
40-10834,http://tshop.r10s.jp/biccamera/cabinet/product/0941/00000001921360_a01.jpg?fitin=700:700,33116.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 ドリルソケット焼入研磨品　ロング　MT3XMT3　首下250mm　TDCL33250,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■モールステーパのサイズを変更したいときや、延長したいときに使用します。<BR><BR>■ドリルソケットの首下が長いので、ワークまでの間隔があいている時に便利です。<BR><BR>【用途】<BR>・モールステーパのサイズを変更するときに。<BR>・ワークの位置が下部の場合の延長用に。<BR><BR>【仕様】<BR>内側テーパ：MT3、外側テーパ：MT3、全長(mm)：349、首下(mm)：250、質量(kg)：1.35<BR><BR>【材質/仕上】<BR>■クロムモリブデン鋼(SCM415)■焼入研磨品<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 ドリルソケット焼入研磨品　ロング　MT3XMT3　首下250mm　TDCL33250：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 ドリルソケット焼入研磨品　ロング　MT3XMT3　首下250mm　TDCL33250,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 トラスコ中山 ドリルソケット焼入研磨品　ロング　MT3XMT3　首下250mm　TDCL33250[rn]
40-10835,http://tshop.r10s.jp/biccamera/cabinet/product/0468/00000001643093_a01.jpg?fitin=700:700,13737.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 イマオコーポレーション カムサイドクランプ　QLSCH32,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■レバー荷重によりクランプ力が加減できます。<BR><BR>■口金の先端は研磨仕上ですので、ワーク仕上面のクランプも可能です。<BR><BR>■クランプ時、口金は下方向への力が掛かりワークの浮き上がりを防止します。<BR><BR>【仕様】<BR>高さ(mm)：32、クランプ力(N)：2000、クランプストローク(mm)：1.6、取付ねじ(mm)：M6×1.00、<BR>レバー荷重(N)：150、質量(g)：620<BR><BR>【材質/仕上】<BR>■本体：スチール(S45C) 黒染め■口金、シャフト：スチール(S45C) 焼入焼戻 黒染め 研磨仕上■カムレバー、レバー：スチール(SCM440) 焼入焼戻 黒染め<BR><BR>【原産国】<BR>日本,【送料無料】 イマオコーポレーション カムサイドクランプ　QLSCH32：ビックカメラ楽天市場店,【送料無料】 イマオコーポレーション カムサイドクランプ　QLSCH32,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 イマオコーポレーション カムサイドクランプ　QLSCH32[rn]
40-10836,http://tshop.r10s.jp/biccamera/cabinet/product/0150/00000001456501_a01.jpg?fitin=700:700,672.0000,,花・ガーデン・DIY > DIY・工具 > その他,日機 クーラントシステム1／2　コネクター　PT1／2　4個入　84045,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■繋ぎ目の勘合が固く、姿勢保持能力が高いです。<BR><BR>■耐薬品性・耐熱性・耐衝撃性に優れております。<BR><BR>【仕様】<BR>長さ(mm)：38.5、呼びサイズ：1/2、ねじ径(mm)：1/2R（21.0）、質量(g)：38<BR><BR>【材質/仕上】<BR>■アセタール樹脂<BR><BR>【注意】<BR>・専用組立工具が必要です。<BR><BR>【原産国】<BR>台湾,日機 クーラントシステム1／2　コネクター　PT1／2　4個入　84045：ビックカメラ楽天市場店,日機 クーラントシステム1／2　コネクター　PT1／2　4個入　84045,AppStore/AndroidMarketでビック楽天を検索。日機 クーラントシステム1／2　コネクター　PT1／2　4個入　84045[rn]
40-10837,http://tshop.r10s.jp/biccamera/cabinet/product/1255/00000002106618_a01.jpg?fitin=700:700,28741.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 ドリルソケット焼入内径MT－5外径MT－4研磨品　TDC54Y,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■モールステーパのサイズを変更したいときや、延長したいときに使用します。<BR><BR>【仕様】<BR>内側テーパ：MT5、外側テーパ：MT4、全長(mm)：300、首下(mm)：177.0、質量(kg)：2.5<BR><BR>【材質/仕上】<BR>■クロムモリブデン鋼（SCM415）■焼き入れ研磨品<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 ドリルソケット焼入内径MT&minus;5外径MT&minus;4研磨品　TDC54Y：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 ドリルソケット焼入内径MT&minus;5外径MT&minus;4研磨品　TDC54Y,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 トラスコ中山 ドリルソケット焼入内径MT&minus;5外径MT&minus;4研磨品　TDC54Y[rn]
40-10838,http://tshop.r10s.jp/biccamera/cabinet/product/0153/00000001457373_a01.jpg?fitin=700:700,2315.2000,,花・ガーデン・DIY > DIY・工具 > その他,イマオコーポレーション HS・グリッパー（ラウンドタイプ）　HS160C,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■表面から六角穴付ボルトで簡単に取り付けできます。<BR><BR>【用途】<BR>・クランパー、ストッパー、ジャッキに。<BR><BR>【仕様】<BR>高さ(mm)：10、外径(mm)：16、適用ねじ：M4、質量(g)：12<BR><BR>【原産国】<BR>アメリカ,イマオコーポレーション HS・グリッパー（ラウンドタイプ）　HS160C：ビックカメラ楽天市場店,イマオコーポレーション HS・グリッパー（ラウンドタイプ）　HS160C,AppStore/AndroidMarketでビック楽天を検索。イマオコーポレーション HS・グリッパー（ラウンドタイプ）　HS160C[rn]
40-10839,http://tshop.r10s.jp/biccamera/cabinet/product/1255/00000002106717_a01.jpg?fitin=700:700,4561.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 生爪北川用　B用　チャック5インチ　P1．5mm　B205,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■修正削りが容易で、しかも適当な硬さを持っているS45C鋼を使用しています。<BR><BR>■また、再取り付け後の復元精度（芯振れ）の低下とマスタージョウの取り付けゆがみが生じる原因などの点を十分考慮して綿密な加工を施しています。<BR><BR>【仕様】<BR>高さ(mm)：25、幅(mm)：23、チャック外径(インチ)：5、ピッチ(mm)：1.5、長さ(mm)：54.0、質量(kg)：0.55<BR>機械構造用炭素鋼(S45C)<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 生爪北川用　B用　チャック5インチ　P1．5mm　B205：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 生爪北川用　B用　チャック5インチ　P1．5mm　B205,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 トラスコ中山 生爪北川用　B用　チャック5インチ　P1．5mm　B205[rn]
40-10840,http://tshop.r10s.jp/biccamera/cabinet/product/1848/00000003255885_a01.jpg?fitin=700:700,10255.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 ニューストロング ニューストロング ステップクランプ 使用ボルト M24 全長150 60S－10,,<!-- -->■クランプの片方にセレーションが切ってあり高さ調節が簡単にできます。<BR>■ステップブロックと使用することで素早く高さ調整できます。<BR><BR>【用途】<BR>・ワークの固定に。<BR><BR>【仕様】<BR>適合ボルト:M24、長さ(mm):150、幅(mm):50、高さ(mm):30、組入数(個):2、質量(kg):1.29<BR><BR>【材質/仕上】<BR>■スチール(S45C)黒染仕上げ<BR>■焼き入れ(HRC30～35)<BR><BR>【注意】<BR>■クランプ片側セレ-ションにゴミ等、付着していないか確認する事。<BR><BR>【原産国】<BR>日本,【送料無料】 ニューストロング ニューストロング ステップクランプ 使用ボルト M24 全長150 60S&minus;10：ビックカメラ楽天市場店,【送料無料】 ニューストロング ニューストロング ステップクランプ 使用ボルト M24 全長150 60S&minus;10,【送料無料】 ニューストロング ニューストロング ステップクランプ 使用ボルト M24 全長150 60S&minus;10[rn]
40-10841,http://tshop.r10s.jp/biccamera/cabinet/product/1681/00000003177130_a01.jpg?fitin=700:700,5684.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 スーパーツール ユニクランプ自在型（本体）M22用　FTB22,,<!-- -->●ピッタリフィットする専用サイズです。<BR><BR>【用途】<BR>●加工物の固定に。<BR><BR>【仕様】<BR>●適合ボルト：M22●長さ(mm)：200●幅(mm)：90●高さ(mm)：49●質量(kg)：2.3<BR><BR>【材質/仕上】<BR>●スチール（S55C）●焼き入れ（HRC38～43）<BR><BR>【セット内容/付属品】<BR><BR><BR>【原産国】<BR>日本,【送料無料】 スーパーツール ユニクランプ自在型（本体）M22用　FTB22：ビックカメラ楽天市場店,【送料無料】 スーパーツール ユニクランプ自在型（本体）M22用　FTB22,【送料無料】 スーパーツール ユニクランプ自在型（本体）M22用　FTB22[rn]
40-10842,http://tshop.r10s.jp/biccamera/cabinet/product/1680/00000003176862_a01.jpg?fitin=700:700,1537.6000,,花・ガーデン・DIY > DIY・工具 > その他,マグナ ボールジョイント磁石　1KD310,,<!-- -->●ボール状の関節部分が180°以上可動します。<BR><BR>【用途】<BR>●光学機器、照明器具、監視用カメラの固定、医療機器などの保持やロボットの関節部分。●人形等の関節部分。<BR><BR>【仕様】<BR>●吸着力(N)：19.6●直径×高さ(mm)：10.0×28●ボール径(mm)：10●ねじ寸法：M3×12●質量(g)：16.1<BR>●取付ねじ寸法：M3×5<BR><BR>【材質/仕上】<BR>●マグネット：ネオジム磁石●ボール部：スチール●本体：真鍮<BR><BR>【セット内容/付属品】<BR><BR><BR>【原産国】<BR>中国,マグナ ボールジョイント磁石　1KD310：ビックカメラ楽天市場店,マグナ ボールジョイント磁石　1KD310,マグナ ボールジョイント磁石　1KD310[rn]
40-10843,http://tshop.r10s.jp/biccamera/cabinet/product/1681/00000003176821_a01.jpg?fitin=700:700,64.8000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 フェライト磁石　外径9mm×厚み3mm　1個入　TF9R1P,,<!-- -->●保磁力が高いので減磁がありません。<BR>●耐食性に優れ、平面的な形状に適しています。<BR><BR>【用途】<BR>●スピーカー・ヘッドホンや、モーターの部品として。<BR><BR>【仕様】<BR>●表面磁束密度(T)：0.08●吸着力(N)：1.25●外径(mm)：9●厚み(mm)：3<BR><BR>【材質/仕上】<BR>●マグネット：フェライト磁石<BR><BR>【セット内容/付属品】<BR><BR><BR>【原産国】<BR>中国,トラスコ中山 フェライト磁石　外径9mm&times;厚み3mm　1個入　TF9R1P：ビックカメラ楽天市場店,トラスコ中山 フェライト磁石　外径9mm&times;厚み3mm　1個入　TF9R1P,トラスコ中山 フェライト磁石　外径9mm&times;厚み3mm　1個入　TF9R1P[rn]
40-10844,http://tshop.r10s.jp/biccamera/cabinet/product/0152/00000001457221_a01.jpg?fitin=700:700,5805.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 パワーマグネットクリーナー　TPMC,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■シャフトはステンレス製なので水周りの作業にも使用できます。<BR><BR>■小型なので狭い場所での作業に最適です。<BR><BR>【用途】<BR>・鉄くずなどの処理に。<BR>・作業台の上などに散乱した部品・鉄くずを素早く吸着できます。<BR>・レバーを引くと吸着部についた鉄くずなどを離すことができます。<BR><BR>【仕様】<BR>吸着力(N)：58、全長(mm)：400、マグネット径(mm)：26、表面磁束密度(T)：0.30、質量(g)：460<BR>吸着範囲：150mm、吸着範囲(mm)：150<BR><BR>【材質/仕上】<BR>■マグネット：ネオジム磁石■本体：ステンレス（SUS304相当）<BR><BR>【原産国】<BR>台湾,【送料無料】 トラスコ中山 パワーマグネットクリーナー　TPMC：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 パワーマグネットクリーナー　TPMC,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 トラスコ中山 パワーマグネットクリーナー　TPMC[rn]
40-10845,http://tshop.r10s.jp/biccamera/cabinet/product/1680/00000003177245_a01.jpg?fitin=700:700,35415.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 カネテック 永電磁ホルダ　KEP5C,,<!-- -->●停電による落下事故がなく、発熱がないため長時間の吸着に適します。<BR>●通電中のみ、磁力がOFFになる電磁釈放形です。常時は、磁力がONの状態です。<BR><BR>【用途】<BR>●各種自動化機器から工業用ロボットの取手部まで広い範囲に。<BR><BR>【仕様】<BR>●吸着力(N)：340●径(mm)：50●高さ(mm)：50●電圧(V)：DC24●電流(A)：0.58●適合整流器：KR-T101A-6/24RH-M303A-6/24/-C1/-C2●質量(kg)：0.6<BR>●電源コード長さ：0.3m<BR><BR>【セット内容/付属品】<BR><BR><BR>【原産国】<BR>日本,【送料無料】 カネテック 永電磁ホルダ　KEP5C：ビックカメラ楽天市場店,【送料無料】 カネテック 永電磁ホルダ　KEP5C,【送料無料】 カネテック 永電磁ホルダ　KEP5C[rn]
40-10846,http://tshop.r10s.jp/biccamera/cabinet/product/0940/00000001921321_a01.jpg?fitin=700:700,2228.8000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 キャップ付フェライト磁石45mmX30mmX7mm　10個入り　TFC45K10P,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■キャップを付けることにより、磁石単体より5～10倍の吸着力が上がります。<BR><BR>【用途】<BR>・吸着用。<BR><BR>【仕様】<BR>表面磁束密度(T)：-、厚み(mm)：7、幅(mm)：30、長さ(mm)：43.7、吸着力(N)：127.40、質量(g)：440<BR><BR>【材質/仕上】<BR>■マグネット：フェライト磁石■キャップ：スチール<BR><BR>【原産国】<BR>中国,トラスコ中山 キャップ付フェライト磁石45mmX30mmX7mm　10個入り　TFC45K10P：ビックカメラ楽天市場店,トラスコ中山 キャップ付フェライト磁石45mmX30mmX7mm　10個入り　TFC45K10P,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 キャップ付フェライト磁石45mmX30mmX7mm　10個入り　TFC45K10P[rn]
40-10847,http://tshop.r10s.jp/biccamera/cabinet/product/1817/00000003176839_a01.jpg?fitin=700:700,160.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 フェライトポリアミド磁石　φ18　青　1個入　TFP181B,,<!-- -->●耐環境性に優れています。<BR>●水に強いです。<BR>●フェライト磁石をポリアミドでコーティングしています。<BR><BR>【用途】<BR>●ホワイトボード、管理ボードなどに。<BR><BR>【仕様】<BR>●表面磁束密度(T)：-●吸着力(N)：6●外径(mm)：19●厚み(mm)：9.5●色：青<BR><BR>【材質/仕上】<BR>●マグネット：フェライト磁石<BR><BR>【セット内容/付属品】<BR><BR><BR>【原産国】<BR>日本,トラスコ中山 フェライトポリアミド磁石　φ18　青　1個入　TFP181B：ビックカメラ楽天市場店,トラスコ中山 フェライトポリアミド磁石　φ18　青　1個入　TFP181B,トラスコ中山 フェライトポリアミド磁石　φ18　青　1個入　TFP181B[rn]
40-10848,http://tshop.r10s.jp/biccamera/cabinet/product/2603/00000003583012_a01.jpg?fitin=700:700,196.8000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 TRUSCO　ネオジム磁石　丸形　外径5mmX厚み5mm　1個入　TN5-5R-1P,,<!-- -->■磁石の中で最強の磁場をもつネオジム磁石です。<BR><BR>■センサーやモーター部品として。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■吸着力(N):6.37<BR>■表面磁束密度(T):0.4<BR>■厚み(mm):5<BR>■外径(mm):5<ＢＲ>■【材質／仕上げ】　マグネット:ネオジム磁石  <BR>■原産国:中国<BR>■質量:0.72G</td></tr></table></div>,トラスコ中山 TRUSCO　ネオジム磁石　丸形　外径5mmX厚み5mm　1個入　TN5-5R-1P：ビックカメラ楽天市場店,トラスコ中山 TRUSCO　ネオジム磁石　丸形　外径5mmX厚み5mm　1個入　TN5-5R-1P,トラスコ中山 TRUSCO　ネオジム磁石　丸形　外径5mmX厚み5mm　1個入　TN5-5R-1P[rn]
