40-11001,http://tshop.r10s.jp/biccamera/cabinet/product/1645/00000003131909_a01.jpg?fitin=700:700,8068.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 アルバック機工 ニップル　ZSCK5016,,<!-- -->【仕様】<BR>フランジサイズ：KF-16、D(mm)：60、B(mm)：20．0、A(mm)：30、C(mm)：16、質量(g)：78<BR><BR>【材質/仕上】<BR>■ステンレス（SUS304）<BR><BR>【原産国】<BR>日本,【送料無料】 アルバック機工 ニップル　ZSCK5016：ビックカメラ楽天市場店,【送料無料】 アルバック機工 ニップル　ZSCK5016,【送料無料】 アルバック機工 ニップル　ZSCK5016[rn]
40-11024,http://tshop.r10s.jp/biccamera/cabinet/product/1959/00000003136846_a01.jpg?fitin=700:700,22152.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 フクハラ 電子トラップ　UP1552E,,<!-- -->■コンプレッサーの圧力開閉式、アンローダー式の区別なしに取り付け可能です。<BR><BR>■22kW以下のコンプレッサー、ドライヤーなどのドレン抜きに適しています。<BR><BR>【用途】<BR>・22kW以下のコンプレッサー、ドライヤー等のドレン抜き。<BR><BR>【仕様】<BR>接続口径：入口R1/4、出口R1/4×8タケノコ、幅(mm)：182、奥行(mm)：100、高さ(mm)：136、ドレン排出量([[立方センチメートル]]/回)：415、電源(V)：200、使用圧力(MPa)：1．5、質量(kg)：1．75<BR>流体温度：2~40℃（ドレンが凍結しないこと）、ドレン排出方式：圧力スイッチ式コンプレッサー始動時（3~8秒）、動作中は約15分ごと（3~8秒）、適用コンプレッサー：0．4~22kW、接続対象：コンプレッサー、ドライヤー、エアタンク、エアフィルターなど、使用流体：コンプレッサードレンなど<BR><BR>【原産国】<BR>日本,【送料無料】 フクハラ 電子トラップ　UP1552E：ビックカメラ楽天市場店,【送料無料】 フクハラ 電子トラップ　UP1552E,【送料無料】 フクハラ 電子トラップ　UP1552E[rn]
40-11025,http://tshop.r10s.jp/biccamera/cabinet/product/1725/00000003203905_a01.jpg?fitin=700:700,25704.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 フクハラ 電子トラップ2　UP22B,,<!-- -->■コンプレッサーの運転中はこまめに、しかも確実にドレンを排出します。<BR>■ドレン排出時間、ドレン排出サイクルのどちらでも設定可能です。<BR>■圧力スイッチ式、アンローダー式コンプレッサーの区別なしに取り付け可能です。<BR><BR>【用途】<BR>・エアタンク・エアドライヤー・アフタークーラーのドレン抜きに。<BR><BR>【仕様】<BR>使用圧力(ＭＰａ)：1.5、接続口径：入口Ｇ1/4Ｂ、出口Ｒｃ1/4Ｂ、幅(ｍｍ)：95、奥行(ｍｍ)：188、高さ(ｍｍ)：119、ドレン排出量([[立方センチメートル]]/回)：415、電源(Ｖ)：200、質量(ｋｇ)：1.9<BR>使用周囲温度：-20～40℃（ドレンが凍結しないこと）、流体温度：-20～40℃（ドレンが凍結しないこと）、適用コンプレッサー：0.4～37ｋＷ、ＩＳＯ14001認証取得工場製<BR><BR>【原産国】<BR>日本,【送料無料】 フクハラ 電子トラップ2　UP22B：ビックカメラ楽天市場店,【送料無料】 フクハラ 電子トラップ2　UP22B,【送料無料】 フクハラ 電子トラップ2　UP22B[rn]
40-11026,http://tshop.r10s.jp/biccamera/cabinet/product/2534/00000003560317_a01.jpg?fitin=700:700,179703.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 マックス MAX　45気圧スーパーエアコンプレッサ　高圧専用 AK-HH1270E,,<!-- -->■低振動設計で騒音値は静かさを実感できる約62dBです。<BR><BR>■ムダの無い運転で必要な分だけエアを溜めるAIモードを搭載してます。<BR><BR>■高圧釘打機専用です。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■モーター出力(kW):1.2<BR>■空気タンク容量(L):11<BR>■周波数(Hz):50/60<BR>■吐出空気量(L/min):194<BR>■吐出圧力(MPa):4.4<BR>■幅(mm):350<BR>■奥行(mm):345<BR>■高さ(mm):590<BR>■騒音値(dB):56/62<BR>■電源(V):AC100<BR>■空気取出口:高圧4<BR>■50/60Hz兼用<BR>■電源：AC100V(50/60Hz共用)<BR>■AD吐出空気量:194L/min(パワーモード)<BR>■FAD吐出空気量:125L/min(パワーモード)<BR>■吐出圧力:4.4MPa<BR>■騒音値:56/62dB   <BR>■原産国:日本<BR>■質量:16KG</td></tr></table></div>,【送料無料】 マックス MAX　45気圧スーパーエアコンプレッサ　高圧専用 AK-HH1270E：ビックカメラ楽天市場店,【送料無料】 マックス MAX　45気圧スーパーエアコンプレッサ　高圧専用 AK-HH1270E,【送料無料】 マックス MAX　45気圧スーパーエアコンプレッサ　高圧専用 AK-HH1270E[rn]
40-11027,http://tshop.r10s.jp/biccamera/cabinet/product/1773/00000003203904_a01.jpg?fitin=700:700,25704.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 フクハラ 電子トラップ2　UP21B,,<!-- -->■コンプレッサーの運転中はこまめに、しかも確実にドレンを排出します。<BR>■ドレン排出時間、ドレン排出サイクルのどちらでも設定可能です。<BR>■圧力スイッチ式、アンローダー式コンプレッサーの区別なしに取り付け可能です。<BR><BR>【用途】<BR>・エアタンク・エアドライヤー・アフタークーラーのドレン抜きに。<BR><BR>【仕様】<BR>使用圧力(ＭＰａ)：1.5、接続口径：入口Ｇ1/4Ｂ、出口Ｒｃ1/4Ｂ、幅(ｍｍ)：95、奥行(ｍｍ)：188、高さ(ｍｍ)：119、ドレン排出量([[立方センチメートル]]/回)：415、電源(Ｖ)：100、質量(ｋｇ)：1.9<BR>使用周囲温度：-20～40℃（ドレンが凍結しないこと）、流体温度：-20～40℃（ドレンが凍結しないこと）、適用コンプレッサー：0.4～37ｋＷ、ＩＳＯ14001認証取得工場製<BR><BR>【原産国】<BR>日本,【送料無料】 フクハラ 電子トラップ2　UP21B：ビックカメラ楽天市場店,【送料無料】 フクハラ 電子トラップ2　UP21B,【送料無料】 フクハラ 電子トラップ2　UP21B[rn]
40-11028,http://tshop.r10s.jp/biccamera/cabinet/product/1094/00000002012917_a01.jpg?fitin=700:700,13996.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 高圧ホース　ワンタッチカップリング付　20m　THP620,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■絡みを防止するために、表面に滑りやすい特殊加工を施しています。<BR><BR>■超ソフトタイプで作業性に優れています。<BR><BR>【仕様】<BR>色：深緑、接続継手：高圧用プラグ22HPP(R1/4左ねじ)、高圧用ワンタッチロック22HPS(R1/4左ねじ)、内径(mm)：6、外径(mm)：10、全長(m)：20、質量(kg)：1．55<BR>使用流体：空気、使用温度範囲：－10~60℃、使用圧力：3．0MPa<BR><BR>【材質/仕上】<BR>■塩ビ系エラストマー<BR><BR>【注意】<BR>・ソケットとプラグは高圧専用タイプを使用しています。<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 高圧ホース　ワンタッチカップリング付　20m　THP620：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 高圧ホース　ワンタッチカップリング付　20m　THP620,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 トラスコ中山 高圧ホース　ワンタッチカップリング付　20m　THP620[rn]
40-11029,http://tshop.r10s.jp/biccamera/cabinet/product/0149/00000001455733_a01.jpg?fitin=700:700,11577.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 高圧ホース　ワンタッチカップリング付　20m　THP520,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■絡みを防止するために、表面に滑りやすい特殊加工を施しています。<BR><BR>■超ソフトタイプで作業性に優れています。<BR><BR>【仕様】<BR>色：深緑、接続継手：高圧用プラグ22HPP(R1/4左ねじ)、高圧用ワンタッチロック22HPS(R1/4左ねじ)、内径(mm)：5、外径(mm)：9、全長(m)：20、質量(kg)：1．45<BR>使用流体：空気、使用温度範囲：－10~60℃、使用圧力：3．0MPa<BR><BR>【材質/仕上】<BR>■塩ビ系エラストマー<BR><BR>【注意】<BR>・ソケットとプラグは高圧専用タイプを使用しています。<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 高圧ホース　ワンタッチカップリング付　20m　THP520：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 高圧ホース　ワンタッチカップリング付　20m　THP520,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 トラスコ中山 高圧ホース　ワンタッチカップリング付　20m　THP520[rn]
40-11030,http://tshop.r10s.jp/biccamera/cabinet/product/0937/00000001919802_a01.jpg?fitin=700:700,8363.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 高圧ホース　ワンタッチカップリング付　10m　THP510,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■絡みを防止するために、表面に滑りやすい特殊加工を施しています。<BR><BR>■超ソフトタイプで作業性に優れています。<BR><BR>【仕様】<BR>色：深緑、接続継手：高圧用プラグ22HPP(R1/4左ねじ)、高圧用ワンタッチロック22HPS(R1/4左ねじ)、内径(mm)：5、外径(mm)：9、全長(m)：10、質量(kg)：0．95<BR>使用流体：空気、使用温度範囲：－10~60℃、使用圧力：3．0MPa<BR><BR>【材質/仕上】<BR>■塩ビ系エラストマー<BR><BR>【注意】<BR>・ソケットとプラグは高圧専用タイプを使用しています。<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 高圧ホース　ワンタッチカップリング付　10m　THP510：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 高圧ホース　ワンタッチカップリング付　10m　THP510,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 トラスコ中山 高圧ホース　ワンタッチカップリング付　10m　THP510[rn]
40-11031,http://tshop.r10s.jp/biccamera/cabinet/product/0779/00000001826703_a01.jpg?fitin=700:700,18489.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 高圧ホース　ワンタッチカップリング付　30m　THP630,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■絡みを防止するために、表面に滑りやすい特殊加工を施しています。<BR><BR>■超ソフトタイプで作業性に優れています。<BR><BR>【仕様】<BR>色：深緑、接続継手：高圧用プラグ22HPP(R1/4左ねじ)、高圧用ワンタッチロック22HPS(R1/4左ねじ)、内径(mm)：6、外径(mm)：10、全長(m)：30、質量(kg)：2．1<BR>使用流体：空気、使用温度範囲：－10~60℃、使用圧力：3．0MPa<BR><BR>【材質/仕上】<BR>■塩ビ系エラストマー<BR><BR>【注意】<BR>・ソケットとプラグは高圧専用タイプを使用しています。<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 高圧ホース　ワンタッチカップリング付　30m　THP630：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 高圧ホース　ワンタッチカップリング付　30m　THP630,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 トラスコ中山 高圧ホース　ワンタッチカップリング付　30m　THP630[rn]
40-11032,http://tshop.r10s.jp/biccamera/cabinet/product/1854/00000003255480_a01.jpg?fitin=700:700,2488.0000,,花・ガーデン・DIY > DIY・工具 > その他,国盛化学 KUNIMORI パンロック φ10×L8 黒 63103－1008－BK （1袋100個）,,<!-- -->■プラダン等、複数の板材を設備や機械を使用せず締結することが可能です。<BR>■両面テープや接着剤と違い貼る手間もはがれる心配もなく一方向からのワンプッシュで簡単に作業ができます。<BR>■ステッチャーや超音波溶着ではできなかった狭い場所や手の届かない所への締結も可能です。<BR>■プラスチックダンボール、木材、金属、ダンボール板など材質を選ばず締結が可能です。<BR><BR>【用途】<BR>・プラスチックダンボール、木材、金属、ダンボール板など複数の板材締結に。<br>・密閉された場所や手の届かない場所への締結や取り付けに。<br>・プラスチックダンボール製通函箱の補修用留め具として。<BR><BR>【仕様】<BR>フランジ径(mm):15、色:黒、穴径(mm)：10、高さ(mm)：8、引抜強度(kgf)：15<BR><BR>【材質/仕上】<BR>■ポリプロピレン（PP)<BR><BR>【原産国】<BR>日本,国盛化学 KUNIMORI パンロック φ10&times;L8 黒 63103&minus;1008&minus;BK （1袋100個）：ビックカメラ楽天市場店,国盛化学 KUNIMORI パンロック φ10&times;L8 黒 63103&minus;1008&minus;BK （1袋100個）,国盛化学 KUNIMORI パンロック φ10&times;L8 黒 63103&minus;1008&minus;BK （1袋100個）[rn]
40-11033,http://tshop.r10s.jp/biccamera/cabinet/product/2528/00000003559399_a01.jpg?fitin=700:700,6635.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 フィッシャージャパン フィッシャー　コンクリートスクリュー　FBS12X130　20本入り 517900,,<!-- -->■打込み不要、ねじ込みタイプの高耐力アンカーです。<BR><BR>■インパクトレンチでの打設が可能です。<BR><BR>■打設後の撤去が容易で仮設用としても使用可能です。<BR><BR>■コンクリート、緻密な石材向け。<BR><BR>■各種架台取付け。<BR><BR>■設備工事。<BR><BR>■手摺り外構工事など。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■ねじの呼び:M12<BR>■ねじ長さ(mm):130<BR>■全長(mm):140<BR>■下穴径(mm):12<BR>■埋込深さ(mm):100<BR>■引張最大荷重(kN):17.2<BR>■最大取付物厚(mm):30<BR>■せん断最大荷重(kN):20.0<BR>■箱入数(本):20<BR>■二面幅(mm):17<BR>■欧州技術認証(ETA-11/0095)<BR>■【材質／仕上げ】　スチール　表面処理:亜鉛フレークコーティング  <BR>■原産国:ドイツ<BR>■質量:2594G</td></tr></table></div>,【送料無料】 フィッシャージャパン フィッシャー　コンクリートスクリュー　FBS12X130　20本入り 517900：ビックカメラ楽天市場店,【送料無料】 フィッシャージャパン フィッシャー　コンクリートスクリュー　FBS12X130　20本入り 517900,【送料無料】 フィッシャージャパン フィッシャー　コンクリートスクリュー　FBS12X130　20本入り 517900[rn]
40-11034,,2920.0000,,花・ガーデン・DIY > DIY・工具 > その他,ロブテックス エビ　APリベット（1000本入り）　4－3　AP43,,<!-- -->■ＡＰリベットは適正かしめ板厚の範囲が広く、一種類で広範囲のかしめが可能です。<BR><BR>■機密性に優れ、軟質ボードにも対応しています。<BR><BR>■金属同士の締結、プラスチック類同士の締結の他、異種母材（金属とプラスチック類など）の締結に。<BR><BR>■自動車板金、電機板金等。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■かしめ板厚(mm):1.0～4.8<BR>■リベット長(mm):8.2<BR>■フランジ径(mm):6.4<BR>■リベット径(mm):3.2<BR>■下穴径(mm):3.4～3.5<BR>■せん断荷重(N):740<BR>■引張荷重(N):970<BR>■箱入<ＢＲ>■【材質／仕上げ】　リベット本体（フランジ）:アルミ（Ａ５０５２）　マンドレル(シャフト):スチール(炭素鋼)  <BR>■原産国:日本<BR>■質量:1.03KG</td></tr></table></div>,ロブテックス エビ　APリベット（1000本入り）　4&minus;3　AP43：ビックカメラ楽天市場店,ロブテックス エビ　APリベット（1000本入り）　4&minus;3　AP43,ロブテックス エビ　APリベット（1000本入り）　4&minus;3　AP43[rn]
40-11035,http://tshop.r10s.jp/biccamera/cabinet/product/2528/00000003558573_a01.jpg?fitin=700:700,2056.0000,,花・ガーデン・DIY > DIY・工具 > その他,フィッシャージャパン フィッシャー　ボルトアンカー　FBN2　10／50　20本入り 40855,,<!-- -->■コストパフォーマンスに優れた普通コンクリート用ウェッジ式アンカーです。<BR><BR>■浅い埋込みは浅いドリル孔深さを可能にし、補強筋への干渉を低減し迅速な施工を可能にします。<BR><BR>■国際認証が最大の安全性と最高のパフォーマンスを実証します。<BR><BR>■コンクリート、緻密な石材向け。<BR><BR>■各種架台取付け。<BR><BR>■設備工事。<BR><BR>■手摺り外構工事など。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■ねじの呼び:M10<BR>■埋込み深さ(mm):118<BR>■下穴径(mm):10<BR>■引張最大荷重(kN):8.5<BR>■全長(mm):126<BR>■ドリル径(mm):10<BR>■ねじ長さ(mm):86<BR>■最大取付物厚(mm):50<BR>■有効埋込み深さ(mm):50<BR>■標準施工トルク(N・m):30.0<BR>■引張最大荷重(kN):8.5<BR>■せん断最大荷重(kN):12.0<BR>■箱入数(本):20<BR>■欧州技術認証(ETA-07/0211)<BR>■【材質／仕上げ】　スチール　表面処理:亜鉛メッキ（三価クロメート処理）  <BR>■原産国:ドイツ<BR>■質量:1562G</td></tr></table></div>,フィッシャージャパン フィッシャー　ボルトアンカー　FBN2　10／50　20本入り 40855：ビックカメラ楽天市場店,フィッシャージャパン フィッシャー　ボルトアンカー　FBN2　10／50　20本入り 40855,フィッシャージャパン フィッシャー　ボルトアンカー　FBN2　10／50　20本入り 40855[rn]
40-11036,http://tshop.r10s.jp/biccamera/cabinet/product/2528/00000003559420_a01.jpg?fitin=700:700,37575.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 フィッシャージャパン フィッシャー　ボルトアンカー　FH2　18／25　S　A4　10本入り 510929,,<!-- -->■スクリュー胴体部とスリーブの相互作用による高いせん断荷重です。<BR><BR>■少ないアンカー本数で施工が可能です。<BR><BR>■コンクリート、緻密な石材向け。<BR><BR>■各種架台取付け。<BR><BR>■設備工事。<BR><BR>■手摺り外構工事など。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■ねじの呼び:M12<BR>■埋込み深さ(mm):130<BR>■下穴径(mm):18<BR>■引張最大荷重(kN):17.2<BR>■全長(mm):133<BR>■ドリル径(mm):18<BR>■最大取付物厚(mm):25<BR>■有効埋込み深さ(mm):150<BR>■標準施工トルク(N・m):200<BR>■引張最大荷重(kN):17.2<BR>■せん断最大荷重(kN):88.4<BR>■箱入数(本):10<BR>■二面幅(mm):19<BR>■欧州技術認証(ETA-07/0025)<BR>■国際基準評議会認証<BR>■六角頭タイプ<BR>■【材質／仕上げ】　ステンレス(SUS316相当)  <BR>■原産国:ドイツ<BR>■質量:2196G</td></tr></table></div>,【送料無料】 フィッシャージャパン フィッシャー　ボルトアンカー　FH2　18／25　S　A4　10本入り 510929：ビックカメラ楽天市場店,【送料無料】 フィッシャージャパン フィッシャー　ボルトアンカー　FH2　18／25　S　A4　10本入り 510929,【送料無料】 フィッシャージャパン フィッシャー　ボルトアンカー　FH2　18／25　S　A4　10本入り 510929[rn]
40-11037,http://tshop.r10s.jp/biccamera/cabinet/product/1868/00000003258612_a01.jpg?fitin=700:700,1019.2000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ＴＲＵＳＣＯ オールアンカーＣタイプ Ｍ１２Ｘ１２０ ４本入 Ｃ－１２１２ＢＴ,,<!-- -->■ナット締め付けタイプなので取付物の取り外しが可能です。<BR>■施工は芯棒を打込むだけなので施工完了がひと目で分かります。<BR>■本体とねじ部が同径なのでコンクリートへの穴あけが小径で済みます。<BR>■取付物の上から直接施工ができます。<BR><BR>【用途】<BR>・建設工事、土木工事、電気工事、機械設備工事などに。<BR><BR>【仕様】<BR>ねじの呼び:M12、全長(mm):120、ねじ長さ(mm):50、下穴径(mm):12.7、引張最大荷重(kN):17.1、埋込み深さ(mm):50、最大取付物厚(mm):56、質量(g):473.4<BR>パック入(～全長80mm)、袋入(全長90mm～）<BR><BR>【材質/仕上】<BR>■スチール<BR>■表面処理:三価クロメート仕上げ<BR><BR>【注意】<BR>■引張最大荷重は、コンクリート強度Fｃ21N/m[[平米時の値です。<BR><BR>【原産国】<BR>タイ,トラスコ中山 ＴＲＵＳＣＯ オールアンカーＣタイプ Ｍ１２Ｘ１２０ ４本入 Ｃ&minus;１２１２ＢＴ：ビックカメラ楽天市場店,トラスコ中山 ＴＲＵＳＣＯ オールアンカーＣタイプ Ｍ１２Ｘ１２０ ４本入 Ｃ&minus;１２１２ＢＴ,トラスコ中山 ＴＲＵＳＣＯ オールアンカーＣタイプ Ｍ１２Ｘ１２０ ４本入 Ｃ&minus;１２１２ＢＴ[rn]
40-11038,http://tshop.r10s.jp/biccamera/cabinet/product/1259/00000002108273_a01.jpg?fitin=700:700,3784.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ブラインドリベット（アルミ／鉄）　5－4　1000本入　AT54C,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■ブラインドリベットは、裏側に手の回らない母材や密閉された薄板などに簡単に部材を締結することができます。<BR><BR>■リベットはねじと異なり振動による緩みがありません。<BR><BR>【用途】<BR>・トラック、バス、保冷車パネル、電車、水上バイク、家庭電気製品、照明器具、スチール家具など。<BR>・サッシ、門扉、ベランダ、シャッター、看板、脚立、厨房機器など。<BR><BR>【仕様】<BR>かしめ板厚(mm)：4.8～6.4、リベット長(mm)：9.8、フランジ径(mm)：8.0、リベット径(mm)：4.0、<BR>下穴径(mm)：4.1、せん断荷重(N)：1420、引張荷重(N)：2250、質量(kg)：1.66<BR>箱入<BR><BR>【材質/仕上】<BR>■リベット本体（フランジ）：アルミ（A5052）■マンドレル（シャフト）：スチール（炭素鋼）<BR><BR>【原産国】<BR>日本,トラスコ中山 ブラインドリベット（アルミ／鉄）　5&minus;4　1000本入　AT54C：ビックカメラ楽天市場店,トラスコ中山 ブラインドリベット（アルミ／鉄）　5&minus;4　1000本入　AT54C,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 ブラインドリベット（アルミ／鉄）　5&minus;4　1000本入　AT54C[rn]
40-11039,http://tshop.r10s.jp/biccamera/cabinet/product/0471/00000001644283_a01.jpg?fitin=700:700,6516.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 ブラインドリベット（SUS／SUS）　3－2　500本入　SS32C,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■ブラインドリベットは、裏側に手の回らない母材や密閉された薄板などに簡単に部材を締結することができます。<BR><BR>■リベットはねじと異なり振動による緩みがありません。<BR><BR>■オールステンレスのため強度があり、耐食性に優れています。<BR><BR>【用途】<BR>・防錆や強度を必要とする箇所に最適。<BR>・トラック、バス、保冷車パネル、電車、水上バイク、家庭電気製品、照明器具、スチール家具など。<BR>・サッシ、門扉、ベランダ、シャッター、看板、脚立、厨房機器など。<BR><BR>【仕様】<BR>かしめ板厚(mm)：0.5～3.2、リベット長(mm)：5.5、フランジ径(mm)：4.8、リベット径(mm)：2.4、下穴径(mm)：2.5、<BR>せん断荷重(N)：1230、引張荷重(N)：1370、質量(kg)：0.33<BR>箱入<BR><BR>【材質/仕上】<BR>■リベット本体（フランジ）：ステンレス（SUS305）■マンドレル（シャフト）：ステンレス（高張力ステンレス線）<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 ブラインドリベット（SUS／SUS）　3&minus;2　500本入　SS32C：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 ブラインドリベット（SUS／SUS）　3&minus;2　500本入　SS32C,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 トラスコ中山 ブラインドリベット（SUS／SUS）　3&minus;2　500本入　SS32C[rn]
40-11040,http://tshop.r10s.jp/biccamera/cabinet/product/2596/00000003583752_a01.jpg?fitin=700:700,2142.4000,,花・ガーデン・DIY > DIY・工具 > その他,ロブテックス エビ　カラーブラインドリベット（300本入）　アルミ／スティール　CNSA54BEB,,<!-- -->■ブラインドリベットのツバをカラーにしてありますので、塗装の必要がなく、仕上がりもスマートです。<BR><BR>■必要な仕事に無駄なく便利に使える小箱少量サイズのエコボックスが誕生しました。<BR><BR>■金属同士の締結、プラスチック類同士の締結の他、異種母材（金属とプラスチック類など）の締結に。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■かしめ板厚(mm):3.2～6.4<BR>■リベット長(mm):10.5<BR>■フランジ径(mm):8.0<BR>■リベット径(mm):4.0<BR>■下穴径(mm):4.1～4.2<BR>■せん断荷重(N):1550<BR>■引張荷重(N):2200<BR>■エコボックス入<BR>■エコボックス入り<ＢＲ>■【材質／仕上げ】　リベット本体（フランジ）:アルミ（Ａ５１５４）　マンドレル(シャフト):スチール(炭素鋼)  <BR>■原産国:日本<BR>■質量:0.54KG</td></tr></table></div>,ロブテックス エビ　カラーブラインドリベット（300本入）　アルミ／スティール　CNSA54BEB：ビックカメラ楽天市場店,ロブテックス エビ　カラーブラインドリベット（300本入）　アルミ／スティール　CNSA54BEB,ロブテックス エビ　カラーブラインドリベット（300本入）　アルミ／スティール　CNSA54BEB[rn]
40-11041,http://tshop.r10s.jp/biccamera/cabinet/product/1289/00000001460598_a01.jpg?fitin=700:700,4648.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 ロブテックス ブラインドリベット（1000本入）　スティール/スティール　4－6　NS46,,<!-- -->■片側から複数の母材をワン・アクションで締結できます。溶接に比べて作業の省力化や生産性の向上にメリットがあります。<BR><BR>【用途】<BR>・自動車板金、電機板金など。<BR><BR>【仕様】<BR>かしめ板厚(mm)：6.4~9.5、リベット長(mm)：12.7、フランジ径(mm)：6.4、リベット径(mm)：3.2、下穴径(mm)：3.3~3.4、せん断荷重(N)：1300、引張荷重(N)：1700、質量(kg)：1.71<BR>箱入、箱入数(本)：1000<BR><BR>【材質／仕上】<BR>■リベット本体（フランジ）：スチール（炭素鋼）■マンドレル（シャフト）：スチール（炭素鋼）<BR><BR>【原産国】<BR>日本,【送料無料】 ロブテックス ブラインドリベット（1000本入）　スティール/スティール　4&minus;6　NS46：ビックカメラ楽天市場店,【送料無料】 ロブテックス ブラインドリベット（1000本入）　スティール/スティール　4&minus;6　NS46,【送料無料】 ロブテックス ブラインドリベット（1000本入）　スティール/スティール　4&minus;6　NS46[rn]
