15-136701,http://tshop.r10s.jp/tuzukiya/cabinet/m07/m07-0356.jpg?fitin=700:700,1278.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,MCC ラチェットレンチ　ミガキショート  17×21 RWM1721,,"●職人が選んだこだわりの極品<br>
■仕様<br>
●サイズ：17×21<br>
●主要寸法［概寸］<br>
L：240mm<br>
Ｄ：42<br>
Ｔ：50<br>
ｔ1：16<br>
ｔ2：16<br>
●質量：0.38kg",MCC ラチェットレンチ　ミガキショート  17&times;21 RWM1721：ＤＩＹツールストア　楽天市場店,PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドMCC ラチェットレンチ　ミガキショート  17&times;21 RWM1721,MCC ラチェットレンチ　ミガキショート  17&times;21 RWM1721[rn]
15-136729,http://tshop.r10s.jp/rakuten24/cabinet/e4818/e481867h_l.jpg?fitin=700:700,368.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,E-Value モンキレンチ 200mm EM-200N【楽天24】[E-Value レンチ],E-Value/税抜1880円以上送料無料,"<p>税抜1880円以上送料無料/E-Value モンキレンチ 200mm EM-200N<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞レンチ＞<br>ブランド：E-Value/販売元：藤原産業</p>  重量：211g サイズ：幅55×高さ200×奥行13mm<br>原産国：中華人民共和国<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「E-Value モンキレンチ 200mm EM-200N」は、最大24mmまでのボルト、ナットに使用できます。1本で複数のミリサイズ、インチサイズのボルト・ナットの締め付けが可能です。<br><b>製品仕様</b><br>●用途：六角ボルト、ナットの締め付け、緩め作業<br>●最大口幅：24mm<br><b>原産国</b><br>中華人民共和国<br>JANコード：　4977292212625<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",E-Value モンキレンチ 200mm EM-200N【楽天24】[E-Value レンチ]：楽天24,E-Value モンキレンチ 200mm EM-200N【楽天24】[E-Value レンチ],E-Value/税抜1880円以上送料無料。E-Value モンキレンチ 200mm EM-200N【楽天24】[E-Value レンチ][rn]
15-136730,http://tshop.r10s.jp/rakuten24/cabinet/e4819/e481909h_l.jpg?fitin=700:700,13079.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,SK11 デジタルトルクレンチ SDT4-135【楽天24】[SK11 レンチ],SK11/送料無料,"<p>送料無料/SK11 デジタルトルクレンチ SDT4-135<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞レンチ＞<br>ブランド：SK11/販売元：藤原産業</p>   <br>原産国：台湾<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「SK11 デジタルトルクレンチ SDT4-135」は、デジタル表示で正確、高精度なトルク管理が可能で、しかも操作が簡単です。設定トルク到達時、ブザー音とLEDの光でお知らせします。右ネジ、左ネジ両方向の測定が可能です。設定トルク値と測定トルク値を他の単位換算できます。約2分間操作しなければ自動的に電源が切れるオートスリープ機能付きです。<br><b>製品仕様</b><br>●用途：ボルト・ナットの締付けトルク値の測定作業<br>●差込角：12.7mm(1/2インチ)<br>●測定範囲：6.8-135N・m<br>●測定精度：右ネジプラスマイナス3%(左ネジプラスマイナス4%(27N・m未満はプラスマイナス6%)<br>●測定単位：N・m(単位換算機能付きkgf・cm、lbf・in、lbf・ft)<br>●ラチェットギア数：52山<br>●電源：単4乾電池2本<br>●操作モード：ピークホールドモード、トラックモード<br>●最小目盛り：0.1N・m<br>●ヘッド部：クロムモリブデン鋼<br>●本体：ABS樹脂<br>●グリップ：ABS樹脂・TPR樹脂<br>●サイズ：幅48×高さ380×奥行40mm<br>●重量：660g<br><b>原産国</b><br>台湾<br>JANコード：　4977292239998<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",SK11 デジタルトルクレンチ SDT4-135【楽天24】[SK11 レンチ]：楽天24,SK11 デジタルトルクレンチ SDT4-135【楽天24】[SK11 レンチ],SK11/送料無料。SK11 デジタルトルクレンチ SDT4-135【楽天24】[SK11 レンチ][rn]
15-136731,http://tshop.r10s.jp/rakuten24/cabinet/e4818/e481869h_l.jpg?fitin=700:700,638.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,E-Value モンキレンチ 300mm EM-300N【楽天24】【あす楽対応】[E-Value レンチ],E-Value/税抜1880円以上送料無料,"<p>税抜1880円以上送料無料/E-Value モンキレンチ 300mm EM-300N<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞レンチ＞<br>ブランド：E-Value/販売元：藤原産業</p>  重量：611g サイズ：幅79×高さ300×奥行17mm<br>原産国：中華人民共和国<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「E-Value モンキレンチ 300mm EM-300N」は、最大34mmまでのボルト、ナットに使用できます。1本で複数のミリサイズ、インチサイズのボルト・ナットの締め付けが可能です。<br><b>製品仕様</b><br>●用途：六角ボルト、ナットの締め付け、緩め作業<br>●最大口幅：34mm<br><b>原産国</b><br>中華人民共和国<br>JANコード：　4977292212649<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",E-Value モンキレンチ 300mm EM-300N【楽天24】【あす楽対応】[E-Value レンチ]：楽天24,E-Value モンキレンチ 300mm EM-300N【楽天24】【あす楽対応】[E-Value レンチ],E-Value/税抜1880円以上送料無料。E-Value モンキレンチ 300mm EM-300N【楽天24】【あす楽対応】[E-Value レンチ][rn]
15-136732,http://tshop.r10s.jp/rakuten24/cabinet/e4819/e481932h_l.jpg?fitin=700:700,309.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,E-Value フォールディングレンチセット 六角用 インチ EFHW206I【楽天24】[E-Value レンチ],E-Value/税抜1880円以上送料無料,"<p>税抜1880円以上送料無料/E-Value フォールディングレンチセット 六角用 インチ EFHW206I<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞レンチ＞<br>ブランド：E-Value/販売元：藤原産業</p>  重量：80g サイズ：幅20×高さ80×奥行25mm<br>原産国：中華人民共和国<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「E-Value フォールディングレンチセット 六角用 インチ EFHW206I」は、携帯に便利な折りたたみタイプです。ハンドルを横に向ければ力強い作業、ハンドルを立てれば早回し作業ができます。吊り下げなどが可能なカラビナ付きです。<br><b>製品仕様</b><br>●用途：六角穴付きボルトの締め付け、緩め作業<br>●セット内容：5/64、3/32、1/8、5/32、3/16、7/32インチ<br><b>原産国</b><br>中華人民共和国<br>JANコード：　4977292266246<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",E-Value フォールディングレンチセット 六角用 インチ EFHW206I【楽天24】[E-Value レンチ]：楽天24,E-Value フォールディングレンチセット 六角用 インチ EFHW206I【楽天24】[E-Value レンチ],E-Value/税抜1880円以上送料無料。E-Value フォールディングレンチセット 六角用 インチ EFHW206I【楽天24】[E-Value レンチ][rn]
15-136733,http://tshop.r10s.jp/rakuten24/cabinet/e4550/e455021h_l.jpg?fitin=700:700,7280.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,PBスイスツールズ ショートヘッドボール付ロング六角棒レンチセット 2212LH-10CN【楽天24】[PBスイスツールズ レンチ],PBスイスツールズ/送料無料,"<p>送料無料/PBスイスツールズ ショートヘッドボール付ロング六角棒レンチセット 2212LH-10CN<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞レンチ＞<br>ブランド：PBスイスツールズ/発売元：ＰＢスイスツールズ社</p>   <br>原産国：スイス<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「PBスイスツールズ ショートヘッドボール付ロング六角棒レンチセット 2212LH-10CN」は、ボール部では30度まで傾けて回す事が可能ヘッド部のベント角は100度で、ハンドルを握るクリアランスを確保。<br><b>原産国</b><br>スイス<br>JANコード：　7610733236459<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",PBスイスツールズ ショートヘッドボール付ロング六角棒レンチセット 2212LH-10CN【楽天24】[PBスイスツールズ レンチ]：楽天24,PBスイスツールズ ショートヘッドボール付ロング六角棒レンチセット 2212LH-10CN【楽天24】[PBスイスツールズ レンチ],PBスイスツールズ/送料無料。PBスイスツールズ ショートヘッドボール付ロング六角棒レンチセット 2212LH-10CN【楽天24】[PBスイスツールズ レンチ][rn]
15-136734,http://tshop.r10s.jp/rakuten24/cabinet/e4693/e469302h_l.jpg?fitin=700:700,439.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,SK11 クリップクランプツール M NO.800-075M【楽天24】[SK11 レンチ],SK11/税抜1880円以上送料無料,"<p>税抜1880円以上送料無料/SK11 クリップクランプツール M NO.800-075M<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞レンチ＞<br>ブランド：SK11/製造販売元：藤原産業</p>   <br><br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「SK11 クリップクランプツール M NO.800-075M」は、先端幅10mmのクリップクランプツールです。エラストマー樹脂グリップ採用で、滑りにくく力が掛けやすいです。<br><b>用途</b><br>自動車のクリップ・内張り取り外し作業。<br><b>製品仕様</b><br>●グリップ：ラストマー樹脂<br>●サイズ：M<br>●先端幅：10mm<br><b>お問い合わせ先</b><br>藤原産業 株式会社<br>0794-86-8200<br>JANコード：　4977292202244<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",SK11 クリップクランプツール M NO.800-075M【楽天24】[SK11 レンチ]：楽天24,SK11 クリップクランプツール M NO.800-075M【楽天24】[SK11 レンチ],SK11/税抜1880円以上送料無料。SK11 クリップクランプツール M NO.800-075M【楽天24】[SK11 レンチ][rn]
15-136735,http://tshop.r10s.jp/rakuten24/cabinet/e4856/e485684h_l.jpg?fitin=700:700,8811.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,SK11 デジタルトルクレンチ 専用ハードケース付き SDT3-060【楽天24】【あす楽対応】[SK11 レンチ],SK11/送料無料,"<p>送料無料/SK11 デジタルトルクレンチ 専用ハードケース付き SDT3-060<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞レンチ＞<br>ブランド：SK11/発売元：藤原産業</p>重量：480g   サイズ：幅48×高さ225×奥行40mm<br>原産国：台湾<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「SK11 デジタルトルクレンチ 専用ハードケース付き SDT3-060」は、ボルトナット(M6-M12)の締付けトルク値の測定作業をする際に、デジタル表示で正確・高精度なトルク管理が可能です。しかも操作が簡単です。設定トルク到達時、ブザー音とLEDの光でお知らせします。右ネジ、左ネジ両方向の測定が可能です。設定トルク値と測定トルク値を他の単位換算出来ます。約2分間操作しなければ自動的に電源が切れるオートスリープ機能付きです。専用ハードケース付き。<br><b>用途</b><br>ボルトナット(M6-M12)の締付け、トルク値の測定作業。<br><b>ご注意</b><br>ご使用前に必ず取扱い説明書をお読みください。<br><b>製品仕様</b><br>●差込角：9.5mm(3/8インチ)<br>●測定範囲：3-60N・m<br>●測定精度：右ネジ±3%・左ネジ±4%<br>●測定単位：N・m(単位換算機能付きkgf・cm、lbf・in、lbf・ft)<br>●ラチェットギア数：52山<br>●電源：単4乾電池2本<br>●操作モード：ピークホールドモード、トラックモード<br><b>材質</b><br>●ヘッド部：クロムモリブデン鋼<br>●本体：ABS樹脂<br>●グリップ：ABS樹脂、TPR樹脂<br><b>原産国</b><br>台湾<br><b>お問い合わせ先</b><br>藤原産業株式会社<br>0794-86-8200<br>JANコード：　4977292240017<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",SK11 デジタルトルクレンチ 専用ハードケース付き SDT3-060【楽天24】【あす楽対応】[SK11 レンチ]：楽天24,SK11 デジタルトルクレンチ 専用ハードケース付き SDT3-060【楽天24】【あす楽対応】[SK11 レンチ],SK11/送料無料。SK11 デジタルトルクレンチ 専用ハードケース付き SDT3-060【楽天24】【あす楽対応】[SK11 レンチ][rn]
15-136736,http://tshop.r10s.jp/rakuten24/cabinet/e2645/e264575h_l.jpg?fitin=700:700,895.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ボンダス ゴリラ・グリップレンチ 12591【楽天24】[ボンダス レンチ],ボンダス/税抜1880円以上送料無料,"<p>税抜1880円以上送料無料/ボンダス ゴリラ・グリップレンチ 12591<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞レンチ＞<br>ブランド：ボンダス/製造元：ボンダス・ジャパン</p> 重量：100g  サイズ：97×21×32mm <br><br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「ボンダス ゴリラ・グリップレンチ 12591」は、ナイフ式でコンパクトに収納でき、携帯に便利な六角穴付ボルトです。六角穴付き止めネジの締め付けや、緩め作業にご使用ください。<br>サイズ：.050・1/16・5/64・3/32・7/64・1/8・9/64・5/32・3/16インチ。 9本組。<br><b>材質</b><br>●本体：プロテニアムTM合金鋼<br>JANコード：　0037231125912<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",ボンダス ゴリラ・グリップレンチ 12591【楽天24】[ボンダス レンチ]：楽天24,ボンダス ゴリラ・グリップレンチ 12591【楽天24】[ボンダス レンチ],ボンダス/税抜1880円以上送料無料。ボンダス ゴリラ・グリップレンチ 12591【楽天24】[ボンダス レンチ][rn]
15-136737,http://tshop.r10s.jp/rakuten24/cabinet/e2657/e265719h_l.jpg?fitin=700:700,2967.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,SK11 1/2ソケットレンチセット TS-413M 13PCS【楽天24】[SK11 レンチ],SK11/送料無料,"<p>送料無料/SK11 1/2ソケットレンチセット TS-413M 13PCS<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞レンチ＞<br>ブランド：SK11/販売元：藤原産業</p>   <br><br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「SK11 1/2ソケットレンチセット TS-413M 13PCS」は、ソケットとレンチのセットです。クイックリリース機構で、ソケットの脱着はボタンを押すだけで簡単にできます。13ピース入り。<br><b>製品仕様</b><br>●差込角：12.7mm<br><b>材質</b><br>●クロームバナジウム鋼(ミラーポリッシュ仕上)<br><b>お問い合わせ先</b><br>藤原産業株式会社<br>大工道具・作業工具に関するお問い合わせ：0794-86-8201<br>電動工具に関するお問い合わせ：0794-86-8202<br>園芸機器・園芸道具に関するお問い合わせ：0794-86-8203<br>(受付時間は平日9：00-17：00)<br>JANコード：　4977292265102<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",SK11 1/2ソケットレンチセット TS-413M 13PCS【楽天24】[SK11 レンチ]：楽天24,SK11 1/2ソケットレンチセット TS-413M 13PCS【楽天24】[SK11 レンチ],SK11/送料無料。SK11 1/2ソケットレンチセット TS-413M 13PCS【楽天24】[SK11 レンチ][rn]
15-136738,http://tshop.r10s.jp/monju/cabinet/ryobi/6076647-01.jpg?fitin=700:700,336.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,RYOBI（リョービ）ポリ袋(10枚),,RYOBI 集じん機　VC-50用オプション,RYOBI（リョービ）ポリ袋(10枚)：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアRYOBI（リョービ）ポリ袋(10枚),RYOBI（リョービ）ポリ袋(10枚)[rn]
15-136739,http://tshop.r10s.jp/monju/cabinet/03302195/imgrc0064429241.jpg?fitin=700:700,25600.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,アイリスオーヤマ　サイクロンクリーナー乾式・低騒音タイプ,,"特長
<br>●紙パックが不要なダストボックスは、ゴミ捨てが簡単で水洗いもできます。
<br>●モーターの振動音、排気音の軽減など独自の技術により既存品よりも騒音値を1割抑えました。
<br>●スライド型手元スイッチで自由に吸収力を変更できます。
<br>●新型の超吸引毛取りヘッドで吸引仕事率600W相当、吸引持続率99％以上のゴミ除去能力が得られました。
<br><br>
仕様
<br>●消費電力：900W
<br>●電源：単相100V
<br>●吸込仕事率：150W
<br>●パイプ内径：32mm
<br>●コード長さ：5m
<br>●集じん容量(L):0.4
<br>●騒音値(dB):53&#12316;61
<br>●幅(mm):212
<br>●奥行(mm):340
<br>●高さ(mm):258
<br>●消費電力(W):850
<br>●電源(V):100
<br>●質量(kg):4.7",アイリスオーヤマ　サイクロンクリーナー乾式・低騒音タイプ：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアアイリスオーヤマ　サイクロンクリーナー乾式・低騒音タイプ,アイリスオーヤマ　サイクロンクリーナー乾式・低騒音タイプ[rn]
15-136740,http://tshop.r10s.jp/monju/cabinet/ryobi/ajp-1520-01.jpg?fitin=700:700,19334.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,RYOBI（リョービ）高圧洗浄機AJP-1520SP,,"吐出圧調整：あり(電子制御)<br>
定格電力：1,350W<br>
定格電流：13.5A<br>
吐出圧力：4/7.3Mpa<br>
最大許容圧力：10Mpa<br>
吐出流量：4/5.5　L/min<br>
最大吐出流量：6.3L/min<br>
許容水温：40℃以下<br>
本体質量：6.5kg<br>
高圧ホース：6m
付属品：柔らか高圧ホース(6m)<BR>
        バリアブルノズルランス<BR>
        ターボノズルランス<BR>
        柔らか延長高圧ホース(8m)<BR>
        ワンタッチジョイント<BR>
        吸水コネクタ<BR>
        ノズルクリーナピン<BR>
        吸水ホース(3m)<BR>
        ホースバンド",RYOBI（リョービ）高圧洗浄機AJP-1520SP：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアRYOBI（リョービ）高圧洗浄機AJP-1520SP,RYOBI（リョービ）高圧洗浄機AJP-1520SP[rn]
15-136741,http://tshop.r10s.jp/monju/cabinet/ryobi/ajp-1620-01.jpg?fitin=700:700,22252.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,RYOBI（リョービ）高圧洗浄機AJP-1620SP,,"吐出圧調整：あり(電子制御)<br>
定格電力：1,350W<br>
定格電流：13.5A<br>
吐出圧力：4/7.3Mpa<br>
最大許容圧力：10Mpa<br>
吐出流量：4/5.5　L/min<br>
最大吐出流量：6.3L/min<br>
許容水温：40℃以下<br>
本体質量：7.9kg<br>
高圧ホース：6m
付属品：柔らか高圧ホース(6m)<BR>
        バリアブルノズルランス<BR>
        ターボノズルランス<BR>
        柔らか延長高圧ホース(8m)<BR>
　　　　泡ノズル<br>
        ワンタッチジョイント<BR>
        吸水コネクタ<BR>
        ノズルクリーナピン<BR>
        吸水ホース(3m)<BR>
        ホースバンド",RYOBI（リョービ）高圧洗浄機AJP-1620SP：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアRYOBI（リョービ）高圧洗浄機AJP-1620SP,RYOBI（リョービ）高圧洗浄機AJP-1620SP[rn]
15-136742,http://tshop.r10s.jp/monju/cabinet/ryobi/ajp-1420-01.jpg?fitin=700:700,15504.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,RYOBI（リョービ）高圧洗浄機AJP-1420SP,,"定格電力：1,350W<br>
定格電流：13.5A<br>
吐出圧力：7.3Mpa<br>
最大許容圧力：10Mpa<br>
吐出流量：5.5L/min<br>
最大吐出流量：6.3L/min<br>
許容水温：40℃以下<br>
本体質量：6.4kg<br>
高圧ホース：6m
付属品：柔らか高圧ホース(6m)<BR>
        バリアブルノズルランス<BR>
        ターボノズルランス<BR>
        柔らか延長高圧ホース(8m)<BR>
        ワンタッチジョイント<BR>
        吸水コネクタ<BR>
        ノズルクリーナピン<BR>
        吸水ホース(3m)<BR>
        ホースバンド",RYOBI（リョービ）高圧洗浄機AJP-1420SP：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアRYOBI（リョービ）高圧洗浄機AJP-1420SP,RYOBI（リョービ）高圧洗浄機AJP-1420SP[rn]
15-136743,http://tshop.r10s.jp/monju/cabinet/ryobi/ajp-1700v-01.jpg?fitin=700:700,31200.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,RYOBI（リョービ）高圧洗浄機AJP-1700V,,,RYOBI（リョービ）高圧洗浄機AJP-1700V：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアRYOBI（リョービ）高圧洗浄機AJP-1700V,RYOBI（リョービ）高圧洗浄機AJP-1700V[rn]
15-136744,http://tshop.r10s.jp/monju/cabinet/ryobi/ajp-1700vgq-01.jpg?fitin=700:700,34800.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,RYOBI（リョービ）高圧洗浄機AJP-1700VGQ,,"◆自吸機能付き溜水が利用できとっても経済的<BR> 
◆電源コード長さ5m<BR>　 
・二重絶縁構造<BR>
・真水用<Br> 
・溜水用<BR>　 
吐出圧：3～7.5MPa<BR>
水量：3.5～6L/min",RYOBI（リョービ）高圧洗浄機AJP-1700VGQ：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアRYOBI（リョービ）高圧洗浄機AJP-1700VGQ,RYOBI（リョービ）高圧洗浄機AJP-1700VGQ[rn]
15-136745,http://tshop.r10s.jp/monju/cabinet/ryobi/ajp-1210-01.jpg?fitin=700:700,9000.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,RYOBI（リョービ）高圧洗浄機AJP-1210,,,RYOBI（リョービ）高圧洗浄機AJP-1210：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアRYOBI（リョービ）高圧洗浄機AJP-1210,RYOBI（リョービ）高圧洗浄機AJP-1210[rn]
15-136746,http://tshop.r10s.jp/monju/cabinet/outlet/ghw10.jpg?fitin=700:700,400.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,【在庫処分品】トネ(TONE)グリップヘキサゴンレンチ 10　GHW-10,,,【在庫処分品】トネ(TONE)グリップヘキサゴンレンチ 10　GHW-10：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア【在庫処分品】トネ(TONE)グリップヘキサゴンレンチ 10　GHW-10,【在庫処分品】トネ(TONE)グリップヘキサゴンレンチ 10　GHW-10[rn]
15-136747,http://tshop.r10s.jp/monju/cabinet/tone_01/m44-5507_2427-01.jpg?fitin=700:700,800.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,【在庫処分品】トネ(TONE)ロングメカニックめがねレンチ(45°×10°)19×21　M44-1921,,,【在庫処分品】トネ(TONE)ロングメカニックめがねレンチ(45&deg;&times;10&deg;)19&times;21　M44-1921：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア【在庫処分品】トネ(TONE)ロングメカニックめがねレンチ(45&deg;&times;10&deg;)19&times;21　M44-1921,【在庫処分品】トネ(TONE)ロングメカニックめがねレンチ(45&deg;&times;10&deg;)19&times;21　M44-1921[rn]
