15-163901,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/imgrc0061980878.jpg?fitin=700:700,49840.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲMマフラー VAB WRX STI 2.0 ターボ,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR>


VAB WRX STI 2.0 ターボ
    ボディ型式 ： CBA-VAB
    エンジン型式 ： EJ20
    年式 ： H26.08～ 




<BR>特記事項 右側シングル出し。",FGK（フジツボ）オーソライズＲMマフラー VAB WRX STI 2.0 ターボ：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲMマフラー VAB WRX STI 2.0 ターボ,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲMマフラー VAB WRX STI 2.0 ターボ[rn]
15-163962,http://tshop.r10s.jp/unionproduce-ra/cabinet/muffler/imgrc0067757082.jpg?fitin=700:700,31680.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[フジツボ]JM23W AZ-オフロード用マフラー(オーソライズK),【代引き不可商品&amp;沖縄離島は送料要問合せ】,"◆FUJITSUBO（藤壺技研）<br>
製 品 名：AUTHORIZE K<br>
品　　番：760-80917<br>
◆対応車種<br>
車　　名：AZ-オフロード<br>
型　　式：ABA-JM23W<br>
エンジン：K6A<br>
年　　式：H10.10～H26.03<br>
特記事項：<br>
1：マッドフラップ装着車は取り外しまたはマッドフラップ要加工<br>
備　　考：詳細データーはJB23Wジムニーターボのものです<br>
◆仕　様<br>
出口形状：90.0φラウンドOストレート<br>
パイプ径：50.8φ-45.0φ-50.8φ-60.5φ<br>
最低地上高：ルーフ高1725mm（車検証1710mm）車で測定、フロントマフラー後部で250mm<br>
付属品リスト：<br>
・リングガスケット×1 <br>
・M10×20フランジボルト・ナットセット×2 <br>
・マフラーサポートブッシュ×2<br>
<br><br>
◆納　　期<br> 
・メーカー直送商品です。メーカー在庫がある場合は「1営業日～3営業日」で発送いたします。<br>
※メーカー欠品や受注生産商品もございますので、ご購入前にお問い合わせください。<br>
ご購入後のキャンセルには対応できません。<br>
<br>
◆お支払方法<br> 
※こちらの商品はメーカー直送品のため代引きはできません。<br>
<br>
◆送料<br> 
沖縄、離島はご購入前にお問合せ下さい。<br>
<br>
◆注意事項<br>
・予想できない事情で、装着できない場合もございますので、必ず仮合わせをしてください。<br>
・装着後の返品、交換は一切お受けできません。<br>
・地上高、対応車種のデータは純正車高でのデータですので、ダウンサスや車高調装着車は除きます。<br>",[フジツボ]JM23W AZ-オフロード用マフラー(オーソライズK)：シート・レール専門ユニプロ,[フジツボ]JM23W AZ-オフロード用マフラー(オーソライズK),【代引き不可商品&amp;沖縄離島は送料要問合せ】。[フジツボ]JM23W AZ-オフロード用マフラー(オーソライズK)[rn]
15-163963,http://tshop.r10s.jp/unionproduce-ra/cabinet/muffler/imgrc0067757050.jpg?fitin=700:700,34720.8000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[フジツボ]MJ23S AZワゴンカスタムスタイル(ターボ/2WD)用マフラー(オーソライズK),【代引き不可商品&amp;沖縄離島は送料要問合せ】,"◆FUJITSUBO（藤壺技研）<br>
製 品 名：AUTHORIZE K<br>
品　　番：750-80281<br>
◆対応車種<br>
車　　名：AZワゴン カスタムスタイル ターボ 2WD<br>
型　　式：CBA-MJ23S<br>
エンジン：K6A<br>
年　　式：H20.09～H22.08<br>
特記事項：<br>
1：カスタムスタイル XT・XT-Lグレード共通<br>
備　　考：詳細データはMH23Sのもの<br>
◆仕　様<br>
出口形状：70φ ラウンドスラッシュ(W)<br>
パイプ径：38.1φ-50.8φ-45.0φ<br>
最低地上高：ルーフ高1654mm（車検証1670mm）車で測定、左テール前部（後軸より319mm後方）で191mm<br>
付属品リスト：<br>
・リングガスケット×1 <br>
・M10×20フランジボルト・ナットセット×2 <br>
・吊り下げラバーステー×1<br>
<br><br>
◆納　　期<br> 
・メーカー直送商品です。メーカー在庫がある場合は「1営業日～3営業日」で発送いたします。<br>
※メーカー欠品や受注生産商品もございますので、ご購入前にお問い合わせください。<br>
ご購入後のキャンセルには対応できません。<br>
<br>
◆お支払方法<br> 
※こちらの商品はメーカー直送品のため代引きはできません。<br>
<br>
◆送料<br> 
沖縄、離島はご購入前にお問合せ下さい。<br>
<br>
◆注意事項<br>
・予想できない事情で、装着できない場合もございますので、必ず仮合わせをしてください。<br>
・装着後の返品、交換は一切お受けできません。<br>
・地上高、対応車種のデータは純正車高でのデータですので、ダウンサスや車高調装着車は除きます。<br>",[フジツボ]MJ23S AZワゴンカスタムスタイル(ターボ/2WD)用マフラー(オーソライズK)：シート・レール専門ユニプロ,[フジツボ]MJ23S AZワゴンカスタムスタイル(ターボ/2WD)用マフラー(オーソライズK),【代引き不可商品&amp;沖縄離島は送料要問合せ】。[フジツボ]MJ23S AZワゴンカスタムスタイル(ターボ/2WD)用マフラー(オーソライズK)[rn]
15-163964,http://tshop.r10s.jp/unionproduce-ra/cabinet/muffler/imgrc0067757261.jpg?fitin=700:700,41817.6000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[フジツボ]DK5AW CX-3(1.5DT/4WD)用マフラー(オーソライズS),【代引き不可商品&amp;沖縄離島は送料要問合せ】,"◆FUJITSUBO（藤壺技研）<br>
製 品 名：AUTHORIZE S<br>
品　　番：360-47901<br>
◆対応車種<br>
車　　名：CX-3 1.5 DT 4WD<br>
型　　式：LDA-DK5AW<br>
エンジン：S5-DPTS･S5-DPTR<br>
年　　式：H27.02～<br>
特記事項：<br>
1：AT車専用<br>
2：4WD車専用<br>
3：i-ELOOP付車(S5-DPTR)共通<br>
備　　考：-----<br>
◆仕　様<br>
出口形状：94φラウンドスラッシュ（R,L）<br>
パイプ径：54.0φ-60.5φ<br>
最低地上高：ルーフ高1543mm（車検証1550mm）車で測定、純正接合フランジ部で195mm<br>
付属品リスト：<br>
・リングガスケット×1 <br>
・M10×35フランジボルト･ナットセット×2 <br>
<br><br>
◆納　　期<br> 
・メーカー直送商品です。メーカー在庫がある場合は「1営業日～3営業日」で発送いたします。<br>
※メーカー欠品や受注生産商品もございますので、ご購入前にお問い合わせください。<br>
ご購入後のキャンセルには対応できません。<br>
<br>
◆お支払方法<br> 
※こちらの商品はメーカー直送品のため代引きはできません。<br>
<br>
◆送料<br> 
沖縄、離島はご購入前にお問合せ下さい。<br>
<br>
◆注意事項<br>
・予想できない事情で、装着できない場合もございますので、必ず仮合わせをしてください。<br>
・装着後の返品、交換は一切お受けできません。<br>
・地上高、対応車種のデータは純正車高でのデータですので、ダウンサスや車高調装着車は除きます。<br>",[フジツボ]DK5AW CX-3(1.5DT/4WD)用マフラー(オーソライズS)：シート・レール専門ユニプロ,[フジツボ]DK5AW CX-3(1.5DT/4WD)用マフラー(オーソライズS),【代引き不可商品&amp;沖縄離島は送料要問合せ】。[フジツボ]DK5AW CX-3(1.5DT/4WD)用マフラー(オーソライズS)[rn]
15-163965,http://tshop.r10s.jp/unionproduce-ra/cabinet/muffler/imgrc0067757059.jpg?fitin=700:700,47520.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[フジツボ]JM23W AZ-オフロード用マフラー(オーソライズK),【代引き不可商品&amp;沖縄離島は送料要問合せ】,"◆FUJITSUBO（藤壺技研）<br>
製 品 名：AUTHORIZE K<br>
品　　番：760-80911<br>
◆対応車種<br>
車　　名：AZ-オフロード<br>
型　　式：ABA-JM23W<br>
エンジン：K6A<br>
年　　式：H16.10～H26.03<br>
特記事項：<br>
1：マッドフラップ装着車は取り外しまたはマッドフラップ要加工<br>
備　　考：詳細データーはJB23Wジムニーターボのものです<br>
◆仕　様<br>
出口形状：90φスラッシュ（12゜）<br>
パイプ径：50.8φ-60.5φ<br>
最低地上高：ルーフ高1680mm（車検証1680mm）車で測定、テール中央部(後軸より407mm後方)で303mm<br>
付属品リスト：<br>
・リングガスケット×1 <br>
・M10×20フランジボルト・ナットセット×2 <br>
・吊りゴム×2<br>
<br><br>
◆納　　期<br> 
・メーカー直送商品です。メーカー在庫がある場合は「1営業日～3営業日」で発送いたします。<br>
※メーカー欠品や受注生産商品もございますので、ご購入前にお問い合わせください。<br>
ご購入後のキャンセルには対応できません。<br>
<br>
◆お支払方法<br> 
※こちらの商品はメーカー直送品のため代引きはできません。<br>
<br>
◆送料<br> 
沖縄、離島はご購入前にお問合せ下さい。<br>
<br>
◆注意事項<br>
・予想できない事情で、装着できない場合もございますので、必ず仮合わせをしてください。<br>
・装着後の返品、交換は一切お受けできません。<br>
・地上高、対応車種のデータは純正車高でのデータですので、ダウンサスや車高調装着車は除きます。<br>",[フジツボ]JM23W AZ-オフロード用マフラー(オーソライズK)：シート・レール専門ユニプロ,[フジツボ]JM23W AZ-オフロード用マフラー(オーソライズK),【代引き不可商品&amp;沖縄離島は送料要問合せ】。[フジツボ]JM23W AZ-オフロード用マフラー(オーソライズK)[rn]
15-163966,http://tshop.r10s.jp/unionproduce-ra/cabinet/muffler/imgrc0067756624.jpg?fitin=700:700,28512.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[フジツボ]MD21S/MD22S AZワゴン RR(2WD)用マフラー(レガリスK ),【代引き不可商品&amp;沖縄離島は送料要問合せ】,"◆FUJITSUBO（藤壺技研）<br>
製 品 名：Legalis K<br>
品　　番：450-80233<br>
◆対応車種<br>
車　　名：AZワゴン RR 2WD<br>
型　　式：GF-MD21S･TA-MD22S<br>
エンジン：K6A<br>
年　　式：H10.10～H14.09<br>
特記事項：<br>
1：ターボ専用<br>
備　　考：詳細データはMC11S ワゴンＲ ターボ 2WDのもの<br>
◆仕　様<br>
出口形状：96×91φラウンドオーバルスラッシュ<br>
パイプ径：45.0φ-50.8φ<br>
最低地上高：ルーフ高1635mm（車検証1640mm）車で測定、テール前部で165mm<br>
付属品リスト：<br>
・リングガスケット×2 <br>
・M10×20フランジボルト・ナットセット×4 <br>
・マウントプロテクター×2 <br>
・吊りゴム×1<br>
<br><br>
◆納　　期<br> 
・メーカー直送商品です。メーカー在庫がある場合は「1営業日～3営業日」で発送いたします。<br>
※メーカー欠品や受注生産商品もございますので、ご購入前にお問い合わせください。<br>
ご購入後のキャンセルには対応できません。<br>
<br>
◆お支払方法<br> 
※こちらの商品はメーカー直送品のため代引きはできません。<br>
<br>
◆送料<br> 
沖縄、離島はご購入前にお問合せ下さい。<br>
<br>
◆注意事項<br>
・予想できない事情で、装着できない場合もございますので、必ず仮合わせをしてください。<br>
・装着後の返品、交換は一切お受けできません。<br>
・地上高、対応車種のデータは純正車高でのデータですので、ダウンサスや車高調装着車は除きます。<br>",[フジツボ]MD21S/MD22S AZワゴン RR(2WD)用マフラー(レガリスK )：シート・レール専門ユニプロ,[フジツボ]MD21S/MD22S AZワゴン RR(2WD)用マフラー(レガリスK ),【代引き不可商品&amp;沖縄離島は送料要問合せ】。[フジツボ]MD21S/MD22S AZワゴン RR(2WD)用マフラー(レガリスK )[rn]
15-163967,http://tshop.r10s.jp/unionproduce-ra/cabinet/muffler/imgrc0067757859.jpg?fitin=700:700,63232.8000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[フジツボ]KEEFW/KEEAW  CX-5(ガソリン)用マフラー(オーソライズS),【代引き不可商品&amp;沖縄離島は送料要問合せ】,"◆FUJITSUBO（藤壺技研）<br>
製 品 名：AUTHORIZE S<br>
品　　番：360-47702<br>
◆対応車種<br>
車　　名：CX-5 2.0 ガソリン 2WD/4WD<br>
型　　式：DBA-KEEFW・DBA-KEEAW<br>
エンジン：PE-VPS<br>
年　　式：H24.02～（2WD） / H24.02～H25.10（4WD）<br>
特記事項：-----<br>
備　　考：-----<br>
◆仕　様<br>
出口形状：102φ ラウンドスラッシュ（R.L）<br>
パイプ径：60.5φ<br>
最低地上高：ルーフ高1675mm（車検証1700mm）で測定、リアマフラー右横部で191mm<br>
付属品リスト：<br>
・リングガスケット×1 <br>
・M10×35フランジボルト･ナットセット×2 <br>
<br><br>
◆納　　期<br> 
・メーカー直送商品です。メーカー在庫がある場合は「1営業日～3営業日」で発送いたします。<br>
※メーカー欠品や受注生産商品もございますので、ご購入前にお問い合わせください。<br>
ご購入後のキャンセルには対応できません。<br>
<br>
◆お支払方法<br> 
※こちらの商品はメーカー直送品のため代引きはできません。<br>
<br>
◆送料<br> 
沖縄、離島はご購入前にお問合せ下さい。<br>
<br>
◆注意事項<br>
・予想できない事情で、装着できない場合もございますので、必ず仮合わせをしてください。<br>
・装着後の返品、交換は一切お受けできません。<br>
・地上高、対応車種のデータは純正車高でのデータですので、ダウンサスや車高調装着車は除きます。<br>",[フジツボ]KEEFW/KEEAW  CX-5(ガソリン)用マフラー(オーソライズS)：シート・レール専門ユニプロ,[フジツボ]KEEFW/KEEAW  CX-5(ガソリン)用マフラー(オーソライズS),【代引き不可商品&amp;沖縄離島は送料要問合せ】。[フジツボ]KEEFW/KEEAW  CX-5(ガソリン)用マフラー(オーソライズS)[rn]
15-163968,http://tshop.r10s.jp/unionproduce-ra/cabinet/muffler/imgrc0067757026.jpg?fitin=700:700,29145.6000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[フジツボ]MJ22S AZワゴンカスタムスタイル(NA)用マフラー(レガリスK ),【代引き不可商品&amp;沖縄離島は送料要問合せ】,"◆FUJITSUBO（藤壺技研）<br>
製 品 名：Legalis K<br>
品　　番：450-80273<br>
◆対応車種<br>
車　　名：AZワゴン カスタムスタイル NA 2WD・4WD<br>
型　　式：DBA-MJ22S<br>
エンジン：K6A<br>
年　　式：H19.02～H20.09<br>
特記事項：<br>
1：4AT車専用<br>
備　　考：詳細データはMH21S FX-Sリミテッドのもの<br>
◆仕　様<br>
出口形状：60.5φラウンドストレート<br>
パイプ径：38.1φ-45.0φ-50.8φ<br>
最低地上高：ルーフ高1627mm（車検証1630mm）車で測定、リアマフラー後部168mm<br>
付属品リスト：<br>
・リングガスケット×1 <br>
・M10×20フランジボルト・ナットセット×2 <br>
・吊りゴム×1<br>
<br><br>
◆納　　期<br> 
・メーカー直送商品です。メーカー在庫がある場合は「1営業日～3営業日」で発送いたします。<br>
※メーカー欠品や受注生産商品もございますので、ご購入前にお問い合わせください。<br>
ご購入後のキャンセルには対応できません。<br>
<br>
◆お支払方法<br> 
※こちらの商品はメーカー直送品のため代引きはできません。<br>
<br>
◆送料<br> 
沖縄、離島はご購入前にお問合せ下さい。<br>
<br>
◆注意事項<br>
・予想できない事情で、装着できない場合もございますので、必ず仮合わせをしてください。<br>
・装着後の返品、交換は一切お受けできません。<br>
・地上高、対応車種のデータは純正車高でのデータですので、ダウンサスや車高調装着車は除きます。<br>",[フジツボ]MJ22S AZワゴンカスタムスタイル(NA)用マフラー(レガリスK )：シート・レール専門ユニプロ,[フジツボ]MJ22S AZワゴンカスタムスタイル(NA)用マフラー(レガリスK ),【代引き不可商品&amp;沖縄離島は送料要問合せ】。[フジツボ]MJ22S AZワゴンカスタムスタイル(NA)用マフラー(レガリスK )[rn]
15-163969,http://tshop.r10s.jp/unionproduce-ra/cabinet/muffler/imgrc0067756871.jpg?fitin=700:700,29145.6000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[フジツボ]MJ21S AZワゴン(NA/2WD)用マフラー(レガリスK ),【代引き不可商品&amp;沖縄離島は送料要問合せ】,"◆FUJITSUBO（藤壺技研）<br>
製 品 名：Legalis K<br>
品　　番：450-80251<br>
◆対応車種<br>
車　　名：AZワゴン NA 2WD<br>
型　　式：UA,CBA-MJ21S<br>
エンジン：K6A<br>
年　　式：H15.10～H16.12<br>
特記事項：-----<br>
備　　考：詳細データはUA-MH21S ワゴンR NA 2WDのもの<br>
◆仕　様<br>
出口形状：96×91φラウンドオーバルスラッシュ<br>
パイプ径：45.0φ-50.8φ<br>
最低地上高：ルーフ高1634mm（車検証1640mm）車で測定、テール前部（後軸より330mm後方）で154mm<br>
付属品リスト：<br>
・リングガスケット×2 <br>
・M10×20フランジボルト、ナットセット×4 <br>
・吊りゴム×1<br>
<br><br>
◆納　　期<br> 
・メーカー直送商品です。メーカー在庫がある場合は「1営業日～3営業日」で発送いたします。<br>
※メーカー欠品や受注生産商品もございますので、ご購入前にお問い合わせください。<br>
ご購入後のキャンセルには対応できません。<br>
<br>
◆お支払方法<br> 
※こちらの商品はメーカー直送品のため代引きはできません。<br>
<br>
◆送料<br> 
沖縄、離島はご購入前にお問合せ下さい。<br>
<br>
◆注意事項<br>
・予想できない事情で、装着できない場合もございますので、必ず仮合わせをしてください。<br>
・装着後の返品、交換は一切お受けできません。<br>
・地上高、対応車種のデータは純正車高でのデータですので、ダウンサスや車高調装着車は除きます。<br>",[フジツボ]MJ21S AZワゴン(NA/2WD)用マフラー(レガリスK )：シート・レール専門ユニプロ,[フジツボ]MJ21S AZワゴン(NA/2WD)用マフラー(レガリスK ),【代引き不可商品&amp;沖縄離島は送料要問合せ】。[フジツボ]MJ21S AZワゴン(NA/2WD)用マフラー(レガリスK )[rn]
15-163970,http://tshop.r10s.jp/unionproduce-ra/cabinet/muffler/imgrc0067756849.jpg?fitin=700:700,28512.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[フジツボ]MJ21S AZワゴン RR(2WD)用マフラー(レガリスK ),【代引き不可商品&amp;沖縄離島は送料要問合せ】,"◆FUJITSUBO（藤壺技研）<br>
製 品 名：Legalis K<br>
品　　番：450-80245<br>
◆対応車種<br>
車　　名：AZワゴン RR 2WD<br>
型　　式：LA,ABA-MJ21S<br>
エンジン：K6A<br>
年　　式：H15.10～H16.12<br>
特記事項：-----<br>
備　　考：詳細はMC22Sマイナー後のもの<br>
◆仕　様<br>
出口形状：96×91φラウンドオーバルスラッシュ<br>
パイプ径：45.0φ-50.8φ<br>
最低地上高：ルーフ高1635mm（車検証1670mm）車で測定、テールパイプ前部で182mm<br>
付属品リスト：<br>
・リングガスケット×2 <br>
・M10×20フランジボルト×4 <br>
・M10フランジナット×2 <br>
・吊りゴム×1<br>
<br><br>
◆納　　期<br> 
・メーカー直送商品です。メーカー在庫がある場合は「1営業日～3営業日」で発送いたします。<br>
※メーカー欠品や受注生産商品もございますので、ご購入前にお問い合わせください。<br>
ご購入後のキャンセルには対応できません。<br>
<br>
◆お支払方法<br> 
※こちらの商品はメーカー直送品のため代引きはできません。<br>
<br>
◆送料<br> 
沖縄、離島はご購入前にお問合せ下さい。<br>
<br>
◆注意事項<br>
・予想できない事情で、装着できない場合もございますので、必ず仮合わせをしてください。<br>
・装着後の返品、交換は一切お受けできません。<br>
・地上高、対応車種のデータは純正車高でのデータですので、ダウンサスや車高調装着車は除きます。<br>",[フジツボ]MJ21S AZワゴン RR(2WD)用マフラー(レガリスK )：シート・レール専門ユニプロ,[フジツボ]MJ21S AZワゴン RR(2WD)用マフラー(レガリスK ),【代引き不可商品&amp;沖縄離島は送料要問合せ】。[フジツボ]MJ21S AZワゴン RR(2WD)用マフラー(レガリスK )[rn]
15-163971,http://tshop.r10s.jp/unionproduce-ra/cabinet/muffler/imgrc0067756833.jpg?fitin=700:700,29145.6000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[フジツボ]MD21S/MD22S AZワゴン RR(2WD)用マフラー(レガリスK ),【代引き不可商品&amp;沖縄離島は送料要問合せ】,"◆FUJITSUBO（藤壺技研）<br>
製 品 名：Legalis K<br>
品　　番：460-80235<br>
◆対応車種<br>
車　　名：AZワゴン RR 2WD<br>
型　　式：GF-MD21S･TA-MD22S<br>
エンジン：K6A<br>
年　　式：H10.10～H14.09<br>
特記事項：<br>
1：ツインカム2WDは非VVTエンジン専用<br>
備　　考：詳細データはMC21S ワゴンＲ RR 2WDのもの<br>
◆仕　様<br>
出口形状：96×91φラウンドオーバルスラッシュ<br>
パイプ径：45.0φ-50.8φ<br>
最低地上高：ルーフ高1635mm(車検証1640mm)車で測定、テール前部で164mm<br>
付属品リスト：<br>
・リングガスケット×2 <br>
・M10×20フランジボルト・ナットセット×4 <br>
・マウントプロテクター×2 <br>
・吊りゴム×1<br>
<br><br>
◆納　　期<br> 
・メーカー直送商品です。メーカー在庫がある場合は「1営業日～3営業日」で発送いたします。<br>
※メーカー欠品や受注生産商品もございますので、ご購入前にお問い合わせください。<br>
ご購入後のキャンセルには対応できません。<br>
<br>
◆お支払方法<br> 
※こちらの商品はメーカー直送品のため代引きはできません。<br>
<br>
◆送料<br> 
沖縄、離島はご購入前にお問合せ下さい。<br>
<br>
◆注意事項<br>
・予想できない事情で、装着できない場合もございますので、必ず仮合わせをしてください。<br>
・装着後の返品、交換は一切お受けできません。<br>
・地上高、対応車種のデータは純正車高でのデータですので、ダウンサスや車高調装着車は除きます。<br>",[フジツボ]MD21S/MD22S AZワゴン RR(2WD)用マフラー(レガリスK )：シート・レール専門ユニプロ,[フジツボ]MD21S/MD22S AZワゴン RR(2WD)用マフラー(レガリスK ),【代引き不可商品&amp;沖縄離島は送料要問合せ】。[フジツボ]MD21S/MD22S AZワゴン RR(2WD)用マフラー(レガリスK )[rn]
15-163972,http://tshop.r10s.jp/unionproduce-ra/cabinet/muffler/imgrc0067756838.jpg?fitin=700:700,30412.8000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[フジツボ]MD21S/MD22S AZワゴン RR(2WD)用マフラー(パワーゲッター),【代引き不可商品&amp;沖縄離島は送料要問合せ】,"◆FUJITSUBO（藤壺技研）<br>
製 品 名：POWER Getter<br>
品　　番：160-80234<br>
◆対応車種<br>
車　　名：AZワゴン RR 2WD<br>
型　　式：GF-MD21S･TA-MD22S<br>
エンジン：K6A<br>
年　　式：H10.10～H14.09<br>
特記事項：<br>
1：2WD車専用<br>
2：純正リアアンダースポイラー装着車取付不可<br>
備　　考：詳細データはMC21のもの<br>
◆仕　様<br>
出口形状：100φストレート（穴あり）<br>
パイプ径：45.0φ-60.5φ<br>
最低地上高：ルーフ高1640mm（車検証1640mm）車で測定、センターマフラー後部（後軸より240mm前方）で100mm<br>
付属品リスト：<br>
・リングガスケット×1 <br>
・M10×20フランジボルト・ナットセット×2 <br>
・M8×25ボルト・ナット・SW・PW（2コ）セット×1 <br>
・専用金具×1 <br>
・マウントプロテクター×1 <br>
・吊りゴム×1<br>
<br><br>
◆納　　期<br> 
・メーカー直送商品です。メーカー在庫がある場合は「1営業日～3営業日」で発送いたします。<br>
※メーカー欠品や受注生産商品もございますので、ご購入前にお問い合わせください。<br>
ご購入後のキャンセルには対応できません。<br>
<br>
◆お支払方法<br> 
※こちらの商品はメーカー直送品のため代引きはできません。<br>
<br>
◆送料<br> 
沖縄、離島はご購入前にお問合せ下さい。<br>
<br>
◆注意事項<br>
・予想できない事情で、装着できない場合もございますので、必ず仮合わせをしてください。<br>
・装着後の返品、交換は一切お受けできません。<br>
・地上高、対応車種のデータは純正車高でのデータですので、ダウンサスや車高調装着車は除きます。<br>",[フジツボ]MD21S/MD22S AZワゴン RR(2WD)用マフラー(パワーゲッター)：シート・レール専門ユニプロ,[フジツボ]MD21S/MD22S AZワゴン RR(2WD)用マフラー(パワーゲッター),【代引き不可商品&amp;沖縄離島は送料要問合せ】。[フジツボ]MD21S/MD22S AZワゴン RR(2WD)用マフラー(パワーゲッター)[rn]
15-163973,http://tshop.r10s.jp/mostprice/cabinet/tanabe/tan-med-touring-ga.jpg?fitin=700:700,34936.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,TANABE タナベ メダリオン ツーリング ジーエー マフラー 〔HWMAX12RW-GA〕 MAZDA CX-3,心地よいスポーツサウンドとエンジンフィール,"【適合車種】<br>
・マツダ CX-3 15/02- 型式：LDA-DK5FW エンジン：S5-DPTS<br>
(60mm-100mm)<br>
※確認車：2WD,6AT,1.5L,ディーゼルターボ<br><br>


【メダリオン ツーリング】<br>
性能とコストパフォーマンスに優れたエントリーモデル<br>
音質を上げるのではなく、音質を重視するころが心地よいドライビングへとたどり着く。<br>
<br>
※商品の詳細は TANABE タナベ のホームページをご確認下さい。<br>
<br>
※掲載の画像は、代表車種のイメージ画像です。<br>
車種によりそれぞれ形状が異なる場合がございます。ご了承ください。<br>
<br>
※タイトル（商品名）、商品説明に記載の適合車種情報は、タナベの適合情報を一部抜粋したものです。<br>
最新情報含め、ご注文前には必ず TANABE タナベ ホームページの「商品検索」で<br>
「商品コードNo.」と対応年式・型式・グレードなどが適合するかご確認ください。",TANABE タナベ メダリオン ツーリング ジーエー マフラー 〔HWMAX12RW-GA〕 MAZDA CX-3：モーストプライス,TANABE タナベ メダリオン ツーリング ジーエー マフラー 〔HWMAX12RW-GA〕 MAZDA CX-3,心地よいスポーツサウンドとエンジンフィール。TANABE タナベ メダリオン ツーリング ジーエー マフラー 〔HWMAX12RW-GA〕 MAZDA CX-3[rn]
15-163974,http://tshop.r10s.jp/rs-online/cabinet/kakimoto/imgrc0062965938.gif?fitin=700:700,29376.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,【 マツダ フレアワゴンカスタムスタイル XGターボ/XSターボ FF 型式 DAA-MM42S エンジン R06A-WA04A CVT 年式 2015/8- ≪ オールステンレス パイプ：50Φ テール径：65Φ リアピースのみ ≫≪ 品番：S44332 ≫】 柿本改マフラー 【 GTbox 06&Sマフラー 】 02P01Oct16,■ 送料無料 柿本マフラー KAKIMOTO ■,"・柿本改 KAKIMOTO
・GTbox 06&Sマフラー
※画像はメーカーさんのイメージです。
※車種や型式・年式によって詳細が異なります。
●保安基準など JASMA認証品
※一部車種・型式除く
※車検通過を保証しているわけではありません。車検受験資格を単品で持ち合わせている商品です。
●メインパイプ 50から60Φ
●テール径 80Φ ※一部車種：65Φ
●タイコ径 115Φ ※一部車種：96Φ
※インナーサイレンサー別売オプション
●材質 ステンレス製 ※一部部位除く
●テール形状 跳ね上げ仕様 ※一部車種除く
●交換部位 リアピース ※一部車種除く
・取付は車種別専用設計品ではありますが、車種によっては各所分解作業を伴いますので、作業に不安ある方は、最寄のショップ様や整備工場様などで実施なさる事をお勧めします。
・メーカーさんからのお取寄品となります。
※お時間お急ぎなお客様は、御購入お手続き前に納期のお問合せをなさって下さい。
※離島・沖縄県：送料分「着払い」",【 マツダ フレアワゴンカスタムスタイル XGターボ/XSターボ FF 型式 DAA-MM42S エンジン R06A-WA04A CVT 年式 2015/8- ≪ オールステンレス パイプ：50Φ テール径：65Φ リアピースのみ ≫≪ 品番：S44332 ≫】 柿本改マフラー 【 GTbox 06&amp;Sマフラー 】 02P01Oct16：アールエス,clazzio無限シートカバーケンスタイルKENSTYLEタントNBOXトムスマフラーHKSフジツボGANADORBellezzaステアリングアルファードヴェルファイアヴォクシーステップワゴン柿本S660【 マツダ フレアワゴンカスタムスタイル XGターボ/XSターボ FF 型式 DAA-MM42S エンジン R06A-WA04A CVT 年式 2015/8- ≪ オールステンレス パイプ：50Φ テール径：65Φ リアピースのみ ≫≪ 品番：S44332 ≫】 柿本改マフラー 【 GTbox 06&amp;Sマフラー 】 02P01Oct16,■ 送料無料 柿本マフラー KAKIMOTO ■。【 マツダ フレアワゴンカスタムスタイル XGターボ/XSターボ FF 型式 DAA-MM42S エンジン R06A-WA04A CVT 年式 2015/8- ≪ オールステンレス パイプ：50Φ テール径：65Φ リアピースのみ ≫≪ 品番：S44332 ≫】 柿本改マフラー 【 GTbox 06&amp;Sマフラー 】 02P01Oct16[rn]
