15-89701,http://tshop.r10s.jp/kurumalife/cabinet/products_down/rsr_zan.jpg?fitin=700:700,11232.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > サスペンション > 国産車用,【即納】RS-Rダウンサス ●ワゴンＲ　スティングレー MH23S / FF ＴＳ【S150D】RSRダウンサス,送料無料(沖縄・一部離島を除く)・代引手数料無料・一台分,"販売実績ナンバーワンのRS-Rダウンサスです。<br>
3年間5万km保証付き、国内生産品<br>
年式：20/9～<br>
排気量：660 TB 駆動方式：FF<br>
ダウン量：F 40～35 mm R 45～40 mm<br>
バネレート：F 3.06 R 2.35<br>
備考：ＴＳ",【即納】RS-Rダウンサス ●ワゴンＲ　スティングレー MH23S / FF ＴＳ【S150D】RSRダウンサス：クルマ生活,ＲＳ&minus;Ｒダウンサス車高調マフラーラテラルロッドタワーバーブレーキパッド新品即納安心親切丁寧スーパー車検対応送料無料サススプリングショックＲＳＲアールエスアール【即納】RS-Rダウンサス ●ワゴンＲ　スティングレー MH23S / FF ＴＳ【S150D】RSRダウンサス,送料無料(沖縄・一部離島を除く)・代引手数料無料・一台分。【即納】RS-Rダウンサス ●ワゴンＲ　スティングレー MH23S / FF ＴＳ【S150D】RSRダウンサス[rn]
15-89750,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/down-force-spring-01.jpg?fitin=700:700,13681.6000,,車用品・バイク用品 > カー用品 > サスペンション関連 > サスペンション > 国産車用,【ダウン量3年保証付き！】ZOOM ダウンフォース スカイライン　V36   サスペンション 1台分 サス,,,【ダウン量3年保証付き！】ZOOM ダウンフォース スカイライン　V36   サスペンション 1台分 サス：UJ-FACTORY,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【ダウン量3年保証付き！】ZOOM ダウンフォース スカイライン　V36   サスペンション 1台分 サス,3年間ヘタリ保証/ダウン量保証付き！コスパ追求のサスです★。【ダウン量3年保証付き！】ZOOM ダウンフォース スカイライン　V36   サスペンション 1台分 サス[rn]
15-89751,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/esp_downsasu.jpg?fitin=700:700,9856.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > サスペンション > 国産車用,【量産中】【 送料無料！】エスペリア ダウンサス エブリィワゴン　DA17W　※2WD / PZターボスペシャル / PZターボ / JPターボ　ESS-2170　（ESPELIR　アクティブ スーパーダウン）　エブリイワゴン,,"【適合車種】<br>
エブリイワゴン DA17W  2015/2～ (H27/2～)<br>
※2WD / PZターボスペシャル / PZターボ / JPターボ<br>
■エンジン型式：R06A<br>
<br>
★安心の保安基準適合商品！最低地上高90mm以上確保<br>
★各車種のベストなフォルムになるダウン量を設定し、同時に乗り心地も損なわない設計です<br>
★レーステクノロジーからフィードバック！レース車両と同じ材質を使用し、スプリングの最大荷重時の高さを車種ごとに把握、応力計算に反映することで「ヘタリ」の少ない耐久性に優れた商品です<br>
<br>
【フロント】ダウン量 25～30mm / バネレート3.5<br>
【リア】ダウン量 25～30mm / バネレート3.7<br>
<br>
【　ご注意　】<br>
※保安基準適合ですが、タイヤ・ホイール・マフラー等の変更をされている場合は最低地上高を確保できない場合がございますのでご注意願います。<br>
※記載しておりますダウン量は目安で、車両個体差により異なる場合がございます。<br>
<br>
【配送方法】<br>
送料無料　※沖縄・離島は別途送料<br>
<font color=""FF0000"">
※メーカーからの直送便の為、代金引換不可</font>",【量産中】【 送料無料！】エスペリア ダウンサス エブリィワゴン　DA17W　※2WD / PZターボスペシャル / PZターボ / JPターボ　ESS-2170　（ESPELIR　アクティブ スーパーダウン）　エブリイワゴン：UJ-FACTORY,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【量産中】【 送料無料！】エスペリア ダウンサス エブリィワゴン　DA17W　※2WD / PZターボスペシャル / PZターボ / JPターボ　ESS-2170　（ESPELIR　アクティブ スーパーダウン）　エブリイワゴン,保安基準適合/耐久性・乗り心地優先ローダウン。【量産中】【 送料無料！】エスペリア ダウンサス エブリィワゴン　DA17W　※2WD / PZターボスペシャル / PZターボ / JPターボ　ESS-2170　（ESPELIR　アクティブ スーパーダウン）　エブリイワゴン[rn]
15-89752,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/down-force-spring-01.jpg?fitin=700:700,16444.8000,,車用品・バイク用品 > カー用品 > サスペンション関連 > サスペンション > 国産車用,【即納！ダウン量3年保証付き！】ZOOM ダウンフォース レクサス　RX　GGL15W サスペンション 1台分 サス,,,【即納！ダウン量3年保証付き！】ZOOM ダウンフォース レクサス　RX　GGL15W サスペンション 1台分 サス：UJ-FACTORY,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【即納！ダウン量3年保証付き！】ZOOM ダウンフォース レクサス　RX　GGL15W サスペンション 1台分 サス,3年間ヘタリ保証/ダウン量保証付き！コスパ追求のサスです★。【即納！ダウン量3年保証付き！】ZOOM ダウンフォース レクサス　RX　GGL15W サスペンション 1台分 サス[rn]
15-89753,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/down-force-spring-01.jpg?fitin=700:700,14296.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > サスペンション > 国産車用,【即納！ダウン量3年保証付き！】ZOOM ダウンフォース エルグランド　ALE50 サスペンション 1台分 サス,,,【即納！ダウン量3年保証付き！】ZOOM ダウンフォース エルグランド　ALE50 サスペンション 1台分 サス：UJ-FACTORY,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【即納！ダウン量3年保証付き！】ZOOM ダウンフォース エルグランド　ALE50 サスペンション 1台分 サス,3年間ヘタリ保証/ダウン量保証付き！コスパ追求のサスです★。【即納！ダウン量3年保証付き！】ZOOM ダウンフォース エルグランド　ALE50 サスペンション 1台分 サス[rn]
15-89754,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/esp_downsasu.jpg?fitin=700:700,8448.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > サスペンション > 国産車用,【送料無料！】エスペリア ダウンサス/ムーヴ L160S　4WD ターボ / カスタムＲ　（ESPELIR　アクティブ スーパーダウン） ESD-470,,"【適合車種】<br>
ムーヴ L160S　2002.10～2006.10 (H14/10～18/10)<br>
※4WD ターボ / カスタムＲ<br>
■エンジン型式：EF-DET<br>
<br>
【フロント】ダウン量 27～32mm / バネレート3.6<br>
【リア】ダウン量 27～32mm / バネレート2.1<br>
<br>
★安心の保安基準適合商品！最低地上高90mm以上確保<br>
★各車種のベストなフォルムになるダウン量を設定し、同時に乗り心地も損なわない設計です<br>
★レーステクノロジーからフィードバック！レース車両と同じ材質を使用し、スプリングの最大荷重時の高さを車種ごとに把握、応力計算に反映することで「ヘタリ」の少ない耐久性に優れた商品です<br>
<br>
【　ご注意　】<br>
※保安基準適合ですが、タイヤ・ホイール・マフラー等の変更をされている場合は最低地上高を確保できない場合がございますのでご注意願います。<br>
※記載しておりますダウン量は目安で、車両個体差により異なる場合がございます。<br>
<br>
【配送方法】<br>
送料無料　※沖縄・離島は別途送料<br>
<font color=""FF0000"">
※メーカーからの直送便の為、代金引換不可</font>
<br>
<br>
<font color=""0000FF"">
≪スーパーダウンサスラバー≫<br>
♪リア用=品番：BR-429R/価格：6,134円追加でサスと同梱可</font>",【送料無料！】エスペリア ダウンサス/ムーヴ L160S　4WD ターボ / カスタムＲ　（ESPELIR　アクティブ スーパーダウン） ESD-470：UJ-FACTORY,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【送料無料！】エスペリア ダウンサス/ムーヴ L160S　4WD ターボ / カスタムＲ　（ESPELIR　アクティブ スーパーダウン） ESD-470,保安基準適合/耐久性・乗り心地優先ローダウン。【送料無料！】エスペリア ダウンサス/ムーヴ L160S　4WD ターボ / カスタムＲ　（ESPELIR　アクティブ スーパーダウン） ESD-470[rn]
15-89755,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/down-force-spring-01.jpg?fitin=700:700,15074.4000,,車用品・バイク用品 > カー用品 > サスペンション関連 > サスペンション > 国産車用,【即納！ダウン量3年保証付き！】ZOOM ダウンフォース エルグランド　NE51 サスペンション 1台分 サス,,,【即納！ダウン量3年保証付き！】ZOOM ダウンフォース エルグランド　NE51 サスペンション 1台分 サス：UJ-FACTORY,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【即納！ダウン量3年保証付き！】ZOOM ダウンフォース エルグランド　NE51 サスペンション 1台分 サス,3年間ヘタリ保証/ダウン量保証付き！コスパ追求のサスです★。【即納！ダウン量3年保証付き！】ZOOM ダウンフォース エルグランド　NE51 サスペンション 1台分 サス[rn]
15-89756,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/esp_downsasu.jpg?fitin=700:700,9856.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > サスペンション > 国産車用,【送料無料！】エスペリア ダウンサス エブリィバン　DA17V　※2WD / JOIN ターボ / JOIN / PC / PA / GA　ESS-1763　（ESPELIR　アクティブ スーパーダウン）　エブリイバン,,"【適合車種】<br>
エブリイバン DA17V  2015/2～ (H27/2～)<br>
※2WD / JOIN ターボ / JOIN / PC / PA / GA<br>
■エンジン型式：R06A<br>
※弊社のダウン量よりも多いと灯火類が保安基準に抵触します。<br>
<br>
★安心の保安基準適合商品！最低地上高90mm以上確保<br>
★各車種のベストなフォルムになるダウン量を設定し、同時に乗り心地も損なわない設計です<br>
★レーステクノロジーからフィードバック！レース車両と同じ材質を使用し、スプリングの最大荷重時の高さを車種ごとに把握、応力計算に反映することで「ヘタリ」の少ない耐久性に優れた商品です<br>
<br>
【フロント】ダウン量 33～38mm / バネレート3.5<br>
【リア】ダウン量 23～28mm / バネレート3.7<br>
<br>
【　ご注意　】<br>
※保安基準適合ですが、タイヤ・ホイール・マフラー等の変更をされている場合は最低地上高を確保できない場合がございますのでご注意願います。<br>
※記載しておりますダウン量は目安で、車両個体差により異なる場合がございます。<br>
<br>
【配送方法】<br>
送料無料　※沖縄・離島は別途送料<br>
<font color=""FF0000"">
※メーカーからの直送便の為、代金引換不可</font>",【送料無料！】エスペリア ダウンサス エブリィバン　DA17V　※2WD / JOIN ターボ / JOIN / PC / PA / GA　ESS-1763　（ESPELIR　アクティブ スーパーダウン）　エブリイバン：UJ-FACTORY,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【送料無料！】エスペリア ダウンサス エブリィバン　DA17V　※2WD / JOIN ターボ / JOIN / PC / PA / GA　ESS-1763　（ESPELIR　アクティブ スーパーダウン）　エブリイバン,保安基準適合/耐久性・乗り心地優先ローダウン。【送料無料！】エスペリア ダウンサス エブリィバン　DA17V　※2WD / JOIN ターボ / JOIN / PC / PA / GA　ESS-1763　（ESPELIR　アクティブ スーパーダウン）　エブリイバン[rn]
15-89757,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/down-force-spring-01.jpg?fitin=700:700,15074.4000,,車用品・バイク用品 > カー用品 > サスペンション関連 > サスペンション > 国産車用,【即納！ダウン量3年保証付き！】ZOOM ダウンフォース レクサス　GS　GRS196 サスペンション 1台分 サス,,,【即納！ダウン量3年保証付き！】ZOOM ダウンフォース レクサス　GS　GRS196 サスペンション 1台分 サス：UJ-FACTORY,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【即納！ダウン量3年保証付き！】ZOOM ダウンフォース レクサス　GS　GRS196 サスペンション 1台分 サス,3年間ヘタリ保証/ダウン量保証付き！コスパ追求のサスです★。【即納！ダウン量3年保証付き！】ZOOM ダウンフォース レクサス　GS　GRS196 サスペンション 1台分 サス[rn]
15-89758,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/esp_downsasu.jpg?fitin=700:700,10560.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > サスペンション > 国産車用,【送料無料！】エスペリア ダウンサス / NBOX　JF2　4WD ターボ / G・ターボSSパッケージ　（ESH-1039　ESPELIR　アクティブ スーパーダウン）,,"【適合車種】<br>
■N-BOX　JF2  2013.5～ (H25/5～)<br>
■4WD ターボ / G・ターボSSパッケージ<br>
■エンジン型式：S07A<br>
<br>
★安心の保安基準適合商品！最低地上高90mm以上確保<br>
★各車種のベストなフォルムになるダウン量を設定し、同時に乗り心地も損なわない設計です<br>
★レーステクノロジーからフィードバック！レース車両と同じ材質を使用し、スプリングの最大荷重時の高さを車種ごとに把握、応力計算に反映することで「ヘタリ」の少ない耐久性に優れた商品です<br>
<br>
【フロント】ダウン量 44～49mm / バネレート2.8<br>
【リア】ダウン量 45～50mm / バネレート3.7<br>
<br>
【　ご注意　】<br>
※保安基準適合ですが、タイヤ・ホイール・マフラー等の変更をされている場合は最低地上高を確保できない場合がございますのでご注意願います。<br>
※記載しておりますダウン量は目安で、車両個体差により異なる場合がございます。<br>
<br>
【配送方法】<br>
送料無料　※沖縄・離島は別途送料<br>
<font color=""FF0000"">
※メーカーからの直送便の為、代金引換不可</font>",【送料無料！】エスペリア ダウンサス / NBOX　JF2　4WD ターボ / G・ターボSSパッケージ　（ESH-1039　ESPELIR　アクティブ スーパーダウン）：UJ-FACTORY,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【送料無料！】エスペリア ダウンサス / NBOX　JF2　4WD ターボ / G・ターボSSパッケージ　（ESH-1039　ESPELIR　アクティブ スーパーダウン）,保安基準適合/耐久性・乗り心地優先ローダウン。【送料無料！】エスペリア ダウンサス / NBOX　JF2　4WD ターボ / G・ターボSSパッケージ　（ESH-1039　ESPELIR　アクティブ スーパーダウン）[rn]
15-89759,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/esp_downsasu.jpg?fitin=700:700,10560.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > サスペンション > 国産車用,【送料無料！】エスペリア ダウンサス / NONE　JG1　2WD ターボ / Tourer / Tourer・Lパッケージ　（ESH-968　ESPELIR　アクティブ スーパーダウン）,,"【適合車種】<br>
■N-ONE　JG1  2012.11～ (H24/11～)<br>
■2WD ターボ / Tourer / Tourer・Lパッケージ<br>
■エンジン型式：S07A<br>
<br>
★安心の保安基準適合商品！最低地上高90mm以上確保<br>
★各車種のベストなフォルムになるダウン量を設定し、同時に乗り心地も損なわない設計です<br>
★レーステクノロジーからフィードバック！レース車両と同じ材質を使用し、スプリングの最大荷重時の高さを車種ごとに把握、応力計算に反映することで「ヘタリ」の少ない耐久性に優れた商品です<br>
<br>
【フロント】ダウン量 36～41mm / バネレート2.7<br>
【リア】ダウン量 36～41mm / バネレート2.3<br>
<br>
【　ご注意　】<br>
※保安基準適合ですが、タイヤ・ホイール・マフラー等の変更をされている場合は最低地上高を確保できない場合がございますのでご注意願います。<br>
※記載しておりますダウン量は目安で、車両個体差により異なる場合がございます。<br>
<br>
【配送方法】<br>
送料無料　※沖縄・離島は別途送料<br>
<font color=""FF0000"">
※メーカーからの直送便の為、代金引換不可</font>",【送料無料！】エスペリア ダウンサス / NONE　JG1　2WD ターボ / Tourer / Tourer・Lパッケージ　（ESH-968　ESPELIR　アクティブ スーパーダウン）：UJ-FACTORY,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【送料無料！】エスペリア ダウンサス / NONE　JG1　2WD ターボ / Tourer / Tourer・Lパッケージ　（ESH-968　ESPELIR　アクティブ スーパーダウン）,保安基準適合/耐久性・乗り心地優先ローダウン。【送料無料！】エスペリア ダウンサス / NONE　JG1　2WD ターボ / Tourer / Tourer・Lパッケージ　（ESH-968　ESPELIR　アクティブ スーパーダウン）[rn]
15-89760,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/esp_downsasu.jpg?fitin=700:700,10560.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > サスペンション > 国産車用,【送料無料！】エスペリア ダウンサス / NONE　JG1　2WD NA / G / G・Lパッケージ (スタビライザー無し車）　（ESH-954　ESPELIR　アクティブ スーパーダウン）,,"【適合車種】<br>
■N-ONE　JG1  2012.11～ (H24/11～)<br>
■2WD NA / G / G・Lパッケージ (スタビライザー無し車）<br>
■エンジン型式：S07A<br>
<br>
★安心の保安基準適合商品！最低地上高90mm以上確保<br>
★各車種のベストなフォルムになるダウン量を設定し、同時に乗り心地も損なわない設計です<br>
★レーステクノロジーからフィードバック！レース車両と同じ材質を使用し、スプリングの最大荷重時の高さを車種ごとに把握、応力計算に反映することで「ヘタリ」の少ない耐久性に優れた商品です<br>
<br>
【フロント】ダウン量 35～40mm / バネレート3.7<br>
【リア】ダウン量 35～40mm / バネレート2.3<br>
<br>
【　ご注意　】<br>
※保安基準適合ですが、タイヤ・ホイール・マフラー等の変更をされている場合は最低地上高を確保できない場合がございますのでご注意願います。<br>
※記載しておりますダウン量は目安で、車両個体差により異なる場合がございます。<br>
<br>
【配送方法】<br>
送料無料　※沖縄・離島は別途送料<br>
<font color=""FF0000"">
※メーカーからの直送便の為、代金引換不可</font>",【送料無料！】エスペリア ダウンサス / NONE　JG1　2WD NA / G / G・Lパッケージ (スタビライザー無し車）　（ESH-954　ESPELIR　アクティブ スーパーダウン）：UJ-FACTORY,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【送料無料！】エスペリア ダウンサス / NONE　JG1　2WD NA / G / G・Lパッケージ (スタビライザー無し車）　（ESH-954　ESPELIR　アクティブ スーパーダウン）,保安基準適合/耐久性・乗り心地優先ローダウン。【送料無料！】エスペリア ダウンサス / NONE　JG1　2WD NA / G / G・Lパッケージ (スタビライザー無し車）　（ESH-954　ESPELIR　アクティブ スーパーダウン）[rn]
15-89761,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/esp_downsasu.jpg?fitin=700:700,10560.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > サスペンション > 国産車用,【送料無料！】エスペリア ダウンサス / NONE　JG1  2WD ターボ / Premium Tourer / Premium Tourer・Lパッケージ　（ESH-968　ESPELIR　アクティブ スーパーダウン）,,"【適合車種】<br>
■N-ONE　JG1  2012.11～ (H24/11～)<br>
■2WD ターボ / Premium Tourer / Premium Tourer・Lパッケージ<br>
■エンジン型式：S07A<br>
<br>
★安心の保安基準適合商品！最低地上高90mm以上確保<br>
★各車種のベストなフォルムになるダウン量を設定し、同時に乗り心地も損なわない設計です<br>
★レーステクノロジーからフィードバック！レース車両と同じ材質を使用し、スプリングの最大荷重時の高さを車種ごとに把握、応力計算に反映することで「ヘタリ」の少ない耐久性に優れた商品です<br>
<br>
【フロント】ダウン量 36～41mm / バネレート2.7<br>
【リア】ダウン量 36～41mm / バネレート2.3<br>
<br>
【　ご注意　】<br>
※保安基準適合ですが、タイヤ・ホイール・マフラー等の変更をされている場合は最低地上高を確保できない場合がございますのでご注意願います。<br>
※記載しておりますダウン量は目安で、車両個体差により異なる場合がございます。<br>
<br>
【配送方法】<br>
送料無料　※沖縄・離島は別途送料<br>
<font color=""FF0000"">
※メーカーからの直送便の為、代金引換不可</font>",【送料無料！】エスペリア ダウンサス / NONE　JG1  2WD ターボ / Premium Tourer / Premium Tourer・Lパッケージ　（ESH-968　ESPELIR　アクティブ スーパーダウン）：UJ-FACTORY,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【送料無料！】エスペリア ダウンサス / NONE　JG1  2WD ターボ / Premium Tourer / Premium Tourer・Lパッケージ　（ESH-968　ESPELIR　アクティブ スーパーダウン）,保安基準適合/耐久性・乗り心地優先ローダウン。【送料無料！】エスペリア ダウンサス / NONE　JG1  2WD ターボ / Premium Tourer / Premium Tourer・Lパッケージ　（ESH-968　ESPELIR　アクティブ スーパーダウン）[rn]
15-89762,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/esp_downsasu.jpg?fitin=700:700,10560.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > サスペンション > 国産車用,【送料無料！】エスペリア ダウンサス / NONE　JG2　4WD ターボ / Premium Tourer / Premium Tourer・Lパッケージ （ESH-1123　ESPELIR　アクティブ スーパーダウン）,,"【適合車種】<br>
■N-ONE　JG2  2012.11～ (H24/11～)<br>
■4WD ターボ / Premium Tourer / Premium Tourer・Lパッケージ<br>
■エンジン型式：S07A<br>
<br>
★安心の保安基準適合商品！最低地上高90mm以上確保<br>
★各車種のベストなフォルムになるダウン量を設定し、同時に乗り心地も損なわない設計です<br>
★レーステクノロジーからフィードバック！レース車両と同じ材質を使用し、スプリングの最大荷重時の高さを車種ごとに把握、応力計算に反映することで「ヘタリ」の少ない耐久性に優れた商品です<br>
<br>
【フロント】ダウン量 47～52mm / バネレート2.7<br>
【リア】ダウン量 40～45mm / バネレート3.1<br>
<br>
【　ご注意　】<br>
※保安基準適合ですが、タイヤ・ホイール・マフラー等の変更をされている場合は最低地上高を確保できない場合がございますのでご注意願います。<br>
※記載しておりますダウン量は目安で、車両個体差により異なる場合がございます。<br>
<br>
【配送方法】<br>
送料無料　※沖縄・離島は別途送料<br>
<font color=""FF0000"">
※メーカーからの直送便の為、代金引換不可</font>",【送料無料！】エスペリア ダウンサス / NONE　JG2　4WD ターボ / Premium Tourer / Premium Tourer・Lパッケージ （ESH-1123　ESPELIR　アクティブ スーパーダウン）：UJ-FACTORY,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【送料無料！】エスペリア ダウンサス / NONE　JG2　4WD ターボ / Premium Tourer / Premium Tourer・Lパッケージ （ESH-1123　ESPELIR　アクティブ スーパーダウン）,保安基準適合/耐久性・乗り心地優先ローダウン。【送料無料！】エスペリア ダウンサス / NONE　JG2　4WD ターボ / Premium Tourer / Premium Tourer・Lパッケージ （ESH-1123　ESPELIR　アクティブ スーパーダウン）[rn]
15-89763,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/esp_downsasu.jpg?fitin=700:700,10560.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > サスペンション > 国産車用,【送料無料！】エスペリア ダウンサス / NONE　JG2　4WD NA / Premium / Premium・Lパッケージ　（ESH-1122　ESPELIR　アクティブ スーパーダウン）,,"【適合車種】<br>
■N-ONE　JG2  2012.11～ (H24/11～)<br>
■4WD NA / Premium / Premium・Lパッケージ<br>
■エンジン型式：S07A<br>
<br>
★安心の保安基準適合商品！最低地上高90mm以上確保<br>
★各車種のベストなフォルムになるダウン量を設定し、同時に乗り心地も損なわない設計です<br>
★レーステクノロジーからフィードバック！レース車両と同じ材質を使用し、スプリングの最大荷重時の高さを車種ごとに把握、応力計算に反映することで「ヘタリ」の少ない耐久性に優れた商品です<br>
<br>
【フロント】ダウン量 47～52mm / バネレート2.7<br>
【リア】ダウン量 40～45mm / バネレート3.1<br>
<br>
【　ご注意　】<br>
※保安基準適合ですが、タイヤ・ホイール・マフラー等の変更をされている場合は最低地上高を確保できない場合がございますのでご注意願います。<br>
※記載しておりますダウン量は目安で、車両個体差により異なる場合がございます。<br>
<br>
【配送方法】<br>
送料無料　※沖縄・離島は別途送料<br>
<font color=""FF0000"">
※メーカーからの直送便の為、代金引換不可</font>",【送料無料！】エスペリア ダウンサス / NONE　JG2　4WD NA / Premium / Premium・Lパッケージ　（ESH-1122　ESPELIR　アクティブ スーパーダウン）：UJ-FACTORY,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【送料無料！】エスペリア ダウンサス / NONE　JG2　4WD NA / Premium / Premium・Lパッケージ　（ESH-1122　ESPELIR　アクティブ スーパーダウン）,保安基準適合/耐久性・乗り心地優先ローダウン。【送料無料！】エスペリア ダウンサス / NONE　JG2　4WD NA / Premium / Premium・Lパッケージ　（ESH-1122　ESPELIR　アクティブ スーパーダウン）[rn]
