15-72201,http://tshop.r10s.jp/auc-ainetshop/cabinet/tool/23795-a2_001.jpg?fitin=700:700,376.8000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,【Aebs[エービス]】 汎用 L型 スタンダード エアバルブ 2個セット 【安心の6ヶ月保証】【aiNET[アイネット]】,,"<img src=""http://image.rakuten.co.jp/auc-ainetshop/cabinet/tool/23795-a2_002.jpg""  width=""100%""border=""0""><br>
<img src=""http://image.rakuten.co.jp/auc-ainetshop/cabinet/tool/23795-a2_003.jpg""  width=""100%""border=""0""><br>
<hr>
| おすすめポイント<br>弊社提携ショップ店様で長期にわたるテスト期間を経て耐久性の確認を行った自信を持ってオススメできる商品です。<br><br>※取り付け時は専用工具ご使用の上、交換作業を行ってください。プライヤーなどで無理に作業した場合破損する恐れがあります。<br><br>| 対応車種<br>チューブレスタイヤ仕様のホイール車両<br><br>| 商品詳細<br>L型エアバルブ 2個セット<br>JAN:4571460855685 <br>6ヶ月保証",【Aebs[エービス]】 汎用 L型 スタンダード エアバルブ 2個セット 【安心の6ヶ月保証】【aiNET[アイネット]】：アイネットＳＨＯＰ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得バイクタイヤバイクバッテリーバイクチェーンブレーキパッドケンダデューロスクリーンボアアップキットリアボックスヘッドライトシートミラーモンキ-PCXグロムマジェスティシグナスXアドレスV125コールマン coleman アウトドア小川テント キャンパルジャパン ロゴス LOGOS【Aebs[エービス]】 汎用 L型 スタンダード エアバルブ 2個セット 【安心の6ヶ月保証】【aiNET[アイネット]】,メール便可 エアーバルブ タイヤバルブ L型。【Aebs[エービス]】 汎用 L型 スタンダード エアバルブ 2個セット 【安心の6ヶ月保証】【aiNET[アイネット]】[rn]
15-72246,http://tshop.r10s.jp/cityliner/cabinet/0431/37408007.jpg?fitin=700:700,5112.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,ヤガミ シリコンベルトヒーターV-4-100V-120W 1個,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】加工性の良いシリコンラバー素材のベルト状電気ヒーターです。<br>素材の特性から柔軟性に富み、あらゆる加熱面に良くフィットしますから、熱伝達が効果的に行えます。<br>絶縁外装はシリコンゴムです。<br>【用途】結露防止、凍結防止用に。<br>【注意】※ヒーターの保護と過熱防止のために、温度調節器(YD-15もしくはYD-15N)を必ずご利用ください。<br>発熱線の状況により仕上ワット数が多少ことなる場合があります。<br>【仕様】サーモスタット/なし<br>【トラスコ品番】380-9757<br>【幅(mm)】15<br>【質量(g)】480<br>【長さ(m)】4<br>【電源(V)】100<br>【使用温度範囲】-60～180℃<br>【容量(W)】120<br>【温度調節範囲(℃)】なし<br>",ヤガミ シリコンベルトヒーターV-4-100V-120W 1個：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルヤガミ シリコンベルトヒーターV-4-100V-120W 1個,3240円以上ご購入で送料無料！。ヤガミ シリコンベルトヒーターV-4-100V-120W 1個[rn]
15-72247,http://tshop.r10s.jp/cityliner/cabinet/0550/39530477.jpg?fitin=700:700,535.2000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,TRUSCO 替えミラー丸T30SKAE 1個,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>3営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【トラスコ品番】381-8331<br>【適合機種】TT-S<br>【ミラー形状】丸型<br>",TRUSCO 替えミラー丸T30SKAE 1個：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルTRUSCO 替えミラー丸T30SKAE 1個,3240円以上ご購入で送料無料！。TRUSCO 替えミラー丸T30SKAE 1個[rn]
15-72248,http://tshop.r10s.jp/cityliner/cabinet/0368/39580606.jpg?fitin=700:700,2552.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,ユタカメイク オレンジシート #3000OS11 1枚,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】オレンジ色なので、ブルーシートとの分類分けや、目立つ必要性のある場所での養生に最適です。<br>【用途】機械カバー、養生用シートなど。<br>【トラスコ品番】367-6315<br>【形状】折りたたみタイプ<br>【色】オレンジ<br>【厚さ】#3000<br>【ハトメ数】20<br>【材質(シート)】ポリエチレン(PE)<br>【伸度(%)】縦19.6、横17.5<br>【引裂強度(N)】縦150、横104<br>【引張強度(N/50mm)】縦683、横600<br>【仕上り寸法(縦×横)(m)】3.44×5.24<br>【呼び寸法(縦×横)(m)】3.6×5.4<br>【材質(ハトメ)】アルミ<br>【ハトメピッチ(cm)】90<br>【ハトメ内径(Φmm)】12<br>",ユタカメイク オレンジシート #3000OS11 1枚：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルユタカメイク オレンジシート #3000OS11 1枚,3240円以上ご購入で送料無料！。ユタカメイク オレンジシート #3000OS11 1枚[rn]
15-72249,http://tshop.r10s.jp/cityliner/cabinet/34877/40505096.jpg?fitin=700:700,13520.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,KUKKO(クッコ) 2本アームプーラー クイックアジャスタブル20-1+ 1個,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>6営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】レンチ等を使わずに赤いノブを廻すだけでアーム位置の調整ができます。<br>【寸法H(mm)】31<br>【寸法A(mm)】8<br>【寸法O(mm)】13<br>【アーム長さ(mm)】100<br>【寸法J(mm)】20<br>【寸法K(mm)】3<br>【能力(mm)】(外抜き)15～90(内抜き)70～140<br>【耐荷重(kN)】45<br>",KUKKO(クッコ) 2本アームプーラー クイックアジャスタブル20-1+ 1個：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルKUKKO(クッコ) 2本アームプーラー クイックアジャスタブル20-1+ 1個,3240円以上ご購入で送料無料！。KUKKO(クッコ) 2本アームプーラー クイックアジャスタブル20-1+ 1個[rn]
15-72250,http://tshop.r10s.jp/cityliner/cabinet/35356/16251183.jpg?fitin=700:700,799.2000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,TRUSCO バルブ開閉表示板T856-15 1組(5枚),,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】裏返しになっても確認できる両面表示。<br>【仕様】両面表示<br>【トラスコ品番】489-5266<br>【材質】再生ポリプロピレン<br>【厚さ(mm)】2<br>【色】白<br>【穴数】1<br>【縦(mm)】120<br>【横(mm)】60<br>【表示内容】操作禁止<br>",TRUSCO バルブ開閉表示板T856-15 1組(5枚)：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルTRUSCO バルブ開閉表示板T856-15 1組(5枚),3240円以上ご購入で送料無料！。TRUSCO バルブ開閉表示板T856-15 1組(5枚)[rn]
15-72251,http://tshop.r10s.jp/cityliner/cabinet/35356/09111524.jpg?fitin=700:700,2392.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,中部物産貿易 NRブラック 厚L 1袋(200本),,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】静電気による生産障害を防ぐ天然ゴム導電性の厚指タイプ。ノンシリコンで耐久性に優れています。指先のすべり止によりグリップ性能に優れています。<br>【材質】天然ゴム<br>【長さ(mm)】48<br>【厚さ(mm)】0.39<br>【サイズ】大<br>【内径(Φmm)】20<br>【機能】静電気防止・耐久性<br>【表面抵抗率(Ω/sq)】106<br>",中部物産貿易 NRブラック 厚L 1袋(200本)：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル中部物産貿易 NRブラック 厚L 1袋(200本),3240円以上ご購入で送料無料！。中部物産貿易 NRブラック 厚L 1袋(200本)[rn]
15-72252,http://tshop.r10s.jp/cityliner/cabinet/0278/10735934.jpg?fitin=700:700,2792.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,DENSAN ケーブルストリッパーND-800S 1個,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】くるくる回転 タテに引くだけでOK簡単構造の皮むきで熟練不要握り易いハンドルスベリ止めゴムグリップで、開口力がパワーアップ替刃1本付(本体内部に収納)<br>【全長(mm)】130<br>【質量(g)】75.5<br>【適合ケーブル】Φ4～16mm<br>【危険物の種別】指定可燃物<br>【危険物の品名】合成樹脂類 その他のもの<br>",DENSAN ケーブルストリッパーND-800S 1個：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルDENSAN ケーブルストリッパーND-800S 1個,3240円以上ご購入で送料無料！。DENSAN ケーブルストリッパーND-800S 1個[rn]
15-72253,http://tshop.r10s.jp/cityliner/cabinet/0006/08432112.jpg?fitin=700:700,415.2000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,コクヨ ワープロ用感熱紙タイ-2014 A4 100枚入 1冊(100枚),,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】経済性と使いやすさの両方を考えて、紙厚を70μm(スタンダードタイプは80μm)に設定しました。<br>感熱発色感度が高く、均一で鮮明な印字ができ、しかもワープロのサーマルヘッドに優しい品質です。<br>【仕様】無地、黒発色、リボン不要<br>【サイズ】A4<br>【タイプ】エコノミー満足タイプ<br>【寸法(縦×横)(mm)】297×210<br>【紙厚(mm)】0.07<br>【坪量(g/m2)】66<br>",コクヨ ワープロ用感熱紙タイ-2014 A4 100枚入 1冊(100枚)：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルコクヨ ワープロ用感熱紙タイ-2014 A4 100枚入 1冊(100枚),3240円以上ご購入で送料無料！。コクヨ ワープロ用感熱紙タイ-2014 A4 100枚入 1冊(100枚)[rn]
15-72254,http://tshop.r10s.jp/cityliner/cabinet/35360/88615511.jpg?fitin=700:700,1592.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,ユニット バルブ開閉片面表示板 ヨコ型857-21 開閉 1組(5枚),,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>6営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【注意】※取付具は別売です。<br>【トラスコ品番】744-3595<br>【材質】アルミ<br>【寸法(mm)】65×100<br>【文字内容】開・閉<br>",ユニット バルブ開閉片面表示板 ヨコ型857-21 開閉 1組(5枚)：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルユニット バルブ開閉片面表示板 ヨコ型857-21 開閉 1組(5枚),3240円以上ご購入で送料無料！。ユニット バルブ開閉片面表示板 ヨコ型857-21 開閉 1組(5枚)[rn]
15-72255,http://tshop.r10s.jp/cityliner/cabinet/35303/46842747.jpg?fitin=700:700,5940.8000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,キトー ベルトスリング BSL形BSL016-4 1個,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>3営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【トラスコ品番】485-4144<br>【種別】両端アイ形<br>",キトー ベルトスリング BSL形BSL016-4 1個：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルキトー ベルトスリング BSL形BSL016-4 1個,3240円以上ご購入で送料無料！。キトー ベルトスリング BSL形BSL016-4 1個[rn]
15-72256,http://tshop.r10s.jp/cityliner/cabinet/0039/09357801.jpg?fitin=700:700,95.2000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,大阪魂 灯油ポンプ(手動)1個,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【注意】※給油はストーブの火を消してから使用してください。※給油中はポンプの側を離れないでください。※給油するときはキャップを右に、中止するときはキャップを左に回してください。<br>【材質】ポリエチレン<br>【全長(mm)】約530<br>【適合容器内径(Φmm)】50<br>【吐出し量】約6.5L/分<br>【ホース長さ(mm)】約530<br>",大阪魂 灯油ポンプ(手動)1個：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル大阪魂 灯油ポンプ(手動)1個,3240円以上ご購入で送料無料！。大阪魂 灯油ポンプ(手動)1個[rn]
15-72257,http://tshop.r10s.jp/cityliner/cabinet/0652/33361045.jpg?fitin=700:700,3077.6000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,十川ゴム ハイドロリックホース K-140-12(両端金具04)K-140-12-590 04+04 1本,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>6営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>返品不可<br>【用途】一般油圧配管用<br>【材質】内面層/耐油性合成ゴム補強層/硬鋼線外面層/耐油・耐候性合成ゴム<br>【タイプ】Kタイプ(高圧用)<br>【寸法L(mm)】70<br>【最高使用圧力(MPa)】14.0<br>【最小曲げ半径(mm)】160<br>【寸法C(mm)】6.0<br>【接続部ねじ】管用平行雌ねじ(30°テーパシート)<br>【呼称】12<br>【ホース内径(Φmm)】12.7<br>【金具】両端金具04<br>【ねじT】G1/2<br>【全長l(mm)】590<br>【適合流体】一般作動油、水+エステル系作動油、水+鉱油エマルジョン系作動油<br>【最小破壊圧力(MPa)】68.6<br>【補強層】1W<br>【最高衝撃圧力(MPa)】20.5<br>【流体温度範囲(℃)】-40～+100<br>【使用可能雰囲気温度(℃)】-40～+70<br>【ホース外径(Φmm)】20.7<br>【質量(g/m)】ホース/510<br>【寸法HEX(mm)】27<br>【ネジ口内径(Φmm)】10.0<br>",十川ゴム ハイドロリックホース K-140-12(両端金具04)K-140-12-590 04+04 1本：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル十川ゴム ハイドロリックホース K-140-12(両端金具04)K-140-12-590 04+04 1本,3240円以上ご購入で送料無料！。十川ゴム ハイドロリックホース K-140-12(両端金具04)K-140-12-590 04+04 1本[rn]
15-72258,http://tshop.r10s.jp/cityliner/cabinet/0652/33352812.jpg?fitin=700:700,1427.2000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,十川ゴム ハイドロリックホース K-140-06(両端金具04)K-140-06-440 04+04 1本,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>6営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>返品不可<br>【用途】一般油圧配管用<br>【材質】内面層/耐油性合成ゴム補強層/硬鋼線外面層/耐油・耐候性合成ゴム<br>【タイプ】Kタイプ(高圧用)<br>【寸法L(mm)】60<br>【最高使用圧力(MPa)】14.0<br>【最小曲げ半径(mm)】85<br>【寸法C(mm)】5.5<br>【接続部ねじ】管用平行雌ねじ(30°テーパシート)<br>【呼称】6<br>【ホース内径(Φmm)】6.3<br>【金具】両端金具04<br>【ねじT】G1/4<br>【全長l(mm)】440<br>【適合流体】一般作動油、水+エステル系作動油、水+鉱油エマルジョン系作動油<br>【最小破壊圧力(MPa)】68.6<br>【補強層】1W<br>【最高衝撃圧力(MPa)】20.5<br>【流体温度範囲(℃)】-40～+100<br>【使用可能雰囲気温度(℃)】-40～+70<br>【ホース外径(Φmm)】13.3<br>【質量(g/m)】ホース/260<br>【寸法HEX(mm)】19<br>【ネジ口内径(Φmm)】4.0<br>",十川ゴム ハイドロリックホース K-140-06(両端金具04)K-140-06-440 04+04 1本：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル十川ゴム ハイドロリックホース K-140-06(両端金具04)K-140-06-440 04+04 1本,3240円以上ご購入で送料無料！。十川ゴム ハイドロリックホース K-140-06(両端金具04)K-140-06-440 04+04 1本[rn]
15-72259,http://tshop.r10s.jp/cityliner/cabinet/0352/33380006.jpg?fitin=700:700,3284.8000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,十川ゴム ハイドロリックホース K-210-09(両端金具05+アダプタ付)K-210-09-1800 05+05  15+15 1本,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>6営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>返品不可<br>【用途】一般油圧配管用<br>【注意】※ホースが直線の場合、両端金具(カップリング)の先端までの長さをlとします。アダプタ組み立て時の長さIは含まれません。<br>【材質】内面層/耐油性合成ゴム補強層/硬鋼線外面層/耐油・耐候性合成ゴム<br>【タイプ】Kタイプ(高圧用)<br>【寸法L(mm)】65<br>【最高使用圧力(MPa)】20.5<br>【最小曲げ半径(mm)】130<br>【寸法C(mm)】10.5<br>【接続部ねじ】管用平行雌ねじ(30°フレアシート)<br>【呼称】9<br>【ホース内径(Φmm)】9.5<br>【金具】両端金具05+アダプタ付<br>【寸法I(mm)】31<br>【ねじT】G3/8<br>【全長l(mm)】1800<br>【適合流体】一般作動油、水+エステル系作動油、水+鉱油エマルジョン系作動油<br>【最小破壊圧力(MPa)】103<br>【補強層】2W<br>【最高衝撃圧力(MPa)】30.9<br>【流体温度範囲(℃)】-40～+100<br>【使用可能雰囲気温度(℃)】-40～+70<br>【ホース外径(Φmm)】19.1<br>【質量(g/m)】ホース/615<br>【寸法HEX(mm)】22<br>【ネジ口内径(Φmm)】7.0<br>",十川ゴム ハイドロリックホース K-210-09(両端金具05+アダプタ付)K-210-09-1800 05+05  15+15 1本：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル十川ゴム ハイドロリックホース K-210-09(両端金具05+アダプタ付)K-210-09-1800 05+05  15+15 1本,3240円以上ご購入で送料無料！。十川ゴム ハイドロリックホース K-210-09(両端金具05+アダプタ付)K-210-09-1800 05+05  15+15 1本[rn]
15-72260,,17736.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,十川ゴム ハイドロリックホース K-210-25(両端金具05+アダプタ付)K-210-25-2350 05+05  15+15 1本,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>6営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>返品不可<br>【用途】一般油圧配管用<br>【注意】※ホースが直線の場合、両端金具(カップリング)の先端までの長さをlとします。アダプタ組み立て時の長さIは含まれません。<br>【材質】内面層/耐油性合成ゴム補強層/硬鋼線外面層/耐油・耐候性合成ゴム<br>【タイプ】Kタイプ(高圧用)<br>【寸法L(mm)】92<br>【最高使用圧力(MPa)】20.5<br>【最小曲げ半径(mm)】300<br>【寸法C(mm)】14.0<br>【接続部ねじ】管用平行雌ねじ(30°フレアシート)<br>【呼称】25<br>【ホース内径(Φmm)】25.4<br>【金具】両端金具05+アダプタ付<br>【寸法I(mm)】41<br>【ねじT】G1<br>【全長l(mm)】2350<br>【適合流体】一般作動油、水+エステル系作動油、水+鉱油エマルジョン系作動油<br>【最小破壊圧力(MPa)】82.3<br>【補強層】2W<br>【最高衝撃圧力(MPa)】30.9<br>【流体温度範囲(℃)】-40～+100<br>【使用可能雰囲気温度(℃)】-40～+70<br>【ホース外径(Φmm)】37.2<br>【質量(g/m)】ホース/1760<br>【寸法HEX(mm)】41<br>【ネジ口内径(Φmm)】21.0<br>",十川ゴム ハイドロリックホース K-210-25(両端金具05+アダプタ付)K-210-25-2350 05+05  15+15 1本：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル十川ゴム ハイドロリックホース K-210-25(両端金具05+アダプタ付)K-210-25-2350 05+05  15+15 1本,3240円以上ご購入で送料無料！。十川ゴム ハイドロリックホース K-210-25(両端金具05+アダプタ付)K-210-25-2350 05+05  15+15 1本[rn]
15-72261,http://tshop.r10s.jp/cityliner/cabinet/0616/33019515.jpg?fitin=700:700,10320.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,ニッタ・ムアー ラインメイトホース 3000-083000-08 6m 1本,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>6営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】耐油性、耐薬品性に優れる。リューザブル継手使用可。<br>【適合】継手タイプ/リューザブル、スウェイジ<br>【長さ(m)】6<br>【使用温度範囲(℃)】-40～100<br>【最高使用圧力(MPa)】20.0<br>【最小曲げ半径(mm)】160<br>【呼称】08<br>【内径(inch)】1/2<br>【適合流体】鉱物性一般作動油<br>【外径(mm)】19.8<br>【内径(mm)】12.7<br>",ニッタ・ムアー ラインメイトホース 3000-083000-08 6m 1本：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルニッタ・ムアー ラインメイトホース 3000-083000-08 6m 1本,3240円以上ご購入で送料無料！。ニッタ・ムアー ラインメイトホース 3000-083000-08 6m 1本[rn]
15-72262,,2917.6000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,十川ゴム ハイドロリックホース K-210-06(両端金具04+アダプタ付)K-210-06-2250 04+04 16+16 1本,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>6営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>返品不可<br>【用途】一般油圧配管用<br>【注意】※ホースが直線の場合、両端金具(カップリング)の先端までの長さをlとします。アダプタ組み立て時の長さIは含まれません。<br>【材質】内面層/耐油性合成ゴム補強層/硬鋼線外面層/耐油・耐候性合成ゴム<br>【タイプ】Kタイプ(高圧用)<br>【寸法L(mm)】60<br>【最高使用圧力(MPa)】20.5<br>【最小曲げ半径(mm)】100<br>【寸法C(mm)】5.5<br>【接続部ねじ】管用平行雌ねじ(30°テーパシート)<br>【呼称】6<br>【ホース内径(Φmm)】6.3<br>【金具】両端金具04+アダプタ付<br>【寸法I(mm)】28<br>【ねじT】G1/4<br>【全長l(mm)】2250<br>【適合流体】一般作動油、水+エステル系作動油、水+鉱油エマルジョン系作動油<br>【最小破壊圧力(MPa)】103<br>【補強層】1W<br>【最高衝撃圧力(MPa)】30.9<br>【流体温度範囲(℃)】-40～+100<br>【使用可能雰囲気温度(℃)】-40～+70<br>【ホース外径(Φmm)】13.3<br>【質量(g/m)】ホース/260<br>【寸法HEX(mm)】19<br>【ネジ口内径(Φmm)】4.0<br>",十川ゴム ハイドロリックホース K-210-06(両端金具04+アダプタ付)K-210-06-2250 04+04 16+16 1本：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル十川ゴム ハイドロリックホース K-210-06(両端金具04+アダプタ付)K-210-06-2250 04+04 16+16 1本,3240円以上ご購入で送料無料！。十川ゴム ハイドロリックホース K-210-06(両端金具04+アダプタ付)K-210-06-2250 04+04 16+16 1本[rn]
