19-102101,http://tshop.r10s.jp/yminfo/cabinet/00752980/img55826698.jpg?fitin=700:700,1006.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,三ツ星Ｖベルト　Aレッド（標準サイズ）　A31～A35,レッドは高品質高性能のＶベルトです！,,三ツ星Ｖベルト　Aレッド（標準サイズ）　A31～A35：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング三ツ星Ｖベルト　Aレッド（標準サイズ）　A31～A35,レッドは高品質高性能のＶベルトです！。三ツ星Ｖベルト　Aレッド（標準サイズ）　A31～A35[rn]
19-102129,http://tshop.r10s.jp/xhome/cabinet/00622676/img57933852.jpg?fitin=700:700,1040.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,インスタントコンクリート　10kg24時間硬化　グレー【一部地域送料無料】,セメント・補修材・セメント補修,"●セメントに、5mm砂利と細砂が適正配合され、水を加え練るだけで使えます。
●強度があり収縮が少なく、土間などの施工・補修に使用できます。

色：灰色
１袋：10kg入り
硬化時間：24時間

【一部地域送料無料】",インスタントコンクリート　10kg24時間硬化　グレー【一部地域送料無料】：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランターインスタントコンクリート　10kg24時間硬化　グレー【一部地域送料無料】,セメント・補修材・セメント補修。インスタントコンクリート　10kg24時間硬化　グレー【一部地域送料無料】[rn]
19-102130,http://tshop.r10s.jp/xhome/cabinet/00622676/img57917834.jpg?fitin=700:700,170.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,インスタントセメント　60分速乾性　1.3kg　グレー,セメント・補修材・セメント補修,"●約1時間で硬化するセメントです（作業時間：10分～15分）
●細砂と特殊セメントが配合され、水を加え練るだけで使えます。


色：灰色
１袋：1.3kg入り
硬化時間：60分




ご注文総重量が10kg以下の場合は送料Aパターン
ご注文総重量が10kgを超えた場合はお見積りいたします",インスタントセメント　60分速乾性　1.3kg　グレー：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランターインスタントセメント　60分速乾性　1.3kg　グレー,セメント・補修材・セメント補修。インスタントセメント　60分速乾性　1.3kg　グレー[rn]
19-102131,http://tshop.r10s.jp/xhome/cabinet/00622676/img57916873.jpg?fitin=700:700,336.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,インスタントセメント4kg　白色,セメント・補修材・セメント補修,"【灰色】
●砂とセメントが配合され、水を加え練るだけで使えます。
【白色】
●白色の炭酸カルシウムとセメントが配合され、水を加え練るだけで使えます。

●用途はテラス・土間打ち・ブロック積みなど外構の施工・補修に幅広く使用できます。

色：白色
１袋：4kg入り
硬化時間：24時間




ご注文総重量が10kg以下の場合は送料Aパターン
ご注文総重量が10kgを超えた場合はお見積りいたします",インスタントセメント4kg　白色：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランターインスタントセメント4kg　白色,セメント・補修材・セメント補修。インスタントセメント4kg　白色[rn]
19-102132,http://tshop.r10s.jp/xhome/cabinet/00622676/img57976566.jpg?fitin=700:700,481.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,防水セメント　60分速乾性　4kg　グレー,セメント・補修材・セメント補修,"色：灰色
１袋：4kg入り



ご注文総重量が10kg以下の場合は送料Aパターン
ご注文総重量が10kgを超えた場合はお見積もりさせて頂きます。
お気軽にお問い合わせ下さいませ。",防水セメント　60分速乾性　4kg　グレー：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランター防水セメント　60分速乾性　4kg　グレー,セメント・補修材・セメント補修。防水セメント　60分速乾性　4kg　グレー[rn]
19-102133,http://tshop.r10s.jp/xhome/cabinet/02733441/img58834882.jpg?fitin=700:700,385.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,配管穴埋用パテ　400g　ホワイト,セメント・補修材・セメント補修・穴埋め,"●業がしやすく耐水性も優れた油性パテです。
●水廻りの隙間充填だけでなく、モルタル壁のひび割れ・穴埋め補修にも使用できます。


色：白色
１袋：400g入り



ご注文総重量が10kg以下の場合は送料Aパターン
ご注文総重量が10kgを超えた場合はお見積もりさせて頂きます。
お気軽にお問い合わせ下さいませ。",配管穴埋用パテ　400g　ホワイト：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランター配管穴埋用パテ　400g　ホワイト,セメント・補修材・セメント補修・穴埋め。配管穴埋用パテ　400g　ホワイト[rn]
19-102134,http://tshop.r10s.jp/xhome/cabinet/00622676/img57948520.jpg?fitin=700:700,510.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,ひび割れ補修用ペーストモルタル　500g　グレー,セメント・補修材・セメント補修・ひび割れ,"●屋内外のコンクリートのひび割れ補修・ブロックレンガの目地の補修に使えます。
●水を混ぜる必要がなく、そのまま充填使用できます。

色：グレー・ホワイト・アイボリーの３色
１コ：500g入り

ご注文総重量が10kg以下の場合は送料Aパターン
ご注文総重量が10kgを超えた場合はお見積もりさせて頂きます。
お気軽にお問い合わせ下さいませ。",ひび割れ補修用ペーストモルタル　500g　グレー：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランターひび割れ補修用ペーストモルタル　500g　グレー,セメント・補修材・セメント補修・ひび割れ。ひび割れ補修用ペーストモルタル　500g　グレー[rn]
19-102135,http://tshop.r10s.jp/xhome/cabinet/00622676/img57942445.jpg?fitin=700:700,227.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,家庭用セメント 工作用せっこう（白色） 1kg 家庭用セメント,,"●水を加え練るだけで使えます。約３０分で硬化します。
●工作用・壁穴の補修に使えます。


色：白色
１袋：1kg入り



ご注文総重量が10kg以下の場合は送料Aパターン
ご注文総重量が10kgを超えた場合はお見積もりさせて頂きます。
お気軽にお問い合わせ下さいませ。",家庭用セメント 工作用せっこう（白色） 1kg 家庭用セメント：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランター家庭用セメント 工作用せっこう（白色） 1kg 家庭用セメント,家庭用セメント 工作用せっこう（白色） 1kg 家庭用セメント[rn]
19-102136,http://tshop.r10s.jp/xhome/cabinet/03325608/imgrc0067200057.jpg?fitin=700:700,1256.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,アンティークレンガ・ブロック積み用モルタル　灰色内容量：10kg【一部地域送料無料】,セメント・補修材・セメント補修・レンガ・レンガ用セメント,"レンガ・アンティークレンガ・ブロック積みの目的施工・ガーデニング用ブロックの固定・その他モルタル及びコンクリート等の部分補修に最適です。
１袋：10kg入り
使用方法
レンガなどの汚れを取り、充分水に湿らせ、適当な陽気に水を少しずつ加え（1kgに対し約150ccの水）適当な硬さに良く練り合わせてご使用下さい。レンガゴテ、ブロックゴテ、目地ゴテを使用すると便利です。
【塗り面積の目安】
１袋（１０kg)は、１ｃｍ×２１ｃｍ×１０ｃｍレンガの１５～２０枚分、　１ｃｍ×３９ｃｍ×１２ｃｍレンガの８～１２枚分になります。

一部地域送料無料",アンティークレンガ・ブロック積み用モルタル　灰色内容量：10kg【一部地域送料無料】：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランターアンティークレンガ・ブロック積み用モルタル　灰色内容量：10kg【一部地域送料無料】,セメント・補修材・セメント補修・レンガ・レンガ用セメント。アンティークレンガ・ブロック積み用モルタル　灰色内容量：10kg【一部地域送料無料】[rn]
19-102137,http://tshop.r10s.jp/xhome/cabinet/00622676/img57942805.jpg?fitin=700:700,184.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,抗菌タイル目地材　500g　ホワイト,セメント・目地材・タイル・クラフトタイル,"色：白色
１袋：500g入り
硬化時間：３時間


ご注文総重量が10kg以下の場合は送料Aパターン
ご注文総重量が10kgを超えた場合はお見積もりさせて頂きます。
お気軽にお問い合わせ下さいませ。",抗菌タイル目地材　500g　ホワイト：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランター抗菌タイル目地材　500g　ホワイト,セメント・目地材・タイル・クラフトタイル。抗菌タイル目地材　500g　ホワイト[rn]
19-102138,http://tshop.r10s.jp/xhome/cabinet/02733441/img58834885.jpg?fitin=700:700,392.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,サッシ用パテ　400g　ホワイト,セメント・補修材・セメント補修・穴埋め,"●業がしやすく耐水性も優れた油性パテです。
●水廻りの隙間充填だけでなく、モルタル壁のひび割れ・穴埋め補修にも使用できます。


色：白色
１袋：400g入り



ご注文総重量が10kg以下の場合は送料Aパターン
ご注文総重量が10kgを超えた場合はお見積もりさせて頂きます。
お気軽にお問い合わせ下さいませ。",サッシ用パテ　400g　ホワイト：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランターサッシ用パテ　400g　ホワイト,セメント・補修材・セメント補修・穴埋め。サッシ用パテ　400g　ホワイト[rn]
19-102139,http://tshop.r10s.jp/xhome/cabinet/ikou_20100226/img1043883247.jpg?fitin=700:700,296.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,屋外や水周りに使うときは弾性接着剤PM-165R50ml,,外でも使える強力タイプの接着剤です。,屋外や水周りに使うときは弾性接着剤PM-165R50ml：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランター屋外や水周りに使うときは弾性接着剤PM-165R50ml,屋外や水周りに使うときは弾性接着剤PM-165R50ml[rn]
19-102140,http://tshop.r10s.jp/xhome/cabinet/tile/img55569277.jpg?fitin=700:700,1856.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,1つで厚さ2ｍｍで約1平方メートル分張れますブリック用業務用接着剤セラタック2ｋｇ入,,ブリック用屋外もいける接着剤2ｋｇ入。プロ向けの接着剤です。1平方メートル分の使い切りサイズ！,1つで厚さ2ｍｍで約1平方メートル分張れますブリック用業務用接着剤セラタック2ｋｇ入：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランター1つで厚さ2ｍｍで約1平方メートル分張れますブリック用業務用接着剤セラタック2ｋｇ入,1つで厚さ2ｍｍで約1平方メートル分張れますブリック用業務用接着剤セラタック2ｋｇ入[rn]
19-102141,http://tshop.r10s.jp/xhome/cabinet/tile/img55563405.jpg?fitin=700:700,632.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,かるかるブリック施工用接着モルタル4ｋｇ入り,,水で練るだけで接着剤の様に粘りが出ます。かるかるブリックを外壁などの広い範囲につけるのに有効です。,かるかるブリック施工用接着モルタル4ｋｇ入り：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランターかるかるブリック施工用接着モルタル4ｋｇ入り,かるかるブリック施工用接着モルタル4ｋｇ入り[rn]
19-102142,http://tshop.r10s.jp/xhome/cabinet/00622676/img57967541.jpg?fitin=700:700,512.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,アスファルト用ひび割れ補修材　500g　ブラック,セメント・補修材・セメント補修・ひび割れ・穴埋め,"【商品説明】
カラー　：ブラック
内容量　：350g（1本）
施工面積：幅5mm×深さ5mmで約10m
硬化時間：夏期約2時間、冬期約4時間
内部硬化：約24時間

【特長】
アスファルトエマルジョン系で
水と混ぜる必要もありません。
そのまま流し込むだけで補修できます。

【用途】
アスファルト面のひび割れ補修。
小さな穴埋め補修。",アスファルト用ひび割れ補修材　500g　ブラック：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランターアスファルト用ひび割れ補修材　500g　ブラック,セメント・補修材・セメント補修・ひび割れ・穴埋め。アスファルト用ひび割れ補修材　500g　ブラック[rn]
19-102143,http://tshop.r10s.jp/xhome/cabinet/02733441/img60063922.jpg?fitin=700:700,1968.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,左官用軽量モルタルワンモル＃20　25kg【一部地域送料無料】RC躯体・PC版等の内外部補修中塗り、薄塗りに適したプレミックス左官用軽量モルタルです。,コンクリート・セメント・補修・セメント補修・基礎材,"左官用軽量モルタル＃２０
ゼロアスベスト製品です。

１袋：25kg入り

【送料のお願いとお断り】
●送料のかかる商品とは同梱不可となります。
●同梱ご希望の場合は別途送料が発生します。
●お届先が北海道・東北・九州・沖縄・離島は別途送料が発生いたします。

予めご理解とご了承下さいますよう
宜しくお願い申し上げます。",左官用軽量モルタルワンモル＃20　25kg【一部地域送料無料】RC躯体・PC版等の内外部補修中塗り、薄塗りに適したプレミックス左官用軽量モルタルです。：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランター左官用軽量モルタルワンモル＃20　25kg【一部地域送料無料】RC躯体・PC版等の内外部補修中塗り、薄塗りに適したプレミックス左官用軽量モルタルです。,コンクリート・セメント・補修・セメント補修・基礎材。左官用軽量モルタルワンモル＃20　25kg【一部地域送料無料】RC躯体・PC版等の内外部補修中塗り、薄塗りに適したプレミックス左官用軽量モルタルです。[rn]
19-102144,http://tshop.r10s.jp/xhome/cabinet/02744766/img58847297.jpg?fitin=700:700,2936.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,イビハウスモルタル　25kg【一部地域送料無料】,セメント・補修・セメント補修・基礎材,"既調合軽量セメントモルタルです。
1袋25kgです。

【データ】
1袋25kgで8-9L。

【施工面積】
15mm厚：約1.53平方メートル
17mm厚：約1.35平方メートル
20mm厚：約1.15平方メートル

【一部地域送料無料】です。",イビハウスモルタル　25kg【一部地域送料無料】：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランターイビハウスモルタル　25kg【一部地域送料無料】,セメント・補修・セメント補修・基礎材。イビハウスモルタル　25kg【一部地域送料無料】[rn]
19-102145,http://tshop.r10s.jp/xhome/cabinet/00622676/img57976581.jpg?fitin=700:700,2968.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,大和しっくい（白色） 20kg【送料無料】,しっくい・屋根補修・壁補修,"用途：内・外装、屋根しっくい
色：白色
１袋：20kg入り
注意事項
○仕上がり表面に水滴が出ますと布で覆いて下さい。
○凍結の恐れのある場合は施工を避けてください。
○施工直後の急激な乾燥は避けてください。
○湿気のあに場所に保管してください。",大和しっくい（白色） 20kg【送料無料】：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランター大和しっくい（白色） 20kg【送料無料】,しっくい・屋根補修・壁補修。大和しっくい（白色） 20kg【送料無料】[rn]
19-102146,http://tshop.r10s.jp/xhome/cabinet/02733441/img60063924.jpg?fitin=700:700,1968.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,左官用軽量モルタルワンモル＃30　25kg【一部地域送料無料】RC躯体・PC版等の内外部補修全面厚塗りなどに使えます。,セメント・補修・セメント補修・基礎材,"左官用軽量モルタル＃３０
ゼロアスベスト製品です。

１袋：25kg入り

【送料のお願いとお断り】
●送料のかかる商品とは同梱不可となります。
●同梱ご希望の場合は別途送料が発生します。
●お届先が北海道・東北・九州・沖縄・離島は別途送料が発生いたします。

予めご理解とご了承下さいますよう
宜しくお願い申し上げます。",左官用軽量モルタルワンモル＃30　25kg【一部地域送料無料】RC躯体・PC版等の内外部補修全面厚塗りなどに使えます。：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランター左官用軽量モルタルワンモル＃30　25kg【一部地域送料無料】RC躯体・PC版等の内外部補修全面厚塗りなどに使えます。,セメント・補修・セメント補修・基礎材。左官用軽量モルタルワンモル＃30　25kg【一部地域送料無料】RC躯体・PC版等の内外部補修全面厚塗りなどに使えます。[rn]
19-102147,http://tshop.r10s.jp/candytower/cabinet/90000-91000/img57838863.jpg?fitin=700:700,5200.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,繰り返し使える本格派！ メタルステンシルプレート（3インチ） 45ピース英数字セット（真ちゅう製）■「楽天1位」メタル製 真ちゅう製 真鍮製 アメリカ雑貨 アメリカン雑貨 輸入 インテリア グッズ DIY ステンシル プレート 世田谷ベース,所ジョージの世田谷ベースで人気爆発のステンシル遊び！,"<b>私これ、ずっと探してたんです！</b><br>
<br> 軍のミサイル木箱や戦車なんかに白い英文字で「U.S. ARMY」とかの文字が入っているでしょ！<br><br> あれをマネできちゃうというカスタマイズ好きにはたまらないアイテムがこのステンシルプレートなんです。<br> <br>
 本体は薄いメタルプレートでできていて、好きな英数字を組み合わせてそれぞれを差し込んでいけば準備OK！<br><br>
上からスプレーでシュッとひと吹きすれば、<br>
<b>アメリカ軍的デザインが完成</b>！<br>
いや～これマジで楽しいんです。<br>
<br>
木箱なんかの箱モノはもちろん、ガレージのシャッターや壁を軍の基地みたいにデコレーションしたり、はたまた車やバイクを思い切ってスプレーして自分色に染めちゃうってことも可能！<br>
<br>
さらに、Tシャツや無地のバッグを買ってきてオリジナルを作ったり、あとノートPCとかアーミー仕様にスプレーしちゃうなんてのも楽しいんです。<br>
とにかく、何専用って決めずに、「こんなの見たことないだろ！」って思いで、ガンガンスプレーしちゃうのがカッコイイ作品を作れちゃうコツ！<br>
<br>
もともと、<b>アメリカ好きの所ジョージさんの18番アイテム</b>として雑誌なんかで紹介されて火がついたってアイテムなんです。<br>
<br>
ちなみに所さんはルイ・ヴィトンのバッグにシュッーっとやってましたが、格好良かったな～　<br>
まあ、モノによってはスプレーするのにかなり勇気がいるんだけど、それがまた、この世に二つとないモノを生み出すからイイってわけ！<br>
<br>
<font color=""#0000FF""><b>メタルプレートの組み替えで、何度でも使えるのも嬉しいよね！</b></font><br>
<br>
今、頭の中で想像してるでしょ！<br>
「いや～おもしろそうだな～」って！<br>
<br>
ハッキリ言います。<br>
「<b>このアイテムのおもしろさはその想像以上です！</b>」<br>
<br>
キャンディタワーがマジで自信をもってオススメするアイテム！<br>
<br>
ガレージ系が好きな人は、もはや手放せません！(≧∀≦)/<br>
<br>
<b><font color=""#333333"" size=""+1"">文字のサイズ：縦7.5cm（3インチ） </font></b><br>
<br>
<hr>
※ステンシル 英数字　45ピースセットの内容 <br>
・ABCDEFGHIJKLMNOPQRSTUVWXYZ (26ピース) 
<br>・1234567890 (10ピース) 
<br>
・「'」アフォストロフィ、空白板4ピース<br>
・「＆」アンド、「,」カンマ、「.」ピリオド2ピース<br>
<br>
<table width=""100%"" border=""1"" cellpadding=""5"" cellspacing=""0"" bordercolor=""#CCCCCC"">
  <tr> 
    <td bgcolor=""#FFFFCC"" colspan=""2""><b>■ 絶賛販売中</b> </td>
  </tr>
  <tr> 
    <td width=""50%"">⇒ 1/2インチ</td>
    <td width=""50%"">⇒ 1インチ</td>
  </tr>
  <tr> 
    <td width=""50%"">⇒ 1-1/2インチ</td>
    <td width=""50%"">⇒ 
      2インチ</td>
  </tr>
  <tr> 
    <td width=""50%"">⇒ 3インチ</td>
    <td width=""50%"">⇒ 4インチ</td>
  </tr>
  <tr> 
    <td width=""50%"">⇒ 5インチ</td>
    <td width=""50%"">⇒ 7サイズオールセット</td>
  </tr>
  <tr> 
    <td colspan=""2"">■ 
      所さんの18番アイテム！ステンシルプレートへ戻る</td>
  </tr>
</table>
<br>
<br>
<img src=""http://image.rakuten.co.jp/candytower/cabinet/90000-91000/img57838862.jpg"" width=""100%"">
<br><br>
<img src=""http://image.rakuten.co.jp/candytower/cabinet/90000-91000/img57838864.jpg"" width=""100%"">
<br><br>
<img src=""http://image.rakuten.co.jp/candytower/cabinet/02975462/04235878/imgrc0088900509.jpg"" width=""100%"">
<br><br>
<img src=""http://image.rakuten.co.jp/candytower/cabinet/02975462/04235878/imgrc0088900510.jpg"" width=""100%"">
<br><br>
<img src=""http://image.rakuten.co.jp/candytower/cabinet/02975462/04235878/imgrc0088900511.jpg"" width=""100%"">
<br><br>
<img src=""http://image.rakuten.co.jp/candytower/cabinet/02975462/04235878/imgrc0088900512.jpg"" width=""100%"">
<br><br>
<img src=""http://image.rakuten.co.jp/candytower/cabinet/02975462/04235878/imgrc0088900513.jpg"" width=""100%"">
<br><br>
<img src=""http://image.rakuten.co.jp/candytower/cabinet/02975462/04235878/imgrc0088900514.jpg"" width=""100%"">
<br><br>
<img src=""http://image.rakuten.co.jp/candytower/cabinet/02975462/04235878/imgrc0088900515.jpg"" width=""100%"">
<br><br>
<img src=""http://image.rakuten.co.jp/candytower/cabinet/02975462/04235878/imgrc0088900516.jpg"" width=""100%"">
<br><br>
<table width=""100%"" border=""1"" cellpadding=""5"" cellspacing=""0"" bordercolor=""#CCCCCC"">
  <tr> 
    <td bgcolor=""#CCCCCC"">◆ご注文前に知っておいて頂きたいこと◆ </td>
  </tr>
  <tr> 
    <td>・<font color=""#FF0000"">プレートのエッジが鋭いのでケガをしないように扱いには十分注意してください。</font>作業には軍手の着用などをオススメします。 
      <br>
      <br>・組み合わせたプレートはしっかりとテープで固定します。スプレーが周りに付かないように、新聞紙やマスキングテープなどを使って一緒にテープで固定するのが定番のやり方です。
      <br><br>・文字をできるだけクッキリさせたい場合は、スプレーする時に指でプレートを押さえつけるとイイ感じに仕上がります。ちなみに少々ブレたり、垂れたりするくらいの荒い仕上がりがアメリカ的ステンシルの格好良さなので、あんまり細かく気にしないでガンガンやって腕磨いてください。
     <br><br><b>・キャンディタワーの初心者の方へのオススメの方法は上からスポンジでステンシルスタンプ用のインク（別売）を叩いて塗装する方法です。</b>これだとインクのにじみはほぼありませんし、仕上がり具合を確認しながら濃さを調整することもできます。詳しくはDIYコーナーを参考にご覧下さい。なお塗装方法のアドバイスなどにつきましては当店では一切サポートしておりませんので予めご了承願います。
   <br><br>・製品の使用はあくまでお客様の責任の元でとなりますのであらかじめご了承願います。
    </td>
  </tr>
</table>
<br>
<br>
<table width=""100%"" border=""1"" cellpadding=""5"" cellspacing=""0"" bordercolor=""#CCCCCC"">
  <tr> 
    <td bgcolor=""#FFFFCC"" colspan=""2""><b>■ 絶賛販売中</b> </td>
  </tr>
  <tr> 
    <td width=""50%"">⇒ 1/2インチ</td>
    <td width=""50%"">⇒ 1インチ</td>
  </tr>
  <tr> 
    <td width=""50%"">⇒ 1-1/2インチ</td>
    <td width=""50%"">⇒ 
      2インチ</td>
  </tr>
  <tr> 
    <td width=""50%"">⇒ 3インチ</td>
    <td width=""50%"">⇒ 4インチ</td>
  </tr>
  <tr> 
    <td width=""50%"">⇒ 5インチ</td>
    <td width=""50%"">⇒ 7サイズオールセット</td>
  </tr>
  <tr> 
    <td colspan=""2"">■ 
      所さんの18番アイテム！ステンシルプレートへ戻る</td>
  </tr>
</table>",繰り返し使える本格派！ メタルステンシルプレート（3インチ） 45ピース英数字セット（真ちゅう製）■「楽天1位」メタル製 真ちゅう製 真鍮製 アメリカ雑貨 アメリカン雑貨 輸入 インテリア グッズ DIY ステンシル プレート 世田谷ベース：アメリカ雑貨通販キャンディタワー,アメリカ雑貨アメリカン雑貨ステンシル輸入雑貨ブリキ看板インテリア雑貨星条旗グッズ世田谷ベース木製看板木箱ジュークボックスルート66グッズハワイアン雑貨リトルツリーコカ・コーラグッズハロウィングッズ人工芝輸入家具ネオン管錆塗装繰り返し使える本格派！ メタルステンシルプレート（3インチ） 45ピース英数字セット（真ちゅう製）■「楽天1位」メタル製 真ちゅう製 真鍮製 アメリカ雑貨 アメリカン雑貨 輸入 インテリア グッズ DIY ステンシル プレート 世田谷ベース,所ジョージの世田谷ベースで人気爆発のステンシル遊び！。繰り返し使える本格派！ メタルステンシルプレート（3インチ） 45ピース英数字セット（真ちゅう製）■「楽天1位」メタル製 真ちゅう製 真鍮製 アメリカ雑貨 アメリカン雑貨 輸入 インテリア グッズ DIY ステンシル プレート 世田谷ベース[rn]
