19-21101,,5585.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1,生産加工用品\静電気対策用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●導電性カラーマットのカラー層と同じ材質を使用した導電テープです。<br>
●作業台の導電性カラーマットや、導電床などの区画割り、各種表示用のラインテープ。<br>
●色:イエロー<br>
●幅(mm):50<br>
●長さ(m):10<br>
●厚み(mm):0.5<br>
●接地抵抗:Rg≦1×10[[の9乗]]Ω<br>
●ニトリルゴム(NBR)<br>
●同メーカーの導電性マットを併用して下さい。",■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1：クローバー資材館,■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1,生産加工用品\静電気対策用品。■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1[rn]
19-21122,,162.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ/タンガロイ　ＴＡＣ工具部品【CSTB-3S】(3511910) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,,『カード対応OK！』■〒タンガロイ/タンガロイ　ＴＡＣ工具部品【CSTB-3S】(3511910) 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ/タンガロイ　ＴＡＣ工具部品【CSTB-3S】(3511910) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒タンガロイ/タンガロイ　ＴＡＣ工具部品【CSTB-3S】(3511910) 受注単位1[rn]
19-21123,,83721.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒サンドビックコロマントカンパ/サンドビック カッター【419-100Q32-14M】(6139701) サンドビック コロミル419カッター 発注単位1,切削工具\旋削・フライス加工工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●高送りでも、低い切削抵抗のポジカッター。<br>
●内部クーラント仕様により、良好な切りくず排出とチップ寿命。<br>
●ユニークな5コーナ仕様チップでコーナ単価を低減。<br>
●最大で、刃当り送り2.0mm の高送りが可能。<br>
●小切込みの正面フライス加工用。<br>
●小型機械での加工用。",■〒サンドビックコロマントカンパ/サンドビック カッター【419-100Q32-14M】(6139701) サンドビック コロミル419カッター 発注単位1：クローバー資材館,■〒サンドビックコロマントカンパ/サンドビック カッター【419-100Q32-14M】(6139701) サンドビック コロミル419カッター 発注単位1,切削工具\旋削・フライス加工工具。■〒サンドビックコロマントカンパ/サンドビック カッター【419-100Q32-14M】(6139701) サンドビック コロミル419カッター 発注単位1[rn]
19-21124,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002869758.jpg?fitin=700:700,2148.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋテーパードリル６．０ｍｍ【TDD0600M1 (TD-6.0)】 (1092430) 受注単位1,切削工具\穴あけ工具\テーパーシャンクドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●一般穴あけ用です。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋテーパードリル６．０ｍｍ【TDD0600M1 (TD-6.0)】 (1092430) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋテーパードリル６．０ｍｍ【TDD0600M1 (TD-6.0)】 (1092430) 受注単位1,切削工具\穴あけ工具\テーパーシャンクドリル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋテーパードリル６．０ｍｍ【TDD0600M1 (TD-6.0)】 (1092430) 受注単位1[rn]
19-21125,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004729650.jpg?fitin=700:700,13122.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京セラ/京セラ　内径加工用ホルダ　　【S10H-SWUBR06-07AE】(6488439) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒京セラ/京セラ　内径加工用ホルダ　　【S10H-SWUBR06-07AE】(6488439) 受注単位1：クローバー資材館,『カード対応OK！』■〒京セラ/京セラ　内径加工用ホルダ　　【S10H-SWUBR06-07AE】(6488439) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒京セラ/京セラ　内径加工用ホルダ　　【S10H-SWUBR06-07AE】(6488439) 受注単位1[rn]
19-21126,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004699396.jpg?fitin=700:700,21546.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京セラ/京セラ　溝入れ用チップ　超硬　ＫＷ１０【GBA43L200-020  KW10】(6447627) 受注単位10,切削工具\旋削・フライス加工工具\チップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒京セラ/京セラ　溝入れ用チップ　超硬　ＫＷ１０【GBA43L200-020  KW10】(6447627) 受注単位10：クローバー資材館,『カード対応OK！』■〒京セラ/京セラ　溝入れ用チップ　超硬　ＫＷ１０【GBA43L200-020  KW10】(6447627) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒京セラ/京セラ　溝入れ用チップ　超硬　ＫＷ１０【GBA43L200-020  KW10】(6447627) 受注単位10[rn]
19-21127,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002872811.jpg?fitin=700:700,3228.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧＥＸゴールドドリル一般加工用レギュラ１０．４【EX-GDR-10.4 (60604)】 (1012134) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●汎用性が高く、直径4～5倍までのノンステップ高速加工を実現します。<br>●ドリル先端中心部は、細井理論応用による新R刃形を採用しています。<br>●高速、高送りが可能です。切りくずは遷移折断形分断によりステップ切削が不要です。<br>●耐摩耗性、耐溶着性に優れたTiNコーティングを採用しています。<br>●溝フォームは芯厚が厚い高剛性タイプです。<br>●加工穴の位置精度が安定するため、ポンチ打ちやセンタリングが不要です。",『カード対応OK！』■〒オーエスジー/ＯＳＧＥＸゴールドドリル一般加工用レギュラ１０．４【EX-GDR-10.4 (60604)】 (1012134) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧＥＸゴールドドリル一般加工用レギュラ１０．４【EX-GDR-10.4 (60604)】 (1012134) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル。『カード対応OK！』■〒オーエスジー/ＯＳＧＥＸゴールドドリル一般加工用レギュラ１０．４【EX-GDR-10.4 (60604)】 (1012134) 受注単位1[rn]
19-21128,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004706801.jpg?fitin=700:700,8108.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　サーメット　ＴＮ６０【TPGH110304L-H  TN60】(1415123) 受注単位10,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　サーメット　ＴＮ６０【TPGH110304L-H  TN60】(1415123) 受注単位10：クローバー資材館,『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　サーメット　ＴＮ６０【TPGH110304L-H  TN60】(1415123) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　サーメット　ＴＮ６０【TPGH110304L-H  TN60】(1415123) 受注単位10[rn]
19-21129,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004232911.jpg?fitin=700:700,5742.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユニオンツール　超硬ＥＭ　ボール　Ｒ２．５×刃長７．５【CFB3050-0750】(3947955) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,,『カード対応OK！』■〒ユニオンツール　超硬ＥＭ　ボール　Ｒ２．５&times;刃長７．５【CFB3050-0750】(3947955) 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニオンツール　超硬ＥＭ　ボール　Ｒ２．５&times;刃長７．５【CFB3050-0750】(3947955) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒ユニオンツール　超硬ＥＭ　ボール　Ｒ２．５&times;刃長７．５【CFB3050-0750】(3947955) 受注単位1[rn]
19-21130,,916.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ【LCL23】(7038992) ＴＡＣ工具部品 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br><br>●TAC工具部品<br>●レバー<br><br>",『カード対応OK！』■〒タンガロイ【LCL23】(7038992) ＴＡＣ工具部品 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ【LCL23】(7038992) ＴＡＣ工具部品 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒タンガロイ【LCL23】(7038992) ＴＡＣ工具部品 受注単位1[rn]
19-21131,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002575800.jpg?fitin=700:700,17414.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　多機能形スローアウェイエンドミ【AQXR202SN20S】(2253810) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　多機能形スローアウェイエンドミ【AQXR202SN20S】(2253810) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　多機能形スローアウェイエンドミ【AQXR202SN20S】(2253810) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　多機能形スローアウェイエンドミ【AQXR202SN20S】(2253810) 受注単位1[rn]
19-21132,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002571682.jpg?fitin=700:700,3252.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　２枚刃エムスターロングネックエンドミル【MS2XL6D0150N038】(6712827) 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　２枚刃エムスターロングネックエンドミル【MS2XL6D0150N038】(6712827) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　２枚刃エムスターロングネックエンドミル【MS2XL6D0150N038】(6712827) 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　２枚刃エムスターロングネックエンドミル【MS2XL6D0150N038】(6712827) 受注単位1[rn]
19-21133,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002570792.jpg?fitin=700:700,7552.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イスカルジャパン/イスカル　Ｂ　旋削／チップ　ＣＯＡＴ【TPMT 160304 IC3028】(6271600) 受注単位10,切削工具\旋削・フライス加工工具\チップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒イスカルジャパン/イスカル　Ｂ　旋削／チップ　ＣＯＡＴ【TPMT 160304 IC3028】(6271600) 受注単位10：クローバー資材館,『カード対応OK！』■〒イスカルジャパン/イスカル　Ｂ　旋削／チップ　ＣＯＡＴ【TPMT 160304 IC3028】(6271600) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒イスカルジャパン/イスカル　Ｂ　旋削／チップ　ＣＯＡＴ【TPMT 160304 IC3028】(6271600) 受注単位10[rn]
19-21134,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002572429.jpg?fitin=700:700,5998.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ/タンガロイ　転削用Ｋ．Ｍ級ＴＡＣチップ　ＣＯＡＴ【XXMU10H308PR-MJ  AH120】(3495973) 受注単位10,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒タンガロイ/タンガロイ　転削用Ｋ．Ｍ級ＴＡＣチップ　ＣＯＡＴ【XXMU10H308PR-MJ  AH120】(3495973) 受注単位10：クローバー資材館,『カード対応OK！』■〒タンガロイ/タンガロイ　転削用Ｋ．Ｍ級ＴＡＣチップ　ＣＯＡＴ【XXMU10H308PR-MJ  AH120】(3495973) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒タンガロイ/タンガロイ　転削用Ｋ．Ｍ級ＴＡＣチップ　ＣＯＡＴ【XXMU10H308PR-MJ  AH120】(3495973) 受注単位10[rn]
19-21135,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004698905.jpg?fitin=700:700,7533.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京セラ/京セラ　ドリル用チップ　ＰＶＤコーティング　ＰＲ０３１５【DC1420M-SC  PR0315】(3580946) 受注単位1,切削工具\旋削・フライス加工工具\チップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒京セラ/京セラ　ドリル用チップ　ＰＶＤコーティング　ＰＲ０３１５【DC1420M-SC  PR0315】(3580946) 受注単位1：クローバー資材館,『カード対応OK！』■〒京セラ/京セラ　ドリル用チップ　ＰＶＤコーティング　ＰＲ０３１５【DC1420M-SC  PR0315】(3580946) 受注単位1,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒京セラ/京セラ　ドリル用チップ　ＰＶＤコーティング　ＰＲ０３１５【DC1420M-SC  PR0315】(3580946) 受注単位1[rn]
19-21136,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004698888.jpg?fitin=700:700,16037.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　ＰＶＤコーティング　ＰＲ１０２５【DCGT11T302M-CF  PR1025】(6429289) 受注単位10,切削工具\旋削・フライス加工工具\チップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　ＰＶＤコーティング　ＰＲ１０２５【DCGT11T302M-CF  PR1025】(6429289) 受注単位10：クローバー資材館,『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　ＰＶＤコーティング　ＰＲ１０２５【DCGT11T302M-CF  PR1025】(6429289) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　ＰＶＤコーティング　ＰＲ１０２５【DCGT11T302M-CF  PR1025】(6429289) 受注単位10[rn]
19-21137,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004911801.jpg?fitin=700:700,23328.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日進工具/ＮＳ　マイクロドリル　ＮＳＭＤ　Φ０．０２Ｘ０．２【NSMD-0.02X0.2】(4271882) 受注単位1,切削工具\穴あけ工具\超硬ドリル,,『カード対応OK！』■〒日進工具/ＮＳ　マイクロドリル　ＮＳＭＤ　Φ０．０２Ｘ０．２【NSMD-0.02X0.2】(4271882) 受注単位1：クローバー資材館,『カード対応OK！』■〒日進工具/ＮＳ　マイクロドリル　ＮＳＭＤ　Φ０．０２Ｘ０．２【NSMD-0.02X0.2】(4271882) 受注単位1,切削工具\穴あけ工具\超硬ドリル。『カード対応OK！』■〒日進工具/ＮＳ　マイクロドリル　ＮＳＭＤ　Φ０．０２Ｘ０．２【NSMD-0.02X0.2】(4271882) 受注単位1[rn]
19-21138,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002569228.jpg?fitin=700:700,9492.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イスカルジャパン/イスカル　Ｃ　ヘリオクト／チップ　ＣＯＡＴ【OFMT 07T3-AER-76 IC4050】(6200311) 受注単位10,切削工具\旋削・フライス加工工具\チップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒イスカルジャパン/イスカル　Ｃ　ヘリオクト／チップ　ＣＯＡＴ【OFMT 07T3-AER-76 IC4050】(6200311) 受注単位10：クローバー資材館,『カード対応OK！』■〒イスカルジャパン/イスカル　Ｃ　ヘリオクト／チップ　ＣＯＡＴ【OFMT 07T3-AER-76 IC4050】(6200311) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒イスカルジャパン/イスカル　Ｃ　ヘリオクト／チップ　ＣＯＡＴ【OFMT 07T3-AER-76 IC4050】(6200311) 受注単位10[rn]
19-21139,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002571973.jpg?fitin=700:700,8911.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　チップ　超硬【SPMN120408  UTI20T】(1677128) 受注単位10,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　チップ　超硬【SPMN120408  UTI20T】(1677128) 受注単位10：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　チップ　超硬【SPMN120408  UTI20T】(1677128) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　チップ　超硬【SPMN120408  UTI20T】(1677128) 受注単位10[rn]
19-21140,,18965.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ【CFGTL2525-4DC】(7113986) 外径用ＴＡＣバイト 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br><br>●端面溝入れ加工用<br><br>",『カード対応OK！』■〒タンガロイ【CFGTL2525-4DC】(7113986) 外径用ＴＡＣバイト 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ【CFGTL2525-4DC】(7113986) 外径用ＴＡＣバイト 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒タンガロイ【CFGTL2525-4DC】(7113986) 外径用ＴＡＣバイト 受注単位1[rn]
19-21141,,16329.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒富士元工業/富士元 チップ【T32MOR NK6060】(7968299) 富士元 Ｃ面取り用並級チップ 超硬Ｍ種 ＴｉＡｌＮコーティング ＣＯＡＴ 発注単位12,切削工具\面取り工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●面取り加工が可能なスローアウェイチップです。<br>
●面取り加工<br>
●適合機種:面取りカッター<br>
●材質:超硬Ｍ<br>
●Ｃ面取り用並級チップ　超硬Ｍ種　ＴｉＡｌＮコーティング<br>
●超硬Ｍ",■〒富士元工業/富士元 チップ【T32MOR NK6060】(7968299) 富士元 Ｃ面取り用並級チップ 超硬Ｍ種 ＴｉＡｌＮコーティング ＣＯＡＴ 発注単位12：クローバー資材館,■〒富士元工業/富士元 チップ【T32MOR NK6060】(7968299) 富士元 Ｃ面取り用並級チップ 超硬Ｍ種 ＴｉＡｌＮコーティング ＣＯＡＴ 発注単位12,切削工具\面取り工具。■〒富士元工業/富士元 チップ【T32MOR NK6060】(7968299) 富士元 Ｃ面取り用並級チップ 超硬Ｍ種 ＴｉＡｌＮコーティング ＣＯＡＴ 発注単位12[rn]
19-21142,,9976.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒イスカルジャパン/イスカル チップＣ【HCP 221-IQ IC908】(6217656) イスカル Ｃ スモウカムＩＱヘッド ＩＣ908 ＣＯＡＴ 発注単位1,切削工具\旋削・フライス加工工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●自己拘束式ヘッド交換式穴あけ工具です。<br>
●穴あけ<br>
●φ22.1mm<br>
●スモウカムIQヘッド<br>
●超硬",■〒イスカルジャパン/イスカル チップＣ【HCP 221-IQ IC908】(6217656) イスカル Ｃ スモウカムＩＱヘッド ＩＣ908 ＣＯＡＴ 発注単位1：クローバー資材館,■〒イスカルジャパン/イスカル チップＣ【HCP 221-IQ IC908】(6217656) イスカル Ｃ スモウカムＩＱヘッド ＩＣ908 ＣＯＡＴ 発注単位1,切削工具\旋削・フライス加工工具。■〒イスカルジャパン/イスカル チップＣ【HCP 221-IQ IC908】(6217656) イスカル Ｃ スモウカムＩＱヘッド ＩＣ908 ＣＯＡＴ 発注単位1[rn]
19-21143,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002565572.jpg?fitin=700:700,4914.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユニオンツール　超硬エンドミル　ロングネックラジアス　φ２ＸＲ０．５×有効長１２【HLRS 2020-05-120】(3330273) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル,,『カード対応OK！』■〒ユニオンツール　超硬エンドミル　ロングネックラジアス　φ２ＸＲ０．５&times;有効長１２【HLRS 2020-05-120】(3330273) 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニオンツール　超硬エンドミル　ロングネックラジアス　φ２ＸＲ０．５&times;有効長１２【HLRS 2020-05-120】(3330273) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル。『カード対応OK！』■〒ユニオンツール　超硬エンドミル　ロングネックラジアス　φ２ＸＲ０．５&times;有効長１２【HLRS 2020-05-120】(3330273) 受注単位1[rn]
19-21144,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005455579.jpg?fitin=700:700,4820.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立ツール/日立ツール超硬ノンステップボーラー０４ＷＮＳＢ０１１０－ＴＨ【04WNSB0110-TH】 (4247507) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●切りくず排出性に優れるＮＳＢ溝形状の採用、および高温でも安定性に優れるＴＨコートにより、ノンステップで高能率加工ができます。<br>●Ｗマージン採用で高品位加工が可能です。",『カード対応OK！』■〒日立ツール/日立ツール超硬ノンステップボーラー０４ＷＮＳＢ０１１０&minus;ＴＨ【04WNSB0110-TH】 (4247507) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立ツール/日立ツール超硬ノンステップボーラー０４ＷＮＳＢ０１１０&minus;ＴＨ【04WNSB0110-TH】 (4247507) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル。『カード対応OK！』■〒日立ツール/日立ツール超硬ノンステップボーラー０４ＷＮＳＢ０１１０&minus;ＴＨ【04WNSB0110-TH】 (4247507) 受注単位1[rn]
19-21145,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002562781.jpg?fitin=700:700,2703.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユニオンツール　超硬ドリル　コーティングドリル　φ２．２５×刃長１２【CUMD2225120】(3024881) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル,,『カード対応OK！』■〒ユニオンツール　超硬ドリル　コーティングドリル　φ２．２５&times;刃長１２【CUMD2225120】(3024881) 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニオンツール　超硬ドリル　コーティングドリル　φ２．２５&times;刃長１２【CUMD2225120】(3024881) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル。『カード対応OK！』■〒ユニオンツール　超硬ドリル　コーティングドリル　φ２．２５&times;刃長１２【CUMD2225120】(3024881) 受注単位1[rn]
19-21146,,600.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ/タンガロイ　ＴＡＣ工具部品【P332US】(3512941) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,,『カード対応OK！』■〒タンガロイ/タンガロイ　ＴＡＣ工具部品【P332US】(3512941) 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ/タンガロイ　ＴＡＣ工具部品【P332US】(3512941) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒タンガロイ/タンガロイ　ＴＡＣ工具部品【P332US】(3512941) 受注単位1[rn]
19-21147,,6609.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ/タンガロイ　外径用ＴＡＣバイト【JSVJ2BR1010K11】(7014775) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,,『カード対応OK！』■〒タンガロイ/タンガロイ　外径用ＴＡＣバイト【JSVJ2BR1010K11】(7014775) 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ/タンガロイ　外径用ＴＡＣバイト【JSVJ2BR1010K11】(7014775) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒タンガロイ/タンガロイ　外径用ＴＡＣバイト【JSVJ2BR1010K11】(7014775) 受注単位1[rn]
19-21148,,8504.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアル/三菱【SNMG120416-MK MC5015】(6698000) 旋盤用　ＣＶＤコーテッドインサート　ネガ　鋳鉄用 受注単位10,切削工具\旋削・フライス加工工具\チップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●鋳物加工用の旋盤用インサートです。<br><br>●被削材：鋳鉄<br><br><br>●ネガ<br>●四角穴有り<br><br>",『カード対応OK！』■〒三菱マテリアル/三菱【SNMG120416-MK MC5015】(6698000) 旋盤用　ＣＶＤコーテッドインサート　ネガ　鋳鉄用 受注単位10：クローバー資材館,『カード対応OK！』■〒三菱マテリアル/三菱【SNMG120416-MK MC5015】(6698000) 旋盤用　ＣＶＤコーテッドインサート　ネガ　鋳鉄用 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒三菱マテリアル/三菱【SNMG120416-MK MC5015】(6698000) 旋盤用　ＣＶＤコーテッドインサート　ネガ　鋳鉄用 受注単位10[rn]
