19-20601,http://tshop.r10s.jp/clover9608/cabinet/kotomi4/rvj732si.jpg?fitin=700:700,52790.4000,,花・ガーデン・DIY > DIY・工具 > その他,###サンウェーブ/LIXIL【RVJ-732SI】富士工業製 レンジフード RVJ シロッコファン （高さ70・60cm） 間口75cm シルバー 受注生産,換気扇\サンウェーブ,"<font size=""4"">納期目安：</font><font size=""4"">受注生産品(詳しくはお問い合わせください)</font><br>
<font size=""4"" color=""""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font><br><br>
<p>寸法：W75×D60×H70・60cm<br>
重量：14.5kg<br>
仕様50/60Hz<br>
スイッチ　強<br>
電力消費量：90/106W<br>
排気風量：520/500m3/h［0Pa］<br>
425/435m3/h［100Pa］<br>
運転音：48/47dB<br>
スイッチ　弱<br>
電力消費量：49/51W<br>
排気風量：320/295m3/h［0Pa］<br>
運転音：35/33dB</p>
●フッ素加工フィルター　●LED電球 5W<br>
<b>○金属幕板・横幕板別売</b> ○L型ダクト別売（LD-15）<br>
○ Rタイプの排気ダクトは右上面に、Lタイプの排気ダクトは左上面にあります。<br>
○ウォールキャビネットの奥行きと幕板設置位置が異なるため段差が生じます。",###サンウェーブ/LIXIL【RVJ-732SI】富士工業製 レンジフード RVJ シロッコファン （高さ70・60cm） 間口75cm シルバー 受注生産：クローバー資材館,###サンウェーブ/LIXIL【RVJ-732SI】富士工業製 レンジフード RVJ シロッコファン （高さ70・60cm） 間口75cm シルバー 受注生産,換気扇\サンウェーブ。###サンウェーブ/LIXIL【RVJ-732SI】富士工業製 レンジフード RVJ シロッコファン （高さ70・60cm） 間口75cm シルバー 受注生産[rn]
19-20635,http://tshop.r10s.jp/clover9608/cabinet/kotomi3/457000150l.jpg?fitin=700:700,210760.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###カクダイ【457-000-150L】ｽﾃﾝﾚｽﾌﾚｰﾑｷｯﾁﾝ 受注約1ヵ月,水栓金具\カクダイ,"<font size=""4"">納期目安：</font><font size=""4"">受注生産品(納期約1ヵ月)</font><br>
<font size=""4"" color=""""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font><br><br>",『カード対応OK！』###カクダイ【457-000-150L】ｽﾃﾝﾚｽﾌﾚｰﾑｷｯﾁﾝ 受注約1ヵ月：クローバー資材館,『カード対応OK！』###カクダイ【457-000-150L】ｽﾃﾝﾚｽﾌﾚｰﾑｷｯﾁﾝ 受注約1ヵ月,水栓金具\カクダイ。『カード対応OK！』###カクダイ【457-000-150L】ｽﾃﾝﾚｽﾌﾚｰﾑｷｯﾁﾝ 受注約1ヵ月[rn]
19-20636,http://tshop.r10s.jp/clover9608/cabinet/kotomi4/5360e.jpg?fitin=700:700,324.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』カクダイ【5360-S】強力ｷｶｲﾊﾞﾝﾄﾞA//155~180,水栓金具\カクダイ,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,『カード対応OK！』カクダイ【5360-S】強力ｷｶｲﾊﾞﾝﾄﾞA//155~180：クローバー資材館,『カード対応OK！』カクダイ【5360-S】強力ｷｶｲﾊﾞﾝﾄﾞA//155~180,水栓金具\カクダイ。『カード対応OK！』カクダイ【5360-S】強力ｷｶｲﾊﾞﾝﾄﾞA//155~180[rn]
19-20637,http://tshop.r10s.jp/clover9608/cabinet/youki/69036d.jpg?fitin=700:700,5384.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』カクダイ【690-36-D】ﾍﾙｰﾙｽﾄﾚｰﾅｰ//2S､#80,水栓金具\カクダイ,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,『カード対応OK！』カクダイ【690-36-D】ﾍﾙｰﾙｽﾄﾚｰﾅｰ//2S､#80：クローバー資材館,『カード対応OK！』カクダイ【690-36-D】ﾍﾙｰﾙｽﾄﾚｰﾅｰ//2S､#80,水栓金具\カクダイ。『カード対応OK！』カクダイ【690-36-D】ﾍﾙｰﾙｽﾄﾚｰﾅｰ//2S､#80[rn]
19-20638,http://tshop.r10s.jp/clover9608/cabinet/kotomi1/clover-kawajun.jpg?fitin=700:700,1065.6000,,花・ガーデン・DIY > DIY・工具 > その他,KAWAJUN アクセサリー【KH-622-DC】クローム+グレー ブラケット（笠木用） ハンドレール,水栓金具\KAWAJUN\アクセサリー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>",KAWAJUN アクセサリー【KH-622-DC】クローム+グレー ブラケット（笠木用） ハンドレール：クローバー資材館,KAWAJUN アクセサリー【KH-622-DC】クローム+グレー ブラケット（笠木用） ハンドレール,水栓金具\KAWAJUN\アクセサリー。KAWAJUN アクセサリー【KH-622-DC】クローム+グレー ブラケット（笠木用） ハンドレール[rn]
19-20639,http://tshop.r10s.jp/clover9608/cabinet/youki/78358113.jpg?fitin=700:700,1784.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』カクダイ【783-581-13】片ﾅｯﾄｷｯﾁﾝﾍｯﾀﾞｰ,水栓金具\カクダイ,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,『カード対応OK！』カクダイ【783-581-13】片ﾅｯﾄｷｯﾁﾝﾍｯﾀﾞｰ：クローバー資材館,『カード対応OK！』カクダイ【783-581-13】片ﾅｯﾄｷｯﾁﾝﾍｯﾀﾞｰ,水栓金具\カクダイ。『カード対応OK！』カクダイ【783-581-13】片ﾅｯﾄｷｯﾁﾝﾍｯﾀﾞｰ[rn]
19-20640,http://tshop.r10s.jp/clover9608/cabinet/kotomi1/clover-kawajun.jpg?fitin=700:700,6156.0000,,花・ガーデン・DIY > DIY・工具 > その他,KAWAJUN アクセサリー【GP-182-XZ-11】ステンカラーヘアライン 戸建て用インターホンカバー,水栓金具\KAWAJUN\アクセサリー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>適合子機：JL-DA・GA-DA・GB-BA・JQ-DA（アイホン）<br>",KAWAJUN アクセサリー【GP-182-XZ-11】ステンカラーヘアライン 戸建て用インターホンカバー：クローバー資材館,KAWAJUN アクセサリー【GP-182-XZ-11】ステンカラーヘアライン 戸建て用インターホンカバー,水栓金具\KAWAJUN\アクセサリー。KAWAJUN アクセサリー【GP-182-XZ-11】ステンカラーヘアライン 戸建て用インターホンカバー[rn]
19-20641,http://tshop.r10s.jp/clover9608/cabinet/kotomi4/789702kv1.jpg?fitin=700:700,12713.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』カクダイ【789-702-KV6】ﾜﾝﾎｰﾙ用分岐金具(KVK用ｾｯﾄ),水栓金具\カクダイ,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,『カード対応OK！』カクダイ【789-702-KV6】ﾜﾝﾎｰﾙ用分岐金具(KVK用ｾｯﾄ)：クローバー資材館,『カード対応OK！』カクダイ【789-702-KV6】ﾜﾝﾎｰﾙ用分岐金具(KVK用ｾｯﾄ),水栓金具\カクダイ。『カード対応OK！』カクダイ【789-702-KV6】ﾜﾝﾎｰﾙ用分岐金具(KVK用ｾｯﾄ)[rn]
19-20642,http://tshop.r10s.jp/clover9608/cabinet/kotomi4/51754025.jpg?fitin=700:700,3061.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』カクダイ【5175-50×15】ﾏﾁﾉﾒｽ接手,水栓金具\カクダイ,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,『カード対応OK！』カクダイ【5175-50&times;15】ﾏﾁﾉﾒｽ接手：クローバー資材館,『カード対応OK！』カクダイ【5175-50&times;15】ﾏﾁﾉﾒｽ接手,水栓金具\カクダイ。『カード対応OK！』カクダイ【5175-50&times;15】ﾏﾁﾉﾒｽ接手[rn]
19-20643,http://tshop.r10s.jp/clover9608/cabinet/youki10/183-245.jpg?fitin=700:700,26924.0000,,花・ガーデン・DIY > DIY・工具 > その他,カクダイ【183-245】シングルレバー混合栓（トール･ブロンズ）,水栓金具\カクダイ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>",カクダイ【183-245】シングルレバー混合栓（トール･ブロンズ）：クローバー資材館,カクダイ【183-245】シングルレバー混合栓（トール･ブロンズ）,水栓金具\カクダイ。カクダイ【183-245】シングルレバー混合栓（トール･ブロンズ）[rn]
19-20644,http://tshop.r10s.jp/clover9608/cabinet/ayaka13/9057.jpg?fitin=700:700,508.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』カクダイ【9057】洗濯機用回転吐水口,水栓金具\カクダイ,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,『カード対応OK！』カクダイ【9057】洗濯機用回転吐水口：クローバー資材館,『カード対応OK！』カクダイ【9057】洗濯機用回転吐水口,水栓金具\カクダイ。『カード対応OK！』カクダイ【9057】洗濯機用回転吐水口[rn]
19-20645,http://tshop.r10s.jp/clover9608/cabinet/kotomi1/42382125.jpg?fitin=700:700,7204.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』カクダイ【423-821-25】低位通気弁つきPﾄﾗｯﾌﾟ(ｵｰﾊﾞｰﾌﾛｰなし手洗器用),水栓金具\カクダイ,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,『カード対応OK！』カクダイ【423-821-25】低位通気弁つきPﾄﾗｯﾌﾟ(ｵｰﾊﾞｰﾌﾛｰなし手洗器用)：クローバー資材館,『カード対応OK！』カクダイ【423-821-25】低位通気弁つきPﾄﾗｯﾌﾟ(ｵｰﾊﾞｰﾌﾛｰなし手洗器用),水栓金具\カクダイ。『カード対応OK！』カクダイ【423-821-25】低位通気弁つきPﾄﾗｯﾌﾟ(ｵｰﾊﾞｰﾌﾛｰなし手洗器用)[rn]
19-20646,http://tshop.r10s.jp/clover9608/cabinet/kotomi3/702025.jpg?fitin=700:700,4178.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』カクダイ【7020-25】胴長横水栓,水栓金具\カクダイ,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,『カード対応OK！』カクダイ【7020-25】胴長横水栓：クローバー資材館,『カード対応OK！』カクダイ【7020-25】胴長横水栓,水栓金具\カクダイ。『カード対応OK！』カクダイ【7020-25】胴長横水栓[rn]
19-20647,http://tshop.r10s.jp/clover9608/cabinet/ayaka13/9174kk.jpg?fitin=700:700,140.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』カクダイ【9174KK】固定ｺﾏﾊﾟｯｷﾝ//20用､2個入,水栓金具\カクダイ,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,『カード対応OK！』カクダイ【9174KK】固定ｺﾏﾊﾟｯｷﾝ//20用､2個入：クローバー資材館,『カード対応OK！』カクダイ【9174KK】固定ｺﾏﾊﾟｯｷﾝ//20用､2個入,水栓金具\カクダイ。『カード対応OK！』カクダイ【9174KK】固定ｺﾏﾊﾟｯｷﾝ//20用､2個入[rn]
19-20648,http://tshop.r10s.jp/clover9608/cabinet/kotomi2/69108dc.jpg?fitin=700:700,19508.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』カクダイ【691-09-E×D】ﾍﾙｰﾙ偏芯ﾚﾃﾞｭｰｻｰ//2.5S×2S,水栓金具\カクダイ,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,『カード対応OK！』カクダイ【691-09-E&times;D】ﾍﾙｰﾙ偏芯ﾚﾃﾞｭｰｻｰ//2.5S&times;2S：クローバー資材館,『カード対応OK！』カクダイ【691-09-E&times;D】ﾍﾙｰﾙ偏芯ﾚﾃﾞｭｰｻｰ//2.5S&times;2S,水栓金具\カクダイ。『カード対応OK！』カクダイ【691-09-E&times;D】ﾍﾙｰﾙ偏芯ﾚﾃﾞｭｰｻｰ//2.5S&times;2S[rn]
19-20649,http://tshop.r10s.jp/clover9608/cabinet/kotomi3/67215150r.jpg?fitin=700:700,5886.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』カクダイ【672-151-50R】ｻﾔ管(赤) 22,水栓金具\カクダイ,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,『カード対応OK！』カクダイ【672-151-50R】ｻﾔ管(赤) 22：クローバー資材館,『カード対応OK！』カクダイ【672-151-50R】ｻﾔ管(赤) 22,水栓金具\カクダイ。『カード対応OK！』カクダイ【672-151-50R】ｻﾔ管(赤) 22[rn]
19-20650,http://tshop.r10s.jp/clover9608/cabinet/youki/71622813.jpg?fitin=700:700,15923.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』カクダイ【716-228-13】ｼﾝｸﾞﾙﾚﾊﾞｰ立水栓(ﾄｰﾙ),水栓金具\カクダイ,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,『カード対応OK！』カクダイ【716-228-13】ｼﾝｸﾞﾙﾚﾊﾞｰ立水栓(ﾄｰﾙ)：クローバー資材館,『カード対応OK！』カクダイ【716-228-13】ｼﾝｸﾞﾙﾚﾊﾞｰ立水栓(ﾄｰﾙ),水栓金具\カクダイ。『カード対応OK！』カクダイ【716-228-13】ｼﾝｸﾞﾙﾚﾊﾞｰ立水栓(ﾄｰﾙ)[rn]
19-20651,http://tshop.r10s.jp/clover9608/cabinet/kotomi1/6519061480.jpg?fitin=700:700,741.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』カクダイ【651-906-1/4×8.0】ﾐﾆﾁｭｱﾎﾞｰﾙﾊﾞﾙﾌﾞ,水栓金具\カクダイ,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,『カード対応OK！』カクダイ【651-906-1/4&times;8.0】ﾐﾆﾁｭｱﾎﾞｰﾙﾊﾞﾙﾌﾞ：クローバー資材館,『カード対応OK！』カクダイ【651-906-1/4&times;8.0】ﾐﾆﾁｭｱﾎﾞｰﾙﾊﾞﾙﾌﾞ,水栓金具\カクダイ。『カード対応OK！』カクダイ【651-906-1/4&times;8.0】ﾐﾆﾁｭｱﾎﾞｰﾙﾊﾞﾙﾌﾞ[rn]
19-20652,http://tshop.r10s.jp/clover9608/cabinet/03137591/03164423/img61368436.gif?fitin=700:700,25851.2000,,花・ガーデン・DIY > DIY・工具 > その他,ダイキン　ハウジングエアコン　部材　【KDG939A11】前面グリル　和風（白木）,ハウジングエアコン\ダイキン\部材,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,ダイキン　ハウジングエアコン　部材　【KDG939A11】前面グリル　和風（白木）：クローバー資材館,ダイキン　ハウジングエアコン　部材　【KDG939A11】前面グリル　和風（白木）,ハウジングエアコン\ダイキン\部材。ダイキン　ハウジングエアコン　部材　【KDG939A11】前面グリル　和風（白木）[rn]
19-20653,,626.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＮＴＮ/ＮＴＮ ベアリング【6800LLB/2A】(8198118) ＮＴＮ Ａ 小径小形ボールベアリング 発注単位1,生産加工用品\駆動機器・ベアリング,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●合成ゴムにより両側がシールされたベアリングで、防じん性に優れます。<br>
●シールド形ほど防じん性能を必要としない高速回転用に。<br>
●内輪径(mm):10<br>
●外輪径(mm):19<br>
●幅(mm):5<br>
●内輪径(mm):10<br>
●外輪径(mm):19<br>
●幅(mm):5<br>
●シール形状:合成ゴム両側非接触形（LLB）<br>
●精度等級:JIS B 1514 0級<br>
●使用温度範囲:-25～120℃<br>
●高炭素クロム軸受鋼",■〒ＮＴＮ/ＮＴＮ ベアリング【6800LLB/2A】(8198118) ＮＴＮ Ａ 小径小形ボールベアリング 発注単位1：クローバー資材館,■〒ＮＴＮ/ＮＴＮ ベアリング【6800LLB/2A】(8198118) ＮＴＮ Ａ 小径小形ボールベアリング 発注単位1,生産加工用品\駆動機器・ベアリング。■〒ＮＴＮ/ＮＴＮ ベアリング【6800LLB/2A】(8198118) ＮＴＮ Ａ 小径小形ボールベアリング 発注単位1[rn]
19-20654,http://tshop.r10s.jp/clover9608/cabinet/pb1/t010002607565.jpg?fitin=700:700,2438.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ウレタンゴム　円柱　Φ３５Ｘ５００ｍｍ【OUE03500-05 (35ﾊﾟｲX500MM)】(1713141) 受注単位1,(1713141),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●金属ばねやゴムクッションと比較して高いばね定数をもち、ばね出し力に優れています。<br>●高い反発力を出すためにサイズを小さく、使用個数も減らすことができます。<br>●狭いスペースにセットでき、取り付け時間も短縮され、生産性向上に役立ちます。<br>●バルジ加工に使用する場合、液圧を使用する場合と比較して非常に作業性が良くなります。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ウレタンゴム　円柱　Φ３５Ｘ５００ｍｍ【OUE03500-05 (35ﾊﾟｲX500MM)】(1713141) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ウレタンゴム　円柱　Φ３５Ｘ５００ｍｍ【OUE03500-05 (35ﾊﾟｲX500MM)】(1713141) 受注単位1,(1713141)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ウレタンゴム　円柱　Φ３５Ｘ５００ｍｍ【OUE03500-05 (35ﾊﾟｲX500MM)】(1713141) 受注単位1[rn]
19-20655,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005014333.jpg?fitin=700:700,1234.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒協和/協和　耐熱・耐薬品性ネジ付オイルゲージ【KMH-8】(4082770) 受注単位1,生産加工用品\機械部品\オイルゲージ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●耐熱強化樹脂とガラスの採用で耐熱性・耐薬品性に優れています。<br>●取り付けが簡単です。",『カード対応OK！』■〒協和/協和　耐熱・耐薬品性ネジ付オイルゲージ【KMH-8】(4082770) 受注単位1：クローバー資材館,『カード対応OK！』■〒協和/協和　耐熱・耐薬品性ネジ付オイルゲージ【KMH-8】(4082770) 受注単位1,生産加工用品\機械部品\オイルゲージ。『カード対応OK！』■〒協和/協和　耐熱・耐薬品性ネジ付オイルゲージ【KMH-8】(4082770) 受注単位1[rn]
19-20656,,512.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ 荷役金具Ｉ【TKH-6B】(8191396) ＴＲＵＳＣＯ 国産カラビナハーケン Ｂ型 スチール製 6Ｘ60mm 発注単位1,生産加工用品\建築金物,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●国内製造の高品質なカラビナです。<br>
●手作業で最終調整をしているので、滑らかな開閉を実現しています。<br>
●素手にも優しいニッケルメッキ仕上げです。<br>
●アルミ合金製に比べて耐摩耗性に優れています。<br>
●チェーン・ワイヤ・ロープなどの連結用フックとして。端末の金具のジョイントに。<br>
●d(mm):6<br>
●W(mm):31<br>
●L(mm):60<br>
●d'(mm):9<br>
●f(mm):6<br>
●m(mm):8<br>
●使用荷重（kN):0.25<br>
●スチール<br>
●表面処理:ニッケルメッキ仕上げ<br>
●身体の確保に直接使用しないでください。",■〒トラスコ中山/ＴＲＵＳＣＯ 荷役金具Ｉ【TKH-6B】(8191396) ＴＲＵＳＣＯ 国産カラビナハーケン Ｂ型 スチール製 6Ｘ60mm 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ 荷役金具Ｉ【TKH-6B】(8191396) ＴＲＵＳＣＯ 国産カラビナハーケン Ｂ型 スチール製 6Ｘ60mm 発注単位1,生産加工用品\建築金物。■〒トラスコ中山/ＴＲＵＳＣＯ 荷役金具Ｉ【TKH-6B】(8191396) ＴＲＵＳＣＯ 国産カラビナハーケン Ｂ型 スチール製 6Ｘ60mm 発注単位1[rn]
19-20657,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003822908.jpg?fitin=700:700,2693.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エバオン/ＥＶＮ　ロックナット　ＥＰＴ　直角度０．００２　Ｍ３０×１．５【EPT30N-2-M30X1.5】() 受注単位1,生産加工用品\駆動機器・ベアリング\ベアリング,,『カード対応OK！』■〒エバオン/ＥＶＮ　ロックナット　ＥＰＴ　直角度０．００２　Ｍ３０&times;１．５【EPT30N-2-M30X1.5】() 受注単位1：クローバー資材館,『カード対応OK！』■〒エバオン/ＥＶＮ　ロックナット　ＥＰＴ　直角度０．００２　Ｍ３０&times;１．５【EPT30N-2-M30X1.5】() 受注単位1,生産加工用品\駆動機器・ベアリング\ベアリング。『カード対応OK！』■〒エバオン/ＥＶＮ　ロックナット　ＥＰＴ　直角度０．００２　Ｍ３０&times;１．５【EPT30N-2-M30X1.5】() 受注単位1[rn]
19-20658,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003857135.jpg?fitin=700:700,1404.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒岩田製作所/ＩＷＡＴＡ　キャップＤ　（１００個入／袋）【HLDP120-B】(3660699) 受注単位：1,生産加工用品\ねじ・ボルト・ナット\ねじ用キャップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●豊富なサイズバリエーションです。<br>●突起部の保護やケガ防止の安全対策として使用できます。",『カード対応OK！』■〒岩田製作所/ＩＷＡＴＡ　キャップＤ　（１００個入／袋）【HLDP120-B】(3660699) 受注単位：1：クローバー資材館,『カード対応OK！』■〒岩田製作所/ＩＷＡＴＡ　キャップＤ　（１００個入／袋）【HLDP120-B】(3660699) 受注単位：1,生産加工用品\ねじ・ボルト・ナット\ねじ用キャップ。『カード対応OK！』■〒岩田製作所/ＩＷＡＴＡ　キャップＤ　（１００個入／袋）【HLDP120-B】(3660699) 受注単位：1[rn]
19-20659,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002957973.jpg?fitin=700:700,3996.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒丸喜金属本社/ＭＫ　枠無重量車　９０ｍｍ　コ型【C-1450-90】(3543609) 受注単位1,生産加工用品\建築金物・工場用間仕切り\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●フラットバー用。",『カード対応OK！』■〒丸喜金属本社/ＭＫ　枠無重量車　９０ｍｍ　コ型【C-1450-90】(3543609) 受注単位1：クローバー資材館,『カード対応OK！』■〒丸喜金属本社/ＭＫ　枠無重量車　９０ｍｍ　コ型【C-1450-90】(3543609) 受注単位1,生産加工用品\建築金物・工場用間仕切り\戸車。『カード対応OK！』■〒丸喜金属本社/ＭＫ　枠無重量車　９０ｍｍ　コ型【C-1450-90】(3543609) 受注単位1[rn]
19-20660,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002957878.jpg?fitin=700:700,2808.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本無機/日本無機　ダスクリーンフィルタ　６１０×３０５×２０【DS-600-31H-REA-20】(3532771) 受注単位1,生産加工用品\工業用フィルター\空調用フィルター,,『カード対応OK！』■〒日本無機/日本無機　ダスクリーンフィルタ　６１０&times;３０５&times;２０【DS-600-31H-REA-20】(3532771) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本無機/日本無機　ダスクリーンフィルタ　６１０&times;３０５&times;２０【DS-600-31H-REA-20】(3532771) 受注単位1,生産加工用品\工業用フィルター\空調用フィルター。『カード対応OK！』■〒日本無機/日本無機　ダスクリーンフィルタ　６１０&times;３０５&times;２０【DS-600-31H-REA-20】(3532771) 受注単位1[rn]
19-20661,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005142911.jpg?fitin=700:700,1339.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒千代田通商/チヨダ　メガタッチチューブ　６ｍｍ／２０ｍ　黒【MTP-6-20 (MTP-6X4.5-20)BK】(1589504) 受注単位1,生産加工用品\流体継手・チューブ\エアチューブ・ホース,,『カード対応OK！』■〒千代田通商/チヨダ　メガタッチチューブ　６ｍｍ／２０ｍ　黒【MTP-6-20 (MTP-6X4.5-20)BK】(1589504) 受注単位1：クローバー資材館,『カード対応OK！』■〒千代田通商/チヨダ　メガタッチチューブ　６ｍｍ／２０ｍ　黒【MTP-6-20 (MTP-6X4.5-20)BK】(1589504) 受注単位1,生産加工用品\流体継手・チューブ\エアチューブ・ホース。『カード対応OK！』■〒千代田通商/チヨダ　メガタッチチューブ　６ｍｍ／２０ｍ　黒【MTP-6-20 (MTP-6X4.5-20)BK】(1589504) 受注単位1[rn]
19-20662,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010002808248.jpg?fitin=700:700,1664.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プレス製ウレタンキャスター　固定ストッパー付　Φ１００【TUKB-100 (100MM) (ﾌﾞﾚｰｷﾂｷ)】(1712756) 受注単位1,(1712756),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●スチールホイールは、デザイン性も良く特徴のある星マークの形をしています。（意匠登録済）<br>●自在旋回部は、ダブルベアリングを採用し、なめらかな回転を実現しています。<br>●車輪回転部はコマーシャルベアリング入で耐久性に優れています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プレス製ウレタンキャスター　固定ストッパー付　Φ１００【TUKB-100 (100MM) (ﾌﾞﾚｰｷﾂｷ)】(1712756) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プレス製ウレタンキャスター　固定ストッパー付　Φ１００【TUKB-100 (100MM) (ﾌﾞﾚｰｷﾂｷ)】(1712756) 受注単位1,(1712756)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プレス製ウレタンキャスター　固定ストッパー付　Φ１００【TUKB-100 (100MM) (ﾌﾞﾚｰｷﾂｷ)】(1712756) 受注単位1[rn]
19-20663,,49356.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＮＴＮ/ＮＴＮ ベアリング【22320EMD1】(8197237) ＮＴＮ 自動調心ころ軸受 発注単位1,生産加工用品\駆動機器・ベアリング,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ラジアル荷重、両方向のアキシアル荷重およびこれらの合成荷重を負荷する能力が大きくなっています。<br>
●外輪軌道面の中心が軸受中心に一致しているので、自動調心性があります。<br>
●重荷重、調心性を求められる用途に。<br>
●内輪径(mm):100<br>
●外輪径(mm):215<br>
●幅(mm):73<br>
●シール:なし<br>
●精度等級:JIS B 1514 0級<br>
●使用温度範囲:-25～120℃<br>
●高炭素クロム軸受鋼",■〒ＮＴＮ/ＮＴＮ ベアリング【22320EMD1】(8197237) ＮＴＮ 自動調心ころ軸受 発注単位1：クローバー資材館,■〒ＮＴＮ/ＮＴＮ ベアリング【22320EMD1】(8197237) ＮＴＮ 自動調心ころ軸受 発注単位1,生産加工用品\駆動機器・ベアリング。■〒ＮＴＮ/ＮＴＮ ベアリング【22320EMD1】(8197237) ＮＴＮ 自動調心ころ軸受 発注単位1[rn]
