19-100301,http://tshop.r10s.jp/hobbytoy/cabinet/tasya32/7068553-e.jpg?fitin=700:700,481.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ペーパーナノPNF-001フレームインノイシュバンシュタイン城 ペーパークラフト 大人ホビー ミニチュア SmaSTATION!!で紹介されました ペーパークラフトミニチュア カワダ 【TC】,,"<b><font color=""#DCDCDC"">ペーパークラフト 大人ホビー ミニチュア SmaSTATION!!で紹介されました ペーパークラフトミニチュア ミニチュアペーパークラフトカワダ</font></b><br>ペーパーナノに「フレームインシリーズ」新登場<br>
別売りのフレームで壁掛けでも卓上でも飾って楽しめます。<br><br><br>●対象年齢<br>
12歳以上<br>
※のり、カッターなどは付属しておりません。<br>",ペーパーナノPNF-001フレームインノイシュバンシュタイン城 ペーパークラフト 大人ホビー ミニチュア SmaSTATION!!で紹介されました ペーパークラフトミニチュア カワダ 【TC】：ホビーとおもちゃのほびたま,仮面ライダーホビーフィギュア戦隊プリキュアキャラクターバンダイタカラトミーエポック社ナノブロックレゴ　ブロックセガSEGALEGOおもちゃベビー　おもちゃ赤ちゃん　おもちゃセガトイズおもちゃ　ブロックカワダ　ブロックペーパーナノPNF-001フレームインノイシュバンシュタイン城 ペーパークラフト 大人ホビー ミニチュア SmaSTATION!!で紹介されました ペーパークラフトミニチュア カワダ 【TC】,ペーパーナノPNF-001フレームインノイシュバンシュタイン城 ペーパークラフト 大人ホビー ミニチュア SmaSTATION!!で紹介されました ペーパークラフトミニチュア カワダ 【TC】[rn]
19-100353,http://tshop.r10s.jp/voice/cabinet/scrap_mm/356191.jpg?fitin=700:700,172.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ダイカットペーパー　HELLO KITTY（ハローキティ）　『パステル・キティ』　＜メール便指定OK＞【IAH】,　,"<font size=""5"" color=""#FF0000"">アルバム飾りにぴったり！</font><br>
  <br>
  <br>
貼ったり、書いたり、飾ったり、様々なクラフトでお楽しみいただけます。<br>
<br>
パッケージサイズ：縦約110×横約76mm<br>
ペーパーの大きさ：縦約59×横約60mm <BR>
内容：イエロー1枚、ピンク1枚、パープル2枚、合計４枚入り<br>",ダイカットペーパー　HELLO KITTY（ハローキティ）　『パステル・キティ』　＜メール便指定OK＞【IAH】：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ダイカットペーパー　HELLO KITTY（ハローキティ）　『パステル・キティ』　＜メール便指定OK＞【IAH】,　。ダイカットペーパー　HELLO KITTY（ハローキティ）　『パステル・キティ』　＜メール便指定OK＞【IAH】[rn]
19-100354,http://tshop.r10s.jp/voice/cabinet/scrap_mm/356207.jpg?fitin=700:700,172.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ダイカットペーパー　HELLO KITTY（ハローキティ）　『パステル・キティ　クラウン』　＜メール便指定OK＞【IAH】,　,"<font size=""5"" color=""#FF0000"">アルバム飾りにぴったり！</font><br>
  <br>
  <br>
貼ったり、書いたり、飾ったり、様々なクラフトでお楽しみいただけます。<br>
<br>
パッケージサイズ：縦約110×横約76mm<br>
ペーパーの大きさ：縦約70×横約60mm <BR>
内容：パープル1枚、つゆ1枚、イエロー2枚、合計４枚入り<br>",ダイカットペーパー　HELLO KITTY（ハローキティ）　『パステル・キティ　クラウン』　＜メール便指定OK＞【IAH】：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ダイカットペーパー　HELLO KITTY（ハローキティ）　『パステル・キティ　クラウン』　＜メール便指定OK＞【IAH】,　。ダイカットペーパー　HELLO KITTY（ハローキティ）　『パステル・キティ　クラウン』　＜メール便指定OK＞【IAH】[rn]
19-100355,http://tshop.r10s.jp/voice/cabinet/scrap4/die_home.jpg?fitin=700:700,171.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ダイカットペーパー＜ホームシリーズ＞アシッドフリー＜メール便指定OK＞,スクラップブッキングやアルバム、手作りカードに。,"アシッドフリーなのでスクラップブッキングにも最適。<br>
大きさは、<br>
ラティス：80×20mm 4枚入り <BR>
　ボーダーハウス：31×88mm　4枚入り<br>
　スイートホーム：48×66mm　6枚入り<br>
　キー：63×24mm　6枚入り<br>
　ロック：40×26mm　6枚入り<br>
　スプーン・フォーク：46×20mm　6枚入り<br>
ダイカットペーパー、パンチカットペーパーはメール便でお送りできます。<br>
（※代金引換・同梱・ラッピング・ラッピングご希望の場合は、通常宅配便となります。）",ダイカットペーパー＜ホームシリーズ＞アシッドフリー＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ダイカットペーパー＜ホームシリーズ＞アシッドフリー＜メール便指定OK＞,スクラップブッキングやアルバム、手作りカードに。。ダイカットペーパー＜ホームシリーズ＞アシッドフリー＜メール便指定OK＞[rn]
19-100356,http://tshop.r10s.jp/voice/cabinet/bungu/ms-005-bl.jpg?fitin=700:700,102.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ジグ　メモリーシステムミレニアム＜ピュアブルー　0.05＞ 呉竹　millennium　＜メール便指定OK＞スクラップブッキングにも,クリエーターが描くラインは美しい,"0.05、0.3　0.5　と用途やお好みによって選ぶことができる。顔料インクのペンです。<br>
      クリエーターなど文字や絵、ラインなどを色、太さを変えて<br>
      クリエイティブに仕事をしたいときに便利。<br>
アメリカのスクラッパーの間で大人気。<br>
ジャーナル、タイトル作りに欠かせない
重要なアイテムといえるマーカーです。<br>
顔料インクを使用していますので、
乾燥後は耐水性、耐褪色性があります。<br>
ペン先は、0.05mm、0.3mm、0.5mmの3種類があります<br>
　
※かならず水平（平行）に保管してください※<br>
メール便は6本まで。",ジグ　メモリーシステムミレニアム＜ピュアブルー　0.05＞ 呉竹　millennium　＜メール便指定OK＞スクラップブッキングにも：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ジグ　メモリーシステムミレニアム＜ピュアブルー　0.05＞ 呉竹　millennium　＜メール便指定OK＞スクラップブッキングにも,クリエーターが描くラインは美しい。ジグ　メモリーシステムミレニアム＜ピュアブルー　0.05＞ 呉竹　millennium　＜メール便指定OK＞スクラップブッキングにも[rn]
19-100357,http://tshop.r10s.jp/voice/cabinet/bungu/ms-005-br.jpg?fitin=700:700,102.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ジグ　メモリーシステムミレニアム＜ピュアブラウン 0.5＞  呉竹　millennium　＜メール便指定OK＞スクラップブッキングにも,クリエーターが描くラインは美しい,"0.05、0.3　0.5　と用途やお好みによって選ぶことができる。顔料インクのペンです。<br>
      クリエーターなど文字や絵、ラインなどを色、太さを変えて<br>
      クリエイティブに仕事をしたいときに便利。<br>
アメリカのスクラッパーの間で大人気。<br>
ジャーナル、タイトル作りに欠かせない
重要なアイテムといえるマーカーです。<br>
顔料インクを使用していますので、
乾燥後は耐水性、耐褪色性があります。<br>
ペン先は、0.05mm、0.3mm、0.5mmの3種類があります<br>
　
※かならず水平（平行）に保管してください※<br>
メール便は6本まで。",ジグ　メモリーシステムミレニアム＜ピュアブラウン 0.5＞  呉竹　millennium　＜メール便指定OK＞スクラップブッキングにも：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ジグ　メモリーシステムミレニアム＜ピュアブラウン 0.5＞  呉竹　millennium　＜メール便指定OK＞スクラップブッキングにも,クリエーターが描くラインは美しい。ジグ　メモリーシステムミレニアム＜ピュアブラウン 0.5＞  呉竹　millennium　＜メール便指定OK＞スクラップブッキングにも[rn]
19-100358,http://tshop.r10s.jp/voice/cabinet/scrap_ku/mswc-3ve.jpg?fitin=700:700,483.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,呉竹ジグ　メモリーシステムウェディングコレクション『E：チョークピンク』（スクラップブッキング用）＜メール便指定OK＞,　,"カリグラフィー。ライター、ブラッシャブルズを<br>
セットにしたマーカーコレクション。<br>
色あわせがしやすい3色のセットで<br>
混色しても美しい水性顔料マーカーです。<br>

<br>
セットの内容／<br>
チョーク<br>
ピンク　：CPカリグラフィー　　021ピンク<br>
　　　　　CPライター　　　　　000ホワイト<br>
　　　　　MSブラッシャブルズ　025ピュアピンク<br><br>

<img src=""http://image.rakuten.co.jp/voice/cabinet/icon/mail_160.jpg"" border=""0""> <br>
メール便の詳細はこちら
<br>
<br>",呉竹ジグ　メモリーシステムウェディングコレクション『E：チョークピンク』（スクラップブッキング用）＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨呉竹ジグ　メモリーシステムウェディングコレクション『E：チョークピンク』（スクラップブッキング用）＜メール便指定OK＞,　。呉竹ジグ　メモリーシステムウェディングコレクション『E：チョークピンク』（スクラップブッキング用）＜メール便指定OK＞[rn]
19-100359,http://tshop.r10s.jp/voice/cabinet/scrap_ku/mswc-3vd.jpg?fitin=700:700,483.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,呉竹ジグ　メモリーシステムウェディングコレクション『D：ブラウン』（スクラップブッキング用）＜メール便指定OK＞,　,"カリグラフィー。ライター、ブラッシャブルズを<br>
セットにしたマーカーコレクション。<br>
色あわせがしやすい3色のセットで<br>
混色しても美しい水性顔料マーカーです。<br>

<br>
セットの内容／<br>
ブラウン：MSカリグラフィー　　061ウィート<br>
　　　　　MSライター　　　　　062チョコレート<br>
　　　　　MSブラッシャブルズ　052アプリコット<br><br>

<img src=""http://image.rakuten.co.jp/voice/cabinet/icon/mail_160.jpg"" border=""0""> <br>
メール便の詳細はこちら
<br>
<br>",呉竹ジグ　メモリーシステムウェディングコレクション『D：ブラウン』（スクラップブッキング用）＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨呉竹ジグ　メモリーシステムウェディングコレクション『D：ブラウン』（スクラップブッキング用）＜メール便指定OK＞,　。呉竹ジグ　メモリーシステムウェディングコレクション『D：ブラウン』（スクラップブッキング用）＜メール便指定OK＞[rn]
19-100360,http://tshop.r10s.jp/voice/cabinet/scrap_ku/mswc-3vc.jpg?fitin=700:700,481.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,呉竹ジグ　メモリーシステムウェディングコレクション『C：グリーン』（スクラップブッキング用）＜メール便指定OK＞,　,"カリグラフィー。ライター、ブラッシャブルズを<br>
セットにしたマーカーコレクション。<br>
色あわせがしやすい3色のセットで<br>
混色しても美しい水性顔料マーカーです。<br>

<br>
セットの内容／<br>
グリーン：MSカリグラフィー　　403ペールミント<br>
　　　　　MSライター　　　　　033ティール<br>
　　　　　MSブラッシャブルズ　047スプリングG<br>
<br>

<img src=""http://image.rakuten.co.jp/voice/cabinet/icon/mail_160.jpg"" border=""0""> <br>
メール便の詳細はこちら
<br>
<br>",呉竹ジグ　メモリーシステムウェディングコレクション『C：グリーン』（スクラップブッキング用）＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨呉竹ジグ　メモリーシステムウェディングコレクション『C：グリーン』（スクラップブッキング用）＜メール便指定OK＞,　。呉竹ジグ　メモリーシステムウェディングコレクション『C：グリーン』（スクラップブッキング用）＜メール便指定OK＞[rn]
19-100361,http://tshop.r10s.jp/voice/cabinet/494328-r1.jpg?fitin=700:700,136.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【メーカー廃番在庫限り】ジグ　オペーク　カリグラフィー,　,,【メーカー廃番在庫限り】ジグ　オペーク　カリグラフィー：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【メーカー廃番在庫限り】ジグ　オペーク　カリグラフィー,　。【メーカー廃番在庫限り】ジグ　オペーク　カリグラフィー[rn]
19-100362,http://tshop.r10s.jp/voice/cabinet/scrap_ku/sbtx112-3.jpg?fitin=700:700,206.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クレタケ　スクラップブッキングテキスト「パンチアイデアテキスト３」＜メール便指定OK＞,　,,クレタケ　スクラップブッキングテキスト「パンチアイデアテキスト３」＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クレタケ　スクラップブッキングテキスト「パンチアイデアテキスト３」＜メール便指定OK＞,　。クレタケ　スクラップブッキングテキスト「パンチアイデアテキスト３」＜メール便指定OK＞[rn]
19-100363,http://tshop.r10s.jp/voice/cabinet/scrap_ku/sbtx130-1.jpg?fitin=700:700,206.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クレタケ　スクラップブッキングテキスト　「知って得する写真テクニック！」＜メール便指定OK＞,　,"デジタルカメラで上手に写真を撮るコツをマスターできる！
スクラップブッキングのための今すぐ使えるテクニックが満載です。",クレタケ　スクラップブッキングテキスト　「知って得する写真テクニック！」＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クレタケ　スクラップブッキングテキスト　「知って得する写真テクニック！」＜メール便指定OK＞,　。クレタケ　スクラップブッキングテキスト　「知って得する写真テクニック！」＜メール便指定OK＞[rn]
19-100364,http://tshop.r10s.jp/voice/cabinet/scrap5/ck-001.jpg?fitin=700:700,960.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【ラストチャンス！】クリエイティングキープセイクス　創刊号　CREATING Keepsakes＜メール便指定OK＞,　,"全米No.1スクラップブッキングマガジン、「CREATING Keepsakes」の創刊号（2005年発行）です。<br>
    創刊号の購入ができるラストチャンス！<br>長期在庫品のため、多少傷あり。<br>ご承知置きをお願いいたします。
<br>
掲載内容：<br>
特集１　大切な思い出、いつまでも…絆をつなぐアルバムづくり<br>
特集２　最愛のものをアルバムに<br>
特集３　ペットでスクラップブッキング<br>
<br>オールカラー　143ページ<br>

<br>
<br>
メール便ご希望の際には、<br>
必ず配送方法のご指定を！<br>
 - - - - - - - - - - - - <br>
[メール便OK]商品の同梱可能<br>
ただしA4サイズ2cm厚まで<br>
サイズ超で宅配になる場合<br>
事前にメールします<br>
×代引　×ラッピング<br>
×日時指定<br>
×盗難・紛失・破損時の保証<br>
※メール便についてはこちらもご確認下さい",【ラストチャンス！】クリエイティングキープセイクス　創刊号　CREATING Keepsakes＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【ラストチャンス！】クリエイティングキープセイクス　創刊号　CREATING Keepsakes＜メール便指定OK＞,　。【ラストチャンス！】クリエイティングキープセイクス　創刊号　CREATING Keepsakes＜メール便指定OK＞[rn]
19-100365,http://tshop.r10s.jp/voice/cabinet/scrap_ku/sbtx105-1.jpg?fitin=700:700,206.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クレタケ　スクラップブッキングテキスト「レタリング＆ドゥードゥルアイデアブック」＜メール便指定OK＞,　,"「可愛い文字で書きたいなぁ」「ちょっとイラストを添えたいな」そんな思いにお応えするテキストが出来ました。さまざまなマーカーを使ったユニークなレタリングや、人物や植物、地図など、かわいいイラストの描き方を紹介しています。
スクラップブッキングのジャーナルやタイトルはもちろん、お誕生日カードや簡単なイラストマップ、手帳や手紙に・・・いろいろな罫線のアイデアも載っています。
※「ドゥードゥル」とは「落書きイラスト」のことです",クレタケ　スクラップブッキングテキスト「レタリング＆ドゥードゥルアイデアブック」＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クレタケ　スクラップブッキングテキスト「レタリング＆ドゥードゥルアイデアブック」＜メール便指定OK＞,　。クレタケ　スクラップブッキングテキスト「レタリング＆ドゥードゥルアイデアブック」＜メール便指定OK＞[rn]
19-100366,http://tshop.r10s.jp/voice/cabinet/scrap_ku/img65303399.jpg?fitin=700:700,206.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クレタケ　スクラップブッキングテキスト「うちの子大好き！スクラップブッキングだワン」　＜メール便指定OK＞,　,"家族の一員でもある大好きなワンちゃん。<br>
家族にしか見せない表情。愛らしい姿。<br>
見ているだけで癒されるワンちゃんの撮りためたアルバムの中から、<br>
とっておきの写真でスクラップブッキングをはじめましょう！<br>
<br>
スクラップブッキング初心者の方も楽しめる<br>
オールカラー全30ページ！！<br>
<br>
<br>
＜内容＞<br>
・用意するもの<br>
・あると便利なお役立ちグッズ<br>
・スクラップブッキングの基本の作り方<br>
・写真の選び方<br>
・１２インチスクラップブッキング１<br>
・１２インチスクラップブッキング２<br>
・６インチスクラップブッキング～リングアルバム<br>
・ジャバラ式ブック<br>
・手作りフォトフレーム<br>
・壁掛け手作りフレーム<br>
・お家型フォトクリップフレーム<br>
・スタンドアルバム<br>
・お家型カード<br>
・タイトル集<br>
・スクラップブッキング用語集<br>
・商品紹介<br>
<br>
尚、「スクラップブッキングテキスト　うちの子大好き！スクラップブッキングだニャン」<br>
と同じ構成でイヌの写真を使っています。<br>
<br>
メール便ご希望の際には、<br>
必ず配送方法のご指定を！<br>
 - - - - - - - - - - - - <br>
[メール便OK]商品の同梱可能<br>
ただしA4サイズ2cm厚まで<br>
サイズ超で宅配になる場合<br>
事前にメールします<br>
×代引　×ラッピング<br>
×日時指定<br>
×盗難・紛失・破損時の保証<br>
メール便についてはこちらもご確認下さい",クレタケ　スクラップブッキングテキスト「うちの子大好き！スクラップブッキングだワン」　＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クレタケ　スクラップブッキングテキスト「うちの子大好き！スクラップブッキングだワン」　＜メール便指定OK＞,　。クレタケ　スクラップブッキングテキスト「うちの子大好き！スクラップブッキングだワン」　＜メール便指定OK＞[rn]
19-100367,http://tshop.r10s.jp/voice/cabinet/scrap_ku/sbtx104-10.jpg?fitin=700:700,206.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クレタケ　スクラップブッキングテキスト「ウェディング＆パーティ　ウェルカムボード」　＜メール便指定OK＞,　,"結婚式の必需品、ウェルカムボードを手作りしてみませんか？<br>
結婚式やパーティーの入り口で、<br>
一番最初に目にするのがウェルカムボードです。<br>
心を込めて手作りしたウェルカムボードを見て、<br>
ゲストはとても温かい気持ちになることでしょう。<br>
パーティ等で使えるアイディアも掲載。<br>
オールカラー全30ページ！<br>
<br>
<br>
＜内容＞<br>
・前撮り写真を使って作る基本のボード<br>
・筆文字で作る和モダンなボード<br>
・テンプレート文字を使ったシンプルなボード<br>
・立体のお花デコレーションがキュートなボード<br>
・ステッカーを使った簡単！ナチュラルテイストなボード<br>
・カリグラフィーで作るクラシックなボード<br>
・アルバム風ボード<br>
・寄せ書きボード<br>
・２人の趣味からイメージしたボード１<br>
・２人の趣味からイメージしたボード２<br>
・ブラックボードとマーカーで作るボード<br>
・ブラックボードと筆文字で作るボード<br>
・文字見本（ブラッシュ和風）<br>
・文字見本（ブラッシュ洋風）<br>
・文字見本（カリグラフィー）<br>
・文字見本（かざり文字）<br>
・商品紹介<br>
<br>
<br>
＜スペック＞
商品サイズ　145×170×3mm<br>
外装サイズ　156×210×3mm <br>
オールカラー　30ページ<br>
<br>
メール便ご希望の際には、<br>
必ず配送方法のご指定を！<br>
 - - - - - - - - - - - - <br>
[メール便OK]商品の同梱可能<br>
ただしA4サイズ2cm厚まで<br>
サイズ超で宅配になる場合<br>
事前にメールします<br>
×代引　×ラッピング<br>
×日時指定<br>
×盗難・紛失・破損時の保証<br>
メール便についてはこちらもご確認下さい",クレタケ　スクラップブッキングテキスト「ウェディング＆パーティ　ウェルカムボード」　＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クレタケ　スクラップブッキングテキスト「ウェディング＆パーティ　ウェルカムボード」　＜メール便指定OK＞,　。クレタケ　スクラップブッキングテキスト「ウェディング＆パーティ　ウェルカムボード」　＜メール便指定OK＞[rn]
19-100368,http://tshop.r10s.jp/voice/cabinet/scrap_ku/sbtx115_2.jpg?fitin=700:700,206.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クレタケ　スクラップブッキングテキスト「うちの子大好き！スクラップブッキングだニャン」　＜メール便指定OK＞,　,"家族の一員でもある大好きなネコちゃん。<br>
家族にしか見せない表情。愛らしい姿。<br>
見ているだけで癒されるネコちゃんの撮りためたアルバムの中から、<br>
とっておきの写真でスクラップブッキングをはじめましょう！<br>
<br>
スクラップブッキング初心者の方も楽しめる<br>
オールカラー全30ページ！！<br>
<br>
<br>
＜内容＞<br>
・用意するもの<br>
・あると便利なお役立ちグッズ<br>
・スクラップブッキングの基本の作り方<br>
・写真の選び方<br>
・１２インチスクラップブッキング１<br>
・１２インチスクラップブッキング２<br>
・６インチスクラップブッキング～リングアルバム<br>
・ジャバラ式ブック<br>
・手作りフォトフレーム<br>
・壁掛け手作りフレーム<br>
・お家型フォトクリップフレーム<br>
・スタンドアルバム<br>
・お家型カード<br>
・タイトル集<br>
・スクラップブッキング用語集<br>
・商品紹介<br>
<br>
尚、「スクラップブッキングテキスト　うちの子大好き！スクラップブッキングだワン」<br>
と同じ構成でネコの写真を使っています。<br>
<br>
メール便ご希望の際には、<br>
必ず配送方法のご指定を！<br>
 - - - - - - - - - - - - <br>
[メール便OK]商品の同梱可能<br>
ただしA4サイズ2cm厚まで<br>
サイズ超で宅配になる場合<br>
事前にメールします<br>
×代引　×ラッピング<br>
×日時指定<br>
×盗難・紛失・破損時の保証<br>
メール便についてはこちらもご確認下さい",クレタケ　スクラップブッキングテキスト「うちの子大好き！スクラップブッキングだニャン」　＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クレタケ　スクラップブッキングテキスト「うちの子大好き！スクラップブッキングだニャン」　＜メール便指定OK＞,　。クレタケ　スクラップブッキングテキスト「うちの子大好き！スクラップブッキングだニャン」　＜メール便指定OK＞[rn]
19-100369,http://tshop.r10s.jp/voice/cabinet/scrap_ku/ecf10-2_01.jpg?fitin=700:700,207.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クレタケ　カリグラフィーテキスト　「マーカーで書くカリグラフィー　アイデアブック」　＜メール便指定OK＞,　,"■カリグラフィーとは・・・<br>
ギリシャ語のカリグラフィア（美しき書きもの）に由来しています。<br>
歴史の変遷を経て様々な書体が生まれ、変化しながら今に伝えられています。<br>
<br>
■本書では「イタリック体」「アンシャル体」「ゴシック体」の３書体でのアイデアを紹介致します。<br>
作品とともに、実際に使ったマーカーも記載してあるのでとても分かりやすいです。<br>
ブレンダーを使ったものや、花をいろいろな書き方で紹介してあるページもあります。<br>
<br>
■全30ページ<br>
■商品サイズ：W145×H170×D3mm<br>
■外装サイズ：W156×H210×D3mm<br>
<br>
メール便ご希望の際には、<br>
必ず配送方法のご指定を！<br>
 - - - - - - - - - - - - <br>
[メール便OK]商品の同梱可能<br>
ただしA4サイズ2cm厚まで<br>
サイズ超で宅配になる場合<br>
事前にメールします<br>
×代引　×ラッピング<br>
×日時指定<br>
×盗難・紛失・破損時の保証<br>
メール便についてはこちらもご確認下さい。",クレタケ　カリグラフィーテキスト　「マーカーで書くカリグラフィー　アイデアブック」　＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クレタケ　カリグラフィーテキスト　「マーカーで書くカリグラフィー　アイデアブック」　＜メール便指定OK＞,　。クレタケ　カリグラフィーテキスト　「マーカーで書くカリグラフィー　アイデアブック」　＜メール便指定OK＞[rn]
19-100370,http://tshop.r10s.jp/voice/cabinet/scrap_ku/sbtx120_2.jpg?fitin=700:700,206.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クレタケ　スクラップブッキングテキスト「かんたん　手作り　贈るカード」　＜メール便指定OK＞,　,"人になにかを渡すときや思いを伝えるとき、<br>
手作りのカードを添えれば、<br>
より思いが伝わります。<br>
切る・折る・貼る　という基本の作業に、<br>
クラフトパンチやステッカーなど<br>
身近なペーパークラフトアイテムを組み合わせ、<br>
複雑に見えるカードも簡単に作ことができる、<br>
そんなアイデアをご紹介。　<br>
ほんっとにカワイイカードがいっぱいの、<br>
おススメテキストです。<br>
全30ページ　フルカラー<br>",クレタケ　スクラップブッキングテキスト「かんたん　手作り　贈るカード」　＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クレタケ　スクラップブッキングテキスト「かんたん　手作り　贈るカード」　＜メール便指定OK＞,　。クレタケ　スクラップブッキングテキスト「かんたん　手作り　贈るカード」　＜メール便指定OK＞[rn]
