19-104101,http://tshop.r10s.jp/katuhara/cabinet/00861930/img61195293.jpg?fitin=700:700,396.8000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,サロンスタイル エアリーホイップワックス ふんわりウェーブ 150g 【化粧品】,コーセーコスメポート スタイリング ワックス 泡 ウェーブ,"コーセーコスメポート サロンスタイル エアリーホイップワックス ふんわりウェーブ 150gは、ふんわりやわらかなウェーブスタイルを１日中キープするスタイリングワックスです。
<br>高保湿美容液成分（天然保湿因子）を配合。スタイルにうるおい・ツヤをプラス！髪の悩みの上位にランクインする「パサつき」を解消し、ツヤを与えて、より美しいヘアスタイルを叶えます。
<br>微細毛髪補修成分「アミノ酸」「コラーゲン」を配合してダメージを補修。さらに「紫外線カット成分」を配合することで、キューティクルの損傷による乾燥ダメージなども防ぎます。
<br>キメたスタイルが長持ちするふんわりウェーブ成分・湿気コントロール成分を配合。
<br>心地よいフルーティフローラルの香り。",サロンスタイル エアリーホイップワックス ふんわりウェーブ 150g 【化粧品】：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップサロンスタイル エアリーホイップワックス ふんわりウェーブ 150g 【化粧品】,コーセーコスメポート スタイリング ワックス 泡 ウェーブ。サロンスタイル エアリーホイップワックス ふんわりウェーブ 150g 【化粧品】[rn]
19-104161,http://tshop.r10s.jp/kurashikenkou/cabinet/daishin/9603192.jpg?fitin=700:700,304.8000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > ヘアスプレー,《A》（整髪料）マンダム 寝ぐせ直しウォーター 250ML 詰替え用【D】,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















◇きしまずパサつかない。◇簡単、確実に寝ぐせを直し、さらっとした手触りの髪に仕上げる寝ぐせ直しウォーター。◇浸透性の高いウォーターが髪の内側まで浸透することで素早く寝ぐせを直します。◇うるおい成分が髪にうるおいを与えます。◇スムース成分が髪をコートし、さらさらに仕上げます。●内容量：つめかえ用　250mL<br>○発売元：マンダム○広告文責：e-net shop株式会社(0120-166-353)、○区分：ヘアスタイリング剤※お取り寄せ商品の為、お届けまで10日～2週間ほどお時間をいただく場合がございます。予めご了承ください。<br><br>",《A》（整髪料）マンダム 寝ぐせ直しウォーター 250ML 詰替え用【D】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶《A》（整髪料）マンダム 寝ぐせ直しウォーター 250ML 詰替え用【D】,【税込3990円以上で送料無料】。《A》（整髪料）マンダム 寝ぐせ直しウォーター 250ML 詰替え用【D】[rn]
19-104162,http://tshop.r10s.jp/kurashikenkou/cabinet/daishin/9603895.jpg?fitin=700:700,587.2000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > ヘアスプレー,《D》（スタイリング剤）花王 リーゼ まとめ髪用柚子水 100ML【D】,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















だれでもきれいにまとめ髪上手。髪しんなり、束ねやすい。ハネ毛・浮き毛もすっきり。しっかりまとめて、美しいまとめ髪が長続き。天然ユズエキス（保湿成分）配合。きりりとした柚子の香り<br>●ヘアスタイリング剤<br>●内容量：100mL<br>○発売元：花王株式会社<br>○広告文責：e-net shop株式会社(0120-166-353)、○区分：化粧品<br>※お取り寄せ商品の為、お届けまで10日～2週間ほどお時間をいただく場合がございます。予めご了承ください。<br><br>",《D》（スタイリング剤）花王 リーゼ まとめ髪用柚子水 100ML【D】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶《D》（スタイリング剤）花王 リーゼ まとめ髪用柚子水 100ML【D】,【税込3990円以上で送料無料】。《D》（スタイリング剤）花王 リーゼ まとめ髪用柚子水 100ML【D】[rn]
19-104163,http://tshop.r10s.jp/kurashikenkou/cabinet/arata/9781195.jpg?fitin=700:700,526.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > ヘアスプレー,《A》（ヘアスプレー）柳屋本店　EX メンズドライスプレー ラージ 275G【D】,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















どんな髪質も超強力固定。雨や風、湿度の高い日もヘアスタイルをくずしません。<br>スポーツ時にも最適です。<br>乾きが早いので、手で触ってもベタベタしません。<br>また、髪に自然なツヤとハリを与えるので、美しいヘアスタイルに仕上げます。<br>髪に香りの残らない無香料<br><br>●成分<br>エタノール、DME、LPG、(アクリル酸アルキル/ジアセトンアクリルアミド)コポリマーAMP、フェニルトリメチコン<br>●内容量：275g <br>広告文責：e-net shop株式会社(0120-166-353)<br><br>",《A》（ヘアスプレー）柳屋本店　EX メンズドライスプレー ラージ 275G【D】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶《A》（ヘアスプレー）柳屋本店　EX メンズドライスプレー ラージ 275G【D】,【税込3990円以上で送料無料】。《A》（ヘアスプレー）柳屋本店　EX メンズドライスプレー ラージ 275G【D】[rn]
19-104164,http://tshop.r10s.jp/kurashikenkou/cabinet/tasya16/9912827-e.jpg?fitin=700:700,759.2000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > ヘアスプレー,VO5 スーパーキープ ヘアスプレイ エクストラハード 無香料【D】,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















ヘアスタイルをしっかり固めてロングキープします♪<br>
雨・風の日もくずれません！<br>
毛髪保護成分に海藻エッセンス、ラベンダーエッセンスを配合！
<br><br>
●容量：330g<br>
●香り：無香料<br>
●成分<br>
エタノール、LPG、（アクリレーツ/アクリル酸アルキル（C1-18）/アルキル（C1-8）アクリルアミド）コポリマーAMP<br>
褐藻エキス、ラベンダー油、ラノリン脂肪酸オクチルドデシル、PVP、PPG-9ジグリセリル、ポリシリコーン-13、水<br>
ステアラミドプロピルジメチルアミン、BHT、酢酸リナリル
<br><br>
<table cellspacing=""3"" cellpadding=""5"" border=""0"" bgcolor=""#ffffff"">
<tr><td align=""center"" bgcolor=""#FFE4E1"">
<font color=""#696969"" size=""2"">広告文責</font></td>
<td bgcolor=""#ffffff"">
<font color=""#696969"" size=""2"">e-net shop株式会社
<br>0120-166-353</font></td></tr>
<tr><td align=""center"" bgcolor=""#FFE4E1"">
<font color=""#696969"" size=""2"">輸入元または販売元</font></td>
<td bgcolor=""#ffffff"">
<font color=""#696969"" size=""2"">サンスター</font></td></tr>
<tr><td align=""center"" bgcolor=""#FFE4E1"">
<font color=""#696969"" size=""2"">区分</font></td>
<td bgcolor=""#ffffff"">
<font color=""#696969"" size=""2"">ヘアスタイリング</font></td></tr></table>
<br><br><font color=red>※ご注文状況により二週間程度お時間をいただく場合がございます。予めご了承ください。</font>",VO5 スーパーキープ ヘアスプレイ エクストラハード 無香料【D】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶VO5 スーパーキープ ヘアスプレイ エクストラハード 無香料【D】,【税込3990円以上で送料無料】。VO5 スーパーキープ ヘアスプレイ エクストラハード 無香料【D】[rn]
19-104165,http://tshop.r10s.jp/kurashikenkou/cabinet/tasya2/9141148-e.jpg?fitin=700:700,678.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > ヘアスプレー,ルシードヘアスプレースーパーハード【D】,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















浸透性アミノ酸を配合。毛髪内部に浸透することで、年齢により細く、弱くなってきた髪に、ハリ・コシを与え、しっかりスタイリングできる髪へ。<br>強力な固定力で湿気や風からヘアスタイルを守る速乾性ヘアスプレーです。<br>無香料、無着色、防腐剤無配合。 <br><br>●内容量：180g<br>●男性整髪料<br>●成分：エタノール、LPG、（メタクリロイルオキシエチルカルボキシベタイン/メタクリル酸アルキル）コポリマー、PPG-9グリセリル、パンテノール、PPG-34、水、ジラウロイルグルタミン酸リシンNa<br>●原産国：日本<br><br><table cellspacing=""3"" cellpadding=""5"" border=""0"" bgcolor=""#ffffff""><tr><td align=""center"" bgcolor=""#FFE4E1""><font color=""#696969"" size=""2"">広告文責</font></td><td bgcolor=""#ffffff""><font color=""#696969"" size=""2"">e-net shop株式会社<br>0120-166-353</font></td></tr>
<tr><td align=""center"" bgcolor=""#FFE4E1""><font color=""#696969"" size=""2"">メーカー（製造）</font></td><td bgcolor=""#ffffff""><font color=""#696969"" size=""2"">株式会社マンダム</font></td></tr>
<tr><td align=""center"" bgcolor=""#FFE4E1""><font color=""#696969"" size=""2"">区分</font></td><td bgcolor=""#ffffff""><font color=""#696969"" size=""2"">化粧品</font></td></tr>
</table><br><font color=red>※ご注文状況により二週間程度お時間をいただく場合がございます。予めご了承ください。</font>",ルシードヘアスプレースーパーハード【D】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶ルシードヘアスプレースーパーハード【D】,【税込3990円以上で送料無料】。ルシードヘアスプレースーパーハード【D】[rn]
19-104166,http://tshop.r10s.jp/katuhara/cabinet/03174544/imgrc0069884120.jpg?fitin=700:700,464.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > ヘアスプレー,ラブラス パワフルホールド ヘアスプレー もぎたてピーチの香り 330g 【化粧品】,コーセーコスメポート ヘアスプレー スタイリング 巻き髪,"しっかり巻き髪・ふわっとゆる巻き・まとめ髪アレンジなどの「ふんわり」をしっかりキメて、スタイルをくずしません。<br>
湿気プロテクト成分を新配合。湿気によるスタイルくずれを防ぎ、こだわりの巻き髪を長時間キープします。<br>
<IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",ラブラス パワフルホールド ヘアスプレー もぎたてピーチの香り 330g 【化粧品】：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップラブラス パワフルホールド ヘアスプレー もぎたてピーチの香り 330g 【化粧品】,コーセーコスメポート ヘアスプレー スタイリング 巻き髪。ラブラス パワフルホールド ヘアスプレー もぎたてピーチの香り 330g 【化粧品】[rn]
19-104167,http://tshop.r10s.jp/katuhara/cabinet/03174544/img62629696.jpg?fitin=700:700,532.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > ヘアスプレー,花王　ケープ　ナチュラル＆キープ　無香料　180g 【化粧品】,動きのあるやわらかなニュアンスをキープ,動きのあるやわらかなニュアンスをパリッと固めることなく、自然な感じにキープ,花王　ケープ　ナチュラル＆キープ　無香料　180g 【化粧品】：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ花王　ケープ　ナチュラル＆キープ　無香料　180g 【化粧品】,動きのあるやわらかなニュアンスをキープ。花王　ケープ　ナチュラル＆キープ　無香料　180g 【化粧品】[rn]
19-104168,http://tshop.r10s.jp/cosmebox/cabinet/item32/4580284233883.jpg?fitin=700:700,612.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > ヘアスプレー,サムライウーマン　ヘアスプレー　ストレートセット　100g　samourai woman　SPR *,「サムライウーマン」の香りでスタイリング♪,"スタイリングの仕上げにスプレーするだけで、サラサラ香り髪＆ダメージケア。ヘアコロンに、スタイリングに。アルガンオイル、ツバキ油配合。透明感にあふれた、ふんわり優しいサムライウーマンの香り。<br>








ヘアスプレー<br>
100g<br>
サムライウーマン/SPR


<br>
[広告文責] コスメボックス 097-543-1871<br>
[発売元] 株式会社SPRジャパン<br>
[区分] 日本製・化粧品",サムライウーマン　ヘアスプレー　ストレートセット　100g　samourai woman　SPR *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂サムライウーマン　ヘアスプレー　ストレートセット　100g　samourai woman　SPR *,「サムライウーマン」の香りでスタイリング♪。サムライウーマン　ヘアスプレー　ストレートセット　100g　samourai woman　SPR *[rn]
19-104169,http://tshop.r10s.jp/cosmebox/cabinet/item01/4902806582888.jpg?fitin=700:700,472.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > ヘアスプレー,ギャツビー セット＆キープ スプレー スーパーハード mandom GATSBY *,湿気に強くキメたスタイル長持ち！！,"ベタつかず、素早く固めてキメたスタイル超持続 ！！なじみのよいミクロの泡が髪を均一にコートし、やわらかい手触りの自然なふんわりスタイルをそのままキープ、自然なツヤを与えます。髪を保護するトリートメント成分(ビタミン系保湿剤)配合。つけた瞬間さりげなく香り後に残らない。自然で清潔感あふれるシトラス系の香り(微香性)<br>
ヘアフォーム<br>
180g<br>
GATSBY/マンダム",ギャツビー セット＆キープ スプレー スーパーハード mandom GATSBY *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂ギャツビー セット＆キープ スプレー スーパーハード mandom GATSBY *,湿気に強くキメたスタイル長持ち！！。ギャツビー セット＆キープ スプレー スーパーハード mandom GATSBY *[rn]
19-104170,http://tshop.r10s.jp/cosmebox/cabinet/item32/4580284231452.jpg?fitin=700:700,668.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > ヘアスプレー,サムライ　ロック　イン　スタイル　ハードスプレー　パイソンロック　160g　LOCK-IN-STYLE　PythonLock　SPR　SAMOURAI *,SAMOURAI LOCK-IN-STYLE,"固め過ぎ注意！！！のハードスプレー。そのスタイルくずさず長時間セット＆ホールド。サムライ　アクアマリンの香り。<br>






整髪料<br>
160g<br>
サムライ/SPRジャパン株式会社<br>



<br>
[広告文責] コスメボックス 097-543-1871<br>
[発売元] SPRジャパン株式会社<br>
[区分] 日本製・化粧品",サムライ　ロック　イン　スタイル　ハードスプレー　パイソンロック　160g　LOCK-IN-STYLE　PythonLock　SPR　SAMOURAI *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂サムライ　ロック　イン　スタイル　ハードスプレー　パイソンロック　160g　LOCK-IN-STYLE　PythonLock　SPR　SAMOURAI *,SAMOURAI LOCK-IN-STYLE。サムライ　ロック　イン　スタイル　ハードスプレー　パイソンロック　160g　LOCK-IN-STYLE　PythonLock　SPR　SAMOURAI *[rn]
19-104171,http://tshop.r10s.jp/cosmebox/cabinet/item28/4580143104026.jpg?fitin=700:700,1200.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > ヘアスプレー,●送料無料　コスメボックス　ナチュラルヘアカバースプレー　ダークブラウン　200g　一時染毛料　薄毛対策・微粉末増毛スプレー　cosmeboxオリジナル *,簡単・瞬時に髪が増えて見える！,"<!-- 商品情報　2  -->

<table width=""100%"" border=""1"" bordercolor=""#FFFFFF"">
<tr bordercolor=""#CCCCCC""><td align=""center"" width=100>
<font size=""2"" color=""#666666"">商品名</font></td>
<td><font size=""2"" color=""#666666""><b>
コスメボックス　ナチュラルヘアカバースプレー　ダークブラウン
</b><br>
</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=100>
<font size=""2"" color=""#666666"">ブランド</font></td>
<td><font size=""2"" color=""#666666"">
コスメボックス（cosmebox）
</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=100>
<font size=""2"" color=""#666666"">内容量</font></td>
<td><font size=""2"" color=""#666666"">
200g
</font></td></tr>

<tr bordercolor=""#CCCCCC"">
<td align=""center"" width=15%>　<font size=""2"" color=""#666666"">商品コード</font></td>
<td width=85%>
<font size=""2"" color=""#666666"">
J4580143104026
</font></td></tr>

<tr bordercolor=""#CCCCCC"">
<td align=""center"" width=15%>　<font size=""2"" color=""#666666"">使用方法</font></td>
<td width=85%>
<font size=""2"" color=""#666666"">
□ 衣類等を汚さないようタオル・ケープで覆ってください。<br>
□ カチカチと音がするまで、必ず缶を上下に強くよく振ってからご使用ください。（最低10回以上）<br>
□ スタイリング後、使用部位から10cmほど離し、円を描くように少しずつスプレーしてください。<br>
□ スプレー後、約５分は手を触れず、完全に乾かしてください。<br>
※ 使用後はクシを通さないでください。<br>
※ おやすみ前は、シャンプーでていねいに洗い落としてください。<br>
※ ご使用中に中身が出にくくなった場合は、再度缶をよく振ってください。
<br></font></td></tr>

<tr bordercolor=""#CCCCCC"">
<td align=""center"" width=15%>　<font size=""2"" color=""#666666"">使用上の注意</font></td>
<td width=85%>
<font size=""2"" color=""#666666"">
□ 逆さまや横向きで使うと、ガスだけが出て中身が残ります。<br>
□ 衣類・壁・床等への飛び散りに注意し、ついてしまった時はすぐにふき取るか、洗ってください。<br>
□ 帽子や枕、車のヘッドレスト等に触れると、色が付着することがあります。<br>
□ 多量の雨や汗などで濡れた場合は、流れ落ちることがありますので、水滴をティッシュ等でふきとってください。<br>
□ 頭皮に異常がある時、または異常が現れた時はご使用をおやめください。<br>
□ 目に入らないように注意し、入った場合はすぐに水かぬるま湯で洗い流してください。<br>
□ 吸入しないようにご注意ください。<br>
□ 乳幼児の手の届かない所に保管してください。
<br></font></td></tr>



<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">成分</font></td>
<td width=85%><font size=""2"" color=""#666666"">
LPG、DME、エタノール、タルク（メタクリロイルオキシエチルカルボキシベタイン/メタクリル酸アルキル）コポリマー、シクロペンタシロキサン、ポリソルベート80、セスキオレイン酸ソルビタン、カーボンブラック、黄205、赤404
<br></font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%>　<font size=""2"" color=""#666666"">メーカー</font></td>
<td width=85%> <font size=""2"" color=""#666666"">
発売元：株式会社コスメボックス<br>
製造販売元：株式会社ナナラボ
<br></font></td></tr>


<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%>　<font size=""2"" color=""#666666"">区分</font></td>
<td width=85%><font size=""2"" color=""#666666"">
日本製・一時染毛料
<br></font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%>　<font size=""2"" color=""#666666"">広告文責</font></td>
<td width=85%><font size=""2"" color=""#666666"">
コスメボックス 097-543-1871
<br></font></td></tr>
</table>",●送料無料　コスメボックス　ナチュラルヘアカバースプレー　ダークブラウン　200g　一時染毛料　薄毛対策・微粉末増毛スプレー　cosmeboxオリジナル *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂●送料無料　コスメボックス　ナチュラルヘアカバースプレー　ダークブラウン　200g　一時染毛料　薄毛対策・微粉末増毛スプレー　cosmeboxオリジナル *,簡単・瞬時に髪が増えて見える！。●送料無料　コスメボックス　ナチュラルヘアカバースプレー　ダークブラウン　200g　一時染毛料　薄毛対策・微粉末増毛スプレー　cosmeboxオリジナル *[rn]
19-104172,http://tshop.r10s.jp/barber-bi/cabinet/img60267110.jpg?fitin=700:700,1728.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > ヘアスプレー,【あす楽】 ウエラ ピュア ピュリファイング シャンプー 1000ml頭皮が気になる方にWELLA PROFESSIONALS CARE【HLS_DU】【10P27May16】【コンビニ受取対応商品】,,,【あす楽】 ウエラ ピュア ピュリファイング シャンプー 1000ml頭皮が気になる方にWELLA PROFESSIONALS CARE【HLS_DU】【10P27May16】【コンビニ受取対応商品】：千客万来BARBER美,【あす楽】 ウエラ ピュア ピュリファイング シャンプー 1000ml頭皮が気になる方にWELLA PROFESSIONALS CARE【HLS_DU】【10P27May16】【コンビニ受取対応商品】,【あす楽】 ウエラ ピュア ピュリファイング シャンプー 1000ml頭皮が気になる方にWELLA PROFESSIONALS CARE【HLS_DU】【10P27May16】【コンビニ受取対応商品】[rn]
19-104173,http://tshop.r10s.jp/soukai/cabinet/02/4952195631902.jpg?fitin=700:700,784.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > ヘアスプレー,ルベル トリエ エアリーメイク スプレー 3(170g)【ルベル】,ルベル★税抜1900円以上で送料無料★,お店TOP＞バス・洗面＞ヘアスタイリング＞ヘアスプレー 女性用＞ルベル トリエ エアリーメイク スプレー 3 (170g)<br><br>★税抜1900円以上で送料無料★<br><br>【ルベル トリエ エアリーメイク スプレー 3の商品詳細】<br>●やわらかな毛流れ。ニュアンスメイク<br>●ふわっと軽い霧が均一に広がって、ふんわりエアリー感のあるスタイルを表現します。<br>●フランポワーズ＆ラ・フランスの香り<br><br>【使用方法】<br>・ご使用前によく振ってから、髪の内側から吹き込むようにスプレーし、手ぐしや指先で束感や毛流れを創ります。<br><br>【成分】<br>LPG、エタノール、(ヒドロキシステアリン酸／ステアリン酸／ロジン酸)ジペンタエリスリチル、エチルヘキサン酸アルキル(C14、16、18)、(アクリル酸アルキル／ジアセトンアクリルアミド)コポリマーAMP、ヤシ油脂肪酸PEG-7グリセリル、PG、ヒマワリ種子エキス、白金、ラウロイルグルタミン酸ジ(フィトステリル／オクチルドデシル)、クオタニウム-33、コレステロール(羊毛)、BG、水、香料<br>【注意事項】<br>・頭皮に異常があるとき、または異常があらわれたときは使用を中止し、皮膚科専門医等にご相談されることをおすすめします。<br>・目に入らないようにご注意ください。もし入った場合はこすらず、すぐによく洗い流してください。<br>・噴射した霧を直接吸い込まないようにしてください。<br>・乳幼児の手の届かない所に保管してください。<br>・火気と高温に注意してください。<br><br>【ブランド】<br>ルベル<br><br>【発売元、製造元、輸入元又は販売元】<br>爽快ドラッグ<br><br><font color='red'>本品はメーカー製造中止のため、在庫限りで販売終了となります。</font><br><br>(Lebel TRIE AIRY MAKE SPRAY)<br><br>爽快ドラッグ<br>532-0011 大阪市淀川区西中島1-11-16 新大阪CSPビル本館3階<br>0570-666-632<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[ヘアスタイリング/ブランド：ルベル/],ルベル トリエ エアリーメイク スプレー 3(170g)【ルベル】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションルベル トリエ エアリーメイク スプレー 3(170g)【ルベル】,ルベル★税抜1900円以上で送料無料★。ルベル トリエ エアリーメイク スプレー 3(170g)【ルベル】[rn]
19-104174,http://tshop.r10s.jp/soukai/cabinet/18/4901301276018.jpg?fitin=700:700,399.2000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > ヘアスプレー,ケープ スーパーハード 無香料(180g)【kao1610T】【ヘアスプレーケープ】[花王],ヘアスプレーケープ / 花王★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/sd/sale/saleitem_20170420.gif' border='0' width='100%'><br><br>お店TOP＞バス・洗面＞ヘアスタイリング＞ヘアスプレー 女性用＞ケープ スーパーハード 無香料 (180g)<br><br>★税抜1900円以上で送料無料★<br><br>【ケープ スーパーハード 無香料の商品詳細】<br>●ハードなキープ力で雨・風にもくずれない。ハネ・浮き毛もしっかりおさえる！<br>●無香料<br>●滑りにくく持ちやすい「しっかりつかめるデコボコ形状」缶採用<br><br>【使用方法】<br>・髪から20cm以上はなしてスプレーしてください。<br>・内側にもスプレーするとキープ力がアップ！<br><br>【成分】<br>エタノール、LPG、(アクリルアミド／アクリル酸DMAPA／メタクリル酸メトキシPEG)コポリマー、グリセリン、ポリシリコーン-9、アセタミドMEA、乳酸<br>【注意事項】<br>★ご注意<br>・アイロン、ドライヤーなどの使用中に、スプレーしないでください。引火・やけどの恐れがあります。<br>・乾いた後、くしやブラシを通さないでください。(通すと白く残ります)<br>・洗い落しにくい時は、先にコンディショナー等をつけてすすぐと髪がほぐれてシャンプーしやすくなります。<br>・頭皮に傷、湿疹等異常のある時は使わないでください。<br>・刺激などの異常が出たら使用を中止し、皮フ科医へ相談してください。<br>・目に入らないよう注意し、目に入った時や皮フについたときは、すぐに充分洗い流してください。<br>・吸入しないよう注意してください。<br>・同じところに続けて1秒以上噴射しないでください。<br>・子供の手の届く所に置かないでください。<br>★火気と高温に注意<br>高圧ガスを使用した可燃性の製品であり、危険なため、火気の注意を守ること。<br>(1)炎や火気の近くで使用しないこと。<br>(2)火気を使用している室内で大量に使用しないこと。<br>(3)高温にすると破裂の危険があるため、直射日光のあたる所やストーブ、ファンヒーターの近くなど温度が40度以上となる所に置かないこと。<br>(4)火の中に入れないこと。<br>(5)使い切って捨てること。<br>高圧ガス：LPガス／DME<br><br>【ブランド】<br>ヘアスプレーケープ<br><br>【発売元、製造元、輸入元又は販売元】<br>花王<br><br><font color='red'>ヘアケア、スキンケア用品　0120-165-692<br>ハミガキ、ハブラシ、入浴剤、温熱シート、サクセス　0120-165-696<br>飲料（ヘルシア）　0120-165-697<br>紙おむつ、生理用品　0120-165-695<br>洗濯、掃除、食器洗い用品　0120-165-693<br>ペットケア　0120-165-696<br>ニベア、８×４（エイトフォー）0120-165-699<br></font><br><br>/(/F284502/F269801/F222512/)/<br><br>花王<br>131-8501 墨田区文花2-1-3 生活者コミュニケーションセンター 消費者相談室　※電話番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[ヘアスタイリング/ブランド：ヘアスプレーケープ/],ケープ スーパーハード 無香料(180g)【kao1610T】【ヘアスプレーケープ】[花王]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションケープ スーパーハード 無香料(180g)【kao1610T】【ヘアスプレーケープ】[花王],ヘアスプレーケープ / 花王★税抜1900円以上で送料無料★。ケープ スーパーハード 無香料(180g)【kao1610T】【ヘアスプレーケープ】[花王][rn]
