19-166401,http://tshop.r10s.jp/akibamac/cabinet/03234013/4562219166299.jpg?fitin=700:700,2432.0000,,TV・オーディオ・カメラ > アクセサリー・部品 > テレビ用アクセサリー > その他,ＫＲＹＮＡ　ＰＲＯ インシュレーター T-PROP 10mm (1個) TP-1 M10 (TP1M10),,スタンドの移動がカンタン・安全なスパイクと受け皿の一体構造型のインシュレーター。,ＫＲＹＮＡ　ＰＲＯ インシュレーター T-PROP 10mm (1個) TP-1 M10 (TP1M10)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンＫＲＹＮＡ　ＰＲＯ インシュレーター T-PROP 10mm (1個) TP-1 M10 (TP1M10),ＫＲＹＮＡ　ＰＲＯ インシュレーター T-PROP 10mm (1個) TP-1 M10 (TP1M10)[rn]
19-166457,http://tshop.r10s.jp/kurashikenkou/cabinet/tasya2/9141168-e.jpg?fitin=700:700,758.4000,,医薬品・コンタクト・介護 > 衛生医療品 > その他,アレルシャット ウイルス イオンでブロック 160回分【D】,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















イオンの力で鼻や口へのウイルスの侵入を防ぐ！<br>ウイルスが気になるときに。 顔にスプレーするだけ！<br>約 160回分。<br><br>【使用方法】<br>軽く振ってからご使用ください。顔に対して20cm程度離し、適量（2プッシュ）を全体に広がるようスプレーしてください。<br>・メイクをしている場合、メイクの上からご使用ください。<br>・スプレー後、液が気になる場合は手で軽くおさえ、肌になじませてください。<br>・目に入らないよう、目を閉じて使用してください。<br>・衣類にかからないよう注意してください。<br>※使い始めは、液が出るまで数回カラ押しを行ってください。<br><br>【使用の目安】<br>約4時間おきに1日3-5回ご使用ください。<br><br>●内容量：50ml<br>●成分：陽電荷ポリマー、酸化チタン分散体、ヒアルロン酸ナトリウム、水、エタノール、パラベン<br><br><font color=red>※ご注文状況により二週間程度お時間をいただく場合がございます。予めご了承ください。</font>",アレルシャット ウイルス イオンでブロック 160回分【D】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶アレルシャット ウイルス イオンでブロック 160回分【D】,【税込3990円以上で送料無料】。アレルシャット ウイルス イオンでブロック 160回分【D】[rn]
19-166458,http://tshop.r10s.jp/kurashikenkou/cabinet/nitiyouhin/9408581-e.jpg?fitin=700:700,324.0000,,医薬品・コンタクト・介護 > 衛生医療品 > その他,《A》バンドエイド 水に強いタフガード 20枚【D】,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















大切なのは“モイストヒーリング”☆<br>
従来の治療法では、創面に体内から出る滲出液（しんしゅつえき）がみられるときは、できるだけ傷を乾燥させることが重要だと考えられていました。<br />
これに対して、モイストヒーリングとは、傷口を治すための体液（栄養分）が乾かないように、ばんそうこうなどで傷口をカバーして、自然にきれいに早く傷を治す方法です。<br />
通常、ばんそうこうを貼らないときよりも、貼る方が2倍早く治ることが分かっています。 <br>
厚地の丈夫な布を救急絆創膏に採用。<br />
細かいメッシュ状のポリエチレンネットを表面材に使用。<br />
パッドの周辺部に防水ポリウレタンフィルムを使用。<br />
肌への粘着力が強く、糊残りしにくい特殊な粘着剤を採用。<br />
<br>
●サイズ<br />
パッドサイズ　2.85×2.0cm<br />
●内容量　<br />
パッドサイズ　20枚入り<br />
▼バンドエイド 水に強いタフガード ワイド  15枚【D】はこちら♪<br>
広告文責　e-netshop株式会社　0120-166-353<br />
メーカー(製造)　ジョンソン・エンド・ジョンソン株式会社 <br />
区分　医薬部外品<br /><br><br>",《A》バンドエイド 水に強いタフガード 20枚【D】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶《A》バンドエイド 水に強いタフガード 20枚【D】,【税込3990円以上で送料無料】。《A》バンドエイド 水に強いタフガード 20枚【D】[rn]
19-166459,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_074/4962644520138_ll.jpg?fitin=700:700,760.0000,,医薬品・コンタクト・介護 > 衛生医療品 > その他,旭電機化成 背中ぬりっこ SMILE KIDS ブルー ASH-30(BL) [ASH30BL],,□商品説明<br>●塗り薬をひとりでらくらく、背中のぬりたいポイントに持っていけます。容器の形や大きさに合わせて、ホルダー部分を調節できます。<br>●塗り薬の容器の首がヨコ型とタテ方のどちらにも対応します。<br>□商品仕様<br>●材質:容器ホルダー/PP樹脂 固定具/ABS樹脂 持ち手/ABS樹脂 アーム部/ステンレス<br>●寸法:4.4×28.6×10.0cm<br>●質量:78g,旭電機化成 背中ぬりっこ SMILE KIDS ブルー ASH-30(BL) [ASH30BL]：エディオン　楽天市場店,旭電機化成 背中ぬりっこ SMILE KIDS ブルー ASH-30(BL) [ASH30BL],旭電機化成 背中ぬりっこ SMILE KIDS ブルー ASH-30(BL) [ASH30BL][rn]
19-166460,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_074/4962644520169_ll.jpg?fitin=700:700,760.0000,,医薬品・コンタクト・介護 > 衛生医療品 > その他,旭電機化成 軟こうぬりちゃん SMILE KIDS ブルー ASH-40(BL) [ASH40BL],,□商品説明<br>●湿布もはがせて便利です。<br>●かゆい時はまごの手に、くるんと回せば軟こう塗りになります。<br>□商品仕様<br>●材質:持ち手・スライダー、ヘッドベース/ABS樹脂 ヘッド孫の手突起部/エラストマー ハンドル/ステンレス<br>●寸法:6.3×6.0×35.0cm<br>●質量:87g,旭電機化成 軟こうぬりちゃん SMILE KIDS ブルー ASH-40(BL) [ASH40BL]：エディオン　楽天市場店,旭電機化成 軟こうぬりちゃん SMILE KIDS ブルー ASH-40(BL) [ASH40BL],旭電機化成 軟こうぬりちゃん SMILE KIDS ブルー ASH-40(BL) [ASH40BL][rn]
19-166461,http://tshop.r10s.jp/kokoroes/cabinet/dsbeauty/dsproducts/045/0000096644-1.jpg?fitin=700:700,11840.0000,,医薬品・コンタクト・介護 > 衛生医療品 > その他,【お薦めの逸品】温熱シップE,ヘルス|健康|ビューティー|ダイエット,"<img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062844000.jpg"" border=""0"" alt=""送料表""><br><br><img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062851526.jpg"" border=""0"" alt=""注意事項""><br><br>※本品はメーカーより直送される商品のため、ご注文後に欠品・キャンセルとなる場合がございます。また、以下の場合には追加送料がかかる場合がございます。<br><br>・同梱区分が異なる商品の複数購入時<br>・沖縄、離島および一部地域への配送時<br><br>【発送目安】：<b>5 - 11営業日</b><br>【同梱区分】：<b>TS 1</b><br>【梱包サイズ】：<b>通常商品</b><br><br>温熱シップE<br><br>オーシンエムエルピー<br><br><br><br>肌に直接貼るためシートがずれにくい。<br>シートタイプで薄型のためどこでも貼りやすい。<br>一定温度が持続しますので快適にご使用いただけます。<br>トウガラシ等の刺激物は使用しておりません。<br><br><br>　温熱シップE<br><br>【メーカー】<br>　オーシンエムエルピー<br><br>【セット内容】<br>　5Ｐ×20枚（100枚）<br><br>【サイズ】<br>　13cm×9.5cm<br><br>【温度】<br>　38～44℃<br><br>【持続時間】<br>　約7～8時間<br><br><br><font color=""red""><b>【在庫や納期について】</b></font><br><br><b>≪在庫状況≫</b><br>当店在庫は当店系列他店や実店舗などで共有しており、また、メーカー直送によるためのメーカー在庫品の商品があるため、ご注文のタイミングや情報変更処理等の影響により在庫が無い状態やお取り寄せが必要になる場合があります。<br>また、万が一欠品等で商品をご用意できない場合は大変不本意ではありますが、ご注文を一旦キャンセルさせていただく事がございます。予めご了承ください。<br><br><b>≪納期状況≫</b><br>商品ページ記載の納期情報はあくまでも「通常目安」であり確定されたものではありません。お急ぎの場合や厳格な日時指定をご希望の場合は、必ず事前にお問い合わせいただきますようお願いいたします。<br><br>",【お薦めの逸品】温熱シップE：癒しのヴェルサイユ宮殿,6畳用 8畳用 10畳用 12畳用 6帖用 8帖用 10帖用 12帖用LED シャンデリア chandelier照明 天井照明 ライト ランプ シーリング家具 猫足輸入家具ガーデン用品インテリアロココロココ調時計壁掛け時計両面時計壁掛け両面時計インテリア雑貨イタリア製イギリス製フランス製ポルトガル製傘立てchandelier【お薦めの逸品】温熱シップE,ヘルス|健康|ビューティー|ダイエット。【お薦めの逸品】温熱シップE[rn]
19-166462,http://tshop.r10s.jp/katuhara/cabinet/00861937/imgrc0074196391.gif?fitin=700:700,190.4000,,医薬品・コンタクト・介護 > 衛生医療品 > その他,オーキューバン エコ アソート 3サイズ 36枚【一般医療機器】,ニチバン OQバン アソート 絆創膏 ばんそうこう,"<P><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0""></P>
<TABLE border=""1"">

    <TR>
      <TD width=""25"" align=""center"" bgcolor=""#c6fe7a"">商<BR>
      品<BR>
      説<BR>
      明</TD>
      <TD width=""400"">●ポリエチレン系フィルム採用により、低温時でもゴワゴワ感が少なく、良く伸びるサイズ数種類入り絆創膏です。</TD>
    </TR>
    <TR>
      <TD align=""center"" bgcolor=""#c6fe7a"">使<BR>
      用<BR>
      上<BR>
      の<BR>
      注<BR>
      意</TD>
      <TD>●患部を清潔にし、粘着面がキズぐちにあたらないように使用してください。 <BR>
      ●パッド部分が水などでぬれて汚れた時は、新しいものに貼り替えてください。 <BR>
      ●本品の使用により発疹・発赤、かゆみ等が生じた場合は使用を中止し、医師又は薬剤師に相談してください。 <BR>
      ●はがす時は、皮膚を傷めないよう体毛の流れに沿ってゆっくりはがしてください。 <BR>
      ●直射日光をさけ、なるべく湿気の少ない涼しい、小児の手の届かない所に保管してください。 *再使用しないでください。</TD>
    </TR>
    <TR>
      <TD width=""25"" align=""center"" bgcolor=""#c6fe7a"">内<BR>
      容</TD>
      <TD width=""400"">Lサイズ：30×72mm 6枚 <BR>
      Sサイズ：12×55mm 10枚 <BR>
      Mサイズ：21×70mm 20枚</TD>
    </TR>
    <TR>
      <TD align=""center"" bgcolor=""#c6fe7a"">関<BR>
      連<BR>
      商<BR>
      品</TD>
      <TD><P><BR>
バンドエイド商品一覧は⇒コチラ<BR>
<BR>
      救急箱は⇒コチラ<BR>
      <BR>
      液体絆創膏商品一覧は⇒コチラ<BR>
      </P>

</TD>
    </TR>

</TABLE>
<P></P>
<table border=""1""><tr>
<td width=""25"" align=""center"" bgcolor=""#c6fe7a""><font size=""2"">広<br>告<br>文<br>責</font></td><td width=""400""><FONT size=""2"">
株式会社勝原薬局<br>[TEL：079-224-1003]
</FONT></td></tr><tr><td align=""center"" bgcolor=""#c6fe7a""><font size=""2"">製<BR>
    造<BR>
    ・<BR>
    発<br>売<br>
    元</font></td><td><font size=""2""><FONT size=""-1"">ニチバン株式会社 お客様相談室 <BR>
    TEL：0120-377218</FONT></font></td></tr><tr><td align=""center"" bgcolor=""#c6fe7a""><FONT size=""2"">区<br>分</FONT></td><td><font size=""2"">一般医療機器<BR>
    届出番号：40B2X00015131160<BR>
    日本製 </font></td></tr><tr>
    <td align=""center"" bgcolor=""#c6fe7a""><FONT size=""-1"">備<BR>
    考</FONT></td>
    <td>JANコード：　4987167066376</td>
  </tr></table>",オーキューバン エコ アソート 3サイズ 36枚【一般医療機器】：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップオーキューバン エコ アソート 3サイズ 36枚【一般医療機器】,ニチバン OQバン アソート 絆創膏 ばんそうこう。オーキューバン エコ アソート 3サイズ 36枚【一般医療機器】[rn]
19-166463,http://tshop.r10s.jp/katuhara/cabinet/00861937/imgrc0073437689.jpg?fitin=700:700,130.4000,,医薬品・コンタクト・介護 > 衛生医療品 > その他,バンドエイド 肌色タイプ ジュニアサイズ 18枚 【一般医療機器】,【メール便選択可】 ジョンソン・エンド・ジョンソン 保護,"●ちょっとしたキズ、ニキビなどのふきでものや虫刺されなどをかきこわしたキズのカバーに。滅菌済。<br>
<br>
●低アレルギー性粘着剤使用<br>
<br>
●しなやかなテープ。肌にぴったりフィットするしなやかさ<br>
<br>
●傷口につきにくい特殊加工パッド。やわらかいパッドが傷口をしっかり保護<br>
<br>
●強い粘着力。水の中でもはがれにくい<br>
<br>
＜サイズ＞ジュニア<br>
テープ：38×10(mm)　パッド：13×10(mm)<br>
<br />
＜備考＞<br />
<p><font color=""#ff0000""><b>●メール便１個口発送目安：10個</b></font></p>
<br>
広告文責：株式会社勝原薬局 [TEL：079-224-1003]<br>
<br>
＜発売元＞<br>
ジョンソン ・エンド・ジョンソン株式会社<br>
東京都千代田区西神田3-5-2<br>
お客様相談室 ： 0120-101110<br>
受付時間： 9:00～17:00（土、日、祝日を除く）<br>
<br>
区分：一般医療機器／中国製<br>
【医療機器届出番号】<br>
13B1X00204C00017<br>
<br />
＜関連商品＞
<p>『バンドエイド』 商品一覧は⇒こちら</p>
<p>『クイックパッド』 商品一覧は⇒こちら</p>
<p>『エースバン』商品一覧は⇒こちら</p>
<p>キャラクター 絆創膏 商品一覧は⇒こちら</p>
<p><img src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0""  alt=""パッケージ・在庫""></p>
<p><img src=""http://image.rakuten.co.jp/katuhara/cabinet/00009263/img65585366.gif"" width=""100%"" border=""0"" alt=""メール便発送の注意事項""></p>
<p><img src=""http://image.rakuten.co.jp/katuhara/cabinet/01408130/imgrc0069443754.gif"" width=""100%"" border=""0"" alt=""メール便への変更""></p>",バンドエイド 肌色タイプ ジュニアサイズ 18枚 【一般医療機器】：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップバンドエイド 肌色タイプ ジュニアサイズ 18枚 【一般医療機器】,【メール便選択可】 ジョンソン・エンド・ジョンソン 保護。バンドエイド 肌色タイプ ジュニアサイズ 18枚 【一般医療機器】[rn]
19-166464,http://tshop.r10s.jp/katuhara/cabinet/00861937/imgrc0073437234.jpg?fitin=700:700,476.0000,,医薬品・コンタクト・介護 > 衛生医療品 > その他,バンドエイド 水に強いタフガード XLサイズ 10枚 【一般医療機器】,【メール便選択可】 ジョンソン・エンド・ジョンソン 保護 大,"●長時間の水仕事などの、ハードな状況にもオススメの防水絆創膏です。<br />
<br />
●パッド周辺部の肌色防水フィルムにより、水やバイ菌の侵入をブロック。<br />
<br />
●耐久性の高い厚地の丈夫な布製テープが、キズを衝撃から守ります。<br />
<br />
●傷口につきにくい特殊加工パッドを採用。やわらかいパッドが、傷口をしっかりと保護します。<br />
<br />
●アレルギーの心配が少ない、非天然ゴム系の粘着剤を使用。<br />
<br />
＜サイズ＞ワイド<br>
テープ：102×45(mm)　パッド：45×30（mm）<br />
<br />
＜備考＞<br />
<p><font color=""#ff0000""><b>●メール便１個口発送目安：6個</b></font></p>
<br>
広告文責：株式会社勝原薬局 [TEL：079-224-1003]<br>
<br>
＜発売元＞<br>
ジョンソン ・エンド・ジョンソン株式会社<br>
東京都千代田区西神田3-5-2<br>
お客様相談室 ： 0120-101110<br>
受付時間： 9:00～17:00（土、日、祝日を除く）<br>
<br>
区分：一般医療機器／中国製<br>
【医療機器届出番号】<br>
13B1X00204C00013<br>
<br />
＜関連商品＞
<p>『バンドエイド』 商品一覧は⇒こちら</p>
<p>『クイックパッド』 商品一覧は⇒こちら</p>
<p>『エースバン』商品一覧は⇒こちら</p>
<p>キャラクター 絆創膏 商品一覧は⇒こちら</p>
<p><img src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0""  alt=""パッケージ・在庫""></p>
<p><img src=""http://image.rakuten.co.jp/katuhara/cabinet/00009263/img65585366.gif"" width=""100%"" border=""0"" alt=""メール便発送の注意事項""></p>
<p><img src=""http://image.rakuten.co.jp/katuhara/cabinet/01408130/imgrc0069443754.gif"" width=""100%"" border=""0"" alt=""メール便への変更""></p>",バンドエイド 水に強いタフガード XLサイズ 10枚 【一般医療機器】：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップバンドエイド 水に強いタフガード XLサイズ 10枚 【一般医療機器】,【メール便選択可】 ジョンソン・エンド・ジョンソン 保護 大。バンドエイド 水に強いタフガード XLサイズ 10枚 【一般医療機器】[rn]
19-166465,http://tshop.r10s.jp/katuhara/cabinet/00861937/imgrc0073373546.jpg?fitin=700:700,544.0000,,医薬品・コンタクト・介護 > 衛生医療品 > その他,バンドエイド キズパワーパッド 指用 2サイズ 6枚 【管理医療機器】,【メール便選択可】 ジョンソン・エンド・ジョンソン 保護,"●指用は、ハイドロコロイド素材を厚く六角形に、そのまわりを極薄に特殊加工することで、伸縮性を高めました。<br>
<br>
●六角形にすることで、極薄部分をバランスよく配置でき、360度、どの方向から力が加わっても優れた伸縮性を発揮することができます。<br>
<br>
＜効能・効果＞<br>
切り傷、すり傷、かき傷、あかぎれ、さかむけ、靴ずれ等の創傷及び軽度の熱傷（やけど）の「治癒の促進」、「痛みの軽減」、「湿潤環境の維持」、「保護」<br>
<br>
＜サイズ＞<br />
指巻用：73mm×20mm(4枚)<br />
指関節用：36mm×36mm(2枚)<br />
<br />
＜備考＞<br />
<p><font color=""#ff0000""><b>●メール便１個口発送目安：6個</b></font></p>

<br>
広告文責：株式会社勝原薬局 [TEL：079-224-1003]<br>
<br>

＜発売元＞<br>
ジョンソン ・エンド・ジョンソン株式会社<br>
東京都千代田区西神田3-5-2<br>
お客様相談室 ： 0120-101110<br>
受付時間： 9:00～17:00（土、日、祝日を除く）<br>
<br>
区分：管理医療機器／デンマーク製<br>
【医療機器認証番号】<br>
225ADBZ100048000<br>
<br />
＜関連商品＞
<p>『バンドエイド』 商品一覧は⇒こちら</p>

<p>『クイックパッド』 商品一覧は⇒こちら</p>

<p>『エースバン』商品一覧は⇒こちら</p>

<p>キャラクター 絆創膏 商品一覧は⇒こちら</p>

<p><img src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0""  alt=""パッケージ・在庫""></p>
<p><img src=""http://image.rakuten.co.jp/katuhara/cabinet/00009263/img65585366.gif"" width=""100%"" border=""0"" alt=""メール便発送の注意事項""></p>
<p><img src=""http://image.rakuten.co.jp/katuhara/cabinet/01408130/imgrc0069443754.gif"" width=""100%"" border=""0"" alt=""メール便への変更""></p>",バンドエイド キズパワーパッド 指用 2サイズ 6枚 【管理医療機器】：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップバンドエイド キズパワーパッド 指用 2サイズ 6枚 【管理医療機器】,【メール便選択可】 ジョンソン・エンド・ジョンソン 保護。バンドエイド キズパワーパッド 指用 2サイズ 6枚 【管理医療機器】[rn]
19-166466,http://tshop.r10s.jp/katuhara/cabinet/00861937/img59448705.jpg?fitin=700:700,455.2000,,医薬品・コンタクト・介護 > 衛生医療品 > その他,クイックパッド　ワイドサイズ　4枚,阿蘇製薬 湿潤療法 絆創膏 ばんそうこう モイストヒーリング,"貼ったままにすることで治す効果を高め、治癒を促進。<br>わずらわしい貼りかえが少ない。最長5日間までOK。<br>高い粘着力と、優れた防水性でシャワーやお風呂にもつけたままでOK。<br>キズ口にうるおいをつくるので、貼りかえるときもいたみが少ない。<br>しなやかな貼り心地。肌色半透明。<br>詳細はPC版のページをご確認ください。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",クイックパッド　ワイドサイズ　4枚：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップクイックパッド　ワイドサイズ　4枚,阿蘇製薬 湿潤療法 絆創膏 ばんそうこう モイストヒーリング。クイックパッド　ワイドサイズ　4枚[rn]
19-166467,http://tshop.r10s.jp/katuhara/cabinet/00861937/imgrc0075021578.gif?fitin=700:700,453.6000,,医薬品・コンタクト・介護 > 衛生医療品 > その他,ハイドロパッド 大きめサイズ 5枚入【管理医療機器】【キャラクター】,【メール便選択可】浅田飴 絆創膏 ばんそうこう ドラえもん,"<P><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009263/img65585366.gif"" width=""100%"" border=""0"" alt=""メール便発送の注意事項""></P>
<BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">
<P><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/01408130/imgrc0069443754.gif"" width=""100%"" border=""0""></P><BR><BR>
<TABLE border=""1"" width=""100%"">

    <TR>
      <TD width=""25"" align=""center"" bgcolor=""#c6fe7a"">商<BR>
      品<BR>
      説<BR>
      明</TD>
      <TD width=""400"">「ハイドロパッド」は、キズを治す成分を含んだ体液を吸収して自然治癒力を高めるハイドロコロイド素材を採用。<BR>
      かさぶたの代わりとなって傷口の潤いを保って痛みをやわらげ、キズをきれいに早く治します。 <BR>
      楽しいドラえもん柄のプリントを施した、厚さ約0.3mmの超薄型タイプ。<BR>
      完全防水仕様で、動きにフィットしてはがれにくいのが特長です。<BR>
      ●傷あとが残りにくい ハイドロコロイド素材が、キズを治す成分を含んだ体液を吸収して白くふくらみ、自然治癒力を高め、キズをきれいに早く治します。
      <BR>
      ●痛みをやわらげる 全面パッドのやわらか素材がキズを擦れや衝撃から守り、体液を吸収したパッドが傷口の潤いを保ってキズの痛みをやわらげます。 <BR>
      ●超薄型ではがれにくい 厚さ約0.3mmの超薄型タイプ。完全防水仕様ではがれにくく、動きにフィットします。</TD>
    </TR>
    <TR>
      <TD align=""center"" bgcolor=""#c6fe7a"">使<BR>
      用<BR>
      目<BR>
      的</TD>
      <TD>切り傷、すり傷、かき傷、あかぎれ、さかむけ、靴ずれなどの創傷及び軽度の熱傷の保護、湿潤環境の維持、治癒の促進、痛みの軽減を目的とする。ただし、真皮を超える創傷は除く。</TD>
    </TR>
    <TR>
      <TD align=""center"" bgcolor=""#c6fe7a"">サ<BR>
      イ<BR>
      ズ</TD>
      <TD>大きめサイズ（35×70mm）：5枚入</TD>
    </TR>
    <TR>
      <TD width=""25"" align=""center"" bgcolor=""#c6fe7a"">備<BR>
      考</TD>
      <TD width=""400"">メール便1個口での発送個数目安：8個</TD>
    </TR>

    <TR>
      <TD align=""center"" bgcolor=""#c6fe7a"">関<BR>
      連<BR>
      商<BR>
      品</TD>
      <TD><P><BR>
絆創膏商品は⇒コチラ<BR>
<BR>
      ドラえもん商品一覧は⇒コチラ<BR>
      <BR>
      救急箱は⇒コチラ<BR>
      </P>

</TD>
    </TR>

</TABLE>
<P></P>
<TABLE border=""1"" width=""100%""><tr>
<td width=""25"" align=""center"" bgcolor=""#c6fe7a""><font size=""2"">広<br>告<br>文<br>責</font></td><td width=""400""><FONT size=""2"">
株式会社勝原薬局<br>[TEL：079-224-1003]
</FONT></td></tr><tr><td align=""center"" bgcolor=""#c6fe7a""><font size=""2"">製<BR>
    造<BR>
    ・<BR>
    発<br>売<br>元</font></td><td><font size=""2"">株式会社 浅田飴 <BR>
    〒101-0044　東京都千代田区鍛冶町 2-6-1 <BR>
    お客様相談室】 TEL:03-3953-4044 </font></td></tr><tr><td align=""center"" bgcolor=""#c6fe7a""><FONT size=""2"">区<br>分</FONT></td><td><font size=""2"">管理医療機器／日本製<BR>管理医療機器認証番号：228AABZX00032A01<BR>
    </font></td></tr></TABLE>",ハイドロパッド 大きめサイズ 5枚入【管理医療機器】【キャラクター】：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップハイドロパッド 大きめサイズ 5枚入【管理医療機器】【キャラクター】,【メール便選択可】浅田飴 絆創膏 ばんそうこう ドラえもん。ハイドロパッド 大きめサイズ 5枚入【管理医療機器】【キャラクター】[rn]
19-166468,http://tshop.r10s.jp/katuhara/cabinet/00861937/imgrc0073437030.jpg?fitin=700:700,378.4000,,医薬品・コンタクト・介護 > 衛生医療品 > その他,バンドエイド 水に強いタフガード ワイドサイズ 15枚  【一般医療機器】,【メール便選択可】 ジョンソン・エンド・ジョンソン 保護 幅広,"●長時間の水仕事などの、ハードな状況にもオススメの防水絆創膏です。<br />
<br />
●パッド周辺部の肌色防水フィルムにより、水やバイ菌の侵入をブロック。<br />
<br />
●耐久性の高い厚地の丈夫な布製テープが、キズを衝撃から守ります。<br />
<br />
●傷口につきにくい特殊加工パッドを採用。やわらかいパッドが、傷口をしっかりと保護します。<br />
<br />
●アレルギーの心配が少ない、非天然ゴム系の粘着剤を使用。<br />
<br />
＜サイズ＞ワイド<br>
テープ：76×30(mm)　パッド：29×20(mm) <br />
<br />
＜備考＞<br />
<p><font color=""#ff0000""><b>●メール便１個口発送目安：8個</b></font></p>
<br>
広告文責：株式会社勝原薬局 [TEL：079-224-1003]<br>
<br>
＜発売元＞<br>
ジョンソン ・エンド・ジョンソン株式会社<br>
東京都千代田区西神田3-5-2<br>
お客様相談室 ： 0120-101110<br>
受付時間： 9:00～17:00（土、日、祝日を除く）<br>
<br>
区分：一般医療機器／中国製<br>
【医療機器届出番号】<br>
13B1X00204C00013<br>
<br />
＜関連商品＞
<p>『バンドエイド』 商品一覧は⇒こちら</p>
<p>『クイックパッド』 商品一覧は⇒こちら</p>
<p>『エースバン』商品一覧は⇒こちら</p>
<p>キャラクター 絆創膏 商品一覧は⇒こちら</p>
<p><img src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0""  alt=""パッケージ・在庫""></p>
<p><img src=""http://image.rakuten.co.jp/katuhara/cabinet/00009263/img65585366.gif"" width=""100%"" border=""0"" alt=""メール便発送の注意事項""></p>
<p><img src=""http://image.rakuten.co.jp/katuhara/cabinet/01408130/imgrc0069443754.gif"" width=""100%"" border=""0"" alt=""メール便への変更""></p>",バンドエイド 水に強いタフガード ワイドサイズ 15枚  【一般医療機器】：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップバンドエイド 水に強いタフガード ワイドサイズ 15枚  【一般医療機器】,【メール便選択可】 ジョンソン・エンド・ジョンソン 保護 幅広。バンドエイド 水に強いタフガード ワイドサイズ 15枚  【一般医療機器】[rn]
