19-68101,http://tshop.r10s.jp/yminfo/cabinet/eigertool/4986449080697.jpg?fitin=700:700,192.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,キングナイロン　内装用テグス　クリア　NTS-3,お店の商品展示や看板・POP吊に用途いろいろ！,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】<BR>
お店の商品展示や看板・POP吊に用途いろいろ！<BR>
アクセサリー作り、ポップ等の吊下げ、商品のディスプレイに。<BR>
<BR>
【商品詳細】<BR>内装用テグス3号<BR>
太さ：0.285mm<BR>
破断強度：3.6K<BR>
長さ：100m<BR>
重量：20g<BR>
材質：ナイロン</FONT></P>",キングナイロン　内装用テグス　クリア　NTS-3：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングキングナイロン　内装用テグス　クリア　NTS-3,お店の商品展示や看板・POP吊に用途いろいろ！。キングナイロン　内装用テグス　クリア　NTS-3[rn]
19-68123,http://tshop.r10s.jp/yminfo/cabinet/00713627/77376.jpg?fitin=700:700,2880.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　ハンディ下げ振りPro　自動巻スイピタ400g付　赤　77376,垂直・鉛直の確認に！,"【ここがポイント！】 
 柱・壁面・型枠などの垂直・鉛直の確認に。スイピタ400g付き 
 固定方法は針で（ハンマーで叩けます）・マグネット・金属フック・サッシ用溝で固定 
 工具なしで針の交換ができ、ドラムストッパー付き 
 
 
 
　【商品詳細】 
サイズ 125×100×35mm 
重量 225g+400g 
糸の長さ 5m 
使用可能錘 100g～850g（400gのスイピタ付） 
材質 本体：ABS・エラストマー樹脂
ばね：ステンレス
針：ばね鋼
マグネット：ネオジムマグネット
糸：ナイロン",シンワ　ハンディ下げ振りPro　自動巻スイピタ400g付　赤　77376：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　ハンディ下げ振りPro　自動巻スイピタ400g付　赤　77376,垂直・鉛直の確認に！。シンワ　ハンディ下げ振りPro　自動巻スイピタ400g付　赤　77376[rn]
19-68124,http://tshop.r10s.jp/yminfo/cabinet/00713627/77591.jpg?fitin=700:700,576.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,【ネコポス可能】シンワ　ダブルスクライバー用替えペンシル2本入　77597,スクライバー用の替えペンシル,"【ここがポイント！】 
ダブルスクライバーきこり用のスクライブペンシル2本です。乾いている時は黒く、消しゴムで消せます。湿気を帯びるとブルーのインクに変わり消えなくなります。
 
 
 
　【商品詳細】 
サイズ 1800×φ7.5mm 
重量 7g",【ネコポス可能】シンワ　ダブルスクライバー用替えペンシル2本入　77597：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】シンワ　ダブルスクライバー用替えペンシル2本入　77597,スクライバー用の替えペンシル。【ネコポス可能】シンワ　ダブルスクライバー用替えペンシル2本入　77597[rn]
19-68125,http://tshop.r10s.jp/yminfo/cabinet/00713627/77377.jpg?fitin=700:700,1798.4000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　ハンディ下げ振りPro　3倍速手巻　青　77377,垂直・鉛直の確認に！,"【ここがポイント！】 
 柱・壁面・型枠などの垂直・鉛直の確認に。ハンドルがあるのですばやく巻き取れます。 
 固定方法は針で（ハンマーで叩けます）・マグネット・金属フック・サッシ用溝で固定 
 工具なしで針の交換ができ、ドラムストッパー付き 
 
 
 
　【商品詳細】 
サイズ 125×100×45mm 
重量 185g 
糸の長さ 10m 
使用可能錘 100g～1kg 
材質 本体：ABS・エラストマー樹脂
ばね：ステンレス
針：ばね鋼
マグネット：ネオジムマグネット
糸：ナイロン",シンワ　ハンディ下げ振りPro　3倍速手巻　青　77377：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　ハンディ下げ振りPro　3倍速手巻　青　77377,垂直・鉛直の確認に！。シンワ　ハンディ下げ振りPro　3倍速手巻　青　77377[rn]
19-68126,http://tshop.r10s.jp/yminfo/cabinet/00713627/78695.jpg?fitin=700:700,1554.4000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　メタルキャッチャーレベル付　78695,壁裏の金属の下地・釘を探す,"【ここがポイント！】 
 壁裏の金属を簡単検知！強力マグネットの振り子によってクロス壁等を傷つけません！ 
 軽くてコンパクト。持ち運びに便利です。畜光付気泡管が付いてますので水平器としても使用できます。 
 
 
 
　【商品詳細】 
サイズ 92×40×35mm 
重量 37g 
材質 ABS樹脂、アクリル、石油系液、ネオジム磁石",シンワ　メタルキャッチャーレベル付　78695：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　メタルキャッチャーレベル付　78695,壁裏の金属の下地・釘を探す。シンワ　メタルキャッチャーレベル付　78695[rn]
19-68127,http://tshop.r10s.jp/yminfo/cabinet/00713627/78674.jpg?fitin=700:700,662.4000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　メタルキャッチャーミニ　78674,壁裏の金属の下地・釘を探す,"【ここがポイント！】 
 壁裏の金属を簡単検知！強力マグネットの振り子によってクロス壁等を傷つけません！ 
 軽くてコンパクト。持ち運びに便利です。 
 
 
 
　【商品詳細】 
サイズ 30×30×31.5mm 
重量 13g 
材質 ABS・PMMA樹脂、ネオジム磁石",シンワ　メタルキャッチャーミニ　78674：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　メタルキャッチャーミニ　78674,壁裏の金属の下地・釘を探す。シンワ　メタルキャッチャーミニ　78674[rn]
19-68128,http://tshop.r10s.jp/yminfo/cabinet/eigertool/4986449700168.jpg?fitin=700:700,776.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,アイガー革ポンチ　ブラック　19mm,切れ味が売りのアイガーレザーポンチです！,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】<BR>革、ビニール、紙、レザー、ゴム、薄板、椎茸用等きれいに穴あけが出来るポンチです。<BR>
ポンチを直立して、頭部をハンマーでたたいてください。<BR>
<BR>
【商品詳細】<BR>
穴サイズ：19mm<BR>
全長：100mm<BR>
重量：212g<BR>
材質：スチール</FONT></P>",アイガー革ポンチ　ブラック　19mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアイガー革ポンチ　ブラック　19mm,切れ味が売りのアイガーレザーポンチです！。アイガー革ポンチ　ブラック　19mm[rn]
19-68129,http://tshop.r10s.jp/yminfo/cabinet/eigertool/4986449700267.jpg?fitin=700:700,272.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,アイガー革ポンチ　ブラック　1.5mm,切れ味が売りのアイガーレザーポンチです！,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】<BR>革、ビニール、紙、レザー、ゴム、薄板、椎茸用等きれいに穴あけが出来るポンチです。<BR>
ポンチを直立して、頭部をハンマーでたたいてください。<BR>
<BR>
【商品詳細】<BR>
穴サイズ：1.5mm<BR>
全長：90mm<BR>
重量：16g<BR>
材質：スチール</FONT></P>",アイガー革ポンチ　ブラック　1.5mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアイガー革ポンチ　ブラック　1.5mm,切れ味が売りのアイガーレザーポンチです！。アイガー革ポンチ　ブラック　1.5mm[rn]
19-68130,http://tshop.r10s.jp/yminfo/cabinet/eigertool/4986449700052.jpg?fitin=700:700,328.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,アイガー革ポンチ　ブラック　8.0mm,切れ味が売りのアイガーレザーポンチです！,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】<BR>革、ビニール、紙、レザー、ゴム、薄板、椎茸用等きれいに穴あけが出来るポンチです。<BR>
ポンチを直立して、頭部をハンマーでたたいてください。<BR>
<BR>
【商品詳細】<BR>
穴サイズ：8mm<BR>
全長：100mm<BR>
重量：54g<BR>
材質：スチール</FONT></P>",アイガー革ポンチ　ブラック　8.0mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアイガー革ポンチ　ブラック　8.0mm,切れ味が売りのアイガーレザーポンチです！。アイガー革ポンチ　ブラック　8.0mm[rn]
19-68131,http://tshop.r10s.jp/yminfo/cabinet/eigertool/4986449700076.jpg?fitin=700:700,400.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,アイガー革ポンチ　ブラック　10mm,切れ味が売りのアイガーレザーポンチです！,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】<BR>革、ビニール、紙、レザー、ゴム、薄板、椎茸用等きれいに穴あけが出来るポンチです。<BR>
ポンチを直立して、頭部をハンマーでたたいてください。<BR>
<BR>
【商品詳細】<BR>
穴サイズ：10mm<BR>
全長：100mm<BR>
重量：76g<BR>
材質：スチール</FONT></P>",アイガー革ポンチ　ブラック　10mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアイガー革ポンチ　ブラック　10mm,切れ味が売りのアイガーレザーポンチです！。アイガー革ポンチ　ブラック　10mm[rn]
19-68132,http://tshop.r10s.jp/yminfo/cabinet/eigertool/4986449700137.jpg?fitin=700:700,672.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,アイガー革ポンチ　ブラック　16mm,切れ味が売りのアイガーレザーポンチです！,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】<BR>革、ビニール、紙、レザー、ゴム、薄板、椎茸用等きれいに穴あけが出来るポンチです。<BR>
ポンチを直立して、頭部をハンマーでたたいてください。<BR>
<BR>
【商品詳細】<BR>
穴サイズ：16mm<BR>
全長：100mm<BR>
重量：230g<BR>
材質：スチール</FONT></P>",アイガー革ポンチ　ブラック　16mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアイガー革ポンチ　ブラック　16mm,切れ味が売りのアイガーレザーポンチです！。アイガー革ポンチ　ブラック　16mm[rn]
19-68133,http://tshop.r10s.jp/yminfo/cabinet/eigertool/4986449700182.jpg?fitin=700:700,904.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,アイガー革ポンチ　ブラック　21mm,切れ味が売りのアイガーレザーポンチです！,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】<BR>革、ビニール、紙、レザー、ゴム、薄板、椎茸用等きれいに穴あけが出来るポンチです。<BR>
ポンチを直立して、頭部をハンマーでたたいてください。<BR>
<BR>
【商品詳細】<BR>
穴サイズ：21mm<BR>
全長：125mm<BR>
重量：246g<BR>
材質：スチール</FONT></P>",アイガー革ポンチ　ブラック　21mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアイガー革ポンチ　ブラック　21mm,切れ味が売りのアイガーレザーポンチです！。アイガー革ポンチ　ブラック　21mm[rn]
19-68134,http://tshop.r10s.jp/yminfo/cabinet/eigertool/4986449700090.jpg?fitin=700:700,432.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,アイガー革ポンチ　ブラック　12mm,切れ味が売りのアイガーレザーポンチです！,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】<BR>革、ビニール、紙、レザー、ゴム、薄板、椎茸用等きれいに穴あけが出来るポンチです。<BR>
ポンチを直立して、頭部をハンマーでたたいてください。<BR>
<BR>
【商品詳細】<BR>
穴サイズ：12mm<BR>
全長：100mm<BR>
重量：96g<BR>
材質：スチール</FONT></P>",アイガー革ポンチ　ブラック　12mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアイガー革ポンチ　ブラック　12mm,切れ味が売りのアイガーレザーポンチです！。アイガー革ポンチ　ブラック　12mm[rn]
19-68135,http://tshop.r10s.jp/yminfo/cabinet/eigertool/4986449700243.jpg?fitin=700:700,1240.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,アイガーアジャスタブルレザーポンチ　レッド　ERP-6,ヨーロッパスタイルのレザーポンチ登場,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】<BR>
ヨーロッパスタイルのレザーポンチ登場<BR>
レザー、ナイロン、紙等に6サイズの穴をあけられるレザーポンチ。切れ味がまったく違います！<BR>
<BR>
【商品詳細】<BR>
パンチ穴6サイズ<BR>
穴サイズ：2mm、2.5mm、3mm、3.5mm、4mm、4.5mm<BR>
全長：210mm×幅60mm<BR>
重量：232g<BR>
材質：スチール</FONT></P>",アイガーアジャスタブルレザーポンチ　レッド　ERP-6：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアイガーアジャスタブルレザーポンチ　レッド　ERP-6,ヨーロッパスタイルのレザーポンチ登場。アイガーアジャスタブルレザーポンチ　レッド　ERP-6[rn]
19-68136,http://tshop.r10s.jp/yminfo/cabinet/eigertool/4986449700083.jpg?fitin=700:700,416.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,アイガー革ポンチ　ブラック　11mm,切れ味が売りのアイガーレザーポンチです！,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】<BR>革、ビニール、紙、レザー、ゴム、薄板、椎茸用等きれいに穴あけが出来るポンチです。<BR>
ポンチを直立して、頭部をハンマーでたたいてください。<BR>
<BR>
【商品詳細】<BR>
穴サイズ：11mm<BR>
全長：100mm<BR>
重量：84g<BR>
材質：スチール</FONT></P>",アイガー革ポンチ　ブラック　11mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアイガー革ポンチ　ブラック　11mm,切れ味が売りのアイガーレザーポンチです！。アイガー革ポンチ　ブラック　11mm[rn]
19-68137,http://tshop.r10s.jp/yminfo/cabinet/eigertool/4986449700175.jpg?fitin=700:700,856.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,アイガー革ポンチ　ブラック　20mm,切れ味が売りのアイガーレザーポンチです！,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】<BR>革、ビニール、紙、レザー、ゴム、薄板、椎茸用等きれいに穴あけが出来るポンチです。<BR>
ポンチを直立して、頭部をハンマーでたたいてください。<BR>
<BR>
【商品詳細】<BR>
穴サイズ：20mm<BR>
全長：100mm<BR>
重量：228g<BR>
材質：スチール</FONT></P>",アイガー革ポンチ　ブラック　20mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアイガー革ポンチ　ブラック　20mm,切れ味が売りのアイガーレザーポンチです！。アイガー革ポンチ　ブラック　20mm[rn]
19-68138,http://tshop.r10s.jp/yminfo/cabinet/00713627/76417.jpg?fitin=700:700,540.8000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　ミニレベルRevo　直尺曲尺用　76417,ワンタッチで直尺・曲尺に取り付け！,"【ここがポイント！】 
 超軽量で持ち運び便利。暗いところでも見える青色蓄光。 
 ポケットに入れてＧＯ！ 
 
 
 
　【商品詳細】 
本体サイズ 71×19×26mm 
重量 17g 
感度 0.5mm/m=0.0286° 
精度 ±2.5mm/m=0.1432°以内 
材質 本体：ABS樹脂
気泡管：アクリル
液体：石油系液",シンワ　ミニレベルRevo　直尺曲尺用　76417：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　ミニレベルRevo　直尺曲尺用　76417,ワンタッチで直尺・曲尺に取り付け！。シンワ　ミニレベルRevo　直尺曲尺用　76417[rn]
19-68139,http://tshop.r10s.jp/yminfo/cabinet/00713627/77477.jpg?fitin=700:700,548.8000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　墨つぼ用　白液200ml　77477,墨付けに！,"【ここがポイント！】 
 建築土木用の墨付け液。 
 
　【商品詳細】 
容量 200ml",シンワ　墨つぼ用　白液200ml　77477：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　墨つぼ用　白液200ml　77477,墨付けに！。シンワ　墨つぼ用　白液200ml　77477[rn]
19-68140,http://tshop.r10s.jp/yminfo/cabinet/00713627/77467.jpg?fitin=700:700,102400.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　レーザー墨出し器　レーザーロボFine41　BRIGHT　77467縦・横・大矩・通り芯・地墨,作業に必要なすべての基準線に対応！,"【ここがポイント！】 
 高精度のハイクラスタイプ。縦・横・大矩・通り芯・地墨ポイントがわかります。 
 ライン切り替えが上部パネルでワンタッチ。高輝度レーザーで明るい現場でもラインがよく見えます。 
 IP54の防塵・防滴構造。回転微調整機構付。バックライト付き気泡管。水平三脚アダプター付き。片手でつかめるコンパクトタイプ 
 
 
 
　【商品詳細】 
光源 可視半導体レーザー 
出力 1mW以下（JISクラス2） 
波長 635nm（下部スポット650nm） 
指示精度 縦・横ライン：10mで±1",シンワ　レーザー墨出し器　レーザーロボFine41　BRIGHT　77467縦・横・大矩・通り芯・地墨：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　レーザー墨出し器　レーザーロボFine41　BRIGHT　77467縦・横・大矩・通り芯・地墨,作業に必要なすべての基準線に対応！。シンワ　レーザー墨出し器　レーザーロボFine41　BRIGHT　77467縦・横・大矩・通り芯・地墨[rn]
19-68141,http://tshop.r10s.jp/yminfo/cabinet/00713627/77471.jpg?fitin=700:700,2049.6000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　ハンディ墨つぼPro2　自動巻アザーブルー　77471,墨付けに！糸交換が楽！,"【ここがポイント！】 
 タンクがパカっと開き、糸交換ができるので糸通しが不要。 
 自動巻き取り式で作業がラクラク。ゴムパッキン使用の密閉型タンクで墨漏れを防ぎます。カルコはバネの力で針が収納されており安全に作業ができます。 
 ゼンマイチャージ式なので糸を最後まで引き出しても軸折れしません。 
 
 
 
　【商品詳細】 
サイズ 196×82×40mm 
重量 194g 
自動巻き長さ 10m 
糸 φ0.6mm×20m 
墨の入る量 約15ml 
材質 本体：ABS樹脂・ポリアセタール樹脂・シリ",シンワ　ハンディ墨つぼPro2　自動巻アザーブルー　77471：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　ハンディ墨つぼPro2　自動巻アザーブルー　77471,墨付けに！糸交換が楽！。シンワ　ハンディ墨つぼPro2　自動巻アザーブルー　77471[rn]
19-68142,http://tshop.r10s.jp/yminfo/cabinet/00713627/76390-76400.jpg?fitin=700:700,2520.8000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　ブルーレベルPRO　マグネット付き　600mm　76407,水平気泡管に蓄光樹脂使用！暗闇でも見える！マグネット付,"【ここがポイント！】 
 水平気泡管に蓄光樹脂を装着。クリアブルー溶液と極太ホワイトラインで視認性抜群。マグネット付なので鉄骨工事に便利。 
 全気泡管±1.0mm/mと高精度を実現 
 水平・垂直・45度はもちろんのこと、1/50・1/100勾配が測定できます。 
  
　【商品詳細】 
本体サイズ 600×65×27mm 
重量 510g 
感度 0.35mm/m=0.0201° 
精度 ±1.0mm/m=0.0573°以内 
材質 本体：アルミ・ABS樹脂
気泡管：アクリル
液体：石油系液",シンワ　ブルーレベルPRO　マグネット付き　600mm　76407：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　ブルーレベルPRO　マグネット付き　600mm　76407,水平気泡管に蓄光樹脂使用！暗闇でも見える！マグネット付。シンワ　ブルーレベルPRO　マグネット付き　600mm　76407[rn]
19-68143,http://tshop.r10s.jp/yminfo/cabinet/00713627/77983.jpg?fitin=700:700,838.4000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　下げ振り錘　スイピタ静止機構付　300g　77983,垂直・鉛直の確認に！,"【ここがポイント！】 
 柱・壁面・型枠などの垂直・鉛直が確認しやすい先端。当て傷防止ゴムカバー付き。 
 錘が従来の1/20のスピードでピタッと止まります 
 
 
 
　【商品詳細】 
サイズ φ33×148mm 
重量 300g 
材質 鉄・ステンレス・ゴム",シンワ　下げ振り錘　スイピタ静止機構付　300g　77983：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　下げ振り錘　スイピタ静止機構付　300g　77983,垂直・鉛直の確認に！。シンワ　下げ振り錘　スイピタ静止機構付　300g　77983[rn]
19-68144,http://tshop.r10s.jp/yminfo/cabinet/eigertool/4986449700205.jpg?fitin=700:700,1136.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,アイガー革ポンチ　ブラック　23mm,切れ味が売りのアイガーレザーポンチです！,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】<BR>革、ビニール、紙、レザー、ゴム、薄板、椎茸用等きれいに穴あけが出来るポンチです。<BR>
ポンチを直立して、頭部をハンマーでたたいてください。<BR>
<BR>
【商品詳細】<BR>
穴サイズ：23mm<BR>
全長：125mm<BR>
重量：262g<BR>
材質：スチール</FONT></P>",アイガー革ポンチ　ブラック　23mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアイガー革ポンチ　ブラック　23mm,切れ味が売りのアイガーレザーポンチです！。アイガー革ポンチ　ブラック　23mm[rn]
19-68145,http://tshop.r10s.jp/yminfo/cabinet/eigertool/4986449700045.jpg?fitin=700:700,328.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,アイガー革ポンチ　ブラック　7.0mm,切れ味が売りのアイガーレザーポンチです！,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】<BR>革、ビニール、紙、レザー、ゴム、薄板、椎茸用等きれいに穴あけが出来るポンチです。<BR>
ポンチを直立して、頭部をハンマーでたたいてください。<BR>
<BR>
【商品詳細】<BR>
穴サイズ：7mm<BR>
全長：100mm<BR>
重量：46g<BR>
材質：スチール</FONT></P>",アイガー革ポンチ　ブラック　7.0mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアイガー革ポンチ　ブラック　7.0mm,切れ味が売りのアイガーレザーポンチです！。アイガー革ポンチ　ブラック　7.0mm[rn]
