19-20101,http://tshop.r10s.jp/voice/cabinet/stamp/md-07.jpg?fitin=700:700,2303.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ツキネコ　メメント　デュードロップ ≪追加新色12色セット≫ TSUKINEKO　MEMENTO　Dew　Drop　(201302507602607706708709802805808902)（速乾性スタンプインク） 【KCC】,　,"スクラップブッキングに最適な
「メメント」の<br>コンパクトタイプに１２色仲間入りしました<br>
こちらの新色１２色をまとめてお届け<BR>
201：モロッコ<BR>
302：ラブレター<BR>
507：エルダーベリー<BR>
602：ティールジール<BR>
607：ノーティカルブルー<BR>
706：ピスタチオ<BR>
708：オリーブグローブ<BR>
709：ノーザンパイン<BR>
802：ピーナッツブリトル<BR>
805：タフィークランチ<BR>
808：エスプレッソトリュフ<BR>
902：グレイフランネル<BR>
<BR>



サイズ：約縦50×横33×高さ20mm<br>
盤面サイズ：約24×39ｍｍ<br>
『メメント（MEMENTO）』（インク）の特徴<br>
透明感のある美しい発色が特徴の速乾性ダイイインクです。<br>
◎得にアート紙、コート紙などの光沢紙で、細かい図柄まで美しく発色します。<br>
◎普通紙の場合、乾きが早く、年賀状やスケジュールスタンプなど簡単に乾かしたい場合におすすめです。<br>
◎スタンプ以外にも、DTPに便利。エッジの着色をはじめ細かい塗り分けも簡単です。<br>
◎従来のダイインクに比べ、発色がより美しく、耐水性に優れています。<br>",ツキネコ　メメント　デュードロップ ≪追加新色12色セット≫ TSUKINEKO　MEMENTO　Dew　Drop　(201302507602607706708709802805808902)（速乾性スタンプインク） 【KCC】：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ツキネコ　メメント　デュードロップ ≪追加新色12色セット≫ TSUKINEKO　MEMENTO　Dew　Drop　(201302507602607706708709802805808902)（速乾性スタンプインク） 【KCC】,　。ツキネコ　メメント　デュードロップ ≪追加新色12色セット≫ TSUKINEKO　MEMENTO　Dew　Drop　(201302507602607706708709802805808902)（速乾性スタンプインク） 【KCC】[rn]
19-20124,http://tshop.r10s.jp/voice/cabinet/stamp/vk-405.jpg?fitin=700:700,620.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ツキネコ　バーサクラフトL（布用スタンプインク）　＜グリーンシェイド＞グラデーション　スクラップブッキングにも　＜メール便指定ＯＫ＞,　,"布、木、紙、皮革などに捺印できる水性顔料スタンプインクのグラデーションカラー。
各色ごとに濃淡４色が組み合わせてあります。単色にはない色のグラデーションをお楽しみいただけます
本体サイズ：96×63×20ｍｍ
印面サイズ：76×47ｍｍ",ツキネコ　バーサクラフトL（布用スタンプインク）　＜グリーンシェイド＞グラデーション　スクラップブッキングにも　＜メール便指定ＯＫ＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ツキネコ　バーサクラフトL（布用スタンプインク）　＜グリーンシェイド＞グラデーション　スクラップブッキングにも　＜メール便指定ＯＫ＞,　。ツキネコ　バーサクラフトL（布用スタンプインク）　＜グリーンシェイド＞グラデーション　スクラップブッキングにも　＜メール便指定ＯＫ＞[rn]
19-20125,http://tshop.r10s.jp/voice/cabinet/stamp/vk-499.jpg?fitin=700:700,3732.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【送料無料】ツキネコ　グラデーション6個セット　　バーサクラフトL（布用スタンプインク）　スクラップブッキングにも♪　同梱大歓迎 【KCC】,　,"布、木、紙、皮革などに捺印できる水性顔料スタンプインク<br>
  のグラデーションカラー。
  <br>
  各色ごとに濃淡４色が組み合わせてあります。<br>
  単色にはない色のグラデーションをお楽しみいただけます。<br>
  <br>
  セット内容：イエローシェイド・ブルーシェイド<br>
  　　　　　　　 ピンクシェイドグリーンシェイド<br>
  　　　　　　　 パープルシェイド・ブラウンシェイド（各１個）<br>
  本体サイズ：96×63×20ｍｍ <br>
  盤面サイズ：76×47ｍｍ",【送料無料】ツキネコ　グラデーション6個セット　　バーサクラフトL（布用スタンプインク）　スクラップブッキングにも♪　同梱大歓迎 【KCC】：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【送料無料】ツキネコ　グラデーション6個セット　　バーサクラフトL（布用スタンプインク）　スクラップブッキングにも♪　同梱大歓迎 【KCC】,　。【送料無料】ツキネコ　グラデーション6個セット　　バーサクラフトL（布用スタンプインク）　スクラップブッキングにも♪　同梱大歓迎 【KCC】[rn]
19-20126,http://tshop.r10s.jp/voice/cabinet/stamp/vk-403.jpg?fitin=700:700,620.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ツキネコ　バーサクラフトL（布用スタンプインク）　＜パープルシェイド＞グラデーション　スクラップブッキングにも　＜メール便指定ＯＫ＞,　,"布、木、紙、皮革などに捺印できる水性顔料スタンプインクのグラデーションカラー。
各色ごとに濃淡４色が組み合わせてあります。単色にはない色のグラデーションをお楽しみいただけます
本体サイズ：96×63×20ｍｍ
印面サイズ：76×47ｍｍ",ツキネコ　バーサクラフトL（布用スタンプインク）　＜パープルシェイド＞グラデーション　スクラップブッキングにも　＜メール便指定ＯＫ＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ツキネコ　バーサクラフトL（布用スタンプインク）　＜パープルシェイド＞グラデーション　スクラップブッキングにも　＜メール便指定ＯＫ＞,　。ツキネコ　バーサクラフトL（布用スタンプインク）　＜パープルシェイド＞グラデーション　スクラップブッキングにも　＜メール便指定ＯＫ＞[rn]
19-20127,http://tshop.r10s.jp/hobbytoy/cabinet/tasya29/7020456.jpg?fitin=700:700,4800.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【ミシン 軽量】シンプル＆簡単操作♪ コンパクト電動ミシン FHSM-506-OR・GR・BL・RD・PK・橙・緑・青・赤・桃 【入園 入学 雑巾 名札 通園バッグ 巾着 手提げ袋 エプロン 裁縫 学校 縫い物 手作り シンプル】【D】【SIS】【送料無料】,税込5400円以上ご注文で送料無料♪,,【ミシン 軽量】シンプル＆簡単操作♪ コンパクト電動ミシン FHSM-506-OR・GR・BL・RD・PK・橙・緑・青・赤・桃 【入園 入学 雑巾 名札 通園バッグ 巾着 手提げ袋 エプロン 裁縫 学校 縫い物 手作り シンプル】【D】【SIS】【送料無料】：ホビーとおもちゃのほびたま,仮面ライダーホビーフィギュア戦隊プリキュアキャラクターバンダイタカラトミーエポック社ナノブロックレゴ　ブロックセガSEGALEGOおもちゃベビー　おもちゃ赤ちゃん　おもちゃセガトイズおもちゃ　ブロックカワダ　ブロック【ミシン 軽量】シンプル＆簡単操作♪ コンパクト電動ミシン FHSM-506-OR・GR・BL・RD・PK・橙・緑・青・赤・桃 【入園 入学 雑巾 名札 通園バッグ 巾着 手提げ袋 エプロン 裁縫 学校 縫い物 手作り シンプル】【D】【SIS】【送料無料】,税込5400円以上ご注文で送料無料♪。【ミシン 軽量】シンプル＆簡単操作♪ コンパクト電動ミシン FHSM-506-OR・GR・BL・RD・PK・橙・緑・青・赤・桃 【入園 入学 雑巾 名札 通園バッグ 巾着 手提げ袋 エプロン 裁縫 学校 縫い物 手作り シンプル】【D】【SIS】【送料無料】[rn]
19-20128,http://tshop.r10s.jp/enetanmin/cabinet/yana/530262.jpg?fitin=700:700,160.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,アイリスオーヤマ クラフト粘着テープKNT-5050,人気商品ポイント最大10倍！ ～4/18,燃えるゴミとして捨てられる♪<br>包装・梱包用クラフト粘着テープ！<br>宅配、小包、荷造りなどの軽梱包にオススメです。<br><br>●商品サイズ（約）：幅5×長さ5000cm（50m）<br>●材質<br>　テープ部：クラフト紙<br>　粘着剤：ゴム系粘着剤<br>　紙芯：紙<br><br>,アイリスオーヤマ クラフト粘着テープKNT-5050：寝具と安眠グッズ専門店 anmin,寝具ベッドマットレス羽毛布団布団セット枕西川掛け布団アイリスオーヤマ収納敷布団エアリー マットレスフランスベッドFab the home座椅子家具折りたたみベッドベビーふとんアウトラストラックアイリスオーヤマ クラフト粘着テープKNT-5050,人気商品ポイント最大10倍！ ～4/18。アイリスオーヤマ クラフト粘着テープKNT-5050[rn]
19-20129,http://tshop.r10s.jp/voice/cabinet/scrap_ku/sbtp208_10.jpg?fitin=700:700,688.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【在庫限り！】クレタケ　12インチテンプレート　タグ＆ビッグサークル（※宅配でのお届け）【IAH】,　,"12インチサイズのテンプレートです<br>
スクラップブッキングに大活躍！<br>
<br>
※ご注意※<br>
　テンプレートの形に紙や写真を切るときには<br>
　直接カッターをあてずに、<br>
　シャープペンシルで線をつけたあと、<br>
　ハサミなどで切ってください<br>
<br>
<font color=""red"">
メール便ではお届けできません</font>",【在庫限り！】クレタケ　12インチテンプレート　タグ＆ビッグサークル（※宅配でのお届け）【IAH】：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【在庫限り！】クレタケ　12インチテンプレート　タグ＆ビッグサークル（※宅配でのお届け）【IAH】,　。【在庫限り！】クレタケ　12インチテンプレート　タグ＆ビッグサークル（※宅配でのお届け）【IAH】[rn]
19-20130,http://tshop.r10s.jp/voice/cabinet/out/11012-014_01.jpg?fitin=700:700,518.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【sb】【sale】【アウトレット】ニューイヤースタンプN　＜ひつじの親子＞　ひつじのスタンプ　こどものかお　※メール便指定OK,　,"かわいらしい羊の親子のスタンプ。<br>
スクラップブッキングやメッセージカード、手作り雑貨にも♪<br>
<br>
※長期在庫品のため本体に汚れがある場合がございます。<br>
あらかじめご了承のうえご購入をお願いいたします。<br>
<br>
<br>
■本体サイズ　約60×53×20mm<br>
■実際押したときのスタンプサイズ　約43×46mm<br>",【sb】【sale】【アウトレット】ニューイヤースタンプN　＜ひつじの親子＞　ひつじのスタンプ　こどものかお　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【sb】【sale】【アウトレット】ニューイヤースタンプN　＜ひつじの親子＞　ひつじのスタンプ　こどものかお　※メール便指定OK,　。【sb】【sale】【アウトレット】ニューイヤースタンプN　＜ひつじの親子＞　ひつじのスタンプ　こどものかお　※メール便指定OK[rn]
19-20131,http://tshop.r10s.jp/voice/cabinet/bungu5/rm900pgr.jpg?fitin=700:700,276.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ダイモラベル　マシューズエンボッシングテープ　単色　グロッシーテープ9mm　パステルグリーン＜メール便指定OK＞,　,"ダイモにお使いいただけるカートリッジです。幅約9mm×3m<BR>
<br>
<br>

<img src=""http://image.rakuten.co.jp/voice/cabinet/icon/mail_160.jpg"" border=""0""> <br>
メール便の詳細はこちら
<br>
<br>",ダイモラベル　マシューズエンボッシングテープ　単色　グロッシーテープ9mm　パステルグリーン＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ダイモラベル　マシューズエンボッシングテープ　単色　グロッシーテープ9mm　パステルグリーン＜メール便指定OK＞,　。ダイモラベル　マシューズエンボッシングテープ　単色　グロッシーテープ9mm　パステルグリーン＜メール便指定OK＞[rn]
19-20132,http://tshop.r10s.jp/voice/cabinet/scrap6/sbap.jpg?fitin=700:700,80.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【sale】【sb】【アウトレット】クレタケアクリルペイント,　ミニボトルで使いやすい！,"紙だけでなく、金属や布などいろいろなものに<br>
塗ることのできるアクリルペイント<br>
ボトルの口が広いので、絵の具が出しやすく<br>
使いやすい！！<br>
※耐水性△<BR>紙や木にお使いいただくのがメインになります。<BR>
ボトルサイズ：高さ約50mm、直径30mm<br>
ボトルの口径：約23mm<br>
内容量：15ｇ入り<br>
日本製",【sale】【sb】【アウトレット】クレタケアクリルペイント：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【sale】【sb】【アウトレット】クレタケアクリルペイント,　ミニボトルで使いやすい！。【sale】【sb】【アウトレット】クレタケアクリルペイント[rn]
19-20133,http://tshop.r10s.jp/voice/cabinet/out/halloweenkit_01.jpg?fitin=700:700,1080.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【sale】【sb】【アウトレット】BOBUNNY　ハロウィンキット♪,　,"BOBUNNYブランドを中心としたハロウィンスクラップブキングキットです。<br>
年々人気になっている楽しいハロウィンイベントの写真を使って、<br>
かわいい作品をぜひ作ってみてください♪<br>
作り方の説明書が入っているので、<br>
分かりやすく簡単に作ることができます。<br>
<br>
パッケージサイズ ： 約320×310mm<br>
<br>
アウトレット品のため、パッケージに汚れ等がございます。<br>
また、若干パーツが不足している場合がございますが、<br>
なにとぞご了承ください。<br>",【sale】【sb】【アウトレット】BOBUNNY　ハロウィンキット♪：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【sale】【sb】【アウトレット】BOBUNNY　ハロウィンキット♪,　。【sale】【sb】【アウトレット】BOBUNNY　ハロウィンキット♪[rn]
19-20134,http://tshop.r10s.jp/voice/cabinet/588289-r1.jpg?fitin=700:700,844.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,呉竹　48本収納できる 　ZIGマーカーボックス　KU951,　,"水平保管が必要な水性顔料マーカーの専用ケースです。<br>
持ち手がついて持ち運びにも便利。<br>
サイズ：W177　H180　D77<br>
対応マーカー：<br>
  ■ZIGメモリーシステムカリグラフィー<br>
  ■ZIGメモリーシステムライター<br>
  ■ZIGメモリーシステムブラッシャブルズ<br>
  ■ZIGメモリーシステムスクロール＆ブラッシュ<br>
　■ZIGメモリーシステムジャーナル＆タイトル<br>
　■ZIGカリグラフィー２　ピグメントインク<br>",呉竹　48本収納できる 　ZIGマーカーボックス　KU951：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨呉竹　48本収納できる 　ZIGマーカーボックス　KU951,　。呉竹　48本収納できる 　ZIGマーカーボックス　KU951[rn]
19-20135,http://tshop.r10s.jp/voice/cabinet/572126-r1.jpg?fitin=700:700,154.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ZIG　メモリーシステム　ジャーナル＆タイトル スクラップブッキングに最適,　,"スクラップブッキングのタイトルとジャーナルがこれ１本で。　<br>
便利なマーカーです<br>
3.5のカリグラフィー芯だから、６インチサイズのタイトル書きに最適。
　<br>
　<br>
0.5mm芯 & 3.5mmカリグラフィー芯",ZIG　メモリーシステム　ジャーナル＆タイトル スクラップブッキングに最適：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ZIG　メモリーシステム　ジャーナル＆タイトル スクラップブッキングに最適,　。ZIG　メモリーシステム　ジャーナル＆タイトル スクラップブッキングに最適[rn]
19-20136,http://tshop.r10s.jp/voice/cabinet/p4902408200135_01.jpg?fitin=700:700,2508.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【送料無料】スクラップブッキングフレーム　12インチ用　＜ホワイト＞ C-400 PI Design,すてきな作品をお部屋に飾ったりプレゼントしたり　,"12インチ（約30cm）の作品が収納できる木製のフレームです。<br>
スクラップブッキングの作品収納にもぴったり！<br>
壁掛けや立てて置くことも可能です。<br>
カラーも2種類（ホワイト、木目）あるので、お部屋や作品に合わせて合わせてお選びいただけます。<br>
<br>
■本体サイズ（外枠）　365×365mm<br>
　　　　　　（内枠）　295×295mm<br>
■厚さ4mmまでの作品が収納できます。<br>
■12インチ用フレーム<br>
■素材　木<br>
■フレーム面　アクリル<br>",【送料無料】スクラップブッキングフレーム　12インチ用　＜ホワイト＞ C-400 PI Design：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【送料無料】スクラップブッキングフレーム　12インチ用　＜ホワイト＞ C-400 PI Design,すてきな作品をお部屋に飾ったりプレゼントしたり　。【送料無料】スクラップブッキングフレーム　12インチ用　＜ホワイト＞ C-400 PI Design[rn]
19-20137,http://tshop.r10s.jp/voice/cabinet/vgaku02.jpg?fitin=700:700,4268.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ボイスオリジナル　スクラップブッキング額　１２インチ用　マホガニー,　ここでしか買えない,"色工房voiceのスタッフと額の職人との
コラボレーションで生まれたオリジナルです。<br>
スクラップブッキングの12インチ作品が
ぴったり収まるサイズ<br>
手作りのため、在庫が表示されていない場合、納期は３週間程度です。（本縁仕様）
<br>
素材：木材／南洋材<br>
　　　アクリルガラス<br>
　　　裏板／ＭＤＦに化粧紙貼り<br>
壁かけ用のひも付き<br>
<br>
作品が直接アクリルガラスに触れないよう、<br>
約５ｍｍの厚みを持たせてありますので、<br>
立体的な作品にも対応可能です<br>
フレーム色は赤っぽい茶色です<br>",ボイスオリジナル　スクラップブッキング額　１２インチ用　マホガニー：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ボイスオリジナル　スクラップブッキング額　１２インチ用　マホガニー,　ここでしか買えない。ボイスオリジナル　スクラップブッキング額　１２インチ用　マホガニー[rn]
19-20138,http://tshop.r10s.jp/voice/cabinet/vgaku03.jpg?fitin=700:700,4268.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ボイスオリジナル　スクラップブッキング額　１２インチ用　ダーク,　ここでしか買えない！,"色工房voiceのスタッフと額の職人との<br>
コラボレーションで生まれたオリジナル額縁です。<br>
スクラップブッキングの12インチ作品が<br>
ぴったり収まるサイズです<br>
１つ１つ手作りのため、納期は３週間程度かかります。（本縁仕様）
<br>
素材：木材／南洋材（アルダー）<br>
　　　アクリルガラス<br>
　　　裏板／ＭＤＦに化粧紙貼り<br>
壁にかけることができるひも付き<br>
<br>
作品が直接アクリルガラスに触れないよう、<br>
約５ｍｍの厚みを持たせてありますので、<br>
立体的な作品にも対応可能です<br>
<br>",ボイスオリジナル　スクラップブッキング額　１２インチ用　ダーク：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ボイスオリジナル　スクラップブッキング額　１２インチ用　ダーク,　ここでしか買えない！。ボイスオリジナル　スクラップブッキング額　１２インチ用　ダーク[rn]
19-20139,http://tshop.r10s.jp/voice/cabinet/561219-r1.jpg?fitin=700:700,2206.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【１０枚パックでお買い得】スクラップブッキング作品ファイル　１２×１２インチ用,　,"１２インチサイズの作品を収納できるクリヤファイル１０枚パックです。<br>
立体ステッカーなどを使った厚みのある作品なら１枚、
<br>あまり厚みのない作品なら２枚程度入ります。<br>
ファイルの透明度が高いので、作品を収納してそのまま<br>
飾っておくこともできます。<br>
作品の持ち運びや、作品を仕上げるときに便利です。
<BR><font color=""orange"">
画像のようにリボンを通して飾ることもできます。<BR>
（リボンは付属しておりません）<BR></font>",【１０枚パックでお買い得】スクラップブッキング作品ファイル　１２&times;１２インチ用：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【１０枚パックでお買い得】スクラップブッキング作品ファイル　１２&times;１２インチ用,　。【１０枚パックでお買い得】スクラップブッキング作品ファイル　１２&times;１２インチ用[rn]
19-20140,http://tshop.r10s.jp/voice/cabinet/561219-r1.jpg?fitin=700:700,1240.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【５枚パックでお買い得】スクラップブッキング作品ファイル　１２×１２インチ用,　,"１２インチサイズの作品を収納できるクリヤファイル５枚パックです。<br>
立体ステッカーなどを使った厚みのある作品なら１枚、
<br>あまり厚みのない作品なら２枚程度入ります。<br>
ファイルの透明度が高いので、作品を収納してそのまま<br>
飾っておくこともできます。<br>
作品の持ち運びや、作品を仕上げるときに便利です。
<BR><font color=""orange"">
画像のようにリボンを通して飾ることもできます。<BR>
（リボンは付属しておりません）<BR></font><BR>
※お買い得な１０枚パックもあります。<BR>",【５枚パックでお買い得】スクラップブッキング作品ファイル　１２&times;１２インチ用：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【５枚パックでお買い得】スクラップブッキング作品ファイル　１２&times;１２インチ用,　。【５枚パックでお買い得】スクラップブッキング作品ファイル　１２&times;１２インチ用[rn]
19-20141,http://tshop.r10s.jp/voice/cabinet/p4902408200142_01.jpg?fitin=700:700,2508.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【送料無料】スクラップブッキングフレーム　12インチ用　＜木目＞ C-400 PI Design,すてきな作品をお部屋に飾ったりプレゼントしたり,"12インチ（約30cm）の作品が収納できる木製のフレームです。<br>
スクラップブッキングの作品収納にもぴったり！<br>
壁掛けや立てて置くことも可能です。<br>
カラーも2種類（ホワイト、木目）あるので、お部屋や作品に合わせて合わせてお選びいただけます。<br>
<br>
■本体サイズ（外枠）　365×365mm<br>
　　　　　　（内枠）　295×295mm<br>
■厚さ4mmまでの作品が収納できます。<br>
■12インチ用フレーム<br>
■素材　木<br>
■フレーム面　アクリル<br>",【送料無料】スクラップブッキングフレーム　12インチ用　＜木目＞ C-400 PI Design：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【送料無料】スクラップブッキングフレーム　12インチ用　＜木目＞ C-400 PI Design,すてきな作品をお部屋に飾ったりプレゼントしたり。【送料無料】スクラップブッキングフレーム　12インチ用　＜木目＞ C-400 PI Design[rn]
19-20142,http://tshop.r10s.jp/voice/cabinet/vgaku01.jpg?fitin=700:700,4268.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ボイスオリジナル　スクラップブッキング額　１２インチ用　ナチュラル,　ここでしか買えない！,"色工房voiceのスタッフと額の職人との<br>
コラボレーションで生まれたオリジナル額縁です。<br>
スクラップブッキングの12インチ作品が<br>
ぴったり収まるサイズです<br>
１つ１つ手作りのため、納期は３週間程度かかります。（本縁仕様）
<br>
素材：木材／南洋材（アルダー）<br>
　　　アクリルガラス<br>
　　　裏板／ＭＤＦに化粧紙貼り<br>
壁にかけることができるひも付き<br>
<br>
作品が直接アクリルガラスに触れないよう、<br>
約５ｍｍの厚みを持たせてありますので、<br>
立体的な作品にも対応可能です<br>
<br>",ボイスオリジナル　スクラップブッキング額　１２インチ用　ナチュラル：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ボイスオリジナル　スクラップブッキング額　１２インチ用　ナチュラル,　ここでしか買えない！。ボイスオリジナル　スクラップブッキング額　１２インチ用　ナチュラル[rn]
19-20143,http://tshop.r10s.jp/voice/cabinet/561219-r1.jpg?fitin=700:700,275.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,スクラップブッキング作品ファイル　１２×１２インチ用【IAZMI】,　,"１２インチサイズの作品を収納できるクリヤファイルです。<br>
立体ステッカーなどを使った厚みのある作品なら１枚、
<br>あまり厚みのない作品なら２枚程度入ります。<br>
※数量を５枚または１０枚でご購入いただいた場合は<br>
パック仕様でのお届けとなる場合がございます。

<BR><font color=""orange"">
画像のようにリボンを通して飾ることもできます。<BR>
（リボンは付属しておりません）<BR></font>",スクラップブッキング作品ファイル　１２&times;１２インチ用【IAZMI】：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨スクラップブッキング作品ファイル　１２&times;１２インチ用【IAZMI】,　。スクラップブッキング作品ファイル　１２&times;１２インチ用【IAZMI】[rn]
19-20144,http://tshop.r10s.jp/voice/cabinet/scrap_ku/sbfr8_2.jpg?fitin=700:700,2073.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,スクラップブッキング用　１２インチフレーム　アンティークホワイト,　,"12インチサイズ（縦横約30.5cm）の作品を<br>
収納できるフレームです。<br>
白いペンキが部分的にひび割れたような<br>
アンティークな雰囲気で、味があります。<br>
ウェルカムボードやウェディング作品などに<br>
特におすすめ！<br>
<br>
壁掛け用のひもが付いているので、<br>
壁に掛けて楽しむこともできます。<br>
スタンドは付属していませんが、<br>
台の上に直接たてかけたり、<br>
イーゼルの上に置くことも可能。<br>
<br>
内側に、深さ5mmの木枠がついていますので、<br>
その高さまではアクリル板で作品保護ができます。<br>
アクリル板は取り外し可能。<br>
厚さ5mm以上の立体作品にもご利用いただけます。<br>
<br>
新品の状態では、ポリ袋に入っていますので、<br>
最初はニスのようなにおいが気になるかもしれません。<br>
（お使いいただくうちに、薄れていきます。）<br>
<br>
内寸：305x305mm<BR>
フレーム外寸：335x335x21mm<br>",スクラップブッキング用　１２インチフレーム　アンティークホワイト：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨スクラップブッキング用　１２インチフレーム　アンティークホワイト,　。スクラップブッキング用　１２インチフレーム　アンティークホワイト[rn]
