10-24301,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003871912.jpg?fitin=700:700,1084.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　フィルター【A1309】(3597156) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒白光/白光　フィルター【A1309】(3597156) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　フィルター【A1309】(3597156) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ用品。『カード対応OK！』■〒白光/白光　フィルター【A1309】(3597156) 受注単位：1[rn]
10-24328,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003824734.jpg?fitin=700:700,682.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　マット連結ゲルＥＰＧ０２【EPG-02】(3713768) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●療用導電ゲルを用いた連結ゲルです。<br>●面倒なハトメ作業が不要です。<br>●簡単にアース接続や連結ができます。",『カード対応OK！』■〒ベッセル/ベッセル　マット連結ゲルＥＰＧ０２【EPG-02】(3713768) 受注単位：1：クローバー資材館,『カード対応OK！』■〒ベッセル/ベッセル　マット連結ゲルＥＰＧ０２【EPG-02】(3713768) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ。『カード対応OK！』■〒ベッセル/ベッセル　マット連結ゲルＥＰＧ０２【EPG-02】(3713768) 受注単位：1[rn]
10-24329,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005436173.jpg?fitin=700:700,691.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エクシールコーポレーション/精密デバイス搬送ケース“ゲルベース”【CB-F5】(4131291) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●特殊ウレタンゲルの自己粘着力で部品を保持します。<br>●表面をメッシュにすることで真空装置が無くてもデバイスをピックアップします。（フラットタイプはメッシュ無し）<br>●ゲル・ケース・トレイ共に導電性があります。<br>●ケース、トレイ共に積み重ねて搬送・保管できます。",『カード対応OK！』■〒エクシールコーポレーション/精密デバイス搬送ケース&ldquo;ゲルベース&rdquo;【CB-F5】(4131291) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エクシールコーポレーション/精密デバイス搬送ケース&ldquo;ゲルベース&rdquo;【CB-F5】(4131291) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具。『カード対応OK！』■〒エクシールコーポレーション/精密デバイス搬送ケース&ldquo;ゲルベース&rdquo;【CB-F5】(4131291) 受注単位：1[rn]
10-24330,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003807918.jpg?fitin=700:700,888.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　マット連結ゲルＥＰＧ０１【EPG-01】(3713750) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●療用導電ゲルを用いた連結ゲルです。<br>●面倒なハトメ作業が不要です。<br>●簡単にアース接続や連結ができます。",『カード対応OK！』■〒ベッセル/ベッセル　マット連結ゲルＥＰＧ０１【EPG-01】(3713750) 受注単位：1：クローバー資材館,『カード対応OK！』■〒ベッセル/ベッセル　マット連結ゲルＥＰＧ０１【EPG-01】(3713750) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ。『カード対応OK！』■〒ベッセル/ベッセル　マット連結ゲルＥＰＧ０１【EPG-01】(3713750) 受注単位：1[rn]
10-24331,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002844026.jpg?fitin=700:700,1328.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アトム興産/アトム　パーツキーパー２　大【PK25944】(3516814) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ウレタンゲルは導電性、ケースは非帯電ABSを使用しているため、収納品の静電破壊防止、ほこりの付着防止効果があります。",『カード対応OK！』■〒アトム興産/アトム　パーツキーパー２　大【PK25944】(3516814) 受注単位：1：クローバー資材館,『カード対応OK！』■〒アトム興産/アトム　パーツキーパー２　大【PK25944】(3516814) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具。『カード対応OK！』■〒アトム興産/アトム　パーツキーパー２　大【PK25944】(3516814) 受注単位：1[rn]
10-24332,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002847332.jpg?fitin=700:700,808.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒カスタム/カスタム　静電気除去リストバンド【AS-101-10】(2954541) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●マジックテープ式のリストストラップです。",『カード対応OK！』■〒カスタム/カスタム　静電気除去リストバンド【AS-101-10】(2954541) 受注単位：1：クローバー資材館,『カード対応OK！』■〒カスタム/カスタム　静電気除去リストバンド【AS-101-10】(2954541) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ。『カード対応OK！』■〒カスタム/カスタム　静電気除去リストバンド【AS-101-10】(2954541) 受注単位：1[rn]
10-24333,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004383413.jpg?fitin=700:700,4860.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アトム興産/アトム　ペタムーバ【PM-05B】(3851826) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●先端の粘着ゴムにより、微細な部品を移送する移送具です。<br>●ピンセットのように挟む必要がなく、捕獲板先端に触れるだけで微細部品を捕獲でき、所定の場所に移送後、スライドツマミを引くだけで解離できます。<br>●静電気による、電子部品の静電破壊や飛散現象防止のため、全て導電性の材質を使用しております。",『カード対応OK！』■〒アトム興産/アトム　ペタムーバ【PM-05B】(3851826) 受注単位：1：クローバー資材館,『カード対応OK！』■〒アトム興産/アトム　ペタムーバ【PM-05B】(3851826) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具。『カード対応OK！』■〒アトム興産/アトム　ペタムーバ【PM-05B】(3851826) 受注単位：1[rn]
10-24334,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811799.jpg?fitin=700:700,5470.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　静電作業マット【ZC-80】(2741725) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●静電気に弱い電子部品や電子機器のフィールドメンテナンスに最適です。<br>●CMOS型ICなど静電気に弱い電子部品を保護します。<br>●小さく折りたたんで携帯できます。",『カード対応OK！』■〒エンジニア/エンジニア　静電作業マット【ZC-80】(2741725) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エンジニア/エンジニア　静電作業マット【ZC-80】(2741725) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ。『カード対応OK！』■〒エンジニア/エンジニア　静電作業マット【ZC-80】(2741725) 受注単位：1[rn]
10-24335,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002824756.jpg?fitin=700:700,3726.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アトム興産/アトム　ペタペンペンボディダブル【PN-W】(2821478) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●両片軸2タイプの本体で、別売の3タイプのペンゴムを、用途により使い分けが可能です。<br>●本体、ペンゴム部で導電性を保持しています。",『カード対応OK！』■〒アトム興産/アトム　ペタペンペンボディダブル【PN-W】(2821478) 受注単位：1：クローバー資材館,『カード対応OK！』■〒アトム興産/アトム　ペタペンペンボディダブル【PN-W】(2821478) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具。『カード対応OK！』■〒アトム興産/アトム　ペタペンペンボディダブル【PN-W】(2821478) 受注単位：1[rn]
10-24336,,984.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）ブラストン/ブラストン【BSC-CS1403】(4718984)メタルリストストラップ バンド 受注単位1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●バンドにステンレスを採用し発じんを抑えたアースバンドです。<br>●クリーンルーム内での人体の静電除去に。<br>●質量(g):28<br>●品名：BSC-CS1403A25専用バンド<br>●ステンレスバンド1ＭΩ抵抗内蔵<br>●バンド部:ステンレス<br>",『カード対応OK！』■〒（株）ブラストン/ブラストン【BSC-CS1403】(4718984)メタルリストストラップ バンド 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）ブラストン/ブラストン【BSC-CS1403】(4718984)メタルリストストラップ バンド 受注単位1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ。『カード対応OK！』■〒（株）ブラストン/ブラストン【BSC-CS1403】(4718984)メタルリストストラップ バンド 受注単位1[rn]
10-24337,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002938863.jpg?fitin=700:700,5508.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アトム興産/アトム　ペンへら４８Ｗ【PE-48】(2821532) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●フラットパネルのフレームのすき間など、辺の部分のゴミ除去に最適なへら形です。<br>●先端はへら状軟質ゴム、握り部はベトつかない硬質で一体成型です。<br>●先端から握り部まで導電性があります。",『カード対応OK！』■〒アトム興産/アトム　ペンへら４８Ｗ【PE-48】(2821532) 受注単位：1：クローバー資材館,『カード対応OK！』■〒アトム興産/アトム　ペンへら４８Ｗ【PE-48】(2821532) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具。『カード対応OK！』■〒アトム興産/アトム　ペンへら４８Ｗ【PE-48】(2821532) 受注単位：1[rn]
10-24338,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811875.jpg?fitin=700:700,808.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒カスタム/カスタム　静電気除去リストバンド【AS-105-6】(2954630) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ゴムバンド式で腕の太い方でも長さ調整可能なリストストラップです。",『カード対応OK！』■〒カスタム/カスタム　静電気除去リストバンド【AS-105-6】(2954630) 受注単位：1：クローバー資材館,『カード対応OK！』■〒カスタム/カスタム　静電気除去リストバンド【AS-105-6】(2954630) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ。『カード対応OK！』■〒カスタム/カスタム　静電気除去リストバンド【AS-105-6】(2954630) 受注単位：1[rn]
10-24339,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002824757.jpg?fitin=700:700,3078.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アトム興産/アトム　ペタペンペンボディシングル【PN-S】(2821460) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●両片軸2タイプの本体で、別売の3タイプのペンゴムを、用途により使い分けが可能です。<br>●本体、ペンゴム部で導電性を保持しています。",『カード対応OK！』■〒アトム興産/アトム　ペタペンペンボディシングル【PN-S】(2821460) 受注単位：1：クローバー資材館,『カード対応OK！』■〒アトム興産/アトム　ペタペンペンボディシングル【PN-S】(2821460) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具。『カード対応OK！』■〒アトム興産/アトム　ペタペンペンボディシングル【PN-S】(2821460) 受注単位：1[rn]
10-24340,,492.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）ブラストン/ブラストン【BSC-CH1105】(4718941)メタルリストストラップ コード 受注単位1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●バンドにステンレスを採用し発じんを抑えたアースバンドです。<br>●BSC-CS1403、BSC-CS1401BT専用コードです。<br>●クリーンルーム内での人体の静電除去に。<br>●グランドコード長さ(m):2.5<br>●コード全長(cm):68<br>●コイル部長さ(cm):25<br>●質量(g):30<br>",『カード対応OK！』■〒（株）ブラストン/ブラストン【BSC-CH1105】(4718941)メタルリストストラップ コード 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）ブラストン/ブラストン【BSC-CH1105】(4718941)メタルリストストラップ コード 受注単位1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ。『カード対応OK！』■〒（株）ブラストン/ブラストン【BSC-CH1105】(4718941)メタルリストストラップ コード 受注単位1[rn]
10-24341,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005138807.jpg?fitin=700:700,359.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ＩＣケース【KP-51】(3688003) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●帯電防止プラスチックケースに高密度10mm厚の導電ウレタンフォームを敷いたコンパクトなICケースです。<br>●ウレタンフォーム表面抵抗値5×10[[の6乗]]Ω以下です。",『カード対応OK！』■〒エンジニア/エンジニア　ＩＣケース【KP-51】(3688003) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エンジニア/エンジニア　ＩＣケース【KP-51】(3688003) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具。『カード対応OK！』■〒エンジニア/エンジニア　ＩＣケース【KP-51】(3688003) 受注単位：1[rn]
10-24342,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002820615.jpg?fitin=700:700,1176.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒カスタム/カスタム　静電気除去フットストラップ【AS-202】(2954681) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●太い導電繊維が入っているので導電性に優れています。<br>●かかと部分は伸縮性の高いナイロンゴム仕様です。<br>●足首を任意調節できるマジックテープ付です。",『カード対応OK！』■〒カスタム/カスタム　静電気除去フットストラップ【AS-202】(2954681) 受注単位：1：クローバー資材館,『カード対応OK！』■〒カスタム/カスタム　静電気除去フットストラップ【AS-202】(2954681) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ。『カード対応OK！』■〒カスタム/カスタム　静電気除去フットストラップ【AS-202】(2954681) 受注単位：1[rn]
10-24343,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002863719.jpg?fitin=700:700,42120.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アトム興産/アトム　ペタロ－ラ－ＡＳ導電性【PR316C-AS】(2821389) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●作業者の導電手袋・アースバンドを通じて静電気を逃がします。<br>●粘着剤、シリカ成分を使用していません。<br>●制電対策されたクリーンルーム向け製品です。<br>●ゴムに付着したゴミは、洗浄再生可能な専用の転写シートで取り除きます。<br>●粘着ゴムのみの交換が可能です。<br>●摩擦帯電、はく離帯電を低減させました。",『カード対応OK！』■〒アトム興産/アトム　ペタロ&minus;ラ&minus;ＡＳ導電性【PR316C-AS】(2821389) 受注単位：1：クローバー資材館,『カード対応OK！』■〒アトム興産/アトム　ペタロ&minus;ラ&minus;ＡＳ導電性【PR316C-AS】(2821389) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具。『カード対応OK！』■〒アトム興産/アトム　ペタロ&minus;ラ&minus;ＡＳ導電性【PR316C-AS】(2821389) 受注単位：1[rn]
10-24344,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004396286.jpg?fitin=700:700,1470.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒カスタム/カスタム　静電除去機器【AS-107】(2954664) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●作業性が良いグランドコードのいらないコードレスタイプです。<br>●ゴムバンド式で長さ調節可能なリストストラップです。<br>●12μの導電繊維内蔵のため、人体に帯電した電気を放電します。<br>●スペアバンド付です。",『カード対応OK！』■〒カスタム/カスタム　静電除去機器【AS-107】(2954664) 受注単位：1：クローバー資材館,『カード対応OK！』■〒カスタム/カスタム　静電除去機器【AS-107】(2954664) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ。『カード対応OK！』■〒カスタム/カスタム　静電除去機器【AS-107】(2954664) 受注単位：1[rn]
10-24345,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004663139.jpg?fitin=700:700,22680.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アトム興産/アトム　ペタムーバ【PM-05】(3851818) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●先端の粘着ゴムにより、微細な部品を移送する移送具です。<br>●ピンセットのように挟む必要がなく、捕獲板先端に触れるだけで微細部品を捕獲でき、所定の場所に移送後、スライドツマミを引くだけで解離できます。<br>●静電気による、電子部品の静電破壊や飛散現象防止のため、全て導電性の材質を使用しております。",『カード対応OK！』■〒アトム興産/アトム　ペタムーバ【PM-05】(3851818) 受注単位：1：クローバー資材館,『カード対応OK！』■〒アトム興産/アトム　ペタムーバ【PM-05】(3851818) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具。『カード対応OK！』■〒アトム興産/アトム　ペタムーバ【PM-05】(3851818) 受注単位：1[rn]
10-24346,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002870125.jpg?fitin=700:700,1157.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　ハッコー４４２Ｂ　リストストラップ　１．５Ｍ【442B-01】(2427931) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●静電気除去用リストストラップ式人体アースです。電子部品の取り扱い作業者に最適です。<br>●ジャストフィット・長寿命です。",『カード対応OK！』■〒白光/白光　ハッコー４４２Ｂ　リストストラップ　１．５Ｍ【442B-01】(2427931) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　ハッコー４４２Ｂ　リストストラップ　１．５Ｍ【442B-01】(2427931) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ。『カード対応OK！』■〒白光/白光　ハッコー４４２Ｂ　リストストラップ　１．５Ｍ【442B-01】(2427931) 受注単位：1[rn]
10-24347,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004519156.jpg?fitin=700:700,572.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　静電気除去ワイパー【SDW】(1140558) 受注単位：1,(1140558),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●静電気除去シートをグローブ型に仕立てました。<br>●片手にはめて拭くだけで、静電気によるホコリを除去できます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　静電気除去ワイパー【SDW】(1140558) 受注単位：1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　静電気除去ワイパー【SDW】(1140558) 受注単位：1,(1140558)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　静電気除去ワイパー【SDW】(1140558) 受注単位：1[rn]
10-24348,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811873.jpg?fitin=700:700,735.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒カスタム/カスタム　静電気除去リストバンド【AS-101-6】(2954559) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●マジックテープ式のリストストラップです。",『カード対応OK！』■〒カスタム/カスタム　静電気除去リストバンド【AS-101-6】(2954559) 受注単位：1：クローバー資材館,『カード対応OK！』■〒カスタム/カスタム　静電気除去リストバンド【AS-101-6】(2954559) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ。『カード対応OK！』■〒カスタム/カスタム　静電気除去リストバンド【AS-101-6】(2954559) 受注単位：1[rn]
10-24349,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002863719.jpg?fitin=700:700,21870.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アトム興産/アトム　ペタロ－ラ－ＡＳ導電性【PR355-AS】(2821362) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●作業者の導電手袋・アースバンドを通じて静電気を逃がします。<br>●粘着剤、シリカ成分を使用していません。<br>●制電対策されたクリーンルーム向け製品です。<br>●ゴムに付着したゴミは、洗浄再生可能な専用の転写シートで取り除きます。<br>●粘着ゴムのみの交換が可能です。<br>●摩擦帯電、はく離帯電を低減させました。",『カード対応OK！』■〒アトム興産/アトム　ペタロ&minus;ラ&minus;ＡＳ導電性【PR355-AS】(2821362) 受注単位：1：クローバー資材館,『カード対応OK！』■〒アトム興産/アトム　ペタロ&minus;ラ&minus;ＡＳ導電性【PR355-AS】(2821362) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具。『カード対応OK！』■〒アトム興産/アトム　ペタロ&minus;ラ&minus;ＡＳ導電性【PR355-AS】(2821362) 受注単位：1[rn]
10-24350,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002820617.jpg?fitin=700:700,1359.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒カスタム/カスタム　静電気除去フットストラップ【AS-204】(2954702) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●プッシュフォックで取り付けできる抵抗外部型です。<br>●導電コードで確実にグランドを取ります。",『カード対応OK！』■〒カスタム/カスタム　静電気除去フットストラップ【AS-204】(2954702) 受注単位：1：クローバー資材館,『カード対応OK！』■〒カスタム/カスタム　静電気除去フットストラップ【AS-204】(2954702) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ。『カード対応OK！』■〒カスタム/カスタム　静電気除去フットストラップ【AS-204】(2954702) 受注単位：1[rn]
10-24351,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004662944.jpg?fitin=700:700,22680.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アトム興産/アトム　ペタムーバ【PM-02】(3851796) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●先端の粘着ゴムにより、微細な部品を移送する移送具です。<br>●ピンセットのように挟む必要がなく、捕獲板先端に触れるだけで微細部品を捕獲でき、所定の場所に移送後、スライドツマミを引くだけで解離できます。<br>●静電気による、電子部品の静電破壊や飛散現象防止のため、全て導電性の材質を使用しております。",『カード対応OK！』■〒アトム興産/アトム　ペタムーバ【PM-02】(3851796) 受注単位：1：クローバー資材館,『カード対応OK！』■〒アトム興産/アトム　ペタムーバ【PM-02】(3851796) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具。『カード対応OK！』■〒アトム興産/アトム　ペタムーバ【PM-02】(3851796) 受注単位：1[rn]
10-24352,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002820619.jpg?fitin=700:700,16019.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒カスタム/カスタム　テスタ（リストラップ用）【AS401】(3306992) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気測定器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●簡単な操作でリストストラップのチェックが行えます。<br>●壁に取り付けての利用や作業台などに置いて使用できます。<br>●LEDランプと音でストラップの状態が確認できます。",『カード対応OK！』■〒カスタム/カスタム　テスタ（リストラップ用）【AS401】(3306992) 受注単位：1：クローバー資材館,『カード対応OK！』■〒カスタム/カスタム　テスタ（リストラップ用）【AS401】(3306992) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気測定器。『カード対応OK！』■〒カスタム/カスタム　テスタ（リストラップ用）【AS401】(3306992) 受注単位：1[rn]
