10-20901,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002614845.jpg?fitin=700:700,13215.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1,工事用品\溶接用品\ガス溶断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●逆火を軽減するノバック構造を採用しています。<br>●（社）日本溶接協会認定品です。",『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1：クローバー資材館,『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1,工事用品\溶接用品\ガス溶断用品。『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1[rn]
10-20926,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003873366.jpg?fitin=700:700,3900.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　プラコンインポッキンブレーカ　１００Ｖ　抜止コンセント付　漏電遮断器付【PIPB-EB-N】(3604101) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ドラムやコード・工具につなぐだけで安心・安全な漏電しゃ断器付になります。<br>●コンセント付漏電しゃ断器です。（アース付）<br>●抜け止めコンセント付なので抜け落ちることがありません。",『カード対応OK！』■〒日動工業/日動　プラコンインポッキンブレーカ　１００Ｖ　抜止コンセント付　漏電遮断器付【PIPB-EB-N】(3604101) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　プラコンインポッキンブレーカ　１００Ｖ　抜止コンセント付　漏電遮断器付【PIPB-EB-N】(3604101) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒日動工業/日動　プラコンインポッキンブレーカ　１００Ｖ　抜止コンセント付　漏電遮断器付【PIPB-EB-N】(3604101) 受注単位1[rn]
10-20927,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005142765.jpg?fitin=700:700,1928.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐ接地付延長コード　５ｍ　イエロー【SX-053K-Y】(3704505) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●コンセント防じんキャップ付です。<br>●電源パイロットランプ付トリプルコンセント付です。<br>●接地付で安全です。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐ接地付延長コード　５ｍ　イエロー【SX-053K-Y】(3704505) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐ接地付延長コード　５ｍ　イエロー【SX-053K-Y】(3704505) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐ接地付延長コード　５ｍ　イエロー【SX-053K-Y】(3704505) 受注単位1[rn]
10-20928,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005112390.jpg?fitin=700:700,13219.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　単相１００Ｖ型コードリール　３．５スケア電線　３０ｍ【AP-331】(1062808) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●安全性と機能性を極めたハイグレードコードリールです。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　単相１００Ｖ型コードリール　３．５スケア電線　３０ｍ【AP-331】(1062808) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　単相１００Ｖ型コードリール　３．５スケア電線　３０ｍ【AP-331】(1062808) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　単相１００Ｖ型コードリール　３．５スケア電線　３０ｍ【AP-331】(1062808) 受注単位1[rn]
10-20929,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003805448.jpg?fitin=700:700,8164.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　ハンドリール　１００Ｖ　３芯×１０ｍ　緑　アース過負荷漏電しゃ断器付【HR-EK102-G】(1256874) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ドラムよりコンパクト、延長コードより便利です。<br>●延長コード感覚で持ち運びも楽々です。<br>●漏電保護専用（15mA感度）ブレーカー（ELB）付です。（EB）<br>●過負荷（15A）漏電保護（15mA感度）兼用ブレーカー（ELB）付です。（EK）<br>●ポッキンプラグ（2芯・3芯に対応できるプラグ）付です。",『カード対応OK！』■〒日動工業/日動　ハンドリール　１００Ｖ　３芯&times;１０ｍ　緑　アース過負荷漏電しゃ断器付【HR-EK102-G】(1256874) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　ハンドリール　１００Ｖ　３芯&times;１０ｍ　緑　アース過負荷漏電しゃ断器付【HR-EK102-G】(1256874) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒日動工業/日動　ハンドリール　１００Ｖ　３芯&times;１０ｍ　緑　アース過負荷漏電しゃ断器付【HR-EK102-G】(1256874) 受注単位1[rn]
10-20930,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003823569.jpg?fitin=700:700,271.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ベルトクリップ　２７０ｍｍ　（赤、黄、緑、青、黒×各１本）【CV-27】(3703002) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●大型・幅広ベルトクリップです。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ベルトクリップ　２７０ｍｍ　（赤、黄、緑、青、黒&times;各１本）【CV-27】(3703002) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ベルトクリップ　２７０ｍｍ　（赤、黄、緑、青、黒&times;各１本）【CV-27】(3703002) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ベルトクリップ　２７０ｍｍ　（赤、黄、緑、青、黒&times;各１本）【CV-27】(3703002) 受注単位1[rn]
10-20931,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010003804813.jpg?fitin=700:700,12088.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プロソフトケ－ブルコ－ドリ－ル　３０ｍ　漏電防止付き【BG-301KXT】(2289270) 受注単位1,(2289270),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ブレーキストッパー付です。防じんキャップ、ネームプレート付です。<br>●冬場でも巻きぐせのつきにくいソフトケーブルを採用しました。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プロソフトケ&minus;ブルコ&minus;ドリ&minus;ル　３０ｍ　漏電防止付き【BG-301KXT】(2289270) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プロソフトケ&minus;ブルコ&minus;ドリ&minus;ル　３０ｍ　漏電防止付き【BG-301KXT】(2289270) 受注単位1,(2289270)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プロソフトケ&minus;ブルコ&minus;ドリ&minus;ル　３０ｍ　漏電防止付き【BG-301KXT】(2289270) 受注単位1[rn]
10-20932,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003823578.jpg?fitin=700:700,13073.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーリール　単相１００Ｖアース付　５０ｍ【GT-501KX】(1062905) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ロングセラーリールのサンタイガーリールです。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーリール　単相１００Ｖアース付　５０ｍ【GT-501KX】(1062905) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーリール　単相１００Ｖアース付　５０ｍ【GT-501KX】(1062905) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーリール　単相１００Ｖアース付　５０ｍ【GT-501KX】(1062905) 受注単位1[rn]
10-20933,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833624.jpg?fitin=700:700,7484.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　電工ドラム　標準型１００Ｖドラム　アース付　３０ｍ【NP-E34】(1255614) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●2芯3芯どちらのコンセントでも使用できる「ポッキンプラグ」採用のロングセラー商品です。<br>●首ダレしない1本足フレームです。",『カード対応OK！』■〒日動工業/日動　電工ドラム　標準型１００Ｖドラム　アース付　３０ｍ【NP-E34】(1255614) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　電工ドラム　標準型１００Ｖドラム　アース付　３０ｍ【NP-E34】(1255614) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒日動工業/日動　電工ドラム　標準型１００Ｖドラム　アース付　３０ｍ【NP-E34】(1255614) 受注単位1[rn]
10-20934,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833623.jpg?fitin=700:700,5216.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　電工ドラム　標準型１００Ｖドラム　２芯　３０ｍ【NP-304D】(1255134) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●長さ、保護機能、電線種など多種多様のコードリールです。",『カード対応OK！』■〒日動工業/日動　電工ドラム　標準型１００Ｖドラム　２芯　３０ｍ【NP-304D】(1255134) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　電工ドラム　標準型１００Ｖドラム　２芯　３０ｍ【NP-304D】(1255134) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒日動工業/日動　電工ドラム　標準型１００Ｖドラム　２芯　３０ｍ【NP-304D】(1255134) 受注単位1[rn]
10-20935,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833636.jpg?fitin=700:700,4989.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　電工ドラム　スイッチリール　１００Ｖ　アース付　１０ｍ【SW-E13】(2098911) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ランプ内蔵スイッチ付でコードの抜き差しを解消します。",『カード対応OK！』■〒日動工業/日動　電工ドラム　スイッチリール　１００Ｖ　アース付　１０ｍ【SW-E13】(2098911) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　電工ドラム　スイッチリール　１００Ｖ　アース付　１０ｍ【SW-E13】(2098911) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒日動工業/日動　電工ドラム　スイッチリール　１００Ｖ　アース付　１０ｍ【SW-E13】(2098911) 受注単位1[rn]
10-20936,,3499.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ハタヤリミテッド/ハタヤ　リール【S-20】(3704289) ハタヤ　サンデーリール　単相１００Ｖ　１．２５ＳＱ　２０ｍ 発注単位1,工事用品\コードリール・延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br>●実用性と堅牢性のハイコストパフォーマンスのサンデーリールです。
<br>●電線仕様長さ(m):20
<br>●電線仕様太さ(mm[[の2乗]]):1.25
<br>●電線仕様芯数(C):2
<br>●定格電流(A):5
<br>●コンセント仕様定格:2P・15A・125V
<br>●コンセント仕様形状:[[二芯]]
<br>●コンセント仕様個数:4
<br>●温度センサー:-
<br>●通電ランプ:-
<br>●接地端子:-
<br>●2P・3P兼用プラグ:-
<br>●AC100V
<br>●電線種:VCT
<br>●コンセント防じんシャッター付
<br>●アースなし
<br>●ブレーカーなし<br>",■〒ハタヤリミテッド/ハタヤ　リール【S-20】(3704289) ハタヤ　サンデーリール　単相１００Ｖ　１．２５ＳＱ　２０ｍ 発注単位1：クローバー資材館,■〒ハタヤリミテッド/ハタヤ　リール【S-20】(3704289) ハタヤ　サンデーリール　単相１００Ｖ　１．２５ＳＱ　２０ｍ 発注単位1,工事用品\コードリール・延長コード。■〒ハタヤリミテッド/ハタヤ　リール【S-20】(3704289) ハタヤ　サンデーリール　単相１００Ｖ　１．２５ＳＱ　２０ｍ 発注単位1[rn]
10-20937,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833599.jpg?fitin=700:700,9299.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　特殊機能付電工ドラム　アースチェックリール　アース付　３０ｍ【GNF-E34】(2098792) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●アースチェックランプ付です。<br>●アース線の接地が確実か、コンセントに差し込むだけでプラグのランプを見て分かります。",『カード対応OK！』■〒日動工業/日動　特殊機能付電工ドラム　アースチェックリール　アース付　３０ｍ【GNF-E34】(2098792) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　特殊機能付電工ドラム　アースチェックリール　アース付　３０ｍ【GNF-E34】(2098792) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒日動工業/日動　特殊機能付電工ドラム　アースチェックリール　アース付　３０ｍ【GNF-E34】(2098792) 受注単位1[rn]
10-20938,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003823575.jpg?fitin=700:700,1166.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　防雨型２Ｐショートタップ　０．５ｍ　ブルー【FX-005-B】(3703193) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●手近な電源延長に最適です。<br>●屋外用です。<br>●コンセント防雨キャップ付です。<br>●電源パイロットランプ付トリプルコンセント付です。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　防雨型２Ｐショートタップ　０．５ｍ　ブルー【FX-005-B】(3703193) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　防雨型２Ｐショートタップ　０．５ｍ　ブルー【FX-005-B】(3703193) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　防雨型２Ｐショートタップ　０．５ｍ　ブルー【FX-005-B】(3703193) 受注単位1[rn]
10-20939,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003636456.jpg?fitin=700:700,5346.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンデーリール　単相１００Ｖ　３０ｍ【GS-30】(1062727) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●実用性と堅牢性のハイコストパフォーマンスのサンデーリールです。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンデーリール　単相１００Ｖ　３０ｍ【GS-30】(1062727) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンデーリール　単相１００Ｖ　３０ｍ【GS-30】(1062727) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンデーリール　単相１００Ｖ　３０ｍ【GS-30】(1062727) 受注単位1[rn]
10-20940,,22356.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒日平機器/日平 エアーホース【HEP-810C-BG】(8200290) 日平 コンセントリール 10ｍ 黒 発注単位1,工事用品\コードリール・延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ガードプレートの採用でコード出し入れ時の摩擦を低減します。<br>
●天井や壁に取り付けて便利にお使いいただけます。<br>
●容量オーバーの電気が流れ過熱した際、安全感熱サーモが働き、電気を遮断します。<br>
●一次側コンセントにアースピン付コンセントプラグを採用した安全優先設計です。<br>
●各種生産工場、自動車整備工場等の電源として優れた機動性を発揮します。<br>
●自動車整備工場。<br>
●各種修理工場。<br>
●各生産工場など。<br>
●電線仕様長さ(m):10<br>
●電線仕様太さ(mm[[の2乗]]):2.0<br>
●電線仕様芯数(C):3<br>
●本体寸法(mm):330×300×105<br>
●色：黒<br>
●入力側に折り曲げアースピン付コンセントプラグ採用<br>
●コード過熱防止用サーモスイッチ付（自動復帰機能付）<br>
●首振りハンガー機能付<br>
●AC125V<br>
●定格電流:8A<br>
●電線種:ST-VCT2<br>
●ボディー:プラスチック",■〒日平機器/日平 エアーホース【HEP-810C-BG】(8200290) 日平 コンセントリール 10ｍ 黒 発注単位1：クローバー資材館,■〒日平機器/日平 エアーホース【HEP-810C-BG】(8200290) 日平 コンセントリール 10ｍ 黒 発注単位1,工事用品\コードリール・延長コード。■〒日平機器/日平 エアーホース【HEP-810C-BG】(8200290) 日平 コンセントリール 10ｍ 黒 発注単位1[rn]
10-20941,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005088152.jpg?fitin=700:700,8748.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーリール　単相１００Ｖアース付　３０ｍ【GT-301KX】(1062891) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ロングセラーリールのサンタイガーリールです。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーリール　単相１００Ｖアース付　３０ｍ【GT-301KX】(1062891) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーリール　単相１００Ｖアース付　３０ｍ【GT-301KX】(1062891) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーリール　単相１００Ｖアース付　３０ｍ【GT-301KX】(1062891) 受注単位1[rn]
10-20942,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003823569.jpg?fitin=700:700,292.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ベルトクリップ　３４０ｍｍ　（赤、黄、緑、青、黒×各１本）【CV-34】(3703011) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●大型・幅広ベルトクリップです。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ベルトクリップ　３４０ｍｍ　（赤、黄、緑、青、黒&times;各１本）【CV-34】(3703011) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ベルトクリップ　３４０ｍｍ　（赤、黄、緑、青、黒&times;各１本）【CV-34】(3703011) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ベルトクリップ　３４０ｍｍ　（赤、黄、緑、青、黒&times;各１本）【CV-34】(3703011) 受注単位1[rn]
10-20943,,35516.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒吉野【YS-12SC-KG-DG】(7684860) クグレール　遮光用衝立のれん型１×２　キャスター付ダークグリーン 受注単位1,工事用品\溶接用品\溶接遮光フェンス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●アルミニウム衝立シリーズ初ののれん型で、フレームと遮光シートのセット品です。<br>●溶接で発生する目に有害な光線の遮光と、人や物の通行を両立させることができます。<br>●のれん型シートを２重に取り付けることで、目に有害な光線がスリットの隙間から漏れるのを防ぎます。<br>●溶接ブースの出入り口や、自動溶接機の操作のための窓などに最適です。<br>●フレームの足元の部材を減らしたことで、台車を押しての通り抜けも可能になりました。<br><br>●溶接の遮光と、人や物の通行との両立に。<br>●遮光ブース内の溶接機のオペレート等。<br><br>●色：ダークグリーン<br>●シート枚数（枚）後列＋前列：4＋3<br>●枠内寸法幅×高さ（mm）：1000×2071<br><br>●(財)日本防炎協会 防炎性能試験番号取得済（AT860027）<br>●シート厚み：0.35mm<br>●フレーム径：28mm<br>●キャスター径：50mm<br><br>●シート：塩化ビニール<br>",『カード対応OK！』##■〒吉野【YS-12SC-KG-DG】(7684860) クグレール　遮光用衝立のれん型１&times;２　キャスター付ダークグリーン 受注単位1：クローバー資材館,『カード対応OK！』##■〒吉野【YS-12SC-KG-DG】(7684860) クグレール　遮光用衝立のれん型１&times;２　キャスター付ダークグリーン 受注単位1,工事用品\溶接用品\溶接遮光フェンス。『カード対応OK！』##■〒吉野【YS-12SC-KG-DG】(7684860) クグレール　遮光用衝立のれん型１&times;２　キャスター付ダークグリーン 受注単位1[rn]
10-20944,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004358469.jpg?fitin=700:700,4808.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スタイル・インデックス/プリンス　ガストーチ５０００【GT-5000】(1184717) 受注単位1,工事用品\溶接用品\ガスバーナー・トーチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●扱いやすい軽量小形設計で、持ち運びにも便利です。<br>●使用目的に合わせ、ニードルつまみで炎の微調整OKです。<br>●縦、横、逆さ、どんな角度でも安定した炎です。",『カード対応OK！』■〒スタイル・インデックス/プリンス　ガストーチ５０００【GT-5000】(1184717) 受注単位1：クローバー資材館,『カード対応OK！』■〒スタイル・インデックス/プリンス　ガストーチ５０００【GT-5000】(1184717) 受注単位1,工事用品\溶接用品\ガスバーナー・トーチ。『カード対応OK！』■〒スタイル・インデックス/プリンス　ガストーチ５０００【GT-5000】(1184717) 受注単位1[rn]
10-20945,,4428.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒スタイル/プリンス バーナー【FT-J】(7838697) プリンス フレキシブルトーチ ジュニア 発注単位1,工事用品\溶接用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●曲げ角度90度・全方向自由自在の火口を搭載（フレキ部105mm)しています。<br>
●狭い場所や入り組んだ場所でも使用できます。<br>
●逆火防止機構により内部燃焼を防ぎ、フレキパイプが保護されています。<br>
●管材のはんだ・ロウ付け、塩ビ管加工に。<br>
●炎温度(℃):800～2100<br>
●発熱量(kcal/h):3174<br>
●燃焼時間(分/缶):100<br>
●電子着火式<br>
●ボディ:亜鉛ダイカスト<br>
●火口:ステンレス<br>
●この商品にはボンベが付属されていません。<br>
●高圧の可燃性液体ガスが入っています。<br>
●温度が40度以上となるファンヒーター・ストーブなどの付近や直射日光のあたるところ（窓際・車中）に置かないで下さい。破裂の危険があります。",■〒スタイル/プリンス バーナー【FT-J】(7838697) プリンス フレキシブルトーチ ジュニア 発注単位1：クローバー資材館,■〒スタイル/プリンス バーナー【FT-J】(7838697) プリンス フレキシブルトーチ ジュニア 発注単位1,工事用品\溶接用品。■〒スタイル/プリンス バーナー【FT-J】(7838697) プリンス フレキシブルトーチ ジュニア 発注単位1[rn]
10-20946,,704.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-9S1.5】(4892135)玉掛けワイヤーロープ 段落し ９ｍｍＸ１．５ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●通常の巻差し加工に加え、加工時にフレミッシュ加工（頭割り）を施しており、より安全に玉掛け作業が行えます。<br>●1本ずつビニール個装となっているため受け渡しが楽で汚れません。<br>●生産物賠償責任保険（PL）付です。<br>●「労働安全衛生規則第475条及びクレーン等安全規則第219条」に規定された方法に則り加工している商品です。<br>●全長(m):1.5<br>●安全使用荷重2本垂直吊り(t):1.35<br>●スリング径(mm):9<br>●タイプ:両アイ<br>●質量(kg):0.56<br>●JIS規格(JIS G 3525)<br>●ロープ:炭素鋼<br>●芯:麻芯<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-9S1.5】(4892135)玉掛けワイヤーロープ 段落し ９ｍｍＸ１．５ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-9S1.5】(4892135)玉掛けワイヤーロープ 段落し ９ｍｍＸ１．５ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-9S1.5】(4892135)玉掛けワイヤーロープ 段落し ９ｍｍＸ１．５ｍ 受注単位1[rn]
