10-22601,,114.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●被覆線ですのでサビず、相手側にキズをつけません。<br><br>●一般商品の収納の吊具として。物の吊り下げ、引っ掛けとして<br><br>●使用荷重(kN)：0.11<br>●S(mm)：38<br>●L(mm)：150<br>●D(mm)：5.0<br>●A(mm)：15<br>●質量(g)：22<br>●色：黒<br><br>●150mm<br>●黒<br><br>●塩ビ被覆線<br>",『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1：クローバー資材館,『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1[rn]
10-22632,,4369.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【FS-50V】(7596332) ステンレス製重量戸車　車径Φ５０ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●軸がナット仕様のため、車だけの交換が可能です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量扉用の下車。<br>●アングル、フラットバー用。<br>●重量扉用の下車。<br><br>●許容荷重(kgf)：50<br>●車輪径(mm)：50<br>●車輪幅(mm)：18<br>●取付高H(mm)：60<br>●取付穴径P(mm)：11×15<br>●取付座A×B(mm)：125×30<br>●取付ピッチX(mm)：90<br><br>●許容荷重は走行試験の結果に基づいた数値です。<br><br>●枠：ステンレス（SUS304）<br>●車輪：ステンレス（SUS303）<br>",『カード対応OK！』■〒ダイケン【FS-50V】(7596332) ステンレス製重量戸車　車径Φ５０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【FS-50V】(7596332) ステンレス製重量戸車　車径Φ５０ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【FS-50V】(7596332) ステンレス製重量戸車　車径Φ５０ 受注単位1[rn]
10-22633,,4968.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【FS-60V】(7596341) ステンレス製重量戸車　車径Φ６０ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●軸がナット仕様のため、車だけの交換が可能です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量扉用の下車。<br>●アングル、フラットバー用。<br>●重量扉用の下車。<br><br>●許容荷重(kgf)：75<br>●車輪径(mm)：60<br>●車輪幅(mm)：20<br>●取付高H(mm)：65<br>●取付穴径P(mm)：11×15<br>●取付座A×B(mm)：125×30<br>●取付ピッチX(mm)：90<br><br>●許容荷重は走行試験の結果に基づいた数値です。<br><br>●枠：ステンレス（SUS304）<br>●車輪：ステンレス（SUS303）<br>",『カード対応OK！』■〒ダイケン【FS-60V】(7596341) ステンレス製重量戸車　車径Φ６０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【FS-60V】(7596341) ステンレス製重量戸車　車径Φ６０ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【FS-60V】(7596341) ステンレス製重量戸車　車径Φ６０ 受注単位1[rn]
10-22634,,141.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒光【AP995-7】(7538316) アルミ丸パイプ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●軽量・加工性に優れ、リサイクルしやすい素材です。<br>●軽量・加工性に優れ、リサイクルしやすい素材です。<br><br>●建設資材・一般板金、一般機械部品など。<br>●建設資材・一般板金、一般機械部品など<br><br>●全長(mm)：995<br>●縦×横×厚み(外径)(mm)：7×7×0.5<br><br><br>●アルミ<br>",『カード対応OK！』■〒光【AP995-7】(7538316) アルミ丸パイプ 受注単位1：クローバー資材館,『カード対応OK！』■〒光【AP995-7】(7538316) アルミ丸パイプ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。『カード対応OK！』■〒光【AP995-7】(7538316) アルミ丸パイプ 受注単位1[rn]
10-22635,,719.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###■〒光【PTH1132】(7517726) 簡易内窓フレームレール　補強材　ＰＴＨ１１３２ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br><br>●内窓フレームの補強材に。（内窓フレームの窓サイズが縦寸法で１８００ｍｍを超える場合）<br><br>●幅(mm)：14.3<br>●色：シルバー<br>●高さ(mm)：27.5<br>●奥行(mm)：2100<br>●質量(kg)：0.3<br>●色：シルバー<br><br><br>●アルミ<br>●シルバー<br>",『カード対応OK！』###■〒光【PTH1132】(7517726) 簡易内窓フレームレール　補強材　ＰＴＨ１１３２ 受注単位1：クローバー資材館,『カード対応OK！』###■〒光【PTH1132】(7517726) 簡易内窓フレームレール　補強材　ＰＴＨ１１３２ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。『カード対応OK！』###■〒光【PTH1132】(7517726) 簡易内窓フレームレール　補強材　ＰＴＨ１１３２ 受注単位1[rn]
10-22636,,205.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒光【AP995-9】(7538332) アルミ丸パイプ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●軽量・加工性に優れ、リサイクルしやすい素材です。<br>●軽量・加工性に優れ、リサイクルしやすい素材です。<br><br>●建設資材・一般板金、一般機械部品など。<br>●建設資材・一般板金、一般機械部品など<br><br>●全長(mm)：995<br>●縦×横×厚み(外径)(mm)：9×9×0.5<br><br><br>●アルミ<br>",『カード対応OK！』■〒光【AP995-9】(7538332) アルミ丸パイプ 受注単位1：クローバー資材館,『カード対応OK！』■〒光【AP995-9】(7538332) アルミ丸パイプ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。『カード対応OK！』■〒光【AP995-9】(7538332) アルミ丸パイプ 受注単位1[rn]
10-22637,,167.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒光【CP995-2】(7538359) 銅丸パイプ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●電気伝導性・熱伝導性・耐食性・加工性に優れています。<br>●電気伝導性・熱伝導性・耐食性・加工性に優れています。<br><br>●補修・工作に。<br>●補修・工作に。<br><br>●全長(mm)：995<br>●縦×横×厚み(外径)(mm)：2×2×0.5<br><br><br>●銅<br>",『カード対応OK！』■〒光【CP995-2】(7538359) 銅丸パイプ 受注単位1：クローバー資材館,『カード対応OK！』■〒光【CP995-2】(7538359) 銅丸パイプ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。『カード対応OK！』■〒光【CP995-2】(7538359) 銅丸パイプ 受注単位1[rn]
10-22638,,1140.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アルインコ【CX460S-N】(7545461) アルミエキスパンド０．８Ｘ１０Ｘ５　４５０Ｘ６００  受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●軽量・簡単加工・ニッパーでカットできます。<br>●軽量・喚起・採光・見通しが良く幅広い用途に使用可。<br><br>●フェンス、排水溝のフィルターなど。<br>●自作パソコン吸気フィルター押さえ、排気口などのファン巻き込み防止。<br>●自動車・農機具などの機械各部のカバーなどに。<br>●自動車、農機具等の機械各部のカバーなど。<br>●溝の落ち葉止めなどにも使用<br><br>●厚み(mm)：0.8<br>●幅(mm)：450<br>●長さ(mm)：600<br>●目（mm）：10×5<br><br>●アルミ製で軽く加工性に優れている<br><br>●アルミ<br>",■〒アルインコ【CX460S-N】(7545461) アルミエキスパンド０．８Ｘ１０Ｘ５　４５０Ｘ６００  受注単位1：クローバー資材館,■〒アルインコ【CX460S-N】(7545461) アルミエキスパンド０．８Ｘ１０Ｘ５　４５０Ｘ６００  受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。■〒アルインコ【CX460S-N】(7545461) アルミエキスパンド０．８Ｘ１０Ｘ５　４５０Ｘ６００  受注単位1[rn]
10-22639,,276.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒光【CP995-6】(7538391) 銅丸パイプ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●電気伝導性・熱伝導性・耐食性・加工性に優れています。<br>●電気伝導性・熱伝導性・耐食性・加工性に優れています。<br><br>●補修・工作に。<br>●補修・工作に。<br><br>●全長(mm)：995<br>●縦×横×厚み(外径)(mm)：6×6×0.5<br><br><br>●銅<br>",『カード対応OK！』■〒光【CP995-6】(7538391) 銅丸パイプ 受注単位1：クローバー資材館,『カード対応OK！』■〒光【CP995-6】(7538391) 銅丸パイプ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。『カード対応OK！』■〒光【CP995-6】(7538391) 銅丸パイプ 受注単位1[rn]
10-22640,,795.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アルインコ【CX345-N】(7545436) アルミエキスパンド１．２Ｘ２５Ｘ１４　３００Ｘ４５０  受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●軽量・簡単加工・ニッパーでカットできます。<br>●軽量・喚起・採光・見通しが良く幅広い用途に使用可。<br><br>●フェンス、排水溝のフィルターなど。<br>●自作パソコン吸気フィルター押さえ、排気口などのファン巻き込み防止。<br>●自動車・農機具などの機械各部のカバーなどに。<br>●自動車、農機具等の機械各部のカバーなど。<br>●溝の落ち葉止めなどにも使用<br><br>●厚み(mm)：1.2<br>●幅(mm)：300<br>●長さ(mm)：450<br>●目（mm）：25×14<br><br>●アルミ製で軽く加工性に優れている<br><br>●アルミ<br>",■〒アルインコ【CX345-N】(7545436) アルミエキスパンド１．２Ｘ２５Ｘ１４　３００Ｘ４５０  受注単位1：クローバー資材館,■〒アルインコ【CX345-N】(7545436) アルミエキスパンド１．２Ｘ２５Ｘ１４　３００Ｘ４５０  受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。■〒アルインコ【CX345-N】(7545436) アルミエキスパンド１．２Ｘ２５Ｘ１４　３００Ｘ４５０  受注単位1[rn]
10-22641,,497.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アルインコ【CX230S-N】(7545428) アルミエキスパンド０．８Ｘ１０Ｘ５　２００Ｘ３００  受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●軽量・簡単加工・ニッパーでカットできます。<br>●軽量・喚起・採光・見通しが良く幅広い用途に使用可。<br><br>●フェンス、排水溝のフィルターなど。<br>●自作パソコン吸気フィルター押さえ、排気口などのファン巻き込み防止。<br>●自動車・農機具などの機械各部のカバーなどに。<br>●自動車、農機具等の機械各部のカバーなど。<br>●溝の落ち葉止めなどにも使用<br><br>●厚み(mm)：0.8<br>●幅(mm)：200<br>●長さ(mm)：300<br>●目（mm）：10×5<br><br>●アルミ製で軽く加工性に優れている<br><br>●アルミ<br>",■〒アルインコ【CX230S-N】(7545428) アルミエキスパンド０．８Ｘ１０Ｘ５　２００Ｘ３００  受注単位1：クローバー資材館,■〒アルインコ【CX230S-N】(7545428) アルミエキスパンド０．８Ｘ１０Ｘ５　２００Ｘ３００  受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。■〒アルインコ【CX230S-N】(7545428) アルミエキスパンド０．８Ｘ１０Ｘ５　２００Ｘ３００  受注単位1[rn]
10-22642,,165.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒光【KTP-916K】(3893154) ジョイント用ポリカジョイナー　コ型 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐久性に優れ大変丈夫です。ポリカ中空ボードのフレームを保護します。<br><br>●ポリカ中空ボードのジョイント及び押さえに。<br><br>●幅(mm)：24<br>●奥行(mm)：910<br>●高さ(mm)：8<br>●形状：コ型<br>●質量(g)：45<br><br><br>●ポリカーボネート<br>",『カード対応OK！』■〒光【KTP-916K】(3893154) ジョイント用ポリカジョイナー　コ型 受注単位1：クローバー資材館,『カード対応OK！』■〒光【KTP-916K】(3893154) ジョイント用ポリカジョイナー　コ型 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。『カード対応OK！』■〒光【KTP-916K】(3893154) ジョイント用ポリカジョイナー　コ型 受注単位1[rn]
10-22643,,2505.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###■〒光【KTP2191W-2】(7517696) ポリカ中空ボードスモーク４ｍｍ　ＫＴＰ２１９１Ｗ－２ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●ポリカーボネート樹脂製だから耐久性に優れ、大変丈夫です。<br>●燃えにくく、安全で、過酷な温度環境にも耐えられます。<br>●耐候性に優れ、透明感が長期間保てます。<br>●空気層を持つ中空構造だから断熱、保温性に優れています。<br>●軽くて、施工が容易です。<br><br>●トップライト（屋根採光）、玄関フード（囲い）、屋根（雨よけ）、パーテーション、照明カバーに。<br><br>●色：スモーク<br>●幅(mm)：910<br>●長さ(mm)：2100<br>●厚み(mm)：4<br><br>●熱変形温度：120℃<br>●全光線透過率：79～80%<br>●使用温度範囲：-20℃～110℃<br>●UV加工<br><br>●ポリカーボネート<br>",『カード対応OK！』###■〒光【KTP2191W-2】(7517696) ポリカ中空ボードスモーク４ｍｍ　ＫＴＰ２１９１Ｗ&minus;２ 受注単位1：クローバー資材館,『カード対応OK！』###■〒光【KTP2191W-2】(7517696) ポリカ中空ボードスモーク４ｍｍ　ＫＴＰ２１９１Ｗ&minus;２ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。『カード対応OK！』###■〒光【KTP2191W-2】(7517696) ポリカ中空ボードスモーク４ｍｍ　ＫＴＰ２１９１Ｗ&minus;２ 受注単位1[rn]
10-22644,,237.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒光【AP995-10】(7538260) アルミ丸パイプ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●軽量・加工性に優れ、リサイクルしやすい素材です。<br>●軽量・加工性に優れ、リサイクルしやすい素材です。<br><br>●建設資材・一般板金、一般機械部品など。<br>●建設資材・一般板金、一般機械部品など<br><br>●全長(mm)：995<br>●縦×横×厚み(外径)(mm)：10×10×0.5<br><br><br>●アルミ<br>",『カード対応OK！』■〒光【AP995-10】(7538260) アルミ丸パイプ 受注単位1：クローバー資材館,『カード対応OK！』■〒光【AP995-10】(7538260) アルミ丸パイプ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。『カード対応OK！』■〒光【AP995-10】(7538260) アルミ丸パイプ 受注単位1[rn]
10-22645,,205.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒光【CP995-4】(7538375) 銅丸パイプ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●電気伝導性・熱伝導性・耐食性・加工性に優れています。<br>●電気伝導性・熱伝導性・耐食性・加工性に優れています。<br><br>●補修・工作に。<br>●補修・工作に。<br><br>●全長(mm)：995<br>●縦×横×厚み(外径)(mm)：4×4×0.5<br><br><br>●銅<br>",『カード対応OK！』■〒光【CP995-4】(7538375) 銅丸パイプ 受注単位1：クローバー資材館,『カード対応OK！』■〒光【CP995-4】(7538375) 銅丸パイプ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。『カード対応OK！』■〒光【CP995-4】(7538375) 銅丸パイプ 受注単位1[rn]
10-22646,,173.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒光【CP995-3】(7538367) 銅丸パイプ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●電気伝導性・熱伝導性・耐食性・加工性に優れています。<br>●電気伝導性・熱伝導性・耐食性・加工性に優れています。<br><br>●補修・工作に。<br>●補修・工作に。<br><br>●全長(mm)：995<br>●縦×横×厚み(外径)(mm)：3×3×0.5<br><br><br>●銅<br>",『カード対応OK！』■〒光【CP995-3】(7538367) 銅丸パイプ 受注単位1：クローバー資材館,『カード対応OK！』■〒光【CP995-3】(7538367) 銅丸パイプ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。『カード対応OK！』■〒光【CP995-3】(7538367) 銅丸パイプ 受注単位1[rn]
10-22647,,810.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###■〒光【PTH1131】(7517718) 簡易内窓フレームレール　補強材　ＰＴＨ１１３１ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br><br>●内窓フレームの補強材に。（内窓フレームの窓サイズが縦寸法で１８００ｍｍを超える場合）<br><br>●幅(mm)：14.3<br>●色：ブロンズ<br>●高さ(mm)：27.5<br>●奥行(mm)：2100<br>●質量(kg)：0.3<br>●色：ブロンズ<br><br><br>●アルミ<br>●ブロンズ仕上げ<br>",『カード対応OK！』###■〒光【PTH1131】(7517718) 簡易内窓フレームレール　補強材　ＰＴＨ１１３１ 受注単位1：クローバー資材館,『カード対応OK！』###■〒光【PTH1131】(7517718) 簡易内窓フレームレール　補強材　ＰＴＨ１１３１ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。『カード対応OK！』###■〒光【PTH1131】(7517718) 簡易内窓フレームレール　補強材　ＰＴＨ１１３１ 受注単位1[rn]
10-22648,,440.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒光【HC0516】(7538464) 銅１００×３６５ｍｍ×０．５ｍｍ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●電気・熱伝導性・加工性に優れています。<br><br>●あらゆる補修に。<br>●あらゆる補修に。<br><br>●幅(mm)：100<br>●長さ(mm)：365<br>●厚み(mm)：0.5<br><br><br>●銅<br>",『カード対応OK！』■〒光【HC0516】(7538464) 銅１００&times;３６５ｍｍ&times;０．５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒光【HC0516】(7538464) 銅１００&times;３６５ｍｍ&times;０．５ｍｍ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。『カード対応OK！』■〒光【HC0516】(7538464) 銅１００&times;３６５ｍｍ&times;０．５ｍｍ 受注単位1[rn]
10-22649,,412.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒光【KTP-906H】(3893146) ジョイント用ポリカジョイナー　エ型 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐久性に優れ大変丈夫です。ポリカ中空ボードのフレームを保護します。<br><br>●ポリカ中空ボードのジョイント及び押さえに。<br><br>●幅(mm)：44<br>●奥行(mm)：910<br>●高さ(mm)：8<br>●形状：[[（R1）]]型<br>●質量(g)：102<br><br><br>●ポリカーボネート<br>",『カード対応OK！』■〒光【KTP-906H】(3893146) ジョイント用ポリカジョイナー　エ型 受注単位1：クローバー資材館,『カード対応OK！』■〒光【KTP-906H】(3893146) ジョイント用ポリカジョイナー　エ型 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。『カード対応OK！』■〒光【KTP-906H】(3893146) ジョイント用ポリカジョイナー　エ型 受注単位1[rn]
10-22650,,2039.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アルインコ【CX490-N】(7545479) アルミエキスパンド１．２Ｘ２５Ｘ１４　４５０Ｘ９００  受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●軽量・簡単加工・ニッパーでカットできます。<br>●軽量・喚起・採光・見通しが良く幅広い用途に使用可。<br><br>●フェンス、排水溝のフィルターなど。<br>●自作パソコン吸気フィルター押さえ、排気口などのファン巻き込み防止。<br>●自動車・農機具などの機械各部のカバーなどに。<br>●自動車、農機具等の機械各部のカバーなど。<br>●溝の落ち葉止めなどにも使用<br><br>●厚み(mm)：1.2<br>●幅(mm)：450<br>●長さ(mm)：900<br>●目（mm）：25×14<br><br>●アルミ製で軽く加工性に優れている<br><br>●アルミ<br>",■〒アルインコ【CX490-N】(7545479) アルミエキスパンド１．２Ｘ２５Ｘ１４　４５０Ｘ９００  受注単位1：クローバー資材館,■〒アルインコ【CX490-N】(7545479) アルミエキスパンド１．２Ｘ２５Ｘ１４　４５０Ｘ９００  受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。■〒アルインコ【CX490-N】(7545479) アルミエキスパンド１．２Ｘ２５Ｘ１４　４５０Ｘ９００  受注単位1[rn]
10-22651,,372.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒光【CP995-8】(7538413) 銅丸パイプ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●電気伝導性・熱伝導性・耐食性・加工性に優れています。<br>●電気伝導性・熱伝導性・耐食性・加工性に優れています。<br><br>●補修・工作に。<br>●補修・工作に。<br><br>●全長(mm)：995<br>●縦×横×厚み(外径)(mm)：8×8×0.5<br><br><br>●銅<br>",『カード対応OK！』■〒光【CP995-8】(7538413) 銅丸パイプ 受注単位1：クローバー資材館,『カード対応OK！』■〒光【CP995-8】(7538413) 銅丸パイプ 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。『カード対応OK！』■〒光【CP995-8】(7538413) 銅丸パイプ 受注単位1[rn]
10-22652,,2054.4000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒光【HC1312T】(7538499) 銅ロール巻０．１×３６５×１２００　のり付 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●電気・熱伝導性・加工性に優れています。<br><br>●あらゆる補修に。<br>●あらゆる補修に。<br><br>●幅(mm)：365<br>●長さ(mm)：1200<br>●厚み(mm)：0.1<br>●粘着付<br><br>●テープ付<br><br>●銅<br>",【カード対応OK！】■〒光【HC1312T】(7538499) 銅ロール巻０．１&times;３６５&times;１２００　のり付 受注単位1：クローバー資材館,【カード対応OK！】■〒光【HC1312T】(7538499) 銅ロール巻０．１&times;３６５&times;１２００　のり付 受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。【カード対応OK！】■〒光【HC1312T】(7538499) 銅ロール巻０．１&times;３６５&times;１２００　のり付 受注単位1[rn]
10-22653,,1624.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アルインコ【CX490S-N】(7545487) アルミエキスパンド０．８Ｘ１０Ｘ５　４５０Ｘ９００  受注単位1,生産加工用品\建築金物\パイプ・板・フレーム,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●軽量・簡単加工・ニッパーでカットできます。<br>●軽量・喚起・採光・見通しが良く幅広い用途に使用可。<br><br>●フェンス、排水溝のフィルターなど。<br>●自作パソコン吸気フィルター押さえ、排気口などのファン巻き込み防止。<br>●自動車・農機具などの機械各部のカバーなどに。<br>●自動車、農機具等の機械各部のカバーなど。<br>●溝の落ち葉止めなどにも使用<br><br>●厚み(mm)：0.8<br>●幅(mm)：450<br>●長さ(mm)：900<br>●目（mm）：10×5<br><br>●アルミ製で軽く加工性に優れている<br><br>●アルミ<br>",■〒アルインコ【CX490S-N】(7545487) アルミエキスパンド０．８Ｘ１０Ｘ５　４５０Ｘ９００  受注単位1：クローバー資材館,■〒アルインコ【CX490S-N】(7545487) アルミエキスパンド０．８Ｘ１０Ｘ５　４５０Ｘ９００  受注単位1,生産加工用品\建築金物\パイプ・板・フレーム。■〒アルインコ【CX490S-N】(7545487) アルミエキスパンド０．８Ｘ１０Ｘ５　４５０Ｘ９００  受注単位1[rn]
