10-24101,,5457.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒旭精工/旭精工 【S-306】(4807073)３方口吹管６００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\冷却装置,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は配送地域によって送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br><br>●四軸分岐800m/m迄の能力としております。<br>●吹管は用途が非常に多岐に渉りますので、別注付属品として扱っております。吹管ノズルは３φ孔を採用しておりますが、無孔のノズル先を取り寄せることによりユーザーに任意の孔径のノズルに交換できます。<br>●多軸ボール盤、多軸タッピングまたはオイルジェッター１台から数台の機械への分岐に。<br>●全長(mm):600<br>●質量(g):429<br>●先端内径:3mm<br>●100mm単位加工<br>●銅管<br>",『カード対応OK！』##&forall;■〒旭精工/旭精工 【S-306】(4807073)３方口吹管６００ＭＭ 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒旭精工/旭精工 【S-306】(4807073)３方口吹管６００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\冷却装置。『カード対応OK！』##&forall;■〒旭精工/旭精工 【S-306】(4807073)３方口吹管６００ＭＭ 受注単位1[rn]
10-24124,,4972.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　１１５ｍｍ　斜めポイント先細型【5A-TNF (5T-115) (115MMﾁﾀﾝ)】(2617277) 受注単位：1,(2617277),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●885℃の高温でも変質しません。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　１１５ｍｍ　斜めポイント先細型【5A-TNF (5T-115) (115MMﾁﾀﾝ)】(2617277) 受注単位：1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　１１５ｍｍ　斜めポイント先細型【5A-TNF (5T-115) (115MMﾁﾀﾝ)】(2617277) 受注単位：1,(2617277)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　１１５ｍｍ　斜めポイント先細型【5A-TNF (5T-115) (115MMﾁﾀﾝ)】(2617277) 受注単位：1[rn]
10-24125,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010002803451.jpg?fitin=700:700,4983.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１３０ｍｍ　先端９．５　３枚爪【41LB3-SA (41LB-3) (130MMﾂﾒ3ﾏｲ)】(2617391) 受注単位：1,(2617391),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ウェハーなどのハンドリングに適したピンセットです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１３０ｍｍ　先端９．５　３枚爪【41LB3-SA (41LB-3) (130MMﾂﾒ3ﾏｲ)】(2617391) 受注単位：1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１３０ｍｍ　先端９．５　３枚爪【41LB3-SA (41LB-3) (130MMﾂﾒ3ﾏｲ)】(2617391) 受注単位：1,(2617391)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１３０ｍｍ　先端９．５　３枚爪【41LB3-SA (41LB-3) (130MMﾂﾒ3ﾏｲ)】(2617391) 受注単位：1[rn]
10-24126,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010003805034.jpg?fitin=700:700,1776.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　大型ステンレス製ピンセット　５００ｍｍ　直【TSP-208L】(3664414) 受注単位：1,(3664414),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●手の入らない狭いところにも届く長さ500mmのロングタイプです。<br>●異物除去に最適です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　大型ステンレス製ピンセット　５００ｍｍ　直【TSP-208L】(3664414) 受注単位：1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　大型ステンレス製ピンセット　５００ｍｍ　直【TSP-208L】(3664414) 受注単位：1,(3664414)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　大型ステンレス製ピンセット　５００ｍｍ　直【TSP-208L】(3664414) 受注単位：1[rn]
10-24127,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003824429.jpg?fitin=700:700,1416.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ロックホルダー（直）　２００ｍｍ【PH-05 (200)】(3598608) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ハンドルの内側が噛み合わせのラチェットになっており、先端で挟んだ部品をロックした状態で保持します。<br>●電子部品の組み立て・はんだ付け作業、精密クランプ作業などに最適です。<br>●自動車、バイクなどのオイルホースのクリップにも使用できます。",『カード対応OK！』■〒エンジニア/エンジニア　ロックホルダー（直）　２００ｍｍ【PH-05 (200)】(3598608) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エンジニア/エンジニア　ロックホルダー（直）　２００ｍｍ【PH-05 (200)】(3598608) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ロックホルダー（直）　２００ｍｍ【PH-05 (200)】(3598608) 受注単位：1[rn]
10-24128,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003094225.jpg?fitin=700:700,758.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ピンセット（ＲＲ型）先端ロングタイプ　１５０ｍｍ【PT-02 (150MM)】(3688275) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●先端超精密加工の非磁性、耐酸、耐食性を兼ね備えたSUS304製です。<br>●ボディー部のばね性は柔らかく仕上げてあり、長時間の作業でも手が疲れません。",『カード対応OK！』■〒エンジニア/エンジニア　ピンセット（ＲＲ型）先端ロングタイプ　１５０ｍｍ【PT-02 (150MM)】(3688275) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エンジニア/エンジニア　ピンセット（ＲＲ型）先端ロングタイプ　１５０ｍｍ【PT-02 (150MM)】(3688275) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ピンセット（ＲＲ型）先端ロングタイプ　１５０ｍｍ【PT-02 (150MM)】(3688275) 受注単位：1[rn]
10-24129,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003094226.jpg?fitin=700:700,825.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ピンセット（Ｉ型）先細スリムタイプ　１２０ｍｍ【PT-04 (125MM)】(3688283) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●先端超精密加工の非磁性、耐酸、耐食性を兼ね備えたSUS304製です。<br>●ボディー部のばね性は柔らかく仕上げてあり、長時間の作業でも手が疲れません。",『カード対応OK！』■〒エンジニア/エンジニア　ピンセット（Ｉ型）先細スリムタイプ　１２０ｍｍ【PT-04 (125MM)】(3688283) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エンジニア/エンジニア　ピンセット（Ｉ型）先細スリムタイプ　１２０ｍｍ【PT-04 (125MM)】(3688283) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ピンセット（Ｉ型）先細スリムタイプ　１２０ｍｍ【PT-04 (125MM)】(3688283) 受注単位：1[rn]
10-24130,,991.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ラバーグリップ付ステンレスピンセット　１１５ｍｍ　先細鷲型【TSP-215】(2997428) 受注単位：1,(2997428),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ピンセット先端に力が入り、物をしっかりつかむことのできるラバーグリップ付で、指先の滑りも防止します。<br>●長時間使っても疲れにくいピンセットです。<br>●先端が強い、高強度仕様です。<br>●安全保護キャップ付です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ラバーグリップ付ステンレスピンセット　１１５ｍｍ　先細鷲型【TSP-215】(2997428) 受注単位：1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ラバーグリップ付ステンレスピンセット　１１５ｍｍ　先細鷲型【TSP-215】(2997428) 受注単位：1,(2997428)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ラバーグリップ付ステンレスピンセット　１１５ｍｍ　先細鷲型【TSP-215】(2997428) 受注単位：1[rn]
10-24131,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002810463.jpg?fitin=700:700,1215.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　鉄腕ピンセット【PT-31】(3558533) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●先端部にしなりがなく部品などを確実に保持できます。<br>●先端は高精度精密仕上げで、耐久性に優れています。<br>●本体材質は非磁性に優れたステンレスSUS304製です。<br>●耐食性、耐酸性に優れ、先端の磨耗もありません。<br>●つまみ圧は150gです。",『カード対応OK！』■〒エンジニア/エンジニア　鉄腕ピンセット【PT-31】(3558533) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エンジニア/エンジニア　鉄腕ピンセット【PT-31】(3558533) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　鉄腕ピンセット【PT-31】(3558533) 受注単位：1[rn]
10-24132,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005147227.jpg?fitin=700:700,253.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　１５２ｍｍ【PTS-04 (150MM)】(3688356) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●耐食性に優れたステンレス製です。",『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　１５２ｍｍ【PTS-04 (150MM)】(3688356) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　１５２ｍｍ【PTS-04 (150MM)】(3688356) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　１５２ｍｍ【PTS-04 (150MM)】(3688356) 受注単位：1[rn]
10-24133,,684.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　高精度ステンレス製ピンセット　１２０ｍｍ　非磁性　強力型【TSP-70 (ｷｮｳﾘｮｸｶﾞﾀ120MM)】(2709201) 受注単位：1,(2709201),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●先端精度に優れ、磁気やサビを嫌う作業に最適です。<br>●材質は非磁性の性質をもつステンレス（SUS304）を使用しています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　高精度ステンレス製ピンセット　１２０ｍｍ　非磁性　強力型【TSP-70 (ｷｮｳﾘｮｸｶﾞﾀ120MM)】(2709201) 受注単位：1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　高精度ステンレス製ピンセット　１２０ｍｍ　非磁性　強力型【TSP-70 (ｷｮｳﾘｮｸｶﾞﾀ120MM)】(2709201) 受注単位：1,(2709201)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　高精度ステンレス製ピンセット　１２０ｍｍ　非磁性　強力型【TSP-70 (ｷｮｳﾘｮｸｶﾞﾀ120MM)】(2709201) 受注単位：1[rn]
10-24134,,1192.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ製精密ピンセット　００型　９５ｍｍ【EW-00】(3289028) 受注単位：1,(3289028),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ピンセットの技術革新、オール削り出しのアルミニウム製ピンセットです。<br>●わずか6gと超軽量のため、長時間の使用でも手が疲れにくいです。<br>●ハンドル部分のギザ波が滑り止めとして働きます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ製精密ピンセット　００型　９５ｍｍ【EW-00】(3289028) 受注単位：1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ製精密ピンセット　００型　９５ｍｍ【EW-00】(3289028) 受注単位：1,(3289028)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ製精密ピンセット　００型　９５ｍｍ【EW-00】(3289028) 受注単位：1[rn]
10-24135,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005150119.jpg?fitin=700:700,395.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　スプリングフック【SS-21】(3688551) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●電子機器、精密機器に多く使用されているコイルスプリングなどの取り付け、取り外しや、調整用に最適です。<br>●基板実装のリードコネクターの取り外し、抵抗やコンデンサーのリード線の矯正、細い電線などの配列点検作業用にも使用されています。",『カード対応OK！』■〒エンジニア/エンジニア　スプリングフック【SS-21】(3688551) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エンジニア/エンジニア　スプリングフック【SS-21】(3688551) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　スプリングフック【SS-21】(3688551) 受注単位：1[rn]
10-24136,,148.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１５０ｍｍ　先曲り型【TSP-28 (150MMｻｷﾏｹﾞ)】(2709066) 受注単位：1,(2709066),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●微小なパーツや小物を容易につかむことができます。<br>●先の細いピンセットです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１５０ｍｍ　先曲り型【TSP-28 (150MMｻｷﾏｹﾞ)】(2709066) 受注単位：1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１５０ｍｍ　先曲り型【TSP-28 (150MMｻｷﾏｹﾞ)】(2709066) 受注単位：1,(2709066)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１５０ｍｍ　先曲り型【TSP-28 (150MMｻｷﾏｹﾞ)】(2709066) 受注単位：1[rn]
10-24137,,180.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１２０ｍｍ　逆動作タイプ【TSP-34】(2709091) 受注単位：1,(2709091),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●手をはなすと閉じるため、バイスがわりに使用できます。<br>●はんだ付け作業などに便利です。<br>●逆動作モデルです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１２０ｍｍ　逆動作タイプ【TSP-34】(2709091) 受注単位：1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１２０ｍｍ　逆動作タイプ【TSP-34】(2709091) 受注単位：1,(2709091)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１２０ｍｍ　逆動作タイプ【TSP-34】(2709091) 受注単位：1[rn]
10-24138,,445.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　フッ素コートタイプ　１２５ｍｍ　曲爪【TSP-43 (125MMｻｷﾏｹﾞ)】(2709155) 受注単位：1,(2709155),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●フッ素加工のためヤニやのりがつかず、またついてもとりやすく便利です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　フッ素コートタイプ　１２５ｍｍ　曲爪【TSP-43 (125MMｻｷﾏｹﾞ)】(2709155) 受注単位：1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　フッ素コートタイプ　１２５ｍｍ　曲爪【TSP-43 (125MMｻｷﾏｹﾞ)】(2709155) 受注単位：1,(2709155)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　フッ素コートタイプ　１２５ｍｍ　曲爪【TSP-43 (125MMｻｷﾏｹﾞ)】(2709155) 受注単位：1[rn]
10-24139,,333.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　３本組セット【TSP-93】(2709198) 受注単位：1,(2709198),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●使用頻度の多いサイズをセットしました。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　３本組セット【TSP-93】(2709198) 受注単位：1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　３本組セット【TSP-93】(2709198) 受注単位：1,(2709198)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　３本組セット【TSP-93】(2709198) 受注単位：1[rn]
10-24140,,2767.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　スイストゥィーズ型　１２０ｍｍ　先丸先細型【2AG-SA】(3288935) 受注単位：1,(3288935),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●耐酸耐磁（SUS304L）のピンセットをベースに本体に無数の穴を空けることで滑り止め効果があります。<br>●SUS420Jに比べサビにくく、耐久性に優れます。<br>●フッ化水素・硝酸の酸に耐性があります。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　スイストゥィーズ型　１２０ｍｍ　先丸先細型【2AG-SA】(3288935) 受注単位：1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　スイストゥィーズ型　１２０ｍｍ　先丸先細型【2AG-SA】(3288935) 受注単位：1,(3288935)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　スイストゥィーズ型　１２０ｍｍ　先丸先細型【2AG-SA】(3288935) 受注単位：1[rn]
10-24141,,8504.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ【OP-20】(3318524) ＳＹＩＣ　タッチセンサー 受注単位1,生産加工用品\ツーリング・治工具\ツーリング用測定器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●オーバーラン保護機能付です。<br>●光で高感度の位置を検出します。<br>●全周5ヵ所で確認できる赤いランプ付です。<br><br>●NCフライス・マシニングセンターでの位置の検出に。<br><br>●シャンク径(mm)：20<br>●全長(mm)：160<br>●先端径(mm)：10<br>●シャンク長(mm)：77<br>●ブザー：なし<br>●質量(kg)：0.3<br><br>●電源：単5乾電池（2個）付<br><br>",『カード対応OK！』■〒ムラキ【OP-20】(3318524) ＳＹＩＣ　タッチセンサー 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ【OP-20】(3318524) ＳＹＩＣ　タッチセンサー 受注単位1,生産加工用品\ツーリング・治工具\ツーリング用測定器。『カード対応OK！』■〒ムラキ【OP-20】(3318524) ＳＹＩＣ　タッチセンサー 受注単位1[rn]
10-24142,,12756.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ/ショーン【EF1010NM】(4808321) エッジファインダー（芯出しバー） 受注単位1,生産加工用品\ツーリング・治工具\ツーリング用測定器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●非磁性タイプです。<br><br>●マシニングセンターやＮＣフライスでのワーク位置検出に使用。<br><br>●シャンク径(mm)：10<br>●全長(mm)：83.5<br>●適正回転数(min[[の-1乗]])：500以下<br>●測定子寸法(mm)：10<br><br>●繰返し精度３μｍ以内<br><br>●ステンレス<br>",『カード対応OK！』■〒ムラキ/ショーン【EF1010NM】(4808321) エッジファインダー（芯出しバー） 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ/ショーン【EF1010NM】(4808321) エッジファインダー（芯出しバー） 受注単位1,生産加工用品\ツーリング・治工具\ツーリング用測定器。『カード対応OK！』■〒ムラキ/ショーン【EF1010NM】(4808321) エッジファインダー（芯出しバー） 受注単位1[rn]
10-24143,,28066.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ/ショーン【0020502M0】(4807961) ゼロファインダー 受注単位1,生産加工用品\ツーリング・治工具\ツーリング用測定器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ＬＥＤランプを全方位から確認可能です。<br>●強力マグネット付です。<br>●工具破損を防ぐクッション機構付です。<br><br>●刃先位置を高精度で測定。<br><br>●シャンク径(mm)：6<br>●高さ(mm)：50<br>●ストローク(mm)：**<br>●測定子径(mm)：19<br>●適正回転数(min[[の-1乗]])：500以下<br>●測定子寸法(mm)：6<br><br>●繰返し精度：±１μm<br>●外径（ｍｍ）：３９．０<br>●電源：ＳＲ４４×２個<br><br>",『カード対応OK！』■〒ムラキ/ショーン【0020502M0】(4807961) ゼロファインダー 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ/ショーン【0020502M0】(4807961) ゼロファインダー 受注単位1,生産加工用品\ツーリング・治工具\ツーリング用測定器。『カード対応OK！』■〒ムラキ/ショーン【0020502M0】(4807961) ゼロファインダー 受注単位1[rn]
10-24144,,16329.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ/ショーン【0011220M0】(4807928) タッチファインダー　φ２０ 受注単位1,生産加工用品\ツーリング・治工具\ツーリング用測定器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●赤色ＬＥＤを全方位から確認可能です。<br>●音と光で高感度の位置検出ができます。<br>●オーバーラン保護機能付です。<br><br>●マシニングセンターやＮＣフライスでのワーク位置検出に使用。<br><br>●シャンク径(mm)：20<br>●全長(mm)：164<br>●先端径(mm)：10<br>●適正回転数(min[[の-1乗]])：***<br>●測定子寸法(mm)：***<br><br>●電源：A23S１２Ｖ<br><br>",『カード対応OK！』■〒ムラキ/ショーン【0011220M0】(4807928) タッチファインダー　φ２０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ/ショーン【0011220M0】(4807928) タッチファインダー　φ２０ 受注単位1,生産加工用品\ツーリング・治工具\ツーリング用測定器。『カード対応OK！』■〒ムラキ/ショーン【0011220M0】(4807928) タッチファインダー　φ２０ 受注単位1[rn]
10-24145,,5443.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ/ショーン【EF1004】(4756029) エッジファインダー（芯出しバー） 受注単位1,生産加工用品\ツーリング・治工具\ツーリング用測定器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●摺動部外周を黒色にし、摺動面の銀色と見分けやすくなっております。<br>●回転させて測定することにより機械とツーリングの振れが反映されやすいです。<br><br>●マシニングセンターやＮＣフライスでのワーク位置検出に使用。<br><br>●シャンク径(mm)：10<br>●全長(mm)：88.5<br>●質量(g)：97<br>●適正回転数(min[[の-1乗]])：500以下<br>●測定子寸法(mm)：10・4<br><br>●繰返し精度３μｍ以内<br><br>●ＳＵＭ<br>",『カード対応OK！』■〒ムラキ/ショーン【EF1004】(4756029) エッジファインダー（芯出しバー） 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ/ショーン【EF1004】(4756029) エッジファインダー（芯出しバー） 受注単位1,生産加工用品\ツーリング・治工具\ツーリング用測定器。『カード対応OK！』■〒ムラキ/ショーン【EF1004】(4756029) エッジファインダー（芯出しバー） 受注単位1[rn]
10-24146,,8334.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ/ショーン【EF0606】(4836006) エッジファインダー（芯出しバー） 受注単位1,生産加工用品\ツーリング・治工具\ツーリング用測定器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●擢動部外周を黒色にし、擢動面の銀色と見分けやすくなっております。<br><br>●マシニングセンターやＮＣフライスでのワーク位置検出に使用。<br><br>●シャンク径(mm)：6<br>●全長(mm)：50<br>●質量(g)：100<br>●適正回転数(min[[の-1乗]])：500以下<br>●測定子寸法(mm)：6<br><br>●繰返し精度３μｍ以内<br><br>",『カード対応OK！』■〒ムラキ/ショーン【EF0606】(4836006) エッジファインダー（芯出しバー） 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ/ショーン【EF0606】(4836006) エッジファインダー（芯出しバー） 受注単位1,生産加工用品\ツーリング・治工具\ツーリング用測定器。『カード対応OK！』■〒ムラキ/ショーン【EF0606】(4836006) エッジファインダー（芯出しバー） 受注単位1[rn]
