10-21301,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002659938.jpg?fitin=700:700,196.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８×８Φ）【RS-1108】(1768000) 受注単位1,工事用品\管工機材\小径配管継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８&times;８Φ）【RS-1108】(1768000) 受注単位1：クローバー資材館,『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８&times;８Φ）【RS-1108】(1768000) 受注単位1,工事用品\管工機材\小径配管継手。『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８&times;８Φ）【RS-1108】(1768000) 受注単位1[rn]
10-21343,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004392842.jpg?fitin=700:700,18075.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ/ボッシュ　レーザー距離計【GLM80】(3937003) 受注単位1,工事用品\測量用品\レーザー距離計,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●距離と角度の同時測定で、ピタゴラス測定が簡単にできます。<br>●一人で簡単に測定できます。<br>●傾斜測定が可能になりました。<br>●簡単ピタゴラス測定機能付です。<br>●バックライト付です。<br>●リチウムイオンバッテリーを採用しています。",『カード対応OK！』■〒ボッシュ/ボッシュ　レーザー距離計【GLM80】(3937003) 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ/ボッシュ　レーザー距離計【GLM80】(3937003) 受注単位1,工事用品\測量用品\レーザー距離計。『カード対応OK！』■〒ボッシュ/ボッシュ　レーザー距離計【GLM80】(3937003) 受注単位1[rn]
10-21344,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005435979.jpg?fitin=700:700,8396.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　レーザ距離計　ＢＤＭ－６０【BDM-60】(4234375) 受注単位1,工事用品\測量用品\レーザー距離計,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●レーザ光がピンポイントで目標物を捕らえるので一人で簡単に作業できます。<br>●衝撃から本体を守るゴムラバー付です。<br>●測定開始位置をエンドキャップ先端に設定できるのでコーナーからの測定や窓枠などの測定に便利です。<br>●最大と最小値を測定可能、より正確な測距ができます。<br>●液晶バックライト付で暗い場所でも使用可能です。",『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　レーザ距離計　ＢＤＭ&minus;６０【BDM-60】(4234375) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　レーザ距離計　ＢＤＭ&minus;６０【BDM-60】(4234375) 受注単位1,工事用品\測量用品\レーザー距離計。『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　レーザ距離計　ＢＤＭ&minus;６０【BDM-60】(4234375) 受注単位1[rn]
10-21345,,6098.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PLR15】(4959108) レーザー距離計 受注単位1,工事用品\測量用品\レーザー距離計,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●全長１０ｃｍ、重さ８０ｇのコンパクトタイプなので、ポケットに携帯でき、いつでもどこでも手軽に使えます。<br>●簡単操作で正確な測定ができます。<br><br><br>●測定範囲(m)：0.15～15<br>●測定精度(mm)：±3<br>●最小表示(mm)：1<br>●高さ(mm)：100<br>●幅(mm)：36<br>●厚み(mm)：23<br>●質量(g)：80<br><br>●測定項目：距離<br>●測定基準位置の設定：2ヵ所<br>●容器保護等級：-<br>●保証期間：６ヵ月<br>●電源：単4アルカリ乾電池×2本（付属）<br>●レーザー安全基準：クラス２<br><br>",『カード対応OK！』■〒ボッシュ【PLR15】(4959108) レーザー距離計 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PLR15】(4959108) レーザー距離計 受注単位1,工事用品\測量用品\レーザー距離計。『カード対応OK！』■〒ボッシュ【PLR15】(4959108) レーザー距離計 受注単位1[rn]
10-21346,,26453.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【GLM100C】(4705564) データ転送レーザー距離計 受注単位1,工事用品\測量用品\レーザー距離計,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●データ転送機能付レーザー距離計です。<br>●アプリをスマートフォン、タブレットPCなどにダウンロード（ios、Android無償）することにより測定データを転送することができます。<br>●PC用データ転送用ソフトをダウンロード（無償）することによりGLM100Cで測定したデータを直接PCに取り込めます。<br>●リチウムイオンバッテリー使用です。<br><br><br>●測定範囲(m)：0.05～100<br>●測定精度(mm)：±1.5<br>●最小表示(mm)：0.1<br>●高さ(mm)：111<br>●幅(mm)：51<br>●厚み(mm)：30<br><br>●測定項目：距離、面積、容積、連続測定、傾斜測定、最小・最大測定、ピタゴラス測定<br>●計算機能<br>●測定基準位置の設定：4ヵ所<br>●容器保護等級：IP54<br>●保証期間：2年<br>●電源：充電式内蔵リチウムイオンバッテリー<br>●レーザー安全基準：クラス2<br><br>",『カード対応OK！』■〒ボッシュ【GLM100C】(4705564) データ転送レーザー距離計 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【GLM100C】(4705564) データ転送レーザー距離計 受注単位1,工事用品\測量用品\レーザー距離計。『カード対応OK！』■〒ボッシュ【GLM100C】(4705564) データ転送レーザー距離計 受注単位1[rn]
10-21347,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002824934.jpg?fitin=700:700,2617.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　レーザ付超音波距離計ＯＤＭ－１６０【ODM-160】(3367959) 受注単位1,工事用品\測量用品\レーザー距離計,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●まさに瞬測、ボタン1つで距離はもちろん体積・面積も測定可能です。<br>●測定に影響をおよぼす温度を自動測定し自動補正するので正確な測定が可能です。<br>●気泡管付で水平距離測定も可能です。<br>●連続測定が可能、本体を動かしてもリアルタイムで距離を表示します。",『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　レーザ付超音波距離計ＯＤＭ&minus;１６０【ODM-160】(3367959) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　レーザ付超音波距離計ＯＤＭ&minus;１６０【ODM-160】(3367959) 受注単位1,工事用品\測量用品\レーザー距離計。『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　レーザ付超音波距離計ＯＤＭ&minus;１６０【ODM-160】(3367959) 受注単位1[rn]
10-21348,,8504.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【GLM7000】(4697111) レーザー距離計 受注単位1,工事用品\測量用品\レーザー距離計,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●簡単操作で正確な距離測定を実現します。<br><br>●距離の測定　面積の測定　体積、容積の測定。<br><br>●測定範囲(m)：0.05～70<br>●測定精度(mm)：±1.5<br>●最小表示(mm)：1<br>●高さ(mm)：114<br>●幅(mm)：53<br>●厚み(mm)：31<br>●質量(g)：140<br><br>●測定項目：距離、面積、容積体積、ピタゴラス、連続測定<br>●測定基準位置の設定：3ヵ所<br>●容器保護等級：IP54<br>●保証期間：1年<br>●電源：単４アルカリ乾電池×２本（付属）<br>●レーザー安全基準：クラス2<br><br>",『カード対応OK！』■〒ボッシュ【GLM7000】(4697111) レーザー距離計 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【GLM7000】(4697111) レーザー距離計 受注単位1,工事用品\測量用品\レーザー距離計。『カード対応OK！』■〒ボッシュ【GLM7000】(4697111) レーザー距離計 受注単位1[rn]
10-21349,http://tshop.r10s.jp/clover9608/cabinet/youki10/n1200a.jpg?fitin=700:700,29584.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒日動工業/日動【N1200A】携帯型 レーザー距離計 (1200mまで) 受注単位1,工事用品\測量用品\レーザー距離計,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>
ゴルフやレジャーに。<br>
<br>
屋外型（IP65）<br>
赤外線レーザー光で距離・速度・角度・高さを測定します。<br>
 距離の単位はメートル・ヤード表示切替式です。<br>
<br>
※ 本製品は簡易距離計です。<br>
 測定結果は公的な証明には使用できません。<br>
レジャー用商品です。 <br>
<br>
<br>
<img src=""http://image.rakuten.co.jp/clover9608/cabinet/youki10/nichido-n600-1200a-1.jpg"" alt="""" ><br>

<img src=""http://image.rakuten.co.jp/clover9608/cabinet/youki10/nichido-n600-1200a-2.jpg"" alt="""" ><br>",■〒日動工業/日動【N1200A】携帯型 レーザー距離計 (1200mまで) 受注単位1：クローバー資材館,■〒日動工業/日動【N1200A】携帯型 レーザー距離計 (1200mまで) 受注単位1,工事用品\測量用品\レーザー距離計。■〒日動工業/日動【N1200A】携帯型 レーザー距離計 (1200mまで) 受注単位1[rn]
10-21350,,10139.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ【LKT-F05R】(7537760) レーザー距離計タジマＦ０５ 受注単位1,工事用品\測量用品\レーザー距離計,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●簡単・安全に距離測定が可能です。（PSCマーク認定）<br>●96グラムと軽量でコンパクト、ポケットにらくらく携帯できます。<br>●簡単・安全に距離測定が可能です。（PSCマーク認定）<br>●96グラムと軽量でコンパクト、ポケットにらくらく携帯できます。<br>●暗がりでも見やすいバックライト付です。<br>●大工仕事に活かせる尺相当（10／33ｍ）表示切り替えが可能です。<br>●連続測定で距離をタイムリーに表示<br>●面積、容積の測定が簡単にできます<br><br>●距離測定用レーザー距離計<br><br>●測定範囲(m)：0.05～50<br>●測定精度(mm)：±2.0<br>●最小表示(mm)：1<br>●高さ(mm)：116<br>●幅(mm)：47.3<br>●厚み(mm)：29.3<br><br>●測定項目：距離、面積、体積、連続測定、ピタゴラス測定<br>●計算機能付<br>●容器保護等級：ＩＰ40<br>●保証期間：２年<br>●電源：単４アルカリ乾電池×２本（付属）<br>●レーザー安全基準：クラス２<br>●規格：国際標準化機構規格ISO16331－1適合品<br>●レーザー安全基準：クラス2波長635nm<br>●標準測定範囲：0.05m～50ｍ<br>●標準測定公差：±2.0ｍｍ<br>●最小表示値：1mm<br>●防塵・防水性能：IP40<br>●保証：2年間保証<br><br>●外装：ABS樹脂・エラストマー樹脂<br>",『カード対応OK！』■〒ＴＪＭデザイン/タジマ【LKT-F05R】(7537760) レーザー距離計タジマＦ０５ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ【LKT-F05R】(7537760) レーザー距離計タジマＦ０５ 受注単位1,工事用品\測量用品\レーザー距離計。『カード対応OK！』■〒ＴＪＭデザイン/タジマ【LKT-F05R】(7537760) レーザー距離計タジマＦ０５ 受注単位1[rn]
10-21351,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005436070.jpg?fitin=700:700,27567.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　レーザー距離計　ライカディスト　Ｘ３１０【DISTO-X310】(4235711) 受注単位1,工事用品\測量用品\レーザー距離計,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●２ｍの落下テストをクリアする堅牢設計です。<br>●流水洗いが可能な防じん防水設計です。<br>●３６０°チルトセンサーを搭載しています。",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　レーザー距離計　ライカディスト　Ｘ３１０【DISTO-X310】(4235711) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　レーザー距離計　ライカディスト　Ｘ３１０【DISTO-X310】(4235711) 受注単位1,工事用品\測量用品\レーザー距離計。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　レーザー距離計　ライカディスト　Ｘ３１０【DISTO-X310】(4235711) 受注単位1[rn]
10-21352,,23904.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/リジッド　距離計　ＬＭ１００【36158】(4085914) 受注単位1,工事用品\測量用品\レーザー距離計,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●簡単なボタン操作で正確で迅速に測定します。<br>●測定距離は最大５０ｍでウルトラシャープクラス２レーザーを採用しています。<br>●見やすいバックライト付ＬＣＤ画面を使用しています。",『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/リジッド　距離計　ＬＭ１００【36158】(4085914) 受注単位1：クローバー資材館,『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/リジッド　距離計　ＬＭ１００【36158】(4085914) 受注単位1,工事用品\測量用品\レーザー距離計。『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/リジッド　距離計　ＬＭ１００【36158】(4085914) 受注単位1[rn]
10-21353,,567.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒原度器/プロマート【MLF】(7587031) メガライン用替えフェルト 受注単位1,工事用品\測量用品\墨つぼ・チョークリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●メガライン（ML50)・メガライン（MLN50)交換用フェルトです。<br><br><br>●質量(g)：10<br><br><br>●羊毛<br>",『カード対応OK！』■〒原度器/プロマート【MLF】(7587031) メガライン用替えフェルト 受注単位1：クローバー資材館,『カード対応OK！』■〒原度器/プロマート【MLF】(7587031) メガライン用替えフェルト 受注単位1,工事用品\測量用品\墨つぼ・チョークリール。『カード対応OK！』■〒原度器/プロマート【MLF】(7587031) メガライン用替えフェルト 受注単位1[rn]
10-21354,,1919.2000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒ＴＪＭデザイン/タジマ【PS-SUM6BMX】(7537824) パーフェクト墨つぼ　ＢＯＭ　６ｍ　Ｘ 受注単位1,工事用品\測量用品\墨つぼ・チョークリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●マルチヘッドで入隅も平面も打ちやすいです。<br>●液漏れしにくい高密閉設計です。<br>●フルオープンでメンテナンスが簡単です。<br>●マルチヘッドで入隅も平面も打ちやすい<br>●巻取りバネ強め<br>●液漏れしにくい高密閉設計<br>●危険を防止針収納ポイントカルコを標準装備<br>●フルオープンでメンテナンス簡単<br>●リール面ゴムグリップ<br><br>●墨汁による墨付け作業<br><br>●糸長さ(m)：15<br>●自動巻取糸長さ(m)：6<br><br>●糸の長さ：15m<br>●自動巻取糸長さ：6m<br>●糸の太さ：0.6mm<br>●墨タンク最大容量：7ml<br><br>●外装：ABS樹脂<br>●糸：ナイロン<br>●綿：セルロース<br>",【カード対応OK！】■〒ＴＪＭデザイン/タジマ【PS-SUM6BMX】(7537824) パーフェクト墨つぼ　ＢＯＭ　６ｍ　Ｘ 受注単位1：クローバー資材館,【カード対応OK！】■〒ＴＪＭデザイン/タジマ【PS-SUM6BMX】(7537824) パーフェクト墨つぼ　ＢＯＭ　６ｍ　Ｘ 受注単位1,工事用品\測量用品\墨つぼ・チョークリール。【カード対応OK！】■〒ＴＪＭデザイン/タジマ【PS-SUM6BMX】(7537824) パーフェクト墨つぼ　ＢＯＭ　６ｍ　Ｘ 受注単位1[rn]
10-21355,,1224.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒シンワ測定/シンワ【73283】(7569041) ハンディ墨つぼＪｒ．Ｐｌｕｓ自動巻コーラルレッド 受注単位1,工事用品\測量用品\墨つぼ・チョークリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●新ロック機構採用のタンク蓋で開閉がし易くなりました。<br>●ナスカン対応のフック穴付で高所作業で必須の落下防止コードも取り付け可能です。<br>●セイフティリングで糸の出し入れがスムーズです。<br><br>●墨液を使用した基準出しに。<br><br>●糸長さ(m)：15<br>●自動巻取糸長さ(m)：8<br><br>●幅ｘ奥行ｘ高さ：70ｘ38x175mm<br><br>●ABS樹脂、ポリアセタール樹脂、シリコンゴム<br>",『カード対応OK！』■〒シンワ測定/シンワ【73283】(7569041) ハンディ墨つぼＪｒ．Ｐｌｕｓ自動巻コーラルレッド 受注単位1：クローバー資材館,『カード対応OK！』■〒シンワ測定/シンワ【73283】(7569041) ハンディ墨つぼＪｒ．Ｐｌｕｓ自動巻コーラルレッド 受注単位1,工事用品\測量用品\墨つぼ・チョークリール。『カード対応OK！』■〒シンワ測定/シンワ【73283】(7569041) ハンディ墨つぼＪｒ．Ｐｌｕｓ自動巻コーラルレッド 受注単位1[rn]
10-21356,,1785.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒シンワ測定/シンワ【73281】(7569025) ハンディ墨つぼＰｒｏＰｌｕｓ自動巻ブルー 受注単位1,工事用品\測量用品\墨つぼ・チョークリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●新ロック機構採用のタンク蓋で開閉がし易くなりました。<br>●ナスカン対応のフック穴付で高所作業で必須の落下防止コードも取り付け可能です。<br>●セイフティリングで糸の出し入れがスムーズです。<br><br>●墨液を使用した基準出しに。<br><br>●糸長さ(m)：20<br>●自動巻取糸長さ(m)：10<br>●質量(g)：190<br><br>●幅ｘ奥行ｘ高さ：81x40x200mm<br><br>●ABS樹脂、ポリアセタール樹脂、シリコンゴム<br>",『カード対応OK！』■〒シンワ測定/シンワ【73281】(7569025) ハンディ墨つぼＰｒｏＰｌｕｓ自動巻ブルー 受注単位1：クローバー資材館,『カード対応OK！』■〒シンワ測定/シンワ【73281】(7569025) ハンディ墨つぼＰｒｏＰｌｕｓ自動巻ブルー 受注単位1,工事用品\測量用品\墨つぼ・チョークリール。『カード対応OK！』■〒シンワ測定/シンワ【73281】(7569025) ハンディ墨つぼＰｒｏＰｌｕｓ自動巻ブルー 受注単位1[rn]
10-21357,,204.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒シンワ測定/シンワ【77453】(7652071) ハンディ白糸巻２用本体固定針２ヶ入り 受注単位1,工事用品\測量用品\墨つぼ・チョークリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ハンディ白糸巻２用の固定針です。<br><br>●ハンディ白糸巻２の針交換に。<br><br>●色：なし<br>●長さ(m)：なし<br>●線径(mm)：なし<br><br>●ハンディ白糸巻２本体に２ヶ取付<br><br>●ABS樹脂<br>●バネ鋼<br>",『カード対応OK！』■〒シンワ測定/シンワ【77453】(7652071) ハンディ白糸巻２用本体固定針２ヶ入り 受注単位1：クローバー資材館,『カード対応OK！』■〒シンワ測定/シンワ【77453】(7652071) ハンディ白糸巻２用本体固定針２ヶ入り 受注単位1,工事用品\測量用品\墨つぼ・チョークリール。『カード対応OK！』■〒シンワ測定/シンワ【77453】(7652071) ハンディ白糸巻２用本体固定針２ヶ入り 受注単位1[rn]
10-21358,,2404.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒原度器/プロマート【TIW】(7587058) プロマート　チタン粉 受注単位1,工事用品\測量用品\墨つぼ・チョークリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●メガライン用チタン粉です。<br><br><br>●色：白<br>●容量(g)：1000<br>●質量(g)：1100<br><br><br>",『カード対応OK！』■〒原度器/プロマート【TIW】(7587058) プロマート　チタン粉 受注単位1：クローバー資材館,『カード対応OK！』■〒原度器/プロマート【TIW】(7587058) プロマート　チタン粉 受注単位1,工事用品\測量用品\墨つぼ・チョークリール。『カード対応OK！』■〒原度器/プロマート【TIW】(7587058) プロマート　チタン粉 受注単位1[rn]
10-21359,,1275.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒シンワ測定/シンワ【77446】(7652062) ハンディ白糸巻２自動巻パープリッシュレッド 受注単位1,工事用品\測量用品\墨つぼ・チョークリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●どこでも使用可能な薄型・軽量のコンパクトなサイズです。<br>●工具を使用せずに分解可能で針や糸の交換が容易です。<br>●針と針の間隔が広いので刺した時に本体が安定します。<br>●安全な針カバー付で、使用時は片手でカバーをスムーズに押し下げできます。<br><br>●大工、板金、土建、内装の基準出し作業に。<br><br>●色：黄<br>●線径(mm)：0.6<br>●タイプ：自動巻<br>●糸長さ(m)：15<br><br>●縦ｘ横ｘ奥行（ｍｍ）：110ｘ69ｘ31<br><br>●本体：ABS樹脂、ポリアセタール樹脂<br>●ゼンマイ：ステンレス<br>",『カード対応OK！』■〒シンワ測定/シンワ【77446】(7652062) ハンディ白糸巻２自動巻パープリッシュレッド 受注単位1：クローバー資材館,『カード対応OK！』■〒シンワ測定/シンワ【77446】(7652062) ハンディ白糸巻２自動巻パープリッシュレッド 受注単位1,工事用品\測量用品\墨つぼ・チョークリール。『カード対応OK！』■〒シンワ測定/シンワ【77446】(7652062) ハンディ白糸巻２自動巻パープリッシュレッド 受注単位1[rn]
10-21360,,1581.6000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒ＴＪＭデザイン/タジマ【PS-SUM6BM】(7537808) パーフェクト墨つぼ　ボム　６ｍ 受注単位1,工事用品\測量用品\墨つぼ・チョークリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●マルチヘッドで入隅も平面も打ちやすいです。<br>●液漏れしにくい高密閉設計です。<br>●フルオープンでメンテナンスが簡単です。<br>●マルチヘッドで入隅も平面も打ちやすい<br>●巻取りバネ強め<br>●液漏れしにくい高密閉設計<br>●危険を防止針収納ポイントカルコを標準装備<br>●フルオープンでメンテナンス簡単<br>●リール面ゴムグリップ<br><br>●墨汁による墨付け作業<br><br>●糸長さ(m)：15<br>●自動巻取糸長さ(m)：6<br><br>●糸の長さ：15m<br>●自動巻取糸長さ：6m<br>●糸の太さ：0.6mm<br>●墨タンク最大容量：7ml<br><br>●外装：ABS樹脂<br>●糸：ナイロン<br>●綿：セルロース<br>",【カード対応OK！】■〒ＴＪＭデザイン/タジマ【PS-SUM6BM】(7537808) パーフェクト墨つぼ　ボム　６ｍ 受注単位1：クローバー資材館,【カード対応OK！】■〒ＴＪＭデザイン/タジマ【PS-SUM6BM】(7537808) パーフェクト墨つぼ　ボム　６ｍ 受注単位1,工事用品\測量用品\墨つぼ・チョークリール。【カード対応OK！】■〒ＴＪＭデザイン/タジマ【PS-SUM6BM】(7537808) パーフェクト墨つぼ　ボム　６ｍ 受注単位1[rn]
10-21361,,816.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒シンワ測定/シンワ【73284】(7569050) ハンディ墨つぼＪｒ．Ｐｌｕｓ手巻ブラック 受注単位1,工事用品\測量用品\墨つぼ・チョークリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●新ロック機構採用のタンク蓋で開閉がし易くなりました。<br>●ナスカン対応のフック穴付で高所作業で必須の落下防止コードも取り付け可能です。<br>●セイフティリングで糸の出し入れがスムーズです。<br><br>●墨液を使用した基準出しに。<br><br>●糸長さ(m)：30<br><br>●幅ｘ奥行ｘ高さ：70ｘ38ｘ160mm<br><br>●ABS樹脂、ポリアセタール樹脂、シリコンゴム<br>",『カード対応OK！』■〒シンワ測定/シンワ【73284】(7569050) ハンディ墨つぼＪｒ．Ｐｌｕｓ手巻ブラック 受注単位1：クローバー資材館,『カード対応OK！』■〒シンワ測定/シンワ【73284】(7569050) ハンディ墨つぼＪｒ．Ｐｌｕｓ手巻ブラック 受注単位1,工事用品\測量用品\墨つぼ・チョークリール。『カード対応OK！』■〒シンワ測定/シンワ【73284】(7569050) ハンディ墨つぼＪｒ．Ｐｌｕｓ手巻ブラック 受注単位1[rn]
10-21362,,392.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒たくみ【2202】(2458918) 粉チョーク　青 受注単位1,工事用品\測量用品\墨つぼ・チョークリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●重質粉を使用しているので線がつきやすく、飛び散りません。<br>●完全密封容器入りなので、変色せず、着色が同じです。<br>●飛び散りにくい重質粉チョークです。<br><br>●チョークライン用。<br>●チョークライン用粉チョーク<br><br>●色：青<br>●容量(g)：300<br>●質量(g)：340<br><br>●色：青<br>●容量（g）：３００<br>●ボトルサイズ（ｍｍ）：直径約６０×１９５<br><br>●炭酸カルシウム<br>",『カード対応OK！』■〒たくみ【2202】(2458918) 粉チョーク　青 受注単位1：クローバー資材館,『カード対応OK！』■〒たくみ【2202】(2458918) 粉チョーク　青 受注単位1,工事用品\測量用品\墨つぼ・チョークリール。『カード対応OK！』■〒たくみ【2202】(2458918) 粉チョーク　青 受注単位1[rn]
10-21363,,6577.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒原度器/プロマート【MLN50】(7587040) メガライン２倍速 受注単位1,工事用品\測量用品\墨つぼ・チョークリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●画線作業のライン引きに最適です。<br>●チタン粉（別売）で消えにくいです。<br><br>●画線作業に。<br><br>●糸長さ(m)：50<br>●自動巻取糸長さ(m)：0<br>●巻取機能：２倍速<br>●質量(g)：790<br><br><br>●本体（ABS)<br>●糸（綿）<br>",『カード対応OK！』■〒原度器/プロマート【MLN50】(7587040) メガライン２倍速 受注単位1：クローバー資材館,『カード対応OK！』■〒原度器/プロマート【MLN50】(7587040) メガライン２倍速 受注単位1,工事用品\測量用品\墨つぼ・チョークリール。『カード対応OK！』■〒原度器/プロマート【MLN50】(7587040) メガライン２倍速 受注単位1[rn]
