10-92501,http://tshop.r10s.jp/hotroadtoyohashi/cabinet/1610/7161013407_1.jpg?fitin=700:700,7128.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,ワイドトレッドスペーサー ワイトレ 10mm PCD114.3 5H PT1.5 スチール製 ブレイス：BZ-102,【10000円～送料無料】【定番商品】,ツライチ！に決めるワイトレシリーズに10mmタイプ登場<br>通常のスペーサーでは対応が難しい大幅なオフセット・トレッドの変更に対応可能！<br> 足元がキラリと光る！ワイドトレッドスペーサーです。<br> <br><br>耐久に優れたスチール製です。<br> ボルト、ナットは純正以上の強度と安心の浸炭焼き入れクロムモリブデン鋼　<br><br> <br> ■仕様<br><br> 厚さ：10mm<br> P.C.D：114.3<br> 穴数：5<br> ピッチ：1.5<br> ハブ径：約73mm<br> 入数：2個<br> <br> <br> 【注意事項】<br> ・本製品はショーカー及び競技車両専用パーツです。一般公道での使用はおやめ下さい。<br> ・本製品は2個1セットです。4輪に使用する場合、2セット必要となります。<br> ・本製品はアルミホール専用です。鉄ホイールには使用できません。<br> ・本製品を装着することでタイヤ及びホイールがボディよりはみ出したり、フェンダーやタイヤハウスと接触したりする場合があります。必ず充分に確認した上でご使用下さい。<br> ・本製品は必ず単独でご使用下さい。他のスペーサー類との併用は絶対におやめ下さい。<br><br><br>,ワイドトレッドスペーサー ワイトレ 10mm PCD114.3 5H PT1.5 スチール製 ブレイス：BZ-102：カー用品のHot Road Second Shop,ワイドトレッドスペーサー ワイトレ 10mm PCD114.3 5H PT1.5 スチール製 ブレイス：BZ-102,【10000円～送料無料】【定番商品】。ワイドトレッドスペーサー ワイトレ 10mm PCD114.3 5H PT1.5 スチール製 ブレイス：BZ-102[rn]
10-92512,http://tshop.r10s.jp/hotroad/cabinet/1503/7150320515_1.jpg?fitin=700:700,1902.4000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径56mm PCD100 4穴/5穴 ホンダ 三菱 スバル 7mm/R567,,従来のホイールスペーサーとは違い、スペーサーの内径を<br>ハブ径に合わせたスペーサーです。<br><br>ホイール取り付けのセンターのズレをなくし、ハンドリングへの<br>振動、高速走行時の振動を抑制します。<br><br>製造：日本製<br>材質：アルミダイカスト<br>厚さ：7mm<br>4穴/5穴マルチ共用タイプ 2枚セット<br><br>◆適合について◆<br>ホンダ、ミツビシ、スバル車の一部、その他車種で<br>ハブ径56mm、PCD：100の車両<br><br>◆注意◆<br>適合を間違えて購入した場合は、返品・交換はお受けできません。<br><br>,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径56mm PCD100 4穴/5穴 ホンダ 三菱 スバル 7mm/R567：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットHKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径56mm PCD100 4穴/5穴 ホンダ 三菱 スバル 7mm/R567,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径56mm PCD100 4穴/5穴 ホンダ 三菱 スバル 7mm/R567[rn]
10-92513,http://tshop.r10s.jp/hotroad/cabinet/1604/1160426500_1.jpg?fitin=700:700,404.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,メール便対応 HKB シルバー ホイールスペーサー 3mm PCD100 PCD114.3 4穴 5穴 2枚入 HKWS3,ホイールスペーサー 3mm,シャープなハンドリング、優れた直進安定性を生み出します。<br><br>P.C.D.100/114.3で4穴・5穴兼用です。<br>2枚入りでコストパフォーマンスに優れたホイールスペーサーです。<br><br>タイヤをさりげなくボディワイドまで広げることでよりいっそうお洒落な外観と優れた安定性を楽しめます。<br><br>■仕様<br>厚さ：3mm<br>外径：135mm<br>内径：79mm<br>ボルト穴径：12.5mm<br>対応PCD：100/114.3 両方対応<br>対応穴数：4穴/5穴 両方対応<br>カラー：シルバー<br>材質：アルミダイカスト<br>数量：2枚入り<br>※ハブボルトが短いときは別売りロングハブボルトをご利用ください。<br>※装着出来ない等の返品は、お受付出来ません。<br><br>■メール便での発送について<br>サイズに制限があるため【4枚（2セット）】までがメール便で発送可能です。<br>それ以上の場合は、宅急便（送料700円～1700円）での発送となりますので<br>予めご了承下さい。<br><br><b><font size=+1>【製品仕様】</font></b><br><table width=600 cellpadding=3 cellspacing=1 bgcolor=#666666><tr bgcolor=#999999><td width=155><font color=#FFFFFF><b>穴数/PCD</b></font></td><td width=110><font color=#FFFFFF><b>厚さ</b></font></td><td width=110><font color=#FFFFFF><b>外径</b></font></td><td width=110><font color=#FFFFFF><b>内径</b></font></td><td width=115><font color=#FFFFFF><b>ボルト穴径</b></font></td></tr><tr align=center bgcolor=#FFFFFF><td>4H 100/114.3兼用<br>5H 100/114.3兼用</td><td>3mm</td><td>135mm</td><td>79mm</td><td>12.5mm</td></tr></table><br><table width=600 border=0 cellspacing=0 cellpadding=0><tr><td width=150>●JANコード</td><td width=450>：4991138300093</td></tr><tr><td>●カラー</td><td>：シルバー</td></tr><tr><td>●材質</td><td>：アルミダイカスト</td></tr></table><br><br><b><font size=+1>【注意事項】</font></b><br>・ハブボルトが短いときは別売りのロングハブボルトをご利用ください。<br>・本製品を装着することでタイヤ及びホイールがボディよりはみ出したり、フェンダーやタイヤハウスと接触したりする場合もあります。必ずクリアランス等を十分に確認した上でご使用下さい。<br><br><font color=#FF0000>※装着出来ない等の返品はお受付出来ません。</font>,メール便対応 HKB シルバー ホイールスペーサー 3mm PCD100 PCD114.3 4穴 5穴 2枚入 HKWS3：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットメール便対応 HKB シルバー ホイールスペーサー 3mm PCD100 PCD114.3 4穴 5穴 2枚入 HKWS3,ホイールスペーサー 3mm。メール便対応 HKB シルバー ホイールスペーサー 3mm PCD100 PCD114.3 4穴 5穴 2枚入 HKWS3[rn]
10-92514,http://tshop.r10s.jp/hotroad/cabinet/1503/7150320503_1.jpg?fitin=700:700,1902.4000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径60mm PCD114.3 4穴/5穴 トヨタ スズキ 7mm/T607,,従来のホイールスペーサーとは違い、スペーサーの内径を<br>ハブ径に合わせたスペーサーです。<br><br>ホイール取り付けのセンターのズレをなくし、ハンドリングへの<br>振動、高速走行時の振動を抑制します。<br><br>製造：日本製<br>材質：アルミダイカスト<br>厚さ：7mm<br>4穴/5穴マルチ共用タイプ 2枚セット<br><br>◆適合について◆<br>レクサス、トヨタ、スズキ車の一部、その他車種で<br>ハブ径60mm、PCD：114.3の車両<br><br>◆注意◆<br>適合を間違えて購入した場合は、返品・交換はお受けできません。<br><br>,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径60mm PCD114.3 4穴/5穴 トヨタ スズキ 7mm/T607：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットHKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径60mm PCD114.3 4穴/5穴 トヨタ スズキ 7mm/T607,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径60mm PCD114.3 4穴/5穴 トヨタ スズキ 7mm/T607[rn]
10-92515,http://tshop.r10s.jp/hotroad/cabinet/1503/7150320517_1.jpg?fitin=700:700,1902.4000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径54mm PCD100 4穴/5穴 トヨタ マツダ スズキ ダイハツ 5mm/D545,,従来のホイールスペーサーとは違い、スペーサーの内径を<br>ハブ径に合わせたスペーサーです。<br><br>ホイール取り付けのセンターのズレをなくし、ハンドリングへの<br>振動、高速走行時の振動を抑制します。<br><br>製造：日本製<br>材質：アルミダイカスト<br>厚さ：5mm<br>4穴/5穴マルチ共用タイプ 2枚セット<br><br>◆適合について◆<br>トヨタ、マツダ、スズキ、ダイハツ車の一部、その他車種で<br>ハブ径54mm、PCD：100の車両<br><br>◆注意◆<br>適合を間違えて購入した場合は、返品・交換はお受けできません。<br><br>,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径54mm PCD100 4穴/5穴 トヨタ マツダ スズキ ダイハツ 5mm/D545：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットHKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径54mm PCD100 4穴/5穴 トヨタ マツダ スズキ ダイハツ 5mm/D545,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径54mm PCD100 4穴/5穴 トヨタ マツダ スズキ ダイハツ 5mm/D545[rn]
10-92516,http://tshop.r10s.jp/hotroad/cabinet/1503/7150320512_1.jpg?fitin=700:700,1902.4000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径67mm PCD114.3 4穴/5穴 マツダ 三菱 7mm/M677,,従来のホイールスペーサーとは違い、スペーサーの内径を<br>ハブ径に合わせたスペーサーです。<br><br>ホイール取り付けのセンターのズレをなくし、ハンドリングへの<br>振動、高速走行時の振動を抑制します。<br><br>製造：日本製<br>材質：アルミダイカスト<br>厚さ：7mm<br>4穴/5穴マルチ共用タイプ 2枚セット<br><br>◆適合について◆<br>マツダ、ミツビシ車の一部、その他車種で<br>ハブ径67mm、PCD：114.3の車両<br><br>◆注意◆<br>適合を間違えて購入した場合は、返品・交換はお受けできません。<br><br>,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径67mm PCD114.3 4穴/5穴 マツダ 三菱 7mm/M677：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットHKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径67mm PCD114.3 4穴/5穴 マツダ 三菱 7mm/M677,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径67mm PCD114.3 4穴/5穴 マツダ 三菱 7mm/M677[rn]
10-92517,http://tshop.r10s.jp/hotroad/cabinet/1011/1101105801_1.jpg?fitin=700:700,1902.4000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,HKB 炎のレッドホイールスペーサー10mm4/5穴PCD100/114.3 2枚入 HK-50/,,ツライチ派にお勧め！フェンダーの中に入ってしまったホイールは寒い！<br>後少し外にホイールが出ればツライチなのにとお悩みのアナタ！<br>また、ほぼすべての国産車に適合いたします。<br>※対応PCD、ボルト穴径を良くご確認下さい。 <br><br><br>●仕様<br>・厚さ：10mm<br>・外径：135mm<br>・内径：74mm<br>・ボルト穴径：12.5mm<br>・対応PCD：100/114.3両方対応します<br>・穴数：4穴/5穴両方対応します。<br>・素材：アルミ<br>・カラー：レッド<br>（アルマイト処理ではございません。塗装となります。）<br>・数量：2個入り<br>（フロント、リアでお使い頂く場合2セットご注文下さい。）<br><br>●メーカー品番：HK-50<br>●メーカー：HKB SPORTS / 東栄産業<br><br>,HKB 炎のレッドホイールスペーサー10mm4/5穴PCD100/114.3 2枚入 HK-50/：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットHKB 炎のレッドホイールスペーサー10mm4/5穴PCD100/114.3 2枚入 HK-50/,HKB 炎のレッドホイールスペーサー10mm4/5穴PCD100/114.3 2枚入 HK-50/[rn]
10-92518,http://tshop.r10s.jp/hotroad/cabinet/0812/1081201111_1.jpg?fitin=700:700,1156.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,HKB シルバーホイールスペーサー 8mm PCD100/114.3 4/5穴 4枚入 HKWS8/,,シャープなハンドリング、優れた直進安定性を生み出します。<br><br>P.C.D.100/114.3で4穴・5穴兼用です。<br>4枚入りでコストパフォーマンスに優れたホイールスペーサーです。<br><br>タイヤをさりげなくボディワイドまで広げることでよりいっそうお洒落な外観と優れた安定性を楽しめます。<BR><br><br>■仕様<br>厚さ：8mm<br>外径：135mm<br>内径：79mm<br>ボルト穴径：12.5mm<br>対応PCD：100/114.3 両方対応<br>対応穴数：4穴/5穴 両方対応<br>カラー：シルバー<br>材質：アルミダイカスト<br>数量：4枚入り<br>※ハブボルトが短いときは別売りロングハブボルトをご利用ください。<br>※装着出来ない等の返品は、お受付出来ません。<br><br>,HKB シルバーホイールスペーサー 8mm PCD100/114.3 4/5穴 4枚入 HKWS8/：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットHKB シルバーホイールスペーサー 8mm PCD100/114.3 4/5穴 4枚入 HKWS8/,HKB シルバーホイールスペーサー 8mm PCD100/114.3 4/5穴 4枚入 HKWS8/[rn]
10-92519,http://tshop.r10s.jp/hotroad/cabinet/1503/7150320507_1.jpg?fitin=700:700,1902.4000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径64mm PCD114.3 4穴/5穴 ホンダ 3mm/H643,,従来のホイールスペーサーとは違い、スペーサーの内径を<br>ハブ径に合わせたスペーサーです。<br><br>ホイール取り付けのセンターのズレをなくし、ハンドリングへの<br>振動、高速走行時の振動を抑制します。<br><br>製造：日本製<br>材質：アルミダイカスト<br>厚さ：3mm<br>4穴/5穴マルチ共用タイプ 2枚セット<br><br>◆適合について◆<br>ホンダ車の一部、その他車種で<br>ハブ径64mm、PCD：114.3の車両<br><br>◆注意◆<br>適合を間違えて購入した場合は、返品・交換はお受けできません。<br><br>,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径64mm PCD114.3 4穴/5穴 ホンダ 3mm/H643：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットHKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径64mm PCD114.3 4穴/5穴 ホンダ 3mm/H643,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径64mm PCD114.3 4穴/5穴 ホンダ 3mm/H643[rn]
10-92520,http://tshop.r10s.jp/hotroad/cabinet/1503/7150320518_1.jpg?fitin=700:700,1902.4000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径54mm PCD100 4穴/5穴 トヨタ マツダ スズキ ダイハツ 7mm/D547,,従来のホイールスペーサーとは違い、スペーサーの内径を<br>ハブ径に合わせたスペーサーです。<br><br>ホイール取り付けのセンターのズレをなくし、ハンドリングへの<br>振動、高速走行時の振動を抑制します。<br><br>製造：日本製<br>材質：アルミダイカスト<br>厚さ：7mm<br>4穴/5穴マルチ共用タイプ 2枚セット<br><br>◆適合について◆<br>トヨタ、マツダ、スズキ、ダイハツ車の一部、その他車種で<br>ハブ径54mm、PCD：100の車両<br><br>◆注意◆<br>適合を間違えて購入した場合は、返品・交換はお受けできません。<br><br>,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径54mm PCD100 4穴/5穴 トヨタ マツダ スズキ ダイハツ 7mm/D547：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットHKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径54mm PCD100 4穴/5穴 トヨタ マツダ スズキ ダイハツ 7mm/D547,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径54mm PCD100 4穴/5穴 トヨタ マツダ スズキ ダイハツ 7mm/D547[rn]
10-92521,http://tshop.r10s.jp/hotroad/cabinet/1503/7150320504_1.jpg?fitin=700:700,1902.4000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径66mm PCD114.3 4穴/5穴 ニッサン 3mm/N663,,従来のホイールスペーサーとは違い、スペーサーの内径を<br>ハブ径に合わせたスペーサーです。<br><br>ホイール取り付けのセンターのズレをなくし、ハンドリングへの<br>振動、高速走行時の振動を抑制します。<br><br>製造：日本製<br>材質：アルミダイカスト<br>厚さ：3mm<br>4穴/5穴マルチ共用タイプ 2枚セット<br><br>◆適合について◆<br>ニッサン車の一部、その他車種で<br>ハブ径66mm、PCD：114.3の車両<br><br>◆注意◆<br>適合を間違えて購入した場合は、返品・交換はお受けできません。<br><br>,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径66mm PCD114.3 4穴/5穴 ニッサン 3mm/N663：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットHKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径66mm PCD114.3 4穴/5穴 ニッサン 3mm/N663,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径66mm PCD114.3 4穴/5穴 ニッサン 3mm/N663[rn]
10-92522,http://tshop.r10s.jp/hotroad/cabinet/1503/7150320513_1.jpg?fitin=700:700,1902.4000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径56mm PCD100 4穴/5穴 ホンダ 三菱 スバル 3mm/R563,,従来のホイールスペーサーとは違い、スペーサーの内径を<br>ハブ径に合わせたスペーサーです。<br><br>ホイール取り付けのセンターのズレをなくし、ハンドリングへの<br>振動、高速走行時の振動を抑制します。<br><br>製造：日本製<br>材質：アルミダイカスト<br>厚さ：3mm<br>4穴/5穴マルチ共用タイプ 2枚セット<br><br>◆適合について◆<br>ホンダ、ミツビシ、スバル車の一部、その他車種で<br>ハブ径56mm、PCD：100の車両<br><br>◆注意◆<br>適合を間違えて購入した場合は、返品・交換はお受けできません。<br><br>,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径56mm PCD100 4穴/5穴 ホンダ 三菱 スバル 3mm/R563：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットHKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径56mm PCD100 4穴/5穴 ホンダ 三菱 スバル 3mm/R563,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径56mm PCD100 4穴/5穴 ホンダ 三菱 スバル 3mm/R563[rn]
