17-104399,http://tshop.r10s.jp/gold/1make/images2/67.jpg?fitin=700:700,1428.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,デミ ヘアシーズンズトリートメント スムース 250g  [ヘルスケア&ケア用品]送料無料!!!!,指通りの良い髪に仕上るトリートメント☆,"<center><font size=""2"" color=""#FF0000"">※※※ご注文前に必ずお読みください※※※<br>→【配送方法の選択に関して】←</font></center><br>
<br>
<b>旬(SEASON)とは、すべてが美しく輝き、魅力に溢れている瞬間です。
その旬な輝きや美しさに人は心を奪われ、永遠に続くよう望み憧れます。
すべての女性は髪にもそんな旬の輝き、美しさを求めています。
<br>
“HAIR SEASONS”<br>
いつまでも美しく輝く髪へと導くヘアケアシリーズです。</b><br>
<br>
手肌が荒れやすい方、頭皮が乾燥しやすい方、マイルドな洗浄力で洗い上げたい方におすすめです☆
<br>
キューティクルを補強し、サラサラとした指通りの良い髪に導きます。 
<br>",デミ ヘアシーズンズトリートメント スムース 250g  [ヘルスケア&amp;ケア用品]送料無料!!!!：サロン専売品の通販サイト／1make,サロン専売品通販シャンプートリートメント美容院美容室デミ ヘアシーズンズトリートメント スムース 250g  [ヘルスケア&amp;ケア用品]送料無料!!!!,指通りの良い髪に仕上るトリートメント☆。デミ ヘアシーズンズトリートメント スムース 250g  [ヘルスケア&amp;ケア用品]送料無料!!!![rn]
17-104480,http://tshop.r10s.jp/soukai/cabinet/66/4989828004666.jpg?fitin=700:700,1052.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,クールグリースGフラット(210g)【クールグリース】,クールグリース★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞ヘアスタイリング＞男性用ワックス＞クールグリースGフラット (210g)<br><br>★税抜1900円以上で送料無料★<br><br>【クールグリースGフラットの商品詳細】<br>●従来のグリースGのセット力、キープ力、使用感の良さはそのままにツヤをわずかに(半音)抑えたクールグリースGの姉妹品です。<br>●Gの良さをそのままにフォーマルにも対応したグリースです。<br>●香り：ライム<br>●性質：水溶性<br>●セット力指数：★★★★<br><br>【成分】<br>水、PEG-40水添ヒマシ油、ステアレス-40、PEG-20水添ヒマシ油、グリセリン、PEG-10水添ヒマシ油、ヒマシ油、メチルパラベン、エチルパラベン、ブチルパラベン、プロピルパラベン、EDTA-2Na、BHT、青205、香料<br><br>【ブランド】<br>クールグリース<br><br>【発売元、製造元、輸入元又は販売元】<br>阪本高生堂<br><br>(クールグリースG♭)<br><br>阪本高生堂<br>112-0014 東京都文京区関口1-15-１2<br>03-3269-6621<br><br>広告文責：株式会社爽快ドラッグ<br><br>[ヘアスタイリング/ブランド：クールグリース/],クールグリースGフラット(210g)【クールグリース】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションクールグリースGフラット(210g)【クールグリース】,クールグリース★税抜1900円以上で送料無料★。クールグリースGフラット(210g)【クールグリース】[rn]
17-104481,http://tshop.r10s.jp/soukai/cabinet/62/4989793923962.jpg?fitin=700:700,1040.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,ナカノ スタイリングワックス 4 ファイバータイプ(90g)【ナカノ】[ワックス スタイリング剤],ナカノ / ワックス スタイリング剤★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞ヘアスタイリング＞女性用ワックス＞ナカノ スタイリングワックス 4 ファイバータイプ (90g)<br><br>★税抜1900円以上で送料無料★<br><br>【ナカノ スタイリングワックス 4 ファイバータイプの商品詳細】<br>●自然でしっかりした毛先の動きと毛束感をあたえ、ヘアスタイルを長時間キープします。<br>●ヘアカラーの退色を防止します。<br>●プロフェッショナル用<br><br>【使い方】<br>・はじめにご使用のときはねじキャップをはずし、内ブタをとってからお使いください。<br>・適量を手のひらに取ってのばし、スタイリングしてください。<br><br>【成分】<br>水、マイクロクリススタイリンワックス、コハク酸ジオクチル、セテス-10、キャンデリラロウ、ヒドロキシステアリン酸、BG、セテス-6、シア脂、ステアリン酸グリセリル(SE)、PEG-90M、スクワラン、水酸化Na、フェノキシエタノール、メチルパラベン、プロピルパラベン、香料<br>【注意】<br>・目に入ったときは、すぐに水で洗い流してください。<br>・使用中や使用後に刺激等の異常があらわれたときは使用を中止し、皮膚科専門医等へのご相談をおすすめします。<br>・本品は糸をひきますので手にとるときに衣服等を汚さないようご注意ださい。<br>・使用後はきちんとフタをしめてください。<br>・マニキュア、皮革製品、プラスティック製品、家具などに付着すると変色したりツヤがなくなる場合があります。<br>・高温または低温の場所、直射日光のあたる場所には保管しないでください。<br>・高温の場所に保管すると、クリームがかたまり糸がひかなくなる場合があります。<br><br>【ブランド】<br>ナカノ<br><br>【発売元、製造元、輸入元又は販売元】<br>爽快ドラッグ<br><br>爽快ドラッグ<br>532-0011 大阪市淀川区西中島1-11-16 新大阪CSPビル本館3階<br>0570-666-632<br><br>広告文責：株式会社爽快ドラッグ<br><br>[ヘアスタイリング/ブランド：ナカノ/],ナカノ スタイリングワックス 4 ファイバータイプ(90g)【ナカノ】[ワックス スタイリング剤]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションナカノ スタイリングワックス 4 ファイバータイプ(90g)【ナカノ】[ワックス スタイリング剤],ナカノ / ワックス スタイリング剤★税抜1900円以上で送料無料★。ナカノ スタイリングワックス 4 ファイバータイプ(90g)【ナカノ】[ワックス スタイリング剤][rn]
17-104482,http://tshop.r10s.jp/soukai/cabinet/79/4989793923979.jpg?fitin=700:700,1040.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,ナカノ スタイリングワックス 5 ファイバータイプ(90g)【ナカノ】[ワックス スタイリング剤],ナカノ / ワックス スタイリング剤★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞ヘアスタイリング＞女性用ワックス＞ナカノ スタイリングワックス 5 ファイバータイプ (90g)<br><br>★税抜1900円以上で送料無料★<br><br>【ナカノ スタイリングワックス 5 ファイバータイプの商品詳細】<br>●超ハードなホールド力でヘアスタイルを長時間キープします。<br>●ヘアカラーの退色を防止します。<br>●プロフェッショナル用<br><br>【使い方】<br>・はじめにご使用のときはねじキャップをはずし、内ブタをとってからお使いください。<br>・適量を手のひらに取ってのばし、スタイリングしてください。<br><br>【成分】<br>水、マイクロクリススタイリンワックス、コハク酸ジオクチル、セテス-10、キャンデリラロウ、ヒドロキシステアリン酸、BG、セテス-6、ステアリン酸グリセリル(SE)、シア脂、PEG-90M、スクワラン、水酸化Na、フェノキシエタノール、メチルパラベン、プロピルパラベン、香料<br>【注意】<br>・目に入ったときは、すぐに水で洗い流してください。<br>・使用中や使用後に刺激等の異常があらわれたときは使用を中止し、皮膚科専門医等へのご相談をおすすめします。<br>・本品は糸をひきますので手にとるときに衣服等を汚さないようご注意ださい。<br>・使用後はきちんとフタをしめてください。<br>・マニキュア、皮革製品、プラスティック製品、家具などに付着すると変色したりツヤがなくなる場合があります。<br>・高温または低温の場所、直射日光のあたる場所には保管しないでください。<br>・高温の場所に保管すると、クリームがかたまり糸がひかなくなる場合があります。<br><br>【ブランド】<br>ナカノ<br><br>【発売元、製造元、輸入元又は販売元】<br>爽快ドラッグ<br><br>爽快ドラッグ<br>532-0011 大阪市淀川区西中島1-11-16 新大阪CSPビル本館3階<br>0570-666-632<br><br>広告文責：株式会社爽快ドラッグ<br><br>[ヘアスタイリング/ブランド：ナカノ/],ナカノ スタイリングワックス 5 ファイバータイプ(90g)【ナカノ】[ワックス スタイリング剤]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションナカノ スタイリングワックス 5 ファイバータイプ(90g)【ナカノ】[ワックス スタイリング剤],ナカノ / ワックス スタイリング剤★税抜1900円以上で送料無料★。ナカノ スタイリングワックス 5 ファイバータイプ(90g)【ナカノ】[ワックス スタイリング剤][rn]
17-104483,http://tshop.r10s.jp/soukai/cabinet/23/4526603023223.jpg?fitin=700:700,1148.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,デミ ウェーボ ジュカーラ ヘアカスタ 7(95g)【デミ】,デミ★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞ヘアスタイリング＞男性用ワックス＞デミ ウェーボ ジュカーラ ヘアカスタ 7 (95g)<br><br>★税抜1900円以上で送料無料★<br><br>【デミ ウェーボ ジュカーラ ヘアカスタ 7の商品詳細】<br>●「ヘアカスタ」は、ワックスでもミルクでもない、とろーり、なめらか、まるでカスタードクリームのようなテクスチャー。ベタつかず、「つけムラ」や「パサつき」を防ぎ、さらに高いキープ力でスタイルくずれの悩みにもアプローチ<br>●ふんわりパーマ ショート～ロング<br>ほどよい水分を保ちながら、ショートスタイルからパーマスタイルまで幅広い「ふんわり」感を楽しめます。<br><br>【成分】<br>水、キャンデリラロウ、シクロペンタシロキサン、エチルヘキサン酸アルキル(C14-18)、ステアリン酸、プロパンジオール、セテス-20、加水分解卵殻膜、ビルベリー葉エキス、マカデミアナッツ脂肪酸フィトステリル、塩化ヒドロキシプロピルトリモニウムデンプン、シリカ、ポリウレタン-14、メトキシケイヒ酸エチルヘキシル、セタノール、BG、セテス-6、アクリレーツコポリマーAMP、カルボマー、変性アルコール、AMP、メチルパラベン、プロピルパラベン、フェノキシエタノール、香料、カラメル<br><br>【ブランド】<br>デミ<br><br>【発売元、製造元、輸入元又は販売元】<br>爽快ドラッグ<br><br>(DEMI Uevo Jouecara デミ ウエーボ)<br><br>爽快ドラッグ<br>532-0011 大阪市淀川区西中島1-11-16 新大阪CSPビル本館3階<br>0570-666-632<br><br>広告文責：株式会社爽快ドラッグ<br><br>[ヘアスタイリング/ブランド：デミ/],デミ ウェーボ ジュカーラ ヘアカスタ 7(95g)【デミ】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションデミ ウェーボ ジュカーラ ヘアカスタ 7(95g)【デミ】,デミ★税抜1900円以上で送料無料★。デミ ウェーボ ジュカーラ ヘアカスタ 7(95g)【デミ】[rn]
17-104484,http://tshop.r10s.jp/soukai/cabinet/16/4526603023216.jpg?fitin=700:700,1148.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,デミ ウェーボ ジュカーラ ヘアカスタ 10(95g)【デミ】,デミ★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞ヘアスタイリング＞男性用ワックス＞デミ ウェーボ ジュカーラ ヘアカスタ 10 (95g)<br><br>★税抜1900円以上で送料無料★<br><br>【デミ ウェーボ ジュカーラ ヘアカスタ 10の商品詳細】<br>●「ヘアカスタ」は、ワックスでもミルクでもない、とろーり、なめらか、まるでカスタードクリームのようなテクスチャー。ベタつかず、「つけムラ」や「パサつき」を防ぎ、さらに高いキープ力でスタイルくずれの悩みにもアプローチ<br>●カチッとパーマ メンズスタイル ベリーショート～ショート<br>強いセット力なのにベタつかず、毛先の動きや根元の立ち上がりの「かちっと」さを楽しめます。<br><br>【成分】<br>水、シクロペンタシロキサン、キャンデリラロウ、ミリスチン酸オクチルドデシル、マイクロクリスタリンワックス、ステアリン酸、プロパンジオール、セテス-20、セテス-10、エタノール、(アクリル酸アルキル／ジアセトンアクリルアミド)コポリマーAMP、セタノール、加水分解卵殻膜、ビルベリー葉エキス、マカデミアナッツ脂肪酸フィトステリル、塩化ヒドロキシプロピルトリモニウムデンプン、シリカ、ポリウレタン-14、メトキシケイヒ酸エチルヘキシル、BG、セテス-6、アクリレーツコポリマーAMP、カルボマー、変性アルコール、水酸化Na、メチルパラベン、プロピルパラベン、メチルイソチアゾリノン、香料、カラメル<br><br>【ブランド】<br>デミ<br><br>【発売元、製造元、輸入元又は販売元】<br>爽快ドラッグ<br><br>(DEMI Uevo Jouecara デミ ウエーボ)<br><br>爽快ドラッグ<br>532-0011 大阪市淀川区西中島1-11-16 新大阪CSPビル本館3階<br>0570-666-632<br><br>広告文責：株式会社爽快ドラッグ<br><br>[ヘアスタイリング/ブランド：デミ/],デミ ウェーボ ジュカーラ ヘアカスタ 10(95g)【デミ】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションデミ ウェーボ ジュカーラ ヘアカスタ 10(95g)【デミ】,デミ★税抜1900円以上で送料無料★。デミ ウェーボ ジュカーラ ヘアカスタ 10(95g)【デミ】[rn]
17-104485,http://tshop.r10s.jp/soukai/cabinet/47/4526603023247.jpg?fitin=700:700,1148.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,デミ ウェーボ ジュカーラ ヘアカスタ 2(95g)【デミ】,デミ★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞ヘアスタイリング＞男性用ワックス＞デミ ウェーボ ジュカーラ ヘアカスタ 2 (95g)<br><br>★税抜1900円以上で送料無料★<br><br>【デミ ウェーボ ジュカーラ ヘアカスタ 2の商品詳細】<br>●「ヘアカスタ」は、ワックスでもミルクでもない、とろーり、なめらか、まるでカスタードクリームのようなテクスチャー。ベタつかず、「つけムラ」や「パサつき」を防ぎ、さらに高いキープ力でスタイルくずれの悩みにもアプローチ<br>●まとまりのあるスタイル アレンジのベース ミディアム～ロング<br>ソフトなセット力で毛先をまとめ、やわらかいカールからストレートまで「しゅっと」したフォルムを楽しめます。<br><br>【成分】<br>水、シクロペンタシロキサン、コハク酸ジエチルヘキシル、セテス-20、BG、プロパンジオール、ジメチコノール、水添パーム油、セテアリルアルコール、セテス-6、加水分解卵殻膜、ビルベリー葉エキス、マカデミアナッツ脂肪酸フィトステリル、塩化ヒドロキシプロピルトリモニウムデンプン、シリカ、ポリウレタン-14、メトキシケイヒ酸エチルヘキシル、ダイマージリノール酸(フィトステリル／イソステアリル／セチル／ステアリル／ベヘニル)、セタノール、ベヘントリモニウムメトサルフェート、イソアルキル(C10-40)アミドプロピルエチルジモニウムエトサルフェート、(アクリレーツ／アクリル酸アルキル(C1-18)／アルキル(C1-8)アクリルアミド)コポリマーAMP、アクリレーツコポリマーAMP、カルボマー、エタノール、変性アルコール、AMP、ジメチコン、ビスセテアリルアモジメチコン、メチルパラベン、プロピルパラベン、エチルヘキシルグリセリン、メチルイソチアゾリノン、香料、カラメル<br><br>【ブランド】<br>デミ<br><br>【発売元、製造元、輸入元又は販売元】<br>爽快ドラッグ<br><br>(DEMI Uevo Jouecara デミ ウエーボ)<br><br>爽快ドラッグ<br>532-0011 大阪市淀川区西中島1-11-16 新大阪CSPビル本館3階<br>0570-666-632<br><br>広告文責：株式会社爽快ドラッグ<br><br>[ヘアスタイリング/ブランド：デミ/],デミ ウェーボ ジュカーラ ヘアカスタ 2(95g)【デミ】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションデミ ウェーボ ジュカーラ ヘアカスタ 2(95g)【デミ】,デミ★税抜1900円以上で送料無料★。デミ ウェーボ ジュカーラ ヘアカスタ 2(95g)【デミ】[rn]
17-104486,http://tshop.r10s.jp/soukai/cabinet/30/4526603023230.jpg?fitin=700:700,1148.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,デミ ウェーボ ジュカーラ ヘアカスタ 5(95g)【デミ】,デミ★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞ヘアスタイリング＞男性用ワックス＞デミ ウェーボ ジュカーラ ヘアカスタ 5 (95g)<br><br>★税抜1900円以上で送料無料★<br><br>【デミ ウェーボ ジュカーラ ヘアカスタ 5の商品詳細】<br>●「ヘアカスタ」は、ワックスでもミルクでもない、とろーり、なめらか、まるでカスタードクリームのようなテクスチャー。ベタつかず、「つけムラ」や「パサつき」を防ぎ、さらに高いキープ力でスタイルくずれの悩みにもアプローチ<br>●やんわりパーマ ショート～ロング<br>ヘアスタイルを決めすぎず、自然なニュアンスで「やんわり」ウェーブを楽しめます。<br><br>【成分】<br>水、シクロペンタシロキサン、エチルヘキサン酸アルキル(C14-18)、キャンデリラロウ、ステアリン酸、セテス-20、ミツロウ、加水分解卵殻膜、ビルベリー葉エキス、マカデミアナッツ脂肪酸フィトステリル、塩化ヒドロキシプロピルトリモニウムデンプン、シリカ、ポリウレタン-14、メトキシケイヒ酸エチルヘキシル、シア脂、ベヘニルアルコール、セタノール、BG、セテス-6、(アクリレーツ／アクリル酸アルキル(C1-18)／アルキル(C1-8)アクリルアミド)コポリマーAMP、アクリレーツコポリマーAMP、カルボマー、エタノール、変性アルコール、AMP、メチルパラベン、プロピルパラベン、フェノキシエタノール、香料、カラメル<br><br>【ブランド】<br>デミ<br><br>【発売元、製造元、輸入元又は販売元】<br>爽快ドラッグ<br><br>(DEMI Uevo Jouecara デミ ウエーボ)<br><br>爽快ドラッグ<br>532-0011 大阪市淀川区西中島1-11-16 新大阪CSPビル本館3階<br>0570-666-632<br><br>広告文責：株式会社爽快ドラッグ<br><br>[ヘアスタイリング/ブランド：デミ/],デミ ウェーボ ジュカーラ ヘアカスタ 5(95g)【デミ】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションデミ ウェーボ ジュカーラ ヘアカスタ 5(95g)【デミ】,デミ★税抜1900円以上で送料無料★。デミ ウェーボ ジュカーラ ヘアカスタ 5(95g)【デミ】[rn]
17-104487,http://tshop.r10s.jp/soukai/cabinet/74/4971710313574.jpg?fitin=700:700,531.2000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,サロンスタイル ヘアワックス ハード(75g)【サロンスタイル(SALON STYLE)】[ワックス スタイリング剤],サロンスタイル(SALON STYLE) / ワックス スタイリング剤,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞ヘアスタイリング＞女性用ワックス＞サロンスタイル ヘアワックス ハード (75g)<br><br>★税抜1900円以上で送料無料★<br><br>【サロンスタイル ヘアワックス ハードの商品詳細】<br>●しっかり毛束もガッチリキープして、ベタつきをおさえてすばやく簡単にメリハリかっちりスタイルに！<br>●弾力のある仕上がりで、何度でもリ・アレンジ可能！<br>●さわやかなフルーティフローラルの香りです。<br><br>【ご使用法】<br>・指先に適量をとり、手のひら、指の間にのばしてから髪になじませスタイリングします。<br><br>【成分】<br>水、PG、パラフィン、マイクロクリスタリンワックス、セテアリルアルコール、ジメチコン、ミネラルオイル、エタノール、ステアリン酸、ステアリン酸グリセリル、イソステアロイル加水分解コラーゲンAMPD、トコフェロール、加水分解コムギタンパク、褐藻エキス、BG、BHT、EDTA-2Na、PVP、TEA、カルボマー、ステアルトリモニウムクロリド、セスキオレイン酸ソルビタン、ソルビトール、トリエチルヘキサノイン、ヒドロキシプロピルメチルセルロース、ポリソルベート80、ミリスチン酸イソプロピル、メトキシケイヒ酸エチルヘキシル、プロピルパラベン、メチルパラベン、安息香酸Na、香料<br>【注意】<br>・傷やはれもの、湿疹等、頭皮に異常がある場合はご使用にならないでください。<br>・使用中、赤み、はれ、かゆみ、刺激等の異常があらわれたときは、直ちに使用をやめ、皮膚科専門医などへご相談下さい。そのまま使用を続けますと症状が悪化することがあります。<br>・目に入ったときは、すぐに洗い流してください。<br>・乳幼児の手の届かないところに保管してください。<br><br>【ブランド】<br>サロンスタイル(SALON STYLE)<br><br>【発売元、製造元、輸入元又は販売元】<br>コーセーコスメポート<br><br>コーセーコスメポート<br>103-0027 東京都中央区日本橋1-16-11<br>03-3277-8551<br><br>広告文責：株式会社爽快ドラッグ<br><br>[ヘアスタイリング/ブランド：サロンスタイル(SALON STYLE)/],サロンスタイル ヘアワックス ハード(75g)【サロンスタイル(SALON STYLE)】[ワックス スタイリング剤]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションサロンスタイル ヘアワックス ハード(75g)【サロンスタイル(SALON STYLE)】[ワックス スタイリング剤],サロンスタイル(SALON STYLE) / ワックス スタイリング剤。サロンスタイル ヘアワックス ハード(75g)【サロンスタイル(SALON STYLE)】[ワックス スタイリング剤][rn]
17-104488,http://tshop.r10s.jp/soukai/cabinet/33/4971710313833.jpg?fitin=700:700,531.2000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,サロンスタイル ヘアワックス アレンジウェーブ(75g)【サロンスタイル(SALON STYLE)】[ワックス スタイリング剤],サロンスタイル(SALON STYLE) / ワックス スタイリング剤,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞ヘアスタイリング＞女性用ワックス＞サロンスタイル ヘアワックス アレンジウェーブ (75g)<br><br>★税抜1900円以上で送料無料★<br><br>【サロンスタイル ヘアワックス アレンジウェーブの商品詳細】<br>●くしゅっと毛束を握ってもみこむ簡単アレンジで、ふわっとはずむ立体的なパーマ・巻き髪スタイルに！<br>●ツヤのあるやわらかな仕上がりで、何度でもリ・アレンジ可能！<br>●さわやかなフルーティフローラルの香りです。<br><br>【ご使用法】<br>・指先に適量をとり、手のひら、指の間にのばしてから髪になじませスタイリングします。<br><br>【成分】<br>水、PG、ジメチコン、ミネラルオイル、エタノール、ポリエチレン、セテアリルアルコール、ステアリン酸、トリエチルヘキサノイン、TEA、ステアリン酸グリセリル、イソステアロイル加水分解コラーゲンAMPD、トコフェロール、加水分解コムギタンパク、褐藻エキス、BG、BHT、EDTA-2Na、カルボマー、クエン酸、クエン酸Na、グァーヒドロキシプロピルトリモニウムクロリド、セスキオレイン酸ソルビタン、ポリソルベート80、マイクロクリスタリンワックス、メトキシケイヒ酸エチルヘキシル、プロピルパラベン、メチルパラベン、安息香酸Na、香料<br>【注意】<br>・傷やはれもの、湿疹等、頭皮に異常がある場合はご使用にならないでください。<br>・使用中、赤み、はれ、かゆみ、刺激等の異常があらわれたときは、直ちに使用をやめ、皮膚科専門医などへご相談下さい。そのまま使用を続けますと症状が悪化することがあります。<br>・目に入ったときは、すぐに洗い流してください。<br>・乳幼児の手の届かないところに保管してください。<br><br>【ブランド】<br>サロンスタイル(SALON STYLE)<br><br>【発売元、製造元、輸入元又は販売元】<br>コーセーコスメポート<br><br>コーセーコスメポート<br>103-0027 東京都中央区日本橋1-16-11<br>03-3277-8551<br><br>広告文責：株式会社爽快ドラッグ<br><br>[ヘアスタイリング/ブランド：サロンスタイル(SALON STYLE)/],サロンスタイル ヘアワックス アレンジウェーブ(75g)【サロンスタイル(SALON STYLE)】[ワックス スタイリング剤]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションサロンスタイル ヘアワックス アレンジウェーブ(75g)【サロンスタイル(SALON STYLE)】[ワックス スタイリング剤],サロンスタイル(SALON STYLE) / ワックス スタイリング剤。サロンスタイル ヘアワックス アレンジウェーブ(75g)【サロンスタイル(SALON STYLE)】[ワックス スタイリング剤][rn]
17-104489,http://tshop.r10s.jp/soukai/cabinet/98/4971710313598.jpg?fitin=700:700,531.2000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,サロンスタイル ヘアワックス トリートメント(75g)【サロンスタイル(SALON STYLE)】[ワックス スタイリング剤],サロンスタイル(SALON STYLE) / ワックス スタイリング剤,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞ヘアスタイリング＞女性用ワックス＞サロンスタイル ヘアワックス トリートメント (75g)<br><br>★税抜1900円以上で送料無料★<br><br>【サロンスタイル ヘアワックス トリートメントの商品詳細】<br>●パサつき、ゴワつきが気になる髪も、すばやく簡単にきれいな毛流れのまとまりスタイルに！<br>●しっとりツヤ感のある仕上がりを1日中キープ！<br>●さわやかなフルーティフローラルの香りです。<br><br>【ご使用法】<br>・指先に適量をとり、手のひら、指の間にのばしてから髪になじませスタイリングします。<br><br>【成分】<br>水、エタノール、ジメチコン、PG、水添ポリイソブテン、イソステアロイル加水分解コラーゲンAMPD、加水分解コムギタンパク、褐藻エキス、BG、BHT、EDTA-2Na、PEG-40水添ヒマシ油、TEA、(アクリル酸Na／アクリロイルジメチルタウリンNa)コポリマー、イソプロパノール、イソヘキサデカン、オレイン酸ソルビタン、カルボマー、ステアルトリモニウムクロリド、ソルビトール、ポリソルベート80、メトキシケイヒ酸エチルヘキシル、ラウリル硫酸Na、水酸化Na、エチルパラベン、プロピルパラベン、メチルパラベン、安息香酸Na、香料<br>【注意】<br>・傷やはれもの、湿疹等、頭皮に異常がある場合はご使用にならないでください。<br>・使用中、赤み、はれ、かゆみ、刺激等の異常があらわれたときは、直ちに使用をやめ、皮膚科専門医などへご相談下さい。そのまま使用を続けますと症状が悪化することがあります。<br>・目に入ったときは、すぐに洗い流してください。<br>・乳幼児の手の届かないところに保管してください。<br><br>【ブランド】<br>サロンスタイル(SALON STYLE)<br><br>【発売元、製造元、輸入元又は販売元】<br>コーセーコスメポート<br><br>コーセーコスメポート<br>103-0027 東京都中央区日本橋1-16-11<br>03-3277-8551<br><br>広告文責：株式会社爽快ドラッグ<br><br>[ヘアスタイリング/ブランド：サロンスタイル(SALON STYLE)/],サロンスタイル ヘアワックス トリートメント(75g)【サロンスタイル(SALON STYLE)】[ワックス スタイリング剤]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションサロンスタイル ヘアワックス トリートメント(75g)【サロンスタイル(SALON STYLE)】[ワックス スタイリング剤],サロンスタイル(SALON STYLE) / ワックス スタイリング剤。サロンスタイル ヘアワックス トリートメント(75g)【サロンスタイル(SALON STYLE)】[ワックス スタイリング剤][rn]
