17-159999,http://tshop.r10s.jp/bp-shop/cabinet/03033808/img58871257.jpg?fitin=700:700,2399.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,送料無料 !　特大 サイズ　ワイヤー カッター 36インチ　チェーンカッター クリッパー 切断機 木 チェーン簡易切断 DIY 工具 送料込 ◇ 特大ワイヤーカッター ◎,,"<table width=""100%"" bgcolor=""#cf0000"" cellpadding=""4"" cellspacing=""0"" border=""0"">
<tr>
<td align=""center""><font size=""+1"" color=""#ffffff""><b>送料無料!</b></font></td>
</tr>
</table><BR><table border=""0"" cellpadding=""10"">
    <tr>
      <td align=""center"" bgcolor=""#330000"" width=""531""><font color=""#ffff00"" size=""+3""><font color=""#ffff00""><b><font size=""-2""><font color=""#ffff00"" size=""+2"">パイプ・ワイヤー・チェーン！何でも簡単に切断！</font></font><br>
      36インチ 特大ワイヤーカッター</b></font></font></td>
    </tr>
</table>
<p><font size=""-1"" color=""#000099""><b><BR>
</b></font></p>
<p><font size=""+2""><b><font color=""#0000ff"">困ったときに大活躍の特大ワイヤーカッターです!!<br>
<br>
パイプ・ワイヤー・太いチェーンなど簡単に切断可能!!<br>
<br>ビッグサイズで超強力!<br>
<br>カギをなくした南京錠やチェーンなども簡単に切断できます!!</font><br>
</b></font></p>
<p><font size=""-1"" color=""#000099""><b><br>
</b></font></p>
<table border=""1"" width=""354"">
    <tr>
      <td colspan=""2"" align=""center"" bgcolor=""#ccffcc""><font size=""-1""><b>◇商品仕様◇</b></font></td>
    </tr>
    <tr>
    <td align=""center"" bgcolor=""#ccffcc"" width=""98""><b><font size=""-1"">サイズ</font></b></td>
    <td width=""133""><font size=""-1"">全長約92cm</font></td>
  </tr><tr>
    <td align=""center"" bgcolor=""#ccffcc"" width=""98""><b><font size=""-1"">最大切断能力</font></b></td>
    <td width=""133""><font size=""-1"">約20mm</font></td>
  </tr></table>
<p><br>
</p><table width=""100%"" bgcolor=""#cf0000"" cellpadding=""4"" cellspacing=""0"" border=""0"">
<tr>
<td align=""center""><font size=""+1"" color=""#ffffff""><b>送料無料!</b></font></td>
</tr>
</table><BR><br><img src=""http://image.rakuten.co.jp/bp-shop/cabinet/04789452/imgrc0062852859.gif"" width=""100%""><BR><img src=""http://image.rakuten.co.jp/bp-shop/cabinet/products2/imgrc0063143903.jpg"" width=""100%""><BR>",送料無料 !　特大 サイズ　ワイヤー カッター 36インチ　チェーンカッター クリッパー 切断機 木 チェーン簡易切断 DIY 工具 送料込 ◇ 特大ワイヤーカッター ◎：ベストプライスショップ,送料無料 !　特大 サイズ　ワイヤー カッター 36インチ　チェーンカッター クリッパー 切断機 木 チェーン簡易切断 DIY 工具 送料込 ◇ 特大ワイヤーカッター ◎,送料無料 !　特大 サイズ　ワイヤー カッター 36インチ　チェーンカッター クリッパー 切断機 木 チェーン簡易切断 DIY 工具 送料込 ◇ 特大ワイヤーカッター ◎[rn]
17-160025,http://tshop.r10s.jp/minatodenk/cabinet/fs/0107/fs-0112056.jpg?fitin=700:700,4056.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,ミヤナガ PC振動用コアドリルカッター PCSW35C 4957462109221 [先端工具 コンクリートドリル メーカーコアドリル][r13][s1-120],【1万円以上で送料無料】【代引き／後払い／コンビニ手数料0円】,"<table border=0 cellpadding=8 cellspacing=1 width=100% bgcolor=#999999>
<tr>
<td bgcolor=#F6F6F6 align=center width=25%><font color=#666666><b>決済手数料<br>無料</b></font></td>
<td bgcolor=#FFFFFF>代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=#FFF3F3 align=center><font color=#C82626><b>1万円以上で<br>送料無料</b></font></td>
<td bgcolor=#FFFFFF>1万円未満の場合は別途送料が800円発生します。ご了承頂けますよう、お願いします。</td>
</tr>
<tr>
<td bgcolor=#F9F9FF align=center><font color=#3763C7><b>代引手数料無料</b></font></td>
<td bgcolor=#FFFFFF>自社倉庫より発送の為、代引決済がご利用いただけます。</td>
</tr>
<tr>
<td bgcolor=#FEF8F3 align=center><font color=#EA4D00><b>1～4<br>営業日後<br>発送予定</b></font></td>
<td bgcolor=#FFFFFF>ご注文いただきましてから、およそ1～4営業日後の出荷を予定しております。</td>
</tr>
</table>
<br><b>振動ドリルの打撃力、回転力を有効に生かせる刃先形状です。</b><br><br>
<b>ミヤナガ PC振動用コアドリルカッター PCSW35C 4957462109221</b><br><br>
ブロック、モルタルなどへの穴あけ作業。<br><br>
<b>■特徴</b><br>
・多様化する硬質壁材への大口径穴あけが可能になりました。<br>
・振動ドリルの打撃力、回転力を有効に生かせる刃先形状。<br>
・被削面にひび割れなどがおこらず、きれいな穴あけができます。<br>
<br>
<b>■仕様</b><br>
・チャックサイズ：Sシャンク：10mm。<br>
・重量 : 223.6g<br>
<br>",ミヤナガ PC振動用コアドリルカッター PCSW35C 4957462109221 [先端工具 コンクリートドリル メーカーコアドリル][r13][s1-120]：ミナト電機工業,溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)ミヤナガ PC振動用コアドリルカッター PCSW35C 4957462109221 [先端工具 コンクリートドリル メーカーコアドリル][r13][s1-120],【1万円以上で送料無料】【代引き／後払い／コンビニ手数料0円】。ミヤナガ PC振動用コアドリルカッター PCSW35C 4957462109221 [先端工具 コンクリートドリル メーカーコアドリル][r13][s1-120][rn]
17-160026,http://tshop.r10s.jp/minatodenk/cabinet/fs/0107/fs-0112109.jpg?fitin=700:700,16496.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,ミヤナガ PCドライモントコアカッター PCD80C 4957462108415 [先端工具 コンクリートドリル メーカーコアドリル][r13][s1-120],【送料無料】【代引き／法人後払い／コンビニ手数料0円】,"<table border=0 cellpadding=8 cellspacing=1 width=100% bgcolor=#999999>
<tr>
<td bgcolor=#F6F6F6 align=center width=25%><font color=#666666><b>決済手数料<br>無料</b></font></td>
<td bgcolor=#FFFFFF>代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=#FFF3F3 align=center><font color=#C82626><b>送料無料<br>(一部地域<br>を除く)</b></font></td>
<td bgcolor=#FFFFFF>送料無料です。ただし北海道・沖縄・離島など一部の地域は、別途送料が発生します。</td>
</tr>
<tr>
<td bgcolor=#F9F9FF align=center><font color=#3763C7><b>代引手数料無料</b></font></td>
<td bgcolor=#FFFFFF>自社倉庫より発送の為、代引決済がご利用いただけます。</td>
</tr>
<tr>
<td bgcolor=#FEF8F3 align=center><font color=#EA4D00><b>1～4<br>営業日後<br>発送予定</b></font></td>
<td bgcolor=#FFFFFF>ご注文いただきましてから、およそ1～4営業日後の出荷を予定しております。</td>
</tr>
</table>
<br>・ご注意<br>
・作業スペースを充分に確保し、周囲の安全を確認してください。<br>
・柄および鋸身に割れ、亀裂がある場合は使用しないでください。<br>
<br>
<b>目立て済みですので、このまま使用出来ます。</b><br><br>
<b>三木住大吉 両刃鋸 210MM 4977292100199</b><br><br>
一般木材の切断作業。<br><br>
<b>■特徴</b><br>
・すぐに使用出来る目立て済みの両刃鋸です。<br>
<br>
<b>■仕様</b><br>
・刃渡り : 210mm<br>
・たて挽き・よこ挽き<br>
<br>",ミヤナガ PCドライモントコアカッター PCD80C 4957462108415 [先端工具 コンクリートドリル メーカーコアドリル][r13][s1-120]：ミナト電機工業,溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)ミヤナガ PCドライモントコアカッター PCD80C 4957462108415 [先端工具 コンクリートドリル メーカーコアドリル][r13][s1-120],【送料無料】【代引き／法人後払い／コンビニ手数料0円】。ミヤナガ PCドライモントコアカッター PCD80C 4957462108415 [先端工具 コンクリートドリル メーカーコアドリル][r13][s1-120][rn]
17-160027,http://tshop.r10s.jp/minatodenk/cabinet/fs/0106/fs-0111629.jpg?fitin=700:700,13912.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,ミヤナガ PC深穴ホールソーカッター PCF120C 4957462116366 [先端工具 鉄工ドリル メーカーホールソー][r13][s1-120],【送料無料】【代引き／法人後払い／コンビニ手数料0円】,"<table border=0 cellpadding=8 cellspacing=1 width=100% bgcolor=#999999>
<tr>
<td bgcolor=#F6F6F6 align=center width=25%><font color=#666666><b>決済手数料<br>無料</b></font></td>
<td bgcolor=#FFFFFF>代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=#FFF3F3 align=center><font color=#C82626><b>送料無料<br>(一部地域<br>を除く)</b></font></td>
<td bgcolor=#FFFFFF>送料無料です。ただし北海道・沖縄・離島など一部の地域は、別途送料が発生します。</td>
</tr>
<tr>
<td bgcolor=#F9F9FF align=center><font color=#3763C7><b>代引手数料無料</b></font></td>
<td bgcolor=#FFFFFF>自社倉庫より発送の為、代引決済がご利用いただけます。</td>
</tr>
<tr>
<td bgcolor=#FEF8F3 align=center><font color=#EA4D00><b>1～4<br>営業日後<br>発送予定</b></font></td>
<td bgcolor=#FFFFFF>ご注文いただきましてから、およそ1～4営業日後の出荷を予定しております。</td>
</tr>
</table>
<br>・ご注意<br>
・作業スペースを充分に確保し、周囲の安全を確認してください。<br>
・柄および鋸身に割れ、亀裂がある場合は使用しないでください。<br>
<br>
<b>目立て済みですので、このまま使用出来ます。</b><br><br>
<b>三木住大吉 両刃鋸 210MM 4977292100199</b><br><br>
一般木材の切断作業。<br><br>
<b>■特徴</b><br>
・すぐに使用出来る目立て済みの両刃鋸です。<br>
<br>
<b>■仕様</b><br>
・刃渡り : 210mm<br>
・たて挽き・よこ挽き<br>
<br>",ミヤナガ PC深穴ホールソーカッター PCF120C 4957462116366 [先端工具 鉄工ドリル メーカーホールソー][r13][s1-120]：ミナト電機工業,溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)ミヤナガ PC深穴ホールソーカッター PCF120C 4957462116366 [先端工具 鉄工ドリル メーカーホールソー][r13][s1-120],【送料無料】【代引き／法人後払い／コンビニ手数料0円】。ミヤナガ PC深穴ホールソーカッター PCF120C 4957462116366 [先端工具 鉄工ドリル メーカーホールソー][r13][s1-120][rn]
17-160028,http://tshop.r10s.jp/minatodenk/cabinet/012/yz-mcca0936-tp.jpg?fitin=700:700,5928.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,松阪鉄工所 塩ビカッタ VC63ED [MCC えんび かった 替刃式 VC-63ED][r20],【1万円以上送料無料】【法人後払い/コンビニ手数料0円】,"<table border=""0"" cellpadding=""8"" cellspacing=""1"" width=""100%"" bgcolor=""#999999"">
<tr>
<td bgcolor=""#F6F6F6"" align=""center"" width=""25%""><font color=""#666666""><b>決済手数料無料</b></font></td>
<td bgcolor=""#FFFFFF"">代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=""#FFF3F3"" align=""center""><font color=""#C82626""><b>1万円以上で送料無料</b></font></td>
<td bgcolor=""#FFFFFF"">1万円未満の場合は別途送料が800円発生します。ご了承頂けますよう、お願いします。</td>
</tr>
<tr>
<td bgcolor=""#F9F9FF"" align=""center""><font color=""#3763C7""><b>代引不可(メーカー直送)</b></font></td>
<td bgcolor=""#FFFFFF"">メーカー直送品の為、代引決済はご利用できません。その他のお支払い方法をご選択ください。</td>
</tr>
<tr>
<td bgcolor=""#FEF8F3"" align=""center""><font color=""#EA4D00""><b>2～4営業日後発送予定</b></font></td>
<td bgcolor=""#FFFFFF"">ご注文いただきましてから、およそ2～4営業日後の出荷を予定しております。</td>
</tr>
</table>
<br>

<b >松阪鉄工所 塩ビカッタ VC63ED</b><br><br>

【商品説明】<br>
●硬質ポリ塩ビ管、ポリエチレン管の切断が片手でラクラク。<br>
●給水、給湯、ガス、空調、電気などの配管に用いられる硬質ポリ塩ビ管、ポリエチレン管を切断するための工具で、片手で持って使用します。<br>
●新機能採用により、切断荷重は25%軽減(従来品化)<br>
●本体はダイキャスト製。軽量、コンパクト設計ながら強靭なボディを実現。<br>
●片手でワンタッチオープン、軽便な面取り機能を付加、各種樹脂配管作業を強力にサポート。<br>
●直角切断、後処理不要のきれいな切り口。<br><br>

【注意・使用条件】<br>
●用途・仕様の範囲内で使用して下さい。<br>
●切断物が飛び散ることがありますので保護メガネを着用して下さい。<br><br>

【本体寸法】<br>
幅294×長146×高28.5mm<br><br>

【重量】<br>
650g<br><br>

【呼び】<br>
VC63ED<br><br>

【切断可能パイプ 呼び】<br>
13～50<br><br>

【切断可能パイプ 外径(mm)】<br>
～φ63<br><br>

<b >松阪鉄工所 塩ビカッタシリーズ一覧</b><br>
<table width=100% border=""0"" cellpadding=""3"" cellspacing=""1"" bgcolor=""#999999"">
<tr align=""center"" ><td>型番</td><td>呼び</td><td>切断可能パイプ 呼び</td><td>切断可能パイプ 外径(mm)</td></tr>
<tr align=""center"" bgcolor=""#FFFFFF""><td >VC27ED</td><td>VC27ED</td><td>13～20</td><td>～φ27</td></tr>
<tr align=""center"" bgcolor=""#FFFFFF""><td >VC34ED</td><td>VC34ED</td><td>13～25</td><td>～φ34</td></tr>
<tr align=""center"" bgcolor=""#FFFFFF""><td >VC42ED</td><td>VC42ED</td><td>13～30</td><td>～φ42</td></tr>
<tr align=""center"" bgcolor=""#FFFFFF""><td >VC63ED</td><td>VC63ED</td><td>13～50</td><td>～φ63</td></tr>
<tr align=""center"" bgcolor=""#FFFFFF""><td >VC48ED</td><td>VC48ED</td><td>13～40</td><td>～φ48</td></tr>
<tr align=""center"" bgcolor=""#FFFFFF""><td >VC50</td><td>VC-50</td><td>40～50</td><td>48～60</td></tr>
</table>
<br>

松阪鉄工所のカテゴリーへ<br><br>

<br>",松阪鉄工所 塩ビカッタ VC63ED [MCC えんび かった 替刃式 VC-63ED][r20]：ミナト電機工業,溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)松阪鉄工所 塩ビカッタ VC63ED [MCC えんび かった 替刃式 VC-63ED][r20],【1万円以上送料無料】【法人後払い/コンビニ手数料0円】。松阪鉄工所 塩ビカッタ VC63ED [MCC えんび かった 替刃式 VC-63ED][r20][rn]
17-160029,http://tshop.r10s.jp/minatodenk/cabinet/012/yz-mcca1017-tp.jpg?fitin=700:700,3656.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,松阪鉄工所 塩ビカッタ VC48ED [MCC えんび かった 替刃式 VC-48ED][r20],【1万円以上送料無料】【法人後払い/コンビニ手数料0円】,"<table border=""0"" cellpadding=""8"" cellspacing=""1"" width=""100%"" bgcolor=""#999999"">
<tr>
<td bgcolor=""#F6F6F6"" align=""center"" width=""25%""><font color=""#666666""><b>決済手数料無料</b></font></td>
<td bgcolor=""#FFFFFF"">代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=""#FFF3F3"" align=""center""><font color=""#C82626""><b>1万円以上で送料無料</b></font></td>
<td bgcolor=""#FFFFFF"">1万円未満の場合は別途送料が800円発生します。ご了承頂けますよう、お願いします。</td>
</tr>
<tr>
<td bgcolor=""#F9F9FF"" align=""center""><font color=""#3763C7""><b>代引不可(メーカー直送)</b></font></td>
<td bgcolor=""#FFFFFF"">メーカー直送品の為、代引決済はご利用できません。その他のお支払い方法をご選択ください。</td>
</tr>
<tr>
<td bgcolor=""#FEF8F3"" align=""center""><font color=""#EA4D00""><b>2～4営業日後発送予定</b></font></td>
<td bgcolor=""#FFFFFF"">ご注文いただきましてから、およそ2～4営業日後の出荷を予定しております。</td>
</tr>
</table>
<br>

<b >松阪鉄工所 塩ビカッタ VC48ED</b><br><br>

【商品説明】<br>
●プロが認める性能・耐久性<br>
●刃は一流鋼材メーカより仕入れたMCC指定の材料に職人の手によって妥協のない熱処理、仕上げ加工を施す事で抜群の切れ味と耐久性の両立を実現しました。<br>
●ハンドルを開けば自動で開くワンタッチオープン機能を採用。<br>
●バネ効果、握り幅、ハンドル形状が力を最大限に刃先に伝えてくれるので、軽快なパイプ切断が可能です。<br>
●壁や他の配管等、障害物がある狭所作業にも対応できる様、強度を保ちながら限界まで小さくしたボディ。面取り機能付き。<br><br>

【用途】<br>
●塩ビ管の他にポリエチレン管、ポリブデン管等、多くのパイプに対応。<br><br>

【注意・使用条件】<br>
●硬質ポリ塩化ビニル管VP(薄肉)は切断できません。<br><br>

【本体寸法】<br>
幅101×長228×高28.5mm<br><br>

【重量】<br>
400g<br><br>

【呼び】<br>
VC48ED<br><br>

【切断可能パイプ 呼び】<br>
13～40<br><br>

【切断可能パイプ 外径(mm)】<br>
～φ48<br><br>

<b >松阪鉄工所 塩ビカッタシリーズ一覧</b><br>
<table width=100% border=""0"" cellpadding=""3"" cellspacing=""1"" bgcolor=""#999999"">
<tr align=""center"" ><td>型番</td><td>呼び</td><td>切断可能パイプ 呼び</td><td>切断可能パイプ 外径(mm)</td></tr>
<tr align=""center"" bgcolor=""#FFFFFF""><td >VC27ED</td><td>VC27ED</td><td>13～20</td><td>～φ27</td></tr>
<tr align=""center"" bgcolor=""#FFFFFF""><td >VC34ED</td><td>VC34ED</td><td>13～25</td><td>～φ34</td></tr>
<tr align=""center"" bgcolor=""#FFFFFF""><td >VC42ED</td><td>VC42ED</td><td>13～30</td><td>～φ42</td></tr>
<tr align=""center"" bgcolor=""#FFFFFF""><td >VC63ED</td><td>VC63ED</td><td>13～50</td><td>～φ63</td></tr>
<tr align=""center"" bgcolor=""#FFFFFF""><td >VC48ED</td><td>VC48ED</td><td>13～40</td><td>～φ48</td></tr>
<tr align=""center"" bgcolor=""#FFFFFF""><td >VC50</td><td>VC-50</td><td>40～50</td><td>48～60</td></tr>
</table>
<br>

松阪鉄工所のカテゴリーへ<br><br>

<br>",松阪鉄工所 塩ビカッタ VC48ED [MCC えんび かった 替刃式 VC-48ED][r20]：ミナト電機工業,溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)松阪鉄工所 塩ビカッタ VC48ED [MCC えんび かった 替刃式 VC-48ED][r20],【1万円以上送料無料】【法人後払い/コンビニ手数料0円】。松阪鉄工所 塩ビカッタ VC48ED [MCC えんび かった 替刃式 VC-48ED][r20][rn]
17-160030,,2841.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒ナカバヤシ（株）/ナカバヤシ【NRC-N2A4-D】(4746929)ロ－タリ－カッタ－Ａ４ ブラック 受注単位1,オフィス住設用品\ＯＡ・事務用品\パンチホッチキス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●回転刃スライド方式採用のロータリーカッターです。<br>●サイズ:A4<br>●裁断可能枚数(枚):PPC用紙12<br>●質量(kg):1.5<br>●ミシン目刃<br>●紙合せ定規<br>",『カード対応OK！』■〒ナカバヤシ（株）/ナカバヤシ【NRC-N2A4-D】(4746929)ロ&minus;タリ&minus;カッタ&minus;Ａ４ ブラック 受注単位1：クローバー資材館,『カード対応OK！』■〒ナカバヤシ（株）/ナカバヤシ【NRC-N2A4-D】(4746929)ロ&minus;タリ&minus;カッタ&minus;Ａ４ ブラック 受注単位1,オフィス住設用品\ＯＡ・事務用品\パンチホッチキス。『カード対応OK！』■〒ナカバヤシ（株）/ナカバヤシ【NRC-N2A4-D】(4746929)ロ&minus;タリ&minus;カッタ&minus;Ａ４ ブラック 受注単位1[rn]
17-160031,,4737.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒ナカバヤシ（株）/ナカバヤシ【NRC-N2A3-D】(4746911)ロ－タリ－カッタ－Ａ３ ブラック 受注単位1,オフィス住設用品\ＯＡ・事務用品\パンチホッチキス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●回転刃スライド方式採用のロータリーカッターです。<br>●サイズ:A3<br>●裁断可能枚数(枚):PPC用紙10<br>●質量(kg):2.2<br>●ミシン目刃<br>●紙合せ定規<br>",『カード対応OK！』■〒ナカバヤシ（株）/ナカバヤシ【NRC-N2A3-D】(4746911)ロ&minus;タリ&minus;カッタ&minus;Ａ３ ブラック 受注単位1：クローバー資材館,『カード対応OK！』■〒ナカバヤシ（株）/ナカバヤシ【NRC-N2A3-D】(4746911)ロ&minus;タリ&minus;カッタ&minus;Ａ３ ブラック 受注単位1,オフィス住設用品\ＯＡ・事務用品\パンチホッチキス。『カード対応OK！』■〒ナカバヤシ（株）/ナカバヤシ【NRC-N2A3-D】(4746911)ロ&minus;タリ&minus;カッタ&minus;Ａ３ ブラック 受注単位1[rn]
17-160032,,38329.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9531-280】(4716361)ラチェットケーブルカッター ２８０ｍｍ 受注単位1,作業用品\電設工具\ケーブルカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●２段階ギヤドライブとラチェット機構による片手操作で簡単に切断可能です。<br>●非常に高いテコ比によって少ない力で作業できます。<br>●全長(mm):280<br>●切断能力銅・アルミケーブル:φ52mm/380mm[[の2乗]]<br>●質量(g):860<br>●ハンドル形状：コンフォートタイプ<br>●オイル焼き入れ焼き戻し処理済み特殊鋼<br>●スチールワイヤーやワイヤーロープの切断はできません。<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9531-280】(4716361)ラチェットケーブルカッター ２８０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9531-280】(4716361)ラチェットケーブルカッター ２８０ｍｍ 受注単位1,作業用品\電設工具\ケーブルカッター。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9531-280】(4716361)ラチェットケーブルカッター ２８０ｍｍ 受注単位1[rn]
17-160033,,4398.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒（株）泉精器製作所/泉 【S20PC】(4741307)Ｓ２０用ピストンカッタ 受注単位1,作業用品\電設工具\ケーブルカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●S２０用ピストンカッター替刃<br>●適合機種:S20A<br>●質量(kg):0.1<br>",『カード対応OK！』■〒（株）泉精器製作所/泉 【S20PC】(4741307)Ｓ２０用ピストンカッタ 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）泉精器製作所/泉 【S20PC】(4741307)Ｓ２０用ピストンカッタ 受注単位1,作業用品\電設工具\ケーブルカッター。『カード対応OK！』■〒（株）泉精器製作所/泉 【S20PC】(4741307)Ｓ２０用ピストンカッタ 受注単位1[rn]
17-160034,,927.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-1-K】(4845960)ナットブレーカー Ｎｏ．１用替刃・押しネジ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ワイヤカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ナットブレーカー用の替刃です。<br>●全長(mm):70<br>●刃幅(mm):8<br>●対辺寸法(mm):12<br>●質量(g):30<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-1-K】(4845960)ナットブレーカー Ｎｏ．１用替刃・押しネジ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-1-K】(4845960)ナットブレーカー Ｎｏ．１用替刃・押しネジ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ワイヤカッター。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-1-K】(4845960)ナットブレーカー Ｎｏ．１用替刃・押しネジ 受注単位1[rn]
17-160035,,15039.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒スナップオン・ツールズ（株）/ＷＩＬＬＩＡＭＳ【WTC-11-TH】(4742362)高所用ワイヤツイスター ２１５ｍｍ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ワイヤカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ノーズを斜めにした構造とミニフレームとにより、せまい場所での作業にも対応可能です。<br>●高所作業者に。紛失防止に。<br>●ランヤード用リング付きです。<br>●高所作業シリーズになります。<br>●ダイヤモンド型フラット・トップ・ジョーの鋸刃状部分がワイヤをしっかりと加え、安定した状態で作業を行うことができます。<br>●自動リターン機構が付いていますので、作業をスピードアップし、作業員の疲れを軽減します。<br>●熱処理を施した刃はステンレス鋼（0.41まで）や緩み止め線などタフな切断作業にも耐えることができます。<br>●わずかな力で閉じ、ロックすることが可能なワンハンド・オペレーションシステムです。<br>●鍛造高炭素合金鋼を使用し、高度な耐久性と長寿命を実現しました。<br>●全長(mm):215<br>●切断能力(mm)ステンレス：0.41<br>●質量(g)：240<br>",『カード対応OK！』■〒スナップオン・ツールズ（株）/ＷＩＬＬＩＡＭＳ【WTC-11-TH】(4742362)高所用ワイヤツイスター ２１５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ（株）/ＷＩＬＬＩＡＭＳ【WTC-11-TH】(4742362)高所用ワイヤツイスター ２１５ｍｍ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ワイヤカッター。『カード対応OK！』■〒スナップオン・ツールズ（株）/ＷＩＬＬＩＡＭＳ【WTC-11-TH】(4742362)高所用ワイヤツイスター ２１５ｍｍ 受注単位1[rn]
