17-21699,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004371388.jpg?fitin=700:700,8425.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10：クローバー資材館,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10[rn]
17-21726,,4705.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立ツール　ＮＫロング刃ＥＭ【2NKL16(NK92160)  (2F 16MM)】(4275853) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル,,『カード対応OK！』■〒日立ツール　ＮＫロング刃ＥＭ【2NKL16(NK92160)  (2F 16MM)】(4275853) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立ツール　ＮＫロング刃ＥＭ【2NKL16(NK92160)  (2F 16MM)】(4275853) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル。『カード対応OK！』■〒日立ツール　ＮＫロング刃ＥＭ【2NKL16(NK92160)  (2F 16MM)】(4275853) 受注単位1[rn]
17-21727,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005105718.jpg?fitin=700:700,1391.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋキー溝用エンドミルＰタイプ３．０ｍｍ【2MKPD0300 (2MK-P-3)】 (1081683) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●キー溝加工専門のエンドミルです。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋキー溝用エンドミルＰタイプ３．０ｍｍ【2MKPD0300 (2MK-P-3)】 (1081683) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋキー溝用エンドミルＰタイプ３．０ｍｍ【2MKPD0300 (2MK-P-3)】 (1081683) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋキー溝用エンドミルＰタイプ３．０ｍｍ【2MKPD0300 (2MK-P-3)】 (1081683) 受注単位1[rn]
17-21728,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002869762.jpg?fitin=700:700,6608.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットエンドミル１５．０ｍｍ【VA4MCD1500 (VA-4MC-15)】 (1142534) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●高級粉末ハイスの母材に、新開発のバイオレットコーティングを施しました。<br>●従来のTiCNコーティング品に比べて1.5倍以上の長寿命です。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットエンドミル１５．０ｍｍ【VA4MCD1500 (VA-4MC-15)】 (1142534) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットエンドミル１５．０ｍｍ【VA4MCD1500 (VA-4MC-15)】 (1142534) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットエンドミル１５．０ｍｍ【VA4MCD1500 (VA-4MC-15)】 (1142534) 受注単位1[rn]
17-21729,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002867824.jpg?fitin=700:700,34722.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ２枚刃汎用エンドミル (Ｍタイプ）【2MSD5000S32 (2MS-50)】 (1102192) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●使用範囲の広い刃長、全長を採用しており、最も汎用性に富んだシリーズです。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ２枚刃汎用エンドミル (Ｍタイプ）【2MSD5000S32 (2MS-50)】 (1102192) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ２枚刃汎用エンドミル (Ｍタイプ）【2MSD5000S32 (2MS-50)】 (1102192) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ２枚刃汎用エンドミル (Ｍタイプ）【2MSD5000S32 (2MS-50)】 (1102192) 受注単位1[rn]
17-21730,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004840930.jpg?fitin=700:700,27060.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　エンドミル【V-XPM-EHS-30X4F(8454400)】(2001632) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル,,『カード対応OK！』■〒オーエスジー/ＯＳＧ　エンドミル【V-XPM-EHS-30X4F(8454400)】(2001632) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　エンドミル【V-XPM-EHS-30X4F(8454400)】(2001632) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　エンドミル【V-XPM-EHS-30X4F(8454400)】(2001632) 受注単位1[rn]
17-21731,,3175.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【SO65】(3562018) 木工ビット　超硬ソリッドストレート　６×５ 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●超硬ムクのため、超硬ストレートビットよりも剛性が高く折れにくいです。<br><br>●被削材：木材、樹脂、人造大理石など。<br><br>●刃数：2<br>●軸径(mm)：6<br>●刃径(mm)：5<br>●刃長(mm)：15<br>●全長(mm)：40<br>●質量(g)：23<br><br>●使用電動工具：トリマー<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【SO65】(3562018) 木工ビット　超硬ソリッドストレート　６&times;５ 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【SO65】(3562018) 木工ビット　超硬ソリッドストレート　６&times;５ 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【SO65】(3562018) 木工ビット　超硬ソリッドストレート　６&times;５ 受注単位1[rn]
17-21732,,2777.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【S1215】(3973816) 木工ビット　超硬ストレート１２×１５ 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1分間に約20000～25000回転で切削できます。<br>●切れ味が良く長寿命で、きれいに加工できます。<br><br>●被削材：木材、樹脂、人造大理石など。<br>●木材系材料・樹脂系(人造大理石)材料の穴掘り、溝掘り、切り抜き作業に最適です。<br><br>●刃数：2<br>●軸径(mm)：12<br>●刃径(mm)：15<br>●刃長(mm)：30<br>●全長(mm)：75<br>●質量(g)：67<br><br>●使用電動工具：ルーター(※電動工具の付属アダプターをご使用ください)<br>●ルーター用<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【S1215】(3973816) 木工ビット　超硬ストレート１２&times;１５ 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【S1215】(3973816) 木工ビット　超硬ストレート１２&times;１５ 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【S1215】(3973816) 木工ビット　超硬ストレート１２&times;１５ 受注単位1[rn]
17-21733,,4082.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【KM60】(3562255) コーナービット　カサ付面取６０° 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●デコラ・合板・木材・プラスチック・人造大理石などの面取りが誰でも簡単にでき、きれいに仕上がります。<br>●ベアリングがガイドとなるため、曲線・直線・内側・外側・コーナーの面取りが自由自在にできます。<br>●加工用途に王子最適な刃物を選定ください。<br><br>●被削材：デコラ、合板、木材、プラスチック、人造大理石など。<br>●面取り、目地払い、切り抜き、穴ほり、アリ（オスメス）加工など、さまざまな作業に。<br><br>●刃数：2<br>●軸径(mm)：6<br>●刃径(mm)：20<br>●刃長(mm)：11<br>●全長(mm)：41<br>●質量(g)：30<br><br>●使用ベアリング：KB10<br>●使用電動工具：トリマー<br>●カサ付面取<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【KM60】(3562255) コーナービット　カサ付面取６０&deg; 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【KM60】(3562255) コーナービット　カサ付面取６０&deg; 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【KM60】(3562255) コーナービット　カサ付面取６０&deg; 受注単位1[rn]
17-21734,,3061.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【SO64】(3562000) 木工ビット　超硬ソリッドストレート　６×４ 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●超硬ムクのため、超硬ストレートビットよりも剛性が高く折れにくいです。<br><br>●被削材：木材、樹脂、人造大理石など。<br><br>●刃数：2<br>●軸径(mm)：6<br>●刃径(mm)：4<br>●刃長(mm)：10<br>●全長(mm)：35<br>●質量(g)：22<br><br>●使用電動工具：トリマー<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【SO64】(3562000) 木工ビット　超硬ソリッドストレート　６&times;４ 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【SO64】(3562000) 木工ビット　超硬ソリッドストレート　６&times;４ 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【SO64】(3562000) 木工ビット　超硬ソリッドストレート　６&times;４ 受注単位1[rn]
17-21735,,4196.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【UB128】(7565801) ソコギリビット 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●芯まで刃が付いているので、もぐり・切抜き・溝掘りを一発で行うことができます。<br>●豊富な種類のサイズをご用意していますので、用途に合わせてサイズを選択できます。<br><br>●被削材：木材。<br><br>●刃数：2<br>●軸径(mm)：12<br>●刃径(mm)：8<br>●刃長(mm)：20<br>●全長(mm)：65<br><br>●使用電動工具：NCルーター、ルーター<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【UB128】(7565801) ソコギリビット 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【UB128】(7565801) ソコギリビット 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【UB128】(7565801) ソコギリビット 受注単位1[rn]
17-21736,,8788.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【B4】(3973913) コーナービット　ボーズ４分 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●デコラ・合板・木材・プラスチック・人造大理石などの面取りが誰でも簡単にでき、きれいに仕上がります。<br>●ベアリングがガイドとなるため、曲線・直線・内側・外側・コーナーの面取りが自由自在にできます。<br>●加工用途に応じ最適な刃物を選定ください。<br><br>●被削材：デコラ、合板、木材、プラスチック、人造大理石など。<br>●面取り、目地払い、切り抜き、穴ほり、アリ（オスメス）加工など、さまざまな作業に。<br><br>●刃数：2<br>●軸径(mm)：12<br>●刃径(mm)：43<br>●刃長(mm)：15<br>●全長(mm)：55.5<br>●質量(g)：140<br>●R半径(mm)：12<br><br>●使用ベアリング：B19<br>●使用電動工具：ルーター(※電動工具の付属アダプターをご使用ください)<br>●ボーズ面<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【B4】(3973913) コーナービット　ボーズ４分 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【B4】(3973913) コーナービット　ボーズ４分 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【B4】(3973913) コーナービット　ボーズ４分 受注単位1[rn]
17-21737,,3288.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【S1218】(3973824) 木工ビット　超硬ストレート１２×１８ 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1分間に約20000～25000回転で切削できます。<br>●切れ味が良く長寿命で、きれいに加工できます。<br><br>●被削材：木材、樹脂、人造大理石など。<br>●木材系材料・樹脂系(人造大理石)材料の穴掘り、溝掘り、切り抜き作業に最適です。<br><br>●刃数：2<br>●軸径(mm)：12<br>●刃径(mm)：18<br>●刃長(mm)：30<br>●全長(mm)：75<br>●質量(g)：70<br><br>●使用電動工具：ルーター(※電動工具の付属アダプターをご使用ください)<br>●ルーター用<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【S1218】(3973824) 木工ビット　超硬ストレート１２&times;１８ 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【S1218】(3973824) 木工ビット　超硬ストレート１２&times;１８ 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【S1218】(3973824) 木工ビット　超硬ストレート１２&times;１８ 受注単位1[rn]
17-21738,,4819.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【UB1210】(7565747) ソコギリビット 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●芯まで刃が付いているので、もぐり・切抜き・溝掘りを一発で行うことができます。<br>●豊富な種類のサイズをご用意していますので、用途に合わせてサイズを選択できます。<br><br>●被削材：木材。<br><br>●刃数：2<br>●軸径(mm)：12<br>●刃径(mm)：10<br>●刃長(mm)：25<br>●全長(mm)：70<br><br>●使用電動工具：NCルーター、ルーター<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【UB1210】(7565747) ソコギリビット 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【UB1210】(7565747) ソコギリビット 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【UB1210】(7565747) ソコギリビット 受注単位1[rn]
17-21739,,4705.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【S1225】(3973841) 木工ビット　超硬ストレート１２×２５ 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1分間に約20000～25000回転で切削できます。<br>●切れ味が良く長寿命で、きれいに加工できます。<br><br>●被削材：木材、樹脂、人造大理石など。<br>●木材系材料・樹脂系(人造大理石)材料の穴掘り、溝掘り、切り抜き作業に最適です。<br><br>●刃数：2<br>●軸径(mm)：12<br>●刃径(mm)：25<br>●刃長(mm)：30<br>●全長(mm)：75<br>●質量(g)：90<br><br>●使用電動工具：ルーター(※電動工具の付属アダプターをご使用ください)<br>●ルーター用<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【S1225】(3973841) 木工ビット　超硬ストレート１２&times;２５ 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【S1225】(3973841) 木工ビット　超硬ストレート１２&times;２５ 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【S1225】(3973841) 木工ビット　超硬ストレート１２&times;２５ 受注単位1[rn]
17-21740,,2551.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【SO63】(3561992) 超硬ソリッドストレートビット　６×３ 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●超硬ムクのため、超硬ストレートビットよりも剛性が高く折れにくいです。<br><br>●被削材：木材、樹脂、人造大理石など。<br><br>●刃数：2<br>●軸径(mm)：6<br>●刃径(mm)：3<br>●刃長(mm)：10<br>●全長(mm)：35<br>●質量(g)：22<br><br>●使用電動工具：トリマー<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【SO63】(3561992) 超硬ソリッドストレートビット　６&times;３ 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【SO63】(3561992) 超硬ソリッドストレートビット　６&times;３ 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【SO63】(3561992) 超硬ソリッドストレートビット　６&times;３ 受注単位1[rn]
17-21741,,4536.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【KM45】(3562247) コーナービット　カサ付面取４５° 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●デコラ・合板・木材・プラスチック・人造大理石などの面取りが誰でも簡単にでき、きれいに仕上がります。<br>●ベアリングがガイドとなるため、曲線・直線・内側・外側・コーナーの面取りが自由自在にできます。<br>●加工用途に王子最適な刃物を選定ください。<br><br>●被削材：デコラ、合板、木材、プラスチック、人造大理石など。<br>●面取り、目地払い、切り抜き、穴ほり、アリ（オスメス）加工など、さまざまな作業に。<br><br>●刃数：2<br>●軸径(mm)：6<br>●刃径(mm)：26<br>●刃長(mm)：12<br>●全長(mm)：42<br>●質量(g)：40<br><br>●使用ベアリング：KB10<br>●使用電動工具：トリマー<br>●カサ付面取<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【KM45】(3562247) コーナービット　カサ付面取４５&deg; 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【KM45】(3562247) コーナービット　カサ付面取４５&deg; 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【KM45】(3562247) コーナービット　カサ付面取４５&deg; 受注単位1[rn]
17-21742,,4592.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【SA2】(3562115) コーナービット　サジ２分 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●デコラ・合板・木材・プラスチック・人造大理石などの面取りが誰でも簡単にでき、きれいに仕上がります。<br>●ベアリングがガイドとなるため、曲線・直線・内側・外側・コーナーの面取りが自由自在にできます。<br>●加工用途に王子最適な刃物を選定ください。<br><br>●被削材：デコラ、合板、木材、プラスチック、人造大理石など。<br>●面取り、目地払い、切り抜き、穴ほり、アリ（オスメス）加工など、さまざまな作業に。<br><br>●刃数：2<br>●軸径(mm)：6<br>●刃径(mm)：20<br>●刃長(mm)：10<br>●全長(mm)：40<br>●質量(g)：34<br>●R半径(mm)：6<br><br>●使用ベアリング：B8<br>●使用電動工具：トリマー<br>●サジ面<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【SA2】(3562115) コーナービット　サジ２分 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【SA2】(3562115) コーナービット　サジ２分 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【SA2】(3562115) コーナービット　サジ２分 受注単位1[rn]
17-21743,,2097.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【S612】(3561984) 木工ビット　超硬ストレート６×１２ 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1分間に約20000～30000回転で切削できます。<br>●切れ味が良く長寿命で、きれいに加工できます。<br>●木材系材料・樹脂系（人造大理石）材料の穴掘り、溝堀り、切り抜き作業に最適です。<br><br>●被削材：木材、樹脂、人造大理石など。<br><br>●刃数：2<br>●軸径(mm)：6<br>●刃径(mm)：12<br>●刃長(mm)：30<br>●全長(mm)：60<br>●質量(g)：32<br><br>●使用電動工具：トリマー<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【S612】(3561984) 木工ビット　超硬ストレート６&times;１２ 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【S612】(3561984) 木工ビット　超硬ストレート６&times;１２ 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【S612】(3561984) 木工ビット　超硬ストレート６&times;１２ 受注単位1[rn]
17-21744,,4592.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【YB4.5】(3562280) コーナービット　横溝ビット　４．５×６．５ 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●デコラ・合板・木材・プラスチック・人造大理石などの面取りが誰でも簡単にでき、きれいに仕上がります。<br>●ベアリングがガイドとなるため、曲線・直線・内側・外側・コーナーの面取りが自由自在にできます。<br>●加工用途に王子最適な刃物を選定ください。<br><br>●被削材：デコラ、合板、木材、プラスチック、人造大理石など。<br>●面取り、目地払い、切り抜き、穴ほり、アリ（オスメス）加工など、さまざまな作業に。<br><br>●刃数：2<br>●軸径(mm)：6<br>●刃径(mm)：28<br>●刃長(mm)：4.5<br>●全長(mm)：55<br>●質量(g)：48<br><br>●使用ベアリング：YB15<br>●使用電動工具：トリマー<br>●横ミゾビット<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【YB4.5】(3562280) コーナービット　横溝ビット　４．５&times;６．５ 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【YB4.5】(3562280) コーナービット　横溝ビット　４．５&times;６．５ 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【YB4.5】(3562280) コーナービット　横溝ビット　４．５&times;６．５ 受注単位1[rn]
17-21745,,4422.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【B1】(3562158) コーナービット　ボーズ１分 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●デコラ・合板・木材・プラスチック・人造大理石などの面取りが誰でも簡単にでき、きれいに仕上がります。<br>●ベアリングがガイドとなるため、曲線・直線・内側・外側・コーナーの面取りが自由自在にできます。<br>●加工用途に王子最適な刃物を選定ください。<br><br>●被削材：デコラ、合板、木材、プラスチック、人造大理石など。<br>●面取り、目地払い、切り抜き、穴ほり、アリ（オスメス）加工など、さまざまな作業に。<br><br>●刃数：2<br>●軸径(mm)：6<br>●刃径(mm)：15<br>●刃長(mm)：7<br>●全長(mm)：37<br>●質量(g)：29<br>●R半径(mm)：3<br><br>●使用ベアリング：B8<br>●使用電動工具：トリマー<br>●ボーズ面<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【B1】(3562158) コーナービット　ボーズ１分 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【B1】(3562158) コーナービット　ボーズ１分 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【B1】(3562158) コーナービット　ボーズ１分 受注単位1[rn]
17-21746,,4876.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【HY3】(3562107) コーナービット　ヒョウタン３分 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●デコラ・合板・木材・プラスチック・人造大理石などの面取りが誰でも簡単にでき、きれいに仕上がります。<br>●ベアリングがガイドとなるため、曲線・直線・内側・外側・コーナーの面取りが自由自在にできます。<br>●加工用途に王子最適な刃物を選定ください。<br><br>●被削材：デコラ、合板、木材、プラスチック、人造大理石など。<br>●面取り、目地払い、切り抜き、穴ほり、アリ（オスメス）加工など、さまざまな作業に。<br><br>●刃数：2<br>●軸径(mm)：6<br>●刃径(mm)：26<br>●刃長(mm)：12<br>●全長(mm)：42<br>●質量(g)：40<br><br>●使用ベアリング：B8<br>●使用電動工具：トリマー<br>●ヒョータン面<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【HY3】(3562107) コーナービット　ヒョウタン３分 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【HY3】(3562107) コーナービット　ヒョウタン３分 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【HY3】(3562107) コーナービット　ヒョウタン３分 受注単位1[rn]
17-21747,,4252.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【KA3】(3562239) コーナービット　角面３分（４５°） 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●デコラ・合板・木材・プラスチック・人造大理石などの面取りが誰でも簡単にでき、きれいに仕上がります。<br>●ベアリングがガイドとなるため、曲線・直線・内側・外側・コーナーの面取りが自由自在にできます。<br>●加工用途に王子最適な刃物を選定ください。<br><br>●被削材：デコラ、合板、木材、プラスチック、人造大理石など。<br>●面取り、目地払い、切り抜き、穴ほり、アリ（オスメス）加工など、さまざまな作業に。<br><br>●刃数：2<br>●軸径(mm)：6<br>●刃径(mm)：26<br>●刃長(mm)：12<br>●全長(mm)：42<br>●質量(g)：38<br><br>●使用ベアリング：B8<br>●使用電動工具：トリマー<br>●角面<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【KA3】(3562239) コーナービット　角面３分（４５&deg;） 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【KA3】(3562239) コーナービット　角面３分（４５&deg;） 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【KA3】(3562239) コーナービット　角面３分（４５&deg;） 受注単位1[rn]
