17-107799,http://tshop.r10s.jp/dtc/cabinet/01315834/4905524637830.jpg?fitin=700:700,1230.4000,,TV・オーディオ・カメラ > メモリーカード > SDメモリーカード,ソニー SF-16N4(SDHCカード 16GB Class4) (SF16N4),　,動画、静止画、音楽の記録におすすめのSDHCカードです。メモ書きラベル有。ハイビジョン動画などの高画質映像の記録に適した「スピードクラス・CLASS4」に対応CPRM技術を採用した著作権保護機能を搭載・データ復旧ソフトウエア「Memory Card File Rescue」、写真からビデオクリップを自動作成するソフトウエア「x-Pict Story for Memory Card」を無償ダウンロードで提供,ソニー SF-16N4(SDHCカード 16GB Class4) (SF16N4)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneソニー SF-16N4(SDHCカード 16GB Class4) (SF16N4),　。ソニー SF-16N4(SDHCカード 16GB Class4) (SF16N4)[rn]
17-107826,http://tshop.r10s.jp/soukai/cabinet/98/4953103629998.jpg?fitin=700:700,1128.0000,,TV・オーディオ・カメラ > メモリーカード > SDメモリーカード,エレコム MicroSDカード データ復旧サービス付 クラス4 8GB MF-MRSDH08GC4R(1コ入)【エレコム(ELECOM)】[dtab],エレコム(ELECOM) / dtab★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞家電＞携帯電話・スマートフォン周辺機器＞その他＞エレコム MicroSDカード データ復旧サービス付 クラス4 8GB MF-MRSDH08GC4R (1コ入)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z98/z4953103629998.jpg' width='100%'><br><br>【エレコム MicroSDカード データ復旧サービス付 クラス4 8GB MF-MRSDH08GC4Rの商品詳細】<br>●1年間の保証期間内で1回限り、無償でデータ復旧サービスを利用できるmicroSDHCメモリカードです。<br>※データ復旧サービスは、製品状態により必ずしもすべてのデータが完全に復旧することをお約束するものではなく、データ損害については当社は責任を負いかねます。<br>●スマートフォンやタブレットの写真、ムービーなどを保存するのに最適です。<br>●読み書き時の最低速度を保証するSDスピードクラスの「cLass4」に対応し、読み書き時の最低保証速度は4MB／secを実現しています。<br>●JIS防水保護等級7(IPX7)に準拠し、メモリカードの交換時などにうっかり水に濡れてしまっても安心の防水仕様です。<br>●CPRM技術を採用した著作権保護機能を搭載しています。<br>●SD変換アダプタが付属しています。<br><br>【規格概要】<br>メモリ規格・・・SDHC CLass4<br>インターフェイス・・・microSD<br>メモリ容量・・・8GB<br>最低保証速度・・・4MB／sec<br>外形寸法・・・幅15.0mm*高さ11.0mm*奥行1.0mm<br>重量・・・約0.4g<br>付属品・・・SD変換アダプタ*1<br>保証期間・・・1年(データ復旧サービス含む)<br>その他・・・「JIS防水保護等級7(IPX7)」に準拠(※)本体のみ<br><br>【ブランド】<br>エレコム(ELECOM)<br><br>【発売元、製造元、輸入元又は販売元】<br>エレコム総合インフォメーションセンター<br><br>(ELECOM マイクロエスディーカード マイクロエスディカード マイクロSDカード データー復旧サービス付き CLass4)<br><br>エレコム総合インフォメーションセンター<br>541-8765 大阪市中央区伏見町4丁目1番1号 9F<br>0570-084-465<br><br>広告文責：株式会社爽快ドラッグ<br><br>[携帯電話・スマートフォン周辺機器/ブランド：エレコム(ELECOM)/],エレコム MicroSDカード データ復旧サービス付 クラス4 8GB MF-MRSDH08GC4R(1コ入)【エレコム(ELECOM)】[dtab]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションエレコム MicroSDカード データ復旧サービス付 クラス4 8GB MF-MRSDH08GC4R(1コ入)【エレコム(ELECOM)】[dtab],エレコム(ELECOM) / dtab★税抜1900円以上で送料無料★。エレコム MicroSDカード データ復旧サービス付 クラス4 8GB MF-MRSDH08GC4R(1コ入)【エレコム(ELECOM)】[dtab][rn]
17-107827,http://tshop.r10s.jp/soukai/cabinet/56/4991348066956.jpg?fitin=700:700,2270.4000,,TV・オーディオ・カメラ > メモリーカード > SDメモリーカード,バーベイタム microSDカード 32GB SDHC Class4 SDアダプター無し MHCN32GYVZ1(1枚入)【バーベイタム】【送料無料】,バーベイタム☆送料無料☆,お店TOP＞家電＞情報家電＞情報家電　その他＞バーベイタム microSDカード 32GB SDHC Class4 SDアダプター無し MHCN32GYVZ1 (1枚入)<br><br>☆送料無料☆<br><br>【バーベイタム microSDカード 32GB SDHC Class4 SDアダプター無し MHCN32GYVZ1の商品詳細】<br>●防水仕様 IPX7準拠<br>●著作権保護機能対応<br><br>【規格概要】<br>容量・・・32GB<br>SDスピードクラス・・・CLass 4<br><br>【ブランド】<br>バーベイタム<br><br>【発売元、製造元、輸入元又は販売元】<br>アイ・オー・データ機器<br><br>(Verbatim マイクロSDHCカード)<br><br>アイ・オー・データ機器<br>920-8513 石川県金沢市桜田町2-84<br>0120-34-4160<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[情報家電/ブランド：バーベイタム/],バーベイタム microSDカード 32GB SDHC Class4 SDアダプター無し MHCN32GYVZ1(1枚入)【バーベイタム】【送料無料】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションバーベイタム microSDカード 32GB SDHC Class4 SDアダプター無し MHCN32GYVZ1(1枚入)【バーベイタム】【送料無料】,バーベイタム☆送料無料☆。バーベイタム microSDカード 32GB SDHC Class4 SDアダプター無し MHCN32GYVZ1(1枚入)【バーベイタム】【送料無料】[rn]
17-107828,http://tshop.r10s.jp/soukai/cabinet/75/4511677066375.jpg?fitin=700:700,2423.2000,,TV・オーディオ・カメラ > メモリーカード > SDメモリーカード,グリーンハウス microSDHCカード(アダプタ付属) 32GB クラス4 GH-SDMRHC32G4(1コ入)【グリーンハウス(GREEN HOUSE)】【送料無料】,グリーンハウス(GREEN HOUSE)☆送料無料☆,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞家電＞情報家電＞情報家電　その他＞グリーンハウス microSDHCカード(アダプタ付属) 32GB クラス4 GH-SDMRHC32G4 (1コ入)<br><br>☆送料無料☆<br><br>【グリーンハウス microSDHCカード(アダプタ付属) 32GB クラス4 GH-SDMRHC32G4の商品詳細】<br>●「GH-SDMRHCG4シリーズ」は、SDカードアソシエーションによる新規格(Ver.3.00)に対応した大容量のmicroSDHCカードです。<br>●SDスピードクラス「CLass4」に対応<br>より高画質で大容量化が進むカメラ付き携帯電話などでの長時間動画記録／再生、さらにデジタルオーディオプレーヤーでの長時間記録に適した仕様になっています。<br>●JIS防水保護等級7に適合した完全防水設計<br>万一microSDHCカードを水に落としてしまった場合でも、カード内部に浸水することはなく、データを壊す心配はありません。<br>●安心の3年間保証<br>●メモ書きしてハードケースに貼れるINDEXシール付き<br>●持ち運びに便利なハードケース付<br>●高度な著作権保護機能SDMI(Secure DigitaL Music Initiative)規格に準拠<br>●鉛等の含有量を抑えた環境にやさしい、RoHS指令対応<br>●環境に配慮した「紙資源節約」エコパッケージ採用<br><br>【規格概要】<br>規格・・・SD Memory Card Specification Ver3.0準拠<br>SDスピードクラス・・・CLass4<br>防水性能・・・JIS防水保護等級7に適合※<br>※付属のSDメモリーカード変換アダプタは防水設計ではありません。<br>電源電圧・・・2.7～3.6V<br>使用温度・・・0度～+70度<br>使用湿度・・・30％～80％(結露なきこと)<br>外形寸法・・・15.0(W)*11.0(D)*1.0(H)mm<br>重量・・・約0.4g<br>保証・・・3年間<br>付属品・・・SDメモリーカード変換アダプタ、INDEXシール、microSDHC用ハードケース、3年間保証書<br>対応機種・・・microSDHC／SDHC規格対応機器<br>※microSDHCロゴが表記されているmicroSDHC対応機器のみに対応します。また、SDカードアダプタを使用してSDHC対応機器にも対応します。従来のmicroSDカード ／ SDメモリーカードのみに対応した機器では使用できません。<br>【注意事項】<br>・SD、SDHCロゴはSD-3C LLCの商標です。<br>・本製品は、microSDHC／SDHC対応機器以外に使用しないでください。<br>・本製品の使用により生じたデータ損失、および接続機器等の損害につきましては、弊社はいかなる責任も負いかねますので予めご了承ください。<br>・記載されている会社名、商品名は各社の商標または登録商標です。<br>・製品のデザイン、仕様は改良等により、予告なしに変更する場合があります。<br><br>【ブランド】<br>グリーンハウス(GREEN HOUSE)<br><br>【発売元、製造元、輸入元又は販売元】<br>グリーンハウス<br><br>(GREEN HOUSE SDカード microSD SDHCカード フラッシュメモリ)<br><br>グリーンハウス<br>150-0013 東京都渋谷区恵比寿1-19-15 ウノサワ東急ビル5F<br>03-5421-2255<br><br>広告文責：株式会社爽快ドラッグ<br><br>[情報家電/ブランド：グリーンハウス(GREEN HOUSE)/],グリーンハウス microSDHCカード(アダプタ付属) 32GB クラス4 GH-SDMRHC32G4(1コ入)【グリーンハウス(GREEN HOUSE)】【送料無料】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーショングリーンハウス microSDHCカード(アダプタ付属) 32GB クラス4 GH-SDMRHC32G4(1コ入)【グリーンハウス(GREEN HOUSE)】【送料無料】,グリーンハウス(GREEN HOUSE)☆送料無料☆。グリーンハウス microSDHCカード(アダプタ付属) 32GB クラス4 GH-SDMRHC32G4(1コ入)【グリーンハウス(GREEN HOUSE)】【送料無料】[rn]
17-107829,http://tshop.r10s.jp/soukai/cabinet/31/4511677063831.jpg?fitin=700:700,1370.4000,,TV・オーディオ・カメラ > メモリーカード > SDメモリーカード,グリーンハウス SDHCメモリーカード(MLCチップ) クラス4 16GB GH-SDHC16G4F(1コ入)【グリーンハウス(GREEN HOUSE)】,グリーンハウス(GREEN HOUSE)(税抜1900円以上で送料無料),★税抜1900円以上で送料無料★<br>【発売元、製造元、輸入元又は販売元】グリーンハウス<br>【商品詳細】<br>●「GH-SDHC*G4F」シリーズは、コストパフォーマンスに優れているMLCチップを採用したSDHCメモリーカードです。<br>●SDスピードクラス「CLass4」に対応<br>SDカードアソシエーションで規定された高画質な動画記録などを安定して行うための規格「SDスピードクラス」の、「CLass4」に対応しています。<br>※SDHCロゴが表記されているSDHC対応機器のみに対応します。<br>●データ管理に便利なメモ書き可能なラベルと、ハードケースに貼れるINDEXシール付き<br>●転送速度20MB／sの高速転送を実現！<br>●環境に配慮した「紙資源節約」エコパッケージ採用<br>従来パッケージに比べて紙素材を約30％削減し、プラスチック素材を完全に排除したエコパッケージを採用しました。<br>●安心の3年間保証<br>●持ち運びに便利なハードケース付<br>●誤消去を防ぐプロテクトスイッチ付<br>●高度な著作権保護機能SDMI(Secure DigitaL Music Initiative)規格に準拠<br>●鉛等の含有量を抑えた環境にやさしい、RoHS指令対応。<br>【規格概要】<br><table width=350 border=2><tr><td>規格・・・SD Memory Card Specification Ver2.0準拠<br>タイプ・・・MLC<br>転送速度・・・「読み込み時」 20MB／s、「書き込み時」 最大10MB／s<br>SDスピードクラス・・・CLass4<br>電源電圧・・・2.7～3.6V<br>消費電流・・・100mA(max)<br>使用温度・・・0度～+70度<br>使用湿度・・・25％～95％(結露なきこと)<br>外形寸法・・・24.0(W)*32.0(D)*2.1(H)mm<br>重量・・・約2.0g<br>保証・・・3年間<br>対応機種・・・SDHC規格対応機器<br>※SDHCロゴが表記されているSDHC対応機器のみに対応します。従来のSD規格とは互換性がありませんので、SDメモリーカードのみに対応した機器では使用できません。対応できる機器は、下記のSDHCロゴが本体または取扱説明書に表記されているSDHC対応機器のみになりますのでご注意ください。</td></tr></table><br>【注意事項】<br>・SD、SDHCロゴはSD-3C LLCの商標です。<br>・本製品は、SDHC対応機器以外に使用しないでください。<br>・製品のデザイン、仕様は改良等により、予告なしに変更する場合があります。<br>・記載されている商品名、製品名は各社の商標および登録商標です。<p>(GREEN HOUSE SDカード SDHCカード フラッシュメモリ)</p><p>広告文責：株式会社爽快ドラッグ</p>,グリーンハウス SDHCメモリーカード(MLCチップ) クラス4 16GB GH-SDHC16G4F(1コ入)【グリーンハウス(GREEN HOUSE)】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーショングリーンハウス SDHCメモリーカード(MLCチップ) クラス4 16GB GH-SDHC16G4F(1コ入)【グリーンハウス(GREEN HOUSE)】,グリーンハウス(GREEN HOUSE)(税抜1900円以上で送料無料)。グリーンハウス SDHCメモリーカード(MLCチップ) クラス4 16GB GH-SDHC16G4F(1コ入)【グリーンハウス(GREEN HOUSE)】[rn]
17-107830,http://tshop.r10s.jp/s-plaza/cabinet/shohin03/imgrc0063257429.jpg?fitin=700:700,799.2000,,TV・オーディオ・カメラ > メモリーカード > SDメモリーカード,送料無料 ( メール便 ) ゾロ目特価！【大容量16GB】 マイクロSDHCカード 信頼の SanDisk サンディスク製 SDアダプター付き スマホ特集！ 【 マイクロSDカード SDメモリーカード フラッシュメモリー データ 保存 スマートフォン PC パソコン 】 送料込 ◇ microSDHC/16GB,◆最安値に挑戦◆,,送料無料 ( メール便 ) ゾロ目特価！【大容量16GB】 マイクロSDHCカード 信頼の SanDisk サンディスク製 SDアダプター付き スマホ特集！ 【 マイクロSDカード SDメモリーカード フラッシュメモリー データ 保存 スマートフォン PC パソコン 】 送料込 ◇ microSDHC/16GB：セールプラザ,送料無料 ( メール便 ) ゾロ目特価！【大容量16GB】 マイクロSDHCカード 信頼の SanDisk サンディスク製 SDアダプター付き スマホ特集！ 【 マイクロSDカード SDメモリーカード フラッシュメモリー データ 保存 スマートフォン PC パソコン 】 送料込 ◇ microSDHC/16GB,◆最安値に挑戦◆。送料無料 ( メール便 ) ゾロ目特価！【大容量16GB】 マイクロSDHCカード 信頼の SanDisk サンディスク製 SDアダプター付き スマホ特集！ 【 マイクロSDカード SDメモリーカード フラッシュメモリー データ 保存 スマートフォン PC パソコン 】 送料込 ◇ microSDHC/16GB[rn]
17-107831,http://tshop.r10s.jp/s-plaza/cabinet/shohin03/imgrc0065382329.jpg?fitin=700:700,1576.0000,,TV・オーディオ・カメラ > メモリーカード > SDメモリーカード,送料無料 ( メール便 ) 【大容量32GB】 マイクロSDHCカード 信頼の SanDisk サンディスク製 SDアダプター付き スマホ特集！ 【検索: マイクロSDカード SDメモリーカード フラッシュメモリー データ 保存 スマートフォン PC パソコン 】 送料込 ◇ microSDHC/32GB,◆最安値に挑戦◆,,送料無料 ( メール便 ) 【大容量32GB】 マイクロSDHCカード 信頼の SanDisk サンディスク製 SDアダプター付き スマホ特集！ 【検索: マイクロSDカード SDメモリーカード フラッシュメモリー データ 保存 スマートフォン PC パソコン 】 送料込 ◇ microSDHC/32GB：セールプラザ,送料無料 ( メール便 ) 【大容量32GB】 マイクロSDHCカード 信頼の SanDisk サンディスク製 SDアダプター付き スマホ特集！ 【検索: マイクロSDカード SDメモリーカード フラッシュメモリー データ 保存 スマートフォン PC パソコン 】 送料込 ◇ microSDHC/32GB,◆最安値に挑戦◆。送料無料 ( メール便 ) 【大容量32GB】 マイクロSDHCカード 信頼の SanDisk サンディスク製 SDアダプター付き スマホ特集！ 【検索: マイクロSDカード SDメモリーカード フラッシュメモリー データ 保存 スマートフォン PC パソコン 】 送料込 ◇ microSDHC/32GB[rn]
17-107832,http://tshop.r10s.jp/s-plaza/cabinet/shohin03/imgrc0063257426.jpg?fitin=700:700,680.0000,,TV・オーディオ・カメラ > メモリーカード > SDメモリーカード,送料無料 ( メール便 ) 【8GB】 マイクロSDHCカード 信頼の SanDisk サンディスク製 SDアダプター付き スマホ特集！ 【検索: マイクロSDカード SDメモリーカード フラッシュメモリー データ 保存 高品質 スマートフォン PC パソコン 】 送料込 ◇ microSDHC/8GB,◆最安値に挑戦◆,,送料無料 ( メール便 ) 【8GB】 マイクロSDHCカード 信頼の SanDisk サンディスク製 SDアダプター付き スマホ特集！ 【検索: マイクロSDカード SDメモリーカード フラッシュメモリー データ 保存 高品質 スマートフォン PC パソコン 】 送料込 ◇ microSDHC/8GB：セールプラザ,送料無料 ( メール便 ) 【8GB】 マイクロSDHCカード 信頼の SanDisk サンディスク製 SDアダプター付き スマホ特集！ 【検索: マイクロSDカード SDメモリーカード フラッシュメモリー データ 保存 高品質 スマートフォン PC パソコン 】 送料込 ◇ microSDHC/8GB,◆最安値に挑戦◆。送料無料 ( メール便 ) 【8GB】 マイクロSDHCカード 信頼の SanDisk サンディスク製 SDアダプター付き スマホ特集！ 【検索: マイクロSDカード SDメモリーカード フラッシュメモリー データ 保存 高品質 スマートフォン PC パソコン 】 送料込 ◇ microSDHC/8GB[rn]
17-107833,http://tshop.r10s.jp/soukai/cabinet/52/4991348067052.jpg?fitin=700:700,808.0000,,TV・オーディオ・カメラ > メモリーカード > SDメモリーカード,バーベイタム microSDカード 16GB SDHC Class10 SDアダプター無し MHCN16GJVZ1(1枚入)【バーベイタム】,バーベイタム★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞家電＞情報家電＞情報家電　その他＞バーベイタム microSDカード 16GB SDHC Class10 SDアダプター無し MHCN16GJVZ1 (1枚入)<br><br>★税抜1900円以上で送料無料★<br><br>【バーベイタム microSDカード 16GB SDHC Class10 SDアダプター無し MHCN16GJVZ1の商品詳細】<br>●防水仕様 IPX7準拠<br>●著作権保護機能対応<br><br>【規格概要】<br>容量・・・16GB<br>SDスピードクラス・・・CLass 10<br><br>【ブランド】<br>バーベイタム<br><br>【発売元、製造元、輸入元又は販売元】<br>アイ・オー・データ機器<br><br>(Verbatim マイクロSDHCカード)<br><br>アイ・オー・データ機器<br>920-8513 石川県金沢市桜田町2-84<br>0120-34-4160<br><br>広告文責：株式会社爽快ドラッグ<br><br>[情報家電/ブランド：バーベイタム/],バーベイタム microSDカード 16GB SDHC Class10 SDアダプター無し MHCN16GJVZ1(1枚入)【バーベイタム】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションバーベイタム microSDカード 16GB SDHC Class10 SDアダプター無し MHCN16GJVZ1(1枚入)【バーベイタム】,バーベイタム★税抜1900円以上で送料無料★。バーベイタム microSDカード 16GB SDHC Class10 SDアダプター無し MHCN16GJVZ1(1枚入)【バーベイタム】[rn]
17-107834,http://tshop.r10s.jp/emedama/cabinet/mc131/65915.jpg?fitin=700:700,1264.0000,,TV・オーディオ・カメラ > メモリーカード > SDメモリーカード,【DM便送料無料】 キタムラオリジナル SDHCカード 16GB CKSDH16GCL10UI UHS-I対応 Class10,,"<img src=""http://www.rakuten.ne.jp/gold/emedama/page/sp/images/sp_banner01.jpg"" width=""100%"" height=""auto""><br><img src=""http://www.rakuten.ne.jp/gold/emedama/page/sp/images/sp_banner02.jpg"" width=""100%"" height=""auto""><br><br>
【ご案内】クロネコDM便配送をご希望のお客さまへ<br>
<br>
・ご注文時、配送方法「宅配便（送料有料）」が選択されています<br>
・お手数ですが、「クロネコDM便（送料無料）」に変更してご注文ください<br>
<br>
【製品特徴】<br>■高性能なSDカードをお求め安い価格でご用意する カメラのキタムラオリジナルモデル<br>■スピードクラスClass10　UHS-I に対応しているので高速連写、大容量のデータ転送に適しています<br>■最大読込速度が80MB/sなので、SDカード内のデータもストレスなく読込みできます<br>■東芝製メモリーチップを採用<br>【製品仕様】<br>●容量：16GB<br>●読込速度：80MB/s<br>●書込速度：20MB/s<br>●SDスピードクラス：Class10<br>●UHS-I 対応<br>●ファイルシステム：FAT32<br>●サイズ：32mm×24mm×2.1mm<br>●メーカー保証：1年間<br>●付属品：SDメモリカードクリアケース<br>※データ転送速度は理論値であり、性能を保証するものではありません。<br>　これらの値は、メーカー規定条件での速度であり、使用条件・使用機器により速度は変わります。
<br><br>※詳しくはメーカーサイトをご確認下さい。
<br><br>`オリジナルCKSDH16GCL10UISDHCカード16GB`キタムラオリジナル`SDカード `
<br><br>
<!--■[ST]在庫返品案内-->
● 商品の返品について
<!--■在庫返品案内■-->",【DM便送料無料】 キタムラオリジナル SDHCカード 16GB CKSDH16GCL10UI UHS-I対応 Class10：カメラのキタムラ,【DM便送料無料】 キタムラオリジナル SDHCカード 16GB CKSDH16GCL10UI UHS-I対応 Class10,【DM便送料無料】 キタムラオリジナル SDHCカード 16GB CKSDH16GCL10UI UHS-I対応 Class10[rn]
17-107835,http://tshop.r10s.jp/akibaoo-r/cabinet/gi554/4562131642987.jpg?fitin=700:700,428.0000,,TV・オーディオ・カメラ > メモリーカード > SDメモリーカード,【TOSHIBA 国内正規品 東芝】SD-ME004GS,,メモリー種類：microSDHCメモリーカードメモリー容量：4GBスピードクラス：CLASS4,【TOSHIBA 国内正規品 東芝】SD-ME004GS：あきばお～楽天市場支店,メモリーブルーレイDVDテレビレコーダー安同人オタクアキバフィギュアスマートフォンiPhone電池充電おもちゃ空気清浄機家電オーディオカー雑貨【TOSHIBA 国内正規品 東芝】SD-ME004GS,【TOSHIBA 国内正規品 東芝】SD-ME004GS[rn]
17-107836,http://tshop.r10s.jp/akibaoo-r/cabinet/gi537/4548736034785.jpg?fitin=700:700,1252.0000,,TV・オーディオ・カメラ > メモリーカード > SDメモリーカード,【ソニー(SONY)海外パッケージ】SR-32UY3A/T,【メール便6個まで対象商品】,"高画質カメラ搭載スマートフォンでも安心して撮影が可能高画質連写撮影、大容量データの高速転送に最適CPRM技術を採用した著作権保護機能SD変換アダプター付属。<br>容量：32GB&nbsp;大きさ：縦11×横15×厚さ1mm&nbsp;UHS-I、クラス10質量：約1g&nbsp;<br><font color=""#ff0000"">※海外向けパッケージ品の為、国内でのサポートはありません。</font>",【ソニー(SONY)海外パッケージ】SR-32UY3A/T：あきばお～楽天市場支店,メモリーブルーレイDVDテレビレコーダー安同人オタクアキバフィギュアスマートフォンiPhone電池充電おもちゃ空気清浄機家電オーディオカー雑貨【ソニー(SONY)海外パッケージ】SR-32UY3A/T,【メール便6個まで対象商品】。【ソニー(SONY)海外パッケージ】SR-32UY3A/T[rn]
17-107837,http://tshop.r10s.jp/akibaoo-r/cabinet/gi537/4548736034761.jpg?fitin=700:700,740.8000,,TV・オーディオ・カメラ > メモリーカード > SDメモリーカード,【ソニー(SONY)海外パッケージ】SR-16UY3A/T,,"高画質カメラ搭載スマートフォンでも安心して撮影が可能高画質連写撮影、大容量データの高速転送に最適CPRM技術を採用した著作権保護機能SD変換アダプター付属。<br>容量：16GB&nbsp;大きさ：縦11×横15×厚さ1mm&nbsp;UHS-I、クラス10質量：約1g&nbsp;<br><br><font color=""#ff0000"">※海外向けパッケージ品の為、国内でのサポートはありません。</font>",【ソニー(SONY)海外パッケージ】SR-16UY3A/T：あきばお～楽天市場支店,メモリーブルーレイDVDテレビレコーダー安同人オタクアキバフィギュアスマートフォンiPhone電池充電おもちゃ空気清浄機家電オーディオカー雑貨【ソニー(SONY)海外パッケージ】SR-16UY3A/T,【ソニー(SONY)海外パッケージ】SR-16UY3A/T[rn]
17-107838,http://tshop.r10s.jp/akibaoo-r/cabinet/gi537/4548736034808.jpg?fitin=700:700,2496.8000,,TV・オーディオ・カメラ > メモリーカード > SDメモリーカード,【ソニー(SONY)海外パッケージ】SR-64UY3A/T,,"高画質カメラ搭載スマートフォンでも安心して撮影が可能高画質連写撮影、大容量データの高速転送に最適CPRM技術を採用した著作権保護機能SD変換アダプター付属。<br>容量：64GB&nbsp;大きさ：縦11×横15×厚さ1mm&nbsp;UHS-I、クラス10&nbsp;質量：約1g&nbsp;<br><font color=""#ff0000"">※海外向けパッケージ品の為、国内でのサポートはありません。</font>",【ソニー(SONY)海外パッケージ】SR-64UY3A/T：あきばお～楽天市場支店,メモリーブルーレイDVDテレビレコーダー安同人オタクアキバフィギュアスマートフォンiPhone電池充電おもちゃ空気清浄機家電オーディオカー雑貨【ソニー(SONY)海外パッケージ】SR-64UY3A/T,【ソニー(SONY)海外パッケージ】SR-64UY3A/T[rn]
17-107839,http://tshop.r10s.jp/akibaoo-r/cabinet/gi194/0619659134020.jpg?fitin=700:700,704.0000,,TV・オーディオ・カメラ > メモリーカード > SDメモリーカード,【サンディスク(SanDisk) 海外パッケージ】【microSDHC 16GB】SDSQUNB-016G-GN3MN【Class10】,【メール便6個まで対象商品】,"サンディスク(SanDisk) 製海外パッケージmicroSDHCカード 320x(倍速)容量:16GBClass10 UHS-I対応&nbsp;最大R:48MB/s&nbsp;<font color=""#cc0000"">＊倍速など商品概要はメーカーの意向で予告なく変更ある場合がございますのでご了承お願いいたします。</font>",【サンディスク(SanDisk) 海外パッケージ】【microSDHC 16GB】SDSQUNB-016G-GN3MN【Class10】：あきばお～楽天市場支店,メモリーブルーレイDVDテレビレコーダー安同人オタクアキバフィギュアスマートフォンiPhone電池充電おもちゃ空気清浄機家電オーディオカー雑貨【サンディスク(SanDisk) 海外パッケージ】【microSDHC 16GB】SDSQUNB-016G-GN3MN【Class10】,【メール便6個まで対象商品】。【サンディスク(SanDisk) 海外パッケージ】【microSDHC 16GB】SDSQUNB-016G-GN3MN【Class10】[rn]
17-107840,http://tshop.r10s.jp/akibaoo-r/cabinet/gi535/0619659154592.jpg?fitin=700:700,19111.2000,,TV・オーディオ・カメラ > メモリーカード > SDメモリーカード,【サンディスク(SanDisk) 海外パッケージ】【microSDXC 256GB】SDSQUAM-256G-GN6MA【Class10】【UHS-1】,,【microSDXC 256GB】【Class10】【UHS-1】容量：256GB 最大読込速度95MB/s<br>海外パッケージ品の為、メーカーでのサポートはありません。,【サンディスク(SanDisk) 海外パッケージ】【microSDXC 256GB】SDSQUAM-256G-GN6MA【Class10】【UHS-1】：あきばお～楽天市場支店,メモリーブルーレイDVDテレビレコーダー安同人オタクアキバフィギュアスマートフォンiPhone電池充電おもちゃ空気清浄機家電オーディオカー雑貨【サンディスク(SanDisk) 海外パッケージ】【microSDXC 256GB】SDSQUAM-256G-GN6MA【Class10】【UHS-1】,【サンディスク(SanDisk) 海外パッケージ】【microSDXC 256GB】SDSQUAM-256G-GN6MA【Class10】【UHS-1】[rn]
17-107841,http://tshop.r10s.jp/akibaoo-r/cabinet/gi529/0765441027831.jpg?fitin=700:700,2008.0000,,TV・オーディオ・カメラ > メモリーカード > SDメモリーカード,【チーム(Team)】TCUSDX64GUHS02 カラーマイクロアダプターなし,,<b>スマートフォン、カメラやビデオカメラなどに。</b><b>カラフルなデザインのmicroSDXC</b><b>複数のアプリケーションを同時起動しても速度を低下させません。</b><br>microSDXC容量:64GB最大読み取り速度:80Mbs最大書き込み速度:15Mbsアダプタなし※速度は使用状況により異なります。,【チーム(Team)】TCUSDX64GUHS02 カラーマイクロアダプターなし：あきばお～楽天市場支店,メモリーブルーレイDVDテレビレコーダー安同人オタクアキバフィギュアスマートフォンiPhone電池充電おもちゃ空気清浄機家電オーディオカー雑貨【チーム(Team)】TCUSDX64GUHS02 カラーマイクロアダプターなし,【チーム(Team)】TCUSDX64GUHS02 カラーマイクロアダプターなし[rn]
