17-133199,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img59269347.jpg?fitin=700:700,456.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　　タスマニアンメリノ,編みやすい並太毛糸,"重さ：40ｇ<br>
糸長：約120ｍ<br>
太さ：棒針5～6号、かぎ針4/0～5/0号<br>
素材：ウール　100％（タスマニアンメリノ）<br>
その他：メリヤス編標準ゲージ22～23目/30～32段<br>
婦人セーター　約9玉、婦人ベスト　約6玉、紳士セーター約12玉<br>
<br>
糸の特徴：豊かな自然の中で育てられた高級ウール、タスマニアンメリノ100％の上質ストレートヤーンです。<br>ぬめり感のあるソフトなタッチは、編みやすく、着心地の良さを実感できます。<br>白度に優れたウールですから、美しい発色を生み出しています。またトップ染で素材の風合いが生き、ロット表示もありません。
<br>
ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。",ダイヤ毛糸　　　タスマニアンメリノ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　　タスマニアンメリノ,編みやすい並太毛糸。ダイヤ毛糸　　　タスマニアンメリノ[rn]
17-133246,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img62142264.jpg?fitin=700:700,408.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　モヘアパレ,なめらかなタッチの、少し太めで編みやすい定番モヘア,重さ：30ｇ<br>糸長：88ｍ<br>太さ：棒針9～10号、かぎ針7/0～8/0号<br>素材：モヘア　30%（キッドモヘア）、アルパカ　10％（ベビーアルパカ）、アクリル　60％　<br>その他：メリヤス編標準ゲージ15～17目/21～23段<br>婦人セーター　約8玉、婦人ベスト　約5玉、<br>紳士セーター　約10玉<br>糸の特徴：キッドモヘアと、アルパカをブレンドし、ぬめり感のあるやさしい風合いを作っています。<br>太い針で編めるので仕上がりが早いのもうれしいポイントです。<br>少し抑えた起毛感で程よいボリュームに編み上がり、とても軽い着心地です。<br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　モヘアパレ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　モヘアパレ,なめらかなタッチの、少し太めで編みやすい定番モヘア。ダイヤ毛糸　　モヘアパレ[rn]
17-133247,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img59269273.jpg?fitin=700:700,328.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　　モヘアドゥ（アルパカ）プリント　（廃盤色のみ）,かすり調　カシミヤ入りモヘア,"重さ：40ｇ<br>
糸長：約160ｍ<br>
太さ：棒針6～7号、かぎ針5/0～6/0号<br>
素材：モヘア　40％（キッドモヘア）、アルパカ　10％（ベビーアルパカ）、アクリル　50％<br>
その他：メリヤス編標準ゲージ19～21目25～27段<br>
婦人セーター　約5玉、婦人ベスト　約4玉、紳士セーター約7玉<br>
<br>
ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。<br><br>クロネコＤＭ便便　不可<br><br>",ダイヤ毛糸　　　モヘアドゥ（アルパカ）プリント　（廃盤色のみ）：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　　モヘアドゥ（アルパカ）プリント　（廃盤色のみ）,かすり調　カシミヤ入りモヘア。ダイヤ毛糸　　　モヘアドゥ（アルパカ）プリント　（廃盤色のみ）[rn]
17-133248,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img61437161.jpg?fitin=700:700,571.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　マスターシードコットン（デュエット）,ソフトで上質なコットン糸に小さなラメネップをちりばめた,"重さ：30ｇ<br>
糸長：108ｍ<br>
太さ：棒針4～5号、かぎ針3/0～4/0号<br>
素材：綿73％（マスターシード）、レーヨン　15％、キュプラ　7％、ポリエステル　5％<br>
その他：メリヤス編標準ゲージ22～24目/29～31段<br>婦人セーター　半袖　約9玉、婦人ベスト　約6玉、紳士セーター半袖約11玉<br>
<br>
ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。　<font color=""#6a1917"" size=""4"">   
403・404・406メーカー在庫切れです。
<br>
</font>
<br>",ダイヤ毛糸　　マスターシードコットン（デュエット）：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　マスターシードコットン（デュエット）,ソフトで上質なコットン糸に小さなラメネップをちりばめた。ダイヤ毛糸　　マスターシードコットン（デュエット）[rn]
17-133249,http://tshop.r10s.jp/ky-kanariya/cabinet/00379711/img59291773.jpg?fitin=700:700,530.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　マスターシードコットン（グラデ）,上質コットン、マスターシードのグラデーションタイプ,重さ：30ｇ<br>糸長：106ｍ<br>太さ：棒針4～5号、かぎ針3/0～4/0号<br>素材：綿71％（マスターシード）、アクリル29%<br>その他：メリヤス編標準ゲージ25～27目/32～34段<br>婦人セーター　半袖約9玉、婦人ベスト　約7玉、紳士セーター半袖約12玉<br><br>優しい風合いでとても編みやすく、光沢のある美しい編地は様々なデザインに対応し、どんな作品も仕上がりに上品さを感じます。<br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　マスターシードコットン（グラデ）：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　マスターシードコットン（グラデ）,上質コットン、マスターシードのグラデーションタイプ。ダイヤ毛糸　　マスターシードコットン（グラデ）[rn]
17-133250,http://tshop.r10s.jp/ky-kanariya/cabinet/00379711/img59291771.jpg?fitin=700:700,272.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　パペル（　廃盤色　）在庫限り,ナチュラルな表情が持ち味の和紙を使ったサマーヤーン,重さ：25ｇ<br>糸長：110ｍ<br>太さ：棒針6～8号、かぎ針4/0～5/0号<br>素材：綿36％、指定外繊維（和紙）27％、レーヨン17%、ナイロン20％<br>その他：メリヤス編標準ゲージ24～26目/31～33段<br>婦人セーター　半袖約9玉、婦人ベスト　約6玉<br>紳士セーター半袖約11玉<br>　<br>糸の特徴：和紙の特徴であるハリ感を生かし<br>少しラフゲージに仕上げる涼しげな作品が効果的です。<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　パペル（　廃盤色　）在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　パペル（　廃盤色　）在庫限り,ナチュラルな表情が持ち味の和紙を使ったサマーヤーン。ダイヤ毛糸　　パペル（　廃盤色　）在庫限り[rn]
17-133251,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img59269272.jpg?fitin=700:700,364.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　アンジェリカ　（　廃盤品　）在庫限り,キラキラスパンコール入り,重さ：25ｇ<br>糸長：67ｍ<br>太さ：棒針6～7号、かぎ針5/0～6/0号<br>素材：レーヨン37％、ポリエステル　63％<br>その他：メリヤス編標準ゲージ20～22目/27～29段<br>婦人セーター　約14玉、婦人ベスト　約9玉<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　アンジェリカ　（　廃盤品　）在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　アンジェリカ　（　廃盤品　）在庫限り,キラキラスパンコール入り。ダイヤ毛糸　　アンジェリカ　（　廃盤品　）在庫限り[rn]
17-133252,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img60518753.jpg?fitin=700:700,619.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　ダイヤフィーダ,繊細なグラデーションにラメの輝きが生きるストレート糸,重さ：30ｇ<br>糸長：142m<br>太さ：棒針5～6号、かぎ針4/0～5/0号<br>素材：ウール　42％、アクリル　47％、キュプラ　7％、ポリエステル　4％<br>その他：メリヤス編標準ゲージ20～22目/25～27段<br>婦人セーター　約9玉、婦人ベスト約5玉、紳士セーター　約11玉<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　ダイヤフィーダ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　ダイヤフィーダ,繊細なグラデーションにラメの輝きが生きるストレート糸。ダイヤ毛糸　ダイヤフィーダ[rn]
17-133253,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img62142102.jpg?fitin=700:700,328.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　カプリス　（　廃盤色のみ　）在庫限り,編地により様々な色の表情を見せるストレートヤーン　,"重さ：30ｇ<br>
糸長：87ｍ<br>
太さ：棒針6～7号、かぎ針5/0～6/0号<br>
素材：ウール　90%、モヘア　10％　<br>
その他：メリヤス編標準ゲージ21～22目/28～30段<br>婦人セーター　約10玉、婦人ベスト　約6玉、<br>
紳士セーター　約14玉<br>
糸の特徴：２種類の段染めを使い杢調に仕立てた、変化に富んだグラデーションが持ち味です。<br>やわらかいウールにキッドモヘアを加え、シンプルなロービングヤーンに仕立てました。<br>編みやすい並太タイプで、様々なアイテムに活躍します。　
<br>

ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。<br><br>クロネコＤＭ便便　不可<br><br>",ダイヤ毛糸　　カプリス　（　廃盤色のみ　）在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　カプリス　（　廃盤色のみ　）在庫限り,編地により様々な色の表情を見せるストレートヤーン　。ダイヤ毛糸　　カプリス　（　廃盤色のみ　）在庫限り[rn]
17-133254,http://tshop.r10s.jp/ky-kanariya/cabinet/00379711/img59271177.jpg?fitin=700:700,312.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　　マスターシードコットン（リネン）（廃盤品）在庫限り,ソフトで光沢のある上質コットンに麻を配合,重さ：30ｇ<br>糸長：96ｍ<br>太さ：棒針5～6号、かぎ針4/0～5/0号<br>素材：綿56％（マスターシード）、麻44％<br>その他：メリヤス編標準ゲージ22～24目/29～31段<br>婦人セーター　半袖約9玉、婦人ベスト　約6玉、紳士セーター半袖約11玉<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　　マスターシードコットン（リネン）（廃盤品）在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　　マスターシードコットン（リネン）（廃盤品）在庫限り,ソフトで光沢のある上質コットンに麻を配合。ダイヤ毛糸　　　マスターシードコットン（リネン）（廃盤品）在庫限り[rn]
17-133255,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img62143749.jpg?fitin=700:700,352.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　アミアアーモソムリエミックス （　廃盤色　）在庫限り,美しいグラデーションで、ソフトなふんわりリリヤーン,重さ：50ｇ<br>糸長：25ｍ<br>形状：かせ<br>素材：アクリル　70%、ナイロン　30％　<br>糸の特徴：方眼状に穴が開いた幅広テープヤーン、<br>ソフトな風合いは首元のおしゃれ小物に最適。<br><br>ライン状に3色に色分けした新バージョンは、カラフルでさらにファンシーな作品が楽しめます。<br><br>1かせでマフラーが作れます<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　アミアアーモソムリエミックス （　廃盤色　）在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　アミアアーモソムリエミックス （　廃盤色　）在庫限り,美しいグラデーションで、ソフトなふんわりリリヤーン。ダイヤ毛糸　　アミアアーモソムリエミックス （　廃盤色　）在庫限り[rn]
17-133256,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img59269290.jpg?fitin=700:700,394.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　ゴールド（中細）,編みやすい、定番の中細毛糸,"重さ：50ｇ<br>
糸長：200ｍ<br>
太さ：棒針2～3号/かぎ針2/0～3/0号<br>
素材：ウール100％　<br>
その他：メリヤス編標準ゲージ31～32目/42～44段<br>婦人セーター　約7玉、婦人ベスト　約5玉、紳士セーター約9玉<br>
<br>
ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。",ダイヤ毛糸　　ゴールド（中細）：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　ゴールド（中細）,編みやすい、定番の中細毛糸。ダイヤ毛糸　　ゴールド（中細）[rn]
17-133257,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img59269279.jpg?fitin=700:700,292.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　　モヘアドゥ（アルパカ）（　廃盤色　）在庫限り,アルパカ入り　ふわふわモヘア,"重さ：40ｇ<br>
糸長：約160ｍ<br>
太さ：棒針6～7号、かぎ針5/0～6/0号<br>
素材：モヘア　40％（キッドモヘア）、アルパカ（ベビーアルパカ）　10％、アクリル　50％<br>
その他：メリヤス編標準ゲージ19～21目25～27段<br>
婦人セーター　約5玉、婦人ベスト　約4玉、紳士セーター約7玉<br>
<br>
ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。<br><br>クロネコＤＭ便便　不可<br><br>",ダイヤ毛糸　　　モヘアドゥ（アルパカ）（　廃盤色　）在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　　モヘアドゥ（アルパカ）（　廃盤色　）在庫限り,アルパカ入り　ふわふわモヘア。ダイヤ毛糸　　　モヘアドゥ（アルパカ）（　廃盤色　）在庫限り[rn]
17-133258,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/imgrc0067410612.jpg?fitin=700:700,112.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　ウールスタンダード（並太）（　廃盤品　）在庫限り,編みやすい、定番の並太毛糸,"重さ：40ｇ<br>
糸長：103ｍ<br>
太さ：棒針6～8号/かぎ針5/0～6/0号<br>
素材：ウール100％　<br>

その他：メリヤス編標準ゲージ20～21目/27～29段<br>
<br><br>小物に最適な毛糸です。<br>婦人セーター　約9玉、婦人ベスト　約6玉、
紳士セーター約12玉<br><br>

ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。<br>クロネコＤＭ便便　不可<br><br>",ダイヤ毛糸　　ウールスタンダード（並太）（　廃盤品　）在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　ウールスタンダード（並太）（　廃盤品　）在庫限り,編みやすい、定番の並太毛糸。ダイヤ毛糸　　ウールスタンダード（並太）（　廃盤品　）在庫限り[rn]
17-133259,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/imgrc0066581302.jpg?fitin=700:700,598.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　オペラ,多彩なグラデーションが美しいヘアリーファンシー　,重さ：30ｇ<br>糸長：96ｍ<br>太さ：棒針7～8号、かぎ針6/0～7/0号<br>素材：ウール　38%、モヘア　27％、アルパカ　5％、ナイロン　30％　<br>その他：メリヤス編標準ゲージ18～20目25～27段<br>婦人セーター　約10玉、婦人ベスト　約6玉、<br>紳士セーター　約13玉　<br>　<br>糸の特徴：優しい変化のモヘアグラデーション、光沢があり発色の良いストレートグラデーション。<br>そしてアルパカ混のソリッドカラー、異なる素材の糸を組み合わせながらとても調和のとれた色変化、糸の表情に仕上げています。<br>編み進むと次々に違った色が現われ、場面ごとに変化に富んだ印象的な模様が生まれます。　<br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　オペラ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　オペラ,多彩なグラデーションが美しいヘアリーファンシー　。ダイヤ毛糸　　オペラ[rn]
17-133260,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img61437112.jpg?fitin=700:700,328.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　マスターシードコットン（タント）（　廃盤色の904のみ　）在庫限り0P06Aug16,多色のミックスカラーが印象的なソフトで上質なコットン糸,重さ：30ｇ<br>糸長：102ｍ<br>太さ：棒針4～5号、かぎ針3/0～4/0号<br>素材：綿60％（マスターシード）、アクリル　40％<br>その他：メリヤス編標準ゲージ22～24目/29～31段<br>婦人セーター　半袖　約9玉、婦人ベスト　約6玉、紳士セーター半袖約11玉<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　マスターシードコットン（タント）（　廃盤色の904のみ　）在庫限り0P06Aug16：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　マスターシードコットン（タント）（　廃盤色の904のみ　）在庫限り0P06Aug16,多色のミックスカラーが印象的なソフトで上質なコットン糸。ダイヤ毛糸　　マスターシードコットン（タント）（　廃盤色の904のみ　）在庫限り0P06Aug16[rn]
17-133261,http://tshop.r10s.jp/ky-kanariya/cabinet/00379711/img59271123.jpg?fitin=700:700,352.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　　コスタノーバ（　廃盤色　）在庫限り,コスタが吟味した新しい素材でより編みやすくなりました。,重さ：40ｇ<br>糸長：136ｍ<br>太さ：棒針5～6号、かぎ針5/0～6/0号<br>素材：レーヨン70%、アクリル30%<br>その他：メリヤス編標準ゲージ22～23目/28～30段<br>婦人セーター　半袖約7玉、婦人ベスト　約5玉、紳士セーター半袖約9玉<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　　コスタノーバ（　廃盤色　）在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　　コスタノーバ（　廃盤色　）在庫限り,コスタが吟味した新しい素材でより編みやすくなりました。。ダイヤ毛糸　　　コスタノーバ（　廃盤色　）在庫限り[rn]
17-133262,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img59269303.jpg?fitin=700:700,336.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　ナターレ 　廃盤　在庫限り,キッドモヘアで光沢のある、ロンググラデーション糸,重さ：30ｇ<br>糸長：112m<br>太さ：棒針6～7号、かぎ針5/0～6/0号<br>素材：ウール　50％、モヘア　21％（キッドモヘア）、ナイロン29％<br>その他：メリヤス編標準ゲージ20～22目/25～27段<br>婦人セーター　約8玉、婦人ベスト約5玉、紳士セーター　約11玉<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　ナターレ 　廃盤　在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　ナターレ 　廃盤　在庫限り,キッドモヘアで光沢のある、ロンググラデーション糸。ダイヤ毛糸　　ナターレ 　廃盤　在庫限り[rn]
17-133263,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img61437112.jpg?fitin=700:700,557.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　マスターシードコットン（タント）,多色のミックスカラーが印象的なソフトで上質なコットン糸,重さ：30ｇ<br>糸長：102ｍ<br>太さ：棒針4～5号、かぎ針3/0～4/0号<br>素材：綿60％（マスターシード）、アクリル　40％<br>その他：メリヤス編標準ゲージ22～24目/29～31段<br>婦人セーター　半袖　約9玉、婦人ベスト　約6玉、紳士セーター半袖約11玉<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　マスターシードコットン（タント）：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　マスターシードコットン（タント）,多色のミックスカラーが印象的なソフトで上質なコットン糸。ダイヤ毛糸　　マスターシードコットン（タント）[rn]
17-133264,http://tshop.r10s.jp/ky-kanariya/cabinet/00379711/img59271123.jpg?fitin=700:700,598.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　　コスタノーバ,コスタが吟味した新しい素材でより編みやすくなりました。,重さ：40ｇ<br>糸長：136ｍ<br>太さ：棒針5～6号、かぎ針5/0～6/0号<br>素材：レーヨン70%、アクリル30%<br>その他：メリヤス編標準ゲージ22～23目/28～30段<br>婦人セーター　半袖約7玉、婦人ベスト　約5玉、紳士セーター半袖約9玉<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　　コスタノーバ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　　コスタノーバ,コスタが吟味した新しい素材でより編みやすくなりました。。ダイヤ毛糸　　　コスタノーバ[rn]
