17-26199,http://tshop.r10s.jp/kys/cabinet/ts-31/t010005396672.jpg?fitin=700:700,125828.8000,,花・ガーデン・DIY > DIY・工具 > その他,運賃見積り 直送品 KSK ハンドリフト HL300,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●京町産業車輌（株）<br>
<br>
【特長】<br>
●リンクチェーンを使用し、メンテナンスも簡単です。<br>
<br>
【用途】<br>
●荷物の上げ下げや運搬に。<br>
<br>
【仕様】<br>
●均等荷重(kg):300<br>
●全高(mm):1650<br>
●荷重中心距離(mm):250<br>
●フォーク寸法(mm)スライド外幅:90～580<br>
●フォーク高さ(mm):90～1200<br>
●ハンドル回転数(回):53<br>
●ストローク(mm):1110<br>
●車輪径(mm)前輪/後輪:90（ウレタン）/125（ゴム）<br>
●フォーク寸法(mm)幅×長さ:40×500<br>
●手動走行式<br>
●昇降方式:手巻式<br>
●前車輪:固定キャスター2個、後車輪:自在ストッパー付キャスター2個<br>
<br>
【注意】<br>
●車上渡しになります。重量物ですのでご注意ください。<br>
<br>
【質量】<br>
●70KG</p>",運賃見積り 直送品 KSK ハンドリフト HL300：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS運賃見積り 直送品 KSK ハンドリフト HL300,運賃見積り 直送品 KSK ハンドリフト HL300[rn]
17-26232,http://tshop.r10s.jp/kys/cabinet/ts-06/t010002781012.jpg?fitin=700:700,7996.0000,,花・ガーデン・DIY > DIY・工具 > その他,運賃見積り 直送品 TRUSCO ホイールコンベヤ 削出しΦ20X15 P35XL1000 V2015S-35-1000,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●削り出しホイールを使用しているので、高い耐荷重性を備えます。機械部品など重量物の搬送に最適です。<br>
●小径ホイールにより小さなワークでもスムーズに搬送することができます。<br>
●コンパクトな寸法のため、ラック組み込みにも最適です。<br>
<br>
【用途】<br>
●工程間の部品の搬送。異形な品物の搬送に。<br>
<br>
【仕様】<br>
●ホイール径(mm):20<br>
●ホイール幅(mm):15<br>
●ピッチ(mm):35<br>
●機長(mm):1000<br>
●A寸法(mm):27.5<br>
●ホイール:削り出し製<br>
●ホイール1個当たりの荷重:30kg<br>
<br>
【材質・仕上げ】<br>
●フレーム:溶融亜鉛メッキ鋼鈑<br>
●ホイール:スチール<br>
<br>
【特記事項】<br>
●北海道・沖縄・離島は除く<br>
<br>
【質量】<br>
●1.57KG</p>",運賃見積り 直送品 TRUSCO ホイールコンベヤ 削出しΦ20X15 P35XL1000 V2015S-35-1000：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS運賃見積り 直送品 TRUSCO ホイールコンベヤ 削出しΦ20X15 P35XL1000 V2015S-35-1000,運賃見積り 直送品 TRUSCO ホイールコンベヤ 削出しΦ20X15 P35XL1000 V2015S-35-1000[rn]
17-26233,http://tshop.r10s.jp/kys/cabinet/ts-04/t010002659151.jpg?fitin=700:700,57629.6000,,花・ガーデン・DIY > DIY・工具 > その他,運賃見積り 直送品 セントラル アルミローラコンベヤ ALR3808型 400W×75P ALR3808-400730,【代表画像 色/サイズ等注意】,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●セントラルコンベヤー（株）<br>
<br>
【特長】<br>
●耐浸食性に優れています。<br>
●クリーンな職場に使用できます。<br>
●耐浸食性に優れています。<br>
●クリーンな職場に使用できます。<br>
●漁業、水産加工場等、水濡れが心配な現場に最適です。<br>
<br>
<br>
<br>
【仕様】<br>
●ローラー径(mm):38.1<br>
●肉厚(mm):1.6<br>
●ローラー幅(W)(mm):400<br>
●ピッチ(mm):75<br>
●機長(mm):3000<br>
●ローラー耐荷重(kg/本):18<br>
●搬送耐荷重50kg/m程度まで<br>
<br>
【材質・仕上げ】<br>
●フレーム：アルミ<br>
●ローラー：アルミ<br>
●シャフト・連結金具：スチール（メッキ）<br>
<br>
【特記事項】<br>
●北海道・沖縄・離島は除く<br>
<br>
【質量】<br>
●21KG</p>",運賃見積り 直送品 セントラル アルミローラコンベヤ ALR3808型 400W&times;75P ALR3808-400730：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS運賃見積り 直送品 セントラル アルミローラコンベヤ ALR3808型 400W&times;75P ALR3808-400730,【代表画像 色/サイズ等注意】。運賃見積り 直送品 セントラル アルミローラコンベヤ ALR3808型 400W&times;75P ALR3808-400730[rn]
17-26234,http://tshop.r10s.jp/kys/cabinet/ts-04/t010002658995.jpg?fitin=700:700,2520.8000,,花・ガーデン・DIY > DIY・工具 > その他,個別送料1000円 直送品 タイヨー φ38 駆動ローラ シングル 700MM KDR-38-41-W700-S,【代表画像 色/サイズ等注意】,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●太陽工業（株）<br>
<br>
【特長】<br>
●軽荷重用のチェーン駆動ローラーに使われる最も汎用的なローラーサイズです。<br>
<br>
【用途】<br>
●駆動コンベヤの製作に。<br>
●既設駆動ローラーの交換用に。<br>
<br>
【仕様】<br>
●ローラー径(mm):38.1<br>
●肉厚(mm):2.3<br>
●ローラー幅(mm):700<br>
●シャフト幅(mm):760<br>
●シャフト径(mm):12<br>
●ローラー耐荷重(kg/本):-<br>
●ローラー幅(W)(mm):700<br>
●Rohs指令対応品<br>
●スプロケット:10T<br>
●チェーン番手:#40<br>
●ベアリングはスプロケット側は6001ZZ 反対側は6201ZZを使用<br>
●チェーン番手(#):40<br>
●スプロケット歯数(T):10<br>
●スプロケット列数:S(シングル)<br>
<br>
【材質・仕上げ】<br>
●ローラー:スチール<br>
<br>
【注意】<br>
●高温、低温でご使用の際は条件等をご確認の上ご相談下さい。耐荷重については条件によりますのでご相談下さい。<br>
<br>
【特記事項】<br>
●北海道・沖縄・離島は除く<br>
<br>
【質量】<br>
●2018G</p>",個別送料1000円 直送品 タイヨー φ38 駆動ローラ シングル 700MM KDR-38-41-W700-S：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS個別送料1000円 直送品 タイヨー φ38 駆動ローラ シングル 700MM KDR-38-41-W700-S,【代表画像 色/サイズ等注意】。個別送料1000円 直送品 タイヨー φ38 駆動ローラ シングル 700MM KDR-38-41-W700-S[rn]
17-26235,http://tshop.r10s.jp/kys/cabinet/ts-19/t010004361859.jpg?fitin=700:700,18044.8000,,花・ガーデン・DIY > DIY・工具 > その他,運賃見積り 直送品 タイヨー φ28スチールローラコンベヤ A2812-400-30-1000,【代表画像 色/サイズ等注意】,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●太陽工業（株）<br>
<br>
【特長】<br>
●小物搬送用で、軽量製品・精密機器などの搬送に適しています。<br>
<br>
<br>
<br>
【仕様】<br>
●ローラー径(mm):28.6<br>
●肉厚(mm):1.2<br>
●ローラー幅(W)(mm):400<br>
●ピッチ(mm):30<br>
●機長(mm):1000<br>
●ローラー耐荷重(kg/本):50<br>
<br>
【材質・仕上げ】<br>
●フレーム:スチール<br>
●ローラー:機械構造用炭素鋼管<br>
<br>
【特記事項】<br>
●北海道・沖縄・離島は除く<br>
<br>
【質量】<br>
●18.81KG</p>",運賃見積り 直送品 タイヨー φ28スチールローラコンベヤ A2812-400-30-1000：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS運賃見積り 直送品 タイヨー φ28スチールローラコンベヤ A2812-400-30-1000,【代表画像 色/サイズ等注意】。運賃見積り 直送品 タイヨー φ28スチールローラコンベヤ A2812-400-30-1000[rn]
17-26236,http://tshop.r10s.jp/kys/cabinet/ts-13/t010002961063.jpg?fitin=700:700,4968.0000,,花・ガーデン・DIY > DIY・工具 > その他,TRUSCO ホイールコンベヤ用スタンド W250XH450~700 TW-A2-250,【代表画像 色/サイズ等注意】,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●ホイールコンベヤ用標準スタンドは高さの調整およびブラケットの角度調整ができ、軽量で堅固です。<br>
<br>
【用途】<br>
●ホイールコンベヤ用スタンド。<br>
<br>
【仕様】<br>
●高さ(mm):450～700<br>
●幅(mm):250<br>
●適合コンベヤ:V38S型・V38N型・V38AL型・V-40T型・V-40G型<br>
●ベース付<br>
<br>
【材質・仕上げ】<br>
●スチール<br>
<br>
【質量】<br>
●4.2KG</p>",TRUSCO ホイールコンベヤ用スタンド W250XH450~700 TW-A2-250：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSTRUSCO ホイールコンベヤ用スタンド W250XH450~700 TW-A2-250,【代表画像 色/サイズ等注意】。TRUSCO ホイールコンベヤ用スタンド W250XH450~700 TW-A2-250[rn]
17-26237,http://tshop.r10s.jp/kys/cabinet/ts-07/t010002801949.jpg?fitin=700:700,16020.8000,,花・ガーデン・DIY > DIY・工具 > その他,運賃見積り 直送品 TRUSCO スチールローラーコンベヤ Φ57 W500XP75XL1500 VR-5714-500-75-1500,【代表画像 色/サイズ等注意】,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
<br>
<br>
【仕様】<br>
●ローラー径(mm):57.2<br>
●肉厚(mm):1.4<br>
●ローラー幅(W)(mm):500<br>
●ピッチ(mm):75<br>
●機長(mm):1500<br>
●ローラー耐荷重(kg/本):160<br>
●A寸法(mm):34.5<br>
<br>
【材質・仕上げ】<br>
●フレーム:スチール<br>
●ローラー:機械構造用炭素鋼管<br>
<br>
【特記事項】<br>
●北海道・沖縄・離島は除く<br>
<br>
【質量】<br>
●33.3KG</p>",運賃見積り 直送品 TRUSCO スチールローラーコンベヤ Φ57 W500XP75XL1500 VR-5714-500-75-1500：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS運賃見積り 直送品 TRUSCO スチールローラーコンベヤ Φ57 W500XP75XL1500 VR-5714-500-75-1500,【代表画像 色/サイズ等注意】。運賃見積り 直送品 TRUSCO スチールローラーコンベヤ Φ57 W500XP75XL1500 VR-5714-500-75-1500[rn]
17-26238,http://tshop.r10s.jp/kys/cabinet/ts-12/t010002894770.jpg?fitin=700:700,9509.6000,,花・ガーデン・DIY > DIY・工具 > その他,個別送料2000円 直送品 セントラル ローラコンベヤ用スタンド IB型 400S×300W IB-400-30,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●セントラルコンベヤー（株）<br>
<br>
【特長】<br>
●重荷重用ローラコンベヤ支持脚です。<br>
<br>
<br>
<br>
【仕様】<br>
●適用ローラー幅(mm):300<br>
●作業面高さ(mm):470～530<br>
●高さ調整範囲:60mm<br>
<br>
【材質・仕上げ】<br>
●スチール<br>
<br>
【注意】<br>
●作業面高さはSRDZ5717型コンベヤにスタンドを組み付けた場合のローラ上面高さです。<br>
<br>
【特記事項】<br>
●北海道・沖縄・離島は除く<br>
<br>
【質量】<br>
●5.2KG</p>",個別送料2000円 直送品 セントラル ローラコンベヤ用スタンド IB型 400S&times;300W IB-400-30：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS個別送料2000円 直送品 セントラル ローラコンベヤ用スタンド IB型 400S&times;300W IB-400-30,個別送料2000円 直送品 セントラル ローラコンベヤ用スタンド IB型 400S&times;300W IB-400-30[rn]
17-26239,http://tshop.r10s.jp/kys/cabinet/ts-12/t010002896431.jpg?fitin=700:700,1008.0000,,花・ガーデン・DIY > DIY・工具 > その他,FREEBEAR フリーベア プレス成型品上向き用 メインボール樹脂製 P-8Y P-8Y,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●（株）フリーベアコーポレーション<br>
<br>
【特長】<br>
●ボール受け部がステンレスなので、メッキはく離による回転不足がおきません。<br>
<br>
<br>
<br>
【仕様】<br>
●許容荷重(kg):5<br>
●上向用<br>
<br>
【材質・仕上げ】<br>
●メインボール:ナイロン<br>
●ボディー:スチール<br>
●ボール受け部:ステンレス<br>
<br>
【質量】<br>
●79G</p>",FREEBEAR フリーベア プレス成型品上向き用 メインボール樹脂製 P-8Y P-8Y：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSFREEBEAR フリーベア プレス成型品上向き用 メインボール樹脂製 P-8Y P-8Y,FREEBEAR フリーベア プレス成型品上向き用 メインボール樹脂製 P-8Y P-8Y[rn]
17-26240,http://tshop.r10s.jp/kys/cabinet/ts-31/t010005422506.jpg?fitin=700:700,2922.4000,,花・ガーデン・DIY > DIY・工具 > その他,ISB ボールベアー IA-19 IA-19,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●（株）井口機工製作所<br>
<br>
【特長】<br>
●上向使用 / アルミ成型品<br>
<br>
【用途】<br>
●航空施設内エアカーゴなど搬送箇所。<br>
<br>
【仕様】<br>
●許容荷重(kg):30<br>
●上向用<br>
<br>
【材質・仕上げ】<br>
●メインボール・サブボール:ステンレス（SUS440C）<br>
●ボディー:アルミ（AC7A）<br>
●ボール受け:ステンレス(SUS420J2)<br>
<br>
【質量】<br>
●90G</p>",ISB ボールベアー IA-19 IA-19：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSISB ボールベアー IA-19 IA-19,ISB ボールベアー IA-19 IA-19[rn]
17-26241,http://tshop.r10s.jp/kys/cabinet/ts-04/t010002659362.jpg?fitin=700:700,6392.0000,,花・ガーデン・DIY > DIY・工具 > その他,運賃見積り 直送品 TS スチール製ホイールコンベヤ Φ25X7.2 P50X1500L KR-A0-P50X1500L,【代表画像 色/サイズ等注意】,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●（株）寺内製作所<br>
<br>
【特長】<br>
●φ25mmスチール製プレスホイールを使用しています。<br>
<br>
【用途】<br>
●工程間の部品の搬送。異形な品物の搬送に。<br>
<br>
【仕様】<br>
●ホイール径(mm):25<br>
●ホイール幅(mm):7.2<br>
●ピッチ(mm):50<br>
●機長(mm):1500<br>
●ホイール1個当たりの荷重:7kg<br>
<br>
【材質・仕上げ】<br>
●フレーム:スチール<br>
●ホイール:スチール<br>
<br>
【質量】<br>
●2.3KG</p>",運賃見積り 直送品 TS スチール製ホイールコンベヤ Φ25X7.2 P50X1500L KR-A0-P50X1500L：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS運賃見積り 直送品 TS スチール製ホイールコンベヤ Φ25X7.2 P50X1500L KR-A0-P50X1500L,【代表画像 色/サイズ等注意】。運賃見積り 直送品 TS スチール製ホイールコンベヤ Φ25X7.2 P50X1500L KR-A0-P50X1500L[rn]
17-26242,http://tshop.r10s.jp/kys/cabinet/ts-15/t010003636186.jpg?fitin=700:700,76138.4000,,花・ガーデン・DIY > DIY・工具 > その他,運賃見積り 直送品 FREEBEAR エアー浮上式ローラーユニット ARU-1832-325 ARU-1832-325,【代表画像 色/サイズ等注意】,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●（株）フリーベアコーポレーション<br>
<br>
【特長】<br>
●ローラーを使用する一方向摺動型タイプです。<br>
●ラインの方向転換などの使用に適しています。<br>
●同シリーズで連結可能です。<br>
●エアー式なので大がかりな配管工事も不要です。<br>
<br>
【用途】<br>
●治具・金型など重量物の搬送・位置決め。<br>
<br>
【仕様】<br>
●全長(mm):325<br>
●ストローク(mm):3<br>
●負荷能力(kN):1.57<br>
●L1(mm):295<br>
●P(mm):256<br>
<br>
【材質・仕上げ】<br>
●スチール<br>
<br>
【注意】<br>
●負荷能力の数値はエアー圧0.5MPa時のものです。<br>
●許容荷重内でご使用ください。<br>
●上向きでご使用ください。<br>
●送料別途です。<br>
<br>
【質量】<br>
●1.5KG</p>",運賃見積り 直送品 FREEBEAR エアー浮上式ローラーユニット ARU-1832-325 ARU-1832-325：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS運賃見積り 直送品 FREEBEAR エアー浮上式ローラーユニット ARU-1832-325 ARU-1832-325,【代表画像 色/サイズ等注意】。運賃見積り 直送品 FREEBEAR エアー浮上式ローラーユニット ARU-1832-325 ARU-1832-325[rn]
17-26243,http://tshop.r10s.jp/kys/cabinet/ts-17/t010003858222.jpg?fitin=700:700,3874.4000,,花・ガーデン・DIY > DIY・工具 > その他,運賃見積り 直送品 TRUSCO カセット式流動棚用ホイールコンベヤΦ18 P20X2400 V-1820ECON-20-2400,【代表画像 色/サイズ等注意】,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●樹脂製のホイールを使用しています。<br>
●フレームと樹脂ホイールユニットの組み合わせにより分解や組み立てが簡単でリユース、リサイクル性に優れています。<br>
<br>
【用途】<br>
●シューターラックやピッキングラック用のホイールコンベヤ。<br>
<br>
【仕様】<br>
●ホイール径(mm):18<br>
●ホイール幅(mm):20<br>
●ピッチ(mm):20<br>
●機長(mm):2400<br>
●ホイール1個当たりの荷重:10kg<br>
<br>
【材質・仕上げ】<br>
●フレーム:溶融亜鉛メッキクロムフリー鋼板<br>
●ホイール:ポリプロピレン（PP）<br>
●エンドキャップ:ポリプロピレン（PP）<br>
<br>
【特記事項】<br>
●北海道・沖縄・離島は除く<br>
<br>
【質量】<br>
●2.98KG</p>",運賃見積り 直送品 TRUSCO カセット式流動棚用ホイールコンベヤΦ18 P20X2400 V-1820ECON-20-2400：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS運賃見積り 直送品 TRUSCO カセット式流動棚用ホイールコンベヤΦ18 P20X2400 V-1820ECON-20-2400,【代表画像 色/サイズ等注意】。運賃見積り 直送品 TRUSCO カセット式流動棚用ホイールコンベヤΦ18 P20X2400 V-1820ECON-20-2400[rn]
17-26244,http://tshop.r10s.jp/kys/cabinet/ts-14/t010002961663.jpg?fitin=700:700,10583.2000,,花・ガーデン・DIY > DIY・工具 > その他,個別送料2000円 直送品 セントラル ローラコンベヤ用スタンド IB型 500S×600W IB-500-60,【代表画像 色/サイズ等注意】,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●セントラルコンベヤー（株）<br>
<br>
【特長】<br>
●重荷重用ローラコンベヤ支持脚です。<br>
<br>
<br>
<br>
【仕様】<br>
●適用ローラー幅(mm):600<br>
●作業面高さ(mm):570～630<br>
●高さ調整範囲:60mm<br>
<br>
【材質・仕上げ】<br>
●スチール<br>
<br>
【注意】<br>
●作業面高さはSRDZ5717型コンベヤにスタンドを組み付けた場合のローラ上面高さです。<br>
<br>
【特記事項】<br>
●北海道・沖縄・離島は除く<br>
<br>
【質量】<br>
●6.8KG</p>",個別送料2000円 直送品 セントラル ローラコンベヤ用スタンド IB型 500S&times;600W IB-500-60：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS個別送料2000円 直送品 セントラル ローラコンベヤ用スタンド IB型 500S&times;600W IB-500-60,【代表画像 色/サイズ等注意】。個別送料2000円 直送品 セントラル ローラコンベヤ用スタンド IB型 500S&times;600W IB-500-60[rn]
17-26245,http://tshop.r10s.jp/kys/cabinet/ts-13/t010002958159.jpg?fitin=700:700,82049.6000,,花・ガーデン・DIY > DIY・工具 > その他,運賃見積り 直送品 セントラル ステンレスローラコンベヤ MRU1906型 100W×20P MRU1906-100215,【代表画像 色/サイズ等注意】,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●セントラルコンベヤー（株）<br>
<br>
【特長】<br>
●オールステンレス製ローラー、水洗い可能です。<br>
●オールステンレス製ローラー、水洗い可能です。<br>
<br>
<br>
<br>
【仕様】<br>
●ローラー径(mm):19<br>
●肉厚(mm):1.2<br>
●ローラー幅(W)(mm):100<br>
●ピッチ(mm):20<br>
●機長(mm):1500<br>
●ローラー耐荷重(kg/本):30<br>
●ローラー径:19mm<br>
●肉厚:1.2mm<br>
●ピッチ:20mm<br>
●ローラー耐荷重:30kg/本(ローラー幅100mm)、20kg/本(ローラー幅200mm)、13kg/本(ローラー幅300mm)<br>
●搬送耐荷重50kg/m程度まで<br>
<br>
【材質・仕上げ】<br>
●フレーム：ステンレス（SUS304）<br>
●ローラー：ステンレス（SUS304）<br>
●シャフト：ステンレス（SUS304）<br>
<br>
【特記事項】<br>
●北海道・沖縄・離島は除く<br>
<br>
【質量】<br>
●13KG</p>",運賃見積り 直送品 セントラル ステンレスローラコンベヤ MRU1906型 100W&times;20P MRU1906-100215：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS運賃見積り 直送品 セントラル ステンレスローラコンベヤ MRU1906型 100W&times;20P MRU1906-100215,【代表画像 色/サイズ等注意】。運賃見積り 直送品 セントラル ステンレスローラコンベヤ MRU1906型 100W&times;20P MRU1906-100215[rn]
17-26246,http://tshop.r10s.jp/kys/cabinet/ts-47/t010006149559.jpg?fitin=700:700,2498.4000,,花・ガーデン・DIY > DIY・工具 > その他,個別送料1000円 直送品 サンコー マドコンライトC-30B ピンク SKMLO-C-30B-PNK,【代表画像 色/サイズ等注意】,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●三甲（株）<br>
<br>
【特長】<br>
●マドコンよりも最大20％軽く、折りたたんだ際に30％薄くなっています。<br>
●明るいカラーと透明度の高い窓部で、底面以外のどこからでも中身を確認できます。<br>
●各辺は透明窓とその周りのフレームの二重構造となっているため、圧縮強度と耐衝撃性に優れています。<br>
<br>
<br>
<br>
【仕様】<br>
●容量(L):34.1<br>
●色:ピンク<br>
●外形寸法(mm)間口×奥行×高さ:530×366×232<br>
●折りたたみ高さ(mm):67<br>
●適用カード差し(別売):両短辺21型<br>
●有効内寸(mm)間口×奥行×高さ:493×335×207<br>
●フタを固定する簡易ロック付。<br>
<br>
【材質・仕上げ】<br>
●ポリプロピレン（PP）<br>
<br>
【注意】<br>
●火気厳禁<br>
<br>
【質量】<br>
●1.91KG</p>",個別送料1000円 直送品 サンコー マドコンライトC-30B ピンク SKMLO-C-30B-PNK：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS個別送料1000円 直送品 サンコー マドコンライトC-30B ピンク SKMLO-C-30B-PNK,【代表画像 色/サイズ等注意】。個別送料1000円 直送品 サンコー マドコンライトC-30B ピンク SKMLO-C-30B-PNK[rn]
17-26247,http://tshop.r10s.jp/kys/cabinet/ts-04/t010002660049.jpg?fitin=700:700,23869.6000,,花・ガーデン・DIY > DIY・工具 > その他,運賃見積り 直送品 TS スチールローラコンベヤ Φ38.1XW300XP75X2000L S38-300720,【代表画像 色/サイズ等注意】,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●（株）寺内製作所<br>
<br>
<br>
<br>
【仕様】<br>
●ローラー径(mm):38.1<br>
●肉厚(mm):1.2<br>
●ローラー幅(W)(mm):300<br>
●ピッチ(mm):75<br>
●機長(mm):2000<br>
●ローラー耐荷重(kg/本):65<br>
<br>
【材質・仕上げ】<br>
●フレーム:スチール<br>
●ローラー:機械構造用炭素鋼管<br>
<br>
【質量】<br>
●21KG</p>",運賃見積り 直送品 TS スチールローラコンベヤ Φ38.1XW300XP75X2000L S38-300720：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS運賃見積り 直送品 TS スチールローラコンベヤ Φ38.1XW300XP75X2000L S38-300720,【代表画像 色/サイズ等注意】。運賃見積り 直送品 TS スチールローラコンベヤ Φ38.1XW300XP75X2000L S38-300720[rn]
17-26248,http://tshop.r10s.jp/kys/cabinet/ts-19/t010004359792.jpg?fitin=700:700,2555.2000,,花・ガーデン・DIY > DIY・工具 > その他,運賃見積り 直送品 マルヤス フラットスライダ FR-100-33.0,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●マルヤス機械（株）<br>
<br>
【特長】<br>
●本体厚さが9mmと薄く、省スペースで設置することができます。<br>
●小さな搬送物でもローラー間への落ち込みがなく、搬送物の乗り移りを考慮した樹脂製小型フリーローラーです。<br>
<br>
【用途】<br>
●商品の搬送最後尾の設置するストックヤード。<br>
●人手で搬送物を流す箇所。<br>
<br>
【仕様】<br>
●ローラー径(mm):6<br>
●機長(cm):33<br>
●ローラー幅(W)(mm):100<br>
●耐荷重(kg/100cm[[の2乗]]):5<br>
●φ6.0ｍｍ極小径フリーローラー　本体厚9ｍｍの薄型ローラーコンベヤ<br>
<br>
【材質・仕上げ】<br>
●ローラー:ポリアセタール<br>
●本体:ポリスチレン<br>
<br>
【質量】<br>
●0.23KG</p>",運賃見積り 直送品 マルヤス フラットスライダ FR-100-33.0：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS運賃見積り 直送品 マルヤス フラットスライダ FR-100-33.0,運賃見積り 直送品 マルヤス フラットスライダ FR-100-33.0[rn]
