17-45499,http://tshop.r10s.jp/yminfo/cabinet/00171276/lp-1.jpg?fitin=700:700,385.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)リングプル　LP-1　,チェーン・ロープの引っ掛け部分がスッキリ！,"【ここがポイント！】 
● ロープやチェーンの固定がスッキリ。使用しない時はリングを凹みの内に収めることができます。 
 
【商品仕様】 
A1 44mm  
A2 32mm 
B1 57mm 
B2 45mm 
L 20.5mm 
T 1mm 
T2 7.5mm 
d 3.5mm 
使用荷重 0.05kN（5kgf） 
材質 SUS304",MM　ステンレス（SUS304)リングプル　LP-1　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)リングプル　LP-1　,チェーン・ロープの引っ掛け部分がスッキリ！。MM　ステンレス（SUS304)リングプル　LP-1　[rn]
17-45529,http://tshop.r10s.jp/yminfo/cabinet/00171276/msb-5.jpg?fitin=700:700,468.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　スイベルボルト　ミリネジM5　MSB-5　,回転するのでロープ等よじれない,"【ここがポイント！】 
● 頭が回転するのでつないだチェーン・ロープがよじれにくい！ 
 
【商品仕様】 
D 5mm  
L 30mm 
W 13mm 
H 13.5mm 
B 13mm 
ネジ M5 
使用荷重 0.29N（30kgf） 
材質 SUS304",MM　ステンレス（SUS304)　スイベルボルト　ミリネジM5　MSB-5　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　スイベルボルト　ミリネジM5　MSB-5　,回転するのでロープ等よじれない。MM　ステンレス（SUS304)　スイベルボルト　ミリネジM5　MSB-5　[rn]
17-45530,http://tshop.r10s.jp/yminfo/cabinet/00171276/msb-5.jpg?fitin=700:700,544.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　スイベルボルト　ミリネジM6　MSB-6　,回転するのでロープ等よじれない,"【ここがポイント！】 
● 頭が回転するのでつないだチェーン・ロープがよじれにくい！ 
 
【商品仕様】 
D 6mm  
L 33mm 
W 15mm 
H 14.5mm 
B 14mm 
ネジ M6 
使用荷重 0.49N（50kgf） 
材質 SUS304",MM　ステンレス（SUS304)　スイベルボルト　ミリネジM6　MSB-6　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　スイベルボルト　ミリネジM6　MSB-6　,回転するのでロープ等よじれない。MM　ステンレス（SUS304)　スイベルボルト　ミリネジM6　MSB-6　[rn]
17-45531,http://tshop.r10s.jp/yminfo/cabinet/00171276/msb-5.jpg?fitin=700:700,1005.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　スイベルボルト　ミリネジM10　MSB-10　,回転するのでロープ等よじれない,"【ここがポイント！】 
● 頭が回転するのでつないだチェーン・ロープがよじれにくい！ 
 
【商品仕様】 
D 10mm  
L 57mm 
W 24mm 
H 26.5mm 
B 24mm 
ネジ M10 
使用荷重 1.47N（134kgf） 
材質 SUS304",MM　ステンレス（SUS304)　スイベルボルト　ミリネジM10　MSB-10　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　スイベルボルト　ミリネジM10　MSB-10　,回転するのでロープ等よじれない。MM　ステンレス（SUS304)　スイベルボルト　ミリネジM10　MSB-10　[rn]
17-45532,http://tshop.r10s.jp/yminfo/cabinet/00171276/nc-6m50.jpg?fitin=700:700,491.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　パイプナット　M8×150mm　NC-8M150　,穴にパイプナットを通したりして使えます,"【ここがポイント！】 
● パイプナットで両側をアイボルト等で固定。 
 
【商品仕様】 
L 150mm  
A 30mm 
B 10mm 
ネジ M8",MM　ステンレス（SUS304)　パイプナット　M8&times;150mm　NC-8M150　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　パイプナット　M8&times;150mm　NC-8M150　,穴にパイプナットを通したりして使えます。MM　ステンレス（SUS304)　パイプナット　M8&times;150mm　NC-8M150　[rn]
17-45533,http://tshop.r10s.jp/yminfo/cabinet/00171276/nc-6m50.jpg?fitin=700:700,707.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　パイプナット　M12×75mm　NC-12M75　,穴にパイプナットを通したりして使えます,"【ここがポイント！】 
● パイプナットで両側をアイボルト等で固定。 
 
【商品仕様】 
L 75mm  
A 30mm 
B 17mm 
ネジ M12",MM　ステンレス（SUS304)　パイプナット　M12&times;75mm　NC-12M75　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　パイプナット　M12&times;75mm　NC-12M75　,穴にパイプナットを通したりして使えます。MM　ステンレス（SUS304)　パイプナット　M12&times;75mm　NC-12M75　[rn]
17-45534,http://tshop.r10s.jp/yminfo/cabinet/00171276/nc-6m50.jpg?fitin=700:700,287.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　パイプナット　M6×75mm　NC-6M75　,穴にパイプナットを通したりして使えます,"【ここがポイント！】 
● パイプナットで両側をアイボルト等で固定。 
 
【商品仕様】 
L 75mm  
A 30mm 
B 8.5mm 
ネジ M6",MM　ステンレス（SUS304)　パイプナット　M6&times;75mm　NC-6M75　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　パイプナット　M6&times;75mm　NC-6M75　,穴にパイプナットを通したりして使えます。MM　ステンレス（SUS304)　パイプナット　M6&times;75mm　NC-6M75　[rn]
17-45535,http://tshop.r10s.jp/yminfo/cabinet/00171276/nc-6m50.jpg?fitin=700:700,526.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　パイプナット　M10×100mm　NC-10M100　,穴にパイプナットを通したりして使えます,"【ここがポイント！】 
● パイプナットで両側をアイボルト等で固定。 
 
【商品仕様】 
L 100mm  
A 30mm 
B 12mm 
ネジ M10",MM　ステンレス（SUS304)　パイプナット　M10&times;100mm　NC-10M100　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　パイプナット　M10&times;100mm　NC-10M100　,穴にパイプナットを通したりして使えます。MM　ステンレス（SUS304)　パイプナット　M10&times;100mm　NC-10M100　[rn]
17-45536,http://tshop.r10s.jp/yminfo/cabinet/00171276/nc-6m50.jpg?fitin=700:700,264.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　パイプナット　M8×50mm　NC-8M50　,穴にパイプナットを通したりして使えます,"【ここがポイント！】 
● パイプナットで両側をアイボルト等で固定。 
 
【商品仕様】 
L 50mm  
A 25mm 
B 10mm 
ネジ M8",MM　ステンレス（SUS304)　パイプナット　M8&times;50mm　NC-8M50　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　パイプナット　M8&times;50mm　NC-8M50　,穴にパイプナットを通したりして使えます。MM　ステンレス（SUS304)　パイプナット　M8&times;50mm　NC-8M50　[rn]
17-45537,http://tshop.r10s.jp/yminfo/cabinet/00171276/nc-6m50.jpg?fitin=700:700,491.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　パイプナット　M12×50mm　NC-12M50　,穴にパイプナットを通したりして使えます,"【ここがポイント！】 
● パイプナットで両側をアイボルト等で固定。 
 
【商品仕様】 
L 50mm  
A 25mm 
B 17mm 
ネジ M12",MM　ステンレス（SUS304)　パイプナット　M12&times;50mm　NC-12M50　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　パイプナット　M12&times;50mm　NC-12M50　,穴にパイプナットを通したりして使えます。MM　ステンレス（SUS304)　パイプナット　M12&times;50mm　NC-12M50　[rn]
17-45538,http://tshop.r10s.jp/yminfo/cabinet/00171276/nc-6m50.jpg?fitin=700:700,444.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　パイプナット　M8×125mm　NC-8M125　,穴にパイプナットを通したりして使えます,"【ここがポイント！】 
● パイプナットで両側をアイボルト等で固定。 
 
【商品仕様】 
L 125mm  
A 30mm 
B 10mm 
ネジ M8",MM　ステンレス（SUS304)　パイプナット　M8&times;125mm　NC-8M125　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　パイプナット　M8&times;125mm　NC-8M125　,穴にパイプナットを通したりして使えます。MM　ステンレス（SUS304)　パイプナット　M8&times;125mm　NC-8M125　[rn]
17-45539,http://tshop.r10s.jp/yminfo/cabinet/00171276/pdn-5m.jpg?fitin=700:700,643.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　パッドナット　ミリネジM10　PDN-10M　,ボルトを固定,"【ここがポイント！】 
● 平面上にボルトを固定できます。ネジ部貫通してます。 
 
【商品仕様】 
A 40mm  
B2 24mm 
H 22mm 
T 2.5mm 
d 5.2mm 
ネジ M10 
使用荷重 0.78N（80kgf） 
材質 SUS304",MM　ステンレス（SUS304)　パッドナット　ミリネジM10　PDN-10M　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　パッドナット　ミリネジM10　PDN-10M　,ボルトを固定。MM　ステンレス（SUS304)　パッドナット　ミリネジM10　PDN-10M　[rn]
17-45540,http://tshop.r10s.jp/yminfo/cabinet/00171276/nc-6m50.jpg?fitin=700:700,310.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　パイプナット　M6×100mm　NC-6M100　,穴にパイプナットを通したりして使えます,"【ここがポイント！】 
● パイプナットで両側をアイボルト等で固定。 
 
【商品仕様】 
L 100mm  
A 30mm 
B 8.5mm 
ネジ M6",MM　ステンレス（SUS304)　パイプナット　M6&times;100mm　NC-6M100　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　パイプナット　M6&times;100mm　NC-6M100　,穴にパイプナットを通したりして使えます。MM　ステンレス（SUS304)　パイプナット　M6&times;100mm　NC-6M100　[rn]
17-45541,http://tshop.r10s.jp/yminfo/cabinet/00171276/nc-6m50.jpg?fitin=700:700,374.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　パイプナット　M8×75mm　NC-8M75　,穴にパイプナットを通したりして使えます,"【ここがポイント！】 
● パイプナットで両側をアイボルト等で固定。 
 
【商品仕様】 
L 75mm  
A 30mm 
B 10mm 
ネジ M8",MM　ステンレス（SUS304)　パイプナット　M8&times;75mm　NC-8M75　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　パイプナット　M8&times;75mm　NC-8M75　,穴にパイプナットを通したりして使えます。MM　ステンレス（SUS304)　パイプナット　M8&times;75mm　NC-8M75　[rn]
17-45542,http://tshop.r10s.jp/yminfo/cabinet/00171276/nc-6m50.jpg?fitin=700:700,900.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　パイプナット　M12×125mm　NC-12M125　,穴にパイプナットを通したりして使えます,"【ここがポイント！】 
● パイプナットで両側をアイボルト等で固定。 
 
【商品仕様】 
L 125mm  
A 30mm 
B 17mm 
ネジ M12",MM　ステンレス（SUS304)　パイプナット　M12&times;125mm　NC-12M125　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　パイプナット　M12&times;125mm　NC-12M125　,穴にパイプナットを通したりして使えます。MM　ステンレス（SUS304)　パイプナット　M12&times;125mm　NC-12M125　[rn]
17-45543,http://tshop.r10s.jp/yminfo/cabinet/00171276/pdn-5m.jpg?fitin=700:700,385.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　パッドナット　ミリネジM6　PDN-6M　,ボルトを固定,"【ここがポイント！】 
● 平面上にボルトを固定できます。ネジ部貫通してません。 
 
【商品仕様】 
A 12mm  
B1 37mm 
B2 28.5mm 
H 22mm 
T 2.3mm 
d 3.2mm 
C 16mm 
ネジ M6 
使用荷重 0.20N（20kgf） 
材質 SUS304",MM　ステンレス（SUS304)　パッドナット　ミリネジM6　PDN-6M　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　パッドナット　ミリネジM6　PDN-6M　,ボルトを固定。MM　ステンレス（SUS304)　パッドナット　ミリネジM6　PDN-6M　[rn]
17-45544,http://tshop.r10s.jp/yminfo/cabinet/00171276/nc-6m50.jpg?fitin=700:700,345.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　パイプナット　M6×125mm　NC-6M125　,穴にパイプナットを通したりして使えます,"【ここがポイント！】 
● パイプナットで両側をアイボルト等で固定。 
 
【商品仕様】 
L 125mm  
A 30mm 
B 8.5mm 
ネジ M6",MM　ステンレス（SUS304)　パイプナット　M6&times;125mm　NC-6M125　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　パイプナット　M6&times;125mm　NC-6M125　,穴にパイプナットを通したりして使えます。MM　ステンレス（SUS304)　パイプナット　M6&times;125mm　NC-6M125　[rn]
17-45545,http://tshop.r10s.jp/yminfo/cabinet/00171276/nc-6m50.jpg?fitin=700:700,409.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　パイプナット　M8×100mm　NC-8M100　,穴にパイプナットを通したりして使えます,"【ここがポイント！】 
● パイプナットで両側をアイボルト等で固定。 
 
【商品仕様】 
L 100mm  
A 30mm 
B 10mm 
ネジ M8",MM　ステンレス（SUS304)　パイプナット　M8&times;100mm　NC-8M100　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　パイプナット　M8&times;100mm　NC-8M100　,穴にパイプナットを通したりして使えます。MM　ステンレス（SUS304)　パイプナット　M8&times;100mm　NC-8M100　[rn]
17-45546,http://tshop.r10s.jp/yminfo/cabinet/00171276/nc-6m50.jpg?fitin=700:700,1005.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　パイプナット　M12×150mm　NC-12M150　,穴にパイプナットを通したりして使えます,"【ここがポイント！】 
● パイプナットで両側をアイボルト等で固定。 
 
【商品仕様】 
L 150mm  
A 30mm 
B 17mm 
ネジ M12",MM　ステンレス（SUS304)　パイプナット　M12&times;150mm　NC-12M150　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　パイプナット　M12&times;150mm　NC-12M150　,穴にパイプナットを通したりして使えます。MM　ステンレス（SUS304)　パイプナット　M12&times;150mm　NC-12M150　[rn]
17-45547,http://tshop.r10s.jp/yminfo/cabinet/00171276/ibo-6m.jpg?fitin=700:700,1478.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　オープンアイボルト　ブネジW3/8　IBO-10W　,ドライバーでネジを固定,"【ここがポイント！】 
● ドライバーで簡単に開けることができます。
ボルト施工後にパイプなどを簡単に通すことができます 
 
【商品仕様】 
D 8mm  
L 35mm 
H 49mm 
B 18mm 
S 50mm 
A 15mm 
ネジ W3/8 
使用荷重 0.78N（80kgf） 
材質 SUS304",MM　ステンレス（SUS304)　オープンアイボルト　ブネジW3/8　IBO-10W　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　オープンアイボルト　ブネジW3/8　IBO-10W　,ドライバーでネジを固定。MM　ステンレス（SUS304)　オープンアイボルト　ブネジW3/8　IBO-10W　[rn]
17-45548,http://tshop.r10s.jp/yminfo/cabinet/00171276/ibo-6m.jpg?fitin=700:700,1285.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　オープンアイボルト　ミリネジM8　IBO-8M　,ドライバーでネジを固定,"【ここがポイント！】 
● ドライバーで簡単に開けることができます。
ボルト施工後にパイプなどを簡単に通すことができます 
 
【商品仕様】 
D 6mm  
L 30mm 
H 42mm 
B 15mm 
S 45mm 
A 13mm 
ネジ M8 
使用荷重 0.49N（50kgf） 
材質 SUS304",MM　ステンレス（SUS304)　オープンアイボルト　ミリネジM8　IBO-8M　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　オープンアイボルト　ミリネジM8　IBO-8M　,ドライバーでネジを固定。MM　ステンレス（SUS304)　オープンアイボルト　ミリネジM8　IBO-8M　[rn]
17-45549,http://tshop.r10s.jp/yminfo/cabinet/00171276/ibo-6m.jpg?fitin=700:700,1671.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　オープンアイボルト　ブネジW1/2　IBO-12W　,ドライバーでネジを固定,"【ここがポイント！】 
● ドライバーで簡単に開けることができます。
ボルト施工後にパイプなどを簡単に通すことができます 
 
【商品仕様】 
D 9mm  
L 40mm 
H 58mm 
B 22mm 
S 60mm 
A 19mm 
ネジ W1/2 
使用荷重 0.98N（100kgf） 
材質 SUS304",MM　ステンレス（SUS304)　オープンアイボルト　ブネジW1/2　IBO-12W　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　オープンアイボルト　ブネジW1/2　IBO-12W　,ドライバーでネジを固定。MM　ステンレス（SUS304)　オープンアイボルト　ブネジW1/2　IBO-12W　[rn]
17-45550,http://tshop.r10s.jp/yminfo/cabinet/00171276/ibo-6m.jpg?fitin=700:700,1285.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　オープンアイボルト　ブネジW5/16　IBO-8W　,ドライバーでネジを固定,"【ここがポイント！】 
● ドライバーで簡単に開けることができます。
ボルト施工後にパイプなどを簡単に通すことができます 
 
【商品仕様】 
D 6mm  
L 30mm 
H 42mm 
B 15mm 
S 45mm 
A 13mm 
ネジ W5/16 
使用荷重 0.49N（50kgf） 
材質 SUS304",MM　ステンレス（SUS304)　オープンアイボルト　ブネジW5/16　IBO-8W　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　オープンアイボルト　ブネジW5/16　IBO-8W　,ドライバーでネジを固定。MM　ステンレス（SUS304)　オープンアイボルト　ブネジW5/16　IBO-8W　[rn]
17-45551,http://tshop.r10s.jp/yminfo/cabinet/00171276/ibo-6m.jpg?fitin=700:700,1134.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　オープンアイボルト　ブネジW1/4IBO-6W　,ドライバーでネジを固定,"【ここがポイント！】 
● ドライバーで簡単に開けることができます。
ボルト施工後にパイプなどを簡単に通すことができます 
 
【商品仕様】 
D 5mm  
L 25mm 
H 36mm 
B 14mm 
S 35mm 
A 11mm 
ネジ W1/4 
使用荷重 0.29N（30kgf） 
材質 SUS304",MM　ステンレス（SUS304)　オープンアイボルト　ブネジW1/4IBO-6W　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　オープンアイボルト　ブネジW1/4IBO-6W　,ドライバーでネジを固定。MM　ステンレス（SUS304)　オープンアイボルト　ブネジW1/4IBO-6W　[rn]
17-45552,http://tshop.r10s.jp/yminfo/cabinet/00201176/img55484852.jpg?fitin=700:700,1440.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ステンレス　フックアイナット　8mm,,,ステンレス　フックアイナット　8mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングステンレス　フックアイナット　8mm,ステンレス　フックアイナット　8mm[rn]
17-45553,http://tshop.r10s.jp/yminfo/cabinet/00171276/inh-6m.jpg?fitin=700:700,876.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　フックアイナット　ミリネジM6　INH-6M　,外れ止め付です,"【ここがポイント！】 
● チェーンの固定等、便利です。 
 
【商品仕様】 
D 6mm  
L 25mm 
H 30mm 
B 13mm 
S 8mm 
A 16mm 
ネジ M6 
使用荷重 0.20N（20kgf） 
材質 SUS304",MM　ステンレス（SUS304)　フックアイナット　ミリネジM6　INH-6M　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　フックアイナット　ミリネジM6　INH-6M　,外れ止め付です。MM　ステンレス（SUS304)　フックアイナット　ミリネジM6　INH-6M　[rn]
17-45554,http://tshop.r10s.jp/yminfo/cabinet/00201176/img55484852.jpg?fitin=700:700,960.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ステンレス　フックアイナット　6mm,,,ステンレス　フックアイナット　6mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングステンレス　フックアイナット　6mm,ステンレス　フックアイナット　6mm[rn]
17-45555,http://tshop.r10s.jp/yminfo/cabinet/00201176/img55484852.jpg?fitin=700:700,2179.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ステンレス　フックアイナット　10mm,,,ステンレス　フックアイナット　10mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングステンレス　フックアイナット　10mm,ステンレス　フックアイナット　10mm[rn]
17-45556,http://tshop.r10s.jp/yminfo/cabinet/00171276/inh-6m.jpg?fitin=700:700,1314.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　フックアイナット　ミリネジM8　INH-8M　,外れ止め付です,"【ここがポイント！】 
● チェーンの固定等、便利です。 
 
【商品仕様】 
D 8mm  
L 33mm 
H 40mm 
B 18mm 
S 10mm 
A 20mm 
ネジ M8 
使用荷重 0.29N（30kgf） 
材質 SUS304",MM　ステンレス（SUS304)　フックアイナット　ミリネジM8　INH-8M　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　フックアイナット　ミリネジM8　INH-8M　,外れ止め付です。MM　ステンレス（SUS304)　フックアイナット　ミリネジM8　INH-8M　[rn]
