17-21499,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005492034.jpg?fitin=700:700,3240.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ２３０Ｒ　φ１ＸＲ０．０５Ｘ８（Ｄ４）【MHR230R 1XR0.05X8D4】(4254236) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル,,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ２３０Ｒ　φ１ＸＲ０．０５Ｘ８（Ｄ４）【MHR230R 1XR0.05X8D4】(4254236) 受注単位1：クローバー資材館,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ２３０Ｒ　φ１ＸＲ０．０５Ｘ８（Ｄ４）【MHR230R 1XR0.05X8D4】(4254236) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル。『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ２３０Ｒ　φ１ＸＲ０．０５Ｘ８（Ｄ４）【MHR230R 1XR0.05X8D4】(4254236) 受注単位1[rn]
17-21523,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005495780.jpg?fitin=700:700,3888.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1：クローバー資材館,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1[rn]
17-21524,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005502743.jpg?fitin=700:700,4655.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立ツール　ディープボールＥＶＯ　ＥＰＤＢＥ２００４－０．７５－ＰＮ【EPDBE2004-0.75-PN】(4286634) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,,『カード対応OK！』■〒日立ツール　ディープボールＥＶＯ　ＥＰＤＢＥ２００４&minus;０．７５&minus;ＰＮ【EPDBE2004-0.75-PN】(4286634) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立ツール　ディープボールＥＶＯ　ＥＰＤＢＥ２００４&minus;０．７５&minus;ＰＮ【EPDBE2004-0.75-PN】(4286634) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒日立ツール　ディープボールＥＶＯ　ＥＰＤＢＥ２００４&minus;０．７５&minus;ＰＮ【EPDBE2004-0.75-PN】(4286634) 受注単位1[rn]
17-21525,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002846803.jpg?fitin=700:700,2233.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ２枚刃エムスターエンドミルＭ【MS2MBR0150】 (6890067) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●MSコーティングを採用し、コストパフォーマンスを実現したシリーズです。<br>●汎用2枚刃ミドル刃長ボールエンドミルです。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ２枚刃エムスターエンドミルＭ【MS2MBR0150】 (6890067) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ２枚刃エムスターエンドミルＭ【MS2MBR0150】 (6890067) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ２枚刃エムスターエンドミルＭ【MS2MBR0150】 (6890067) 受注単位1[rn]
17-21526,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004841772.jpg?fitin=700:700,2239.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬エンドミル　ＷＸＳ　２刃ロングネックボール　Ｒ０．５Ｘ１２【WXS-LN-EBD-R0.5X12  (3051012)】(6362524) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬エンドミル　ＷＸＳ　２刃ロングネックボール　Ｒ０．５Ｘ１２【WXS-LN-EBD-R0.5X12  (3051012)】(6362524) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬エンドミル　ＷＸＳ　２刃ロングネックボール　Ｒ０．５Ｘ１２【WXS-LN-EBD-R0.5X12  (3051012)】(6362524) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬エンドミル　ＷＸＳ　２刃ロングネックボール　Ｒ０．５Ｘ１２【WXS-LN-EBD-R0.5X12  (3051012)】(6362524) 受注単位1[rn]
17-21527,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005495957.jpg?fitin=700:700,4989.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ１０　（Ｄ６）【MRB230 R0.25X10 (D6)】(4262867) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ１０　（Ｄ６）【MRB230 R0.25X10 (D6)】(4262867) 受注単位1：クローバー資材館,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ１０　（Ｄ６）【MRB230 R0.25X10 (D6)】(4262867) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ１０　（Ｄ６）【MRB230 R0.25X10 (D6)】(4262867) 受注単位1[rn]
17-21528,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004911799.jpg?fitin=700:700,4831.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日進工具/ＮＳ　高硬度用２枚刃ホボールエンドミルＭＲＢＨ２３０【MRBH230-R0.15X1D4】(4265033) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒日進工具/ＮＳ　高硬度用２枚刃ホボールエンドミルＭＲＢＨ２３０【MRBH230-R0.15X1D4】(4265033) 受注単位1：クローバー資材館,『カード対応OK！』■〒日進工具/ＮＳ　高硬度用２枚刃ホボールエンドミルＭＲＢＨ２３０【MRBH230-R0.15X1D4】(4265033) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒日進工具/ＮＳ　高硬度用２枚刃ホボールエンドミルＭＲＢＨ２３０【MRBH230-R0.15X1D4】(4265033) 受注単位1[rn]
17-21529,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002855317.jpg?fitin=700:700,4459.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱ＫＶＣ高硬度【VF2XLBR0050N080S04】 (2992469) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●被削材50HRC以上の高硬度材加工において、長寿命を発揮し、高速・高精度加工を可能になりました。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱ＫＶＣ高硬度【VF2XLBR0050N080S04】 (2992469) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱ＫＶＣ高硬度【VF2XLBR0050N080S04】 (2992469) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱ＫＶＣ高硬度【VF2XLBR0050N080S04】 (2992469) 受注単位1[rn]
17-21530,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004871706.jpg?fitin=700:700,2800.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スターエム/スターエム　ロングドリル５００Ｌ　１６．０【5L-160】(4043090) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●穴あけ深さ240ｍｍ以上の深穴に最適です。<br>●全長400L・500L・600Lの３タイプあります。",『カード対応OK！』■〒スターエム/スターエム　ロングドリル５００Ｌ　１６．０【5L-160】(4043090) 受注単位1：クローバー資材館,『カード対応OK！』■〒スターエム/スターエム　ロングドリル５００Ｌ　１６．０【5L-160】(4043090) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒スターエム/スターエム　ロングドリル５００Ｌ　１６．０【5L-160】(4043090) 受注単位1[rn]
17-21531,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002863650.jpg?fitin=700:700,1485.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　木工用兼用ビット２４．０ｍｍ【NO2-240(24.0MM)】(2521393) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●柱の穴あけに最適です。<br>●インパクトドライバーではφ21mmまでの穴あけ加工が可能です。",『カード対応OK！』■〒大西工業/大西　木工用兼用ビット２４．０ｍｍ【NO2-240(24.0MM)】(2521393) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　木工用兼用ビット２４．０ｍｍ【NO2-240(24.0MM)】(2521393) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　木工用兼用ビット２４．０ｍｍ【NO2-240(24.0MM)】(2521393) 受注単位1[rn]
17-21532,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005160042.jpg?fitin=700:700,293.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トップ工業/ＴＯＰ　電動ドリル用　丁番ドリル用交換ドリル（２本組）１．５ｍｍ【EHD-1.5D】(3872475) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ドリル先端のガイド部により、丁番、サッシ枠穴のほぼ中央に下穴あけができ、きれいに手早く木ねじが止めれます。<br>●ドリルは交換式で、破損・劣化した際には交換が可能です。",『カード対応OK！』■〒トップ工業/ＴＯＰ　電動ドリル用　丁番ドリル用交換ドリル（２本組）１．５ｍｍ【EHD-1.5D】(3872475) 受注単位1：クローバー資材館,『カード対応OK！』■〒トップ工業/ＴＯＰ　電動ドリル用　丁番ドリル用交換ドリル（２本組）１．５ｍｍ【EHD-1.5D】(3872475) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒トップ工業/ＴＯＰ　電動ドリル用　丁番ドリル用交換ドリル（２本組）１．５ｍｍ【EHD-1.5D】(3872475) 受注単位1[rn]
17-21533,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005456117.jpg?fitin=700:700,2952.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　木工用短ネジリングオーガー（ハンドル付）２７．０ｍｍ【NO5-270】(4081471) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●木材の貫通穴用です。<br>●手廻し(手動)で木材に穴をあけるドリルです。<br>●電源が無い所での穴あけ作業が可能です。",『カード対応OK！』■〒大西工業/大西　木工用短ネジリングオーガー（ハンドル付）２７．０ｍｍ【NO5-270】(4081471) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　木工用短ネジリングオーガー（ハンドル付）２７．０ｍｍ【NO5-270】(4081471) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　木工用短ネジリングオーガー（ハンドル付）２７．０ｍｍ【NO5-270】(4081471) 受注単位1[rn]
17-21534,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002863650.jpg?fitin=700:700,722.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　木工用兼用ビット４．０ｍｍ【NO2-40(4.0MM)】(2521253) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●柱の穴あけに最適です。<br>●インパクトドライバーではφ21mmまでの穴あけ加工が可能です。",『カード対応OK！』■〒大西工業/大西　木工用兼用ビット４．０ｍｍ【NO2-40(4.0MM)】(2521253) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　木工用兼用ビット４．０ｍｍ【NO2-40(4.0MM)】(2521253) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　木工用兼用ビット４．０ｍｍ【NO2-40(4.0MM)】(2521253) 受注単位1[rn]
17-21535,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004871713.jpg?fitin=700:700,924.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スターエム/スターエム　インパクトビットショート１８．０【7S-180】(4043839) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●先ねじとケガキ刃の部分を従来のドリルよりも小さくすることにより、切削抵抗を抑えバッテリーの持ちが良くなり、インパクトドライバーでの使用に最適です。",『カード対応OK！』■〒スターエム/スターエム　インパクトビットショート１８．０【7S-180】(4043839) 受注単位1：クローバー資材館,『カード対応OK！』■〒スターエム/スターエム　インパクトビットショート１８．０【7S-180】(4043839) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒スターエム/スターエム　インパクトビットショート１８．０【7S-180】(4043839) 受注単位1[rn]
17-21536,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004871704.jpg?fitin=700:700,5897.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スターエム/スターエム　超硬自在錐　３０×２００【36TL】(4042824) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●穴径30～120mmまでの加工が自由自在に行えます。<br>●サイディング材・堅木への穴あけに最適です。",『カード対応OK！』■〒スターエム/スターエム　超硬自在錐　３０&times;２００【36TL】(4042824) 受注単位1：クローバー資材館,『カード対応OK！』■〒スターエム/スターエム　超硬自在錐　３０&times;２００【36TL】(4042824) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒スターエム/スターエム　超硬自在錐　３０&times;２００【36TL】(4042824) 受注単位1[rn]
17-21537,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005456127.jpg?fitin=700:700,1115.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　木工用ロングビット６．０ｍｍ【NO3-60(6.0MM)】(4031148) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●木材の深穴作業用の穴あけ工具です。",『カード対応OK！』■〒大西工業/大西　木工用ロングビット６．０ｍｍ【NO3-60(6.0MM)】(4031148) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　木工用ロングビット６．０ｍｍ【NO3-60(6.0MM)】(4031148) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　木工用ロングビット６．０ｍｍ【NO3-60(6.0MM)】(4031148) 受注単位1[rn]
17-21538,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005456127.jpg?fitin=700:700,2784.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　木工用ロングビット３０．０ｍｍ【NO3-300】(4031113) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●木材の深穴作業用の穴あけ工具です。",『カード対応OK！』■〒大西工業/大西　木工用ロングビット３０．０ｍｍ【NO3-300】(4031113) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　木工用ロングビット３０．０ｍｍ【NO3-300】(4031113) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　木工用ロングビット３０．０ｍｍ【NO3-300】(4031113) 受注単位1[rn]
17-21539,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005456122.jpg?fitin=700:700,618.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　木工用コンパネビットストレート型８．０ｍｍ【NO18E-80】(4080459) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●木材の貫通穴用です。<br>●インパクトドリル対応の六角軸で、カリワク作業に最適な木材用の穴あけ工具です。",『カード対応OK！』■〒大西工業/大西　木工用コンパネビットストレート型８．０ｍｍ【NO18E-80】(4080459) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　木工用コンパネビットストレート型８．０ｍｍ【NO18E-80】(4080459) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　木工用コンパネビットストレート型８．０ｍｍ【NO18E-80】(4080459) 受注単位1[rn]
17-21540,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005456123.jpg?fitin=700:700,1091.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　木工用ストッパービットショート　２１．０ｍｍ【NO1S-210】(4080564) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●先端部のねじに特殊加工をすることにより、木材の止め穴・貫通穴両方の加工ができる万能ビットです。",『カード対応OK！』■〒大西工業/大西　木工用ストッパービットショート　２１．０ｍｍ【NO1S-210】(4080564) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　木工用ストッパービットショート　２１．０ｍｍ【NO1S-210】(4080564) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　木工用ストッパービットショート　２１．０ｍｍ【NO1S-210】(4080564) 受注単位1[rn]
17-21541,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005155670.jpg?fitin=700:700,3763.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スターエム/スターエム　兼用ビット　３６．０【6-360】(3050777) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ショートビットとドリルビットの中間の長さです。<br>●先ねじタイプのため、回転力で錐がスムーズに入ります。<br>●1本ずつ刃先を職人の手によって仕上げています。",『カード対応OK！』■〒スターエム/スターエム　兼用ビット　３６．０【6-360】(3050777) 受注単位1：クローバー資材館,『カード対応OK！』■〒スターエム/スターエム　兼用ビット　３６．０【6-360】(3050777) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒スターエム/スターエム　兼用ビット　３６．０【6-360】(3050777) 受注単位1[rn]
17-21542,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005456118.jpg?fitin=700:700,2768.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　木工用ロングドリル（全長４００ｍｍ）２１．０ｍｍ【NO7-210】(4081609) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●木材の貫通穴用です。<br>●木材の深穴作業用の穴あけ工具です。",『カード対応OK！』■〒大西工業/大西　木工用ロングドリル（全長４００ｍｍ）２１．０ｍｍ【NO7-210】(4081609) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　木工用ロングドリル（全長４００ｍｍ）２１．０ｍｍ【NO7-210】(4081609) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　木工用ロングドリル（全長４００ｍｍ）２１．０ｍｍ【NO7-210】(4081609) 受注単位1[rn]
17-21543,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005432360.jpg?fitin=700:700,1308.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　リングオーガー１２．０ｍｍ【NO5-120(12MM ﾊﾝﾄﾞﾙﾂｷ)】(4081412) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●木材の貫通穴用です。<br>●手廻し(手動)で木材に穴をあけるドリルです。<br>●電源が無い所での穴あけ作業が可能です。",『カード対応OK！』■〒大西工業/大西　リングオーガー１２．０ｍｍ【NO5-120(12MM ﾊﾝﾄﾞﾙﾂｷ)】(4081412) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　リングオーガー１２．０ｍｍ【NO5-120(12MM ﾊﾝﾄﾞﾙﾂｷ)】(4081412) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　リングオーガー１２．０ｍｍ【NO5-120(12MM ﾊﾝﾄﾞﾙﾂｷ)】(4081412) 受注単位1[rn]
17-21544,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005154405.jpg?fitin=700:700,1388.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スターエム/スターエム　ドリルビット　１５．０【4-150】(3050092) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●深い貫通穴に最適です。<br>●先ねじタイプのため、回転力で錐がスムーズに入ります。<br>●1本ずつ刃先を職人の手によって仕上げています。<br>●基礎材のアンカーボルト用穴あけ作業に適しています。",『カード対応OK！』■〒スターエム/スターエム　ドリルビット　１５．０【4-150】(3050092) 受注単位1：クローバー資材館,『カード対応OK！』■〒スターエム/スターエム　ドリルビット　１５．０【4-150】(3050092) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒スターエム/スターエム　ドリルビット　１５．０【4-150】(3050092) 受注単位1[rn]
17-21545,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004351084.jpg?fitin=700:700,1299.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スターエム/スターエム　トリプルカッター　１６．０【5008-160】(3927351) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●連続穴（ホゾ穴）・斜め穴・アール穴・貫通穴も自由自在です。<br>●従来ドリルでは、困難であるアール・斜め加工に最適です。<br>●三枚刃で軽く、切りくずのはけが良いです。",『カード対応OK！』■〒スターエム/スターエム　トリプルカッター　１６．０【5008-160】(3927351) 受注単位1：クローバー資材館,『カード対応OK！』■〒スターエム/スターエム　トリプルカッター　１６．０【5008-160】(3927351) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒スターエム/スターエム　トリプルカッター　１６．０【5008-160】(3927351) 受注単位1[rn]
17-21546,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004058833.jpg?fitin=700:700,625.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スターエム/スターエム　ショートビット　９．０【5-090】(3050459) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●浅い貫通穴に最適です。<br>●滑らかな溝面で、切りくずの排出が抜群です。<br>●先ねじタイプのため、回転力で錐がスムーズに入ります。",『カード対応OK！』■〒スターエム/スターエム　ショートビット　９．０【5-090】(3050459) 受注単位1：クローバー資材館,『カード対応OK！』■〒スターエム/スターエム　ショートビット　９．０【5-090】(3050459) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒スターエム/スターエム　ショートビット　９．０【5-090】(3050459) 受注単位1[rn]
17-21547,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005456118.jpg?fitin=700:700,1564.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　木工用ロングドリル（全長４００ｍｍ）７．５ｍｍ【NO7-75】(4081668) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●木材の貫通穴用です。<br>●木材の深穴作業用の穴あけ工具です。",『カード対応OK！』■〒大西工業/大西　木工用ロングドリル（全長４００ｍｍ）７．５ｍｍ【NO7-75】(4081668) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　木工用ロングドリル（全長４００ｍｍ）７．５ｍｍ【NO7-75】(4081668) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　木工用ロングドリル（全長４００ｍｍ）７．５ｍｍ【NO7-75】(4081668) 受注単位1[rn]
