9-12803,,662.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1,(3291375),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ブラシ形状が円盤型で、外面に向かって放射状に毛が植わっています。<br>●円盤状のブラシの中心に10mmの穴が開いていて工具、機械などに同径の軸がついていれば取り付けが可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1,(3291375)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1[rn]
9-12833,,40824.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ【M-100】(4520033) ゼムニューモータ　前方排気タイプ 受注単位1,作業用品\空圧工具\エアマイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●人間工学を追求した握りやすく軽いボディーグリップにより、長時間の作業でも疲れません。<br>●高精密なコレットチャックで回転時の疲れが少なく、微細加工ができます。<br>●高トルク、高速回転、超精密設計のベーンモーターは安定した性能を長期間にわたり維持します。<br><br>●各種金型の精密仕上げ。<br>●金属のバリ取り、面取り、研磨、彫刻、内面加工の後処理。<br>●木材、石、プラスチックなどの切削加工、研削加工。<br>●溶接後の面仕上げ。<br><br>●ホース取入口：Ｒ１／４<br>●排気：前方<br>●無負荷回転数(min[[の-1乗]])：50000<br>●質量(ｇ)：１１０<br>●チャック内径(ｍｍ)：３<br>●空気消費量(Ｌ／ｍｉｎ)：１５０<br>●全長(ｍｍ)：１５２<br><br>●別売コレット交換で１．６・２．３５軸対応可能<br>●使用空気圧力：０．５＋0.2－0.1MPa<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ムラキ【M-100】(4520033) ゼムニューモータ　前方排気タイプ 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ【M-100】(4520033) ゼムニューモータ　前方排気タイプ 受注単位1,作業用品\空圧工具\エアマイクログラインダー。『カード対応OK！』■〒ムラキ【M-100】(4520033) ゼムニューモータ　前方排気タイプ 受注単位1[rn]
9-12834,,28156.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRD-6SA】(7534086) ドリル　６．５ｍｍ　ストレートタイプ　１０１９８ 受注単位1,作業用品\空圧工具\エアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●小型、軽量、強力なエアーモータを使用しているので、迅速な穴あけ作業が可能です。<br><br>●電気機器、サッシ、板金、プレハブなどの多くの産業で穴明け作業に。<br><br>●チャック能力(mm)：6.5<br>●穴あけ能力(mm)：6.5<br>●空気消費量([[立米]]/min)：0.5<br>●ホース取入口：Rc1/4<br>●排気：後方<br>●全長(mm)：166<br>●無負荷回転数(min[[の-1乗]])：2800<br>●能力ドリル径(mm)：6.5<br>●質量(kg)：0.8<br><br>●使用空気圧力：0.6MPa<br><br>●鋳物用アルミニウム合金,クロムモリブデン鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRD-6SA】(7534086) ドリル　６．５ｍｍ　ストレートタイプ　１０１９８ 受注単位1：クローバー資材館,『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRD-6SA】(7534086) ドリル　６．５ｍｍ　ストレートタイプ　１０１９８ 受注単位1,作業用品\空圧工具\エアドリル。『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRD-6SA】(7534086) ドリル　６．５ｍｍ　ストレートタイプ　１０１９８ 受注単位1[rn]
9-12835,,22087.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エス．ピー．エアー/ＳＰ　エアードリル１０ｍｍ（正逆回転機構付）【SPD-52】(2388952) 受注単位1,作業用品\空圧工具\エアドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●同性能の電気ドリルに比べはるかに軽いミニサイズです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒エス．ピー．エアー/ＳＰ　エアードリル１０ｍｍ（正逆回転機構付）【SPD-52】(2388952) 受注単位1：クローバー資材館,『カード対応OK！』■〒エス．ピー．エアー/ＳＰ　エアードリル１０ｍｍ（正逆回転機構付）【SPD-52】(2388952) 受注単位1,作業用品\空圧工具\エアドリル。『カード対応OK！』■〒エス．ピー．エアー/ＳＰ　エアードリル１０ｍｍ（正逆回転機構付）【SPD-52】(2388952) 受注単位1[rn]
9-12836,,120781.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒インガソール・ランド・アイティーエ/ＩＲ【P33032-DMSL-B】(7643004) エアプロダクション　インラインドリル 受注単位1,作業用品\空圧工具\エアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●航空機及び一般産業用プロダクションインラインドリルとして世界で使用されているエアドリルです。<br>●使用者の疲労を軽減します。<br>●メンテナンスが簡単です。<br><br>●航空機関係、一般産業用に。<br><br>●穴あけ能力(mm)：-<br>●無負荷回転数(rpm)：3200<br>●空気消費量([[立米]]/min)：600<br>●ホース取入口：NPT1/4<br>●排気：下方<br>●全長(mm)：164<br>●無負荷回転数(min[[の-1乗]])：3200<br>●質量(kg)：0.6<br><br>●プッシュボタンタイプ<br>●ソケット差込角：10mm<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒インガソール・ランド・アイティーエ/ＩＲ【P33032-DMSL-B】(7643004) エアプロダクション　インラインドリル 受注単位1：クローバー資材館,『カード対応OK！』■〒インガソール・ランド・アイティーエ/ＩＲ【P33032-DMSL-B】(7643004) エアプロダクション　インラインドリル 受注単位1,作業用品\空圧工具\エアドリル。『カード対応OK！』■〒インガソール・ランド・アイティーエ/ＩＲ【P33032-DMSL-B】(7643004) エアプロダクション　インラインドリル 受注単位1[rn]
9-12837,,32959.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒信濃機販/ＳＩ　エア－ドリル【SI-5305-8A】(2925699) 受注単位1,作業用品\空圧工具\エアドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●小型・軽量・強力タイプです。<br>●正逆回転式で、タッピング作業可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒信濃機販/ＳＩ　エア&minus;ドリル【SI-5305-8A】(2925699) 受注単位1：クローバー資材館,『カード対応OK！』■〒信濃機販/ＳＩ　エア&minus;ドリル【SI-5305-8A】(2925699) 受注単位1,作業用品\空圧工具\エアドリル。『カード対応OK！』■〒信濃機販/ＳＩ　エア&minus;ドリル【SI-5305-8A】(2925699) 受注単位1[rn]
9-12838,,1086.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　手元らくらく補助ホース　６．５Ｘ０．５ｍ　１／４金具付【TRH-6505】(3287831) 受注単位1,(3287831),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●軽量で耐摩耗性にすぐれた柔軟性の高いホースです。<br>●ホースがすべりやすい仕様ですのでひっかかりにくくなっています。<br>●火花（スパッタ）に強く耐久性に優れています。<br>●耐寒性に優れ冬場の作業でも硬化せず安心して作業ができます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　手元らくらく補助ホース　６．５Ｘ０．５ｍ　１／４金具付【TRH-6505】(3287831) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　手元らくらく補助ホース　６．５Ｘ０．５ｍ　１／４金具付【TRH-6505】(3287831) 受注単位1,(3287831)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　手元らくらく補助ホース　６．５Ｘ０．５ｍ　１／４金具付【TRH-6505】(3287831) 受注単位1[rn]
9-12839,,112334.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒インガソール・ランド・アイティーエ/ＩＲ【P33006-DMSL】(7642989) エアプロダクション　インラインドリル 受注単位1,作業用品\空圧工具\エアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●航空機及び一般産業用プロダクションインラインドリルとして世界で使用されているエアドリルです。<br>●使用者の疲労を軽減します。<br>●メンテナンスが簡単です。<br><br>●航空機関係、一般産業用に。<br><br>●穴あけ能力(mm)：-<br>●無負荷回転数(rpm)：600<br>●空気消費量([[立米]]/min)：600<br>●ホース取入口：NPT1/4<br>●排気：下方<br>●全長(mm)：179<br>●無負荷回転数(min[[の-1乗]])：600<br>●質量(kg)：0.8<br><br>●レバータイプ<br>●ソケット差込角：10mm<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒インガソール・ランド・アイティーエ/ＩＲ【P33006-DMSL】(7642989) エアプロダクション　インラインドリル 受注単位1：クローバー資材館,『カード対応OK！』■〒インガソール・ランド・アイティーエ/ＩＲ【P33006-DMSL】(7642989) エアプロダクション　インラインドリル 受注単位1,作業用品\空圧工具\エアドリル。『カード対応OK！』■〒インガソール・ランド・アイティーエ/ＩＲ【P33006-DMSL】(7642989) エアプロダクション　インラインドリル 受注単位1[rn]
9-12840,,23110.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　エアードリルピストル型ＧＴＤ１００－１５【GT-D100-15】(2925508) 受注単位1,作業用品\空圧工具\エアドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●あらゆる小径の穴あけをスピーディーにおこないます。<br>●小型軽量、サイレンサー付です。<br>●後方排気方式、切り粉が飛散しません。<br>●消音装置付で排気音が静か、作業環境の改善に貢献します。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ベッセル/ベッセル　エアードリルピストル型ＧＴＤ１００&minus;１５【GT-D100-15】(2925508) 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセル/ベッセル　エアードリルピストル型ＧＴＤ１００&minus;１５【GT-D100-15】(2925508) 受注単位1,作業用品\空圧工具\エアドリル。『カード対応OK！』■〒ベッセル/ベッセル　エアードリルピストル型ＧＴＤ１００&minus;１５【GT-D100-15】(2925508) 受注単位1[rn]
9-12841,,42962.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒瓜生製作/瓜生　ピストル型タッパダブルボタン【UT-66B-07】(2116103) 受注単位1,作業用品\空圧工具\エアドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●タッピング作業用ツールです。<br>●ダブルボタン式により左右回転の切り替えが容易です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒瓜生製作/瓜生　ピストル型タッパダブルボタン【UT-66B-07】(2116103) 受注単位1：クローバー資材館,『カード対応OK！』■〒瓜生製作/瓜生　ピストル型タッパダブルボタン【UT-66B-07】(2116103) 受注単位1,作業用品\空圧工具\エアドリル。『カード対応OK！』■〒瓜生製作/瓜生　ピストル型タッパダブルボタン【UT-66B-07】(2116103) 受注単位1[rn]
9-12842,,41972.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BP925】(7546700) キーチャック付き高精度エアドリル　１０ｍｍ 受注単位1,作業用品\空圧工具\エアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●常に高品位の作業を可能にする精密穿孔用の0.0635mmのチャックランアウトです。<br>●5枚羽根の0.45HPモーターが最高レベルの穿孔パワーを発揮し、作業を短時間で完了することができます。<br>●人差し指用サポートで穿孔時の正確さを確保することができるユーザーに頼もしいデザインです。<br>●トップマウント式正逆回転切替スイッチにより片手でも簡単に扱うことができます。<br>●逆転可能な可変速トリガーにより、穿孔速度を確実にコントロールできます。<br>●ソフトグリップ・ハンドルで手に持った感触も快適です。<br><br>●あらゆる穴あけ作業に。<br><br>●チャック能力(mm)：10<br>●穴あけ能力(mm)：10<br>●無負荷回転数(rpm)：2500<br>●空気消費量([[立米]]/min)：0.8<br>●ホース取入口：PT1/4<br>●排気：後方<br>●全長(mm)：178<br>●無負荷回転数(min[[の-1乗]])：2500<br>●質量(kg)：1.0<br><br>●使用空気圧力：0.62MPa<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BP925】(7546700) キーチャック付き高精度エアドリル　１０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BP925】(7546700) キーチャック付き高精度エアドリル　１０ｍｍ 受注単位1,作業用品\空圧工具\エアドリル。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BP925】(7546700) キーチャック付き高精度エアドリル　１０ｍｍ 受注単位1[rn]
9-12843,,5232.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本精器/日本精器　手元減圧弁８Ａ１．０ＭＰａ仕様（低圧用）カップリング付【BN-3LK01L5-8-SP】(3873196) 受注単位1,作業用品\空圧工具\エアドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ハンドルの出っ張りが無くコンパクトです。<br>●独自の構造でハンドルを軽く回すことができます。<br>●カップリング付です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本精器/日本精器　手元減圧弁８Ａ１．０ＭＰａ仕様（低圧用）カップリング付【BN-3LK01L5-8-SP】(3873196) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本精器/日本精器　手元減圧弁８Ａ１．０ＭＰａ仕様（低圧用）カップリング付【BN-3LK01L5-8-SP】(3873196) 受注単位1,作業用品\空圧工具\エアドリル。『カード対応OK！』■〒日本精器/日本精器　手元減圧弁８Ａ１．０ＭＰａ仕様（低圧用）カップリング付【BN-3LK01L5-8-SP】(3873196) 受注単位1[rn]
9-12844,,43376.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒不二空機/不二　小型ドリル（後方排気型）【FRD-6PH-7】(4237412) 受注単位1,作業用品\空圧工具\エアドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●コンパクト・軽量・ハイパワーであらゆる穴あけ作業に最適です。<br>●人間工学的製品設計で作業しやすく疲労が低減できます。<br>●優れた芯振れ精度です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒不二空機/不二　小型ドリル（後方排気型）【FRD-6PH-7】(4237412) 受注単位1：クローバー資材館,『カード対応OK！』■〒不二空機/不二　小型ドリル（後方排気型）【FRD-6PH-7】(4237412) 受注単位1,作業用品\空圧工具\エアドリル。『カード対応OK！』■〒不二空機/不二　小型ドリル（後方排気型）【FRD-6PH-7】(4237412) 受注単位1[rn]
9-12845,,30293.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エス．ピー．エアー/ＳＰ　コーナードリル１３ｍｍ（正逆回転機構付）【SP-1513AH】(3900916) 受注単位1,作業用品\空圧工具\エアドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●同性能の電気ドリルに比べはるかに軽いミニサイズです。<br>●狭い場所に最適なアングルヘッドタイプ。<br>●センター出しが容易なレバーアクション。<br>●プラネタリーギヤ式。<br>●後方排気ですから、作業を妨げません。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒エス．ピー．エアー/ＳＰ　コーナードリル１３ｍｍ（正逆回転機構付）【SP-1513AH】(3900916) 受注単位1：クローバー資材館,『カード対応OK！』■〒エス．ピー．エアー/ＳＰ　コーナードリル１３ｍｍ（正逆回転機構付）【SP-1513AH】(3900916) 受注単位1,作業用品\空圧工具\エアドリル。『カード対応OK！』■〒エス．ピー．エアー/ＳＰ　コーナードリル１３ｍｍ（正逆回転機構付）【SP-1513AH】(3900916) 受注単位1[rn]
9-12846,,34528.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRD-10P】(7534035) ドリル　１０ｍｍ　１０２１２ 受注単位1,作業用品\空圧工具\エアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●小型、軽量、強力なエアーモータを使用しているので、迅速な穴あけ作業が可能です。<br><br>●電気機器、サッシ、板金、プレハブなどの多くの産業で穴明け作業に。<br><br>●チャック能力(mm)：10<br>●穴あけ能力(mm)：10<br>●空気消費量([[立米]]/min)：0.55<br>●ホース取入口：Rc1/4<br>●排気：後方<br>●全長(mm)：156<br>●無負荷回転数(min[[の-1乗]])：2000<br>●能力ドリル径(mm)：10<br>●質量(kg)：1.1<br><br>●使用空気圧力：0.6MPa<br><br>●鋳物用アルミニウム合金,クロムモリブデン鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRD-10P】(7534035) ドリル　１０ｍｍ　１０２１２ 受注単位1：クローバー資材館,『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRD-10P】(7534035) ドリル　１０ｍｍ　１０２１２ 受注単位1,作業用品\空圧工具\エアドリル。『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRD-10P】(7534035) ドリル　１０ｍｍ　１０２１２ 受注単位1[rn]
9-12847,,5552.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本精器/日本精器　手元減圧弁８Ａ１．５ＭＰａ仕様カップリング付【BN-3LK01K15-8-SP】(3873170) 受注単位1,作業用品\空圧工具\エアドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ハンドルの出っ張りが無くコンパクトです。<br>●独自の構造でハンドルを軽く回すことができます。<br>●カップリング付です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本精器/日本精器　手元減圧弁８Ａ１．５ＭＰａ仕様カップリング付【BN-3LK01K15-8-SP】(3873170) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本精器/日本精器　手元減圧弁８Ａ１．５ＭＰａ仕様カップリング付【BN-3LK01K15-8-SP】(3873170) 受注単位1,作業用品\空圧工具\エアドリル。『カード対応OK！』■〒日本精器/日本精器　手元減圧弁８Ａ１．５ＭＰａ仕様カップリング付【BN-3LK01K15-8-SP】(3873170) 受注単位1[rn]
9-12848,,31366.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒信濃機販/ＳＩ　エアードリル【SI-5355】(4072430) 受注単位1,作業用品\空圧工具\エアドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●小型・軽量・強力タイプです。<br>●アングルコーナー型です。<br>●正逆回転式です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒信濃機販/ＳＩ　エアードリル【SI-5355】(4072430) 受注単位1：クローバー資材館,『カード対応OK！』■〒信濃機販/ＳＩ　エアードリル【SI-5355】(4072430) 受注単位1,作業用品\空圧工具\エアドリル。『カード対応OK！』■〒信濃機販/ＳＩ　エアードリル【SI-5355】(4072430) 受注単位1[rn]
9-12849,,81345.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRD-19R】(7534051) ドリル　１０２１９ 受注単位1,作業用品\空圧工具\エアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●小型、軽量、強力なエアーモータを使用しているので、迅速な穴あけ作業が可能Ｄす。<br><br>●電気機器、サッシ、板金、プレハブなどの多くの産業で穴明け作業に。<br><br>●チャック能力(mm)：MT2<br>●穴あけ能力(mm)：19<br>●無負荷回転数(rpm)：750<br>●空気消費量([[立米]]/min)：1.1<br>●ホース取入口：3/8<br>●排気：後方<br>●全長(mm)：452<br>●使用空気圧力(MPa)：0.6<br>●無負荷回転数(min[[の-1乗]])：750<br><br>●使用空気圧力：0.6MPa<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRD-19R】(7534051) ドリル　１０２１９ 受注単位1：クローバー資材館,『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRD-19R】(7534051) ドリル　１０２１９ 受注単位1,作業用品\空圧工具\エアドリル。『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRD-19R】(7534051) ドリル　１０２１９ 受注単位1[rn]
9-12850,,19104.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　エアードリルピストル型ＧＴＤ８０－２０【GT-D80-20 (ｼｮｳｵﾝｿｳﾁﾂｷ･ｺｳﾎｳﾊｲｷｶﾞﾀ9】(2925494) 受注単位1,作業用品\空圧工具\エアドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●あらゆる小径の穴あけをスピーディーにおこないます。<br>●小型軽量、サイレンサー付です。<br>●後方排気方式、切り粉が飛散しません。<br>●消音装置付で排気音が静か、作業環境の改善に貢献します。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ベッセル/ベッセル　エアードリルピストル型ＧＴＤ８０&minus;２０【GT-D80-20 (ｼｮｳｵﾝｿｳﾁﾂｷ･ｺｳﾎｳﾊｲｷｶﾞﾀ9】(2925494) 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセル/ベッセル　エアードリルピストル型ＧＴＤ８０&minus;２０【GT-D80-20 (ｼｮｳｵﾝｿｳﾁﾂｷ･ｺｳﾎｳﾊｲｷｶﾞﾀ9】(2925494) 受注単位1,作業用品\空圧工具\エアドリル。『カード対応OK！』■〒ベッセル/ベッセル　エアードリルピストル型ＧＴＤ８０&minus;２０【GT-D80-20 (ｼｮｳｵﾝｿｳﾁﾂｷ･ｺｳﾎｳﾊｲｷｶﾞﾀ9】(2925494) 受注単位1[rn]
9-12851,,19733.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒信濃機販/ＳＩ　ミニリバーシブルドリル【SI-5506】(3320731) 受注単位1,作業用品\空圧工具\エアドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●小型・軽量・強力タイプです。<br>●正逆回転式で、タッピング作業可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒信濃機販/ＳＩ　ミニリバーシブルドリル【SI-5506】(3320731) 受注単位1：クローバー資材館,『カード対応OK！』■〒信濃機販/ＳＩ　ミニリバーシブルドリル【SI-5506】(3320731) 受注単位1,作業用品\空圧工具\エアドリル。『カード対応OK！』■〒信濃機販/ＳＩ　ミニリバーシブルドリル【SI-5506】(3320731) 受注単位1[rn]
