13-6601,,4762.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1,作業用品\電動工具・油圧工具\インパクトドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●10.8Vリチウムイオン用充電器。",『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1：クローバー資材館,『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1,作業用品\電動工具・油圧工具\インパクトドライバー。『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1[rn]
13-6623,,1283.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ カッター・鋸【AC-L501B】(8134719) タジマ ネジプロＬ アルミニストメタリックブルー 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●強力ネジ式ロックです。<br>
●ボディ内に2枚の替刃を内蔵できます。<br>
●重厚感があり、使い込むほどに味が出る、アルミダイカストボディです。<br>
●ブレードはグリップセンターに位置し、使い慣れたブレードポジションでバランスが良いです。<br>
●刃折り器（スナッパー）付です。<br>
●強力ネジ式ロックです。<br>
●ボディ内に2枚の替刃を内蔵できます。<br>
●重厚感があり、使い込むほどに味が出る、アルミダイカストボディです。<br>
●ブレードはグリップセンターに位置使い慣れたブレードポジションでバランスが良いです。<br>
●刃折り器（スナッパー）付です。<br>
●厚物切断用カッター<br>
●全長(mm):170<br>
●適合替刃:CBL-SG10・CBL-SG50・CBL-SK10・CBL-SK50・CB-50D<br>
●刃厚(mm):0.5<br>
●刃長(mm):100<br>
●ロック方式:ネジ<br>
●刃厚:0.5mm<br>
●替刃2枚内蔵<br>
●本体:アルミダイカスト<br>
●刃物ですので取り扱いにご注意下さい。<br>
●使用後の折れ刃は、適切な処理をして下さい。",■〒ＴＪＭデザイン/タジマ カッター・鋸【AC-L501B】(8134719) タジマ ネジプロＬ アルミニストメタリックブルー 発注単位1：クローバー資材館,■〒ＴＪＭデザイン/タジマ カッター・鋸【AC-L501B】(8134719) タジマ ネジプロＬ アルミニストメタリックブルー 発注単位1,作業用品\ハサミ・カッター・鋸。■〒ＴＪＭデザイン/タジマ カッター・鋸【AC-L501B】(8134719) タジマ ネジプロＬ アルミニストメタリックブルー 発注単位1[rn]
13-6624,,311.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ カッター・鋸【LC561YBL】(8134715) タジマ ネジプロ グリ－Ｌ 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●強力ネジ式ロックです。<br>
●頑丈な0.8mm厚ブレードホルダーを採用しました。<br>
●プラスチックボディに軟質のエラストマ―を一体成型です（ダブルインジェクション製法）。<br>
●濡れた手や軍手でも滑りにくく、確かなパワーが得られます。<br>
●強力ネジ式ロックです。<br>
●頑丈な0.8mm厚ブレードホルダーを採用しました。<br>
●プラスチックボディに軟質のエラストマ―を一体成型です（ダブルインジェクション製法）。<br>
●濡れた手や軍手でも滑りにくく、確かなパワーが得られます。<br>
●厚物切断用カッター<br>
●全長(mm):155<br>
●適合替刃:CBL-SG10・CBL-SG50・CBL-SK10・CBL-SK50・CB-50D<br>
●刃厚(mm):0.5<br>
●刃長(mm):100<br>
●ロック方式:ネジ<br>
●刃幅(mm):18<br>
●刃厚:0.5mm<br>
●グリップ:エラストマー樹脂<br>
●刃物ですので取り扱いにご注意下さい。<br>
●使用後の折れ刃は、適切な処理をして下さい。",■〒ＴＪＭデザイン/タジマ カッター・鋸【LC561YBL】(8134715) タジマ ネジプロ グリ&minus;Ｌ 発注単位1：クローバー資材館,■〒ＴＪＭデザイン/タジマ カッター・鋸【LC561YBL】(8134715) タジマ ネジプロ グリ&minus;Ｌ 発注単位1,作業用品\ハサミ・カッター・鋸。■〒ＴＪＭデザイン/タジマ カッター・鋸【LC561YBL】(8134715) タジマ ネジプロ グリ&minus;Ｌ 発注単位1[rn]
13-6625,,184.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ カッター・鋸【LC-303YBL】(8134380) タジマ Ａ型黄 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●薄物切りに最適です。<br>
●握りやすいグリップ（樹脂製）採用しました。<br>
●ボディ内に2枚の替刃を内蔵できます。<br>
●刃折り器（スナッパー）付です。<br>
●スナッパーはクリップタイプでポケットに差し込めます。<br>
●薄物切りに最適です。<br>
●握りやすいグリップ（樹脂製）を採用しています。<br>
●ボディ内に2枚の替刃を内蔵できます。<br>
●刃折り器（スナッパー）付です。<br>
●スナッパーはクリップタイプでポケットに差し込めます。<br>
●薄物切断用カッター<br>
●全長(mm):130<br>
●適合替刃:LB-30P・LB-30-50<br>
●刃厚(mm):0.38<br>
●刃長(mm):80<br>
●ロック方式:ワンタッチ<br>
●刃幅(mm):9<br>
●刃厚:0.38mm<br>
●替刃2枚内蔵<br>
●本体:ABS樹脂<br>
●刃物ですので取り扱いにご注意下さい。<br>
●使用後の折れ刃は、適切な処理をして下さい。",■〒ＴＪＭデザイン/タジマ カッター・鋸【LC-303YBL】(8134380) タジマ Ａ型黄 発注単位1：クローバー資材館,■〒ＴＪＭデザイン/タジマ カッター・鋸【LC-303YBL】(8134380) タジマ Ａ型黄 発注単位1,作業用品\ハサミ・カッター・鋸。■〒ＴＪＭデザイン/タジマ カッター・鋸【LC-303YBL】(8134380) タジマ Ａ型黄 発注単位1[rn]
13-6626,,4881.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アーム産業/ＡＲＭ クリッパー【BC-450】(7766254) ＡＲＭ ボルトクリッパー450mmＢＣタイプ 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●高品質で握りやすいグリップで、刃先の調整フレーム付です。<br>
●刃は選び抜かれた材質を鍛造し、しなやかな切れ味です。<br>
●新JIS取得商品です。<br>
●軟鋼線材・焼き入れ前の特殊鋼材の切断に。<br>
●切断能力(mm)HRB80軟線:φ7<br>
●全長(mm):482<br>
●切断能力(mm)HRC40硬線:-<br>
●刃部:特殊鋼<br>
●パイプハンドル:スチール<br>
●軟鉄線切断専用です。ピアノ線、焼き入れの入った線材、帯鉄は切断できません。<br>
●可動部へは時々注油して下さい。<br>
●切断能力以上の線材は切らないでください。",■〒アーム産業/ＡＲＭ クリッパー【BC-450】(7766254) ＡＲＭ ボルトクリッパー450mmＢＣタイプ 発注単位1：クローバー資材館,■〒アーム産業/ＡＲＭ クリッパー【BC-450】(7766254) ＡＲＭ ボルトクリッパー450mmＢＣタイプ 発注単位1,作業用品\ハサミ・カッター・鋸。■〒アーム産業/ＡＲＭ クリッパー【BC-450】(7766254) ＡＲＭ ボルトクリッパー450mmＢＣタイプ 発注単位1[rn]
13-6627,,311.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ カッター・鋸【LC560ORCL】(8134873) タジマ オートロック グリＬ オレンジ クリアケース 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●オートロック式（ロック力25キロ）です。<br>
●頑丈な0.8mm厚ブレードホルダーを採用しました。<br>
●濡れた手や軍手でも滑りにくく、確かなパワーが得られます。<br>
●オートロック式（ロック力25キロ）です。<br>
●頑丈な0.8mm厚ブレードホルダーを採用しました。<br>
●プラスチックボディに軟質のエラストマ―を一体成型です（ダブルインジェクション製法）。<br>
●濡れた手や軍手でも滑りにくく、確かなパワーが得られます。<br>
●厚物切断用カッター<br>
●全長(mm):155<br>
●適合替刃:CBL-SG10・CBL-SG50・CBL-SK10・CBL-SK50・CB-50D<br>
●刃厚(mm):0.5<br>
●ロック方式:オートロック<br>
●刃幅(mm):18<br>
●刃厚:0.5mm<br>
●グリップ:エラストマー樹脂<br>
●刃物ですので取り扱いにご注意下さい。<br>
●使用後の折れ刃は、適切な処理をして下さい。",■〒ＴＪＭデザイン/タジマ カッター・鋸【LC560ORCL】(8134873) タジマ オートロック グリＬ オレンジ クリアケース 発注単位1：クローバー資材館,■〒ＴＪＭデザイン/タジマ カッター・鋸【LC560ORCL】(8134873) タジマ オートロック グリＬ オレンジ クリアケース 発注単位1,作業用品\ハサミ・カッター・鋸。■〒ＴＪＭデザイン/タジマ カッター・鋸【LC560ORCL】(8134873) タジマ オートロック グリＬ オレンジ クリアケース 発注単位1[rn]
13-6628,,4644.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＭＣＣコーポレーション/ＭＣＣ 作業工具【BC-ALC30】(7919646) ＭＣＣ ボルトクリッパアルミ300曲りハンドル 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●精悍なブラックボディーでアルミカーブドハンドルが作業効率をアップさせます。<br>
●切断能力(mm)HRB80軟線:φ5<br>
●切断能力(mm)HRC20硬線:φ5<br>
●全長(mm):310<br>
●適合替刃:BCE0030",■〒ＭＣＣコーポレーション/ＭＣＣ 作業工具【BC-ALC30】(7919646) ＭＣＣ ボルトクリッパアルミ300曲りハンドル 発注単位1：クローバー資材館,■〒ＭＣＣコーポレーション/ＭＣＣ 作業工具【BC-ALC30】(7919646) ＭＣＣ ボルトクリッパアルミ300曲りハンドル 発注単位1,作業用品\ハサミ・カッター・鋸。■〒ＭＣＣコーポレーション/ＭＣＣ 作業工具【BC-ALC30】(7919646) ＭＣＣ ボルトクリッパアルミ300曲りハンドル 発注単位1[rn]
13-6629,,349.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ カッター・鋸【DCL500GBCL】(8134896) タジマ ドライバーカッター Ｌ500 グロスブラック クリアケース 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●オートロック式（ロック力25キロ）です。<br>
●ホルダー全体に焼入したステンレス鋼を採用しています。<br>
●ホルダー部がドライバーと同等の硬度なので、ねじを締めたり、つく、こじるが可能になりカッター本体を多機能工具として使用できます。<br>
●オートロック式（ロック力25キロ）です。<br>
●ドライバーと同等の硬度なので、ネジを締めたりつく、こじるが可能になりカッター本体を多機能工具として使用できます。<br>
●ホルダー先端部が通常品より3.5倍の硬度でつぶれにくくて長持ちします。<br>
●厚物切断用カッター<br>
●全長(mm):186<br>
●適合替刃:CBL-SG10・CBL-SG50・CBL-SK10・CBL-SK50・CB-50D<br>
●ロック方式:オートロック<br>
●刃厚:0.5mm<br>
●安全ロープ取り付け環付<br>
●凄刃黒標準装備<br>
●本体:ABS樹脂<br>
●ブレードホルダー:ステンレス鋼<br>
●刃物ですので取り扱いにご注意下さい。<br>
●使用後の折れ刃は、適切な処理をして下さい。",■〒ＴＪＭデザイン/タジマ カッター・鋸【DCL500GBCL】(8134896) タジマ ドライバーカッター Ｌ500 グロスブラック クリアケース 発注単位1：クローバー資材館,■〒ＴＪＭデザイン/タジマ カッター・鋸【DCL500GBCL】(8134896) タジマ ドライバーカッター Ｌ500 グロスブラック クリアケース 発注単位1,作業用品\ハサミ・カッター・鋸。■〒ＴＪＭデザイン/タジマ カッター・鋸【DCL500GBCL】(8134896) タジマ ドライバーカッター Ｌ500 グロスブラック クリアケース 発注単位1[rn]
13-6630,,1604.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ カッター・鋸【DK-SS150J】(8134922) タジマ 電工スマートソー 押切り 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●切断粉が手前に落ちにくい押し鋸刃です。<br>
●収納時や腰周りに取り付けて移動しながらの作業に便利な鞘付です。<br>
●スマートソーシリーズの刃の互換性が有ります。<br>
●力の入れ易いアール形状グリップです。<br>
●安全ロープの取り付けも可能です。<br>
●石膏ボード・ベニヤ等の開口に。<br>
●刃長(mm):150<br>
●全長(mm):295<br>
●刃渡り:150mm<br>
●板厚:1.0mm<br>
●切り溝幅:1.3mm<br>
●歯ピッチ:2.4mm<br>
●刃:スチール<br>
●ケース:ポリプロピレン<br>
●簡易ホルスター<br>
●本製品には通電性がありますので、感電に注意して下さい。<br>
●安全保護の為、使用時及び刃の交換時には、保護メガネ・作業手袋を着用して下さい。",■〒ＴＪＭデザイン/タジマ カッター・鋸【DK-SS150J】(8134922) タジマ 電工スマートソー 押切り 発注単位1：クローバー資材館,■〒ＴＪＭデザイン/タジマ カッター・鋸【DK-SS150J】(8134922) タジマ 電工スマートソー 押切り 発注単位1,作業用品\ハサミ・カッター・鋸。■〒ＴＪＭデザイン/タジマ カッター・鋸【DK-SS150J】(8134922) タジマ 電工スマートソー 押切り 発注単位1[rn]
13-6631,,349.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ カッター・鋸【DCL501FBCL】(7964021) タジマ ドライバーカッター Ｌ501 ネジロック フレンチブルー 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●強力ネジ式ロックです。<br>
●ドライバーと同等の硬度なので、ネジを締めたり、多機能工具として使用できます。<br>
●ホルダー先端部が通常品より3.5倍の硬度でつぶれにくくて長持ちします。<br>
●強力ネジ式ロックです。<br>
●ドライバーと同等の硬度なので、ネジを締めたり、多機能工具として使用できます。<br>
●厚物切断用カッター<br>
●全長(mm):187<br>
●適合替刃:CBL-SG10・CBL-SG50・CBL-SK10・CBL-SK50・CB-50D<br>
●刃厚(mm):0.5<br>
●ロック方式:ネジ<br>
●刃幅(mm):18<br>
●刃厚:0.5mm<br>
●安全ロープ取り付け環付<br>
●凄刃黒標準装備<br>
●本体:ABS樹脂<br>
●ブレードホルダー:ステンレス鋼<br>
●刃物ですので取り扱いにご注意下さい。<br>
●使用後の折れ刃は、適切な処理をして下さい。",■〒ＴＪＭデザイン/タジマ カッター・鋸【DCL501FBCL】(7964021) タジマ ドライバーカッター Ｌ501 ネジロック フレンチブルー 発注単位1：クローバー資材館,■〒ＴＪＭデザイン/タジマ カッター・鋸【DCL501FBCL】(7964021) タジマ ドライバーカッター Ｌ501 ネジロック フレンチブルー 発注単位1,作業用品\ハサミ・カッター・鋸。■〒ＴＪＭデザイン/タジマ カッター・鋸【DCL501FBCL】(7964021) タジマ ドライバーカッター Ｌ501 ネジロック フレンチブルー 発注単位1[rn]
13-6632,,1604.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ カッター・鋸【DK-SS150M】(8134923) タジマ 電工スマートソー 廻挽き 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●開口に最適な150mmサイズの引き鋸刃です。<br>
●収納時や腰周りに取り付けて移動しながらの作業に便利な鞘付です。<br>
●スマートソーシリーズの刃の互換性が有ります。<br>
●力の入れ易いアール形状グリップです。<br>
●安全ロープの取り付けも可能です。<br>
●石膏ボード・ベニヤ等の開口に。<br>
●刃長(mm):150<br>
●全長(mm):295<br>
●刃渡り:150mm<br>
●板厚:1.0mm<br>
●切り溝幅:1.3mm<br>
●歯ピッチ:2.4mm<br>
●刃:スチール<br>
●ケース:ポリプロピレン<br>
●簡易ホルスター<br>
●本製品には通電性がありますので、感電に注意して下さい。<br>
●安全保護の為、使用時及び刃の交換時には、保護メガネ・作業手袋を着用して下さい。",■〒ＴＪＭデザイン/タジマ カッター・鋸【DK-SS150M】(8134923) タジマ 電工スマートソー 廻挽き 発注単位1：クローバー資材館,■〒ＴＪＭデザイン/タジマ カッター・鋸【DK-SS150M】(8134923) タジマ 電工スマートソー 廻挽き 発注単位1,作業用品\ハサミ・カッター・鋸。■〒ＴＪＭデザイン/タジマ カッター・鋸【DK-SS150M】(8134923) タジマ 電工スマートソー 廻挽き 発注単位1[rn]
13-6633,,447.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ カッター・鋸【NK-S150M】(7967161) タジマ スマートソー替刃150 廻挽き 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●スマートソーシリーズ全てのグリップに使える共通替刃です。<br>
●開口に最適な150ｍｍサイズの引き鋸刃です。<br>
●スマートソーシリーズの刃の互換性が有ります。<br>
●力を入れやすいアール形状グリップです。<br>
●電気・設備・内装・造作向けです。<br>
●石膏ボード・ベニヤ等の開口<br>
●刃長(mm):150<br>
●全長(mm):186<br>
●刃ピッチ(mm):2.4<br>
●刃渡り:150mm<br>
●板厚:1.0mm<br>
●切り溝幅:1.0mm<br>
●歯ピッチ:2.4mm<br>
●刃:スチール<br>
●本製品は刃物ですので作業中及び替刃を交換する際は、手袋をするなど安全に十分心がけて下さい。",■〒ＴＪＭデザイン/タジマ カッター・鋸【NK-S150M】(7967161) タジマ スマートソー替刃150 廻挽き 発注単位1：クローバー資材館,■〒ＴＪＭデザイン/タジマ カッター・鋸【NK-S150M】(7967161) タジマ スマートソー替刃150 廻挽き 発注単位1,作業用品\ハサミ・カッター・鋸。■〒ＴＪＭデザイン/タジマ カッター・鋸【NK-S150M】(7967161) タジマ スマートソー替刃150 廻挽き 発注単位1[rn]
13-6634,,11053.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アーム産業/ＡＲＭ クリッパー【RCJ-800】(7766629) ＡＲＭ ワイヤーロープカッター替刃ＲＣ－800用 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ワイヤーロープカッターＲＣタイプの替刃です。<br>
●取付ボルトナット付です。<br>
●適合本体:RC-800<br>
●ワイヤーロープカッターRC-800用の替刃です。<br>
●刃部:特殊鋼<br>
●取付ボルトナット×４組<br>
●ワイヤーロープの切断専用工具です。丸棒、帯鉄、ネジ、ボルト等は切断できません。<br>
●可動部・摺り合わせ面には、時々注油してください。",■〒アーム産業/ＡＲＭ クリッパー【RCJ-800】(7766629) ＡＲＭ ワイヤーロープカッター替刃ＲＣ&minus;800用 発注単位1：クローバー資材館,■〒アーム産業/ＡＲＭ クリッパー【RCJ-800】(7766629) ＡＲＭ ワイヤーロープカッター替刃ＲＣ&minus;800用 発注単位1,作業用品\ハサミ・カッター・鋸。■〒アーム産業/ＡＲＭ クリッパー【RCJ-800】(7766629) ＡＲＭ ワイヤーロープカッター替刃ＲＣ&minus;800用 発注単位1[rn]
13-6635,,2538.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アーム産業/ＡＲＭ クリッパー【HAJ-450】(7766491) ＡＲＭ ボルトクリッパー替刃450mm用 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●取付ボルトナット付です。<br>
●適合本体:HA-450、BC-450、AL-450<br>
●刃部:特殊鋼<br>
●取付ボルトナット×２組<br>
●軟鉄線切断専用です。ピアノ線、焼き入れの入った線材、帯鉄は切断できません。<br>
●可動部へは時々注油して下さい。<br>
●切断能力以上の線材は切らないでください。",■〒アーム産業/ＡＲＭ クリッパー【HAJ-450】(7766491) ＡＲＭ ボルトクリッパー替刃450mm用 発注単位1：クローバー資材館,■〒アーム産業/ＡＲＭ クリッパー【HAJ-450】(7766491) ＡＲＭ ボルトクリッパー替刃450mm用 発注単位1,作業用品\ハサミ・カッター・鋸。■〒アーム産業/ＡＲＭ クリッパー【HAJ-450】(7766491) ＡＲＭ ボルトクリッパー替刃450mm用 発注単位1[rn]
13-6636,,120.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ 測量品【LC200RPP】(7965494) タジマ スリム赤 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●超細6mm刃ペンシルタイプカッターです。<br>
●最も細い折れ刃式です。<br>
●刃折り器（スナッパー）付です。<br>
●超細6mm刃ペンシルタイプカッターです。<br>
●最も細い折れ刃式です。<br>
●刃折り器（スナッパー）付です。<br>
●薄物切断用カッター<br>
●全長(mm):140<br>
●適合替刃:LB-20P<br>
●刃厚(mm):0.38<br>
●刃長(mm):80<br>
●ロック方式:ワンタッチ<br>
●刃幅(mm):6<br>
●刃厚:0.38mm<br>
●本体:ABS樹脂<br>
●ホルダー部:ABS樹脂<br>
●刃物ですので取り扱いにご注意ください。<br>
●使用後の折れ刃は、適切な処理をしてください。<br>
●製品仕様は予告なく変更する場合がございます。",■〒ＴＪＭデザイン/タジマ 測量品【LC200RPP】(7965494) タジマ スリム赤 発注単位1：クローバー資材館,■〒ＴＪＭデザイン/タジマ 測量品【LC200RPP】(7965494) タジマ スリム赤 発注単位1,作業用品\ハサミ・カッター・鋸。■〒ＴＪＭデザイン/タジマ 測量品【LC200RPP】(7965494) タジマ スリム赤 発注単位1[rn]
13-6637,,15985.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京都機械工具/ＫＴＣ　両開きプラハードケース（すじ金いり君）【SK330P-M】(3737969) 受注単位1,作業用品\工具箱・ツールバッグ\樹脂製工具箱,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ケースの重量がグンと軽くなりました。当社従来のスチールケースに比べて30%軽く、4kgとなりました。<br>●耐油性、耐衝撃性に優れたすじ金入りのすぐれものです。<br>●グリップとロックをフラットに収め、邪魔な出っ張りをなくしました。",『カード対応OK！』■〒京都機械工具/ＫＴＣ　両開きプラハードケース（すじ金いり君）【SK330P-M】(3737969) 受注単位1：クローバー資材館,『カード対応OK！』■〒京都機械工具/ＫＴＣ　両開きプラハードケース（すじ金いり君）【SK330P-M】(3737969) 受注単位1,作業用品\工具箱・ツールバッグ\樹脂製工具箱。『カード対応OK！』■〒京都機械工具/ＫＴＣ　両開きプラハードケース（すじ金いり君）【SK330P-M】(3737969) 受注単位1[rn]
13-6638,http://tshop.r10s.jp/clover9608/cabinet/pb8/t010005396471.jpg?fitin=700:700,1404.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　トランク工具箱　３６８Ｘ２２２Ｘ１５１　ブルー【TB-362】(1200992) 受注単位1,(1200992),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ハードな使用に耐える頑丈なプレス一体型です。<br>●サイドに中皿が付いています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　トランク工具箱　３６８Ｘ２２２Ｘ１５１　ブルー【TB-362】(1200992) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　トランク工具箱　３６８Ｘ２２２Ｘ１５１　ブルー【TB-362】(1200992) 受注単位1,(1200992)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　トランク工具箱　３６８Ｘ２２２Ｘ１５１　ブルー【TB-362】(1200992) 受注単位1[rn]
13-6639,http://tshop.r10s.jp/clover9608/cabinet/pb6/t010004567866.jpg?fitin=700:700,19764.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　中型車載用工具箱　中皿なし　７００Ｘ４２０Ｘ３７０【F-7001 (ﾅｶｻﾞﾗﾅｼ)】(1260391) 受注単位1,(1260391),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●配管工具箱のベストセラーFシリーズです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　中型車載用工具箱　中皿なし　７００Ｘ４２０Ｘ３７０【F-7001 (ﾅｶｻﾞﾗﾅｼ)】(1260391) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　中型車載用工具箱　中皿なし　７００Ｘ４２０Ｘ３７０【F-7001 (ﾅｶｻﾞﾗﾅｼ)】(1260391) 受注単位1,(1260391)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　中型車載用工具箱　中皿なし　７００Ｘ４２０Ｘ３７０【F-7001 (ﾅｶｻﾞﾗﾅｼ)】(1260391) 受注単位1[rn]
13-6640,,565.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒明邦化学工業/メイホー　フリーケース　ＬＬ【FC-LL】(4028732) 受注単位1,作業用品\工具箱・ツールバッグ\パーツケース,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●長手方向の仕切は固定、短手方向は自由です。<br>●底に大きなR加工を施しているため、物を取り出しやすいです。",『カード対応OK！』■〒明邦化学工業/メイホー　フリーケース　ＬＬ【FC-LL】(4028732) 受注単位1：クローバー資材館,『カード対応OK！』■〒明邦化学工業/メイホー　フリーケース　ＬＬ【FC-LL】(4028732) 受注単位1,作業用品\工具箱・ツールバッグ\パーツケース。『カード対応OK！』■〒明邦化学工業/メイホー　フリーケース　ＬＬ【FC-LL】(4028732) 受注単位1[rn]
13-6641,http://tshop.r10s.jp/clover9608/cabinet/pb8/t010005395293.jpg?fitin=700:700,662.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ペンチケース　ニ段【TC-61】(2320436) 受注単位1,(2320436),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●420dナイロン織布で発泡ポリエチレンシートを挟み込んだ材料を使用しています。<br>●フッ素加工とアクリルコーティングにより、はっ水・防汚性を高めています。<br>●色鮮やかで耐水性もありますので、室外作業に最適です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ペンチケース　ニ段【TC-61】(2320436) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ペンチケース　ニ段【TC-61】(2320436) 受注単位1,(2320436)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ペンチケース　ニ段【TC-61】(2320436) 受注単位1[rn]
