11-25501,,4628.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大和製砥所/チェリー【C43D 800】(4167538) 金型砥石　Ｃ（カーボン）　８００ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●中仕上げ、仕上げ用砥石です。<br>●乾式、湿式で使用できます。<br>●柔らかめの砥石です。<br>●＃120、＃180、＃240も製作可能です。<br><br>●金型研磨時のうねりとり。（シールビーム対策）<br>●ダイヤモンドペースト使用前の研磨。<br>●金型用研磨砥石。<br><br>●粒度(#)：800<br>●色：ブルーグレー<br>●長さ(mm)：100<br>●幅(mm)：13<br>●厚み(mm)：3<br>●質量(g)：85<br><br><br>●原料（Ｓｉｃ）<br>●結合剤（ＳｉＯ２）<br>",『カード対応OK！』■〒大和製砥所/チェリー【C43D 800】(4167538) 金型砥石　Ｃ（カーボン）　８００ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒大和製砥所/チェリー【C43D 800】(4167538) 金型砥石　Ｃ（カーボン）　８００ 受注単位1,作業用品\研削研磨用品\砥石。『カード対応OK！』■〒大和製砥所/チェリー【C43D 800】(4167538) 金型砥石　Ｃ（カーボン）　８００ 受注単位1[rn]
11-25528,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004376751.jpg?fitin=700:700,1060.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックボラゾンバー　Φ０．９Ｘ軸３　首下７　＃２３０【THB-L009MF】(2995263) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●粗加工・バリ取り・かえり除去用です。<br>●特殊高硬度処理ステンレスシャンクにより、しっかりとした手応えと、しなやかさを兼ね備えたシャンクを実現します。<br>●表層硬度（Hv1000以上）を超硬並に近づけることにより、変形や折損を大幅に低減します。<br>●弾力性のアップにより、折損しにくいシャンクを実現します。<br>●シャンクの曲がりが少ないため、精密加工が可能です。<br>●高荷重での作業が可能なため、加工時間が大幅に短縮します。<br>●従来品に比べ、約2倍の圧力での加工が可能です。（当社比）",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックボラゾンバー　Φ０．９Ｘ軸３　首下７　＃２３０【THB-L009MF】(2995263) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックボラゾンバー　Φ０．９Ｘ軸３　首下７　＃２３０【THB-L009MF】(2995263) 受注単位1,(2995263)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックボラゾンバー　Φ０．９Ｘ軸３　首下７　＃２３０【THB-L009MF】(2995263) 受注単位1[rn]
11-25529,,885.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-725BM】(7673779) ＣＢＮインターナルバー円筒先丸　Φ２．５Ｘ刃長１２Ｘ軸３ｍｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●頭頂部がR形状のため、穴あけや小さい穴のバリ取りなどの使用に向いています。<br>●ヌープ硬度約4700（ダイヤに次ぐ硬い物質）でCBNもダイヤモンドと同様に殆どの被削材に使用可能ですが、特に研削加工時に発熱が多く、炭素を含む金属類の被削材に最も適しています。<br><br>●Ｒ面研磨・面取り・バリ取り。<br><br>●粒度(#)：140/170<br>●刃径(mm)：2.5<br>●刃長(mm)：12<br>●軸径(mm)：3<br>●全長(mm)：45<br>●首下(mm)：6<br>●最高使用回転数(rpm)：80000<br><br>●刃径×刃長×全長：2.5×12×45mm<br>●軸径：3mm<br>●粒度：#140/170<br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-725BM】(7673779) ＣＢＮインターナルバー円筒先丸　Φ２．５Ｘ刃長１２Ｘ軸３ｍｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-725BM】(7673779) ＣＢＮインターナルバー円筒先丸　Φ２．５Ｘ刃長１２Ｘ軸３ｍｍ 受注単位1,作業用品\研削研磨用品\インターナルバー。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-725BM】(7673779) ＣＢＮインターナルバー円筒先丸　Φ２．５Ｘ刃長１２Ｘ軸３ｍｍ 受注単位1[rn]
11-25530,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004511673.jpg?fitin=700:700,736.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ボラゾンインターナルバーロング　Φ３．５Ｘ刃長６Ｘ軸３　＃１２０【INT-035L  (3.5ﾊﾟｲX80L)】(2868105) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●シャンク径3mmです。<br>●ヌープ硬度約4700（ダイヤに次ぐ硬い物質）でCBNもダイヤモンドと同様に殆どの被削材に使用可能ですが、特に研削加工時に発熱が多く、炭素を含む金属類の被削材に最も適しています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ボラゾンインターナルバーロング　Φ３．５Ｘ刃長６Ｘ軸３　＃１２０【INT-035L  (3.5ﾊﾟｲX80L)】(2868105) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ボラゾンインターナルバーロング　Φ３．５Ｘ刃長６Ｘ軸３　＃１２０【INT-035L  (3.5ﾊﾟｲX80L)】(2868105) 受注単位1,(2868105)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ボラゾンインターナルバーロング　Φ３．５Ｘ刃長６Ｘ軸３　＃１２０【INT-035L  (3.5ﾊﾟｲX80L)】(2868105) 受注単位1[rn]
11-25531,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004524307.jpg?fitin=700:700,1086.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックボラゾンバー　Φ０．７Ｘ軸３　首下７　＃６００【THB-L007SF】(2995361) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●精密仕上げ加工用です。<br>●特殊高硬度処理ステンレスシャンクにより、しっかりとした手応えと、しなやかさを兼ね備えたシャンクを実現します。<br>●表層硬度（Hv1000以上）を超硬並に近づけることにより、変形や折損を大幅に低減します。<br>●弾力性のアップにより、折損しにくいシャンクを実現します。<br>●シャンクの曲がりが少ないため、精密加工が可能です。<br>●高荷重での作業が可能なため、加工時間が大幅に短縮します。<br>●従来品に比べ、約2倍の圧力での加工が可能です。（当社比）",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックボラゾンバー　Φ０．７Ｘ軸３　首下７　＃６００【THB-L007SF】(2995361) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックボラゾンバー　Φ０．７Ｘ軸３　首下７　＃６００【THB-L007SF】(2995361) 受注単位1,(2995361)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックボラゾンバー　Φ０．７Ｘ軸３　首下７　＃６００【THB-L007SF】(2995361) 受注単位1[rn]
11-25532,,885.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-730M】(7673809) ダイヤモンドインターナルバー円筒先丸　Φ３．０Ｘ刃長１２Ｘ軸３ｍｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●頭頂部がR形状のため、穴あけや小さい穴のバリ取りなどの使用に向いています。<br>●ヌープ硬度約7000（地球上で最も硬い物質）で金属類、大理石、ガラスなど、ほとんどの被削材に使用可能です。特にセラミック材などの高硬度な被削材に最も適しています。しかし、ダイヤモンドは熱に対し弱いため、研削時の発熱が多い加工（HSSなど）には不向きです。<br><br>●Ｒ面研磨・面取り・バリ取り。<br><br>●粒度(#)：140/170<br>●刃径(mm)：3.0<br>●刃長(mm)：12<br>●軸径(mm)：3<br>●全長(mm)：45<br>●首下(mm)：-<br>●最高使用回転数(rpm)：80000<br><br>●刃径×刃長×全長：3.0×12×45mm<br>●粒度：#140/170<br>●軸径：3mm<br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-730M】(7673809) ダイヤモンドインターナルバー円筒先丸　Φ３．０Ｘ刃長１２Ｘ軸３ｍｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-730M】(7673809) ダイヤモンドインターナルバー円筒先丸　Φ３．０Ｘ刃長１２Ｘ軸３ｍｍ 受注単位1,作業用品\研削研磨用品\インターナルバー。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-730M】(7673809) ダイヤモンドインターナルバー円筒先丸　Φ３．０Ｘ刃長１２Ｘ軸３ｍｍ 受注単位1[rn]
11-25533,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002864015.jpg?fitin=700:700,2631.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（卵型）ダブルカット（刃径：９．５）【SB6C02】(2818841) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●独自開発の刃形状により、高速回転使用時にバーが不用意に被切削物に喰いこんでしまうことがないため、滑らかに加工でき能力アップに貢献します。",『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（卵型）ダブルカット（刃径：９．５）【SB6C02】(2818841) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（卵型）ダブルカット（刃径：９．５）【SB6C02】(2818841) 受注単位1,作業用品\研削研磨用品\超硬バー。『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（卵型）ダブルカット（刃径：９．５）【SB6C02】(2818841) 受注単位1[rn]
11-25534,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002817752.jpg?fitin=700:700,2726.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径３ミリ（球型）ダブルカット（刃径：５．０）【SB8D06】(3218023) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●独自開発の刃形状により、高速回転使用時にバーが不用意に被切削物に喰いこんでしまうことがないため、滑らかに加工でき能力アップに貢献します。",『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径３ミリ（球型）ダブルカット（刃径：５．０）【SB8D06】(3218023) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径３ミリ（球型）ダブルカット（刃径：５．０）【SB8D06】(3218023) 受注単位1,作業用品\研削研磨用品\超硬バー。『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径３ミリ（球型）ダブルカット（刃径：５．０）【SB8D06】(3218023) 受注単位1[rn]
11-25535,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002850090.jpg?fitin=700:700,5571.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（球型）シングルカット（刃径：１９．０）【SB8C09S】(3217990) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●独自開発の刃形状により、高速回転使用時にバーが不用意に被切削物に喰いこんでしまうことがないため、滑らかに加工でき能力アップに貢献します。",『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（球型）シングルカット（刃径：１９．０）【SB8C09S】(3217990) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（球型）シングルカット（刃径：１９．０）【SB8C09S】(3217990) 受注単位1,作業用品\研削研磨用品\超硬バー。『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（球型）シングルカット（刃径：１９．０）【SB8C09S】(3217990) 受注単位1[rn]
11-25536,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002864003.jpg?fitin=700:700,4144.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　超硬バ－シャンク径６ミリ（先丸円筒型）ダブルカット（刃径：１２．７）【SB2C08】(2818396) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●独自開発の刃形状により、高速回転使用時にバーが不用意に被切削物に喰いこんでしまうことがないため、滑らかに加工でき能力アップに貢献します。",『カード対応OK！』■〒スーパーツール/スーパー　超硬バ&minus;シャンク径６ミリ（先丸円筒型）ダブルカット（刃径：１２．７）【SB2C08】(2818396) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　超硬バ&minus;シャンク径６ミリ（先丸円筒型）ダブルカット（刃径：１２．７）【SB2C08】(2818396) 受注単位1,作業用品\研削研磨用品\超硬バー。『カード対応OK！』■〒スーパーツール/スーパー　超硬バ&minus;シャンク径６ミリ（先丸円筒型）ダブルカット（刃径：１２．７）【SB2C08】(2818396) 受注単位1[rn]
11-25537,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002864000.jpg?fitin=700:700,1618.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　超硬バ－シャンク径３ミリ（円筒型）シングルカット（刃径：６．３）【SB1B01S】(2817900) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●独自開発の刃形状により、高速回転使用時にバーが不用意に被切削物に喰いこんでしまうことがないため、滑らかに加工でき能力アップに貢献します。",『カード対応OK！』■〒スーパーツール/スーパー　超硬バ&minus;シャンク径３ミリ（円筒型）シングルカット（刃径：６．３）【SB1B01S】(2817900) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　超硬バ&minus;シャンク径３ミリ（円筒型）シングルカット（刃径：６．３）【SB1B01S】(2817900) 受注単位1,作業用品\研削研磨用品\超硬バー。『カード対応OK！』■〒スーパーツール/スーパー　超硬バ&minus;シャンク径３ミリ（円筒型）シングルカット（刃径：６．３）【SB1B01S】(2817900) 受注単位1[rn]
11-25538,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004181861.jpg?fitin=700:700,746.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＣＢＮバー　Φ１．８Ｘ刃長１０Ｘ軸３　＃１４０【T3-140BM】(3748057) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●鉄系金属の加工に最適です。<br>●微小破砕（自生作用）を有するため、安定した加工面が得られます。<br>●耐熱性は約１４００℃でダイヤモンドより優れます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＣＢＮバー　Φ１．８Ｘ刃長１０Ｘ軸３　＃１４０【T3-140BM】(3748057) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＣＢＮバー　Φ１．８Ｘ刃長１０Ｘ軸３　＃１４０【T3-140BM】(3748057) 受注単位1,(3748057)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＣＢＮバー　Φ１．８Ｘ刃長１０Ｘ軸３　＃１４０【T3-140BM】(3748057) 受注単位1[rn]
11-25539,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002864005.jpg?fitin=700:700,3807.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　超硬バ－シャンク径６ミリ（砲弾型）シングルカット（刃径：１２．７）【SB3C05S】(2818531) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●独自開発の刃形状により、高速回転使用時にバーが不用意に被切削物に喰いこんでしまうことがないため、滑らかに加工でき能力アップに貢献します。",『カード対応OK！』■〒スーパーツール/スーパー　超硬バ&minus;シャンク径６ミリ（砲弾型）シングルカット（刃径：１２．７）【SB3C05S】(2818531) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　超硬バ&minus;シャンク径６ミリ（砲弾型）シングルカット（刃径：１２．７）【SB3C05S】(2818531) 受注単位1,作業用品\研削研磨用品\超硬バー。『カード対応OK！』■〒スーパーツール/スーパー　超硬バ&minus;シャンク径６ミリ（砲弾型）シングルカット（刃径：１２．７）【SB3C05S】(2818531) 受注単位1[rn]
11-25540,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002850084.jpg?fitin=700:700,992.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径３ミリ円錐型シングルカット刃径：３．０波長：８．９【SB5A02S】(3217451) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●独自開発の刃形状により、高速回転使用時にバーが不用意に被切削物に喰いこんでしまうことがないため、滑らかに加工でき能力アップに貢献します。",『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径３ミリ円錐型シングルカット刃径：３．０波長：８．９【SB5A02S】(3217451) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径３ミリ円錐型シングルカット刃径：３．０波長：８．９【SB5A02S】(3217451) 受注単位1,作業用品\研削研磨用品\超硬バー。『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径３ミリ円錐型シングルカット刃径：３．０波長：８．９【SB5A02S】(3217451) 受注単位1[rn]
11-25541,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002662855.jpg?fitin=700:700,4124.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ナカニシ/ナカニシ　内研用極小径電着ダイヤモンド・ＣＢＮバー　シャンク径φ３【12011】(2978172) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●極小径の穴加工や内面研削・ジグ研削に最適です。<br>●厳選された砥粒を最新の電着技術により強固に保持しています。<br>●高硬度専用軸を使用、高剛性は高精度加工を実現します。<br>●焼き入れ鋼材（SKH/SKD/SKS/SCM、耐熱合金）に適します。",『カード対応OK！』■〒ナカニシ/ナカニシ　内研用極小径電着ダイヤモンド・ＣＢＮバー　シャンク径φ３【12011】(2978172) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ナカニシ/ナカニシ　内研用極小径電着ダイヤモンド・ＣＢＮバー　シャンク径φ３【12011】(2978172) 受注単位1,作業用品\研削研磨用品\ダイヤモンドバー。『カード対応OK！』■〒ナカニシ/ナカニシ　内研用極小径電着ダイヤモンド・ＣＢＮバー　シャンク径φ３【12011】(2978172) 受注単位1[rn]
11-25542,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002850082.jpg?fitin=700:700,5377.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（逆テーパー型）シングルカット（刃径１６．０【SB52C04S】(3217396) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●独自開発の刃形状により、高速回転使用時にバーが不用意に被切削物に喰いこんでしまうことがないため、滑らかに加工でき能力アップに貢献します。",『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（逆テーパー型）シングルカット（刃径１６．０【SB52C04S】(3217396) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（逆テーパー型）シングルカット（刃径１６．０【SB52C04S】(3217396) 受注単位1,作業用品\研削研磨用品\超硬バー。『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（逆テーパー型）シングルカット（刃径１６．０【SB52C04S】(3217396) 受注単位1[rn]
11-25543,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004521254.jpg?fitin=700:700,1881.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクタイプＣＢＮバー　Φ９Ｘｔ０．７Ｘ軸３　＃１４０【T3-169BM-07】(3523217) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●一体加工による高精度なシャンクです。<br>●サビにくいステンレス鋼を採用しています。<br>●CBNは鉄系金属の加工に最適です。<br>●マンドレールタイプに比べ高剛性です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクタイプＣＢＮバー　Φ９Ｘｔ０．７Ｘ軸３　＃１４０【T3-169BM-07】(3523217) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクタイプＣＢＮバー　Φ９Ｘｔ０．７Ｘ軸３　＃１４０【T3-169BM-07】(3523217) 受注単位1,(3523217)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクタイプＣＢＮバー　Φ９Ｘｔ０．７Ｘ軸３　＃１４０【T3-169BM-07】(3523217) 受注単位1[rn]
11-25544,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002864015.jpg?fitin=700:700,2631.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（卵型）シングルカット（刃径：９．５）【SB6C02S】(3217574) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●独自開発の刃形状により、高速回転使用時にバーが不用意に被切削物に喰いこんでしまうことがないため、滑らかに加工でき能力アップに貢献します。",『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（卵型）シングルカット（刃径：９．５）【SB6C02S】(3217574) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（卵型）シングルカット（刃径：９．５）【SB6C02S】(3217574) 受注単位1,作業用品\研削研磨用品\超硬バー。『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（卵型）シングルカット（刃径：９．５）【SB6C02S】(3217574) 受注単位1[rn]
11-25545,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004521765.jpg?fitin=700:700,2120.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１２Ｘ刃長１０Ｘ軸６　＃２００【T6-207F(T6-207) #200】(1284983) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●形の良い天然ダイヤモンドを厳選使用しています。独自の電着技術により、ダイヤモンド粒子は強固に固着されており超寿命を誇ります。<br>●加工時間の大幅短縮を実現します。<br>●豊かな仕上げ能力です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１２Ｘ刃長１０Ｘ軸６　＃２００【T6-207F(T6-207) #200】(1284983) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１２Ｘ刃長１０Ｘ軸６　＃２００【T6-207F(T6-207) #200】(1284983) 受注単位1,(1284983)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１２Ｘ刃長１０Ｘ軸６　＃２００【T6-207F(T6-207) #200】(1284983) 受注単位1[rn]
11-25546,,1111.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ/ＭＲＡ【CB5A011】(1056239) 超硬バー　Ａシリーズ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●シャンク径3mmのオール超硬タイプです。<br><br><br>●形状：テーパー（クロスカット）<br>●刃径(mm)：3<br>●刃長(mm)：16<br>●軸径(mm)：3<br>●軸長(mm)：22<br>●角度(°)：7<br>●タイプ：オール超硬<br>●最高使用回転数(rpm)：40000<br>●質量(g)：6<br><br><br>",『カード対応OK！』■〒ムラキ/ＭＲＡ【CB5A011】(1056239) 超硬バー　Ａシリーズ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ムラキ/ＭＲＡ【CB5A011】(1056239) 超硬バー　Ａシリーズ 受注単位1,作業用品\研削研磨用品\超硬バー。『カード対応OK！』■〒ムラキ/ＭＲＡ【CB5A011】(1056239) 超硬バー　Ａシリーズ 受注単位1[rn]
