11-138301,http://tshop.r10s.jp/cityliner/cabinet/0498/08382577.jpg?fitin=700:700,1592.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,TRUSCO 2重リングプライヤー 3-6TRP-6 280-9885 1丁,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>3営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】ワンタッチでリングが開く構造(PAT.P)<br>【用途】切断能力：Φ1.0鉄線 Φ1.8銅線<br>【トラスコ品番】280-9885<br>【全長(mm)】155<br>【材質/仕上】S58C炭素鋼/光沢研磨仕上げ<br>【質量(g)】125<br>【使用範囲(mm)】線径0.5～1.5Φ<br>",TRUSCO 2重リングプライヤー 3-6TRP-6 280-9885 1丁：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルTRUSCO 2重リングプライヤー 3-6TRP-6 280-9885 1丁,3240円以上ご購入で送料無料！。TRUSCO 2重リングプライヤー 3-6TRP-6 280-9885 1丁[rn]
11-138352,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/02480410/img63989179.jpg?fitin=700:700,1136.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,ロブテックス（エビ） アンギラススケルトン レッド 口開 0～47mm ＜WP250DR＞【16200円以上送料無料 工具 激安 通販 おすすめ 人気 価格 安い 用途 種類 使い方】,,"特長<br>
 ●ウォーターポンププライヤーのスケルトングリップタイプです。<br>
 ●職場ごとの工具管理に便利な6色グリップです。（グリーン、レッド、ブルー、イエロー、バイオレット、スモーク）<br>
仕様<br>
 ●最大口開き(mm):47<br>
 ●調整(段階):5<br>
 ●全長(mm):252<br>
 ●質量(g):360<br>
用途<br>
 ●パイプなどの配管作業。<br>
 ●水道の蛇口など水回り作業。<br>
 ●ボルト・ナットの締め付け、取り外し。<br>
 ●線材のねじり、曲げ、引っ張り。<br>
 ●栓やビンのフタなどの開閉。<br>  
注意事項<br>
 ●不安定なくわえ方をしないでください。<br>
 ●電流が流れているものには使用しないでください。<br>
 ●ドライバーの先端を握って作業しないでください。<br> 
生産国<br>
 ●日本<br>",ロブテックス（エビ） アンギラススケルトン レッド 口開 0～47mm ＜WP250DR＞【16200円以上送料無料 工具 激安 通販 おすすめ 人気 価格 安い 用途 種類 使い方】：三河機工 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーロブテックス（エビ） アンギラススケルトン レッド 口開 0～47mm ＜WP250DR＞【16200円以上送料無料 工具 激安 通販 おすすめ 人気 価格 安い 用途 種類 使い方】,俺タワー ニッパー 代用 薄い 釣り。ロブテックス（エビ） アンギラススケルトン レッド 口開 0～47mm ＜WP250DR＞【16200円以上送料無料 工具 激安 通販 おすすめ 人気 価格 安い 用途 種類 使い方】[rn]
11-138353,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/02480410/img63989152.jpg?fitin=700:700,864.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,ロブテックス（エビ） バネ付プライヤ 200mm ＜P200S＞ 【スプリットリング アイマ クニペックス ペンチ プライヤーレンチ プライヤーシース プライヤーピアス ウォーターポンププライヤー 工具 特別価格 16200円以上 送料無料】,,"特長<br>
 ●特殊ばね機構とソフトグリップの採用で、長時間作業の手の疲れをやわらげます。<br>
仕様<br>
 ●ばね付<br>
 ●ばね付<br>
 ●全長(mm):206<br>
 ●厚み(mm):11<br>
 ●A(mm):46.0<br>
 ●切断能力(mm):2.6<br>
 ●質量(g):250<br>
用途<br>
 ●線材の切断、ネジり、曲げ、引張り。<br>
 ●鉄板等の曲げ。<br>
 ●ボルト・ナットの締付・取り外し。<br>
生産国<br>
 ●日本<br>",ロブテックス（エビ） バネ付プライヤ 200mm ＜P200S＞ 【スプリットリング アイマ クニペックス ペンチ プライヤーレンチ プライヤーシース プライヤーピアス ウォーターポンププライヤー 工具 特別価格 16200円以上 送料無料】：三河機工 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーロブテックス（エビ） バネ付プライヤ 200mm ＜P200S＞ 【スプリットリング アイマ クニペックス ペンチ プライヤーレンチ プライヤーシース プライヤーピアス ウォーターポンププライヤー 工具 特別価格 16200円以上 送料無料】,コンビネーションプライヤー ニッパー 種類 使い方。ロブテックス（エビ） バネ付プライヤ 200mm ＜P200S＞ 【スプリットリング アイマ クニペックス ペンチ プライヤーレンチ プライヤーシース プライヤーピアス ウォーターポンププライヤー 工具 特別価格 16200円以上 送料無料】[rn]
11-138354,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/02480410/img63989162.jpg?fitin=700:700,848.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,ロブテックス（エビ印） プライヤスケルトン イエロー ＜SP200Y＞ 【スプリットリング ペンチ プライヤーレンチ プライヤーシース プライヤーピアス ウォーターポンププライヤー 工具 おすすめ 人気 特別価格 16200円以上送料無料】,,"特長<br>
 ●スタンダードコンビネーションプライヤーのスケルトングリップ付です。<br>
 ●職場ごとの工具管理に便利な6色グリップです。（グリーン、レッド、ブルー、イエロー、バイオレット、スモーク）<br>
仕様<br>
 ●スケルトングリップ<br>
 ●全長(mm):202<br>
 ●厚み(mm):11<br>
 ●A(mm):46<br>
 ●切断能力(mm):2.6<br>
 ●グリップカラー:イエロー<br>
 ●質量(g):260<br>
用途<br>
 ●ボルト・ナットの締付け、取外し。<br>
 ●線材の切断、ネジリ、曲げ、引張り。<br>
 ●薄い鉄板等の曲げ。<br>
 ●栓やビンのフタ等の開閉。<br>
 ●手でつかめないものをつかむ。<br>
注意事項<br>
 ●不安定なくわえ方をしないでください。<br>
 ●電流が流れているものには使用しないでください。<br>
 ●線材を自分の方に向けて切断しないでください。<br>
生産国<br>
 ●日本<br>",ロブテックス（エビ印） プライヤスケルトン イエロー ＜SP200Y＞ 【スプリットリング ペンチ プライヤーレンチ プライヤーシース プライヤーピアス ウォーターポンププライヤー 工具 おすすめ 人気 特別価格 16200円以上送料無料】：三河機工 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーロブテックス（エビ印） プライヤスケルトン イエロー ＜SP200Y＞ 【スプリットリング ペンチ プライヤーレンチ プライヤーシース プライヤーピアス ウォーターポンププライヤー 工具 おすすめ 人気 特別価格 16200円以上送料無料】,ロブスター コンビネーションプライヤー ニッパー 種類 使い方。ロブテックス（エビ印） プライヤスケルトン イエロー ＜SP200Y＞ 【スプリットリング ペンチ プライヤーレンチ プライヤーシース プライヤーピアス ウォーターポンププライヤー 工具 おすすめ 人気 特別価格 16200円以上送料無料】[rn]
11-138355,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/02480410/img60926374.jpg?fitin=700:700,1424.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,ロブテックス（エビ） ペンチ(樹脂グリップ付) ＜ZP175＞【16200円以上送料無料 工具 激安 通販 おすすめ 人気 価格 安い 使い方 種類 はさみ 切断】,,"特長<br>
 ●樹脂グリップ付で使いやすくなっています。<br>
仕様<br>
 ●樹脂グリップ付<br>
 ●切断能力(mm)鉄線:φ2.75<br>
 ●切断能力(mm)銅線:φ3.2<br>
 ●切断能力(mm)VA線(VVF):-<br>
 ●落下防止用ひも取付穴:無<br>
 ●全長(mm):188<br>
 ●質量(g):260<br>
用途<br>
 ●電気工事、土木、建築等の作業に。<br>
生産国<br>
 ●日本<br>",ロブテックス（エビ） ペンチ(樹脂グリップ付) ＜ZP175＞【16200円以上送料無料 工具 激安 通販 おすすめ 人気 価格 安い 使い方 種類 はさみ 切断】：三河機工 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーロブテックス（エビ） ペンチ(樹脂グリップ付) ＜ZP175＞【16200円以上送料無料 工具 激安 通販 おすすめ 人気 価格 安い 使い方 種類 はさみ 切断】,ロブテックス（エビ） ペンチ(樹脂グリップ付) ＜ZP175＞【16200円以上送料無料 工具 激安 通販 おすすめ 人気 価格 安い 使い方 種類 はさみ 切断】[rn]
11-138356,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/02480410/img63989168.jpg?fitin=700:700,1296.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,ロブテックス（エビ） ポンプラスケルトン イエロー 口開 0～43mm ＜WP250HY＞【16200円以上送料無料 工具 激安 通販 おすすめ 人気 価格 安い 用途 種類 使い方】,,"特長<br>
 ●ウォーターポンププライヤーのスケルトングリップタイプです。<br>
 ●職場ごとの工具管理に便利な6色グリップです。（グリーン、レッド、ブルー、イエロー、バイオレット、スモーク）<br>
仕様<br>
 ●最大口開き(mm):43<br>
 ●調整(段階):5<br>
 ●全長(mm):252<br>
 ●質量(g):380<br>
用途<br>
 ●パイプなどの配管作業。<br>
 ●水道の蛇口など水回り作業。<br>
 ●ボルト・ナットの締め付け、取り外し。<br>
 ●線材のねじり、曲げ、引っ張り。<br>
 ●栓やビンのフタなどの開閉。<br>  
注意事項<br>
 ●不安定なくわえ方をしないでください。<br>
 ●電流が流れているものには使用しないでください。<br>
 ●ドライバーの先端を握って作業しないでください。<br> 
生産国<br>
 ●日本<br>",ロブテックス（エビ） ポンプラスケルトン イエロー 口開 0～43mm ＜WP250HY＞【16200円以上送料無料 工具 激安 通販 おすすめ 人気 価格 安い 用途 種類 使い方】：三河機工 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーロブテックス（エビ） ポンプラスケルトン イエロー 口開 0～43mm ＜WP250HY＞【16200円以上送料無料 工具 激安 通販 おすすめ 人気 価格 安い 用途 種類 使い方】,俺タワー ニッパー 代用 薄い 釣り。ロブテックス（エビ） ポンプラスケルトン イエロー 口開 0～43mm ＜WP250HY＞【16200円以上送料無料 工具 激安 通販 おすすめ 人気 価格 安い 用途 種類 使い方】[rn]
11-138357,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/02480410/img61824650.jpg?fitin=700:700,1104.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,ロブテックス（エビ） プライヤ 全長 250mm ＜P250＞ 【スプリットリング アイマ クニペックス ペンチ プライヤーレンチ プライヤーシース プライヤーピアス ウォーターポンププライヤー 工具 人気 特別価格 16200円以上送料無料】,,"特長<br>
 ●サビにくく、耐久性に優れた定番プライヤーです。<br>
 ●ガタつきがなくしっかりホールドします。<br>
仕様<br>
 ●全長(mm):248<br>
 ●厚み(mm):12<br>
 ●A(mm):58.0<br>
 ●切断能力(mm):φ3.2<br>
 ●質量(g):360<br>
用途<br>
 ●線材の切断、ネジり、曲げ、引張り。<br>
 ●鉄板等の曲げ。<br>
 ●ボルト・ナットの締付・取り外し。<br>
生産国<br>
 ●日本<br>",ロブテックス（エビ） プライヤ 全長 250mm ＜P250＞ 【スプリットリング アイマ クニペックス ペンチ プライヤーレンチ プライヤーシース プライヤーピアス ウォーターポンププライヤー 工具 人気 特別価格 16200円以上送料無料】：三河機工 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーロブテックス（エビ） プライヤ 全長 250mm ＜P250＞ 【スプリットリング アイマ クニペックス ペンチ プライヤーレンチ プライヤーシース プライヤーピアス ウォーターポンププライヤー 工具 人気 特別価格 16200円以上送料無料】,コンビネーションプライヤー ニッパー 種類 使い方 。ロブテックス（エビ） プライヤ 全長 250mm ＜P250＞ 【スプリットリング アイマ クニペックス ペンチ プライヤーレンチ プライヤーシース プライヤーピアス ウォーターポンププライヤー 工具 人気 特別価格 16200円以上送料無料】[rn]
11-138358,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/02480410/img63989179.jpg?fitin=700:700,1136.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,ロブテックス（エビ） アンギラススケルトン バイオレット 口開 0～47mm ＜WP250DV＞【16200円以上送料無料 工具 激安 通販 おすすめ 人気 価格 安い 用途 種類 使い方】,,"特長<br>
 ●ウォーターポンププライヤーのスケルトングリップタイプです。<br>
 ●職場ごとの工具管理に便利な6色グリップです。（グリーン、レッド、ブルー、イエロー、バイオレット、スモーク）<br>
仕様<br>
 ●最大口開き(mm):47<br>
 ●調整(段階):5<br>
 ●全長(mm):252<br>
 ●質量(g):360<br>
用途<br>
 ●パイプなどの配管作業。<br>
 ●水道の蛇口など水回り作業。<br>
 ●ボルト・ナットの締め付け、取り外し。<br>
 ●線材のねじり、曲げ、引っ張り。<br>
 ●栓やビンのフタなどの開閉。<br>  
注意事項<br>
 ●不安定なくわえ方をしないでください。<br>
 ●電流が流れているものには使用しないでください。<br>
 ●ドライバーの先端を握って作業しないでください。<br> 
生産国<br>
 ●日本<br>",ロブテックス（エビ） アンギラススケルトン バイオレット 口開 0～47mm ＜WP250DV＞【16200円以上送料無料 工具 激安 通販 おすすめ 人気 価格 安い 用途 種類 使い方】：三河機工 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーロブテックス（エビ） アンギラススケルトン バイオレット 口開 0～47mm ＜WP250DV＞【16200円以上送料無料 工具 激安 通販 おすすめ 人気 価格 安い 用途 種類 使い方】,俺タワー ニッパー 代用 薄い 釣り。ロブテックス（エビ） アンギラススケルトン バイオレット 口開 0～47mm ＜WP250DV＞【16200円以上送料無料 工具 激安 通販 おすすめ 人気 価格 安い 用途 種類 使い方】[rn]
11-138359,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/02480410/img63989060.jpg?fitin=700:700,4896.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,ロブテックス（エビ） 絶縁被覆付閉端接続子用 ミニ圧着工具 使用 範囲 CE1、2、5 ＜AK25MA＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 工具 おすすめ 人気】,,"特長<br>
 ●軽量＆コンパクト設計で、手にソフトにフィットするポケットサイズです。<br>
 ●成形確認機構内蔵です。<br>
仕様<br>
 ●ミニ圧着工具<br>
 ●全長(mm):194<br>
 ●圧着端子(mm[[の2乗]])裸端子用:-<br>
 ●圧着端子(mm[[の2乗]])接続端子用:-<br>
 ●圧着端子(mm[[の2乗]])絶縁閉端子用:CE1、2、5<br>
 ●質量(g):295<br>
用途<br>
 ●絶縁被覆付閉端子の圧着。<br>
生産国<br>
 ●日本<br>",ロブテックス（エビ） 絶縁被覆付閉端接続子用 ミニ圧着工具 使用 範囲 CE1、2、5 ＜AK25MA＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 工具 おすすめ 人気】：三河機工 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーロブテックス（エビ） 絶縁被覆付閉端接続子用 ミニ圧着工具 使用 範囲 CE1、2、5 ＜AK25MA＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 工具 おすすめ 人気】,コネクタ かしめ工具 手芸 チェーン 革 価格 jis ワイヤー。ロブテックス（エビ） 絶縁被覆付閉端接続子用 ミニ圧着工具 使用 範囲 CE1、2、5 ＜AK25MA＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 工具 おすすめ 人気】[rn]
11-138360,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/02480410/img63989063.jpg?fitin=700:700,5712.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,ロブテックス（エビ） 絶縁被覆付閉端接続子用 圧着工具 使用 範囲 CE1、2、5、8 ＜AK28A＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 工具 おすすめ 人気】,,"特長<br>
 ●ハンドル操作が断然軽いです。<br>
 ●成形確認機構内蔵です。<br>
仕様<br>
 ●全長(mm):270<br>
 ●圧着端子(mm[[の2乗]])裸端子用:-<br>
 ●圧着端子(mm[[の2乗]])接続端子用:-<br>
 ●圧着端子(mm[[の2乗]])絶縁閉端子用:CE1、2、5、8<br>
 ●質量(g):425<br>
用途<br>
 ●絶縁被覆付閉端子の圧着。<br>
生産国<br>
 ●日本<br>",ロブテックス（エビ） 絶縁被覆付閉端接続子用 圧着工具 使用 範囲 CE1、2、5、8 ＜AK28A＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 工具 おすすめ 人気】：三河機工 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーロブテックス（エビ） 絶縁被覆付閉端接続子用 圧着工具 使用 範囲 CE1、2、5、8 ＜AK28A＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 工具 おすすめ 人気】,コネクタ かしめ工具 手芸 チェーン 革 価格 jis ワイヤー。ロブテックス（エビ） 絶縁被覆付閉端接続子用 圧着工具 使用 範囲 CE1、2、5、8 ＜AK28A＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 工具 おすすめ 人気】[rn]
11-138361,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/02480410/img63989085.jpg?fitin=700:700,53744.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,ロブテックス（エビ） 銅線用 手動油圧式圧着工具 使用範囲 14～150 ＜AKH150S＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 工具 おすすめ 人気】,,"特長<br>
 ●1?2回のハンドル操作ですばやく端子を仮押さえし、スピード圧着します。（早送り機構付）<br>
 ●戻りスピードわずか3秒です。<br>
 ●ヘッドは180゜回転可能です。<br>
仕様<br>
 ●JIS C9711適合品<br>
 ●裸端子・スリーブ用<br>
 ●手動油圧式<br>
 ●圧着範囲(mm[[の2乗]]):14、22、38、60、70、80、100、150<br>
 ●出力(kN):98<br>
 ●全長(mm):500<br>
 ●質量(kg):4.3<br>
用途<br>
 ●銅線用裸圧着端子用、銅線用裸圧着スリーブ(P、B)用<br>
付属品<br>
 ●標準ダイス<br>
 ●専用ケース<br>
生産国<br>
 ●日本<br>",ロブテックス（エビ） 銅線用 手動油圧式圧着工具 使用範囲 14～150 ＜AKH150S＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 工具 おすすめ 人気】：三河機工 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーロブテックス（エビ） 銅線用 手動油圧式圧着工具 使用範囲 14～150 ＜AKH150S＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 工具 おすすめ 人気】,コネクタ かしめ工具 手芸 チェーン 革 価格 jis ワイヤー。ロブテックス（エビ） 銅線用 手動油圧式圧着工具 使用範囲 14～150 ＜AKH150S＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 工具 おすすめ 人気】[rn]
11-138362,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/02480410/img63989134.jpg?fitin=700:700,1072.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,ロブテックス（エビ） 電装圧着工具 絶縁圧着端子/イグニッションターミナル用 ＜FK4＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 セール おすすめ 人気】,,"特長<br>
 ●オープンバレル端子・裸圧着端子の圧着、ボルト・電線の切断、電線の被覆むきがこれ1丁でできます。<br>
仕様<br>
 ●グリップ色:赤<br>
 ●全長(mm):235<br>
 ●圧着端子(mm[[の2乗]])絶縁端子用:1.25、2、5.5<br>
 ●圧着端子(mm[[の2乗]])裸端子用:-<br>
 ●圧着端子(mm[[の2乗]])接続端子用:-<br>
 ●質量(g):275<br>
用途<br>
 ●自動車整備、配線などの端子圧着。<br>
 ●オープンバレル端子・裸圧着端子の圧着、ボルト・電線の切断、電線の被覆むき<br>
生産国<br>
 ●日本<br>


<br /><br /><img src=""http://www.rakuten.ne.jp/gold/auc-mikawa-kiko/img/page/reviewbnr_01.jpg"">",ロブテックス（エビ） 電装圧着工具 絶縁圧着端子/イグニッションターミナル用 ＜FK4＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 セール おすすめ 人気】：三河機工 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーロブテックス（エビ） 電装圧着工具 絶縁圧着端子/イグニッションターミナル用 ＜FK4＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 セール おすすめ 人気】,ロブテックス（エビ） 電装圧着工具 絶縁圧着端子/イグニッションターミナル用 ＜FK4＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 セール おすすめ 人気】[rn]
11-138363,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/02480410/img63989082.jpg?fitin=700:700,40176.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,ロブテックス（エビ） 銅線用 手動油圧式圧着工具 使用範囲 14～60 ＜AKH60N＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 工具 おすすめ 人気】,,"特長<br>
 ●全長わずか360mmの軽量・コンパクトタイプです。<br>
 ●補助レバーを使えば、端子の保持は片手でラクにできます。<br>
 ●ヘッドは360°回転可能です。<br>
仕様<br>
 ●JIS C9711適合品<br>
 ●裸端子・スリーブ用<br>
 ●裸端子(R形)・スリーブ(B・P形)用<br>
 ●圧着範囲(mm[[の2乗]]):14、22、38、60<br>
 ●出力(kN):39<br>
 ●全長(mm):360<br>
 ●使用範囲:14、22、38、60mm[[の2乗]]<br>
 ●質量(kg):2<br>
用途<br>
 ●銅線用裸圧着端子用、銅線用裸圧着スリーブ(P、B)用<br>
付属品<br>
 ●標準ダイス<br>
 ●専用ケース<br>
生産国<br>
 ●日本<br>",ロブテックス（エビ） 銅線用 手動油圧式圧着工具 使用範囲 14～60 ＜AKH60N＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 工具 おすすめ 人気】：三河機工 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーロブテックス（エビ） 銅線用 手動油圧式圧着工具 使用範囲 14～60 ＜AKH60N＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 工具 おすすめ 人気】,コネクタ かしめ工具 手芸 チェーン 革 価格 jis ワイヤー。ロブテックス（エビ） 銅線用 手動油圧式圧着工具 使用範囲 14～60 ＜AKH60N＞ 【圧着ペンチ リングスリーブ LANケーブル 16200円以上送料無料 電工ペンチ 1452 細線用 エンジニア 激安 通販 工具 おすすめ 人気】[rn]
