16-27301,,3032.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒須佐製作所/王将 ハンマー【015818】(8184255) 王将 超硬鋼付ブロックハンマー 発注単位1,作業用品\ハンマー・刻印・ポンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ＳＫＨ鋼（ハイス）を刃部に溶接し、耐久性、耐磨耗性、靭性に優れています。<br>
●レンガ、ブロックのハツリ作業に。<br>
●頭径(mm):20×22<br>
●頭長(mm):117<br>
●全長(mm):330<br>
●呼称:21mm<br>
●頭部：炭素鋼<br>
●刃部：ＳＫＨ<br>
●柄：白樫<br>
●頭部や柄部に亀裂又はガタツキがないか、確認してください。<br>
●ご使用時には、必ずヘルメット、安全メガネ手袋を着用してください。<br>
●周囲の安全を確認し用途にあった形状、サイズで正しくご使用下さい。",■〒須佐製作所/王将 ハンマー【015818】(8184255) 王将 超硬鋼付ブロックハンマー 発注単位1：クローバー資材館,■〒須佐製作所/王将 ハンマー【015818】(8184255) 王将 超硬鋼付ブロックハンマー 発注単位1,作業用品\ハンマー・刻印・ポンチ。■〒須佐製作所/王将 ハンマー【015818】(8184255) 王将 超硬鋼付ブロックハンマー 発注単位1[rn]
16-27322,,500.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【PP-08】(4981570) ピンポンチ 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●平行ピン・スプリングピン・テーパーピンの抜き差し作業に最適です。<br>●握りやすくすべりにくい凹凸形状グリップです。<br>●転がりにくい六角形状です。<br><br>●スプリングピンなどの抜き取り作業に。<br><br>●全長(mm)：160<br>●幅(mm)：8<br>●先端径(mm)：8.0<br>●質量(g)：65<br><br><br>●構造用鋼<br>",『カード対応OK！』■〒ＴＯＮＥ【PP-08】(4981570) ピンポンチ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【PP-08】(4981570) ピンポンチ 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ。『カード対応OK！』■〒ＴＯＮＥ【PP-08】(4981570) ピンポンチ 受注単位1[rn]
16-27323,,476.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【PP-4.5】(4981596) ピンポンチ 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●平行ピン・スプリングピン・テーパーピンの抜き差し作業に最適です。<br>●握りやすくすべりにくい凹凸形状グリップです。<br>●転がりにくい六角形状です。<br><br>●スプリングピンなどの抜き取り作業に。<br><br>●全長(mm)：150<br>●幅(mm)：8<br>●先端径(mm)：4.5<br>●質量(g)：46<br><br><br>●構造用鋼<br>",『カード対応OK！』■〒ＴＯＮＥ【PP-4.5】(4981596) ピンポンチ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【PP-4.5】(4981596) ピンポンチ 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ。『カード対応OK！』■〒ＴＯＮＥ【PP-4.5】(4981596) ピンポンチ 受注単位1[rn]
16-27324,,476.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【PP-03】(4981529) ピンポンチ 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●平行ピン・スプリングピン・テーパーピンの抜き差し作業に最適です。<br>●握りやすくすべりにくい凹凸形状グリップです。<br>●転がりにくい六角形状です。<br><br>●スプリングピンなどの抜き取り作業に。<br><br>●全長(mm)：140<br>●幅(mm)：8<br>●先端径(mm)：3.0<br>●質量(g)：42<br><br><br>●構造用鋼<br>",『カード対応OK！』■〒ＴＯＮＥ【PP-03】(4981529) ピンポンチ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【PP-03】(4981529) ピンポンチ 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ。『カード対応OK！』■〒ＴＯＮＥ【PP-03】(4981529) ピンポンチ 受注単位1[rn]
16-27325,,2580.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【750-12】(7646054) ７５０－１２　平行ピンポンチ（八角胴） 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●表面に施されたニッケルクロームメッキにより、握りやすく、耐錆性に優れ、美しい外観となっています。<br><br>●スプリングピンの抜き作業に。<br><br>●全長(mm)：220<br>●幅(mm)：14<br>●先端径(mm)：12.0<br>●質量（ｇ）：230<br><br>●先端硬度：HRC58°<br>●打撃部硬度：HRC45°～48°<br><br>●クロームバナジウム鋼<br>",『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【750-12】(7646054) ７５０&minus;１２　平行ピンポンチ（八角胴） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【750-12】(7646054) ７５０&minus;１２　平行ピンポンチ（八角胴） 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ。『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【750-12】(7646054) ７５０&minus;１２　平行ピンポンチ（八角胴） 受注単位1[rn]
16-27326,,662.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【715-2】(7645937) ７１５－２　平行ピンポンチ（丸胴） 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●表面に施されたニッケルクロームメッキにより、握りやすく、耐錆性に優れ、美しい外観となっています。<br><br>●スプリングピンの抜き作業に。<br><br>●全長(mm)：105<br>●幅(mm)：6<br>●先端径(mm)：2.0<br>●質量（ｇ）：16<br><br>●グリップ：滑り止めローレット加工<br>●先端硬度：HRC58°<br>●打撃部硬度：HRC45°～48°<br><br>●クロームバナジウム鋼<br>",『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【715-2】(7645937) ７１５&minus;２　平行ピンポンチ（丸胴） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【715-2】(7645937) ７１５&minus;２　平行ピンポンチ（丸胴） 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ。『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【715-2】(7645937) ７１５&minus;２　平行ピンポンチ（丸胴） 受注単位1[rn]
16-27327,,2385.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TUP-26.0】(7608900) 標準型ポンチ　２６．０ｍｍ 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●正確な穴あけ加工が可能です。<br><br>●専用の大型ポンチングマシンにセットして橋梁や鉄骨など鉄鋼材の丸穴あけに。<br><br>●表示サイズ(mm)：26.0<br>●質量(g)：410<br><br>●適応ポンチングマシン：タケダ機械 S-305、S-505E、S-505N昭和精工 CL-65、MC-45など<br>●焼入硬度：HRC57<br><br>●炭素鋼（SK-3）<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TUP-26.0】(7608900) 標準型ポンチ　２６．０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TUP-26.0】(7608900) 標準型ポンチ　２６．０ｍｍ 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TUP-26.0】(7608900) 標準型ポンチ　２６．０ｍｍ 受注単位1[rn]
16-27328,,1296.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【710-3】(7645864) ７１０－３　センターポンチ（八角胴） 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●表面に施されたニッケルクロームメッキにより、握りやすく、耐錆性に優れ、美しい外観となっています。<br><br>●センター打ち。<br>●穴あけポンチング。<br><br>●全長(mm)：120<br>●幅(mm)：12<br>●先端径(mm)：4.0<br>●質量（ｇ）：89<br>●タイプ：八角胴<br><br>●先端硬度：HRC58°<br>●打撃部硬度：HRC45°～48°<br><br>●クロームバナジウム鋼<br>",『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【710-3】(7645864) ７１０&minus;３　センターポンチ（八角胴） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【710-3】(7645864) ７１０&minus;３　センターポンチ（八角胴） 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ。『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【710-3】(7645864) ７１０&minus;３　センターポンチ（八角胴） 受注単位1[rn]
16-27329,,752.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【715-3】(7645953) ７１５－３　平行ピンポンチ（丸胴） 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●表面に施されたニッケルクロームメッキにより、握りやすく、耐錆性に優れ、美しい外観となっています。<br><br>●スプリングピンの抜き作業に。<br><br>●全長(mm)：110<br>●幅(mm)：7<br>●先端径(mm)：3.0<br>●質量（ｇ）：23<br><br>●グリップ：滑り止めローレット加工<br>●先端硬度：HRC58°<br>●打撃部硬度：HRC45°～48°<br><br>●クロームバナジウム鋼<br>",『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【715-3】(7645953) ７１５&minus;３　平行ピンポンチ（丸胴） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【715-3】(7645953) ７１５&minus;３　平行ピンポンチ（丸胴） 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ。『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【715-3】(7645953) ７１５&minus;３　平行ピンポンチ（丸胴） 受注単位1[rn]
16-27330,,1278.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BE-8920】(4981154) エルゴトルクスドライバー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●人間工学に基づいた手にやさしいエラストマー付エルゴハンドルです。<br>●全面焼入れ、歯先はブラックポイント仕上げです。<br>●ハンドル両端部に色あせしないカラーコーディングを施しています。<br><br>●トルクスねじの締め緩め。<br><br>●刃先：T20<br>●軸長(mm)：100<br>●全長(mm)：222<br>●質量(g)：50<br><br><br>●スウェーデン特殊鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BE-8920】(4981154) エルゴトルクスドライバー 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BE-8920】(4981154) エルゴトルクスドライバー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブドライバー。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BE-8920】(4981154) エルゴトルクスドライバー 受注単位1[rn]
16-27331,,1904.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＨＡＺＥＴ社/ＨＡＺＥＴ【802-T15H】(7520662) ＨＥＸＡｎａｍｉｃ樹脂ソフトグリップドライバー（いじり止付トルクス） 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●掴む、押す、回す際の手の形状を分析し、手に掛かる圧力を半分以下に抑える構造のＨＥＸＡｎａｍｉｃ（六角をベースにした人間工学デザイン）樹脂グリップドライバーです。<br>●グリップの黒い部分は滑りを押さえ、優しい手触りのソフト樹脂です。<br>●青い強化樹脂がハンドル中央部までブレードをホールドしているので、軸ぶれを防ぎます。<br>●硬質プラスチック製の青いエンドキャップは耐衝撃性に優れています。<br>●高精度な刃先はグレーコーティングが施されており、耐腐食性に優れています。<br><br>●産業機械・自動車・電子機器など。<br><br>●刃先：T15H<br>●軸長(mm)：80<br>●全長(mm)：179<br>●質量(g)：58<br><br><br>●専用特殊鋼<br>",『カード対応OK！』■〒ＨＡＺＥＴ社/ＨＡＺＥＴ【802-T15H】(7520662) ＨＥＸＡｎａｍｉｃ樹脂ソフトグリップドライバー（いじり止付トルクス） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＨＡＺＥＴ社/ＨＡＺＥＴ【802-T15H】(7520662) ＨＥＸＡｎａｍｉｃ樹脂ソフトグリップドライバー（いじり止付トルクス） 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブドライバー。『カード対応OK！』■〒ＨＡＺＥＴ社/ＨＡＺＥＴ【802-T15H】(7520662) ＨＥＸＡｎａｍｉｃ樹脂ソフトグリップドライバー（いじり止付トルクス） 受注単位1[rn]
16-27332,,1256.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BE-8910】(4981138) エルゴトルクスドライバー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●人間工学に基づいた手にやさしいエラストマー付エルゴハンドルです。<br>●全面焼入れ、歯先はブラックポイント仕上げです。<br>●ハンドル両端部に色あせしないカラーコーディングを施しています。<br><br>●トルクスねじの締め緩め。<br><br>●刃先：T10<br>●軸長(mm)：75<br>●全長(mm)：197<br>●質量(g)：34<br><br><br>●スウェーデン特殊鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BE-8910】(4981138) エルゴトルクスドライバー 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BE-8910】(4981138) エルゴトルクスドライバー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブドライバー。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BE-8910】(4981138) エルゴトルクスドライバー 受注単位1[rn]
16-27333,,1996.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＨＡＺＥＴ社/ＨＡＺＥＴ【802-T27H】(7520697) ＨＥＸＡｎａｍｉｃ樹脂ソフトグリップドライバー（いじり止付トルクス） 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●掴む、押す、回す際の手の形状を分析し、手に掛かる圧力を半分以下に抑える構造のＨＥＸＡｎａｍｉｃ（六角をベースにした人間工学デザイン）樹脂グリップドライバーです。<br>●グリップの黒い部分は滑りを押さえ、優しい手触りのソフト樹脂です。<br>●青い強化樹脂がハンドル中央部までブレードをホールドしているので、軸ぶれを防ぎます。<br>●硬質プラスチック製の青いエンドキャップは耐衝撃性に優れています。<br>●高精度な刃先はグレーコーティングが施されており、耐腐食性に優れています。<br><br>●産業機械・自動車・電子機器など。<br><br>●刃先：T27H<br>●軸長(mm)：115<br>●全長(mm)：214<br>●質量(g)：100<br><br><br>●専用特殊鋼<br>",『カード対応OK！』■〒ＨＡＺＥＴ社/ＨＡＺＥＴ【802-T27H】(7520697) ＨＥＸＡｎａｍｉｃ樹脂ソフトグリップドライバー（いじり止付トルクス） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＨＡＺＥＴ社/ＨＡＺＥＴ【802-T27H】(7520697) ＨＥＸＡｎａｍｉｃ樹脂ソフトグリップドライバー（いじり止付トルクス） 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブドライバー。『カード対応OK！』■〒ＨＡＺＥＴ社/ＨＡＺＥＴ【802-T27H】(7520697) ＨＥＸＡｎａｍｉｃ樹脂ソフトグリップドライバー（いじり止付トルクス） 受注単位1[rn]
16-27334,,954.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【362T8】(4922549) トルクスドライバー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●手のひらで滑りにくいソフトフィニッシュ[[（R）]]ハンドル付です。<br>●ブレード先端にビーハ社独自のクロムトップ加工を施しているため、精度を保ち、トルクス[[（R）]]ねじをガッチリとキャッチします。<br>●刃先は焼入です。<br>●クロムメッキ仕上げです。<br>●高度な熱処理技術により、優れた耐久性を誇ります。<br><br>●超硬工具のホルダへのチップ装填。<br>●自動車整備工具としても優れた性能を発揮します。<br><br>●刃先：T8<br>●軸長(mm)：60<br>●全長(mm)：164<br>●質量(g)：34<br><br>●ソフトフィニッシュ[[(R)]]のラバーハンドル<br><br>",『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【362T8】(4922549) トルクスドライバー 受注単位1：クローバー資材館,『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【362T8】(4922549) トルクスドライバー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブドライバー。『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【362T8】(4922549) トルクスドライバー 受注単位1[rn]
16-27335,,1224.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【362T27】(4922506) トルクスドライバー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●手のひらで滑りにくいソフトフィニッシュ[[（R）]]ハンドル付です。<br>●ブレード先端にビーハ社独自のクロムトップ加工を施しているため、精度を保ち、トルクス[[（R）]]ねじをガッチリとキャッチします。<br>●刃先は焼入です。<br>●クロムメッキ仕上げです。<br>●高度な熱処理技術により、優れた耐久性を誇ります。<br><br>●超硬工具のホルダへのチップ装填。<br>●自動車整備工具としても優れた性能を発揮します。<br><br>●刃先：T27<br>●軸長(mm)：115<br>●全長(mm)：233<br>●質量(g)：96<br><br>●ソフトフィニッシュ[[(R)]]のラバーハンドル<br><br>",『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【362T27】(4922506) トルクスドライバー 受注単位1：クローバー資材館,『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【362T27】(4922506) トルクスドライバー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブドライバー。『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【362T27】(4922506) トルクスドライバー 受注単位1[rn]
16-27336,,1191.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【362T25】(4922492) トルクスドライバー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●手のひらで滑りにくいソフトフィニッシュ[[（R）]]ハンドル付です。<br>●ブレード先端にビーハ社独自のクロムトップ加工を施しているため、精度を保ち、トルクス[[（R）]]ねじをガッチリとキャッチします。<br>●刃先は焼入です。<br>●クロムメッキ仕上げです。<br>●高度な熱処理技術により、優れた耐久性を誇ります。<br><br>●超硬工具のホルダへのチップ装填。<br>●自動車整備工具としても優れた性能を発揮します。<br><br>●刃先：T25<br>●軸長(mm)：100<br>●全長(mm)：218<br>●質量(g)：61<br><br>●ソフトフィニッシュ[[(R)]]のラバーハンドル<br><br>",『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【362T25】(4922492) トルクスドライバー 受注単位1：クローバー資材館,『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【362T25】(4922492) トルクスドライバー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブドライバー。『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【362T25】(4922492) トルクスドライバー 受注単位1[rn]
16-27337,,4252.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【205L-10】(7645392) ２０５Ｌ－１０－３４０　六角棒ドライバー　ロング 受注単位1,作業用品\ドライバー・六角棒レンチ\六角棒ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ブレードはニッケルクロームメッキされており、耐錆性と長寿命を可能にしています。<br>●エッジは軽く隅取りしてあり、レンチをたやすくネジ穴に差し込むことができます。<br>●レンチには５桁の生産番号が記されており、この番号で原料段階の製造過程まで遡ることができます。<br>●硬度はＨＲＣ５９と大変高く、しかも強靭に作られているので、耐摩擦性、持久性に優れ、高トルクをかけることができます。（ＩＳＯ、ＤＩＮ規格の最大値でもＨＲＣ５２）<br>●グリップは木やコットンから生まれた自然素材を含むＣＡＢ（セルロース・アセト・ブチレイト）で作られています。<br>●何十年にも渡って支持されている、溝を設けたグリップは握るのに最適な形状で、高いトルクを確実に伝えることができます。<br><br><br>●対辺寸法(mm)：10.00<br>●軸長(mm)：340<br>●全長(mm)：470<br>●質量（ｇ）：370<br><br><br>",『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【205L-10】(7645392) ２０５Ｌ&minus;１０&minus;３４０　六角棒ドライバー　ロング 受注単位1：クローバー資材館,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【205L-10】(7645392) ２０５Ｌ&minus;１０&minus;３４０　六角棒ドライバー　ロング 受注単位1,作業用品\ドライバー・六角棒レンチ\六角棒ドライバー。『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【205L-10】(7645392) ２０５Ｌ&minus;１０&minus;３４０　六角棒ドライバー　ロング 受注単位1[rn]
16-27338,,1945.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【205-7】(7645368) ２０５－７－１７０　六角棒ドライバー 受注単位1,作業用品\ドライバー・六角棒レンチ\六角棒ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ブレードはニッケルクロームメッキされており、耐錆性と長寿命を可能にしています。<br>●エッジは軽く隅取りしてあり、レンチをたやすくネジ穴に差し込むことができます。<br>●レンチには５桁の生産番号が記されており、この番号で原料段階の製造過程まで遡ることができます。<br>●硬度はＨＲＣ５９と大変高く、しかも強靭に作られているので、耐摩擦性、持久性に優れ、高トルクをかけることができます。（ＩＳＯ、ＤＩＮ規格の最大値でもＨＲＣ５２）<br>●グリップは木やコットンから生まれた自然素材を含むＣＡＢ（セルロース・アセト・ブチレイト）で作られています。<br>●何十年にも渡って支持されている、溝を設けたグリップは握るのに最適な形状で、高いトルクを確実に伝えることができます。<br><br><br>●対辺寸法(mm)：7.00<br>●軸長(mm)：170<br>●全長(mm)：280<br><br><br>",『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【205-7】(7645368) ２０５&minus;７&minus;１７０　六角棒ドライバー 受注単位1：クローバー資材館,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【205-7】(7645368) ２０５&minus;７&minus;１７０　六角棒ドライバー 受注単位1,作業用品\ドライバー・六角棒レンチ\六角棒ドライバー。『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【205-7】(7645368) ２０５&minus;７&minus;１７０　六角棒ドライバー 受注単位1[rn]
16-27339,,1128.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【205L-3】(7645422) ２０５Ｌ－３－１６０　六角棒ドライバー　ロング 受注単位1,作業用品\ドライバー・六角棒レンチ\六角棒ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ブレードはニッケルクロームメッキされており、耐錆性と長寿命を可能にしています。<br>●エッジは軽く隅取りしてあり、レンチをたやすくネジ穴に差し込むことができます。<br>●レンチには５桁の生産番号が記されており、この番号で原料段階の製造過程まで遡ることができます。<br>●硬度はＨＲＣ５９と大変高く、しかも強靭に作られているので、耐摩擦性、持久性に優れ、高トルクをかけることができます。（ＩＳＯ、ＤＩＮ規格の最大値でもＨＲＣ５２）<br>●グリップは木やコットンから生まれた自然素材を含むＣＡＢ（セルロース・アセト・ブチレイト）で作られています。<br>●何十年にも渡って支持されている、溝を設けたグリップは握るのに最適な形状で、高いトルクを確実に伝えることができます。<br><br><br>●対辺寸法(mm)：3.00<br>●軸長(mm)：160<br>●全長(mm)：255<br>●質量（ｇ）：39<br><br><br>",『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【205L-3】(7645422) ２０５Ｌ&minus;３&minus;１６０　六角棒ドライバー　ロング 受注単位1：クローバー資材館,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【205L-3】(7645422) ２０５Ｌ&minus;３&minus;１６０　六角棒ドライバー　ロング 受注単位1,作業用品\ドライバー・六角棒レンチ\六角棒ドライバー。『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【205L-3】(7645422) ２０５Ｌ&minus;３&minus;１６０　六角棒ドライバー　ロング 受注単位1[rn]
