16-95901,http://tshop.r10s.jp/dtc/cabinet/20170207n30/4902430710060.jpg?fitin=700:700,358.4000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,P＆Gアリエール リビングドライジェルボール 本体 18個 (ｱﾘｴﾙｼﾞｴﾙBSﾘﾋﾞﾝｸ),,「アリエールジェルボールS」誕生！製品大幅アップグレードで、なんと3つの効果を1粒で実感！1）デュアルバイオ抗菌処方で「50倍抗菌」を実現！2）汚れ落ちを阻む金属イオンを除去する「キレート剤」を増やし「100種の汚れを、一発洗浄！」3）しかも衣類の「ダメージケア」を実現！,P＆Gアリエール リビングドライジェルボール 本体 18個 (ｱﾘｴﾙｼﾞｴﾙBSﾘﾋﾞﾝｸ)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneP＆Gアリエール リビングドライジェルボール 本体 18個 (ｱﾘｴﾙｼﾞｴﾙBSﾘﾋﾞﾝｸ),P＆Gアリエール リビングドライジェルボール 本体 18個 (ｱﾘｴﾙｼﾞｴﾙBSﾘﾋﾞﾝｸ)[rn]
16-95912,http://tshop.r10s.jp/dtc/cabinet/20170207n30/4901301321862.jpg?fitin=700:700,206.4000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,花王エマール アロマティックブーケの香り つめかえ用 400ml (ｴﾏｰﾙｱﾛﾏﾌﾞｰｹﾂﾒｶｴ),,繊維を保護してすっきり洗う、繊維ケア処方。大切な衣類のダメージを防ぎます。<br>ニットはふわっと、シャツはシャキッと。カットソー・デニム・タイツ・ストッキング・下着にも。<br>毛羽立ち／型崩れ（ヨレ・縮み）／色あせを防ぎます。<br>洗たく機のドライコース＊でも、ニオイ・汚れをすっきり落とします。<br>●蛍光剤無配合の中性洗剤です<br>●柔軟剤・酸素系漂白剤も、いつも通りお使いいただけます<br>●すすぎは2回をおすすめします<br>●アロマティックブーケの香り（香り長続きタイプ）<br>＊ドライ・手洗い・おうちクリーニング・ソフトコース等があります。洗たく機によって名称が異なります。<br><br>【おしゃれ着用洗剤】,花王エマール アロマティックブーケの香り つめかえ用 400ml (ｴﾏｰﾙｱﾛﾏﾌﾞｰｹﾂﾒｶｴ)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhone花王エマール アロマティックブーケの香り つめかえ用 400ml (ｴﾏｰﾙｱﾛﾏﾌﾞｰｹﾂﾒｶｴ),花王エマール アロマティックブーケの香り つめかえ用 400ml (ｴﾏｰﾙｱﾛﾏﾌﾞｰｹﾂﾒｶｴ)[rn]
16-95913,http://tshop.r10s.jp/dtc/cabinet/20170207n30/4903301215783.jpg?fitin=700:700,201.6000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,LION【香りつづくトップ】アロマプラス 華やかなピンクローズの香り つめかえ用 320g〔衣類洗剤〕 (ｶｵﾘﾂﾂﾞｸAPｶｴ),,エッセンシャルオイルを使用した華やかで上品な、贅沢な香りで、日常をエレガントに彩る柔軟剤入り超コンパクト洗剤。プレシャス・ピンクは華やかなピンクローズの香り。ライラック、ジャスミンをアクセントに、高級感溢れるピンクローズをふんだんに集めた、華やかで上品な香りです。高い消臭デオドラント効果でイヤなニオイもすっきり。柔軟成分配合で、衣類をふんわりと心地よい仕上がりに。すすぎ１回のお洗たくもＯＫ。,LION【香りつづくトップ】アロマプラス 華やかなピンクローズの香り つめかえ用 320g〔衣類洗剤〕 (ｶｵﾘﾂﾂﾞｸAPｶｴ)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneLION【香りつづくトップ】アロマプラス 華やかなピンクローズの香り つめかえ用 320g〔衣類洗剤〕 (ｶｵﾘﾂﾂﾞｸAPｶｴ),LION【香りつづくトップ】アロマプラス 華やかなピンクローズの香り つめかえ用 320g〔衣類洗剤〕 (ｶｵﾘﾂﾂﾞｸAPｶｴ)[rn]
16-95914,http://tshop.r10s.jp/dtc/cabinet/20170207n30/4902430675765.jpg?fitin=700:700,358.4000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,P&G【Bold（ボールド）】 香りのサプリインジェル プラチナフローラル&サボンの香り 本体 850g〔衣類洗剤〕 (ﾎﾞｰﾙﾄﾞｼﾞｪﾙﾋﾟﾝｸ),,新香調「プラチナフローラル」。既存のフレッシュ系の香りに加え、より甘いフローラル系の品揃え！もちろん「天気で香りが変わる」テクノロジーも採用しています！,P&amp;G【Bold（ボールド）】 香りのサプリインジェル プラチナフローラル&amp;サボンの香り 本体 850g〔衣類洗剤〕 (ﾎﾞｰﾙﾄﾞｼﾞｪﾙﾋﾟﾝｸ)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneP&amp;G【Bold（ボールド）】 香りのサプリインジェル プラチナフローラル&amp;サボンの香り 本体 850g〔衣類洗剤〕 (ﾎﾞｰﾙﾄﾞｼﾞｪﾙﾋﾟﾝｸ),P&amp;G【Bold（ボールド）】 香りのサプリインジェル プラチナフローラル&amp;サボンの香り 本体 850g〔衣類洗剤〕 (ﾎﾞｰﾙﾄﾞｼﾞｪﾙﾋﾟﾝｸ)[rn]
16-95915,http://tshop.r10s.jp/dtc/cabinet/20170207n30/4902430710046.jpg?fitin=700:700,358.4000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,P＆Gアリエール パワージェルボール 本体 18個 (ｱﾘｴﾙｼﾞｴﾙﾎﾞﾙSﾎﾝﾀ),,「アリエールジェルボールS」誕生！製品大幅アップグレードで、なんと3つの効果を1粒で実感！1）デュアルバイオ抗菌処方で「50倍抗菌」を実現！2）汚れ落ちを阻む金属イオンを除去する「キレート剤」を増やし「100種の汚れを、一発洗浄！」3）しかも衣類の「ダメージケア」を実現！,P＆Gアリエール パワージェルボール 本体 18個 (ｱﾘｴﾙｼﾞｴﾙﾎﾞﾙSﾎﾝﾀ)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneP＆Gアリエール パワージェルボール 本体 18個 (ｱﾘｴﾙｼﾞｴﾙﾎﾞﾙSﾎﾝﾀ),P＆Gアリエール パワージェルボール 本体 18個 (ｱﾘｴﾙｼﾞｴﾙﾎﾞﾙSﾎﾝﾀ)[rn]
16-95916,http://tshop.r10s.jp/dtc/cabinet/20170207n30/4901616808188.jpg?fitin=700:700,265.6000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,サンスタードライアップ つめかえ用(250mｌ) (ﾄﾞﾗｲｱｯﾌﾟｶｴ250ML),,ドライマーク衣料をたったの３分のつけ込み洗いで、縮みや型崩れの心配なく、手軽に家庭で洗うことができます。柔軟剤配合で仕上がりもよく、抗菌成分配合で嫌なニオイも抑えます。,サンスタードライアップ つめかえ用(250mｌ) (ﾄﾞﾗｲｱｯﾌﾟｶｴ250ML)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneサンスタードライアップ つめかえ用(250mｌ) (ﾄﾞﾗｲｱｯﾌﾟｶｴ250ML),サンスタードライアップ つめかえ用(250mｌ) (ﾄﾞﾗｲｱｯﾌﾟｶｴ250ML)[rn]
16-95917,http://tshop.r10s.jp/dtc/cabinet/20160601a/4901301293244.jpg?fitin=700:700,261.6000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,花王【アタック】 消臭ストロングジェル つめかえ用 810g (ｱﾀｯｸSｽﾄｼﾞｪﾙｶｴ),,独自配合した「尿臭ブロッカー」と尿臭消臭香料が尿臭に高い効果を発揮。,花王【アタック】 消臭ストロングジェル つめかえ用 810g (ｱﾀｯｸSｽﾄｼﾞｪﾙｶｴ)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhone花王【アタック】 消臭ストロングジェル つめかえ用 810g (ｱﾀｯｸSｽﾄｼﾞｪﾙｶｴ),花王【アタック】 消臭ストロングジェル つめかえ用 810g (ｱﾀｯｸSｽﾄｼﾞｪﾙｶｴ)[rn]
16-95918,http://tshop.r10s.jp/dtc/cabinet/20170207n30/4903301169345.jpg?fitin=700:700,83.2000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,LION部屋干しトップワンパック 25g×5 (ﾍﾔﾎﾞｼﾄｯﾌﾟﾜﾝﾊﾟｯｸ),,いつものお洗濯で汚れ・菌・ウイルスまで落とし、部屋干し時の生乾きのイヤなニオイを防ぐ粉末洗剤<br><br>「ダブル除菌成分」「酵素」「除臭成分（活性ジンクイオン）」の働きで、「汚れ・菌・ウイルス」まで落とし、衛生的に洗い上げるます。<br><br>爽やかなシトラスフルーティの香り<br><br>旅行やコインランドリーなどに最適なワンパックタイプ,LION部屋干しトップワンパック 25g&times;5 (ﾍﾔﾎﾞｼﾄｯﾌﾟﾜﾝﾊﾟｯｸ)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneLION部屋干しトップワンパック 25g&times;5 (ﾍﾔﾎﾞｼﾄｯﾌﾟﾜﾝﾊﾟｯｸ),LION部屋干しトップワンパック 25g&times;5 (ﾍﾔﾎﾞｼﾄｯﾌﾟﾜﾝﾊﾟｯｸ)[rn]
16-95919,http://tshop.r10s.jp/dtc/cabinet/20170414n4/4904112828155.jpg?fitin=700:700,132.0000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,日本合成洗剤ホワイトバイオジェル 詰替 (ﾎﾜｲﾄﾊﾞｲｵｼﾞｪﾙﾂﾒｶ),,浸透性に優れた液体洗剤ですので、冷たい水にもサッと溶け、ガンコな汚れや泥んこ汚れもパワフルに洗浄します。泡立ちを抑えすすぎも簡単。ドラム式洗濯機でも使用できます。さわやかなフローラルの香りが広がります。,日本合成洗剤ホワイトバイオジェル 詰替 (ﾎﾜｲﾄﾊﾞｲｵｼﾞｪﾙﾂﾒｶ)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhone日本合成洗剤ホワイトバイオジェル 詰替 (ﾎﾜｲﾄﾊﾞｲｵｼﾞｪﾙﾂﾒｶ),日本合成洗剤ホワイトバイオジェル 詰替 (ﾎﾜｲﾄﾊﾞｲｵｼﾞｪﾙﾂﾒｶ)[rn]
16-95920,http://tshop.r10s.jp/dtc/cabinet/20170207n30/4903301215912.jpg?fitin=700:700,230.4000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,LION【香りつづくトップ】アロマプラス 優雅なイエローフラワーの香り 400g〔衣類洗剤〕 (ｶｵﾘﾂﾂﾞｸAPYELLOW),,エッセンシャルオイルを使用した華やかで上品な、贅沢な香りで、日常をエレガントに彩る柔軟剤入り超コンパクト洗剤。エレガント・イエローは、優雅なイエローフラワーの香り。ローズ、フリージア、ミモザなどをふんだんに集めた、明るく柔らかく、優雅で上品なイエローフラワーの香りです。高い消臭デオドラント効果でイヤなニオイもすっきり。柔軟成分配合で、衣類をふんわりと心地よい仕上がりに。すすぎ１回のお洗たくもＯＫ。,LION【香りつづくトップ】アロマプラス 優雅なイエローフラワーの香り 400g〔衣類洗剤〕 (ｶｵﾘﾂﾂﾞｸAPYELLOW)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneLION【香りつづくトップ】アロマプラス 優雅なイエローフラワーの香り 400g〔衣類洗剤〕 (ｶｵﾘﾂﾂﾞｸAPYELLOW),LION【香りつづくトップ】アロマプラス 優雅なイエローフラワーの香り 400g〔衣類洗剤〕 (ｶｵﾘﾂﾂﾞｸAPYELLOW)[rn]
16-95921,http://tshop.r10s.jp/soukai/cabinet/94/4903301224594.jpg?fitin=700:700,249.6000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,ブライトW 詰替 大型(900mL)【ブライト】,ブライト★税抜1900円以上で送料無料★,お店TOP＞掃除・洗濯＞漂白剤・ブリーチ剤＞漂白剤・ブリーチ剤(つめかえ用)＞ブライトW 詰替 大型 (900mL)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z94/z4903301224594.jpg' width='100%'><br><br>【ブライトW 詰替 大型の商品詳細】<br>●色柄物に安心な酸素系漂白剤<br>●新洗浄基材配合で洗浄力・漂白力・消臭力を強化。付いた汚れをしっかり落し、次の汚れを落ちやすくするクリア漂白で、日々の汚れを残さずクリアに洗い上げるので、汗や皮脂汚れがシミ・黄ばみ・黒ずみになるのを防ぎ、衣類の白さが長続き<br>●除菌・消臭効果はもちろん抗菌・防臭効果も高いのでニオイ残りも防ぐ<br>●詰め替え用大型サイズ<br><br>【使用方法】<br>※必ずご使用前に表示をお読みください。<br>★使えるもの・・・水洗いできる白物、色物、柄物のせんい製品(木綿、麻、化学せんい、毛、絹)<br>毛・絹は中性洗剤(アクロンなど)と一緒に使う(水温は30度以下)<br>★洗濯機漂白<br>用途(汚れの種類)・・・黄ばみ・黒ずみの漂白・予防、衣類の消臭・抗菌※全ての菌に対し効果を有するわけではありません。<br>使い方・・・洗剤と一緒に、洗濯機に入れて洗う(洗剤投入口使用可能)<br>使用量の目安・・・水30Lに20mL(キャップ1／2杯) 水60Lに40mL(キャップ1杯)、ドラム式の場合：衣類4kgに20mL(キャップ1／2杯)<br>★塗布漂白<br>用途(汚れの種類)・・・シミ(食べこぼし・調味料・血液※2など)や、えり・そで口の汚れの漂白※血液汚れは最初に水洗いする<br>使い方・・・汚れに直接原液をつけ、放置せず、すぐに洗剤で洗う<br>使用量の目安・・・汚れ部分に充分しみこむ程度<br>★つけおき漂白<br>用途(汚れの種類)・・・全体的に汚れがひどいとき・衣類の除菌※全ての菌を除菌するわけではありません。<br>使い方・・・洗剤と一緒に30分～2時間つけおきし、水ですすぐか、洗濯する ※ステンレス以外の金属製の容器では使わないこと<br>使用量の目安・・・水1Lに10mL(キャップ1／4杯)、洗剤は料理用小さじ1杯程度約5g<br>※塗布漂白、つけおき漂白が効果的。汚れがひどいときは塗布した後、つけおきすると、より効果的。冷水より温水の方が早く効果がでる<br>★使えないもの・・・「水洗いはできない」マークのあるもの、含金属染料で染めたもの、金属製のファスナー・ボタン・ホックなどがついたもの、せんい自体が変色して黄ばんだものは漂白剤でも元に戻らない<br>★変色するもの・・・試し方：目立たない所に原液をつけ、すぐ洗剤を溶かした液をつける。5分程度で変色するもの、白布でたたいて色が移るものは使えない<br><br>【成分】<br>過酸化水素(酸素系)、界面活性剤(ポリオキシエチレンアルキルエーテル)<br>【注意事項】<br>・用途外に使わない<br>・乳幼児の手の届く所に置かない<br>・認知症の方などの誤飲を防ぐため、置き場所に注意する<br>・他の容器に移さない<br>・熱湯では使わない<br>・漂白するとき、密閉容器は使わない。破裂することがある<br>・塩素系漂白剤と混合しない<br>・せんいが黄ばむことがあるので、漂白中は直射日光の当たる場所を避け、漂白後は充分にすすぐ<br>・洗濯機のフタなどのプラスチック部分に液がついたときは、水ですぐにふきとる。放置すると傷むことがある<br>・直射日光を避け、夏場の車内など高温になる所に置かない<br><br>【応急処置説明】<br>・目に入ったときは、すぐに流水で15分以上洗い流す<br>・飲み込んだときは、吐かずに口をすすぎ、すぐに牛乳か水を飲ませる<br>・皮ふについたときは、水で洗い流す (原液が皮ふにつくと白くなることがあるが、しばらくすると元に戻る)<br>・異常があるときは商品を持参し、医師に相談する<br><br>【ブランド】<br>ブライト<br><br>【発売元、製造元、輸入元又は販売元】<br>ライオン(株)<br><br><font color='red'>本品はメーカー製造中止のため、在庫限りで販売終了となります。</font><br><br><font color='red'>歯とお口、カラダのケアに使用する製品（ハミガキ、ハブラシ、ハンドソープなど）： 0120-556-913<br>衣類、住まいのケア、調理に使用する製品（洗剤、柔軟仕上げ剤、台所用洗剤、クッキングペーパーなど）：0120-556-973<br>メディカルケア（バファリン、ストッパ、スマイル、ライオデント、グロモントなど）：0120-813-752<br>害虫の退治（バルサン）：0120-592-803</font><br><br>(ブライトダブル 詰換え用 詰替え用 詰め換え用 詰め替え用 詰替用 詰換用 つめかえ用)<br><br>/(/F319201/F304801/F322501/F322704/)/<br><br>ライオン(株)<br>130-8645 東京都墨田区本所1-3-7 ※問い合わせ番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[漂白剤・ブリーチ剤/ブランド：ブライト/],ブライトW 詰替 大型(900mL)【ブライト】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションブライトW 詰替 大型(900mL)【ブライト】,ブライト★税抜1900円以上で送料無料★。ブライトW 詰替 大型(900mL)【ブライト】[rn]
16-95922,http://tshop.r10s.jp/soukai/cabinet/00/4902135142500.jpg?fitin=700:700,196.0000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,ファーファ 液体洗剤 香りひきたつ無香料 詰替(0.9kg)【ファーファ】,ファーファ★税抜1900円以上で送料無料★,お店TOP＞掃除・洗濯＞洗濯洗剤＞つめかえ用洗濯洗剤(液体)＞ファーファ 液体洗剤 香りひきたつ無香料 詰替 (0.9kg)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z00/z4902135142500.jpg' width='100%'><br><br>【ファーファ 液体洗剤 香りひきたつ無香料 詰替の商品詳細】<br>●柔軟剤の香りが引き立つ無香料の衣料用洗剤<br>●蛍光剤、漂白剤無添加<br>●抗菌防臭成分配合<br>●ドラム式にもおすすめ！<br>●詰め替え用<br><br>【使用方法】<br>・洗濯物の量4.0kg、水量45Lに対して38gを目安にご使用ください。<br><br>【成分】<br>界面活性剤(13％ ポリオキシアルキレンアルキルアミン、ポリオキシエチレンアルキルエーテル)<br>【規格概要】<br>液性・・・中性<br>【注意事項】<br>・子供の手の届くところに置かない。<br>・用途以外に使用しない。<br>・荒れ性の方や長時間使用する場合、または原液で使用する場合は炊事用手袋をする。<br>・使用後は手を水でよく洗いクリームなどでお手入れをする。<br>・洗濯機のフタなどのプラスチック部分に洗剤がついたまま放置すると傷むことがあるので水ですぐにふき取る。<br>・高温や低温、及び直射日光などを避けて保管する(色味が変色したり、浮遊物を生じることがありますが、製品性能上は問題はありません)。<br><br>【応急処置説明】<br>・万一飲み込んだ場合は、はかずに口をすすぎ、水を飲むなどの処置をする。<br>・目に入った場合はこすらず、ただちに流水で15分以上洗い流す。<br>・いずれの場合も処置をした上で専門医に相談する。<br><br>【ブランド】<br>ファーファ<br><br>【発売元、製造元、輸入元又は販売元】<br>NSファーファ・ジャパン<br><br>【用途】<br>・綿・麻・合成繊維用<br><br>(FaFa 香り引き立つ無香料 詰め替え用 詰替え用 詰替用 つめかえ用)<br><br>/(/F260203/)/<br><br>NSファーファ・ジャパン<br>130-0024 東京都墨田区菊川3-21-8<br>03-5669-1230<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[洗濯洗剤/ブランド：ファーファ/],ファーファ 液体洗剤 香りひきたつ無香料 詰替(0.9kg)【ファーファ】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションファーファ 液体洗剤 香りひきたつ無香料 詰替(0.9kg)【ファーファ】,ファーファ★税抜1900円以上で送料無料★。ファーファ 液体洗剤 香りひきたつ無香料 詰替(0.9kg)【ファーファ】[rn]
16-95923,http://tshop.r10s.jp/soukai/cabinet/84/4562287811084.jpg?fitin=700:700,1356.8000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,きえーる バイオ消臭液 微笑(1L)【きえーる】,きえーる★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞掃除・洗濯＞洗濯洗剤＞洗濯洗剤 その他＞きえーる バイオ消臭液 微笑 (1L)<br><br>★税抜1900円以上で送料無料★<br><br>【きえーる バイオ消臭液 微笑の商品詳細】<br>●洗剤と一緒に入れるだけ<br>●部屋干しのイヤなニオイもスッキリ<br>●洗濯槽のカビを防ぎます。<br><br><br>【使用目安】<br>・水量55L(ドラム式5.0kg)に対し30cc(ニオイがひどい場合は30分程度付け置きするか、10cc程度おおめに投入してください。)<br><br>【成分】<br>バイオエキス(酵素)、乳酸菌、酵母菌<br><br>【ブランド】<br>きえーる<br><br>【発売元、製造元、輸入元又は販売元】<br>環境ダイゼン<br><br>(きえ～る ほほえみ)<br><br>環境ダイゼン<br>099-2103 北海道北見市端野町三区438-7<br>0157-67-6788<br><br>広告文責：株式会社爽快ドラッグ<br><br>[洗濯洗剤/ブランド：きえーる/],きえーる バイオ消臭液 微笑(1L)【きえーる】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションきえーる バイオ消臭液 微笑(1L)【きえーる】,きえーる★税抜1900円以上で送料無料★。きえーる バイオ消臭液 微笑(1L)【きえーる】[rn]
16-95924,http://tshop.r10s.jp/soukai/cabinet/11/4537130100011.jpg?fitin=700:700,570.4000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,ミヨシ石鹸 そよ風(2.16kg)【そよ風】[そよ風 2.16kg ミヨシ],そよ風 / そよ風 2.16kg ミヨシ★税抜1900円以上で送料無料★,お店TOP＞掃除・洗濯＞洗濯洗剤＞洗濯洗剤(粉末)＞ミヨシ石鹸 そよ風 (2.16kg)<br><br>★税抜1900円以上で送料無料★<br><br>【ミヨシ石鹸 そよ風の商品詳細】<br>●純度の高い植物油を主原料に、洗浄力を高める助剤を配合した、溶けやすいスタンダードな洗たく用純せっけん<br><br>【注意】<br>ドラム式の洗濯機をお使いの際は、投入口に入れず、洗たく槽に入れてください。投入口から出る少量の水で溶かすと、 詰まることがあります。<br><br>【ブランド】<br>そよ風<br><br>【発売元、製造元、輸入元又は販売元】<br>ミヨシ石鹸<br><br>(2160g)<br><br>/(/F227402/F241702/)/<br><br>ミヨシ石鹸<br>130-0021 東京都墨田区緑3-8-12<br>03-3633-6961<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[洗濯洗剤/ブランド：そよ風/],ミヨシ石鹸 そよ風(2.16kg)【そよ風】[そよ風 2.16kg ミヨシ]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションミヨシ石鹸 そよ風(2.16kg)【そよ風】[そよ風 2.16kg ミヨシ],そよ風 / そよ風 2.16kg ミヨシ★税抜1900円以上で送料無料★。ミヨシ石鹸 そよ風(2.16kg)【そよ風】[そよ風 2.16kg ミヨシ][rn]
