16-26301,,412.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4”プラスビットＥ63型 発注単位1,作業用品\ドライバービット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●1/4インチ（6.35mm）のE6.3型プラスビットです。<br>
●あらゆる産業のねじ締め<br>
●刃先:[[(+)]]3<br>
●全長(mm):50<br>
●塗装色:クローム<br>
●差込角(mm):6.35<br>
●シャンク径:6.35mm<br>
●DIN3126、ISO1173、E6.3型<br>
●クロムバナジウム鋼<br>
●全身焼き入れ",■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4&rdquo;プラスビットＥ63型 発注単位1：クローバー資材館,■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4&rdquo;プラスビットＥ63型 発注単位1,作業用品\ドライバービット。■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4&rdquo;プラスビットＥ63型 発注単位1[rn]
16-26333,,504.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ARTS-2130】(4858981) 龍靭ビット　スリムタイプ　２本組　両頭　＋２×１３０ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ねじ頭が見えやすい先端スリムタイプです。<br><br>●木材・アルミ・Ｃチャン・鉄板へのネジの締め付け作業に<br><br>●刃先：[[(+)]]2<br>●全長(mm)：130<br>●質量(g)：60<br><br>●シャンク径：6.35mm<br>●先端径：4.6mm<br>●対辺6.35mm六角軸<br>●刃先：マグネット入り<br><br>●クロムモリブデンバナジウム鋼<br>●アセテート樹脂<br>",『カード対応OK！』■〒兼古製作所/アネックス【ARTS-2130】(4858981) 龍靭ビット　スリムタイプ　２本組　両頭　＋２&times;１３０ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ARTS-2130】(4858981) 龍靭ビット　スリムタイプ　２本組　両頭　＋２&times;１３０ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒兼古製作所/アネックス【ARTS-2130】(4858981) 龍靭ビット　スリムタイプ　２本組　両頭　＋２&times;１３０ 受注単位1[rn]
16-26334,,305.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル【SST142065】(4940547) サキスボトーションビットＳＳＴ　２本組（両頭）＋２×６５ｍｍ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●くびれ部のクッション効果で電動インパクトの衝撃を吸収し、ビットが跳ねる事がなく、スムーズに打ち込めます。<br>●トーション効果により耐久性もUPします。<br>●大工さんへ向けた建築木工用ビットです。<br><br>●ダクト、サイディングなどでのドリルネジ作業。<br>●根太打ち、コンパネ取り付け、2X4などのロングビス、プラグレスビスもOK。<br>●各種リフォーム向けのロングサイズも用意。<br><br>●刃先：[[(+)]]2<br>●全長(mm)：65<br>●質量(g)：20<br><br>●シャンク径：6.35mm<br>●18Vインパクト対応 <br>●マグネット入り <br>●両頭ビット<br><br>●工業用特殊合金鋼<br>",『カード対応OK！』■〒ベッセル【SST142065】(4940547) サキスボトーションビットＳＳＴ　２本組（両頭）＋２&times;６５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセル【SST142065】(4940547) サキスボトーションビットＳＳＴ　２本組（両頭）＋２&times;６５ｍｍ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒ベッセル【SST142065】(4940547) サキスボトーションビットＳＳＴ　２本組（両頭）＋２&times;６５ｍｍ 受注単位1[rn]
16-26335,,1836.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ARH-14M-2-110】(7536674) ハイパー龍靭ビット１０本組　両頭＋２×１１０ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐久性抜群で長寿命です。<br>●トーション部で衝撃吸収します。<br>●先端欠けに強く、カムアウトを抑制します。<br><br><br>●刃先：[[(+)]]2<br>●全長(mm)：110<br>●質量(g)：220<br><br>●シャンク径：6.35mm<br><br>●クロム・モリブデン・バナジウム鋼<br>●アセテート樹脂<br>",『カード対応OK！』■〒兼古製作所/アネックス【ARH-14M-2-110】(7536674) ハイパー龍靭ビット１０本組　両頭＋２&times;１１０ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ARH-14M-2-110】(7536674) ハイパー龍靭ビット１０本組　両頭＋２&times;１１０ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒兼古製作所/アネックス【ARH-14M-2-110】(7536674) ハイパー龍靭ビット１０本組　両頭＋２&times;１１０ 受注単位1[rn]
16-26336,,889.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル【SST5P2110】(7545266) サキスボトーションビットＳＳＴ　５本組（両頭）＋２×１１０ｍｍ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●くびれ部のクッション効果で電動インパクトの衝撃を吸収し、ビットが跳ねる事がなく、スムーズに打ち込めます。<br>●トーション効果により耐久性もUPします。<br>●大工さんへ向けた建築木工用ビットです。<br><br>●ダクト、サイディングなどでのドリルネジ作業。<br>●根太打ち、コンパネ取り付け、2X4などのロングビス、プラグレスビスもOK。<br>●各種リフォーム向けのロングサイズも用意。<br><br>●刃先：[[(+)]]2<br>●全長(mm)：110<br>●質量(g)：110<br><br>●シャンク径：6.35mm<br>●18Vインパクト対応 <br>●マグネット入り <br>●両頭ビット<br><br>●工業用特殊合金鋼<br>",『カード対応OK！』■〒ベッセル【SST5P2110】(7545266) サキスボトーションビットＳＳＴ　５本組（両頭）＋２&times;１１０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセル【SST5P2110】(7545266) サキスボトーションビットＳＳＴ　５本組（両頭）＋２&times;１１０ｍｍ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒ベッセル【SST5P2110】(7545266) サキスボトーションビットＳＳＴ　５本組（両頭）＋２&times;１１０ｍｍ 受注単位1[rn]
16-26337,,644.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル【SST142200】(7545231) サキスボトーションビットＳＳＴ　２本組（両頭）＋２×２００ｍｍ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●くびれ部のクッション効果で電動インパクトの衝撃を吸収し、ビットが跳ねる事がなく、スムーズに打ち込めます。<br>●トーション効果により耐久性もUPします。<br>●大工さんへ向けた建築木工用ビットです。<br><br>●ダクト、サイディングなどでのドリルネジ作業。<br>●根太打ち、コンパネ取り付け、2X4などのロングビス、プラグレスビスもOK。<br>●各種リフォーム向けのロングサイズも用意。<br><br>●刃先：[[(+)]]2<br>●全長(mm)：200<br>●質量(g)：90<br><br>●シャンク径：6.35mm<br>●18Vインパクト対応 <br>●マグネット入り <br>●両頭ビット<br><br>●工業用特殊合金鋼<br>",『カード対応OK！』■〒ベッセル【SST142200】(7545231) サキスボトーションビットＳＳＴ　２本組（両頭）＋２&times;２００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセル【SST142200】(7545231) サキスボトーションビットＳＳＴ　２本組（両頭）＋２&times;２００ｍｍ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒ベッセル【SST142200】(7545231) サキスボトーションビットＳＳＴ　２本組（両頭）＋２&times;２００ｍｍ 受注単位1[rn]
16-26338,,500.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ARS-2100】(4859006) 龍靭ビット　四角タイプ　２本組　片頭■＃２×１００ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●アンビルに噛み込まない片頭ビットです。<br><br>●２×４建築・合板床・ALCボード・筋かい金具などで使用される四角穴ビスに<br><br>●刃先：SQ2<br>●全長(mm)：100<br>●塗装色：黄<br><br>●シャンク径：6.35mm<br>●刃先：マグネット入り<br><br>●クロムモリブデンバナジウム鋼<br>●アセテート樹脂<br>",『カード対応OK！』■〒兼古製作所/アネックス【ARS-2100】(4859006) 龍靭ビット　四角タイプ　２本組　片頭■＃２&times;１００ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ARS-2100】(4859006) 龍靭ビット　四角タイプ　２本組　片頭■＃２&times;１００ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒兼古製作所/アネックス【ARS-2100】(4859006) 龍靭ビット　四角タイプ　２本組　片頭■＃２&times;１００ 受注単位1[rn]
16-26339,,305.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル【SST141065】(7545215) サキスボトーションビットＳＳＴ　２本組（両頭）＋１×６５ｍｍ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●くびれ部のクッション効果で電動インパクトの衝撃を吸収し、ビットが跳ねる事がなく、スムーズに打ち込めます。<br>●トーション効果により耐久性もUPします。<br>●大工さんへ向けた建築木工用ビットです。<br><br>●ダクト、サイディングなどでのドリルネジ作業。<br>●根太打ち、コンパネ取り付け、2X4などのロングビス、プラグレスビスもOK。<br>●各種リフォーム向けのロングサイズも用意。<br><br>●刃先：[[(+)]]1<br>●全長(mm)：65<br>●質量(g)：18<br><br>●シャンク径：6.35mm<br>●18Vインパクト対応 <br>●マグネット入り <br>●両頭ビット<br><br>●工業用特殊合金鋼<br>",『カード対応OK！』■〒ベッセル【SST141065】(7545215) サキスボトーションビットＳＳＴ　２本組（両頭）＋１&times;６５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセル【SST141065】(7545215) サキスボトーションビットＳＳＴ　２本組（両頭）＋１&times;６５ｍｍ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒ベッセル【SST141065】(7545215) サキスボトーションビットＳＳＴ　２本組（両頭）＋１&times;６５ｍｍ 受注単位1[rn]
16-26340,,1197.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ARTS5-2130】(4858999) 龍靭ビット　スリムタイプ　５本組　両頭　＋２×１３０ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ねじ頭が見えやすい先端スリムタイプです。<br><br>●木材・アルミ・Ｃチャン・鉄板へのネジの締め付け作業に<br><br>●刃先：[[(+)]]2<br>●全長(mm)：130<br>●質量(g)：145<br><br>●シャンク径：6.35mm<br>●先端径：4.6mm<br>●対辺6.35mm六角軸<br>●刃先：マグネット入り<br><br>●クロム・モリブデン・バナジウム鋼<br>●アセテート樹脂<br>",『カード対応OK！』■〒兼古製作所/アネックス【ARTS5-2130】(4858999) 龍靭ビット　スリムタイプ　５本組　両頭　＋２&times;１３０ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ARTS5-2130】(4858999) 龍靭ビット　スリムタイプ　５本組　両頭　＋２&times;１３０ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒兼古製作所/アネックス【ARTS5-2130】(4858999) 龍靭ビット　スリムタイプ　５本組　両頭　＋２&times;１３０ 受注単位1[rn]
16-26341,,432.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ARS-3082】(4709951) 龍靭ビット　四角タイプ　２本組　片頭■＃３×８２ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●アンビルに噛み込まない片頭ビットです。<br><br>●２×４建築・合板床・ALCボード・筋かい金具などで使用される四角穴ビスに<br><br>●刃先：SQ3<br>●全長(mm)：82<br>●塗装色：緑<br><br>●シャンク径：6.35mm<br>●刃先：マグネット入り<br><br>●クロムモリブデンバナジウム鋼<br>●アセテート樹脂<br>",『カード対応OK！』■〒兼古製作所/アネックス【ARS-3082】(4709951) 龍靭ビット　四角タイプ　２本組　片頭■＃３&times;８２ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ARS-3082】(4709951) 龍靭ビット　四角タイプ　２本組　片頭■＃３&times;８２ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒兼古製作所/アネックス【ARS-3082】(4709951) 龍靭ビット　四角タイプ　２本組　片頭■＃３&times;８２ 受注単位1[rn]
16-26342,,474.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒山下工業研究所/コーケン 作業工具【3010M.38-5】(7774303) コーケン ヘックスビットソケット 発注単位1,作業用品\ソケットレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●6角穴付ボルト用のヘックスビットソケットです。<br>
●ラチェットハンドルを始めとする各種ハンドル類と組み合わせることにより、L型レンチでは不可能な作業が可能となります。<br>
●対辺寸法(mm):5<br>
●全長(mm):38<br>
●差込角(mm):9.5<br>
●クロムモリブデン鋼(SCM435)",■〒山下工業研究所/コーケン 作業工具【3010M.38-5】(7774303) コーケン ヘックスビットソケット 発注単位1：クローバー資材館,■〒山下工業研究所/コーケン 作業工具【3010M.38-5】(7774303) コーケン ヘックスビットソケット 発注単位1,作業用品\ソケットレンチ。■〒山下工業研究所/コーケン 作業工具【3010M.38-5】(7774303) コーケン ヘックスビットソケット 発注単位1[rn]
16-26343,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002863725.jpg?fitin=700:700,16163.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ　片口スパナ２７【AMC0140】(2805154) 受注単位1,作業用品\作業工具\防爆工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ボルト・ナットの締め付け、取り外しに使用するスパナです。<br>●石油化学工場、精油所、ペイント工場、船舶・航空整備工場など火花を嫌う場所で使用します。<br>●米国認定機関FMRC認定取得しています。",『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ　片口スパナ２７【AMC0140】(2805154) 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ　片口スパナ２７【AMC0140】(2805154) 受注単位1,作業用品\作業工具\防爆工具。『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ　片口スパナ２７【AMC0140】(2805154) 受注単位1[rn]
16-26344,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004382491.jpg?fitin=700:700,1350.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒長堀工業/ナック　ビットホルダー　差込角１２．７ｘ６．３５凹　ゴム【DC-4R】(3758958) 受注単位1,作業用品\作業工具\ソケットビット（電動用）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●インパクト用のビットホルダです。<br>●差込角が四角トツのツールに取付けるだけで、電動ドライバーとして使用出来ます。<br>●ゴムタイプ : ゴムでビットを保持します。",『カード対応OK！』■〒長堀工業/ナック　ビットホルダー　差込角１２．７ｘ６．３５凹　ゴム【DC-4R】(3758958) 受注単位1：クローバー資材館,『カード対応OK！』■〒長堀工業/ナック　ビットホルダー　差込角１２．７ｘ６．３５凹　ゴム【DC-4R】(3758958) 受注単位1,作業用品\作業工具\ソケットビット（電動用）。『カード対応OK！』■〒長堀工業/ナック　ビットホルダー　差込角１２．７ｘ６．３５凹　ゴム【DC-4R】(3758958) 受注単位1[rn]
16-26345,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003764138.jpg?fitin=700:700,1327.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒前田金属工業/ＴＯＮＥ　ソケット（６角）　３３ｍｍ【4S-33】(3696995) 受注単位：1,作業用品\作業工具\ソケットレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●スタンダードタイプの対辺6角形状です。<br>●差し込み後、トルクをかけてもナメにくくなっています。<br>●軽作業から重工業整備まで必要なツールを取りそろえています。",『カード対応OK！』■〒前田金属工業/ＴＯＮＥ　ソケット（６角）　３３ｍｍ【4S-33】(3696995) 受注単位：1：クローバー資材館,『カード対応OK！』■〒前田金属工業/ＴＯＮＥ　ソケット（６角）　３３ｍｍ【4S-33】(3696995) 受注単位：1,作業用品\作業工具\ソケットレンチ。『カード対応OK！』■〒前田金属工業/ＴＯＮＥ　ソケット（６角）　３３ｍｍ【4S-33】(3696995) 受注単位：1[rn]
16-26346,,1840.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ホーザン/ＨＯＺＡＮ ペンチ【K-24】(8107606) ＨＯＺＡＮ ミニバイス 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●デスクドリルなどでの穴開け加工時の保持用バイスです。<br>
●K-21の場合、付属の平行ガイドと組み合わせると穴あけの位置取りがやり易くなります。<br>
●K-21デスクドリルでの位置取りやK-50X-Yテーブルと組み合わせての位置決め。<br>
●全長(mm):50<br>
●幅(mm):35<br>
●高さ(mm):105<br>
●口幅(mm):50<br>
●口深さ(mm):12<br>
●締付力(kN):-<br>
●口開(mm):33<br>
●ROHS対応品<br>
●本体：アルミ",■〒ホーザン/ＨＯＺＡＮ ペンチ【K-24】(8107606) ＨＯＺＡＮ ミニバイス 発注単位1：クローバー資材館,■〒ホーザン/ＨＯＺＡＮ ペンチ【K-24】(8107606) ＨＯＺＡＮ ミニバイス 発注単位1,作業用品\クランプ・バイス。■〒ホーザン/ＨＯＺＡＮ ペンチ【K-24】(8107606) ＨＯＺＡＮ ミニバイス 発注単位1[rn]
16-26347,,57.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ クランプ         【KCPPP】(8191270) ＴＲＵＳＣＯ クランプ フラットフレームタイプ用パッド 木ハンドル 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ポリプロピレン(ＰＰ)",■〒トラスコ中山/ＴＲＵＳＣＯ クランプ         【KCPPP】(8191270) ＴＲＵＳＣＯ クランプ フラットフレームタイプ用パッド 木ハンドル 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ クランプ         【KCPPP】(8191270) ＴＲＵＳＣＯ クランプ フラットフレームタイプ用パッド 木ハンドル 発注単位1,作業用品\クランプ・バイス。■〒トラスコ中山/ＴＲＵＳＣＯ クランプ         【KCPPP】(8191270) ＴＲＵＳＣＯ クランプ フラットフレームタイプ用パッド 木ハンドル 発注単位1[rn]
16-26348,,1353.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒育良精機/育良 パンチャー【ISK-40P0-2S】(7929617) 育良 下方押え型トグルクランプ ステンレスタイプ垂直ハンドル(31317) 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●溶接治具、組立治具、検査治具、加工治具に最適です。<br>
●ステンレスモデルです。<br>
●フランジベースタイプです。<br>
●全長(mm):87<br>
●締付力(kN):1.0<br>
●付属ボルト径:M6×50（SUS）<br>
●クランプアーム移動角度(°):95<br>
●ハンドル操作角度(°):65<br>
●ステンレス<br>
●2Sはステンレスタイプです。",■〒育良精機/育良 パンチャー【ISK-40P0-2S】(7929617) 育良 下方押え型トグルクランプ ステンレスタイプ垂直ハンドル(31317) 発注単位1：クローバー資材館,■〒育良精機/育良 パンチャー【ISK-40P0-2S】(7929617) 育良 下方押え型トグルクランプ ステンレスタイプ垂直ハンドル(31317) 発注単位1,作業用品\クランプ・バイス。■〒育良精機/育良 パンチャー【ISK-40P0-2S】(7929617) 育良 下方押え型トグルクランプ ステンレスタイプ垂直ハンドル(31317) 発注単位1[rn]
16-26349,,512.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒育良精機/育良 パンチャー【ISK-HV2500】(7930020) 育良 下方押え型トグルクランプ 垂直ハンドル(31302) 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●溶接治具、組立治具、検査治具、加工治具に最適です。<br>
●フランジベースタイプです。<br>
●全長(mm):110<br>
●締付力(kN):0.91<br>
●付属ボルト径:M6×40<br>
●クランプアーム移動角度(°):100<br>
●ハンドル操作角度(°):60<br>
●スチール<br>
●ねじ先端ゴム:ニトリルゴム<br>
●2Sはステンレスタイプです。",■〒育良精機/育良 パンチャー【ISK-HV2500】(7930020) 育良 下方押え型トグルクランプ 垂直ハンドル(31302) 発注単位1：クローバー資材館,■〒育良精機/育良 パンチャー【ISK-HV2500】(7930020) 育良 下方押え型トグルクランプ 垂直ハンドル(31302) 発注単位1,作業用品\クランプ・バイス。■〒育良精機/育良 パンチャー【ISK-HV2500】(7930020) 育良 下方押え型トグルクランプ 垂直ハンドル(31302) 発注単位1[rn]
16-26350,,1825.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ プライヤ【TGPC-285】(8188069) ＴＲＵＳＣＯ Ｃ型グリッププライヤー 285mm 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●フトコロが深く、アングル越しの溶接位置決め、作業に適しています。<br>
●板金、溶接作業に。<br>
●全長(mm):285<br>
●口開き(mm)角材最大:※<br>
●口開き(mm)パイプ最大:※<br>
●最大締圧力(kN):5.9<br>
●最大口開き(mm):75<br>
●アゴ深さA(mm):65<br>
●アゴ深さB(mm):96<br>
●ナット付",■〒トラスコ中山/ＴＲＵＳＣＯ プライヤ【TGPC-285】(8188069) ＴＲＵＳＣＯ Ｃ型グリッププライヤー 285mm 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ プライヤ【TGPC-285】(8188069) ＴＲＵＳＣＯ Ｃ型グリッププライヤー 285mm 発注単位1,作業用品\クランプ・バイス。■〒トラスコ中山/ＴＲＵＳＣＯ プライヤ【TGPC-285】(8188069) ＴＲＵＳＣＯ Ｃ型グリッププライヤー 285mm 発注単位1[rn]
16-26351,,875.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒育良精機/育良 パンチャー【ISK-HV6500】(7930089) 育良 下方押え型トグルクランプ 垂直ハンドル(31308) 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●溶接治具、組立治具、検査治具、加工治具に最適です。<br>
●フランジベースタイプです。<br>
●全長(mm):210<br>
●締付力(kN):3.4<br>
●付属ボルト径:M10×60<br>
●クランプアーム移動角度(°):105<br>
●ハンドル操作角度(°):58<br>
●スチール<br>
●ねじ先端ゴム:ニトリルゴム<br>
●2Sはステンレスタイプです。",■〒育良精機/育良 パンチャー【ISK-HV6500】(7930089) 育良 下方押え型トグルクランプ 垂直ハンドル(31308) 発注単位1：クローバー資材館,■〒育良精機/育良 パンチャー【ISK-HV6500】(7930089) 育良 下方押え型トグルクランプ 垂直ハンドル(31308) 発注単位1,作業用品\クランプ・バイス。■〒育良精機/育良 パンチャー【ISK-HV6500】(7930089) 育良 下方押え型トグルクランプ 垂直ハンドル(31308) 発注単位1[rn]
16-26352,,916.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒育良精機/育良 パンチャー【ISK-38BL0】(7929455) 育良 下方押え型トグルクランプ 水平ハンドル(31205) 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●溶接治具、組立治具、検査治具、加工治具に最適です。<br>
●フランジベースタイプです。<br>
●全長(mm):264<br>
●締付力(kN):2.8<br>
●付属ボルト径:M8×65<br>
●クランプアーム移動角度(°):80<br>
●ハンドル操作角度(°):80<br>
●スチール<br>
●2Sはステンレスタイプです。",■〒育良精機/育良 パンチャー【ISK-38BL0】(7929455) 育良 下方押え型トグルクランプ 水平ハンドル(31205) 発注単位1：クローバー資材館,■〒育良精機/育良 パンチャー【ISK-38BL0】(7929455) 育良 下方押え型トグルクランプ 水平ハンドル(31205) 発注単位1,作業用品\クランプ・バイス。■〒育良精機/育良 パンチャー【ISK-38BL0】(7929455) 育良 下方押え型トグルクランプ 水平ハンドル(31205) 発注単位1[rn]
16-26353,,1557.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒育良精機/育良 パンチャー【ISK-38D0】(7929510) 育良 下方押え型トグルクランプ 水平ハンドル(31209) 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●溶接治具、組立治具、検査治具、加工治具に最適です。<br>
●ストレートベースタイプです。<br>
●全長(mm):260<br>
●締付力(kN):5.0<br>
●付属ボルト径:M10×65<br>
●クランプアーム移動角度(°):65<br>
●ハンドル操作角度(°):85<br>
●スチール<br>
●2Sはステンレスタイプです。",■〒育良精機/育良 パンチャー【ISK-38D0】(7929510) 育良 下方押え型トグルクランプ 水平ハンドル(31209) 発注単位1：クローバー資材館,■〒育良精機/育良 パンチャー【ISK-38D0】(7929510) 育良 下方押え型トグルクランプ 水平ハンドル(31209) 発注単位1,作業用品\クランプ・バイス。■〒育良精機/育良 パンチャー【ISK-38D0】(7929510) 育良 下方押え型トグルクランプ 水平ハンドル(31209) 発注単位1[rn]
