16-132501,http://tshop.r10s.jp/ky-kanariya/cabinet/01092516/imgrc0070131103.jpg?fitin=700:700,352.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダルマ毛糸　メリノスタイル極太,,"<font color=""#2f4f4f"" size=""3"">
手編み糸に最適なクリンプの多いミクロンタイプの特別にセレクトされたメリノウールを使用。<br></font>
<BR>
<FONT color=""#000066"">[素材]</FONT>
<FONT color=""#660033"">　　　：ウール(メリノ)100%<BR></FONT>
<BR>
<FONT color=""#000066"">[重さ・長さ]</FONT>
<FONT color=""#660033"">：40g　約65m</FONT><BR>
<FONT color=""#000066"">[使用針]</FONT>
<FONT color=""#660033"">　　：棒針　9～11号<BR>
　　　　　　　かぎ針　8/0～9/0号</FONT><BR>
<FONT color=""#000066"">[標準ゲージ]</FONT>
<FONT color=""#660033"">：　</FONT><BR>
<FONT color=""#000066"">[使用糸量]</FONT>
<FONT color=""#660033"">　：婦人プルオーバー　10玉<BR>
　　　　　　　紳士プルオーバー　12～13玉</FONT><BR>
<BR>
<FONT color=""#ff0000"">ご注意</FONT>
<FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と<BR>
異なることがございます。また注文が集中した場合など、<BR>
発送が遅れたり、店頭販売と在庫が重複しているため在庫<BR>
切れで販売できなくなる場合がございます。
</FONT>
<br>クロネコＤＭ便　不可<br><br>",ダルマ毛糸　メリノスタイル極太：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダルマ毛糸　メリノスタイル極太,ダルマ毛糸　メリノスタイル極太[rn]
16-132573,http://tshop.r10s.jp/te-ami/cabinet/61rk21.jpg?fitin=700:700,358.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,te-ami♪ハマナカ【ソノモノ毛糸】ソノモノ　アルパカウール・極太・毛糸・手編み・かぎ針・棒針あみにおすすめ☆　10P09Jan16,,,te-ami♪ハマナカ【ソノモノ毛糸】ソノモノ　アルパカウール・極太・毛糸・手編み・かぎ針・棒針あみにおすすめ☆　10P09Jan16：ほのぼの手-ami,te-ami♪ハマナカ【ソノモノ毛糸】ソノモノ　アルパカウール・極太・毛糸・手編み・かぎ針・棒針あみにおすすめ☆　10P09Jan16,te-ami♪ハマナカ【ソノモノ毛糸】ソノモノ　アルパカウール・極太・毛糸・手編み・かぎ針・棒針あみにおすすめ☆　10P09Jan16[rn]
16-132574,http://tshop.r10s.jp/te-ami/cabinet/6drk21.jpg?fitin=700:700,524.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,te-ami♪ハマナカ【純毛毛糸】《フーガ》　ウール100％使用・極太毛糸・手編み・カギ針・棒針あみにおすすめ☆10P09Jan16,,,te-ami♪ハマナカ【純毛毛糸】《フーガ》　ウール100％使用・極太毛糸・手編み・カギ針・棒針あみにおすすめ☆10P09Jan16：ほのぼの手-ami,te-ami♪ハマナカ【純毛毛糸】《フーガ》　ウール100％使用・極太毛糸・手編み・カギ針・棒針あみにおすすめ☆10P09Jan16,te-ami♪ハマナカ【純毛毛糸】《フーガ》　ウール100％使用・極太毛糸・手編み・カギ針・棒針あみにおすすめ☆10P09Jan16[rn]
16-132575,http://tshop.r10s.jp/te-ami/cabinet/6hrk21.jpg?fitin=700:700,403.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,te-ami♪ハマナカ【アルパカ毛糸】《アランツィード》アルパカウール使用・極太毛糸・手編み・カギ針・棒針あみにおすすめ☆　10P09Jan16,,,te-ami♪ハマナカ【アルパカ毛糸】《アランツィード》アルパカウール使用・極太毛糸・手編み・カギ針・棒針あみにおすすめ☆　10P09Jan16：ほのぼの手-ami,te-ami♪ハマナカ【アルパカ毛糸】《アランツィード》アルパカウール使用・極太毛糸・手編み・カギ針・棒針あみにおすすめ☆　10P09Jan16,te-ami♪ハマナカ【アルパカ毛糸】《アランツィード》アルパカウール使用・極太毛糸・手編み・カギ針・棒針あみにおすすめ☆　10P09Jan16[rn]
16-132576,http://tshop.r10s.jp/te-ami/cabinet/03262100/img60938156.jpg?fitin=700:700,358.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,te-ami♪ハマナカ【ソノモノ毛糸】ソノモノ　アルパカウール　並太・毛糸・手編み・かぎ針・棒針あみにおすすめ☆10P09Jan16,,,te-ami♪ハマナカ【ソノモノ毛糸】ソノモノ　アルパカウール　並太・毛糸・手編み・かぎ針・棒針あみにおすすめ☆10P09Jan16：ほのぼの手-ami,te-ami♪ハマナカ【ソノモノ毛糸】ソノモノ　アルパカウール　並太・毛糸・手編み・かぎ針・棒針あみにおすすめ☆10P09Jan16,te-ami♪ハマナカ【ソノモノ毛糸】ソノモノ　アルパカウール　並太・毛糸・手編み・かぎ針・棒針あみにおすすめ☆10P09Jan16[rn]
16-132577,http://tshop.r10s.jp/te-ami/cabinet/03262100/img60938024.jpg?fitin=700:700,416.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,te-ami♪ハマナカ【ソノモノ毛糸】ソノモノ　ループ・超極太・毛糸・手編み・かぎ針・棒針あみにおすすめ☆10P09Jan16,,,te-ami♪ハマナカ【ソノモノ毛糸】ソノモノ　ループ・超極太・毛糸・手編み・かぎ針・棒針あみにおすすめ☆10P09Jan16：ほのぼの手-ami,te-ami♪ハマナカ【ソノモノ毛糸】ソノモノ　ループ・超極太・毛糸・手編み・かぎ針・棒針あみにおすすめ☆10P09Jan16,te-ami♪ハマナカ【ソノモノ毛糸】ソノモノ　ループ・超極太・毛糸・手編み・かぎ針・棒針あみにおすすめ☆10P09Jan16[rn]
16-132578,http://tshop.r10s.jp/te-ami/cabinet/03262100/img60937735.jpg?fitin=700:700,358.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,te-ami♪ハマナカ【ソノモノ毛糸】ソノモノ　合太・毛糸・手編み・かぎ針・棒針あみにおすすめ☆10P09Jan16,,,te-ami♪ハマナカ【ソノモノ毛糸】ソノモノ　合太・毛糸・手編み・かぎ針・棒針あみにおすすめ☆10P09Jan16：ほのぼの手-ami,te-ami♪ハマナカ【ソノモノ毛糸】ソノモノ　合太・毛糸・手編み・かぎ針・棒針あみにおすすめ☆10P09Jan16,te-ami♪ハマナカ【ソノモノ毛糸】ソノモノ　合太・毛糸・手編み・かぎ針・棒針あみにおすすめ☆10P09Jan16[rn]
16-132579,http://tshop.r10s.jp/keito-zakka/cabinet/01362455/05241553/imgrc0068668828.jpg?fitin=700:700,504.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,＼ウルトラスプリング／NEWコットンベビー【5玉パック】【綿100%/30g玉巻(約100m)/中細】FZ119/ZAKKA,ニューコットンベビー,"<b><font color=""#FF0000""> ※)注意　かならずお読みくださいませ<br>ロットにより濃淡が多少ございます。<br>ＣＯＬ．０４ 旧ロットとの濃淡の差が強くでております。ご了承の上、お買い求めくださいませ。                   
お買い求めの際は、まとめてご購入をオススメいたします。<br>           
 <br>           
 <br>       
 <img border=""0"" src=""https://image.rakuten.co.jp/keito-zakka/cabinet/01377788/02223555/imgrc0065114221.jpg"" width=""100%""><br>       
 <br>       
   【お得な１袋＝５玉入り】      
 <br>      
   <br>      
             
               
 </font></b>                
                 
                 
<table border=""0"" width=""100%"">     
  <tr> 
    <td width=""100%"" colspan=""3"" bgcolor=""#454545"">　<font color=""#FFFFFF""><b>作品サンプル</b></font></td> 
  </tr> 
  <tr> 
    <td width=""33%""><img src=""http://thumbnail.image.rakuten.co.jp/@0_mall/keito-zakka/cabinet/01377788/02223555/imgrc0067330936.jpg"" width=""100%"" border=""0""></td>
    <td width=""33%""><img src=""http://thumbnail.image.rakuten.co.jp/@0_mall/keito-zakka/cabinet/01377788/02223555/imgrc0066102015.jpg"" width=""100%"" border=""0""></td>
    <td width=""34%""><img src=""http://thumbnail.image.rakuten.co.jp/@0_mall/keito-zakka/cabinet/01377788/02223555/imgrc0065157596.jpg"" width=""100%"" border=""0""></td>
  </tr>
  <tr>    
    <td width=""33.4%""><img border=""0"" src=""https://image.rakuten.co.jp/keito-zakka/cabinet/01377788/02223555/imgrc0065965803.jpg"" width=""100%""></td>    
 
    <td width=""33.4%""><img src=""https://image.rakuten.co.jp/keito-zakka/cabinet/04407833/imgrc0066008167.jpg""  width=""100%"" border=""0"" /></td>    
    <td width=""33.4%""><img src=""https://image.rakuten.co.jp/keito-zakka/cabinet/04407833/imgrc0066008169.jpg"" border=""0"" width=""100%""></td>    
  </tr>    
</table>    
               
               
 <hr> <font color=""#800000""> 糸の形状・使用量</font>                                 
                                                                     
              <hr><b><font color=""#000000"">素材 </font></b>コットン 100%<hr>                      
<font color=""#000000"">                     
<b>                     
                        太さ&nbsp; </b>中細</font><hr>                      
                                              
<font color=""#000000""><b>                      
                                              
                        形状</b> 約30ｇ玉巻（約100ｍ）</font><hr><font color=""#800000"">使用針の目安</font><hr>                      
棒針4-6号<br>                        
                        <br>  カギ針3/0号                              
                        ～ 5/0号<hr>標準ゲージ26目28段<font size=""2""><hr></font>※編み手によってゲージは異なります。<br>                                           
                        &nbsp; ゲージと合わない場合は、針の号数を変えて編んでください。<br>  <br>  <br>                        
                                           
標準使用量&nbsp;                
                                            
                       
                                  <table cellSpacing=""1"" cellPadding=""2"" width=""100%"" bgColor=""#c0c0c0"" border=""0"">             
                                      <tr>             
                                        <td align=""center"" bgColor=""#fffdf4"" height=""32"">　　使用量</td>
                                        <td align=""center"" bgColor=""#fffdf4"" height=""32"">半袖セーター</td>
                                        <td align=""center"" bgColor=""#fffdf4"" height=""32"">ベスト</td>
                                      </tr>
                                      <tr>
                                        <td align=""center"" bgColor=""#fffdf4"" height=""32"">　　メンズ</td>
                                        <td align=""center"" bgColor=""#ffffff"">１２玉～</td>
                                        <td align=""center"" bgColor=""#ffffff"">１０玉～</td>
                                      </tr>
                                      <tr>
                                        <td align=""center"" bgColor=""#fffdf4"" height=""32"">　レディス</td>
                                        <td align=""center"" bgColor=""#ffffff"">９玉～</td>
                                        <td align=""center"" bgColor=""#ffffff"">７玉～</td>
                                      </tr>
                                      <tr>
                                        <td align=""center"" bgColor=""#fffdf4"" height=""32"">　　キッズ</td>
                                        <td align=""center"" bgColor=""#ffffff"">６玉～</td>
                                        <td align=""center"" bgColor=""#ffffff"">５玉～</td>
                                      </tr>
                                  </table><p><br> 
<br>
   
     
       
<img border=""0"" src=""https://image.rakuten.co.jp/keito-zakka/cabinet/01377788/02223555/imgrc0065114426.jpg"" width=""100%""><br>
<br>
<img border=""0"" src=""https://image.rakuten.co.jp/keito-zakka/cabinet/01377788/02223555/imgrc0065114427.jpg"" width=""100%"">   
     
       
<br>
<br>
<br>
<br>
         
</p>  <p><img border=""0"" src=""https://image.rakuten.co.jp/keito-zakka/cabinet/03358976/imgrc0067158947.jpg"" width=""100%""></p>",＼ウルトラスプリング／NEWコットンベビー【5玉パック】【綿100%/30g玉巻(約100m)/中細】FZ119/ZAKKA：毛糸ＺＡＫＫＡストアーズ,＼ウルトラスプリング／NEWコットンベビー【5玉パック】【綿100%/30g玉巻(約100m)/中細】FZ119/ZAKKA,ニューコットンベビー 。＼ウルトラスプリング／NEWコットンベビー【5玉パック】【綿100%/30g玉巻(約100m)/中細】FZ119/ZAKKA[rn]
16-132580,http://tshop.r10s.jp/auc-koitoya/cabinet/products/r17/r171/r171-28.jpg?fitin=700:700,480.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【バンブー】　★新作★　全8色　＜柳茶＞,ご奉仕価格のバンブー（竹）♪,"バンブー（竹）１００％です。<br>
お色は落ち着いた黄緑色です。<br>
まれなバンブー糸です。<br>
<br>
裂き織等織糸の経糸に最適です。<br>
緯糸、ニットにもお使いいただけます。<br>
<br>
太さは;100ｇ約580ｍです。<br>
合細タイプです。<br>
【純毛合太のような糸のふくらみはありません】<br>
直径1ｍｍ弱です。<br>
使いやすい太さです。<br>
バンブーの清涼感をお楽しみください。<br>
<br>
100g600円のご奉仕価格です。<br>
追加可能です。<br>
同梱可能です。<br>
発送方法;定形外郵便又は宅配便。<br>
【100g】600円<br>
<br>
※コーン巻の画像は100gの分量ではありませんので、お間違えのないようご注意くださいませ。<br>
<br>
<br>
☆他の色もあります☆<br>
黒色<br>
藍色<br>
わさび<br>
柳茶<br>
茶色<br>
赤色<br>
青ネズ<br>
白色",【バンブー】　★新作★　全8色　＜柳茶＞：編み糸・織り糸の「小糸屋」,【バンブー】　★新作★　全8色　＜柳茶＞,ご奉仕価格のバンブー（竹）♪。【バンブー】　★新作★　全8色　＜柳茶＞[rn]
16-132581,http://tshop.r10s.jp/stylistgoto/cabinet/sya/flaxc-m.jpg?fitin=700:700,249.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ハマナカ【Flax C】リネンコットンタイプの手編み糸少し細めの糸はかぎ針編みにおススメ。クロッシェタイプ。Hamanaka手編み糸　毛糸　フラックスC,,"●選択肢にない色は廃色です。<br>
<br>
ナチュラルな風合いがたっぷりの糸です。<BR>
細めのクロッシェタイプの糸は小さな小物やかぎ針編みにおススメです。<BR>
<BR>
★メーカー<br>
ハマナカ(Hamanaka)<br>
<br>
★素材<br>
リネン麻 82％ コットン(綿) 18%<BR> 
<BR>
★重さ(仕立)<BR>
25g玉巻き (長さ約104m)<br>
<br>
★おススメ針<br>
かぎ針3/0号<br>
<br>
★ゲージ<br>
28目 11段(長編み)<br>
<br>
<br><br>
このお品物は、店舗共有在庫となります。
ご注文頂くタイミングによっては在庫切れのため欠品となる場合もございます。
ご了承のうえご注文下さいます様お願い申し上げます。在庫切れの場合でも*通常は2~3日遅れでお届けすることができますが大幅に遅れる場合はメールにてご連絡差し上げます。<br>
●品切れの色は予約販売となります。ご了承願います。<br>
ご予約順に入荷次第発送いたします。(お時間がかかる場合がございます)<br>
(他の色や他の商品をご購入の場合、全てがそろってからの発送になります)",ハマナカ【Flax C】リネンコットンタイプの手編み糸少し細めの糸はかぎ針編みにおススメ。クロッシェタイプ。Hamanaka手編み糸　毛糸　フラックスC：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプハマナカ【Flax C】リネンコットンタイプの手編み糸少し細めの糸はかぎ針編みにおススメ。クロッシェタイプ。Hamanaka手編み糸　毛糸　フラックスC,ハマナカ【Flax C】リネンコットンタイプの手編み糸少し細めの糸はかぎ針編みにおススメ。クロッシェタイプ。Hamanaka手編み糸　毛糸　フラックスC[rn]
16-132582,http://tshop.r10s.jp/stylistgoto/cabinet/ikou_20100616_002/img10444973626.jpg?fitin=700:700,403.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ハマナカ《SONOMONO》シリーズソノモノ《超極太》全５色,,"★品質<br>
ウール100％<br>
<br>
★標準状態重量<br>
40グラム（糸長 約40メートル）<br>
<BR>
★参考使用針<br>
棒針 　15号～8mm<br>
<BR>
★標準ゲージ(棒針の場合）<br>
横11～12目<br>
縦14～15段<BR>
<BR>
★タイプ<BR>
超極太ストレートタイプ<BR>
<BR>
☆遠方の倉庫より取り寄せるためお届けまでのお時間を少々いただく場合がございます。<BR>
ご了承願います。",ハマナカ《SONOMONO》シリーズソノモノ《超極太》全５色：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプハマナカ《SONOMONO》シリーズソノモノ《超極太》全５色,ハマナカ《SONOMONO》シリーズソノモノ《超極太》全５色[rn]
16-132583,http://tshop.r10s.jp/stylistgoto/cabinet/01785552/ft-t1.jpg?fitin=700:700,80.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ま～るいかわいいお花が簡単に作れる【Frill Tape】フリルテープ　2mカット,,"●こちらの商品は在庫限りとなります。<br>
<br>
お好みのフリルテープ3本(1m×3本）で直径約6cmのまるくてかわいいお花が作れます。リングゴムに付ければキュートなヘアゴムが完成♪<br>
また、ゴムを直接通せばシュシュも作れちゃう。<br>
<br>
★入り数　2m×１本<br>
<br>",ま～るいかわいいお花が簡単に作れる【Frill Tape】フリルテープ　2mカット：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプま～るいかわいいお花が簡単に作れる【Frill Tape】フリルテープ　2mカット,ま～るいかわいいお花が簡単に作れる【Frill Tape】フリルテープ　2mカット[rn]
16-132584,http://tshop.r10s.jp/stylistgoto/cabinet/ikou_20100616_002/img10444973742.jpg?fitin=700:700,403.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ハマナカ《SONOMONO》シリーズソノモノ《アルパカウール》全９色,,"★品質<br>
ウール 60％<br>
アルパカ 40%<BR> 
<br>
★標準状態重量<br>
40グラム（糸長 約60メートル）<br>
<BR>
★参考使用針<br>
棒針 　10号～12号<br>
<BR>
★標準ゲージ(棒針の場合）<br>
横15～16目<br>
縦20～21段<BR>
<BR>
★タイプ<BR>
極太タイプ<BR>
<BR>
☆遠方の倉庫より取り寄せるためお届けまでのお時間を少々いただく場合がございます。<BR>
ご了承願います。",ハマナカ《SONOMONO》シリーズソノモノ《アルパカウール》全９色：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプハマナカ《SONOMONO》シリーズソノモノ《アルパカウール》全９色,ハマナカ《SONOMONO》シリーズソノモノ《アルパカウール》全９色[rn]
16-132585,http://tshop.r10s.jp/stylistgoto/cabinet/ikou_20100616_002/img10444973592.jpg?fitin=700:700,468.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ハマナカ《SONOMONO》シリーズソノモノ《ループ》全３色,,"★品質<br>
ウール 60％<br>
アルパカ 40%<BR> 
<br>
★標準状態重量<br>
40グラム（糸長 約38メートル）<br>
<BR>
★参考使用針<br>
棒針 　15号～8mm<br>
<BR>
★標準ゲージ(棒針の場合）<br>
横10～11目<br>
縦18～19段<BR>
<BR>
★タイプ<BR>
ループファンシータイプ<BR>
<BR>
☆遠方の倉庫より取り寄せるためお届けまでのお時間を少々いただく場合がございます。<BR>
ご了承願います。<BR>",ハマナカ《SONOMONO》シリーズソノモノ《ループ》全３色：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプハマナカ《SONOMONO》シリーズソノモノ《ループ》全３色,ハマナカ《SONOMONO》シリーズソノモノ《ループ》全３色[rn]
16-132586,http://tshop.r10s.jp/stylistgoto/cabinet/ikou_20100616_002/img10444972486.jpg?fitin=700:700,403.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ハマナカ《SONOMONO》シリーズソノモノ《合太》全５色,,"★品質<br>
ウール100％<br>
<br>
★標準状態重量<br>
40グラム（糸長 約120メートル）<br>
<BR>
★参考使用針<br>
棒針 　4号～5号<br>
かぎ針 4号<BR>
<BR>
★標準ゲージ(棒針の場合）<br>
横23～24目<br>
縦31～32段<BR>
<BR>
★タイプ<BR>
合太タイプ<BR>
<BR>
☆遠方の倉庫より取り寄せるためお届けまでのお時間を少々いただく場合がございます。<BR>
ご了承願います。<BR>",ハマナカ《SONOMONO》シリーズソノモノ《合太》全５色：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプハマナカ《SONOMONO》シリーズソノモノ《合太》全５色,ハマナカ《SONOMONO》シリーズソノモノ《合太》全５色[rn]
16-132587,http://tshop.r10s.jp/stylistgoto/cabinet/ikou_20100616_002/img10444972427.jpg?fitin=700:700,403.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ハマナカ《SONOMONO》シリーズソノモノスラブ《超極太》全２色,,"★品質<br>
ウール100％<br>
<br>
★標準状態重量<br>
40グラム（糸長 約32メートル）<br>
<BR>
★参考使用針<br>
棒針　15号～8mm<br>
<BR>
★標準ゲージ<br>
横10～11目<br>
縦15～16段<BR>
<BR>
★タイプ<BR>
超極太スラブタイプ<BR>
<BR>
☆遠方の倉庫より取り寄せるためお届けまでのお時間を少々いただく場合がございます。<BR>
ご了承願います。<BR>",ハマナカ《SONOMONO》シリーズソノモノスラブ《超極太》全２色：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプハマナカ《SONOMONO》シリーズソノモノスラブ《超極太》全２色,ハマナカ《SONOMONO》シリーズソノモノスラブ《超極太》全２色[rn]
16-132588,http://tshop.r10s.jp/ky-kanariya/cabinet/02995073/imgrc0068024730.jpg?fitin=700:700,1440.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,オリムパス・編み物キット うさぎの三人官女 あみぐるみ ＭＫ-６８,,"あみぐるみキット　うさぎの三人官女<br>初級～中級者向<br>出来上がりサイズ　：　<br>　　三人官女：各約 高さ9cm×幅4.5cm<br>　　敷物：縦10cm×横20cm<br>※商品の出来上がりサイズには若干の差が生じます。<br>キット内容　：　<BR>ミルキーキッズ（51）、（54）、（55）、（57）、（58）<br>25番ししゅう糸（737）<br>手芸用綿、目ビーズ、丸ビーズ<br>ペレット、フェルト、作り方説明書<br>※かぎ針はキットに含まれておりません。５/０号かぎ針をご用意ください。<br>デザイン　：　福村弘美<BR>発売元 ： オリムパス株式会社<br><P><FONT color=""#ff0000"">ご注意</FONT>：　クロネコＤＭ便発送不可。<br>キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。</P><br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>在庫がなければメーカー取寄せの上、（土日祝日を除き）１０日以内に発送します。<br>メーカー欠品、完売の場合は確認出来次第ご連絡します。<br>",オリムパス・編み物キット うさぎの三人官女 あみぐるみ ＭＫ-６８：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンオリムパス・編み物キット うさぎの三人官女 あみぐるみ ＭＫ-６８,オリムパス・編み物キット うさぎの三人官女 あみぐるみ ＭＫ-６８[rn]
16-132589,http://tshop.r10s.jp/ky-kanariya/cabinet/02995073/imgrc0068024756.jpg?fitin=700:700,1440.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,オリムパス・編み物キット くまと鯉のぼりの端午の節句 あみぐるみ ＭＫ-６９,,"あみぐるみキット　くまと鯉のぼりの端午の節句<br>初級～中級者向<br>出来上がりサイズ　：　約 高さ16cm×幅14cm<br>※商品の出来上がりサイズには若干の差が生じます。<br>キット内容　：　<BR>ミルキーキッズ… 白（51）、ベージュ（52）赤（58）、黒（63）<BR>ミルキーベビー…ブルー（6）<BR>シャイニーリフレクター …金色（S107）<BR>5番ししゅう糸…茶色（738）<BR>手芸用綿、目ビーズ、丸ビーズ、花形ビーズ、ペレット、ひも、フェルト、作り方説明書<br>※かぎ針はキットに含まれておりません。５/０号かぎ針をご用意ください。<br>デザイン　：　福村弘美<BR>発売元 ： オリムパス株式会社<br><P><FONT color=""#ff0000"">ご注意</FONT>：　クロネコＤＭ便発送不可。<br>キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。</P><br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>在庫がなければメーカー取寄せの上、（土日祝日を除き）１０日以内に発送します。<br>メーカー欠品、完売の場合は確認出来次第ご連絡します。<br>",オリムパス・編み物キット くまと鯉のぼりの端午の節句 あみぐるみ ＭＫ-６９：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンオリムパス・編み物キット くまと鯉のぼりの端午の節句 あみぐるみ ＭＫ-６９,オリムパス・編み物キット くまと鯉のぼりの端午の節句 あみぐるみ ＭＫ-６９[rn]
16-132590,http://tshop.r10s.jp/ky-kanariya/cabinet/02995073/imgrc0068024459.jpg?fitin=700:700,1440.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,オリムパス・編み物キット 雛にゃんこ　あみぐるみ ＭＫ-７４,,"あみぐるみキット　雛にゃんこ<br>初級～中級者向<br>出来上がりサイズ　：　<br>　　男雛：約 高さ  12cm×横7cm<BR>　　女雛：約 高さ10.5cm×横7cm<BR>　　敷物：縦 10cm×横 20cm<br>※商品の出来上がりサイズには若干の差が生じます。<br>キット内容　：　<BR>ロイヤルベビー… 白（101）<BR>ミルキーベビー… 水色（5）、ブルー（6）、薄ピンク（12）<BR>ミルキーキッズ… 黒（63）、ピンク（65）<BR>シャイニーリフレクター …金ラメ（S107）<BR>25番ししゅう糸…ピンク（102）、黄色（503）茶色（713）、黄緑（2070）、赤（700）<BR>手芸用綿、さし目、鈴、丸ビーズ、フェルト、サテンリボン、作り方説明書<br>※かぎ針はキットに含まれておりません。４/０号・５/０号かぎ針をご用意ください。<br>デザイン　：　福村弘美<BR>発売元 ： オリムパス株式会社<br><P><FONT color=""#ff0000"">ご注意</FONT>：　クロネコＤＭ便発送不可。<br>キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。</P><br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>在庫がなければメーカー取寄せの上、（土日祝日を除き）１０日以内に発送します。<br>メーカー欠品、完売の場合は確認出来次第ご連絡します。<br>",オリムパス・編み物キット 雛にゃんこ　あみぐるみ ＭＫ-７４：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンオリムパス・編み物キット 雛にゃんこ　あみぐるみ ＭＫ-７４,オリムパス・編み物キット 雛にゃんこ　あみぐるみ ＭＫ-７４[rn]
