16-44201,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730/img10384431813.jpg?fitin=700:700,7329.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,卓上ミニボール盤　MDP-100,,【ここがポイント！】●アルミなどの軟金属、木材、プラスチックやアクリルなどの正確な垂直穴あけ作業に！●ホビーに便利なミニサイズです。●深さ調整機能付！●プーリによる３段階変速●速度調節機能付で、最適な回転速度の設定が可能です。,卓上ミニボール盤　MDP-100：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング卓上ミニボール盤　MDP-100,卓上ミニボール盤　MDP-100[rn]
16-44226,http://tshop.r10s.jp/yminfo/cabinet/konomi/vex-51.jpg?fitin=700:700,430.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】バーテックス　カラビナ　フラット5mm　橙&黒　VEX-51　ネコポスのため代引・日時指定不可,おしゃれカラビナ,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】 <BR>
おしゃれなリング付きカラビナ。<BR>
<BR>
【商品仕様】<BR>
サイズ：W35×H50×D5.5mm<BR>
重量：10g<BR>
<BR>
関連商品<BR>
おしゃれアルミカラビナ<BR>
防災・防犯</FONT></P>",【頑張って送料無料！】バーテックス　カラビナ　フラット5mm　橙&amp;黒　VEX-51　ネコポスのため代引・日時指定不可：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】バーテックス　カラビナ　フラット5mm　橙&amp;黒　VEX-51　ネコポスのため代引・日時指定不可,おしゃれカラビナ。【頑張って送料無料！】バーテックス　カラビナ　フラット5mm　橙&amp;黒　VEX-51　ネコポスのため代引・日時指定不可[rn]
16-44227,http://tshop.r10s.jp/yminfo/cabinet/konomi/vex-73.jpg?fitin=700:700,620.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】バーテックス　カラビナ　イヤー7mm　銀&赤　VEX-73　ネコポスのため代引・日時指定不可,おしゃれカラビナ,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】 <BR>
おしゃれなリング付きカラビナ。<BR>
<BR>
【商品仕様】<BR>
サイズ：W45×H70×D8.5mm<BR>
重量：20g<BR>
<BR>
関連商品<BR>
おしゃれアルミカラビナ<BR>
防災・防犯</FONT></P>",【頑張って送料無料！】バーテックス　カラビナ　イヤー7mm　銀&amp;赤　VEX-73　ネコポスのため代引・日時指定不可：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】バーテックス　カラビナ　イヤー7mm　銀&amp;赤　VEX-73　ネコポスのため代引・日時指定不可,おしゃれカラビナ。【頑張って送料無料！】バーテックス　カラビナ　イヤー7mm　銀&amp;赤　VEX-73　ネコポスのため代引・日時指定不可[rn]
16-44228,http://tshop.r10s.jp/yminfo/cabinet/konomi/vex-76.jpg?fitin=700:700,476.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】バーテックス　カラビナ&キーホルダー7mm　黒&赤　VEX-76　ネコポスのため代引・日時指定不可,おしゃれカラビナ,"<P><IMG src=""http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif"" border=""0""><BR>
<FONT size=""-1""><BR>
【ここがポイント！】 <BR>
おしゃれなリング付きカラビナ。キーホルダー付き<BR>
<BR>
【商品仕様】<BR>
サイズ：W40×H67-100×D7.5mm<BR>
重量：20g<BR>
<BR>
関連商品<BR>
おしゃれアルミカラビナ<BR>
防災・防犯</FONT></P>",【頑張って送料無料！】バーテックス　カラビナ&amp;キーホルダー7mm　黒&amp;赤　VEX-76　ネコポスのため代引・日時指定不可：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】バーテックス　カラビナ&amp;キーホルダー7mm　黒&amp;赤　VEX-76　ネコポスのため代引・日時指定不可,おしゃれカラビナ。【頑張って送料無料！】バーテックス　カラビナ&amp;キーホルダー7mm　黒&amp;赤　VEX-76　ネコポスのため代引・日時指定不可[rn]
16-44229,http://tshop.r10s.jp/yminfo/cabinet/konomi/vex-91.jpg?fitin=700:700,411.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】バーテックス　カラビナ　カモフラージュ6mm　VEX-91　ネコポスのため代引・日時指定不可,おしゃれカラビナ,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】 <BR>
おしゃれなリング付きカラビナ。<BR>
<BR>
【商品仕様】<BR>
サイズ：W30×H60×D6mm<BR>
重量：20g<BR>
<BR>
関連商品<BR>
おしゃれアルミカラビナ<BR>
防災・防犯</FONT></P>",【頑張って送料無料！】バーテックス　カラビナ　カモフラージュ6mm　VEX-91　ネコポスのため代引・日時指定不可：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】バーテックス　カラビナ　カモフラージュ6mm　VEX-91　ネコポスのため代引・日時指定不可,おしゃれカラビナ。【頑張って送料無料！】バーテックス　カラビナ　カモフラージュ6mm　VEX-91　ネコポスのため代引・日時指定不可[rn]
16-44230,http://tshop.r10s.jp/yminfo/cabinet/konomi/vex-135.jpg?fitin=700:700,438.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】タフレーベル　カラビナ　ラッジド6mmオレンジ×黒　VEX-135　ネコポスのため代引・日時指定不可,おしゃれカラビナ,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】 <BR>
おしゃれなリング付きカラビナ。<BR>
<BR>
【商品仕様】<BR>
サイズ：W37×H60×D6.5mm<BR>
重量：13g<BR>
<BR>
関連商品<BR>
おしゃれアルミカラビナ<BR>
防災・防犯</FONT></P>",【頑張って送料無料！】タフレーベル　カラビナ　ラッジド6mmオレンジ&times;黒　VEX-135　ネコポスのため代引・日時指定不可：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】タフレーベル　カラビナ　ラッジド6mmオレンジ&times;黒　VEX-135　ネコポスのため代引・日時指定不可,おしゃれカラビナ。【頑張って送料無料！】タフレーベル　カラビナ　ラッジド6mmオレンジ&times;黒　VEX-135　ネコポスのため代引・日時指定不可[rn]
16-44231,http://tshop.r10s.jp/yminfo/cabinet/konomi/mc-105.jpg?fitin=700:700,752.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】ベルト吊りキーホルダーE　MC-105　ネコポスのため代引・日時指定不可,鍵のまとめ・紛失防止に,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】 <BR>
本革使用で高級感でまくり<BR>
<BR>
【商品仕様】<BR>
サイズ：W25×H120×D10mm<br>重量：40g<BR>
<BR>
関連商品<BR>
おしゃれアルミカラビナ<BR>
防災・防犯</FONT></P>",【頑張って送料無料！】ベルト吊りキーホルダーE　MC-105　ネコポスのため代引・日時指定不可：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】ベルト吊りキーホルダーE　MC-105　ネコポスのため代引・日時指定不可,鍵のまとめ・紛失防止に。【頑張って送料無料！】ベルト吊りキーホルダーE　MC-105　ネコポスのため代引・日時指定不可[rn]
16-44232,http://tshop.r10s.jp/yminfo/cabinet/00171276/arf-6pl.jpg?fitin=700:700,374.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　アルミ軽合金　アルック　ホシ　パープル　ARF-6PL　,可愛い形のアルミカラビナフック,"【ここがポイント！】 
● ちょーカワイイ、カラビナフックです。アクセサリーようなのでキーホルダー等にご使用ください 
 予告なしに色などを変更する場合がございますのでご了承ください 
 
【商品仕様】 
D 6mm  
L 78mm 
W 82mm 
材質 本体：アルミ軽合金
二重リンク：鉄（ニッケルメッキ）",MM　アルミ軽合金　アルック　ホシ　パープル　ARF-6PL　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　アルミ軽合金　アルック　ホシ　パープル　ARF-6PL　,可愛い形のアルミカラビナフック。MM　アルミ軽合金　アルック　ホシ　パープル　ARF-6PL　[rn]
16-44233,http://tshop.r10s.jp/yminfo/cabinet/konomi/vex-116.jpg?fitin=700:700,574.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】タフレーベル　カラビナ　フラット5mmベビーピンク×黒　VEX-116　ネコポスのため代引・日時指定不可,おしゃれカラビナ,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】 <BR>
おしゃれなリング付きカラビナ。<BR>
<BR>
【商品仕様】<BR>
サイズ：W33×H50×D5mm<BR>
重量：10g<BR>
<BR>
関連商品<BR>
おしゃれアルミカラビナ<BR>
防災・防犯</FONT></P>",【頑張って送料無料！】タフレーベル　カラビナ　フラット5mmベビーピンク&times;黒　VEX-116　ネコポスのため代引・日時指定不可：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】タフレーベル　カラビナ　フラット5mmベビーピンク&times;黒　VEX-116　ネコポスのため代引・日時指定不可,おしゃれカラビナ。【頑張って送料無料！】タフレーベル　カラビナ　フラット5mmベビーピンク&times;黒　VEX-116　ネコポスのため代引・日時指定不可[rn]
16-44234,http://tshop.r10s.jp/yminfo/cabinet/00171276/akd-5.jpg?fitin=700:700,228.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　アルミカラーフック6mm　全3色　AKD-6ピンク・シルバー・ブルー,装飾品として！アルミのカラフルフック！,"【ここがポイント！】 
● アルミ製のカラフルスナップフック。アクセサリーに最適。
※登山クライミングには絶対使用しないでください 
 
【商品仕様】 
こちらAKD-6なります。
材質：アルミ軽合金（アルマイト付）
カラー：S：シルバー、B：ブルー、P：ピンク",MM　アルミカラーフック6mm　全3色　AKD-6ピンク・シルバー・ブルー：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　アルミカラーフック6mm　全3色　AKD-6ピンク・シルバー・ブルー,装飾品として！アルミのカラフルフック！。MM　アルミカラーフック6mm　全3色　AKD-6ピンク・シルバー・ブルー[rn]
16-44235,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730_001/img10384157518.jpg?fitin=700:700,1459.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,プチカラビナ(リング付)　10ｍｍ,,＜PCより一部転載＞<br>D(mm)L(mm)W(mm)S(mm)d(mm)使用荷重（kg）          10      91      26      14      24      150      ステンレス製（SUS-304）,プチカラビナ(リング付)　10ｍｍ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングプチカラビナ(リング付)　10ｍｍ,プチカラビナ(リング付)　10ｍｍ[rn]
16-44236,http://tshop.r10s.jp/yminfo/cabinet/konomi/vex-61.jpg?fitin=700:700,476.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】バーテックス　カラビナ　フラット6mm　チタン&黒　VEX-61　ネコポスのため代引・日時指定不可,おしゃれカラビナ,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】 <BR>
おしゃれなリング付きカラビナ。<BR>
<BR>
【商品仕様】<BR>
サイズ：W40×H60×D6.5mm<br>重量：15g<BR>
<BR>
関連商品<BR>
おしゃれアルミカラビナ<BR>
防災・防犯</FONT></P>",【頑張って送料無料！】バーテックス　カラビナ　フラット6mm　チタン&amp;黒　VEX-61　ネコポスのため代引・日時指定不可：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】バーテックス　カラビナ　フラット6mm　チタン&amp;黒　VEX-61　ネコポスのため代引・日時指定不可,おしゃれカラビナ。【頑張って送料無料！】バーテックス　カラビナ　フラット6mm　チタン&amp;黒　VEX-61　ネコポスのため代引・日時指定不可[rn]
16-44237,http://tshop.r10s.jp/yminfo/cabinet/konomi/vex-136.jpg?fitin=700:700,438.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】タフレーベル　カラビナ　ラッジド6mm黒×紫　VEX-136　ネコポスのため代引・日時指定不可,おしゃれカラビナ,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】 <BR>
おしゃれなリング付きカラビナ。<BR>
<BR>
【商品仕様】<BR>
サイズ：W37×H60×D6.5mm<BR>
重量：13g<BR>
<BR>
関連商品<BR>
おしゃれアルミカラビナ<BR>
防災・防犯</FONT></P>",【頑張って送料無料！】タフレーベル　カラビナ　ラッジド6mm黒&times;紫　VEX-136　ネコポスのため代引・日時指定不可：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】タフレーベル　カラビナ　ラッジド6mm黒&times;紫　VEX-136　ネコポスのため代引・日時指定不可,おしゃれカラビナ。【頑張って送料無料！】タフレーベル　カラビナ　ラッジド6mm黒&times;紫　VEX-136　ネコポスのため代引・日時指定不可[rn]
16-44238,http://tshop.r10s.jp/yminfo/cabinet/konomi/mc-93.jpg?fitin=700:700,533.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】ストラップ付きカラビナ　黒×銀　MC-93　ネコポスのため代引・日時指定不可,おしゃれカラビナ,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】 <BR>
ストラップキーリング付きのカラビナ<BR>
<BR>
【商品仕様】<BR>
サイズ：W33×H115×D6mm<BR>
重量：20g<BR>
<BR>
関連商品<BR>
おしゃれアルミカラビナ<BR>
防災・防犯</FONT></P>",【頑張って送料無料！】ストラップ付きカラビナ　黒&times;銀　MC-93　ネコポスのため代引・日時指定不可：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】ストラップ付きカラビナ　黒&times;銀　MC-93　ネコポスのため代引・日時指定不可,おしゃれカラビナ。【頑張って送料無料！】ストラップ付きカラビナ　黒&times;銀　MC-93　ネコポスのため代引・日時指定不可[rn]
16-44239,http://tshop.r10s.jp/yminfo/cabinet/00171276/hob-16-150.jpg?fitin=700:700,1927.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)片面ドア取手16×200mm　HOB-16-200,引き扉などの取っ手に,"【ここがポイント！】 
● ドア用のハンドル・取っ手。めねじタイプ。鏡面仕上げ。 
 
【商品仕様】 
こちらHOB-16-200になります。
材質：ステンレスSUS304（鏡面仕上げ）",MM　ステンレス（SUS304)片面ドア取手16&times;200mm　HOB-16-200：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)片面ドア取手16&times;200mm　HOB-16-200,引き扉などの取っ手に。MM　ステンレス（SUS304)片面ドア取手16&times;200mm　HOB-16-200[rn]
16-44240,http://tshop.r10s.jp/yminfo/cabinet/00171276/hob-16-150.jpg?fitin=700:700,2102.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)片面ドア取手16×250mm　HOB-16-250,引き扉などの取っ手に,"【ここがポイント！】 
● ドア用のハンドル・取っ手。めねじタイプ。鏡面仕上げ。 
 
【商品仕様】 
こちらHOB-16-250になります。
材質：ステンレスSUS304（鏡面仕上げ）",MM　ステンレス（SUS304)片面ドア取手16&times;250mm　HOB-16-250：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)片面ドア取手16&times;250mm　HOB-16-250,引き扉などの取っ手に。MM　ステンレス（SUS304)片面ドア取手16&times;250mm　HOB-16-250[rn]
16-44241,http://tshop.r10s.jp/yminfo/cabinet/00171276/tt-1.jpg?fitin=700:700,964.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)トランク取手　TT-1　,便利な取手,"【ここがポイント！】 
● トランクやちょっとした小物に使える取手です。 
 
【商品仕様】 
D 8mm  
L1 70mm 
L2 31mm 
W 100mm 
A1 86mm 
A2 58mm 
A3 38mm 
B1 46mm 
B2 27mm 
B3 10mm 
H 12mm 
d 5.2mm 
T 1.5mm 
使用荷重 0.20kN（20kgf） 
材質 SUS304",MM　ステンレス（SUS304)トランク取手　TT-1　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)トランク取手　TT-1　,便利な取手。MM　ステンレス（SUS304)トランク取手　TT-1　[rn]
16-44242,http://tshop.r10s.jp/yminfo/cabinet/00171276/ho-16-150.jpg?fitin=700:700,5631.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)ドアハンドル25×278mm　HO-25-300　,便利なドアハンドル！！,"【ここがポイント！】 
● ドア用のハンドルです。2個入ってて組になってます。鏡面仕上、ヘアーライン仕上げがあります。 
 
【商品仕様】 
D 25mm  
L 303mm 
P 278mm 
H 67mm 
付属ボルト
ネジ-首下 M8-50mm、M8-70mm 
適応扉厚 10～45mm 
材質 SUS304",MM　ステンレス（SUS304)ドアハンドル25&times;278mm　HO-25-300　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)ドアハンドル25&times;278mm　HO-25-300　,便利なドアハンドル！！。MM　ステンレス（SUS304)ドアハンドル25&times;278mm　HO-25-300　[rn]
16-44243,http://tshop.r10s.jp/yminfo/cabinet/00171276/tow-6.jpg?fitin=700:700,48.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)引き取手用化粧座金　引き取手φ6用　TOW-6　,取手取付の際に是非,"【ここがポイント！】 
● 引き取手用の化粧座金です 
 
【商品仕様】 
A1 10mm  
A2 6.2mm 
A3 4.3mm 
T1 2.5mm 
T2 1.5mm 
適用サイズ 引き取手φ6 
材質 SUS304",MM　ステンレス（SUS304)引き取手用化粧座金　引き取手φ6用　TOW-6　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)引き取手用化粧座金　引き取手φ6用　TOW-6　,取手取付の際に是非。MM　ステンレス（SUS304)引き取手用化粧座金　引き取手φ6用　TOW-6　[rn]
16-44244,http://tshop.r10s.jp/yminfo/cabinet/00171276/tob-6-40.jpg?fitin=700:700,485.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)引き取手（おねじ）9×100mm　TOB-9-100　,ステンレスの取手！六角ナット、スプリングワッシャー付き,"【ここがポイント！】 
● おねじタイプの取手です。六角ナット・スプリングワッシャーが各2個ついてます。鏡面仕上げでキレイに仕上がってます。 
 
【商品仕様】 
D 9mm  
L 109m 
P 100mm 
H 30mm 
B 11mm 
ネジ M5 
材質 SUS304 
使用荷重 0.44kN（45kgf）",MM　ステンレス（SUS304)引き取手（おねじ）9&times;100mm　TOB-9-100　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)引き取手（おねじ）9&times;100mm　TOB-9-100　,ステンレスの取手！六角ナット、スプリングワッシャー付き。MM　ステンレス（SUS304)引き取手（おねじ）9&times;100mm　TOB-9-100　[rn]
16-44245,http://tshop.r10s.jp/yminfo/cabinet/00171276/toa-4-20.jpg?fitin=700:700,190.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)引き取手（めねじ）4×37.5mm　TOA-4-37.5,引き出しなどの取っ手に,"【ここがポイント！】 
● 引くためのの取っ手。めねじタイプ。鏡面仕上げ。 
 
【商品仕様】 
こちらTOA-4-37.5になります。
材質：ステンレスSUS304",MM　ステンレス（SUS304)引き取手（めねじ）4&times;37.5mm　TOA-4-37.5：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)引き取手（めねじ）4&times;37.5mm　TOA-4-37.5,引き出しなどの取っ手に。MM　ステンレス（SUS304)引き取手（めねじ）4&times;37.5mm　TOA-4-37.5[rn]
16-44246,http://tshop.r10s.jp/yminfo/cabinet/00171276/gct-1b.jpg?fitin=700:700,3154.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　上げ蓋取手BOX付　GCT-1B　,床下収納などの取手,"【ここがポイント！】 
● 床下収納などの取手部分の改修に。BOXは溶接なしです。M4ネジが4本ついてます 
 
【商品仕様】 
A1 33mm  
B1 103mm 
A2 20mm 
B2 90mm 
A3 12mm 
B3 69mm 
A4 30mm 
H 38.5mm 
W 64mm 
d 4.3mm 
a 20mm 
T1 2.5mm 
T2 3mm 
T3 7mm 
T4 3mm 
T5 1.5mm 
ネジ M4 
材質 SUS304",MM　ステンレス（SUS304)　上げ蓋取手BOX付　GCT-1B　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　上げ蓋取手BOX付　GCT-1B　,床下収納などの取手。MM　ステンレス（SUS304)　上げ蓋取手BOX付　GCT-1B　[rn]
16-44247,http://tshop.r10s.jp/yminfo/cabinet/00171276/yor_1482_sw_01.jpg?fitin=700:700,8800.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,杉山製作所 FIT アイアンワークヨークペーパーホルダーA　スノーホワイト　YOR-1482-SWつや消し白のおしゃれトイレットペーパーホルダーステンレスビス（M5×25）付属日本製メーカー直送のため代引不可,トイレ空間をかなりおしゃれに！,"<P><IMG src=""http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif"" border=""0""><BR>
<FONT size=""-1""><BR>
【ここがポイント！】 <BR>
鉄の素材を活かしたデザイン。手作業にこだわった職人のモノづくり。<BR>
おしゃれなトイレ空間を演出するトイレットペーパーホルダー。<BR>
日本の職人がこだわった逸品をご使用ください<BR>
<BR>
【商品仕様】 <BR>
サイズ　幅155×奥行115mm<BR>
M5皿ビス4個付<BR>
</FONT><FONT size=""-1"" color=""#ff0000"">※必ず下地を探し壁裏の柱に取りつけてください。<BR>
※サイディングボードだけだと壊れる可能性がございます</FONT><BR>
<FONT size=""-1""><BR>
関連商品<BR>
杉山製作所　アイアン建材<BR>
下地探し<BR>
</FONT></P>",杉山製作所 FIT アイアンワークヨークペーパーホルダーA　スノーホワイト　YOR-1482-SWつや消し白のおしゃれトイレットペーパーホルダーステンレスビス（M5&times;25）付属日本製メーカー直送のため代引不可：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング杉山製作所 FIT アイアンワークヨークペーパーホルダーA　スノーホワイト　YOR-1482-SWつや消し白のおしゃれトイレットペーパーホルダーステンレスビス（M5&times;25）付属日本製メーカー直送のため代引不可,トイレ空間をかなりおしゃれに！。杉山製作所 FIT アイアンワークヨークペーパーホルダーA　スノーホワイト　YOR-1482-SWつや消し白のおしゃれトイレットペーパーホルダーステンレスビス（M5&times;25）付属日本製メーカー直送のため代引不可[rn]
