16-26201,,21452.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7402-160SB】(7666357) 強力型ニッパー　１６０ｍｍ 受注単位6,作業用品\プライヤー・ペンチ・ニッパ\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ジョイント部は鍛造軸カシメを採用し耐久性に優れています。<br>●ピアノ線を含む様々なワイヤの切断に適しています。<br>●最適な刃の位置と角度・てこの原理を最大限発揮するデザイン・人間工学に基づいたハンドル形状-この３つの利点により、少ない力で高い切断能力を発揮します。<br>●入念な焼入れ処理が施された刃の硬度は約ＨＲＣ64です。<br><br><br>●全長(mm)：160<br>●切断能力(mm)硬線：φ2.5<br>●切断能力(mm)ピアノ線：2<br>●ハンドル：コンフォートタイプ<br>●切断能力(mm)中硬線：φ3.4<br>●質量(g)：209<br><br><br>●オイル焼き入れ焼き戻し処理済みクロームバナジウム電気鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7402-160SB】(7666357) 強力型ニッパー　１６０ｍｍ 受注単位6：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7402-160SB】(7666357) 強力型ニッパー　１６０ｍｍ 受注単位6,作業用品\プライヤー・ペンチ・ニッパ\ニッパ。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7402-160SB】(7666357) 強力型ニッパー　１６０ｍｍ 受注単位6[rn]
16-26234,,1324.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【PV-125SRO】(7612176) ボール盤バイスＰＶ－１２５用　スクリューロッド 受注単位1,作業用品\クランプ・バイス\バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ＰＶ－１２５用　スクリューロッドです。<br><br><br>●適合機種：PV-125<br><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【PV-125SRO】(7612176) ボール盤バイスＰＶ&minus;１２５用　スクリューロッド 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【PV-125SRO】(7612176) ボール盤バイスＰＶ&minus;１２５用　スクリューロッド 受注単位1,作業用品\クランプ・バイス\バイス。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【PV-125SRO】(7612176) ボール盤バイスＰＶ&minus;１２５用　スクリューロッド 受注単位1[rn]
16-26235,,1504.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【VPS-250】(7607873) グリッププライヤ　直線あご 受注単位1,作業用品\クランプ・バイス\グリッププライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●板や角材、フラット形状の物をクランプするのに最適です。<br><br><br>●全長(mm)：227<br>●最大口開き(mm)：40<br>●最大口開き(mm)角材：40<br>●最大口開き(mm)パイプ：40<br>●頭部厚(mm)：16<br><br><br>●構造用鋼<br>",『カード対応OK！』■〒ＴＯＮＥ【VPS-250】(7607873) グリッププライヤ　直線あご 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【VPS-250】(7607873) グリッププライヤ　直線あご 受注単位1,作業用品\クランプ・バイス\グリッププライヤー。『カード対応OK！』■〒ＴＯＮＥ【VPS-250】(7607873) グリッププライヤ　直線あご 受注単位1[rn]
16-26236,,158.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【FQ-75NS】(7611781) Ｆ型バイスＦＱ－７５用　口金用ねじセット 受注単位1,作業用品\クランプ・バイス\バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ＦＱ－７５用　口金用ねじセットです。<br><br><br>●適合機種：FQ-75<br><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【FQ-75NS】(7611781) Ｆ型バイスＦＱ&minus;７５用　口金用ねじセット 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【FQ-75NS】(7611781) Ｆ型バイスＦＱ&minus;７５用　口金用ねじセット 受注単位1,作業用品\クランプ・バイス\バイス。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【FQ-75NS】(7611781) Ｆ型バイスＦＱ&minus;７５用　口金用ねじセット 受注単位1[rn]
16-26237,,2206.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【VPW-250】(7607881) グリッププライヤ　溶接用 受注単位1,作業用品\クランプ・バイス\グリッププライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●溶接作業やリベット作業に最適です。<br><br><br>●全長(mm)：228<br>●最大口開き(mm)：40<br>●最大口開き(mm)角材：20<br>●最大口開き(mm)パイプ：20<br><br><br>●構造用鋼<br>",『カード対応OK！』■〒ＴＯＮＥ【VPW-250】(7607881) グリッププライヤ　溶接用 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【VPW-250】(7607881) グリッププライヤ　溶接用 受注単位1,作業用品\クランプ・バイス\グリッププライヤー。『カード対応OK！』■〒ＴＯＮＥ【VPW-250】(7607881) グリッププライヤ　溶接用 受注単位1[rn]
16-26238,,869.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒育良精機/育良 パンチャー【ISK-38SL0】(7929544) 育良 下方押え型トグルクランプ 水平ハンドル(31206) 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●溶接治具、組立治具、検査治具、加工治具に最適です。<br>
●ストレートベースタイプです。<br>
●全長(mm):264<br>
●締付力(kN):2.8<br>
●付属ボルト径:M8×65（SUS）<br>
●クランプアーム移動角度(°):80<br>
●ハンドル操作角度(°):80<br>
●スチール<br>
●2Sはステンレスタイプです。",■〒育良精機/育良 パンチャー【ISK-38SL0】(7929544) 育良 下方押え型トグルクランプ 水平ハンドル(31206) 発注単位1：クローバー資材館,■〒育良精機/育良 パンチャー【ISK-38SL0】(7929544) 育良 下方押え型トグルクランプ 水平ハンドル(31206) 発注単位1,作業用品\クランプ・バイス。■〒育良精機/育良 パンチャー【ISK-38SL0】(7929544) 育良 下方押え型トグルクランプ 水平ハンドル(31206) 発注単位1[rn]
16-26239,,4052.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＨＡＺＥＴ社/ＨＡＺＥＴ レンチ【1845C-19】(5844100) ＨＡＺＥＴ スナップリングプライヤー(穴用) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●強化樹脂グリップで、非常に軽量です。<br>
●爪一体型の軸はグリップ中央部まで成型されており、軸ズレを防ぎます。<br>
●爪先はスナップリングの飛びを防ぐため、逆テーパー加工されています。<br>
●スナップリング、ロックリングの着脱に。<br>
●爪先端径(mm):1.8<br>
●リング使用範囲(mm):19～60<br>
●全長(mm):180<br>
●爪形状:直爪<br>
●ばね付<br>
●専用特殊鋼",■〒ＨＡＺＥＴ社/ＨＡＺＥＴ レンチ【1845C-19】(5844100) ＨＡＺＥＴ スナップリングプライヤー(穴用) 発注単位1：クローバー資材館,■〒ＨＡＺＥＴ社/ＨＡＺＥＴ レンチ【1845C-19】(5844100) ＨＡＺＥＴ スナップリングプライヤー(穴用) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒ＨＡＺＥＴ社/ＨＡＺＥＴ レンチ【1845C-19】(5844100) ＨＡＺＥＴ スナップリングプライヤー(穴用) 発注単位1[rn]
16-26240,,6804.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒レザーマンツールジャパン/レザーマン 多機能ツール【LEP-GN】(8094019) レザーマン リープ グリーン 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ナイフパーツが別個に同封されており、ナイフレスツールとしても使用可能です。<br>
●ナイフは後からお客様にて装着します。<br>
●ナイフは一度装着すると取り外しができません。<br>
●携帯工具、DIY、アウトドア、車載工具、防災の備えに。<br>
●全長(mm):83<br>
●色:グリーン<br>
●機能:ニードルノーズプライヤー、レギュラープライヤー、ワイヤーカッター、ハードワイヤーカッター、後装着式420HC直刃ナイフ、ノコギリ、ハサミ、マイナスドライバー(S)、マイナスドライバー(M)、プラスドライバー、ピンセット、栓抜き、定規<br>
●本体:ステンレススチール<br>
●ハンドルカバー:ガラス繊維樹脂<br>
●使用後は、汚れをふき取り潤滑剤を拭きつけ保管してください。<br>
●一度ナイフを装着したら取外しは出来ません。",■〒レザーマンツールジャパン/レザーマン 多機能ツール【LEP-GN】(8094019) レザーマン リープ グリーン 発注単位1：クローバー資材館,■〒レザーマンツールジャパン/レザーマン 多機能ツール【LEP-GN】(8094019) レザーマン リープ グリーン 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒レザーマンツールジャパン/レザーマン 多機能ツール【LEP-GN】(8094019) レザーマン リープ グリーン 発注単位1[rn]
16-26241,,190339.2000,,花・ガーデン・DIY > DIY・工具 > その他,‡‡‡■〒佐竹化学機械工業/佐竹 攪拌機【AT34-GPR-0.4BS】(8199839) 佐竹 立型撹拌機 マルチＡミキサー ＰＳＥ対応 ＡＴ34－ＧＰＲ－0．4ＢＳ 発注単位1,作業用品\小型加工機械・電熱器具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font>
<br>※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●フランジ取り付けタイプの小形かくはん機で、電気用品安全法(PSE)対応機です。<br>
●低粘度～中粘度の液体の撹拌に。<br>
●出力(kW):0.4<br>
●電源(V):三相200<br>
●回転数(min[[の-1乗]])50/60Hz:300/360<br>
●軸長(mm):1300<br>
●羽根外径(mm):310<br>
●最大かくはん容量(L)中粘度液:1500<br>
●最大かくはん容量(L)低粘度液:2500<br>
●回転数(rpm)50/60Hz:300/360<br>
●動力：0.4ＫＷ<br>
●3相200Ｖ全閉外扇屋内<br>
●軸長(mm):1300<br>
●翼径(mm):310<br>
●接液部:ステンレス（SUS304）<br>
●プラグ付電源コード<br>
●据付方法はフランジ取付です。<br>
●空運転・液面通過運転は使用できません。",&Dagger;&Dagger;&Dagger;■〒佐竹化学機械工業/佐竹 攪拌機【AT34-GPR-0.4BS】(8199839) 佐竹 立型撹拌機 マルチＡミキサー ＰＳＥ対応 ＡＴ34&minus;ＧＰＲ&minus;0．4ＢＳ 発注単位1：クローバー資材館,&Dagger;&Dagger;&Dagger;■〒佐竹化学機械工業/佐竹 攪拌機【AT34-GPR-0.4BS】(8199839) 佐竹 立型撹拌機 マルチＡミキサー ＰＳＥ対応 ＡＴ34&minus;ＧＰＲ&minus;0．4ＢＳ 発注単位1,作業用品\小型加工機械・電熱器具。&Dagger;&Dagger;&Dagger;■〒佐竹化学機械工業/佐竹 攪拌機【AT34-GPR-0.4BS】(8199839) 佐竹 立型撹拌機 マルチＡミキサー ＰＳＥ対応 ＡＴ34&minus;ＧＰＲ&minus;0．4ＢＳ 発注単位1[rn]
16-26242,,131155.2000,,花・ガーデン・DIY > DIY・工具 > その他,‡‡‡■〒佐竹化学機械工業/佐竹 攪拌機【AT24-GPR-0.2AS】(8199837) 佐竹 立型撹拌機 マルチＡミキサー ＰＳＥ対応 ＡＴ24－ＧＰＲ－0．2ＡＳ 発注単位1,作業用品\小型加工機械・電熱器具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font>
<br>※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●フランジ取り付けタイプの小形かくはん機で、電気用品安全法(PSE)対応機です。<br>
●低粘度～中粘度の液体の撹拌に。<br>
●出力(kW):0.2<br>
●電源(V):単相100<br>
●回転数(min[[の-1乗]])50/60Hz:300/360<br>
●軸長(mm):1000<br>
●羽根外径(mm):270<br>
●最大かくはん容量(L)中粘度液:650<br>
●最大かくはん容量(L)低粘度液:1500<br>
●回転数(rpm)50/60Hz:300/360<br>
●動力：0.2ＫＷ<br>
●単相100Ｖ全閉外扇屋内<br>
●軸長(mm):1000<br>
●翼径(mm):270<br>
●接液部:ステンレス（SUS304）<br>
●プラグ付電源コード<br>
●据付方法はフランジ取付です。<br>
●空運転・液面通過運転は使用できません。",&Dagger;&Dagger;&Dagger;■〒佐竹化学機械工業/佐竹 攪拌機【AT24-GPR-0.2AS】(8199837) 佐竹 立型撹拌機 マルチＡミキサー ＰＳＥ対応 ＡＴ24&minus;ＧＰＲ&minus;0．2ＡＳ 発注単位1：クローバー資材館,&Dagger;&Dagger;&Dagger;■〒佐竹化学機械工業/佐竹 攪拌機【AT24-GPR-0.2AS】(8199837) 佐竹 立型撹拌機 マルチＡミキサー ＰＳＥ対応 ＡＴ24&minus;ＧＰＲ&minus;0．2ＡＳ 発注単位1,作業用品\小型加工機械・電熱器具。&Dagger;&Dagger;&Dagger;■〒佐竹化学機械工業/佐竹 攪拌機【AT24-GPR-0.2AS】(8199837) 佐竹 立型撹拌機 マルチＡミキサー ＰＳＥ対応 ＡＴ24&minus;ＧＰＲ&minus;0．2ＡＳ 発注単位1[rn]
16-26243,,12052.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ニシガキ工業/ニシガキ 研磨機【N8742】(7764472) ニシガキ ドリ研ｘ26用砥石 135度用 発注単位1,作業用品\小型加工機械・電熱器具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ドリ研X26用専用砥石です。<br>
●鉄工用、ステンレス用ドリルが研磨できます。<br>
●鉄工所、製缶業、鉄骨業、電設業のドリルの修理用。<br>
●モーター回転数(rpm):※<br>
●研磨可能サイズ(mm):７～２６<br>
●幅(mm):90<br>
●奥行(mm):90<br>
●高さ(mm):15<br>
●刃先研磨角度(°):135<br>
●粒度(#):100<br>
●外径（mm）:90<br>
●研磨能力:18mmの場合約300回、26mmの場合約150回<br>
●CBN砥石",■〒ニシガキ工業/ニシガキ 研磨機【N8742】(7764472) ニシガキ ドリ研ｘ26用砥石 135度用 発注単位1：クローバー資材館,■〒ニシガキ工業/ニシガキ 研磨機【N8742】(7764472) ニシガキ ドリ研ｘ26用砥石 135度用 発注単位1,作業用品\小型加工機械・電熱器具。■〒ニシガキ工業/ニシガキ 研磨機【N8742】(7764472) ニシガキ ドリ研ｘ26用砥石 135度用 発注単位1[rn]
16-26244,,176832.0000,,花・ガーデン・DIY > DIY・工具 > その他,‡‡‡■〒(有）ミスギ/ミスギ 攪拌機【SKH-40PX】(7948638) ミスギ 混合・攪拌機「まぜまぜマン」 発注単位1,作業用品\小型加工機械・電熱器具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font>
<br>※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●容器をそのまま回転させるシンプル構造で省力化にも貢献します。<br>
●傾斜対角線を直径とした三次元的運動による優れたかくはん性能です。<br>
●操作は容器をセットしスタートスイッチを押すだけです。<br>
●作業時間の設定は工程数の選択で自動停止します。<br>
●各種容器を密閉状態で混合・撹拌できます。<br>
●容器を傾斜保持して回転させる技術により、水平・垂直の三次元的な同時運動が起り、塗料・インキ等の液体はもちろん粉体、ペレットも容器の隅々迄混合・撹拌ができます。<br>
●液体(流体):塗料、インキ、オイル、接着剤。<br>
●粉体:薬品、金属粉、小麦粉。<br>
●粉体:樹脂ペレット、豆、米。<br>
●その他:お茶の葉、比重の違う物質同士。<br>
●インキ等液体の沈降分散。<br>
●粒・粉等のブレンド。<br>
●食品・医薬品・工業用材料等。<br>
●部品・容器洗浄。<br>
●出力(kW):0.04<br>
●定格電流(A):1.04<br>
●対応缶:JIS規格20Lペール缶<br>
●最大荷重(缶を含む):25kg<br>
●作業時間の限定:工程数<br>
●コード長さ(m):1.8<br>
●電源:AC100V<br>
●モーター出力(W):40<br>
●最大荷重(kg)(缶を含む、偏荷重除く):25<br>
●特長(※)はカバー後付可能:安全カバーなし(※)<br>
●対応缶(容器は付属しません):JIS規格20Lペール缶<br>
●電源:AC100V<br>
●電源コード長さ:1.8m<br>
●運転時間:1・2・4・8・16工程または連続の設定が可能<br>
●1工程とは正回転15回/逆回転15回(50Hz:約43秒/60Hz:約37秒で自動停止)<br>
●ペール缶用（JIS20Lペール）（容器は付属無）<br>
●安全カバーなし<br>
●スチール(SS400)<br>
●対応缶についてはご相談ください。<br>
●容器は別売です。",&Dagger;&Dagger;&Dagger;■〒(有）ミスギ/ミスギ 攪拌機【SKH-40PX】(7948638) ミスギ 混合・攪拌機「まぜまぜマン」 発注単位1：クローバー資材館,&Dagger;&Dagger;&Dagger;■〒(有）ミスギ/ミスギ 攪拌機【SKH-40PX】(7948638) ミスギ 混合・攪拌機「まぜまぜマン」 発注単位1,作業用品\小型加工機械・電熱器具。&Dagger;&Dagger;&Dagger;■〒(有）ミスギ/ミスギ 攪拌機【SKH-40PX】(7948638) ミスギ 混合・攪拌機「まぜまぜマン」 発注単位1[rn]
16-26245,,741.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【UA-100NSF】(7611943) Ｕ型バイス　ＵＡ－１００Ｎ用　シャフト 受注単位1,作業用品\クランプ・バイス\バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ＵＡ－１００Ｎ用　シャフトです。<br><br><br>●適合機種：UA-100N<br><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【UA-100NSF】(7611943) Ｕ型バイス　ＵＡ&minus;１００Ｎ用　シャフト 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【UA-100NSF】(7611943) Ｕ型バイス　ＵＡ&minus;１００Ｎ用　シャフト 受注単位1,作業用品\クランプ・バイス\バイス。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【UA-100NSF】(7611943) Ｕ型バイス　ＵＡ&minus;１００Ｎ用　シャフト 受注単位1[rn]
16-26246,,233.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TSUBR100NS】(7611544) ステンレスバイスＴＳＵＢＲ－１００用　口金用ねじセット 受注単位1,作業用品\クランプ・バイス\バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ＴＳＵＢＲ－１００用　口金用ねじセットです。<br><br><br>●適合機種：TSUBR-100<br><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TSUBR100NS】(7611544) ステンレスバイスＴＳＵＢＲ&minus;１００用　口金用ねじセット 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TSUBR100NS】(7611544) ステンレスバイスＴＳＵＢＲ&minus;１００用　口金用ねじセット 受注単位1,作業用品\クランプ・バイス\バイス。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TSUBR100NS】(7611544) ステンレスバイスＴＳＵＢＲ&minus;１００用　口金用ねじセット 受注単位1[rn]
16-26247,,609.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TLV-100K】(7623275) ＴＬＶ－１００用口金セット 受注単位1,作業用品\クランプ・バイス\バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●TLV－１００用口金セット<br><br><br>●適合機種：TLV-100<br>●品名：口金セット<br><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TLV-100K】(7623275) ＴＬＶ&minus;１００用口金セット 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TLV-100K】(7623275) ＴＬＶ&minus;１００用口金セット 受注単位1,作業用品\クランプ・バイス\バイス。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TLV-100K】(7623275) ＴＬＶ&minus;１００用口金セット 受注単位1[rn]
16-26248,,1455.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【VPL-150】(7607831) グリッププライヤ　ロングノーズ 受注単位1,作業用品\クランプ・バイス\グリッププライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●狭い場所での作業や、細かい作業に最適です。<br>●ワイヤーカッターとして使用できます。<br><br><br>●全長(mm)：167<br>●最大締圧力(kN)：-<br>●最大締付幅(mm)：-<br>●質量(g)：205<br>●最大口開き(mm)角材：50<br>●最大口開き(mm)パイプ：50<br><br><br>●構造用鋼<br>",『カード対応OK！』■〒ＴＯＮＥ【VPL-150】(7607831) グリッププライヤ　ロングノーズ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【VPL-150】(7607831) グリッププライヤ　ロングノーズ 受注単位1,作業用品\クランプ・バイス\グリッププライヤー。『カード対応OK！』■〒ＴＯＮＥ【VPL-150】(7607831) グリッププライヤ　ロングノーズ 受注単位1[rn]
16-26249,,1058.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トップ工業/ＴＯＰ【VP-175】(7235348) バイスプライヤ　１７５ｍｍ 受注単位1,作業用品\クランプ・バイス\グリッププライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●挟む・固定する・回す・切る作業を兼ね備えた多機能プライヤです。<br>●挟む強度は柄部のネジで調節することができます。<br><br>●あらゆる作業に。<br><br>●全長(mm)：185<br>●最大口開き(mm)：35<br><br><br>●クロムモリブデン鋼(Cr-Mo)<br>",『カード対応OK！』■〒トップ工業/ＴＯＰ【VP-175】(7235348) バイスプライヤ　１７５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トップ工業/ＴＯＰ【VP-175】(7235348) バイスプライヤ　１７５ｍｍ 受注単位1,作業用品\クランプ・バイス\グリッププライヤー。『カード対応OK！』■〒トップ工業/ＴＯＰ【VP-175】(7235348) バイスプライヤ　１７５ｍｍ 受注単位1[rn]
16-26250,,8063.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【CTL-30】(4901134) カンチレバー型クランプ　開き３００ｍｍ 受注単位1,作業用品\クランプ・バイス\Ｌ型クランプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●締め付けハンドルが、レールの外側に付いているので狭い場所での使用ができます。<br>●アーム部を差し替え、別売アタッチメントのCTDを取り付けることにより、外に広げる作業ができます。<br>●鉄鋼、板金用です。<br><br><br>●全長(mm)：435<br>●最大口開き(mm)：300<br>●フトコロ(mm)：100<br>●フレーム寸法(mm)A：27<br>●フレーム寸法(mm)B：13<br><br><br>●冷間圧延鋼材<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【CTL-30】(4901134) カンチレバー型クランプ　開き３００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【CTL-30】(4901134) カンチレバー型クランプ　開き３００ｍｍ 受注単位1,作業用品\クランプ・バイス\Ｌ型クランプ。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【CTL-30】(4901134) カンチレバー型クランプ　開き３００ｍｍ 受注単位1[rn]
16-26251,,10534.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN40T20】(3974537) クランプＴＧ－Ｔ型開き４００ｍｍフトコロ２００ｍｍ 受注単位1,作業用品\クランプ・バイス\Ｌ型クランプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●フトコロが広いので奥深く締め付けることができます。<br><br>●板金、溶接業<br><br>●全長(mm)：510<br>●最大口開き(mm)：400<br>●フトコロ(mm)：200<br>●開き(mm)×フトコロ(mm)：400×200<br>●レール(mm)：35×11<br>●質量(kg)：3.50<br><br><br>●スチール<br>",『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN40T20】(3974537) クランプＴＧ&minus;Ｔ型開き４００ｍｍフトコロ２００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN40T20】(3974537) クランプＴＧ&minus;Ｔ型開き４００ｍｍフトコロ２００ｍｍ 受注単位1,作業用品\クランプ・バイス\Ｌ型クランプ。『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN40T20】(3974537) クランプＴＧ&minus;Ｔ型開き４００ｍｍフトコロ２００ｍｍ 受注単位1[rn]
16-26252,,1176.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【G-10C】(4454481) エホマクランプ木ハンドル　最大口開１００ｍｍＸ深さ５０ｍｍ 受注単位1,作業用品\クランプ・バイス\Ｌ型クランプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●木工加工や板金加工に最適です。<br>●フレームは熱処理済み中炭素鋼ニッケルクロムメッキ仕上げ（S45C）です。<br><br><br>●全長(mm)：151<br>●最大口開き(mm)：100<br>●フトコロ(mm)：50<br>●フレーム寸法(mm)A：11.5<br>●フレーム寸法(mm)B：5.7<br><br><br>●中炭素鋼（S45C）<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【G-10C】(4454481) エホマクランプ木ハンドル　最大口開１００ｍｍＸ深さ５０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【G-10C】(4454481) エホマクランプ木ハンドル　最大口開１００ｍｍＸ深さ５０ｍｍ 受注単位1,作業用品\クランプ・バイス\Ｌ型クランプ。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【G-10C】(4454481) エホマクランプ木ハンドル　最大口開１００ｍｍＸ深さ５０ｍｍ 受注単位1[rn]
