16-27601,,660.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●トップランナー制度対応、2017年度省エネ法目標基準達成のLED電球です。<br>
●口金サイズがE26口金なので、照明器具を替えることなくご使用いただけます。<br>
●密閉形器具にもご使用可能です。<br>
●長寿命約40000時間でランプ交換の手間が少ないLED電球です。<br>
●明るさ(lm):485<br>
●外径(mm):58<br>
●全長(mm):107<br>
●定格寿命(時間):40000<br>
●消費電力(W):4.9<br>
●標準消費電力料金:0.13円/h<br>
●口金:E26<br>
●相当電球(W形):40<br>
●配光角度:120度<br>
●光源色:電球色<br>
●光源色:電球色相当<br>
●電源:AC100V(50/60Hz)<br>
●配光角度:120度<br>
●定格寿命：40001時間<br>
●アルミ、ポリカーボネート、PBT",■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1：クローバー資材館,■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1,工事用品\作業灯・照明用品。■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1[rn]
16-27632,,6566.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒Ｐｒｉｎｃｅｔｏｎ Ｔｅｃ社/ＰＲＩＮＣＥＴＯＮ ＬＥＤライト【TORRBK】(8193167) ＬＥＤライトＴｏｒｒｅｎｔ ＬＥＤ ブラック 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●330lmでパワフルなライトとなっています。<br>
●安全面を考慮してスイッチ部分をロックすることができます。<br>
●全光束(lm):330<br>
●外径(mm):44<br>
●全長(mm):165<br>
●色:ブラック<br>
●電源:単3形乾電池(8個)付属<br>
●最大点灯時間:30時間<br>
●保護等級:IPX8<br>
●100m防水",■〒Ｐｒｉｎｃｅｔｏｎ Ｔｅｃ社/ＰＲＩＮＣＥＴＯＮ ＬＥＤライト【TORRBK】(8193167) ＬＥＤライトＴｏｒｒｅｎｔ ＬＥＤ ブラック 発注単位1：クローバー資材館,■〒Ｐｒｉｎｃｅｔｏｎ Ｔｅｃ社/ＰＲＩＮＣＥＴＯＮ ＬＥＤライト【TORRBK】(8193167) ＬＥＤライトＴｏｒｒｅｎｔ ＬＥＤ ブラック 発注単位1,工事用品\作業灯・照明用品。■〒Ｐｒｉｎｃｅｔｏｎ Ｔｅｃ社/ＰＲＩＮＣＥＴＯＮ ＬＥＤライト【TORRBK】(8193167) ＬＥＤライトＴｏｒｒｅｎｔ ＬＥＤ ブラック 発注単位1[rn]
16-27633,,8100.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ジェントス/ＧＥＮＴＯＳ ＬＥＤライト【GF-008RG】(7797991) ＧＥＮＴＯＳ Ｇシリーズ ハンディライト 008ＲＧ 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●独自開発のツイストフォーカスを搭載し、美しいサークルワイドビームとスポットビームを実現しました。<br>
●専用充電池で小型・高出力のハンディLEDライトです。<br>
●全光束(lm):400<br>
●外径(mm):33<br>
●全長(mm):179<br>
●明るさ(lm):400<br>
●電源:専用充電池<br>
●充電時間:4時間<br>
●最大点灯時間:約5時間(Hiモード時)<br>
●防塵防滴仕様<br>
●本体:アルミ<br>
●専用充電池<br>
●オリジナルポーチ<br>
●ストラップ<br>
●チャージングマウント<br>
●Micro USBケーブル<br>
●ACアダプター<br>
●壁留めビス5本<br>
●電球交換できません。<br>
●LEDは決して直視しないでください。",■〒ジェントス/ＧＥＮＴＯＳ ＬＥＤライト【GF-008RG】(7797991) ＧＥＮＴＯＳ Ｇシリーズ ハンディライト 008ＲＧ 発注単位1：クローバー資材館,■〒ジェントス/ＧＥＮＴＯＳ ＬＥＤライト【GF-008RG】(7797991) ＧＥＮＴＯＳ Ｇシリーズ ハンディライト 008ＲＧ 発注単位1,工事用品\作業灯・照明用品。■〒ジェントス/ＧＥＮＴＯＳ ＬＥＤライト【GF-008RG】(7797991) ＧＥＮＴＯＳ Ｇシリーズ ハンディライト 008ＲＧ 発注単位1[rn]
16-27634,,10368.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒Ｐｒｉｎｃｅｔｏｎ Ｔｅｃ社/ＰＲＩＮＣＥＴＯＮ ＬＥＤライト【SPOTBO】(8193161) ＰＲＩＮＣＥＴＯＮ ＬＥＤライトＳｅｃｔｏｒ 5 オレンジ 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ヒートシンクテクノロジーでライト本体の熱が上がるのを防止します。<br>
●安全面を考慮してスイッチ部分をロックすることができます。<br>
●全光束(lm):550<br>
●外径(mm):114<br>
●全長(mm):152<br>
●色:オレンジ<br>
●電源:単2形乾電池(4個)付属<br>
●最大点灯時間:24時間<br>
●保護等級:IPX8<br>
●100m防水",■〒Ｐｒｉｎｃｅｔｏｎ Ｔｅｃ社/ＰＲＩＮＣＥＴＯＮ ＬＥＤライト【SPOTBO】(8193161) ＰＲＩＮＣＥＴＯＮ ＬＥＤライトＳｅｃｔｏｒ 5 オレンジ 発注単位1：クローバー資材館,■〒Ｐｒｉｎｃｅｔｏｎ Ｔｅｃ社/ＰＲＩＮＣＥＴＯＮ ＬＥＤライト【SPOTBO】(8193161) ＰＲＩＮＣＥＴＯＮ ＬＥＤライトＳｅｃｔｏｒ 5 オレンジ 発注単位1,工事用品\作業灯・照明用品。■〒Ｐｒｉｎｃｅｔｏｎ Ｔｅｃ社/ＰＲＩＮＣＥＴＯＮ ＬＥＤライト【SPOTBO】(8193161) ＰＲＩＮＣＥＴＯＮ ＬＥＤライトＳｅｃｔｏｒ 5 オレンジ 発注単位1[rn]
16-27635,,40608.0000,,花・ガーデン・DIY > DIY・工具 > その他,###■〒ティーネットジャパン/ネオビーナス 照明器具【NV250XCW-H120C】(8192684) ネオビーナス 250Ｘ 吊下げ型 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●安心の日本製です。<br>
●-40℃～+60℃と広い使用環境温度です。<br>
●レンズ選択で自由な照明設計ができます。<br>
●日亜化学工業（株）製LEDチップを採用しています。<br>
●超軽量化を実現（マグネシウム合金採用）しました。<br>
●高効率専用電源（日本製）を採用しております。<br>
●屋内の照明にお使い頂けます。<br>
●屋内の照明にお使い頂けます。<br>
●明るさ(lm):8000<br>
●消費電力(W):69W(AC200V)/70W(AC100V)<br>
●標準消費電力料金:1.10円/h<br>
●電源(V):AC100～254<br>
●配光角度(度):120<br>
●幅(mm):270<br>
●高さ(mm):587<br>
●相当水銀灯(W形):250<br>
●外径(mm):226<br>
●全長(mm):587<br>
●長さ(mm):270<br>
●タイプ:吊下げ型<br>
●配光角度:120<br>
●演色性:Ra70<br>
●定格寿命(時間):60000h(55℃)/50000h(60℃)<br>
●光源色:白色<br>
●相当W数:MF150<br>
●定格電圧(V):AC100～254<br>
●電圧(V):AC100V～254V<br>
●相当水銀灯(W形):250W形、メタルハライドランプ(W形):150W形<br>
●全光束(lm):8000<br>
●光源色:白色(5000K)<br>
●電源周波数：50/60Hz<br>
●電源別<br>
●定格電圧：AC100V～AC254V（許容範囲AC90V～AC279V）<br>
●保護等級:IP67<br>
●筐体：マグネシウム合金<br>
●取り付けには別途工事が必要です。",###■〒ティーネットジャパン/ネオビーナス 照明器具【NV250XCW-H120C】(8192684) ネオビーナス 250Ｘ 吊下げ型 発注単位1：クローバー資材館,###■〒ティーネットジャパン/ネオビーナス 照明器具【NV250XCW-H120C】(8192684) ネオビーナス 250Ｘ 吊下げ型 発注単位1,工事用品\作業灯・照明用品。###■〒ティーネットジャパン/ネオビーナス 照明器具【NV250XCW-H120C】(8192684) ネオビーナス 250Ｘ 吊下げ型 発注単位1[rn]
16-27636,,8920.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ジェントス/ＧＥＮＴＯＳ ライト【EX-000R】(8193908) ＧＥＮＴＯＳ ＬＥＤランタン ＥＸ－000Ｒ 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●充電、給電ポートを搭載しています。<br>
●USB機器に給電可能です。<br>
●全光束(lm):1000<br>
●全長(mm):189<br>
●光源:チップタイプ白色ＬＥＤ×５灯、チップタイプ暖色ＬＥＤ×５灯<br>
●明るさ:約1000ルーメン(Hiモード時)<br>
●電源:専用充電池または単１アルカリ電池(３個)<br>
●実用点灯時間：3時間<br>
●本体サイズ:φ102.2×189mm<br>
●スローライティングスイッチ仕様<br>
●2m防水<br>
●10m落下耐久<br>
●本体:ABS樹脂<br>
●専用充電池<br>
●ハンガークリップ<br>
●マイクロUSBケーブル(50cm)",■〒ジェントス/ＧＥＮＴＯＳ ライト【EX-000R】(8193908) ＧＥＮＴＯＳ ＬＥＤランタン ＥＸ&minus;000Ｒ 発注単位1：クローバー資材館,■〒ジェントス/ＧＥＮＴＯＳ ライト【EX-000R】(8193908) ＧＥＮＴＯＳ ＬＥＤランタン ＥＸ&minus;000Ｒ 発注単位1,工事用品\作業灯・照明用品。■〒ジェントス/ＧＥＮＴＯＳ ライト【EX-000R】(8193908) ＧＥＮＴＯＳ ＬＥＤランタン ＥＸ&minus;000Ｒ 発注単位1[rn]
16-27637,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833317.jpg?fitin=700:700,19476.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒嵯峨電機工業/ｓａｇａ　ストロングライト【SL-13TR-8】(2530317) 受注単位1,工事用品\作業灯・照明用品\作業用ハンディライト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●明るさは白熱電球60W相当で、照明部外筒外径は47mmです。<br>●蛍光灯は白熱電球ほど発熱しないので、火傷の心配もなく安全に作業ができます。<br>●蛍光灯は丈夫なポリカーボネートの筒の中、大きな衝撃や落下にも、ガラス破片の散乱の心配がありません。",『カード対応OK！』■〒嵯峨電機工業/ｓａｇａ　ストロングライト【SL-13TR-8】(2530317) 受注単位1：クローバー資材館,『カード対応OK！』■〒嵯峨電機工業/ｓａｇａ　ストロングライト【SL-13TR-8】(2530317) 受注単位1,工事用品\作業灯・照明用品\作業用ハンディライト。『カード対応OK！』■〒嵯峨電機工業/ｓａｇａ　ストロングライト【SL-13TR-8】(2530317) 受注単位1[rn]
16-27638,,4942.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒カネテック/カネテック マグネット工具【ME-BLW20F】(8199217) カネテック 防水型ＬＥＤライトスタンド 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●強力なマグネット吸着力により、水平面から傾斜面まで簡単に取付が可能な防水対応(IP67相当)の小型LEDライトスタンドです。<br>
●現場作業や検査作業に。<br>
●水が飛散する場所での部分照明などに。<br>
●吸着力(N):100<br>
●マグネット幅×奥行×高さ(mm):30×30×25<br>
●全高(mm):324<br>
●LEDライト部寸法:φ34×138<br>
●全高:324mm<br>
●電源:単4乾電池×3本（別売）<br>
●LEDライト:1灯<br>
●全光束:約1000lm<br>
●ライト部寸法:φ34×138mm<br>
●明暗2段切替機能付<br>
●照度:約2000lx<br>
●IP67相当の防水・防塵性構造(LEDライト部のみ)<br>
●明暗2段階照度切替え機能付き<br>
●電池寿命：連続点灯約5時間(新品アルカリ電池使用時)",■〒カネテック/カネテック マグネット工具【ME-BLW20F】(8199217) カネテック 防水型ＬＥＤライトスタンド 発注単位1：クローバー資材館,■〒カネテック/カネテック マグネット工具【ME-BLW20F】(8199217) カネテック 防水型ＬＥＤライトスタンド 発注単位1,工事用品\作業灯・照明用品。■〒カネテック/カネテック マグネット工具【ME-BLW20F】(8199217) カネテック 防水型ＬＥＤライトスタンド 発注単位1[rn]
16-27639,,6884.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アイリスオーヤマ/ＩＲＩＳ LEDライト (業務用）【LDG32T-N-18-25MS2O】(8202970) 人感センサー付直管形LED 高照度 40形(32形) 2500ｌｍ 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●人の動きを感知して点灯する人感センサー付LEDランプです。<br>
●人が離れると自動で明るさを減光するため省エネです。<br>
●人がいなくなって約20秒後に徐々に減光し、減光から5秒で完全に消灯します。<br>
●倉庫や通路、ロッカーなどの時折人が出入りする場所におすすめです。<br>
●明るさ(lm):2500<br>
●管長(mm):1198.7<br>
●口金:G13<br>
●消費電力(W)100V:17.8<br>
●消費電力(W)200V:17.8<br>
●標準消費電力料金(100V):0.48円/h<br>
●標準消費電力料金(200V):0.48円/h<br>
●定格寿命(時間):40000<br>
●全光束(lm):2500<br>
●定格電圧:100～242V<br>
●口金:G13<br>
●演色性:Ra83<br>
●光源色:昼白色相当<br>
●40W形相当<br>
●動作環境温度：5℃～35℃<br>
●定格電圧:100～242V<br>
●口金:G13<br>
●演色性:Ra83<br>
●40W形相当<br>
●光源色:昼白色相当<br>
●アルミニウム<br>
●ポリカーボネート<br>
●真鍮<br>
●取り付けには別途工事が必要です。",■〒アイリスオーヤマ/ＩＲＩＳ LEDライト (業務用）【LDG32T-N-18-25MS2O】(8202970) 人感センサー付直管形LED 高照度 40形(32形) 2500ｌｍ 発注単位1：クローバー資材館,■〒アイリスオーヤマ/ＩＲＩＳ LEDライト (業務用）【LDG32T-N-18-25MS2O】(8202970) 人感センサー付直管形LED 高照度 40形(32形) 2500ｌｍ 発注単位1,工事用品\作業灯・照明用品。■〒アイリスオーヤマ/ＩＲＩＳ LEDライト (業務用）【LDG32T-N-18-25MS2O】(8202970) 人感センサー付直管形LED 高照度 40形(32形) 2500ｌｍ 発注単位1[rn]
16-27640,,34398.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ジェントス/ＧＥＮＴＯＳ ライト【GZ-BF50】(8193858) ＧＥＮＴＯＳ 防爆ＬＥＤ投光器 ＧＡＮＺ ＢＦ50 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●光源にCOB LEDを採用し、広範囲を均一に照射可能です。<br>
●明るさ(lm):1500<br>
●高さ(mm):167<br>
●幅(mm):268<br>
●奥行(mm):119<br>
●全光束(lm):1500<br>
●IP67<br>
●防爆構造:Exdemb[[(R2)]]c T4Gb(Zone1､2)<br>
●実用点灯時間：2時間(Hiモード時)<br>
●充電時間：約4時間<br>
●光源：白色ＣＯＢ　ＬＥＤ×１灯<br>
●充電式防爆投光器<br>
●電源：専用内蔵充電池<br>
●本体：アルミニウム、ポリカーボネイト",■〒ジェントス/ＧＥＮＴＯＳ ライト【GZ-BF50】(8193858) ＧＥＮＴＯＳ 防爆ＬＥＤ投光器 ＧＡＮＺ ＢＦ50 発注単位1：クローバー資材館,■〒ジェントス/ＧＥＮＴＯＳ ライト【GZ-BF50】(8193858) ＧＥＮＴＯＳ 防爆ＬＥＤ投光器 ＧＡＮＺ ＢＦ50 発注単位1,工事用品\作業灯・照明用品。■〒ジェントス/ＧＥＮＴＯＳ ライト【GZ-BF50】(8193858) ＧＥＮＴＯＳ 防爆ＬＥＤ投光器 ＧＡＮＺ ＢＦ50 発注単位1[rn]
16-27641,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005028342.jpg?fitin=700:700,26713.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ　屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ【LDR100/200V50W-H-E39】(4124464) 受注単位1,工事用品\作業灯・照明用品\ＬＥＤランプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ランプ交換のみでの省エネが可能です。<br>●従来の水銀灯に比べ電源投入後すぐに明るく点灯します。",『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ　屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ【LDR100/200V50W-H-E39】(4124464) 受注単位1：クローバー資材館,『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ　屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ【LDR100/200V50W-H-E39】(4124464) 受注単位1,工事用品\作業灯・照明用品\ＬＥＤランプ。『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ　屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ【LDR100/200V50W-H-E39】(4124464) 受注単位1[rn]
16-27642,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005028209.jpg?fitin=700:700,18506.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ　屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ【LDR100/200V27D-H-E39】(4124413) 受注単位1,工事用品\作業灯・照明用品\ＬＥＤランプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ランプ交換のみでの省エネが可能です。<br>●従来の水銀灯に比べ電源投入後すぐに明るく点灯します。",『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ　屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ【LDR100/200V27D-H-E39】(4124413) 受注単位1：クローバー資材館,『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ　屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ【LDR100/200V27D-H-E39】(4124413) 受注単位1,工事用品\作業灯・照明用品\ＬＥＤランプ。『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ　屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ【LDR100/200V27D-H-E39】(4124413) 受注単位1[rn]
16-27643,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005028210.jpg?fitin=700:700,26713.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ　屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ【LDR100/200V50D-H-E39】(4124448) 受注単位1,工事用品\作業灯・照明用品\ＬＥＤランプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ランプ交換のみでの省エネが可能です。<br>●従来の水銀灯に比べ電源投入後すぐに明るく点灯します。",『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ　屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ【LDR100/200V50D-H-E39】(4124448) 受注単位1：クローバー資材館,『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ　屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ【LDR100/200V50D-H-E39】(4124448) 受注単位1,工事用品\作業灯・照明用品\ＬＥＤランプ。『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ　屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ【LDR100/200V50D-H-E39】(4124448) 受注単位1[rn]
16-27644,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005028341.jpg?fitin=700:700,18506.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ　屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ【LDR100/200V27W-H-E39】(4124430) 受注単位1,工事用品\作業灯・照明用品\ＬＥＤランプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ランプ交換のみでの省エネが可能です。<br>●従来の水銀灯に比べ電源投入後すぐに明るく点灯します。",『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ　屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ【LDR100/200V27W-H-E39】(4124430) 受注単位1：クローバー資材館,『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ　屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ【LDR100/200V27W-H-E39】(4124430) 受注単位1,工事用品\作業灯・照明用品\ＬＥＤランプ。『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ　屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ【LDR100/200V27W-H-E39】(4124430) 受注単位1[rn]
16-27645,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002796247.jpg?fitin=700:700,2924.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒室本鉄工/メリー　強力プラニッパ（平刃）１５０ｍｍ【99SF-150】(3273776) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●太径に適したニッパです。<br>●平刃タイプです。<br>●刃のくい違い防止ストッパー付です。",『カード対応OK！』■〒室本鉄工/メリー　強力プラニッパ（平刃）１５０ｍｍ【99SF-150】(3273776) 受注単位1：クローバー資材館,『カード対応OK！』■〒室本鉄工/メリー　強力プラニッパ（平刃）１５０ｍｍ【99SF-150】(3273776) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒室本鉄工/メリー　強力プラニッパ（平刃）１５０ｍｍ【99SF-150】(3273776) 受注単位1[rn]
16-27646,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002860750.jpg?fitin=700:700,1841.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フジ矢/フジ矢　ハイ強力ニッパ　１７５ｍｍ【70H-175 (175MM)】(1178831) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●刃部の強靭性や硬度を高くし、長持ちするように特殊熱処理を施しています。<br>●握り部分は、ローレット仕上げの樹脂グリップです。",『カード対応OK！』■〒フジ矢/フジ矢　ハイ強力ニッパ　１７５ｍｍ【70H-175 (175MM)】(1178831) 受注単位1：クローバー資材館,『カード対応OK！』■〒フジ矢/フジ矢　ハイ強力ニッパ　１７５ｍｍ【70H-175 (175MM)】(1178831) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒フジ矢/フジ矢　ハイ強力ニッパ　１７５ｍｍ【70H-175 (175MM)】(1178831) 受注単位1[rn]
16-27647,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005144755.jpg?fitin=700:700,1936.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ＥＳＤチップカッター　１１５ｍｍ【NZ-03】(3688097) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●垂直精密作業での細いワイヤ切断に最適です。<br>●刃の開き幅が調整できるねじが装着されています。<br>●環境に優しいエラストマー樹脂を採用し、手にも優しくフィットします。<br>●刃部硬度は、HRC58±4です。",『カード対応OK！』■〒エンジニア/エンジニア　ＥＳＤチップカッター　１１５ｍｍ【NZ-03】(3688097) 受注単位1：クローバー資材館,『カード対応OK！』■〒エンジニア/エンジニア　ＥＳＤチップカッター　１１５ｍｍ【NZ-03】(3688097) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒エンジニア/エンジニア　ＥＳＤチップカッター　１１５ｍｍ【NZ-03】(3688097) 受注単位1[rn]
16-27648,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002866869.jpg?fitin=700:700,1650.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フジ矢/フジ矢　スタンダードニッパバネ付　１２５ｍｍ【60S-125 (125MM)】(1178512) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●軽くて強靭なスタンダードタイプです。",『カード対応OK！』■〒フジ矢/フジ矢　スタンダードニッパバネ付　１２５ｍｍ【60S-125 (125MM)】(1178512) 受注単位1：クローバー資材館,『カード対応OK！』■〒フジ矢/フジ矢　スタンダードニッパバネ付　１２５ｍｍ【60S-125 (125MM)】(1178512) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒フジ矢/フジ矢　スタンダードニッパバネ付　１２５ｍｍ【60S-125 (125MM)】(1178512) 受注単位1[rn]
16-27649,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002848658.jpg?fitin=700:700,2835.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒室本鉄工/メリー　強力ニッパ（成形カバー付）２００ｍｍ【205H-200 (ｾｲｹｲｶﾊﾞｰﾂｷ)】(2877953) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●電工関係に最適です。<br>●205（強力ニッパ）の柄部に成形カバーを被覆し、大変使いやすくなっています。",『カード対応OK！』■〒室本鉄工/メリー　強力ニッパ（成形カバー付）２００ｍｍ【205H-200 (ｾｲｹｲｶﾊﾞｰﾂｷ)】(2877953) 受注単位1：クローバー資材館,『カード対応OK！』■〒室本鉄工/メリー　強力ニッパ（成形カバー付）２００ｍｍ【205H-200 (ｾｲｹｲｶﾊﾞｰﾂｷ)】(2877953) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒室本鉄工/メリー　強力ニッパ（成形カバー付）２００ｍｍ【205H-200 (ｾｲｹｲｶﾊﾞｰﾂｷ)】(2877953) 受注単位1[rn]
