21-9401,http://tshop.r10s.jp/monju/cabinet/00564959/img56531993.jpg?fitin=700:700,481.6000,,花・ガーデン・DIY > DIY・工具 > その他,コンドル　庭ほうきブルロン 700mm,,"＜用途＞
●屋外用掃き掃除<br><p>

＜材質＞<br>
●ハンドル：スチールパイプ<br>
●甲・毛：ポリプロピレン<br>
●毛：ポロプロピレン50％<br>
　　　アレンファイバー50％<br><p>

サイズ：220×700mm<br>
質量：220g<br>",コンドル　庭ほうきブルロン 700mm：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアコンドル　庭ほうきブルロン 700mm,コンドル　庭ほうきブルロン 700mm[rn]
21-9423,http://tshop.r10s.jp/monju/cabinet/00564959/img56530653.jpg?fitin=700:700,618.4000,,花・ガーデン・DIY > DIY・工具 > その他,田中工業木柄スコップ　510mm,,"特長<BR>
●溝に詰まったゴミの除去、モルタル・セメントの混ぜ合わせ作業に最適です。<BR>
<br>
<br>
材質<BR>
●頭部：鉄(表面処理鋼板)<BR>
●柄：天然木<BR>
<BR>
<BR>
仕様<BR>
●全長：510mm<BR>
●スコップ幅×奥行：150×183mm<BR>
●質量：370g <BR><br>",田中工業木柄スコップ　510mm：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア田中工業木柄スコップ　510mm,田中工業木柄スコップ　510mm[rn]
21-9424,http://tshop.r10s.jp/monju/cabinet/00564959/img56530397.jpg?fitin=700:700,149.6000,,花・ガーデン・DIY > DIY・工具 > その他,キクロン　スポンジたわし　キクロンC型　125×90×40,,"特長<BR>
●泡立ちがよく泡を逃がしにくいです。<BR>
●高品質磨き機能のナイロン不織布と貼り合わせた大きめサイズ(抗菌加工)です。<BR>
<BR>
<BR>
材質<BR>
●ナイロン不織布(研磨粒子付)、ウレタンスポンジ<BR>
●サイズ：125×90×40mm <BR><br>",キクロン　スポンジたわし　キクロンC型　125&times;90&times;40：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアキクロン　スポンジたわし　キクロンC型　125&times;90&times;40,キクロン　スポンジたわし　キクロンC型　125&times;90&times;40[rn]
21-9425,http://tshop.r10s.jp/monju/cabinet/00564959/img55375155.jpg?fitin=700:700,5616.0000,,花・ガーデン・DIY > DIY・工具 > その他,TRUSCO(トラスコ)パークくず入れ（公園で見かけるゴミ箱です） 80Lタイプ　PK-80M,,"直径：470ｍｍ<br>
高さ：635ｍｍ<br>
質量：4.3ｋｇ<br>",TRUSCO(トラスコ)パークくず入れ（公園で見かけるゴミ箱です） 80Lタイプ　PK-80M：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアTRUSCO(トラスコ)パークくず入れ（公園で見かけるゴミ箱です） 80Lタイプ　PK-80M,TRUSCO(トラスコ)パークくず入れ（公園で見かけるゴミ箱です） 80Lタイプ　PK-80M[rn]
21-9426,http://tshop.r10s.jp/monju/cabinet/00564959/img55993881.jpg?fitin=700:700,447.2000,,花・ガーデン・DIY > DIY・工具 > その他,3M(スリーエム)　スコッチブライト　ナイロンたわし　No.94,,"洗うものに合わせて折ったり切ったり出来るタワシです<br>
重ねたり適当なサイズに切って、通常のタワシとしても使用できます<br>
101×635×8mm厚<br>",3M(スリーエム)　スコッチブライト　ナイロンたわし　No.94：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア3M(スリーエム)　スコッチブライト　ナイロンたわし　No.94,3M(スリーエム)　スコッチブライト　ナイロンたわし　No.94[rn]
21-9427,http://tshop.r10s.jp/monju/cabinet/00564959/img56530496.jpg?fitin=700:700,457.6000,,花・ガーデン・DIY > DIY・工具 > その他,3M(スリーエム)　スコッチブライト　抗菌スポンジロングパイルネット150×80×55,,"特長<BR>
●油もこびりつきも落とせます。<BR>
●ミニサイズなので細かいところまで洗いやすいです。<BR>
<BR>
<BR>
材質<BR>
●抗菌ウレタンスポンジネット：アクリル、ポリエステル<BR>
●サイズ：150×80×55mm <BR><br>",3M(スリーエム)　スコッチブライト　抗菌スポンジロングパイルネット150&times;80&times;55：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア3M(スリーエム)　スコッチブライト　抗菌スポンジロングパイルネット150&times;80&times;55,3M(スリーエム)　スコッチブライト　抗菌スポンジロングパイルネット150&times;80&times;55[rn]
21-9428,http://tshop.r10s.jp/monju/cabinet/bond/126-3838.jpg?fitin=700:700,952.0000,,花・ガーデン・DIY > DIY・工具 > その他,ThreeBond(スリーボンド)　ネジロック　TB1401B-200  緑色  200G,,"<center>
<TABLE border=""0"">
  <TR>
    <TD rowspan=""4""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●合成樹脂が主成分です</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●優れたゆるみ止め効果</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●取外し簡単</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●比較的小さな取外しハンドの多いねじ</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><B><FONT size=""-1"">&lt;用途&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●ねじのゆるみ、もれ、さび防止剤</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●色：緑</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><FONT size=""-1""><B>&lt;材質&gt;</B></FONT></TD>
    <TD><FONT size=""-1"">●主成分：酢酸ビニール樹脂</FONT></TD>
  </TR></TABLE></center><br>",ThreeBond(スリーボンド)　ネジロック　TB1401B-200  緑色  200G：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアThreeBond(スリーボンド)　ネジロック　TB1401B-200  緑色  200G,ThreeBond(スリーボンド)　ネジロック　TB1401B-200  緑色  200G[rn]
21-9429,http://tshop.r10s.jp/monju/cabinet/outlet/r55-4.jpg?fitin=700:700,88.0000,,花・ガーデン・DIY > DIY・工具 > その他,【在庫処分品】大同端子銅線用　圧着端子　10個入R5.5-4,,"<center>
<table border=""0"">
  <tr>
    <td align=""center""><b><font color=""#ff0000"">在庫処分品</font></b></td>
  </tr><tr>
    <td align=""center"">
    <hr>
    </td>
  </tr><tr>
    <td><font size=""-1"">10個入り</font></td>
  </tr><tr>
    <td><font size=""-1"">サイズ：R5.5-4</font></td>
  </tr>
</table>
</center><br>",【在庫処分品】大同端子銅線用　圧着端子　10個入R5.5-4：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア【在庫処分品】大同端子銅線用　圧着端子　10個入R5.5-4,【在庫処分品】大同端子銅線用　圧着端子　10個入R5.5-4[rn]
21-9430,http://tshop.r10s.jp/monju/cabinet/outlet/r35-4.jpg?fitin=700:700,480.0000,,花・ガーデン・DIY > DIY・工具 > その他,【在庫処分品】ニチフ裸端子　丸形　50個入R3.5-4,,"<center>
<table border=""0"">
  <tr>
    <td align=""center""><b><font color=""#ff0000"">在庫処分品</font></b></td>
  </tr><tr>
    <td align=""center"">
    <hr>
    </td>
  </tr><tr>
    <td><font size=""-1"">50個入り</font></td>
  </tr><tr>
    <td><font size=""-1"">サイズ：R3.5-4</font></td>
  </tr>
</table>
</center><br>",【在庫処分品】ニチフ裸端子　丸形　50個入R3.5-4：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア【在庫処分品】ニチフ裸端子　丸形　50個入R3.5-4,【在庫処分品】ニチフ裸端子　丸形　50個入R3.5-4[rn]
21-9431,http://tshop.r10s.jp/monju/cabinet/outlet/r55-5.jpg?fitin=700:700,88.0000,,花・ガーデン・DIY > DIY・工具 > その他,【在庫処分品】大同端子銅線用　圧着端子　10個入R5.5-5,,"<center>
<table border=""0"">
  <tr>
    <td align=""center""><b><font color=""#ff0000"">在庫処分品</font></b></td>
  </tr><tr>
    <td align=""center"">
    <hr>
    </td>
  </tr><tr>
    <td><font size=""-1"">10個入り</font></td>
  </tr><tr>
    <td><font size=""-1"">サイズ：R5.5-5</font></td>
  </tr>
</table>
</center><br>",【在庫処分品】大同端子銅線用　圧着端子　10個入R5.5-5：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア【在庫処分品】大同端子銅線用　圧着端子　10個入R5.5-5,【在庫処分品】大同端子銅線用　圧着端子　10個入R5.5-5[rn]
21-9432,http://tshop.r10s.jp/monju/cabinet/outlet/cd-16eb-01.jpg?fitin=700:700,288.8000,,花・ガーデン・DIY > DIY・工具 > その他,【在庫処分品・B級品】プラフレキCD用エンドブッシング 100個入FCD-16EB,,"<center>
<TABLE border=""0"">
  <TR>
    <TD><FONT size=""-1"">◆プラフレキCDの端末保護・防塵用に使用します</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">◆100個入</FONT></TD>
  </TR><TR>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/outlet/cd-16eb-02.gif""></TD>
  </TR><TR>
    <TD align=""center"">
    <TABLE border=""1"">
      <TR>
        <TD rowspan=""2"" align=""center""><B><FONT size=""-1"">適合サイズ</FONT></B></TD>
        <TD colspan=""3"" align=""center""><B><FONT size=""-1"">寸法(mm)</FONT></B></TD>
      </TR><TR>
        <TD align=""center""><B><FONT size=""-1"">A</FONT></B></TD>
        <TD align=""center""><B><FONT size=""-1"">B</FONT></B></TD>
        <TD align=""center""><B><FONT size=""-1"">L</FONT></B></TD>
      </TR><TR>
        <TD align=""center""><FONT size=""-1"">CD-16</FONT></TD>
        <TD align=""center""><FONT size=""-1"">27</FONT></TD>
        <TD align=""center""><FONT size=""-1"">16.0</FONT></TD>
        <TD align=""center""><FONT size=""-1"">23</FONT></TD>
      </TR>
    </TABLE>
    </TD>
  </TR>
</TABLE></center><br>",【在庫処分品・B級品】プラフレキCD用エンドブッシング 100個入FCD-16EB：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア【在庫処分品・B級品】プラフレキCD用エンドブッシング 100個入FCD-16EB,【在庫処分品・B級品】プラフレキCD用エンドブッシング 100個入FCD-16EB[rn]
21-9433,http://tshop.r10s.jp/monju/cabinet/outlet/ul94v-0.jpg?fitin=700:700,164.8000,,花・ガーデン・DIY > DIY・工具 > その他,【在庫処分品】ニチフ絶縁被覆付閉端接続子10個入　UL94V-0,,"<center>
<TABLE border=""0""><TR>
    <TD align=""center""><B><FONT color=""#ff0000"">在庫処分品</FONT></B></TD>
  </TR><TR>
    <TD align=""center"">
    <HR>
    </TD>
  </TR><TR>
    <TD><FONT size=""-1"">10個入り</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">・銅線専用です</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">・電線抱合範囲内でご使用下さい</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">・吸水性がありますので保管等にご注意ください</FONT></TD>
  </TR><TR>
    <TD></TD>
  </TR><TR>
    <TD align=""center"">
    <TABLE border=""1"">
      <TR>
        <TD rowspan=""2"" align=""center""><B><FONT size=""-1"">材質</FONT></B></TD>
        <TD><FONT size=""-1"">接続子…無酸素銅管(電気すずめっき)</FONT></TD>
      </TR><TR>
        <TD><FONT size=""-1"">絶縁体…ナイロン</FONT></TD>
      </TR><TR>
        <TD align=""center""><B><FONT size=""-1"">定格電圧</FONT></B></TD>
        <TD><FONT size=""-1"">300V</FONT></TD>
      </TR><TR>
        <TD align=""center""><B><FONT size=""-1"">定格電流</FONT></B></TD>
        <TD><FONT size=""-1"">17A</FONT></TD>
      </TR><TR>
        <TD align=""center""><B><FONT size=""-1"">使用温度範囲</FONT></B></TD>
        <TD><FONT size=""-1"">-40℃～+105℃</FONT></TD>
      </TR><TR>
        <TD align=""center""><B><FONT size=""-1"">難燃性</FONT></B></TD>
        <TD><FONT size=""-1"">特注品仕様</FONT></TD>
      </TR>
    </TABLE>
    </TD>
  </TR><TR>
    <TD><FONT size=""-1"">※機器内用です。屋内配線ではご使用になれません</FONT></TD>
  </TR></TABLE></center><br>",【在庫処分品】ニチフ絶縁被覆付閉端接続子10個入　UL94V-0：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア【在庫処分品】ニチフ絶縁被覆付閉端接続子10個入　UL94V-0,【在庫処分品】ニチフ絶縁被覆付閉端接続子10個入　UL94V-0[rn]
21-9434,http://tshop.r10s.jp/monju/cabinet/outlet/pce4020-m.jpg?fitin=700:700,121.6000,,花・ガーデン・DIY > DIY・工具 > その他,【在庫処分品】ニチフピン端子露出PCE形 M形　10個入PCE4020-M,,"<center>
<table border=""0"">
  <tr>
    <td align=""center""><b><font color=""#ff0000"">在庫処分品</font></b></td>
  </tr><tr>
    <td align=""center"">
    <hr>
    </td>
  </tr><tr>
    <td align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/outlet/pce4009-m-01.jpg""></td>
  </tr><tr>
    <td>
    <table border=""1"">
      <tr>
        <td rowspan=""2"" align=""center""><b><font size=""-1"">商品番号</font></b></td>
        <td colspan=""7"" align=""center""><b><font size=""-1"">各部の寸法（ｍｍ）</font></b></td>
        <td colspan=""2"" align=""center""><b><font size=""-1"">電線抱合範囲</font></b></td>
        <td rowspan=""2"" align=""center""><b><font size=""-1"">標準色</font></b></td>
      </tr><tr>
        <td align=""center""><b><font size=""-1"">φb</font></b></td>
        <td align=""center""><b><font size=""-1"">φB</font></b></td>
        <td align=""center""><b><font size=""-1"">φd</font></b></td>
        <td align=""center""><b><font size=""-1"">φD</font></b></td>
        <td align=""center""><b><font size=""-1"">L</font></b></td>
        <td align=""center""><b><font size=""-1"">F</font></b></td>
        <td align=""center""><b><font size=""-1"">H</font></b></td>
        <td align=""center""><b><font size=""-1"">撚線</font></b></td>
        <td align=""center""><b><font size=""-1"">AWG</font></b></td>
      </tr><tr>
        <td align=""center"">PCE4020-M</td>
        <td align=""center"">4.0</td>
        <td align=""center"">-</td>
        <td align=""center"">2.4</td>
        <td align=""center"">3.9</td>
        <td align=""center"">25.2</td>
        <td align=""center"">13.0</td>
        <td align=""center"">12.2</td>
        <td align=""center"">2.0mm<sup>2</sup></td>
        <td align=""center"">14</td>
        <td align=""center"">青</td>
      </tr>
    </table>
    </td>
  </tr>
</table>
</center><br>",【在庫処分品】ニチフピン端子露出PCE形 M形　10個入PCE4020-M：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア【在庫処分品】ニチフピン端子露出PCE形 M形　10個入PCE4020-M,【在庫処分品】ニチフピン端子露出PCE形 M形　10個入PCE4020-M[rn]
21-9435,http://tshop.r10s.jp/monju/cabinet/outlet/pc4020fwp.jpg?fitin=700:700,122.4000,,花・ガーデン・DIY > DIY・工具 > その他,【在庫処分品】ニチフ防水形ピン端子 10個入メス　TPC4020FWP,,"<center>
<TABLE border=""0""><TR>
    <TD align=""center""><B><FONT color=""#ff0000"">在庫処分品</FONT></B></TD>
  </TR><TR>
    <TD align=""center"">
    <HR>
    </TD>
  </TR><TR>
    <TD><FONT size=""-1"">防水キャップが水をシャットアウトします</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">防水性能:防水安全コードIP57です（IEC529）</FONT></TD>
  </TR><TR>
    <TD>　</TD>
  </TR><TR>
    <TD><FONT size=""-1"">主に機器内配線で防水性能および電線の抜き差しが必要な所の接続に</FONT></TD>
  </TR><TR>
    <TD>　</TD>
  </TR><TR>
    <TD><FONT size=""-1"">・電線抱合範囲より線：2.00mm<sup>2</sup></FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">・電線抱合範囲AWG：14</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">・色：青</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">・形状：メス</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">・外寸：6.9mm</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">・F：15.0mm</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">・全長：26.2mm</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">・内寸：3.9mm</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">・定格電圧：AC300V</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">・定格電流：15A(1.25mm<sup>2</sup>) 20A(2.0mm<sup>2</sup>)</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">・適合工具：NH-64（ニチフ 専用工具）</FONT></TD>
  </TR></TABLE></center><br>",【在庫処分品】ニチフ防水形ピン端子 10個入メス　TPC4020FWP：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア【在庫処分品】ニチフ防水形ピン端子 10個入メス　TPC4020FWP,【在庫処分品】ニチフ防水形ピン端子 10個入メス　TPC4020FWP[rn]
21-9436,http://tshop.r10s.jp/monju/cabinet/outlet/pc2005-m-10.jpg?fitin=700:700,122.4000,,花・ガーデン・DIY > DIY・工具 > その他,【在庫処分品】ニチフ差込形ピン端子 10個入(ピン端子内蔵PC形)PC2005-M,,"<center>
<TABLE border=""0""><TR>
    <TD align=""center""><B><FONT color=""#ff0000"">在庫処分品</FONT></B></TD>
  </TR><TR>
    <TD align=""center"">
    <HR>
    </TD>
  </TR><TR>
    <TD align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/outlet/m-type.gif""></TD>
  </TR><TR>
    <TD>
     <TABLE border=""1"">
      <TR>
        <TD rowspan=""2"" align=""center""><B><FONT size=""-1"">商品番号</FONT></B></TD>
        <TD colspan=""7"" align=""center""><B><FONT size=""-1"">各部の寸法（ｍｍ）</FONT></B></TD>
        <TD colspan=""2"" align=""center""><B><FONT size=""-1"">電線抱合範囲</FONT></B></TD>
        <TD rowspan=""2"" align=""center""><B><FONT size=""-1"">標準色</FONT></B></TD>
      </TR><TR>
        <TD align=""center""><B><FONT size=""-1"">φb</FONT></B></TD>
        <TD align=""center""><B><FONT size=""-1"">φB</FONT></B></TD>
        <TD align=""center""><B><FONT size=""-1"">φd</FONT></B></TD>
        <TD align=""center""><B><FONT size=""-1"">φD</FONT></B></TD>
        <TD align=""center""><B><FONT size=""-1"">L</FONT></B></TD>
        <TD align=""center""><B><FONT size=""-1"">F</FONT></B></TD>
        <TD align=""center""><B><FONT size=""-1"">H</FONT></B></TD>
        <TD align=""center""><B><FONT size=""-1"">撚線</FONT></B></TD>
        <TD align=""center""><B><FONT size=""-1"">AWG</FONT></B></TD>
      </TR><TR>
        <TD align=""center""><FONT size=""-1"">PC2005M</FONT></TD>
        <TD align=""center""><FONT size=""-1"">2.0</FONT></TD>
        <TD align=""center""><FONT size=""-1"">5.1</FONT></TD>
        <TD align=""center""><FONT size=""-1"">1.7</FONT></TD>
        <TD align=""center""><FONT size=""-1"">3.1</FONT></TD>
        <TD align=""center""><FONT size=""-1"">26.5</FONT></TD>
        <TD align=""center""><FONT size=""-1"">15.0</FONT></TD>
        <TD align=""center""><FONT size=""-1"">11.5</FONT></TD>
        <TD align=""center""><FONT size=""-1"">0.5mm<sup>2</sup>～0.75mm<sup>2</sup></FONT></TD>
        <TD align=""center""><FONT size=""-1"">20-18</FONT></TD>
        <TD align=""center""><FONT size=""-1"">透明</FONT></TD>
      </TR></TABLE>
</TD>
  </TR></TABLE></center><br>",【在庫処分品】ニチフ差込形ピン端子 10個入(ピン端子内蔵PC形)PC2005-M：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア【在庫処分品】ニチフ差込形ピン端子 10個入(ピン端子内蔵PC形)PC2005-M,【在庫処分品】ニチフ差込形ピン端子 10個入(ピン端子内蔵PC形)PC2005-M[rn]
21-9437,http://tshop.r10s.jp/monju/cabinet/outlet/pce4009-m.jpg?fitin=700:700,121.6000,,花・ガーデン・DIY > DIY・工具 > その他,【在庫処分品】ニチフピン端子露出PCE形 M形　10個入PCE4009-M,,"<center>
<table border=""0"">
  <tr>
    <td align=""center""><b><font color=""#ff0000"">在庫処分品</font></b></td>
  </tr><tr>
    <td align=""center"">
    <hr>
    </td>
  </tr><tr>
    <td align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/outlet/pce4009-m-01.jpg""></td>
  </tr><tr>
    <td>
    <table border=""1"">
      <tr>
        <td rowspan=""2"" align=""center""><b><font size=""-1"">商品番号</font></b></td>
        <td colspan=""7"" align=""center""><b><font size=""-1"">各部の寸法（ｍｍ）</font></b></td>
        <td colspan=""2"" align=""center""><b><font size=""-1"">電線抱合範囲</font></b></td>
        <td rowspan=""2"" align=""center""><b><font size=""-1"">標準色</font></b></td>
      </tr><tr>
        <td align=""center""><b><font size=""-1"">φb</font></b></td>
        <td align=""center""><b><font size=""-1"">φB</font></b></td>
        <td align=""center""><b><font size=""-1"">φd</font></b></td>
        <td align=""center""><b><font size=""-1"">φD</font></b></td>
        <td align=""center""><b><font size=""-1"">L</font></b></td>
        <td align=""center""><b><font size=""-1"">F</font></b></td>
        <td align=""center""><b><font size=""-1"">H</font></b></td>
        <td align=""center""><b><font size=""-1"">撚線</font></b></td>
        <td align=""center""><b><font size=""-1"">AWG</font></b></td>
      </tr><tr>
        <td align=""center"">PCE4009-M</td>
        <td align=""center"">4.0</td>
        <td align=""center"">-</td>
        <td align=""center"">1.8</td>
        <td align=""center"">3.2</td>
        <td align=""center"">25.2</td>
        <td align=""center"">13.0</td>
        <td align=""center"">12.2</td>
        <td align=""center"">0.75～1.25mm<sup>2</sup></td>
        <td align=""center"">18-16</td>
        <td align=""center"">赤</td>
      </tr>
    </table>
    </td>
  </tr>
</table>
</center><br>",【在庫処分品】ニチフピン端子露出PCE形 M形　10個入PCE4009-M：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア【在庫処分品】ニチフピン端子露出PCE形 M形　10個入PCE4009-M,【在庫処分品】ニチフピン端子露出PCE形 M形　10個入PCE4009-M[rn]
21-9438,http://tshop.r10s.jp/monju/cabinet/outlet/jec-b-e.jpg?fitin=700:700,41.6000,,花・ガーデン・DIY > DIY・工具 > その他,【在庫処分品】神保電器埋込アース端子JEC-B-E,,"<center>
<TABLE border=""0""><TR>
    <TD align=""center""><B><FONT color=""#ff0000"">在庫処分品</FONT></B></TD>
  </TR><TR><TD>　</TD>
  </TR><TR>
    <TD><FONT size=""-1"">電気工事士試験練習用に最適</FONT></TD>
  </TR></TABLE></center><br>",【在庫処分品】神保電器埋込アース端子JEC-B-E：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア【在庫処分品】神保電器埋込アース端子JEC-B-E,【在庫処分品】神保電器埋込アース端子JEC-B-E[rn]
