27-9901,http://tshop.r10s.jp/egaos/cabinet/trusco-a/4/4044584.jpg?fitin=700:700,9882.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＮＯＧＡ　２－４２内径用ブレード６０°刃先１４°ＨＳＳ　ＫＰ０１３４０１４,,■用途<br>●２―４２内径カウンターシンク６０°用替刃<br><br>■仕様<br>●材質:高速度鋼<br>●適用本体:KP01-116<br>●刃先すくい角(°):14<br>●コーナー数:2<br>●面取り角度(°):60<br>●型式タイプ:2-42<br><br>■材質・仕上げ<br>●ハイス鋼,ＮＯＧＡ　２&minus;４２内径用ブレード６０&deg;刃先１４&deg;ＨＳＳ　ＫＰ０１３４０１４：GAOS　楽天市場店,ＮＯＧＡ　２&minus;４２内径用ブレード６０&deg;刃先１４&deg;ＨＳＳ　ＫＰ０１３４０１４,ＮＯＧＡ　２&minus;４２内径用ブレード６０&deg;刃先１４&deg;ＨＳＳ　ＫＰ０１３４０１４[rn]
27-9935,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/3937003.jpg?fitin=700:700,18837.6000,,花・ガーデン・DIY > DIY・工具 > その他,ボッシュ　レーザー距離計　ＧＬＭ８０,,■用途<br>●距離の測定　面積の測定　体積の測定　傾斜角度の測定<br><br>■特長<br>●距離と角度の同時測定で、ピタゴラス測定が簡単にできます。<br>●一人で簡単に測定できます。<br>●傾斜測定が可能になりました。<br>●簡単ピタゴラス測定機能付です。<br>●バックライト付です。<br>●リチウムイオンバッテリーを採用しています。<br><br>■仕様<br>●測定範囲(m):0.05～80<br>●測定精度(mm):±1.5<br>●最小表示(mm):0.1<br>●高さ(mm):111<br>●幅(mm):51<br>●厚み(mm):30<br>●測定項目:距離、面積、容積、連続測定、傾斜測定、最小・最大測定、ピタゴラス測定<br>●計算機能<br>●測定基準位置の設定:4ヵ所<br>●容器保護等級:IP54<br>●保証期間:2年<br>●電源:充電式内蔵リチウムイオンバッテリー<br>●レーザー安全基準:クラス2<br>●使用温度範囲　-10℃～50℃<br>●充電時間(空→フル:約3時間),ボッシュ　レーザー距離計　ＧＬＭ８０：GAOS　楽天市場店,ボッシュ　レーザー距離計　ＧＬＭ８０,ボッシュ　レーザー距離計　ＧＬＭ８０[rn]
27-9936,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/2920441.jpg?fitin=700:700,2613.6000,,花・ガーデン・DIY > DIY・工具 > その他,タジマ　パーフェクト墨つぼ　青　ＰＳＳＵＭＢ,,■用途<br>●墨汁による墨付け作業。<br><br>■特長<br>●ゴムパッキンを要所に使用した密閉タイプです。<br>●墨もれしにくく墨汁の乾燥を防ぎます。<br>●メンテナンスしやすい、全開タイプです。<br><br>■仕様<br>●糸長さ(m):20<br>●自動巻取糸長さ(m):10<br>●色:青<br>●糸径(mm):0.6<br>●墨タンク最大容量(ml):20<br>●全長(mm):225<br>●自動巻<br>●墨タンク最大容量:30[[ミリリットル]],タジマ　パーフェクト墨つぼ　青　ＰＳＳＵＭＢ：GAOS　楽天市場店,タジマ　パーフェクト墨つぼ　青　ＰＳＳＵＭＢ,タジマ　パーフェクト墨つぼ　青　ＰＳＳＵＭＢ[rn]
27-9937,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4100191.jpg?fitin=700:700,2430.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＫＯＤ　スマート下げ振　ＳＰＢ１２５,,■用途<br>●墨出しに。<br><br>■特長<br>●細型下げ振りの集大成です。<br>●高品質の継承品です。<br>●鉄先・鉄頭の交換が可能です。（鉄先・鉄頭別売）<br><br>■仕様<br>●厚み(mm):14<br>●長さ(mm):125<br>●糸通し穴1mm<br><br>■材質・仕上げ<br>●真鍮,ＫＯＤ　スマート下げ振　ＳＰＢ１２５：GAOS　楽天市場店,ＫＯＤ　スマート下げ振　ＳＰＢ１２５,ＫＯＤ　スマート下げ振　ＳＰＢ１２５[rn]
27-9938,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4130065.jpg?fitin=700:700,544.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＫＯＤ　アイベル・マルガタ　Ｒ８,,■用途<br>●水平測定に。<br><br>■特長<br>●機械、機器への取り付けに最適です。<br><br>■仕様<br>●高さ(mm):6.5<br>●マグネット:なし<br>●感度:91'/2mm<br>●直径(mm):8<br>●精度:1.33mm/m＝0.0764°（R-25は、1.0mm/m＝0.0573°）<br>●感度:91’/2mm（R-25は、69’/2mm）<br><br>■材質・仕上げ<br>●本体：アクリル樹脂（PMMA)<br>●気泡管：アクリル樹脂(PMMA),ＫＯＤ　アイベル・マルガタ　Ｒ８：GAOS　楽天市場店,ＫＯＤ　アイベル・マルガタ　Ｒ８,ＫＯＤ　アイベル・マルガタ　Ｒ８[rn]
27-9939,http://tshop.r10s.jp/webby/cabinet/01431059/4937897018923.jpg?fitin=700:700,1782.4000,,花・ガーデン・DIY > DIY・工具 > その他,ジェフコム キャッチヘッド ダイクロハロゲン用吸盤 DLC-CH-SC,5380円（税込）以上で送料無料！,"<!-- 【イメージ説明】 -->
<p class=""item_imagetext"">
--------------------------------------------------------------<br>
画像はイメージです。<br>
※ PC環境により実際の色味や質感と異なって表示される場合がございます。<br>
※ 部品・パーツなどの一部の商品では本体の商品画像を使用しております。<br>※ 製品の仕様・画像・パッケージは、メーカ―側から予告なく変更される場合があります。<br>
--------------------------------------------------------------</p>
<br>
<!-- 【イメージ説明】ここまで -->
ダイクロハロゲン交換用 (吸盤タイプ)キャッチヘッド<br>
<br>
●適用ランプ：ダイクロハロゲン電球φ50～70<br>
●キャッチヘッド最大広がり巾：φ71ｍｍ<br>
●全長：93×71×63mm　<br>
●質量：27g<br>
別売「ランプチェンジャー・ポール/DLC-AP33/DLC-180」と組み合わせて使用してください。<br>


<br><br><br><span class=""mb_text"">[ ブランド・メーカー ： ジェフコム/じぇふこむ/JEFCOM/jefcom ]</span>
<br><br><img src=""https://image.rakuten.co.jp/webby/cabinet/01675031/img57102156.jpg""><br><br>
【#27】<style type=""text/css"">
<!--

.raku_cam p{
	font-size:11px;
	line-height:14px;
	color:#333333;
	letter-spacing: 1.0px;
	font-family: ""Hiragino Kaku Gothic Pro"",""YuGothic"",Meiryo,""メイリオ"",sans-serif;
	padding-top: 0px;
	padding-right: 0px;
	padding-bottom: 10px;
	padding-left: 0px;
	margin: 0px;
}



.raku_cam a{
	text-decoration:none;
	font-size:12px;
	font-weight:bold;
	color:#FFFFFF;
	background-color:#9F0014;
	padding:5 60 5 60;
	letter-spacing: 1.0px;
	font-family: ""Hiragino Kaku Gothic Pro"",""YuGothic"",Meiryo,""メイリオ"",sans-serif;
}
.kyoutu_hyouki {
	font-size: 13px;
	width: 800px;
	padding-top: 10px;
	padding-bottom: 5px;
	margin: 0px;
	text-align: right;
}

.kyoutu_hyouki a {
	font-size: 13px;
	color: #CC0000;
	text-decoration: none;
	font-family: ""Hiragino Kaku Gothic Pro"", ""YuGothic"", Meiryo, ""メイリオ"", sans-serif;
}
.raku_cam {
	width: 800px;
	padding: 0px;
	margin-top: 0px;
	margin-right: 0px;
	margin-bottom: 10px;
	margin-left: 0px;
}
.yjk {
	width: 800px;
	margin-bottom: 15px;
}
.yjk p {
	font-family: ""Hiragino Kaku Gothic Pro"", ""YuGothic"", Meiryo, ""メイリオ"", sans-serif;
	font-size: 14px;
	margin: 0px;
	padding: 0px;
	color: #FF0000;
	line-height: 1.8em;
}

-->
</style>
<!--
<div class=""yjk"">
<p>重要なお知らせ　GW休業のご案内について 【休業期間 ： 2017年5月3日(水)～2017年5月5日(金)】<br>
</p></div>
-->
<div class=""raku_cam"">
<table width=""800"" height=""75"" border=""0"" cellspacing=""0"" cellpadding=""0"">
  <tr>
<td valign=""top"" width=""500""><img src=""https://image.rakuten.co.jp/webby/cabinet/01675031/04372453/imgrc0068829253.jpg"" width=""468"" border=""0""><br></td>
<td align=""right"" valign=""top""><p>3000円以上のお買い物でポイント3倍<br/>
6月1日 10時00分～6月5日 9時59分</p>
エントリー＆詳細</td>
</tr>
</table>
<table width=""800"" height=""75"" border=""0"" cellspacing=""0"" cellpadding=""0"">
  <tr>
<td valign=""top"" width=""500""><img src=""https://image.rakuten.co.jp/webby/cabinet/01675031/04372453/imgrc0065284914.jpg"" width=""468"" border=""0""><br></td>
<td align=""right"" valign=""top""><p>勝った翌日のエントリーでポイント2倍<br/>
2月25日（土）～ 12月2日（土）</p>
エントリー＆詳細</td>
</tr>
</table>
</div>
<table width=""800"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tr>
    <td height=""170"" valign=""top""><img src=""https://image.rakuten.co.jp/webby/cabinet/01675031/04372453/imgrc0068826576.jpg"" width=""800"" height=""160""></td>
  </tr>
</table>
<table width=""800"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tr>
    <td height=""130"" valign=""top""><img src=""https://image.rakuten.co.jp/webby/cabinet/01675031/04372453/04516079/imgrc0068844081.jpg"" width=""800"" height=""120""></td>
  </tr>
</table>
<table width=""800"" border=""0"" cellspacing=""0"" cellpadding=""0"">
  <tr>
    <td valign=""top""></td>
  </tr>
  <tr>
    <td valign=""top""></td>
  </tr>
</table>

<!--　ストライプ　-->
<table width=""800"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tr>
<td height=""30"" valign=""top""><img src=""https://image.rakuten.co.jp/webby/cabinet/01675031/03743046/img61864912.jpg"" width=""800"" height=""30""></td>
</tr>
</table>
<div class=""kyoutu_hyouki"">お買物ガイド：安心してご利用いただくために、お買い物の前に必ずお読み下さいますようお願い致します。<br>
在庫状況について：お取寄せとなる商品の掲載もさせて頂いております。
 >> お買物ガイドはこちら</div>",ジェフコム キャッチヘッド ダイクロハロゲン用吸盤 DLC-CH-SC：Webby,LEDアンテナライト電球一人暮らし消耗品ハロゲンシーリング充電池蛍光灯デスクライトランタン貝印柳宗理oxoレッドレンザー東芝おしゃれインテリアDVD-Rジェフコム キャッチヘッド ダイクロハロゲン用吸盤 DLC-CH-SC,5380円（税込）以上で送料無料！。ジェフコム キャッチヘッド ダイクロハロゲン用吸盤 DLC-CH-SC[rn]
27-9940,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4443624.jpg?fitin=700:700,138996.0000,,花・ガーデン・DIY > DIY・工具 > その他,タジマ　ゼロセンサーＫＪＣ　受光器・三脚セット　ＺＥＲＯＳＫＪＣＳＥＴ,,■用途<br>●レーザーによる墨出し作業<br><br>■特長<br>●高輝度・フルライン（矩十字・横全周）レーザーです。<br><br>■仕様<br>●縦(mm):204<br>●横(mm):126<br>●精度:±1mm/7.5m<br>●自動補正範囲:±2°<br>●光出力:2.5mW以下<br>●容器保護等級:IP54<br>●電源:単3アルカリ乾電池×4本（付属）<br>●レーザー安全基準:クラス1M(JIS C 6802:2005)<br>●到達点距離精度:7.5mで±1mm以内<br>●制動方式:電子二軸センサー式<br><br>■セット内容・付属品<br>●レーザー墨出器：ZEROS-KJC<br>●受光器：ML-RCV2<br>●三脚：ELV-150<br>●専用キャリングケース<br>●ショルダーベルト<br>●単3形アルカリ乾電池4本,タジマ　ゼロセンサーＫＪＣ　受光器・三脚セット　ＺＥＲＯＳＫＪＣＳＥＴ：GAOS　楽天市場店,タジマ　ゼロセンサーＫＪＣ　受光器・三脚セット　ＺＥＲＯＳＫＪＣＳＥＴ,タジマ　ゼロセンサーＫＪＣ　受光器・三脚セット　ＺＥＲＯＳＫＪＣＳＥＴ[rn]
27-9941,http://tshop.r10s.jp/webby/cabinet/01431059/nd-34l_01.jpg?fitin=700:700,594.4000,,花・ガーデン・DIY > DIY・工具 > その他,ジェフコム 電工フィットグローブ ND-34L,5380円（税込）以上で送料無料！,"　<!-- 【イメージ説明】 -->
<p class=""item_imagetext"">
--------------------------------------------------------------<br>
画像はイメージです。<br>
※ PC環境により実際の色味や質感と異なって表示される場合がございます。<br>
※ 部品・パーツなどの一部の商品では本体の商品画像を使用しております。<br>※ 製品の仕様・画像・パッケージは、メーカー側から予告なく変更される場合があります。<br>
--------------------------------------------------------------</p>
<br>
<!-- 【イメージ説明】ここまで -->
細かい作業もＯＫ！小さなネジもつかみやすい<br><br>
●ソフトなグリップ感：革より柔らかい新素材、素手感覚でジャストフィット<br>
●フィット感抜群：ナックルガード付、親指が動かしやすい<br>
●スベリにくい：エンボス加工で、抜群の滑り止め効果<br>
●ムレにくい：通気性・透湿性に優れ快適な作業ができる<br>
●洗濯OK：素早く乾き、色落ちなし<br>
●素材：手の平部 ポリウレタン、手の甲部 ポリエステル<br>



<br><br><br><span class=""mb_text"">[ ブランド・メーカー ： ジェフコム/じぇふこむ/JEFCOM/jefcom ]</span>
<br><br><img src=""https://image.rakuten.co.jp/webby/cabinet/01675031/img57102156.jpg""><br><br>
【#27】<style type=""text/css"">
<!--

.raku_cam p{
	font-size:11px;
	line-height:14px;
	color:#333333;
	letter-spacing: 1.0px;
	font-family: ""Hiragino Kaku Gothic Pro"",""YuGothic"",Meiryo,""メイリオ"",sans-serif;
	padding-top: 0px;
	padding-right: 0px;
	padding-bottom: 10px;
	padding-left: 0px;
	margin: 0px;
}



.raku_cam a{
	text-decoration:none;
	font-size:12px;
	font-weight:bold;
	color:#FFFFFF;
	background-color:#9F0014;
	padding:5 60 5 60;
	letter-spacing: 1.0px;
	font-family: ""Hiragino Kaku Gothic Pro"",""YuGothic"",Meiryo,""メイリオ"",sans-serif;
}
.kyoutu_hyouki {
	font-size: 13px;
	width: 800px;
	padding-top: 10px;
	padding-bottom: 5px;
	margin: 0px;
	text-align: right;
}

.kyoutu_hyouki a {
	font-size: 13px;
	color: #CC0000;
	text-decoration: none;
	font-family: ""Hiragino Kaku Gothic Pro"", ""YuGothic"", Meiryo, ""メイリオ"", sans-serif;
}
.raku_cam {
	width: 800px;
	padding: 0px;
	margin-top: 0px;
	margin-right: 0px;
	margin-bottom: 10px;
	margin-left: 0px;
}
.yjk {
	width: 800px;
	margin-bottom: 15px;
}
.yjk p {
	font-family: ""Hiragino Kaku Gothic Pro"", ""YuGothic"", Meiryo, ""メイリオ"", sans-serif;
	font-size: 14px;
	margin: 0px;
	padding: 0px;
	color: #FF0000;
	line-height: 1.8em;
}

-->
</style>
<!--
<div class=""yjk"">
<p>重要なお知らせ　GW休業のご案内について 【休業期間 ： 2017年5月3日(水)～2017年5月5日(金)】<br>
</p></div>
-->
<div class=""raku_cam"">
<table width=""800"" height=""75"" border=""0"" cellspacing=""0"" cellpadding=""0"">
  <tr>
<td valign=""top"" width=""500""><img src=""https://image.rakuten.co.jp/webby/cabinet/01675031/04372453/imgrc0068829253.jpg"" width=""468"" border=""0""><br></td>
<td align=""right"" valign=""top""><p>3000円以上のお買い物でポイント3倍<br/>
6月1日 10時00分～6月5日 9時59分</p>
エントリー＆詳細</td>
</tr>
</table>
<table width=""800"" height=""75"" border=""0"" cellspacing=""0"" cellpadding=""0"">
  <tr>
<td valign=""top"" width=""500""><img src=""https://image.rakuten.co.jp/webby/cabinet/01675031/04372453/imgrc0065284914.jpg"" width=""468"" border=""0""><br></td>
<td align=""right"" valign=""top""><p>勝った翌日のエントリーでポイント2倍<br/>
2月25日（土）～ 12月2日（土）</p>
エントリー＆詳細</td>
</tr>
</table>
</div>
<table width=""800"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tr>
    <td height=""170"" valign=""top""><img src=""https://image.rakuten.co.jp/webby/cabinet/01675031/04372453/imgrc0068826576.jpg"" width=""800"" height=""160""></td>
  </tr>
</table>
<table width=""800"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tr>
    <td height=""130"" valign=""top""><img src=""https://image.rakuten.co.jp/webby/cabinet/01675031/04372453/04516079/imgrc0068844081.jpg"" width=""800"" height=""120""></td>
  </tr>
</table>
<table width=""800"" border=""0"" cellspacing=""0"" cellpadding=""0"">
  <tr>
    <td valign=""top""></td>
  </tr>
  <tr>
    <td valign=""top""></td>
  </tr>
</table>

<!--　ストライプ　-->
<table width=""800"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tr>
<td height=""30"" valign=""top""><img src=""https://image.rakuten.co.jp/webby/cabinet/01675031/03743046/img61864912.jpg"" width=""800"" height=""30""></td>
</tr>
</table>
<div class=""kyoutu_hyouki"">お買物ガイド：安心してご利用いただくために、お買い物の前に必ずお読み下さいますようお願い致します。<br>
在庫状況について：お取寄せとなる商品の掲載もさせて頂いております。
 >> お買物ガイドはこちら</div>",ジェフコム 電工フィットグローブ ND-34L：Webby,LEDアンテナライト電球一人暮らし消耗品ハロゲンシーリング充電池蛍光灯デスクライトランタン貝印柳宗理oxoレッドレンザー東芝おしゃれインテリアDVD-Rジェフコム 電工フィットグローブ ND-34L,5380円（税込）以上で送料無料！。ジェフコム 電工フィットグローブ ND-34L[rn]
27-9942,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4104749.jpg?fitin=700:700,1231.2000,,花・ガーデン・DIY > DIY・工具 > その他,エビスダイヤモンド　磁石付ハンディーレベルー２　レッド　ＥＤ１０ＨＬＭＲ,,■用途<br>●水平・垂直の測定に。<br><br>■特長<br>●ボールチェーン付です。<br>●測定基準面にV溝付でパイプなどが測定できます。<br>●蓄光付で明るい所で光を蓄積して暗い所で数分間発光します。<br>●超強力磁石付で鉄骨工事に便利です。<br><br>■仕様<br>●長さ(mm):100<br>●高さ(mm):46<br>●厚み(mm):20<br>●マグネット:1ヵ所<br>●色:レッド<br>●精度:±2.50mm/m=±0.1432°以内<br>●感度:0.50mm/m=0.0286°<br><br>■材質・仕上げ<br>●本体：アルミ合金押出材硬化処理<br>●気泡管：アクリル樹脂（PMMA）<br>●カバー：ABS樹脂,エビスダイヤモンド　磁石付ハンディーレベルー２　レッド　ＥＤ１０ＨＬＭＲ：GAOS　楽天市場店,エビスダイヤモンド　磁石付ハンディーレベルー２　レッド　ＥＤ１０ＨＬＭＲ,エビスダイヤモンド　磁石付ハンディーレベルー２　レッド　ＥＤ１０ＨＬＭＲ[rn]
27-9943,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4105613.jpg?fitin=700:700,1821.6000,,花・ガーデン・DIY > DIY・工具 > その他,エビスダイヤモンド　トビレベル　ブラック／グリーン　ＥＤＴＢＬＢ,,■用途<br>●足場組立用に。<br>●水平・垂直の測定に。<br><br>■特長<br>●落下防止コード対応シャックルを内蔵しています。<br>●超強力磁石付で鉄骨工事に便利です。<br>●測定基準面にV溝付でパイプなどが測定できます。<br>●蓄光付で明るい所で光を蓄積し、暗い所で数分間発光します。<br><br>■仕様<br>●長さ(mm):100<br>●高さ(mm):43<br>●厚み(mm):19<br>●マグネット:1ヵ所<br>●本体色:ブラック<br>●気泡管色:グリーン<br>●精度:±1.00mm/m=±0.0573°以内<br>●感度:0.50mm/m=0.0286°<br><br>■材質・仕上げ<br>●本体：アルミ合金押出材硬化処理<br>●気泡管：アクリル樹脂（PMMA）<br>●カバー：PC樹脂<br>●シャックル：真鍮<br>●プロテクター：エラストマー樹脂,エビスダイヤモンド　トビレベル　ブラック／グリーン　ＥＤＴＢＬＢ：GAOS　楽天市場店,エビスダイヤモンド　トビレベル　ブラック／グリーン　ＥＤＴＢＬＢ,エビスダイヤモンド　トビレベル　ブラック／グリーン　ＥＤＴＢＬＢ[rn]
27-9944,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4050860.jpg?fitin=700:700,2544.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＫＯＤ　マグネット付　箱型アルミレベル（黒×赤）　ＲＢ２７０Ｍ２３０ＭＭ,,■用途<br>●大工工事、機械据付、排水電気工事　その他全般に。<br><br>■特長<br>●レンズ効果で大きく見えるカマボコ型気泡管を搭載しています。<br>●ロングセラーL-270アルミレベルの赤×黒バージョンです。<br>●精度補正機構付です。<br>●調整方法：水平・垂直精度はそれぞれトルクドライバーＴ10番で調整してください。<br>●磁石付で鉄骨工事の測定に便利です。<br><br>■仕様<br>●長さ(mm):230<br>●高さ(mm):50.5<br>●厚み(mm):19<br>●マグネット:1ヵ所<br>●精度:±1.5ｍｍ／ｍ＝±0.0859°以内<br>●感度:0.5mm/m=0.0286°<br>●箱型フレーム<br><br>■材質・仕上げ<br>●本体:アルミ<br>●気泡管：アクリル樹脂(PMMA),ＫＯＤ　マグネット付　箱型アルミレベル（黒&times;赤）　ＲＢ２７０Ｍ２３０ＭＭ：GAOS　楽天市場店,ＫＯＤ　マグネット付　箱型アルミレベル（黒&times;赤）　ＲＢ２７０Ｍ２３０ＭＭ,ＫＯＤ　マグネット付　箱型アルミレベル（黒&times;赤）　ＲＢ２７０Ｍ２３０ＭＭ[rn]
27-9945,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4105206.jpg?fitin=700:700,1328.8000,,花・ガーデン・DIY > DIY・工具 > その他,エビスダイヤモンド　アイディアルレベル　３８０ｍｍ　ＥＤ３８ＩＬ,,■用途<br>●水平・垂直・45°の測定に。<br><br>■特長<br>●測定面がアーチ形状でねじれ・変形に強く、平面測定からパイプ測定までできます。<br>●測定基準面がU溝付でパイプなどが測定できます。<br>●45°付で、法勾配の測定に大変便利です。<br><br>■仕様<br>●長さ(mm):380<br>●高さ(mm):51<br>●厚み(mm):20<br>●マグネット:なし<br>●精度:±2.50mm/m=±0.1432°以内<br>●感度:0.50mm/m=0.0286°<br><br>■材質・仕上げ<br>●本体：アルミ合金押出材硬化処理<br>●気泡管：アクリル樹脂（PMMA）<br>●部品：ABS樹脂,エビスダイヤモンド　アイディアルレベル　３８０ｍｍ　ＥＤ３８ＩＬ：GAOS　楽天市場店,エビスダイヤモンド　アイディアルレベル　３８０ｍｍ　ＥＤ３８ＩＬ,エビスダイヤモンド　アイディアルレベル　３８０ｍｍ　ＥＤ３８ＩＬ[rn]
27-9946,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/3772284.jpg?fitin=700:700,6652.8000,,花・ガーデン・DIY > DIY・工具 > その他,タジマ　パーフェクト壁裏キャッチ　ＰＷＫＵＣ,,■用途<br>●下地検知器。<br><br>■特長<br>●電子下地材探知器です。<br>●1台で木材またはプラスチック・金属の両方を探知する両機能一体型です。<br>●壁、天井などの表面材で隠れて見えない下地材を探知します。<br><br>■仕様<br>●高さ(mm):155<br>●幅(mm):75<br>●厚み(mm):30<br>●電源:積層型9V乾電池×1本(付属)<br>●感度2段切替式(通常・高感度)＋簡易金属探知機能付<br>●自動初期設定機能付<br>●携帯ストラップ付,タジマ　パーフェクト壁裏キャッチ　ＰＷＫＵＣ：GAOS　楽天市場店,タジマ　パーフェクト壁裏キャッチ　ＰＷＫＵＣ,タジマ　パーフェクト壁裏キャッチ　ＰＷＫＵＣ[rn]
27-9947,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/7537808.jpg?fitin=700:700,1674.4000,,花・ガーデン・DIY > DIY・工具 > その他,タジマ　パーフェクト墨つぼ　ボム　６ｍ　ＰＳＳＵＭ６ＢＭ,,■用途<br>●墨汁による墨付け作業<br><br>■特長<br>●手と一体となる「たなごころフィット」形状です。<br>●マルチヘッドで入隅も平面も打ちやすいです。<br>●液漏れしにくい高密閉設計です。<br>●フルオープンでメンテナンスが簡単です。<br>●マルチヘッドで入隅も平面も打ちやすい<br>●巻取りバネ強め<br>●危険を防止針収納ポイントカルコを標準装備<br>●リール面ゴムグリップ<br><br>■仕様<br>●糸長さ(m):15<br>●自動巻取糸長さ(m):6<br>●全長(mm):156<br>●色:赤<br>●糸径(mm):0.6<br>●墨タンク最大容量(ml):7<br>●自動巻<br>●墨タンク最大容量:7ml<br><br>■材質・仕上げ<br>●外装：ABS樹脂<br>●糸：ナイロン<br>●綿：セルロース<br><br>■注意事項<br>●糸張り時にカルコが抜けた場合、カルコ針が飛来しケガをする場合があります。カルコは抜けないようしっかり刺して下さい。巻き戻し時にはリールハンドルを軽く押さえながら戻る速さを加減し、カルコの飛来を避けて下さい。製品仕様は予告なく変更する場合がございます。予めご了承ください。,タジマ　パーフェクト墨つぼ　ボム　６ｍ　ＰＳＳＵＭ６ＢＭ：GAOS　楽天市場店,タジマ　パーフェクト墨つぼ　ボム　６ｍ　ＰＳＳＵＭ６ＢＭ,タジマ　パーフェクト墨つぼ　ボム　６ｍ　ＰＳＳＵＭ６ＢＭ[rn]
27-9948,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4850645.jpg?fitin=700:700,421.6000,,花・ガーデン・DIY > DIY・工具 > その他,エビスダイヤモンド　キーホルダーレベル　ＥＤ－ＫＥＹＲ　レッド　ＥＤＫＥＹＲ,,■用途<br>●水平、垂直の測定に。<br><br>■特長<br>●ｷｰﾎﾙﾀﾞｰ付で鍵を付けて測定出来ます。<br>●小さくて携帯に便利です。<br><br>■仕様<br>●長さ(mm):47<br>●高さ(mm):15<br>●厚み(mm):15<br>●マグネット:なし<br>●色:レッド<br>●精度:±2.50ｍｍ/ｍ＝±0.1432°以内<br>●感度:0.50ｍｍ/ｍ＝0.0286°<br><br>■材質・仕上げ<br>●気泡管:アクリル樹脂（PMMA),エビスダイヤモンド　キーホルダーレベル　ＥＤ&minus;ＫＥＹＲ　レッド　ＥＤＫＥＹＲ：GAOS　楽天市場店,エビスダイヤモンド　キーホルダーレベル　ＥＤ&minus;ＫＥＹＲ　レッド　ＥＤＫＥＹＲ,エビスダイヤモンド　キーホルダーレベル　ＥＤ&minus;ＫＥＹＲ　レッド　ＥＤＫＥＹＲ[rn]
27-9949,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/7620659.jpg?fitin=700:700,2177.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　ロードカウンターＴＲＣ５０専用部品　カウンター　ＴＲＣ５０ＣＴ,,<br><br>■特長<br>●ロードカウンターの部品です。<br><br>■仕様<br>●適応機種:TRC-50,ＴＲＵＳＣＯ　ロードカウンターＴＲＣ５０専用部品　カウンター　ＴＲＣ５０ＣＴ：GAOS　楽天市場店,ＴＲＵＳＣＯ　ロードカウンターＴＲＣ５０専用部品　カウンター　ＴＲＣ５０ＣＴ,ＴＲＵＳＣＯ　ロードカウンターＴＲＣ５０専用部品　カウンター　ＴＲＣ５０ＣＴ[rn]
27-9950,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4158245.jpg?fitin=700:700,2396.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　アルミレベル　箱型　マグネット付　３００ｍｍ　水平・垂直・４５°　ＴＬ３００Ｍ,,■用途<br>●傾き測定に。<br><br>■特長<br>●レンズ効果で大きく見えるカマボコ型気泡管です。（水平）<br>●４５°測定可能です。<br>●箱型フレーム・スケール目盛付です。<br>●端面カバーが平らですので壁などにしっかりあてて測定が可能です。<br>●磁石付で鉄骨工事の測定に便利です。<br><br>■仕様<br>●長さ(mm):300<br>●高さ(mm):50.5<br>●厚み(mm):19<br>●マグネット:2ヵ所<br>●精度:±1.5mm/m=±0.0859°以内<br>●感度:0.5mm/m=0.0286°<br>●マグネット付<br><br>■材質・仕上げ<br>●本体:アルミニウム<br>●気泡管：アクリル樹脂(PMMA),ＴＲＵＳＣＯ　アルミレベル　箱型　マグネット付　３００ｍｍ　水平・垂直・４５&deg;　ＴＬ３００Ｍ：GAOS　楽天市場店,ＴＲＵＳＣＯ　アルミレベル　箱型　マグネット付　３００ｍｍ　水平・垂直・４５&deg;　ＴＬ３００Ｍ,ＴＲＵＳＣＯ　アルミレベル　箱型　マグネット付　３００ｍｍ　水平・垂直・４５&deg;　ＴＬ３００Ｍ[rn]
