27-9401,http://tshop.r10s.jp/egaos/cabinet/trusco-h/2/12/3986161.jpg?fitin=700:700,756.0000,,花・ガーデン・DIY > DIY・工具 > その他,ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ,,■用途<br>●工事写真の分類・整理・保管や官公庁や施工主様への提出用にもご利用頂けます。<br><br>■特長<br>●工事写真の分類整理、提出用に最適です。<br><br>■仕様<br>●色:白<br>●タイプ:25穴<br>●ロッ骨式<br>●サイズ:四ツ切＋方眼入フリー台紙(7枚）<br>●台紙:四ツ切判・方眼入フリー台紙7枚(貼付有効サイズ：タテ314×ヨコ245mm),ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ：GAOS　楽天市場店,ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ,ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ[rn]
27-9427,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/11/4421299.jpg?fitin=700:700,889.6000,,花・ガーデン・DIY > DIY・工具 > その他,アカギ　ステン化粧ねじ足　２５Ｘ６０Ｈ　Ａ１０３９６００３５,,■用途<br>●立バンド用のねじこみ式取付足。<br><br>■特長<br>●SUS304製です。<br><br>■仕様<br>●幅(mm):25<br>●厚み(mm):3.0<br>●Ｈ(mm):60<br><br>■材質・仕上げ<br>●ステンレス(SUS304),アカギ　ステン化粧ねじ足　２５Ｘ６０Ｈ　Ａ１０３９６００３５：GAOS　楽天市場店,アカギ　ステン化粧ねじ足　２５Ｘ６０Ｈ　Ａ１０３９６００３５,アカギ　ステン化粧ねじ足　２５Ｘ６０Ｈ　Ａ１０３９６００３５[rn]
27-9428,http://tshop.r10s.jp/egaos/cabinet/trusco-c/12/9/4812328.jpg?fitin=700:700,3929.6000,,花・ガーデン・DIY > DIY・工具 > その他,つくし　３色介錯ロープ　５Ｍ　３２５６,,■用途<br>●玉掛作業時の介錯ロープとして。<br>●作業所内の仮設休憩所やイベント等に。<br><br>■特長<br>●色分けにより識別しやすい距離表示をしています。<br><br>■仕様<br>●色:レッド/イエロー/グリーン<br>●径(mm):12<br>●長さ(m):5<br>●色:レッド/イエロー/グリーン<br>●色:レッド/イエロー/グリーン<br><br>■材質・仕上げ<br>●ポリエステル,つくし　３色介錯ロープ　５Ｍ　３２５６：GAOS　楽天市場店,つくし　３色介錯ロープ　５Ｍ　３２５６,つくし　３色介錯ロープ　５Ｍ　３２５６[rn]
27-9429,http://tshop.r10s.jp/egaos/cabinet/trusco-c/6/3807380.jpg?fitin=700:700,816.8000,,花・ガーデン・DIY > DIY・工具 > その他,アネスト岩田　プラグ３ケセット　ＨＰＡＱＪＰ３,,<br><br>■特長<br>●エアブラシ用アクセサリーです。<br><br>■仕様<br>●摘要:プラグ3個セット<br>●商品名:プラグセット<br>●入数(個):3,アネスト岩田　プラグ３ケセット　ＨＰＡＱＪＰ３：GAOS　楽天市場店,アネスト岩田　プラグ３ケセット　ＨＰＡＱＪＰ３,アネスト岩田　プラグ３ケセット　ＨＰＡＱＪＰ３[rn]
27-9430,http://tshop.r10s.jp/egaos/cabinet/trusco-c/11/1242822.jpg?fitin=700:700,34408.8000,,花・ガーデン・DIY > DIY・工具 > その他,象印　ホイストマン　トルコン機能付チェーンブロック１．５ｔ　ＨＭ３０１５２５,,<br><br>■特長<br>●サビにくい強力ロングライフロードチェーンを採用しています。<br>●独自の過負荷防止安全機構である「トルコン装置」を装備しています。<br>●ハイレベルの剛性構造・機構保持です。<br>●V級チェーンを使用しています。<br>●コンパクト・最軽量で本格ラインアップを実現しています。<br>●重量:21%減量しています〈当社製品との比較〉。<br><br>■仕様<br>●定格荷重(t):1.5<br>●標準揚程(m):2.5<br>●フック間最小距離(mm):340<br>●ロードチェーン(m):2.5<br>●ハンドチェーン(m):2.5<br>●トルコン機能付<br>●揚程増価格(メーカー希望小売価格)ロードチェン(1m):\4000<br>●揚程増価格(メーカー希望小売価格)ハンドチェン(1m):\1600<br><br>■材質・仕上げ<br>●ロードチェーン:特殊合金鋼,象印　ホイストマン　トルコン機能付チェーンブロック１．５ｔ　ＨＭ３０１５２５：GAOS　楽天市場店,象印　ホイストマン　トルコン機能付チェーンブロック１．５ｔ　ＨＭ３０１５２５,象印　ホイストマン　トルコン機能付チェーンブロック１．５ｔ　ＨＭ３０１５２５[rn]
27-9431,http://tshop.r10s.jp/egaos/cabinet/trusco-c/12/9/3903214.jpg?fitin=700:700,11448.0000,,花・ガーデン・DIY > DIY・工具 > その他,田村　耐酸水切りスリング　ＨＭＮ－Ｗ００５／Ｎ－１．５×４．０　ＭＰＷＮ１５００４００,,■用途<br>●酸洗い作業。<br><br>■特長<br>●ポリプロピレンの芯糸の束を、水切りの良い外皮で包んだ構造です。<br>●酸がベルトの中に残らず、長時間の使用が可能です。<br>●酸洗い槽の溶液の混入が少なくなり、純度が維持されるほか、液の補充も少なく、酸洗いの効率が大幅に向上します。<br><br>■仕様<br>●最大使用荷重(t):1.5<br>●全長(m):4.0<br>●ベルト寸法(mm)幅×厚み:50×12<br><br>■材質・仕上げ<br>●ポリプロピレン<br><br>■注意事項<br>●繊維製品ですので寸法に多少の誤差があります。２本組などで厳密な長さ揃えが必要な場合には事前にご相談ください。<br>●荷物の鋭利な角や摩擦によってベルトスリングなどの繊維スリングを傷つける恐れがある箇所には、必ずコーナーパッドなどの当て物を使用してください。<br>●当て物を使用していても荷物の横滑りや周囲の壁や物への接触、加圧などによりスリングが損傷および切断する可能性がありますので作業環境には十分に注意してご使用ください。,田村　耐酸水切りスリング　ＨＭＮ&minus;Ｗ００５／Ｎ&minus;１．５&times;４．０　ＭＰＷＮ１５００４００：GAOS　楽天市場店,田村　耐酸水切りスリング　ＨＭＮ&minus;Ｗ００５／Ｎ&minus;１．５&times;４．０　ＭＰＷＮ１５００４００,田村　耐酸水切りスリング　ＨＭＮ&minus;Ｗ００５／Ｎ&minus;１．５&times;４．０　ＭＰＷＮ１５００４００[rn]
27-9432,http://tshop.r10s.jp/egaos/cabinet/trusco-c/9/4905105.jpg?fitin=700:700,5216.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＭＡＧＬＩＴＥ　ＬＥＤ　フラッシュライト　ミニマグライトプロプラス（単３電池２本　ＳＰＰ０１７,,<br><br>■特長<br>●ヘッドを緩めると点灯、締めると消灯します。<br>●ヘッドの回転により、ワイド、スポットに切り替えできます。<br>●ミニマグライトプロより高出力のLEDを搭載しています。<br>●点灯・消灯は、ヘッド部回転式<br>●グリップ部は、滑り止め加工<br>●照射部は、スポット、ワイドの焦点調整が可能取り外しが可能<br><br>■仕様<br>●全光束(lm):245<br>●外径(mm):25.4<br>●全長(mm):167.8<br>●色:黒<br>●照射距離(m):150<br>●最大点灯時間:2時間15分(強)27時間(弱)<br>●電源:単3形乾電池（2個）付属<br>●最大点灯時間:2時間15分(強）27時間(弱）<br><br>■材質・仕上げ<br>●本体: アルミ合金<br><br>■注意事項<br>●電球交換できません。<br>●LEDは決して直視しないでください。,ＭＡＧＬＩＴＥ　ＬＥＤ　フラッシュライト　ミニマグライトプロプラス（単３電池２本　ＳＰＰ０１７：GAOS　楽天市場店,ＭＡＧＬＩＴＥ　ＬＥＤ　フラッシュライト　ミニマグライトプロプラス（単３電池２本　ＳＰＰ０１７,ＭＡＧＬＩＴＥ　ＬＥＤ　フラッシュライト　ミニマグライトプロプラス（単３電池２本　ＳＰＰ０１７[rn]
27-9433,http://tshop.r10s.jp/egaos/cabinet/trusco-c/4/7646917.jpg?fitin=700:700,344.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　四つ目錐　小　２６０ｍｍ　ＴＫＦ２６０,,■用途<br>●細く小さな穴あけに。<br><br>■特長<br>●柄には手にしっくりくる桧白木材を使用しています。<br>●細い穴あけ、釘の下穴あけに適しています。<br><br>■仕様<br>●全長(mm):260<br><br>■材質・仕上げ<br>●刃:普通鋼<br>●柄:桧,ＴＲＵＳＣＯ　四つ目錐　小　２６０ｍｍ　ＴＫＦ２６０：GAOS　楽天市場店,ＴＲＵＳＣＯ　四つ目錐　小　２６０ｍｍ　ＴＫＦ２６０,ＴＲＵＳＣＯ　四つ目錐　小　２６０ｍｍ　ＴＫＦ２６０[rn]
27-9434,http://tshop.r10s.jp/egaos/cabinet/trusco-c/7/4418948.jpg?fitin=700:700,151.2000,,花・ガーデン・DIY > DIY・工具 > その他,ｕｎｉ　ペイントマーカー油性細字　水色　ＰＸ２１．８,,■用途<br>●工業用として各種素材・部品へのマーキング・識別用。<br><br>■特長<br>●金属、ガラス、プラスチックなどに書け、定着性、高い隠蔽性があり、黒い面でも鮮やかに発色します。<br><br>■仕様<br>●色:水色<br>●文字サイズ:細字<br><br>■材質・仕上げ<br>●本体:油性染料<br>●芯:アクリル繊維,ｕｎｉ　ペイントマーカー油性細字　水色　ＰＸ２１．８：GAOS　楽天市場店,ｕｎｉ　ペイントマーカー油性細字　水色　ＰＸ２１．８,ｕｎｉ　ペイントマーカー油性細字　水色　ＰＸ２１．８[rn]
27-9435,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/7/2519101.jpg?fitin=700:700,2652.0000,,花・ガーデン・DIY > DIY・工具 > その他,フジトク　９０°エルボ　ＭＥ１２２,,■用途<br>●適用ステンレス管規格。<br><br>■特長<br>●本体、ナット、スリーブ（リアフェルール・フロントフェルール）で構成され、パイプを差し込み、スパナで締め付けます。<br><br>■仕様<br>●ねじ:R1/4<br>●寸法(mm)A:34.8<br>●寸法(mm)C:28.0<br>●適用管外径T(mm):12<br>●使用流体:ガス・蒸気・油・水など<br>●流体温度:-196～600℃<br>●使用圧力:21MPa<br><br>■材質・仕上げ<br>●ステンレス（SUS316）,フジトク　９０&deg;エルボ　ＭＥ１２２：GAOS　楽天市場店,フジトク　９０&deg;エルボ　ＭＥ１２２,フジトク　９０&deg;エルボ　ＭＥ１２２[rn]
27-9436,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/1/3655113.jpg?fitin=700:700,2332.8000,,花・ガーデン・DIY > DIY・工具 > その他,フジキン　黄銅製１．９６ＭＰａミニボール弁２０Ａ（３／４）　ＤＢＶ１２ＥＲ,,■用途<br>●-10～80℃の液体およびガス用。<br><br>■特長<br>●レデュースボアタイプです。<br>●軽量・コンパクトです。<br><br>■仕様<br>●呼び径(A):20<br>●呼び径(B):3/4<br>●高さ(mm):49<br>●面間(mm):61.0<br>●Cv値max:10.1<br>●内径(mm):12.5<br>●最高圧力1.96MPa（空気静流40℃時）<br><br>■材質・仕上げ<br>●黄銅（C3771）,フジキン　黄銅製１．９６ＭＰａミニボール弁２０Ａ（３／４）　ＤＢＶ１２ＥＲ：GAOS　楽天市場店,フジキン　黄銅製１．９６ＭＰａミニボール弁２０Ａ（３／４）　ＤＢＶ１２ＥＲ,フジキン　黄銅製１．９６ＭＰａミニボール弁２０Ａ（３／４）　ＤＢＶ１２ＥＲ[rn]
27-9437,http://tshop.r10s.jp/egaos/cabinet/trusco-c/10/4921763.jpg?fitin=700:700,14040.0000,,花・ガーデン・DIY > DIY・工具 > その他,アルインコ　足場台　天板高さ０．７２～１．０２ｍ　最大使用質量１００ｋｇ　ＰＸＧＥ７１０ＦＫ,,<br><br>■特長<br>●高さが調整でき、作業場所や設置面に合わせられるアルミ製足場台です。<br>●折りたたみ式なので持ち運び、収納性に優れています。<br>●簡単な伸縮機能で楽に操作ができます。<br><br>■仕様<br>●最大使用質量(kg):100<br>●天板高さ(m):0.72～1.02<br>●天板寸法(mm):881×300<br>●手がかり棒:-<br>●収納時寸法(mm)幅×奥行×高さ:434×925×182<br>●Ａマーク認定品(PXGE-1014Wを除く)<br>●折りたたみ式<br>●脚部伸縮ピッチ:6mm<br>●Aマーク認定品<br><br>■材質・仕上げ<br>●アルミ,アルインコ　足場台　天板高さ０．７２～１．０２ｍ　最大使用質量１００ｋｇ　ＰＸＧＥ７１０ＦＫ：GAOS　楽天市場店,アルインコ　足場台　天板高さ０．７２～１．０２ｍ　最大使用質量１００ｋｇ　ＰＸＧＥ７１０ＦＫ,アルインコ　足場台　天板高さ０．７２～１．０２ｍ　最大使用質量１００ｋｇ　ＰＸＧＥ７１０ＦＫ[rn]
27-9438,http://tshop.r10s.jp/egaos/cabinet/trusco-b/5/1/3637735.jpg?fitin=700:700,385.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＣＯＮＶＵＭ　メイルブランチ　ティー　ＷＰＴ１００４,,<br><br>■特長<br>●PBT（ポリブチレンテレフタレート）樹脂を標準採用し、スパッタなどの溶接火花の降りかかる環境で、継手の延焼事故をシャットアウトします。<br><br>■仕様<br>●適合チューブ外径D(mm):10×10<br>●接続口径:R1/2<br>●使用流体:空気<br>●流体温度:0～60℃<br>●使用圧力:0.9MPa<br><br>■材質・仕上げ<br>●本体：ポリアミド(PA+F/G),ＣＯＮＶＵＭ　メイルブランチ　ティー　ＷＰＴ１００４：GAOS　楽天市場店,ＣＯＮＶＵＭ　メイルブランチ　ティー　ＷＰＴ１００４,ＣＯＮＶＵＭ　メイルブランチ　ティー　ＷＰＴ１００４[rn]
27-9439,http://tshop.r10s.jp/egaos/cabinet/trusco-a/1/12/3384322.jpg?fitin=700:700,41515.2000,,花・ガーデン・DIY > DIY・工具 > その他,イスカル　Ｘ　イスカル／ＥＴＭ　ＢＴ５０ＳＥＭ２２Ｘ５０Ｘ２２０,,<br><br>■特長<br>●フェイスミル用アーバー,イスカル　Ｘ　イスカル／ＥＴＭ　ＢＴ５０ＳＥＭ２２Ｘ５０Ｘ２２０：GAOS　楽天市場店,イスカル　Ｘ　イスカル／ＥＴＭ　ＢＴ５０ＳＥＭ２２Ｘ５０Ｘ２２０,イスカル　Ｘ　イスカル／ＥＴＭ　ＢＴ５０ＳＥＭ２２Ｘ５０Ｘ２２０[rn]
27-9440,http://tshop.r10s.jp/egaos/cabinet/trusco-h/4/14/3539938.jpg?fitin=700:700,576.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　くず入れ　角型　１８．０Ｌ　ダークブルー　ＴＧＹＣ７１１,,<br><br>■特長<br>●デスクサイドのくず入れとしてご使用いただけます。<br>●再生材を75％含有した環境に配慮した製品です。<br><br>■仕様<br>●容量(L):18<br>●高さ(mm):395<br>●色:ダークブルー<br>●間口(mm):192<br>●奥行(mm):340<br><br>■材質・仕上げ<br>●再生ポリプロピレン（PP）,ＴＲＵＳＣＯ　くず入れ　角型　１８．０Ｌ　ダークブルー　ＴＧＹＣ７１１：GAOS　楽天市場店,ＴＲＵＳＣＯ　くず入れ　角型　１８．０Ｌ　ダークブルー　ＴＧＹＣ７１１,ＴＲＵＳＣＯ　くず入れ　角型　１８．０Ｌ　ダークブルー　ＴＧＹＣ７１１[rn]
27-9441,http://tshop.r10s.jp/egaos/cabinet/trusco-d/9/4/7575530.jpg?fitin=700:700,979.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＷＩＬＬＩＡＭＳ　１／４ドライブ　ヘックスロングビットソケット　８ｍｍ　ＪＨＷ３５０６８,,■用途<br>●技術者向け。<br>●メンテナンス業者。<br><br>■特長<br>●クロームメッキ仕上げでサビや汚れから守ります。<br><br>■仕様<br>●対辺寸法(mm):8<br>●全長(mm):46<br>●差込角(mm):6.35<br>●ビット長さ(mm):25.4<br><br>■材質・仕上げ<br>●特殊工具鋼,ＷＩＬＬＩＡＭＳ　１／４ドライブ　ヘックスロングビットソケット　８ｍｍ　ＪＨＷ３５０６８：GAOS　楽天市場店,ＷＩＬＬＩＡＭＳ　１／４ドライブ　ヘックスロングビットソケット　８ｍｍ　ＪＨＷ３５０６８,ＷＩＬＬＩＡＭＳ　１／４ドライブ　ヘックスロングビットソケット　８ｍｍ　ＪＨＷ３５０６８[rn]
27-9442,http://tshop.r10s.jp/egaos/cabinet/trusco-a/1/12/1629751.jpg?fitin=700:700,35824.0000,,花・ガーデン・DIY > DIY・工具 > その他,イスカル　Ｘ　ミーリングカッター　ＳＭＤ５０２５Ｍ,,■用途<br>●フライス加工用チップ<br><br>■特長<br>●多完全刃列構造のため、高送り、高能率加工が可能。<br>●豊富なヘリミルチップが使用できます。<br><br>■仕様<br>●刃数:3<br>●寸法(mm)D:50<br>●適合チップ:ADKT　1505　PDTR-8M/RM/76<br>●刃列数:6<br>●H:52<br>●a:25<br>●d:22.0<br>●d1:18,イスカル　Ｘ　ミーリングカッター　ＳＭＤ５０２５Ｍ：GAOS　楽天市場店,イスカル　Ｘ　ミーリングカッター　ＳＭＤ５０２５Ｍ,イスカル　Ｘ　ミーリングカッター　ＳＭＤ５０２５Ｍ[rn]
27-9443,http://tshop.r10s.jp/egaos/cabinet/trusco-b/1/12/3558908.jpg?fitin=700:700,769.6000,,花・ガーデン・DIY > DIY・工具 > その他,ニューストロング　スタットボルト　ネジ　Ｗ４　全長　２５０ミリ　ＳＢＷ４２５０,,■用途<br>●フライス盤に。<br>●マシニングセンターに。<br>●研磨機に。<br>●ラジアルボール盤に。<br><br>■特長<br>●ねじがインチサイズですので素早くクランプができます。<br><br>■仕様<br>●ねじ寸法:W1/2<br>●全長(mm):250<br>●ねじ長さ(mm):50<br><br>■材質・仕上げ<br>●スチール（S45C）黒染仕上げ<br>●焼き入れ（HRC30±5）,ニューストロング　スタットボルト　ネジ　Ｗ４　全長　２５０ミリ　ＳＢＷ４２５０：GAOS　楽天市場店,ニューストロング　スタットボルト　ネジ　Ｗ４　全長　２５０ミリ　ＳＢＷ４２５０,ニューストロング　スタットボルト　ネジ　Ｗ４　全長　２５０ミリ　ＳＢＷ４２５０[rn]
27-9444,http://tshop.r10s.jp/egaos/cabinet/trusco-d/9/13/3299228.jpg?fitin=700:700,1552.0000,,花・ガーデン・DIY > DIY・工具 > その他,コーケン　インパクトディープソケット　１４３００Ｍ２２,,<br><br>■特長<br>●ボルト/ナットに接する開口部（6角）はもちろんのこと、差込側の四角駆動部にも角を傷めずハイトルクを確実に伝える面接触のフラットドライブを採用しています。<br><br>■仕様<br>●対辺寸法(mm):22<br>●差込角(mm):12.7<br>●全長(mm):85<br><br>■セット内容・付属品<br>●Cリング,コーケン　インパクトディープソケット　１４３００Ｍ２２：GAOS　楽天市場店,コーケン　インパクトディープソケット　１４３００Ｍ２２,コーケン　インパクトディープソケット　１４３００Ｍ２２[rn]
27-9445,http://tshop.r10s.jp/egaos/cabinet/trusco-b/12/4003977.jpg?fitin=700:700,1948.0000,,花・ガーデン・DIY > DIY・工具 > その他,白光　こて先　ＢＬ型　Ｔ２０ＢＬ,,<br><br>■仕様<br>●コテ先名称:BL型<br>●適合コテ:FX838<br>●ヒーター一体式,白光　こて先　ＢＬ型　Ｔ２０ＢＬ：GAOS　楽天市場店,白光　こて先　ＢＬ型　Ｔ２０ＢＬ,白光　こて先　ＢＬ型　Ｔ２０ＢＬ[rn]
27-9446,http://tshop.r10s.jp/egaos/cabinet/trusco-f/8/1/1252046.jpg?fitin=700:700,1485.6000,,花・ガーデン・DIY > DIY・工具 > その他,ハンマー　４００Ｓ型自在　ゴム車１５０ｍｍ　４００ＳＲ１５０ＢＡＲ０１,,<br><br>■特長<br>●取付座が大きく機械の移動用または、運搬車用として多く使用されている重量用キャスターです。<br><br>■仕様<br>●許容荷重(kgf):163.2<br>●車輪径D(mm):150<br>●車輪幅(mm):40<br>●取付高H(mm):199<br>●取付座A×B(mm):130×130<br>●取付ピッチX×Y(mm):90～100×90～100<br>●取付穴径P(mm):11.0<br>●許容荷重(N):1600<br>●許容荷重(daＮ):160<br>●プレート式<br>●自在式<br>●75mmはグレーゴムになります<br><br>■材質・仕上げ<br>●金具:スチール<br>●金具表面処理:ユニクロムメッキ仕上げ（車輪径75mmは三価クロム仕上げ）<br>●車輪:スチールホイール、ゴム,ハンマー　４００Ｓ型自在　ゴム車１５０ｍｍ　４００ＳＲ１５０ＢＡＲ０１：GAOS　楽天市場店,ハンマー　４００Ｓ型自在　ゴム車１５０ｍｍ　４００ＳＲ１５０ＢＡＲ０１,ハンマー　４００Ｓ型自在　ゴム車１５０ｍｍ　４００ＳＲ１５０ＢＡＲ０１[rn]
27-9447,http://tshop.r10s.jp/egaos/cabinet/trusco-b/5/6/3783251.jpg?fitin=700:700,3477.6000,,花・ガーデン・DIY > DIY・工具 > その他,ピスコ　ウレタンチューブ　黒　１０Ｘ６．５　２０Ｍ　ＵＢ１０６５２０Ｂ,,<br><br>■特長<br>●優れた柔軟性です。<br>●小さな曲げ半径を必要とする一般空気圧配管に最適です。<br>●チューブをカットする時に便利なカットマークが500mm間隔で表示されています。<br><br>■仕様<br>●色:ブラック<br>●外径(mm):10<br>●内径(mm):6.5<br>●全長(m):20<br>●最小曲げ半径(mm):20<br>●肉厚(mm):1.75<br>●チューブ外径(φD)(mm):φ10<br>●チューブ内径(φD)(mm):φ6.5<br>●最小取付半径(mm):30<br>●使用流体：空気、水（条件あり）<br>●使用圧力：0.8MPa(20℃65%RH時)<br>●使用真空圧力：-100kPa<br>●使用温度範囲：-15～60℃(凍結なきこと)<br>●ISO9001認証取得工場製<br>●ISO14001認証取得工場製<br><br>■材質・仕上げ<br>●TPU（熱可塑性ポリウレタン）<br><br>■注意事項<br>●チューブに引張り、ねじり、極端な曲げ等の負荷がかからないようにしてください。チューブのつぶれ、破裂、抜けの原因となる可能性があります。<br>●チューブをこすれたり、からませたりしてキズがつかないようにしてください。チューブの破裂の原因となる可能性があります。<br>●チューブの破壊圧力は温度の上昇と共に低下しますので、使用圧力をよく理解し充分余裕のある安全率をみてください。<br>●チューブは最小曲げ半径以上でご使用ください。<br>●チューブの配管は、長さの変化等を考慮し充分余裕をみてください。,ピスコ　ウレタンチューブ　黒　１０Ｘ６．５　２０Ｍ　ＵＢ１０６５２０Ｂ：GAOS　楽天市場店,ピスコ　ウレタンチューブ　黒　１０Ｘ６．５　２０Ｍ　ＵＢ１０６５２０Ｂ,ピスコ　ウレタンチューブ　黒　１０Ｘ６．５　２０Ｍ　ＵＢ１０６５２０Ｂ[rn]
27-9448,http://tshop.r10s.jp/egaos/cabinet/trusco-f/8/2/1251759.jpg?fitin=700:700,2207.2000,,花・ガーデン・DIY > DIY・工具 > その他,ハンマー　Ｓ型自在　ＳＰ付　ウレタンＢ入り車１２５ｍｍ　４１３ＳＵＢ１２５ＢＡＲ０１,,<br><br>■特長<br>●ボールベアリングが上下二段設計で回転が軽く荷重に対する抵抗力も非常に強靭です。<br><br>■仕様<br>●許容荷重(kgf):132.6<br>●車輪径D(mm):125<br>●車輪幅(mm):38<br>●取付高H(mm):168<br>●取付座A×B(mm):102×102<br>●取付ピッチX×Y(mm):75～80×75～80<br>●取付穴径P(mm):11.0<br>●許容荷重(N):1300<br>●許容荷重(daＮ):130<br>●プレート式<br>●自在式（ストッパー付）<br>●ローラーベアリング(50～75mm)ラジアルベアリング(100～150mm)<br><br>■材質・仕上げ<br>●金具:スチール<br>●車輪:ナイロンホイール、熱可塑性ウレタン,ハンマー　Ｓ型自在　ＳＰ付　ウレタンＢ入り車１２５ｍｍ　４１３ＳＵＢ１２５ＢＡＲ０１：GAOS　楽天市場店,ハンマー　Ｓ型自在　ＳＰ付　ウレタンＢ入り車１２５ｍｍ　４１３ＳＵＢ１２５ＢＡＲ０１,ハンマー　Ｓ型自在　ＳＰ付　ウレタンＢ入り車１２５ｍｍ　４１３ＳＵＢ１２５ＢＡＲ０１[rn]
27-9449,http://tshop.r10s.jp/egaos/cabinet/trusco-e/5/3647200.jpg?fitin=700:700,388.8000,,花・ガーデン・DIY > DIY・工具 > その他,光　締めきり　ＣＬＯＳＥＤ　ＰＬ６４３,,<br><br>■特長<br>●アルミ特殊仕上げで、文字が消えにくいです。<br><br>■仕様<br>●縦(mm):60<br>●横(mm):40<br>●取付方法:テープ付<br><br>■材質・仕上げ<br>●アクリル,光　締めきり　ＣＬＯＳＥＤ　ＰＬ６４３：GAOS　楽天市場店,光　締めきり　ＣＬＯＳＥＤ　ＰＬ６４３,光　締めきり　ＣＬＯＳＥＤ　ＰＬ６４３[rn]
27-9450,http://tshop.r10s.jp/egaos/cabinet/trusco-b/9/11/4109431.jpg?fitin=700:700,2328.8000,,花・ガーデン・DIY > DIY・工具 > その他,カタヤマ　フィットリンク　６０－１０８Ｌ（ＪＬ付）　ＦＴ６０１０８Ｊ,,■用途<br>●チェーン駆動の一般機械用ローラチエーン<br><br>■特長<br>●フィットリンクローラチェーンは残材が残らないＥＣＯ商品です。<br>●ジョイントリンク付なので到着したその場でご使用が可能です。<br><br>■仕様<br>●ユニットリンク数:108<br>●リベット形<br>●列数：１列<br>●チェーンNo.60<br>●ピッチ:19.05mm<br>●ローラー外径:11.91mm<br>●内リンク内幅:12.7mm<br>●引張強さ:41.2kN<br>●６０番のローラチエーン<br>●１０８リンク(ＪＬ込み)<br><br>■材質・仕上げ<br>●スチール<br><br>■注意事項<br>●偶数リンクでお届けします,カタヤマ　フィットリンク　６０&minus;１０８Ｌ（ＪＬ付）　ＦＴ６０１０８Ｊ：GAOS　楽天市場店,カタヤマ　フィットリンク　６０&minus;１０８Ｌ（ＪＬ付）　ＦＴ６０１０８Ｊ,カタヤマ　フィットリンク　６０&minus;１０８Ｌ（ＪＬ付）　ＦＴ６０１０８Ｊ[rn]
27-9451,http://tshop.r10s.jp/egaos/cabinet/trusco-a/1/12/7116659.jpg?fitin=700:700,18062.4000,,花・ガーデン・DIY > DIY・工具 > その他,タンガロイ　内径用ＴＡＣバイト　Ｓ２５ＲＣＧＴＲ４０,,<br><br>■仕様<br>●内径加工用<br>●鋼シャンク<br>●クランプオン仕様,タンガロイ　内径用ＴＡＣバイト　Ｓ２５ＲＣＧＴＲ４０：GAOS　楽天市場店,タンガロイ　内径用ＴＡＣバイト　Ｓ２５ＲＣＧＴＲ４０,タンガロイ　内径用ＴＡＣバイト　Ｓ２５ＲＣＧＴＲ４０[rn]
27-9452,http://tshop.r10s.jp/egaos/cabinet/trusco-a/3/7/3499596.jpg?fitin=700:700,19358.4000,,花・ガーデン・DIY > DIY・工具 > その他,タンガロイ　内径用ＴＡＣバイト　Ｓ２０ＱＰＷＬＮＲ０６,,<br><br>■仕様<br>●内径加工用　鋼シャンク　レバークランプ仕様,タンガロイ　内径用ＴＡＣバイト　Ｓ２０ＱＰＷＬＮＲ０６：GAOS　楽天市場店,タンガロイ　内径用ＴＡＣバイト　Ｓ２０ＱＰＷＬＮＲ０６,タンガロイ　内径用ＴＡＣバイト　Ｓ２０ＱＰＷＬＮＲ０６[rn]
27-9453,http://tshop.r10s.jp/egaos/cabinet/trusco-b/1/16/2927004.jpg?fitin=700:700,3110.4000,,花・ガーデン・DIY > DIY・工具 > その他,ベンリック　ダブルエッジクランプ（セルフカット）２８．６Ｘ１２．７　Ｍ４　ＭＢＤＥＳ０４,,■用途<br>●シンプル＆コンパクト設計により、ワークの多数個取りに最適です。<br><br>■特長<br>●六角レンチによる締め付けで、一度に2個のワークをクランプできます。<br>●ワーク形状に合わせたセルフカットでご使用できます。<br><br>■仕様<br>●幅(mm):28.6～30.7<br>●高さ(mm):12.7<br>●ねじ寸法:M4×0.70<br>●クランプ力(N):2200<br>●奥行(mm):15.7,ベンリック　ダブルエッジクランプ（セルフカット）２８．６Ｘ１２．７　Ｍ４　ＭＢＤＥＳ０４：GAOS　楽天市場店,ベンリック　ダブルエッジクランプ（セルフカット）２８．６Ｘ１２．７　Ｍ４　ＭＢＤＥＳ０４,ベンリック　ダブルエッジクランプ（セルフカット）２８．６Ｘ１２．７　Ｍ４　ＭＢＤＥＳ０４[rn]
