6-12303,,2041.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1,作業用品\切断用品\切断砥石,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●切断スピードが速くステンレスの切断に最適です。<br><br>●ステンレス・金属の切断に。<br><br>●砥材：AZ<br>●粒度(#)：60<br>●硬度：SBF<br>●外径(mm)：105<br>●刃厚(mm)：1.0<br>●穴径(mm)：15<br>●最高使用回転数(rpm)：14500<br>●質量(g)：300<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1：クローバー資材館,『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1,作業用品\切断用品\切断砥石。『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1[rn]
6-12324,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005476420.jpg?fitin=700:700,874.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　サクションチューブ【FTR-051】(4148266) 受注単位1,(4148266),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　サクションチューブ【FTR-051】(4148266) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　サクションチューブ【FTR-051】(4148266) 受注単位1,(4148266)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　サクションチューブ【FTR-051】(4148266) 受注単位1[rn]
6-12325,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005476420.jpg?fitin=700:700,148.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　パッキン押え【FTR-090】(4148568) 受注単位1,(4148568),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　パッキン押え【FTR-090】(4148568) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　パッキン押え【FTR-090】(4148568) 受注単位1,(4148568)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　パッキン押え【FTR-090】(4148568) 受注単位1[rn]
6-12326,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005150313.jpg?fitin=700:700,67737.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ヤマダコーポレーション/ヤマダ　オイル用ハンドバケットポンプ【STB-60 (880135)】(1126741) 受注単位1,作業用品\作業工具\注油器,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●手動式のポンプでオイルの給油を行います。<br>●20L容量の油槽内蔵です。<br>●コンプレッサーのない屋外での作業にも適しています。<br>●流量計（フィルター付）。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ヤマダコーポレーション/ヤマダ　オイル用ハンドバケットポンプ【STB-60 (880135)】(1126741) 受注単位1：クローバー資材館,『カード対応OK！』■〒ヤマダコーポレーション/ヤマダ　オイル用ハンドバケットポンプ【STB-60 (880135)】(1126741) 受注単位1,作業用品\作業工具\注油器。『カード対応OK！』■〒ヤマダコーポレーション/ヤマダ　オイル用ハンドバケットポンプ【STB-60 (880135)】(1126741) 受注単位1[rn]
6-12327,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005462580.jpg?fitin=700:700,8104.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ザーレンコーポレーション/マクノート　シマルーベ自動給油器　グリス２５０ＣＣ付き【SL01-250】(3960803) 受注単位1,作業用品\作業工具\注油器,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●給油期間（1～12ヵ月）を1ヵ月単位で自由に設定することができます。<br>●環境配慮設計（リサイクル容器使用）です。<br>●360°取り付け方向に制限はありません。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ザーレンコーポレーション/マクノート　シマルーベ自動給油器　グリス２５０ＣＣ付き【SL01-250】(3960803) 受注単位1：クローバー資材館,『カード対応OK！』■〒ザーレンコーポレーション/マクノート　シマルーベ自動給油器　グリス２５０ＣＣ付き【SL01-250】(3960803) 受注単位1,作業用品\作業工具\注油器。『カード対応OK！』■〒ザーレンコーポレーション/マクノート　シマルーベ自動給油器　グリス２５０ＣＣ付き【SL01-250】(3960803) 受注単位1[rn]
6-12328,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002818075.jpg?fitin=700:700,3456.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ザーレンコーポレーション/マクノート　ばね式自動グリスカップ【PETORO-2】(3249247) 受注単位1,作業用品\作業工具\注油器,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●一度の注油で1～4週間、ばね圧力で自動給油します。<br>●透明ドーム型で、グリスの残量が目視できます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ザーレンコーポレーション/マクノート　ばね式自動グリスカップ【PETORO-2】(3249247) 受注単位1：クローバー資材館,『カード対応OK！』■〒ザーレンコーポレーション/マクノート　ばね式自動グリスカップ【PETORO-2】(3249247) 受注単位1,作業用品\作業工具\注油器。『カード対応OK！』■〒ザーレンコーポレーション/マクノート　ばね式自動グリスカップ【PETORO-2】(3249247) 受注単位1[rn]
6-12329,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005476418.jpg?fitin=700:700,148.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＫ８用　ボルト【FTK-035】(4149076) 受注単位1,(4149076),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＫ８用　ボルト【FTK-035】(4149076) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＫ８用　ボルト【FTK-035】(4149076) 受注単位1,(4149076)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＫ８用　ボルト【FTK-035】(4149076) 受注単位1[rn]
6-12330,,233.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　Ｏリング【FTR-016】(3010449) 受注単位1,(3010449),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　Ｏリング【FTR-016】(3010449) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　Ｏリング【FTR-016】(3010449) 受注単位1,(3010449)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　Ｏリング【FTR-016】(3010449) 受注単位1[rn]
6-12331,,3180.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZEB4-250】(7624522) 絶縁エクステンションバー　差込角１２．７ｍｍ　２５０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●安全を目視で確認できるセーフティーサイン付です。<br>●素早く簡単にソケットを装着することができます。<br>●鍛造ボディにより強度が強くなっています。<br><br>●電気自動車及びハイブリッド車、一般低電圧作業用<br><br>●差込角(mm)：12.7<br>●全長(mm)：266<br>●質量(g)：331<br><br><br>●クロームバナジウム鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZEB4-250】(7624522) 絶縁エクステンションバー　差込角１２．７ｍｍ　２５０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZEB4-250】(7624522) 絶縁エクステンションバー　差込角１２．７ｍｍ　２５０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZEB4-250】(7624522) 絶縁エクステンションバー　差込角１２．７ｍｍ　２５０ｍｍ 受注単位1[rn]
6-12332,,1097.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSS-07】(7623551) 絶縁片口スパナ　７ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●強靭なクロムバナジウム鋼鍛造品で、高いトルク値をクリアしています。<br>●耐電圧試験済みです。<br><br><br>●二面幅寸法(mm)：7<br>●全長(mm)：88<br>●厚み(mm)：6.6<br>●質量(g)：20<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSS-07】(7623551) 絶縁片口スパナ　７ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSS-07】(7623551) 絶縁片口スパナ　７ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSS-07】(7623551) 絶縁片口スパナ　７ｍｍ 受注単位1[rn]
6-12333,,31150.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-39】(4985931) 防爆ドライバーセット６本組 受注単位1,作業用品\絶縁・防爆工具\ドライバー・六角棒レンチ（防爆）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●各種ねじの締め付け、取り外し作業に使用します。<br>●石油化学工場、精油所、製錬所、船舶、ガス工場、ペイント工場、化学工場など火花を嫌う場所で使用します。<br>●米国認定機関FMRC認定取得しています。<br><br>●火花を嫌う場所でのねじ、ビスの締め緩め作業。<br><br>●セット内容：AMCS-48、49、50、1099A、1099、1100<br><br><br>●ベリリウム銅合金<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-39】(4985931) 防爆ドライバーセット６本組 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-39】(4985931) 防爆ドライバーセット６本組 受注単位1,作業用品\絶縁・防爆工具\ドライバー・六角棒レンチ（防爆）。『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-39】(4985931) 防爆ドライバーセット６本組 受注単位1[rn]
6-12334,,1181.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZEB2-50】(7624425) 絶縁エクステンションバー　差込角６．３５ｍｍ　５０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●安全を目視で確認できるセーフティーサイン付です。<br>●素早く簡単にソケットを装着することができます。<br>●鍛造ボディにより強度が強くなっています。<br><br>●電気自動車及びハイブリッド車、一般低電圧作業用<br><br>●差込角(mm)：6.35<br>●全長(mm)：66<br>●質量(g)：30<br><br><br>●クロームバナジウム鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZEB2-50】(7624425) 絶縁エクステンションバー　差込角６．３５ｍｍ　５０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZEB2-50】(7624425) 絶縁エクステンションバー　差込角６．３５ｍｍ　５０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZEB2-50】(7624425) 絶縁エクステンションバー　差込角６．３５ｍｍ　５０ｍｍ 受注単位1[rn]
6-12335,,21194.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D18MM】(4985770) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺１８ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●インパクト用スタンダードタイプの六角ソケットです。<br>●石油化学工場、精油所、精錬所、船舶、ガス工場、ペイント工場、化学工場など火花を嫌う場所で使用します。<br>●米国認定機関FMRC認定取得しています。<br><br><br>●二面幅寸法(mm)：18<br>●全長(mm)：37<br>●質量(g)：115<br><br><br>●ニッケルアルミ銅合金<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D18MM】(4985770) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺１８ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D18MM】(4985770) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺１８ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）。『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D18MM】(4985770) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺１８ｍｍ 受注単位1[rn]
6-12336,,2115.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZRP-200】(7623437) 絶縁ラジオペンチ　２００ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●ハンドル部は安全を目視で確認できるセーフティーサイン仕様です。<br>●先端が強靭で折れず曲がらず切れ味に優れています。<br>160<br><br>●全長(mm)：200<br>●切断能力(mm)硬線：1.6<br>●質量(g)：160<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZRP-200】(7623437) 絶縁ラジオペンチ　２００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZRP-200】(7623437) 絶縁ラジオペンチ　２００ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZRP-200】(7623437) 絶縁ラジオペンチ　２００ｍｍ 受注単位1[rn]
6-12337,,900.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ2-06S】(7624000) 絶縁ソケット（６角）　差込角６．３５　対辺６ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●安全を目視で確認できるセーフティーサイン付です。<br>●接触面が高いトルクをかけてもボルトナットを傷めにくくなっています。<br>●耐電圧試験済みです。<br><br><br>●二面幅寸法(mm)：6<br>●差込角(mm)：6.35<br>●全長(mm)：41<br>●質量(g)：19<br><br>●クロムメッキ仕上げ<br>●クロムメッキ仕上げ<br><br>●クロムバナジウム鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ2-06S】(7624000) 絶縁ソケット（６角）　差込角６．３５　対辺６ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ2-06S】(7624000) 絶縁ソケット（６角）　差込角６．３５　対辺６ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ2-06S】(7624000) 絶縁ソケット（６角）　差込角６．３５　対辺６ｍｍ 受注単位1[rn]
6-12338,,900.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ2-09S】(7624034) 絶縁ソケット（６角）　差込角６．３５　対辺９ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●安全を目視で確認できるセーフティーサイン付です。<br>●接触面が高いトルクをかけてもボルトナットを傷めにくくなっています。<br>●耐電圧試験済みです。<br><br><br>●二面幅寸法(mm)：9<br>●差込角(mm)：6.35<br>●全長(mm)：41<br>●質量(g)：22<br><br>●クロムメッキ仕上げ<br>●クロムメッキ仕上げ<br><br>●クロムバナジウム鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ2-09S】(7624034) 絶縁ソケット（６角）　差込角６．３５　対辺９ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ2-09S】(7624034) 絶縁ソケット（６角）　差込角６．３５　対辺９ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ2-09S】(7624034) 絶縁ソケット（６角）　差込角６．３５　対辺９ｍｍ 受注単位1[rn]
6-12339,,25435.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D25MM】(4985842) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺２５ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●インパクト用スタンダードタイプの六角ソケットです。<br>●石油化学工場、精油所、精錬所、船舶、ガス工場、ペイント工場、化学工場など火花を嫌う場所で使用します。<br>●米国認定機関FMRC認定取得しています。<br><br><br>●二面幅寸法(mm)：25<br>●全長(mm)：38<br>●質量(g)：225<br><br><br>●ニッケルアルミ銅合金<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D25MM】(4985842) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺２５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D25MM】(4985842) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺２５ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）。『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D25MM】(4985842) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺２５ｍｍ 受注単位1[rn]
6-12340,,1033.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZND-11】(7623828) 絶縁ナットドライバー　１１ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●人間工学に基づいたグリップデザインを採用。<br>●セーフティーサイン付です。<br><br>●電気・通信設備工事などの作業に適しています。<br><br>●二面幅寸法(mm)：11<br>●全長(mm)：235<br>●軸長(mm)：125<br><br>●軸部は全面焼入れ処理。<br><br>●バナジウム鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZND-11】(7623828) 絶縁ナットドライバー　１１ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZND-11】(7623828) 絶縁ナットドライバー　１１ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZND-11】(7623828) 絶縁ナットドライバー　１１ｍｍ 受注単位1[rn]
6-12341,,3292.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZMR-150】(7623330) 絶縁モンキーレンチ　１５０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●ＪＩＳ規格よりワンサイズ上の口開きワイドタイプです。<br>●耐電圧試験済みです。<br>●目盛付です。<br><br><br>●全長(mm)：163<br>●最大口開き(mm)：24<br>●質量(g)：145<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZMR-150】(7623330) 絶縁モンキーレンチ　１５０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZMR-150】(7623330) 絶縁モンキーレンチ　１５０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZMR-150】(7623330) 絶縁モンキーレンチ　１５０ｍｍ 受注単位1[rn]
6-12342,,35131.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDWI-1/2D23MM】(4985583) 防爆インパクトディープソケット　差込み１２．７ｍｍ　対辺２３ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●インパクト用ディープタイプ六角ソケットです。<br>●石油化学工場、精油所、精錬所、船舶、ガス工場、ペイント工場、化学工場など火花を嫌う場所で使用します。<br>●米国認定機関FMRC認定取得しています。<br><br><br>●二面幅寸法(mm)：23<br>●全長(mm)：75<br>●質量(g)：385<br><br><br>●ニッケルアルミ銅合金<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDWI-1/2D23MM】(4985583) 防爆インパクトディープソケット　差込み１２．７ｍｍ　対辺２３ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDWI-1/2D23MM】(4985583) 防爆インパクトディープソケット　差込み１２．７ｍｍ　対辺２３ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）。『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDWI-1/2D23MM】(4985583) 防爆インパクトディープソケット　差込み１２．７ｍｍ　対辺２３ｍｍ 受注単位1[rn]
