14-188801,http://tshop.r10s.jp/bebike/cabinet/shimano/y04110000_1.jpg?fitin=700:700,728.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,シマノ プレミアムグリス 50g Y04110000 【80】 自転車 グリス bebike,プレミアムグリス 50g (Y04110000) シマノ　自転車 グリス,"プレミアムグリス 50g （旧名称：デュラエースグリス） (Y04110000) シマノ<br><BR><BR>耐水性・耐熱性・耐圧性にすぐれ水や汚れの侵入を防ぎ、製品本来の性能を十分に発揮させます。稼働部の抵抗を減らし、ゴムシール部を傷める恐れもありません。<BR><BR>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/shimano7/premiumgrease.jpg""><br>
<table width=""100%"" cellpadding=""10"">
  <tr>
    <td>プレミアムグリス 50g Y04110000</td>
  </tr>
  <tr>
    <td>プレミアムグリス 100g チューブ入り Y04110200</td>
  </tr>
  <tr>
    <td> プレミアムグリス 500g Y04110010 </td>
  </tr>
</table>",シマノ プレミアムグリス 50g Y04110000 【80】 自転車 グリス bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイシマノ プレミアムグリス 50g Y04110000 【80】 自転車 グリス bebike,プレミアムグリス 50g (Y04110000) シマノ　自転車 グリス。シマノ プレミアムグリス 50g Y04110000 【80】 自転車 グリス bebike[rn]
14-188861,http://tshop.r10s.jp/bebike/cabinet/option14/parktool-tr-1.jpg?fitin=700:700,658.4000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,ParkTool (パークツール) TR-1 チューブリペアキット 自転車 工具,ParkTool (パークツール)  自転車 工具,"ParkTool (パークツール) TR-1 チューブリペアキット 自転車 工具<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option14/parktool-tr-1.jpg"" width=""100%""><br>
<br>
<table width=""100%"" border=""0"" cellpadding=""10"" cellspacing=""0"">
  <tr> 
    <td>スーパーパッチとタイヤレバーをセットにしました。TL-1が3本とGP-2が6枚入っています。    </td>
  </tr>
</table>",ParkTool (パークツール) TR-1 チューブリペアキット 自転車 工具：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイParkTool (パークツール) TR-1 チューブリペアキット 自転車 工具,ParkTool (パークツール)  自転車 工具。ParkTool (パークツール) TR-1 チューブリペアキット 自転車 工具[rn]
14-188862,http://tshop.r10s.jp/bebike/cabinet/option14/parktool-ptd-4.jpg?fitin=700:700,4533.6000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,ParkTool (パークツール) PTD-4/5/6 トルクドライバー ブラック PTD-4 自転車 工具,ParkTool (パークツール)  自転車 工具,"ParkTool (パークツール) PTD-4/5/6 トルクドライバー ブラック PTD-4 自転車 工具<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option14/parktool-ptd-4.jpg"" width=""100%""><br>
<br>
<table width=""100%"" border=""0"" cellpadding=""10"" cellspacing=""0"">
  <tr> 
    <td>CFRP（カーボン樹脂）などの低い締め付けト ルクが必要なときに便利なＴ型トルクドライバ ー。<br>
トルク値が固定式で、素早い作業が可能です。<br>
トルク値が見分けやすい、黒、緑、赤のグリップ表示。    </td>
  </tr>
</table>
<br>
<table width=""100%"" border=""0"" cellpadding=""5"" cellspacing=""1"" bgcolor=""#333333"">
  <tr valign=""top"" bgcolor=""#E8E8E8""> 
    <td colspan=""2"" valign=""top"">仕様</td></tr>
  <tr valign=""top""> <td align=""left"" bgcolor=""#FFFFFF"">設定トルク値： 可変式 4/4.5/5/5.5/6 Nm</td></tr>
  <tr valign=""top""> <td align=""left"" bgcolor=""#FFFFFF"">対応ビットサイズ： 6.35mm</td></tr>
  <tr valign=""top""> <td align=""left"" bgcolor=""#FFFFFF"">付属ビット： 六角 3/4/5mm トルクスタイプレンチ T25</td></tr>
</table>",ParkTool (パークツール) PTD-4/5/6 トルクドライバー ブラック PTD-4 自転車 工具：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイParkTool (パークツール) PTD-4/5/6 トルクドライバー ブラック PTD-4 自転車 工具,ParkTool (パークツール)  自転車 工具。ParkTool (パークツール) PTD-4/5/6 トルクドライバー ブラック PTD-4 自転車 工具[rn]
14-188863,http://tshop.r10s.jp/bebike/cabinet/option14/parktool-mw-set-2.jpg?fitin=700:700,8376.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,ParkTool (パークツール) MW-SET.2 レンチセット 自転車 工具,ParkTool (パークツール)  自転車 工具,"ParkTool (パークツール) MW-SET.2 レンチセット 自転車 工具<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option14/parktool-mw-set-2.jpg"" width=""100%""><br>
<br>
<table width=""100%"" border=""0"" cellpadding=""10"" cellspacing=""0"">
  <tr> 
    <td>スパナ×メガネのコンビネーションレンチセット。樹脂のディッピングを施し、手になじみやすい仕様です。    </td>
  </tr>
</table>
<br>
<table width=""100%"" border=""0"" cellpadding=""5"" cellspacing=""1"" bgcolor=""#333333"">
  <tr valign=""top"" bgcolor=""#E8E8E8""> 
    <td colspan=""2"" valign=""top"">仕様</td></tr>
  <tr valign=""top""> <td align=""left"" bgcolor=""#FFFFFF"">12本組</td></tr>
  <tr valign=""top""> <td align=""left"" bgcolor=""#FFFFFF"">サイズ：6/7/8/9/10/11/12/13/14/15/16/17mm</td></tr>
  <tr valign=""top""> <td align=""left"" bgcolor=""#FFFFFF"">※ 単品での販売は行っておりません。 </td></tr>
</table>",ParkTool (パークツール) MW-SET.2 レンチセット 自転車 工具：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイParkTool (パークツール) MW-SET.2 レンチセット 自転車 工具,ParkTool (パークツール)  自転車 工具。ParkTool (パークツール) MW-SET.2 レンチセット 自転車 工具[rn]
14-188864,http://tshop.r10s.jp/bebike/cabinet/option14/parktool-bbt-49.jpg?fitin=700:700,2639.2000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,ParkTool (パークツール) BBT-49 ボトムブラケットツール 自転車 工具,ParkTool (パークツール)  自転車 工具,"ParkTool (パークツール) BBT-49 ボトムブラケットツール 自転車 工具<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option14/parktool-bbt-49.jpg"" width=""100%""><br>
<br>
<table width=""100%"" border=""0"" cellpadding=""10"" cellspacing=""0"">
  <tr> 
    <td>シマノ Dura-AceやXTRなどに採用されている16ノッチ、外径39mmのエクスターナルタイプのBBカップ用ボトムブラケットツール。<br>
CNC加工による高精度で加工されたアルミ製のツールはBBを傷つけにくい仕様となっています。<br>
ツール外周に施されたローレットにより、手による早回しも可能。<br>
ラチェットレンチやトルクレンチに取り付けて、作業をしてください。    </td>
  </tr>
</table>
<br>
<table width=""100%"" border=""0"" cellpadding=""5"" cellspacing=""1"" bgcolor=""#333333"">
  <tr valign=""top"" bgcolor=""#E8E8E8""> 
    <td colspan=""2"" valign=""top"">仕様</td></tr>
  <tr valign=""top""> <td align=""left"" bgcolor=""#FFFFFF"">適応BB： シマノ　Dura-Ace BB9000、XTR BB93など （外径39mmφ） </td></tr>
  <tr valign=""top""> <td align=""left"" bgcolor=""#FFFFFF"">差込角：9.5mm角（3/8""sq）</td></tr>
  <tr valign=""top""> <td align=""left"" bgcolor=""#FFFFFF"">材質：アルミ</td></tr>
</table>",ParkTool (パークツール) BBT-49 ボトムブラケットツール 自転車 工具：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイParkTool (パークツール) BBT-49 ボトムブラケットツール 自転車 工具,ParkTool (パークツール)  自転車 工具。ParkTool (パークツール) BBT-49 ボトムブラケットツール 自転車 工具[rn]
14-188865,http://tshop.r10s.jp/bebike/cabinet/option14/parktool-bo-2.jpg?fitin=700:700,717.6000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,ParkTool (パークツール) BO-2 ボトルオープナー 自転車 工具,ParkTool (パークツール)  自転車 工具,"ParkTool (パークツール) BO-2 ボトルオープナー 自転車 工具<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option14/parktool-bo-2.jpg"" width=""100%""><br>
<br>
<table width=""100%"" border=""0"" cellpadding=""10"" cellspacing=""0"">
  <tr> 
    <td>工具箱に収めておきたいツールのひとつ、ボトルオープナー。<br>
パークツールデザインのユニークなキッチンツールです。    </td>
  </tr>
</table>",ParkTool (パークツール) BO-2 ボトルオープナー 自転車 工具：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイParkTool (パークツール) BO-2 ボトルオープナー 自転車 工具,ParkTool (パークツール)  自転車 工具。ParkTool (パークツール) BO-2 ボトルオープナー 自転車 工具[rn]
14-188866,http://tshop.r10s.jp/bebike/cabinet/option10/ktc-ht10-4.jpg?fitin=700:700,403.2000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,KTC HT10-4 T形六角棒レンチ 自転車 工具,KTC T形六角棒レンチ,"KTC HT10-4 T形六角棒レンチ 自転車 工具<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option10/ktc-ht10-4.jpg"" width=""100%""><br>
<br>
T型ハンドルで早回し作業に適しています。奥深い個所に取り付けてある六角ボルトの脱着に便利です。<br>
<br>
<table width=""100%"" border=""0"" cellpadding=""5"" cellspacing=""1"" bgcolor=""#333333"">
  <tr valign=""top"" bgcolor=""#E8E8E8""> 
    <td colspan=""3""><b>仕様</b></td>
  </tr>
  <tr valign=""top""> 
    <td width=""30%"" bgcolor=""#FFFFFF"">重量</td>
    <td bgcolor=""#FFFFFF"">40g</td>
  </tr>
  <tr valign=""top""> 
    <td width=""30%"" bgcolor=""#FFFFFF"">サイズ</td>
    <td bgcolor=""#FFFFFF"">4mm</td>
  </tr>
  <tr valign=""top""> 
    <td width=""30%"" bgcolor=""#FFFFFF"">軸長</td>
    <td bgcolor=""#FFFFFF"">134mm</td>
  </tr>
</table>",KTC HT10-4 T形六角棒レンチ 自転車 工具：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイKTC HT10-4 T形六角棒レンチ 自転車 工具,KTC T形六角棒レンチ。KTC HT10-4 T形六角棒レンチ 自転車 工具[rn]
14-188867,http://tshop.r10s.jp/bebike/cabinet/option13/lgsac-tl-lgs-001.jpg?fitin=700:700,1508.8000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,(ポイント10倍) LOUIS GARNEAU 限定 LGS MINI TOOL ブラック 自転車 工具,LOUIS GARNEAU 自転車 工具,"LOUIS GARNEAU 限定 LGS MINI TOOL ブラック 自転車 工具<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option13/lgsac-tl-lgs-001.jpg"" width=""100%""><br>
<br>
<table width=""100%"" border=""0"" cellpadding=""10"" cellspacing=""0"">
  <tr> 
    <td>ちょっとしたトラブルもこれがあれば安心。<br>
LOUIS GARNEAUロゴ入りかわいいミニツール。    </td>
  </tr>
</table>
<br>
<table width=""100%"" border=""0"" cellpadding=""5"" cellspacing=""1"" bgcolor=""#333333"">
  <tr valign=""top"" bgcolor=""#E8E8E8""> 
    <td colspan=""2"" valign=""top"">仕様</td></tr>
  <tr valign=""top""> <td align=""left"" bgcolor=""#FFFFFF"">内容：アーレンキー1.5/2/2.5/3/4/5/6mm・トルクスレンチ25mm・+/-ドライバー</td></tr>
  <tr valign=""top""> <td align=""left"" bgcolor=""#FFFFFF"">重量：68g</td></tr>
</table>",(ポイント10倍) LOUIS GARNEAU 限定 LGS MINI TOOL ブラック 自転車 工具：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイ(ポイント10倍) LOUIS GARNEAU 限定 LGS MINI TOOL ブラック 自転車 工具,LOUIS GARNEAU 自転車 工具。(ポイント10倍) LOUIS GARNEAU 限定 LGS MINI TOOL ブラック 自転車 工具[rn]
14-188868,http://tshop.r10s.jp/bebike/cabinet/option13/lgsac-tl-lgs-004.jpg?fitin=700:700,1508.8000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,(ポイント10倍) LOUIS GARNEAU 限定 LGS MINI TOOL ライトブルー 自転車 工具,LOUIS GARNEAU 自転車 工具,"LOUIS GARNEAU 限定 LGS MINI TOOL ライトブルー 自転車 工具<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option13/lgsac-tl-lgs-004.jpg"" width=""100%""><br>
<br>
<table width=""100%"" border=""0"" cellpadding=""10"" cellspacing=""0"">
  <tr> 
    <td>ちょっとしたトラブルもこれがあれば安心。<br>
LOUIS GARNEAUロゴ入りかわいいミニツール。    </td>
  </tr>
</table>
<br>
<table width=""100%"" border=""0"" cellpadding=""5"" cellspacing=""1"" bgcolor=""#333333"">
  <tr valign=""top"" bgcolor=""#E8E8E8""> 
    <td colspan=""2"" valign=""top"">仕様</td></tr>
  <tr valign=""top""> <td align=""left"" bgcolor=""#FFFFFF"">内容：アーレンキー1.5/2/2.5/3/4/5/6mm・トルクスレンチ25mm・+/-ドライバー</td></tr>
  <tr valign=""top""> <td align=""left"" bgcolor=""#FFFFFF"">重量：68g</td></tr>
 </table>",(ポイント10倍) LOUIS GARNEAU 限定 LGS MINI TOOL ライトブルー 自転車 工具：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイ(ポイント10倍) LOUIS GARNEAU 限定 LGS MINI TOOL ライトブルー 自転車 工具,LOUIS GARNEAU 自転車 工具。(ポイント10倍) LOUIS GARNEAU 限定 LGS MINI TOOL ライトブルー 自転車 工具[rn]
14-188869,http://tshop.r10s.jp/bebike/cabinet/tool/bg-br-016.jpg?fitin=700:700,3072.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,BIRZMAN BG-BR-016 ZYKLOP VOYAGER2 スマートフォンケース【バック】【FOR SMART PHONE】 JAN：4714247515109 【バーズマン】 bebike,■5400円(税込)以上送料無料■,"BIRZMAN BG-BR-016 ZYKLOP VOYAGER2 スマートフォンケース 【バック】【FOR SMART PHONE】 JAN：4714247515109 【バーズマン】スマホ 自転車
<br>
<br>
●トップチューブ、ステム、ハンドルバーに取付可能<br>
●モバイル・GPSなど収納でき安全なハードボディ<br>●画面タッチ操作が収納したまま可能。<br>
●防水効果の高いハードボディ＆ジッパー採用。（材質：ABS+環境保護対応PVC<br>
●ブラケットからワンタッチ取り外しが可能",BIRZMAN BG-BR-016 ZYKLOP VOYAGER2 スマートフォンケース【バック】【FOR SMART PHONE】 JAN：4714247515109 【バーズマン】 bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイBIRZMAN BG-BR-016 ZYKLOP VOYAGER2 スマートフォンケース【バック】【FOR SMART PHONE】 JAN：4714247515109 【バーズマン】 bebike,■5400円(税込)以上送料無料■。BIRZMAN BG-BR-016 ZYKLOP VOYAGER2 スマートフォンケース【バック】【FOR SMART PHONE】 JAN：4714247515109 【バーズマン】 bebike[rn]
14-188870,http://tshop.r10s.jp/bebike/cabinet/option14/chocobike-tirelever0.jpg?fitin=700:700,720.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,マジックワン　タイヤレバー　CHOCOBIKE TIRE LEVER(2本入り）,マジックワン　タイヤレバー　CHOCOBIKE TIRE LEVER,"マジックワン　タイヤレバー　CHOCOBIKE TIRE LEVER<BR>
マジックワンからチョコレートをモチーフにしたタイヤレバー『CHOCOBIKE TIRE LEVER』が登場しました。
 見た目のインパクトはもちろんですが、強化ナイロンファイバーを採用しタイヤレバーとしての強度も十分です。<BR>
リングやボールチェーンを取り付けるとキーホルダとしてもご利用いただけます。2本セット",マジックワン　タイヤレバー　CHOCOBIKE TIRE LEVER(2本入り）：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイマジックワン　タイヤレバー　CHOCOBIKE TIRE LEVER(2本入り）,マジックワン　タイヤレバー　CHOCOBIKE TIRE LEVER。マジックワン　タイヤレバー　CHOCOBIKE TIRE LEVER(2本入り）[rn]
14-188871,http://tshop.r10s.jp/falcon-bike/cabinet/parts_and_accessory/l/lgs_tool_box_set.jpg?fitin=700:700,7056.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,ルイガノ LGS TOOL BOX SET オプションパーツ LOUIS GARNEAU 自転車 工具 ツール【パーツ総額10800円以上送料無料】,【パーツ総額10800円以上送料無料】,"LOUIS GARNEAUロゴ入りツールボックス。<br>
必要な工具を全て凝縮。このボックスさえあれば日常のメンテナンス時に非常に便利！
<br><br>
■ 内容： アーレンキー1.5/2/2.5/3/4/5/6/8mm、スパナ8/10mm、チェーンカッター、スポークレンチ、プラハンマー、ペダルレンチ、ミニモンキー、+/-ドライバー、タイヤレバー(3本セット)、ケーブルカッター",ルイガノ LGS TOOL BOX SET オプションパーツ LOUIS GARNEAU 自転車 工具 ツール【パーツ総額10800円以上送料無料】：FALCON BIKE,自転車クロスバイクロードバイクMTBミヤタ MIYATAメリダ MERIDAフジ FUJIコーダーブルーム KhodaaBloomジオス GIOSフェルト FELTGT子供自転車キッズバイクかご付きレベナBWXフェザー FEATHREスクルトゥーラピストバイクアッソンルイガノ LGS TOOL BOX SET オプションパーツ LOUIS GARNEAU 自転車 工具 ツール【パーツ総額10800円以上送料無料】,【パーツ総額10800円以上送料無料】。ルイガノ LGS TOOL BOX SET オプションパーツ LOUIS GARNEAU 自転車 工具 ツール【パーツ総額10800円以上送料無料】[rn]
14-188872,http://tshop.r10s.jp/falcon-bike/cabinet/parts_and_accessory/l/lgs_mini_tool.jpg?fitin=700:700,1584.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,ルイガノ LGS MINI TOOL オプションパーツ LOUIS GARNEAU 自転車 携帯工具 ツール【パーツ総額10800円以上送料無料】,【パーツ総額10800円以上送料無料】,"ちょっとしたトラブルもこれがあれば安心。LOUIS GARNEAUロゴ入りかわいいミニツール。
<br><br>
■ 内容： アーレンキー1.5/2/2.5/3/4/5/6mm・トルクスレンチ25mm・+/-ドライバー<br>
■ 重量：68g",ルイガノ LGS MINI TOOL オプションパーツ LOUIS GARNEAU 自転車 携帯工具 ツール【パーツ総額10800円以上送料無料】：FALCON BIKE,自転車クロスバイクロードバイクMTBミヤタ MIYATAメリダ MERIDAフジ FUJIコーダーブルーム KhodaaBloomジオス GIOSフェルト FELTGT子供自転車キッズバイクかご付きレベナBWXフェザー FEATHREスクルトゥーラピストバイクアッソンルイガノ LGS MINI TOOL オプションパーツ LOUIS GARNEAU 自転車 携帯工具 ツール【パーツ総額10800円以上送料無料】,【パーツ総額10800円以上送料無料】。ルイガノ LGS MINI TOOL オプションパーツ LOUIS GARNEAU 自転車 携帯工具 ツール【パーツ総額10800円以上送料無料】[rn]
14-188873,http://tshop.r10s.jp/falcon-bike/cabinet/parts_and_accessory/l/lgs_mini_tool_box_se.jpg?fitin=700:700,2520.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,ルイガノ LGS MINI TOOL BOX SET オプションパーツ LOUIS GARNEAU 自転車 携帯工具 ツール【パーツ総額10800円以上送料無料】,【パーツ総額10800円以上送料無料】,"小型ながらボックスレンチ、ドライバー、トルクスレンチ、アレンキーまでセットされ使い勝手のいいラチェットツール。
<br><br>
■ 内容： アレンキー/1.5/2/2.5/3/4/5/6/8mm、トルクスレンチ10/25mm、ボックスレンチ6/8/10/12/14/15/16mm、+/-ドライバー",ルイガノ LGS MINI TOOL BOX SET オプションパーツ LOUIS GARNEAU 自転車 携帯工具 ツール【パーツ総額10800円以上送料無料】：FALCON BIKE,自転車クロスバイクロードバイクMTBミヤタ MIYATAメリダ MERIDAフジ FUJIコーダーブルーム KhodaaBloomジオス GIOSフェルト FELTGT子供自転車キッズバイクかご付きレベナBWXフェザー FEATHREスクルトゥーラピストバイクアッソンルイガノ LGS MINI TOOL BOX SET オプションパーツ LOUIS GARNEAU 自転車 携帯工具 ツール【パーツ総額10800円以上送料無料】,【パーツ総額10800円以上送料無料】。ルイガノ LGS MINI TOOL BOX SET オプションパーツ LOUIS GARNEAU 自転車 携帯工具 ツール【パーツ総額10800円以上送料無料】[rn]
14-188874,http://tshop.r10s.jp/falcon-bike/cabinet/parts_and_accessory/w/tos11300_2.gif?fitin=700:700,1600.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,ホワイトライトニング リペアキット WHITE LIGHTNING Repair Kit 自転車 携帯工具【パーツ総額10800円以上送料無料】,【パーツ総額10800円以上送料無料】,"<font color=""red""><br>
※商品発送後、サイズやカラーの返品、交換は一切お受けすることができません。予め、ご了承ください。 
</font><br><br>
・クリーンライドワックスループ(19ml)<br>
・グルーレスパッチキット：6枚<br>
・10機能マルチツール<br>
 六角レンチ：2、2.5、3、4、5、6、8mm<br>
 ""Torx""レンチ：T25、(+)ドライバー、(-)ドライバー<br>
 ・タイヤレバー：2本<br>
 ・バンブーサイクルワイプ：3枚<br>
 ※プラスチック製タイヤレバーはリムを保護するため、力を入れすぎると破損します。<br>",ホワイトライトニング リペアキット WHITE LIGHTNING Repair Kit 自転車 携帯工具【パーツ総額10800円以上送料無料】：FALCON BIKE,自転車クロスバイクロードバイクMTBミヤタ MIYATAメリダ MERIDAフジ FUJIコーダーブルーム KhodaaBloomジオス GIOSフェルト FELTGT子供自転車キッズバイクかご付きレベナBWXフェザー FEATHREスクルトゥーラピストバイクアッソンホワイトライトニング リペアキット WHITE LIGHTNING Repair Kit 自転車 携帯工具【パーツ総額10800円以上送料無料】,【パーツ総額10800円以上送料無料】。ホワイトライトニング リペアキット WHITE LIGHTNING Repair Kit 自転車 携帯工具【パーツ総額10800円以上送料無料】[rn]
14-188875,http://tshop.r10s.jp/falcon-bike/cabinet/parts_and_accessory/n/076513.jpg?fitin=700:700,6840.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,花咲かG マルチクリーナー 汚れ落とし クリーナー 4リットル【油落とし】洗剤 メンテナンス剤 HANASAKA-G Multi-Cleaner MAINTENANCE 自転車,【パーツ総額10800円以上送料無料】,"◆花咲かＧマルチクリーナーは、手にも、環境にも“優しい”脱脂洗浄剤です。◆<br>◆水で３～３０倍に薄めて、常温で使用します。◆<br>
「汚れも落ちるが指紋もなくなる」というのとは違って、におい、刺激、毒性、引火などの危険性がなく、手にも環境にも優しい製品です。トリクロロエチレン と同等の脱脂性を発揮します。<br><br>

■容量<br>

4L<br><br>

■使用例<br>

１）汚れに応じて、本製品の原液を、３倍～３０倍に水で薄めた液を作ります。<br>２）市販のスプレー容器に薄めた液を入れてシュッ・シュッ！　と、吹き付けます。<br>３）３～５分後にブラシを併用して、水で洗い流します。<br>４）布でよく拭きあげて、乾かします。それだけで終了です。<br><br>

エンジンや、キャブ、ミッションなどの油汚れを落とすことができます。その他、分解した機械部品の脱脂、洗浄に最適です。<br>また、洗車時のシャンプーとして使ったり、油汚れのひどい軍手や作業衣の洗濯にも使用できます。<br>噴霧、ハケ洗い、浸けおき、などなど使用法を選ばず、泡が出ないので、仕上げも楽です。<br><br>

■<font color=""FF0000"">注意点</font><br>

ご使用にあたり、商品裏面の「取扱い説明文」も併せて読み、よく理解したうえで作業を開始して下さい。<br><br>

■アッパレ！ 花咲かG■<br>

花咲かＧは、レストアのプロフェショナルの経験から生まれた“究極の”メンテナンス・ケミカルです。<br>花咲かＧは、仏壇からロケットまで！<br>多種多様なニーズに対応しています。<br><br>

<font color=""FF0000""><br>※商品の仕様は予告無く変更される場合がございます。<br>また、掲載されています写真は実際の品と異なることがございます。<br>届いてからのサイズ変更などは受け付けておりませんので、よくご確認のうえご購入下さい。</font>",花咲かG マルチクリーナー 汚れ落とし クリーナー 4リットル【油落とし】洗剤 メンテナンス剤 HANASAKA-G Multi-Cleaner MAINTENANCE 自転車：FALCON BIKE,自転車クロスバイクロードバイクMTBミヤタ MIYATAメリダ MERIDAフジ FUJIコーダーブルーム KhodaaBloomジオス GIOSフェルト FELTGT子供自転車キッズバイクかご付きレベナBWXフェザー FEATHREスクルトゥーラピストバイクアッソン花咲かG マルチクリーナー 汚れ落とし クリーナー 4リットル【油落とし】洗剤 メンテナンス剤 HANASAKA-G Multi-Cleaner MAINTENANCE 自転車,【パーツ総額10800円以上送料無料】。花咲かG マルチクリーナー 汚れ落とし クリーナー 4リットル【油落とし】洗剤 メンテナンス剤 HANASAKA-G Multi-Cleaner MAINTENANCE 自転車[rn]
