14-103301,http://tshop.r10s.jp/brico/cabinet/34/04912033-282209_1.jpg?fitin=700:700,410.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209,ピタッと閉まる・105&deg;/85&deg;開き,"■らくちん微調整・3次元調整・ワンタッチ着脱・開き角度調整可能<br><br>
●規格：NS-4050<br>
●入り数：1個入り<br>
●かぶせ（セット）：全かぶせ<br>
●キャッチ：キャッチ付<br>
●カップの直径：40mm<br>
●カップの深さ：13.8mm<br>
●材質：スチール/ニッケルメッキ仕上<br>
●付属ネジ：皿タッピングφ3.5×16mm（4本入） <br><br>
<font color=""#ff0000"">※1個だけが壊れた場合でもその扉についている全ての丁番を取り替えて下さい。</font><br>
<br>
<font color=""#FF0000"">※こちらの商品は2個まで1メール便での発送が可能です。<br>

メール便の詳細はこちら</font>",【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209,ピタッと閉まる・105&deg;/85&deg;開き。【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209[rn]
14-103355,http://tshop.r10s.jp/doremi/cabinet/item52000/4936068944306.jpg?fitin=700:700,1414.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,住まいのマニキュアミニ 10色セット 4936068944306【取寄商品】【DIY・ガーデン】,【DIY・ガーデン】,筆ペン先仕様で細かいキズにもはみ出さないフローリング用キズ補修用品です。,住まいのマニキュアミニ 10色セット 4936068944306【取寄商品】【DIY・ガーデン】：ドレミドラッグ,ドレミドラッグアクトノブNOV３オリーブマノンビーバンジョアアトレージュシークレットマジークデルマＱプラセントップノブ化粧品アトピーNOV2ナイシトールタウロミンドレミドラッグサラシノールコンドームNOVACNOV中国住まいのマニキュアミニ 10色セット 4936068944306【取寄商品】【DIY・ガーデン】,【DIY・ガーデン】。住まいのマニキュアミニ 10色セット 4936068944306【取寄商品】【DIY・ガーデン】[rn]
14-103356,http://tshop.r10s.jp/rakuten24/cabinet/e3698/e369813h_l.jpg?fitin=700:700,602.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,靴底補修剤 ブラック 50g【楽天24】【あす楽対応】[アイメディア 靴の補修],アイメディア/税抜1880円以上送料無料,"<p>税抜1880円以上送料無料/靴底補修剤 ブラック 50g<br>楽天24＞DIY・ガーデン＞補修用品＞靴の補修・お手入れ＞靴の補修＞<br>ブランド：アイメディア/販売元：アイメディア</p>内容量：50g   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「靴底補修剤 ブラック 50g」は、靴底のスリ減った部分の肉盛り補修、ハガレ・ヒビ割れの補修剤です。細口チューブで塗りやすいです。<br>プレート2枚、サンドペーパー、ヘラ付き。<br><b>使用方法</b><br>1：肉盛り・接着する面の汚れや油をよく落とし、必ずサンドペーパーで補修面を良く磨いてください。<br>2：付着のプレートをかかと部分にテープで固定してください。<br>3：肉盛りする部分に補修剤を直接塗り、ヘラで平らにのばしてください。<br>4：完全に固まったらプレートを取り外し、はみ出した部分をハサミ等で切り取ってください。<br>※分厚く肉盛りする場合は一度に塗る厚さを約3mm程度までにし、完全に固まった後に、もう一度重ね塗りを繰り返してください。厚塗りすると乾燥に時間がかかります。<br>※ハガレ等の補修に使用する場合は両面にヘラで均一にうすく塗り、約5-10分程度乾かしてから強く貼り合わせてください。<br>※成形に使うプレートは、ご家庭の牛乳パックでも代用できます。<br><b>使用上の注意</b><br>●接着できないもの(油の付着しているもの、シリコン樹脂、フッ素樹脂、塩化ビニール、ポリエチレン、ポリプロピレン等)がありますのでご注意ください。<br>●用途以外の目的に使用しないでください。<br>●補修した靴を履くのは、24時間以上完全に乾燥させてからにしてください。<br>●使用後はチューブのキャップをキレイに掃除し、キャップをしっかりと閉めてください。<br>●衣服に付くと取れにくいのでご注意ください。<br>●皮膚に付いたら、すぐに洗い流してください。<br>●アレルギー症状が出た方は、以後使用しないでください。<br>●幼児の手の届かない場所に保管してください。<br>●直射日光の当たらない涼しい場所に保管してください。<br><b>品質表示</b><br>●溶剤：エチルシクロヘキサン66%・メチルイソブチルケトン34%<br>●材質：合成ゴム<br>●ヘラ：木サンド<br>●ペーパー：紙・硅砂<br>●プレート：ポリプロピレン<br><b>原産国</b><br>日本<br>JANコード：　4989409063341<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",靴底補修剤 ブラック 50g【楽天24】【あす楽対応】[アイメディア 靴の補修]：楽天24,靴底補修剤 ブラック 50g【楽天24】【あす楽対応】[アイメディア 靴の補修],アイメディア/税抜1880円以上送料無料。靴底補修剤 ブラック 50g【楽天24】【あす楽対応】[アイメディア 靴の補修][rn]
14-103357,http://tshop.r10s.jp/rakuten24/cabinet/e4497/e449735h_l.jpg?fitin=700:700,694.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,コロンブス ヌバック・スエード補色ミスト ブラウン 22ml【楽天24】[コロンブス 靴の補修],コロンブス/税抜1880円以上送料無料,"<p>税抜1880円以上送料無料/コロンブス ヌバック・スエード補色ミスト ブラウン 22ml<br>楽天24＞DIY・ガーデン＞補修用品＞靴の補修・お手入れ＞靴の補修＞<br>ブランド：コロンブス/製造販売元：コロンブス</p>内容量：22ml   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「コロンブス ヌバック・スエード補色ミスト ブラウン 22ml」は、色あせしたヌバックやスエード、ベロア、ムートンなどの起毛革の色を補い、色彩を鮮明に保つ補色剤です。保湿・保革効果のあるローズヒップオイル配合で、革をしっとりと柔らかく保ちます。全体的な色あせだけでなく、部分的な色あせにもお使いいただけます。<br><b>使用方法</b><br>1.付属の手袋を使用して、容器をよく振ってください。<br>2.靴の内側を汚さないために、シュートリーまたは新聞紙を入れてください。<br>3.靴のホコリや汚れを落とし15cmくらい離してムラなく吹き付けてください。<br>4.乾燥後、ブラッシングをして毛足を整えてください。<br><b>ご注意</b><br>●シミや色落ちする革もあります。目立たない部分で試してからご使用ください。<br>●壁や床、衣服等につきますと色が落ちやすくなりますので周囲にかからないようにしてください。<br>●コンビ靴のツヤ革部分やかざり部分、靴底等にかからないようにしてください。<br>●ご使用後はボタン周辺を布で拭いてキャップを閉めてください。<br>●直射日光、高温でのご使用、保管は避けてください。<br>●床につくと滑りますのでご注意ください。<br><b>成分</b><br>エタノール、シリコーン、精製水、ローズヒップオイル<br><b>原産国</b><br>日本<br><b>お問い合わせ先</b><br>株式会社コロンブス お客様相談室<br>TEL：0120-03-7830(土日祝日を除く 10：00-17：00)<br>JANコード：　4971671181830<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",コロンブス ヌバック・スエード補色ミスト ブラウン 22ml【楽天24】[コロンブス 靴の補修]：楽天24,コロンブス ヌバック・スエード補色ミスト ブラウン 22ml【楽天24】[コロンブス 靴の補修],コロンブス/税抜1880円以上送料無料。コロンブス ヌバック・スエード補色ミスト ブラウン 22ml【楽天24】[コロンブス 靴の補修][rn]
14-103358,http://tshop.r10s.jp/rakuten24/cabinet/e4497/e449769h_l.jpg?fitin=700:700,895.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,コロンブス スニーカーケアプロテクション 180ml【楽天24】[コロンブス スニーカーケア用品],コロンブス/税抜1880円以上送料無料,"<p>税抜1880円以上送料無料/コロンブス スニーカーケアプロテクション 180ml<br>楽天24＞DIY・ガーデン＞補修用品＞靴の補修・お手入れ＞スニーカーケア用品＞<br>ブランド：コロンブス/製造販売元：コロンブス</p>内容量：180ml   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「コロンブス スニーカーケアプロテクション 180ml」は、皮革繊維1本1本に、フッ素系撥水・撥油剤をコーティングすることにより水分、ホコリ、ゴミ、油分等の汚れから皮革を守るスプレーです。皮革の柔軟性や通気性を損ないません。<br><b>使用方法</b><br>●容器をよく振ってからご使用ください。<br>●靴のホコリや汚れを落とした後20-25cm離して表面が軽く濡れる程度にスプレーしてください。<br>●1足あたり約5秒を目安にご使用ください。<br><b>ご注意</b><br>●シミや色落ちする革もあります。目立たない部分で試してからご使用ください。<br>●溶剤は引火性ですので、火気や熱源のある所では使用しないでください。<br>●吸い込むと有害ですので、必ず屋外で使用し風上から噴射してください。<br>●室内や車の中では使用しないでください。<br><b>成分</b><br>フッ素樹脂、石油系炭化水素、第4類第1石油類127ml<br><b>原産国</b><br>日本<br><b>お問い合わせ先</b><br>株式会社コロンブス お客様相談室<br>TEL：0120-03-7830(土日祝日を除く 10：00-17：00)<br>JANコード：　4971671185746<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade>本商品は空輸禁止商品です。北海道ならびに沖縄への発送は、お届け予定日よりも遅れる場合がございます。<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",コロンブス スニーカーケアプロテクション 180ml【楽天24】[コロンブス スニーカーケア用品]：楽天24,コロンブス スニーカーケアプロテクション 180ml【楽天24】[コロンブス スニーカーケア用品],コロンブス/税抜1880円以上送料無料。コロンブス スニーカーケアプロテクション 180ml【楽天24】[コロンブス スニーカーケア用品][rn]
14-103359,http://tshop.r10s.jp/rakuten24/cabinet/e4496/e449689h_l.jpg?fitin=700:700,436.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,コロンブス カラーリペア ダークシャンペン【楽天24】[コロンブス 靴の補修],コロンブス/税抜1880円以上送料無料,"<p>税抜1880円以上送料無料/コロンブス カラーリペア ダークシャンペン<br>楽天24＞DIY・ガーデン＞補修用品＞靴の補修・お手入れ＞靴の補修＞<br>ブランド：コロンブス/製造販売元：コロンブス</p>内容量：9g   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「コロンブス カラーリペア ダークシャンペン」は、ツヤ革靴専用の補色クリームです。カバーリング効果のある特殊加工顔料を使用し、靴の色ムラ、キズをカバーします。<br><b>使用方法</b><br>1.補修箇所の表面の汚れを落とします。<br>2.カラーリペアクリームを塗ります。<br>3.ブラシで仕上げます。<br><b>ご注意</b><br>●起毛革やエナメル革には使用できません。<br>●染め替え用ではありません。<br><b>成分</b><br>ろう、油脂、有機溶剤<br><b>原産国</b><br>日本<br><b>お問い合わせ先</b><br>株式会社コロンブス お客様相談室<br>TEL：0120-03-7830(土日祝日を除く 10：00-17：00)<br>JANコード：　4971671901841<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",コロンブス カラーリペア ダークシャンペン【楽天24】[コロンブス 靴の補修]：楽天24,コロンブス カラーリペア ダークシャンペン【楽天24】[コロンブス 靴の補修],コロンブス/税抜1880円以上送料無料。コロンブス カラーリペア ダークシャンペン【楽天24】[コロンブス 靴の補修][rn]
14-103360,http://tshop.r10s.jp/rakuten24/cabinet/e4496/e449677h_l.jpg?fitin=700:700,441.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,コロンブス カラーリペア 銀【楽天24】[コロンブス 靴の補修],コロンブス/税抜1880円以上送料無料,"<p>税抜1880円以上送料無料/コロンブス カラーリペア 銀<br>楽天24＞DIY・ガーデン＞補修用品＞靴の補修・お手入れ＞靴の補修＞<br>ブランド：コロンブス/製造販売元：コロンブス</p>内容量：9g   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「コロンブス カラーリペア 銀」は、ツヤ革靴専用の補色クリームです。カバーリング効果のある特殊加工顔料を使用し、靴の色ムラ、キズをカバーします。<br><b>使用方法</b><br>1.補修箇所の表面の汚れを落とします。<br>2.カラーリペアクリームを塗ります。<br>3.ブラシで仕上げます。<br><b>ご注意</b><br>●起毛革やエナメル革には使用できません。<br>●染め替え用ではありません。<br><b>成分</b><br>ろう、油脂、有機溶剤<br><b>原産国</b><br>日本<br><b>お問い合わせ先</b><br>株式会社コロンブス お客様相談室<br>TEL：0120-03-7830(土日祝日を除く 10：00-17：00)<br>JANコード：　4971671714434<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",コロンブス カラーリペア 銀【楽天24】[コロンブス 靴の補修]：楽天24,コロンブス カラーリペア 銀【楽天24】[コロンブス 靴の補修],コロンブス/税抜1880円以上送料無料。コロンブス カラーリペア 銀【楽天24】[コロンブス 靴の補修][rn]
14-103361,http://tshop.r10s.jp/rakuten24/cabinet/e3672/e367221h_l.jpg?fitin=700:700,208.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,コロンブス アドカラーチューブ アカ 20g【楽天24】【あす楽対応】[コロンブス 補修用品],コロンブス/税抜1880円以上送料無料,"<p>税抜1880円以上送料無料/コロンブス アドカラーチューブ アカ 20g<br>楽天24＞DIY・ガーデン＞補修用品＞補修　用途別＞補修用品＞<br>ブランド：コロンブス/販売元：コロンブス</p>内容量：20g   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「コロンブス アドカラーチューブ アカ 20g」は、靴の浅い傷の補修用クリームです。アドカラー 赤(アカ)。着色性に優れ傷をカバーします。密着性・屈折性に優れています。アドベースやアドカラー同士を混ぜてもご使用いただけます。<br><b>使用方法</b><br>(1)アドカラーを使用して、靴の擦れた部分を補修します。<br>(2)アドカラーは単色のままでもご使用頂けますが混ぜて使用することもできます。<br>※水を少量加えると、混ぜやすくなります。<br>(3)補修部分に、アドカラーを塗り込み、補修完了です。<br><b>ご注意</b><br>●爬虫類等の特殊な革及びスエード、ヌバック等の起毛革には使用できません。<br>●素材や色によっては、調色できない場合があります。<br>●色ムラ・シミになる場合がございますので、目立たない部分で一度試してみてからご使用ください。<br>※必ず使用前に一度、記載されております使用方法・注意点などをご一読願います。<br><b>成分</b><br>水、アクリル樹脂、顔料<br><b>原産国</b><br>日本<br><b>お問い合わせ先</b><br>株式会社コロンブス<br>お問い合わせ：03-3844-7114<br>営業時間：10：00-17：30<br>定休日：土曜日、日曜日、祝日<br>JANコード：　4971671514089<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",コロンブス アドカラーチューブ アカ 20g【楽天24】【あす楽対応】[コロンブス 補修用品]：楽天24,コロンブス アドカラーチューブ アカ 20g【楽天24】【あす楽対応】[コロンブス 補修用品],コロンブス/税抜1880円以上送料無料。コロンブス アドカラーチューブ アカ 20g【楽天24】【あす楽対応】[コロンブス 補修用品][rn]
14-103362,http://tshop.r10s.jp/rakuten24/cabinet/e4496/e449679h_l.jpg?fitin=700:700,427.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,コロンブス カラーリペア クロ【楽天24】[コロンブス 靴の補修],コロンブス/税抜1880円以上送料無料,"<p>税抜1880円以上送料無料/コロンブス カラーリペア クロ<br>楽天24＞DIY・ガーデン＞補修用品＞靴の補修・お手入れ＞靴の補修＞<br>ブランド：コロンブス/製造販売元：コロンブス</p>内容量：9g   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「コロンブス カラーリペア クロ」は、ツヤ革靴専用の補色クリームです。カバーリング効果のある特殊加工顔料を使用し、靴の色ムラ、キズをカバーします。<br><b>使用方法</b><br>1.補修箇所の表面の汚れを落とします。<br>2.カラーリペアクリームを塗ります。<br>3.ブラシで仕上げます。<br><b>ご注意</b><br>●起毛革やエナメル革には使用できません。<br>●染め替え用ではありません。<br><b>成分</b><br>ろう、油脂、有機溶剤<br><b>原産国</b><br>日本<br><b>お問い合わせ先</b><br>株式会社コロンブス お客様相談室<br>TEL：0120-03-7830(土日祝日を除く 10：00-17：00)<br>JANコード：　4971671714021<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",コロンブス カラーリペア クロ【楽天24】[コロンブス 靴の補修]：楽天24,コロンブス カラーリペア クロ【楽天24】[コロンブス 靴の補修],コロンブス/税抜1880円以上送料無料。コロンブス カラーリペア クロ【楽天24】[コロンブス 靴の補修][rn]
14-103363,http://tshop.r10s.jp/rakuten24/cabinet/e4497/e449708h_l.jpg?fitin=700:700,436.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,コロンブス カラーリペア レモン【楽天24】[コロンブス 靴の補修],コロンブス/税抜1880円以上送料無料,"<p>税抜1880円以上送料無料/コロンブス カラーリペア レモン<br>楽天24＞DIY・ガーデン＞補修用品＞靴の補修・お手入れ＞靴の補修＞<br>ブランド：コロンブス/製造販売元：コロンブス</p>内容量：9g   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「コロンブス カラーリペア レモン」は、ツヤ革靴専用の補色クリームです。カバーリング効果のある特殊加工顔料を使用し、靴の色ムラ、キズをカバーします。<br><b>使用方法</b><br>1.補修箇所の表面の汚れを落とします。<br>2.カラーリペアクリームを塗ります。<br>3.ブラシで仕上げます。<br><b>ご注意</b><br>●起毛革やエナメル革には使用できません。<br>●染め替え用ではありません。<br><b>成分</b><br>ろう、油脂、有機溶剤<br><b>原産国</b><br>日本<br><b>お問い合わせ先</b><br>株式会社コロンブス お客様相談室<br>TEL：0120-03-7830(土日祝日を除く 10：00-17：00)<br>JANコード：　4971671714311<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",コロンブス カラーリペア レモン【楽天24】[コロンブス 靴の補修]：楽天24,コロンブス カラーリペア レモン【楽天24】[コロンブス 靴の補修],コロンブス/税抜1880円以上送料無料。コロンブス カラーリペア レモン【楽天24】[コロンブス 靴の補修][rn]
14-103364,http://tshop.r10s.jp/rakuten24/cabinet/e4497/e449737h_l.jpg?fitin=700:700,719.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,コロンブス ヌバック・スエード補色ミスト ベージュ 22ml【楽天24】[コロンブス 靴の補修],コロンブス/税抜1880円以上送料無料,"<p>税抜1880円以上送料無料/コロンブス ヌバック・スエード補色ミスト ベージュ 22ml<br>楽天24＞DIY・ガーデン＞補修用品＞靴の補修・お手入れ＞靴の補修＞<br>ブランド：コロンブス/製造販売元：コロンブス</p>内容量：22ml   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「コロンブス ヌバック・スエード補色ミスト ベージュ 22ml」は、色あせしたヌバックやスエード、ベロア、ムートンなどの起毛革の色を補い、色彩を鮮明に保つ補色剤です。保湿・保革効果のあるローズヒップオイル配合で、革をしっとりと柔らかく保ちます。全体的な色あせだけでなく、部分的な色あせにもお使いいただけます。<br><b>使用方法</b><br>1.付属の手袋を使用して、容器をよく振ってください。<br>2.靴の内側を汚さないために、シュートリーまたは新聞紙を入れてください。<br>3.靴のホコリや汚れを落とし15cmくらい離してムラなく吹き付けてください。<br>4.乾燥後、ブラッシングをして毛足を整えてください。<br><b>ご注意</b><br>●シミや色落ちする革もあります。目立たない部分で試してからご使用ください。<br>●壁や床、衣服等につきますと色が落ちやすくなりますので周囲にかからないようにしてください。<br>●コンビ靴のツヤ革部分やかざり部分、靴底等にかからないようにしてください。<br>●ご使用後はボタン周辺を布で拭いてキャップを閉めてください。<br>●直射日光、高温でのご使用、保管は避けてください。<br>●床につくと滑りますのでご注意ください。<br><b>成分</b><br>エタノール、シリコーン、精製水、ローズヒップオイル<br><b>原産国</b><br>日本<br><b>お問い合わせ先</b><br>株式会社コロンブス お客様相談室<br>TEL：0120-03-7830(土日祝日を除く 10：00-17：00)<br>JANコード：　4971671182912<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",コロンブス ヌバック・スエード補色ミスト ベージュ 22ml【楽天24】[コロンブス 靴の補修]：楽天24,コロンブス ヌバック・スエード補色ミスト ベージュ 22ml【楽天24】[コロンブス 靴の補修],コロンブス/税抜1880円以上送料無料。コロンブス ヌバック・スエード補色ミスト ベージュ 22ml【楽天24】[コロンブス 靴の補修][rn]
14-103365,http://tshop.r10s.jp/rakuten24/cabinet/e4497/e449701h_l.jpg?fitin=700:700,436.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,コロンブス カラーリペア ホワイトベージュ【楽天24】[コロンブス 靴の補修],コロンブス/税抜1880円以上送料無料,"<p>税抜1880円以上送料無料/コロンブス カラーリペア ホワイトベージュ<br>楽天24＞DIY・ガーデン＞補修用品＞靴の補修・お手入れ＞靴の補修＞<br>ブランド：コロンブス/製造販売元：コロンブス</p>内容量：9g   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「コロンブス カラーリペア ホワイトベージュ」は、ツヤ革靴専用の補色クリームです。カバーリング効果のある特殊加工顔料を使用し、靴の色ムラ、キズをカバーします。<br><b>使用方法</b><br>1.補修箇所の表面の汚れを落とします。<br>2.カラーリペアクリームを塗ります。<br>3.ブラシで仕上げます。<br><b>ご注意</b><br>●起毛革やエナメル革には使用できません。<br>●染め替え用ではありません。<br><b>成分</b><br>ろう、油脂、有機溶剤<br><b>原産国</b><br>日本<br><b>お問い合わせ先</b><br>株式会社コロンブス お客様相談室<br>TEL：0120-03-7830(土日祝日を除く 10：00-17：00)<br>JANコード：　4971671714250<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",コロンブス カラーリペア ホワイトベージュ【楽天24】[コロンブス 靴の補修]：楽天24,コロンブス カラーリペア ホワイトベージュ【楽天24】[コロンブス 靴の補修],コロンブス/税抜1880円以上送料無料。コロンブス カラーリペア ホワイトベージュ【楽天24】[コロンブス 靴の補修][rn]
14-103366,http://tshop.r10s.jp/mznet/cabinet/goq011/18900_1.jpg?fitin=700:700,3184.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,塗装スタンド 塗装台/作業台 ペイント/スタンド 乾燥 整備 板金 メンテナンス/調整可能/塗装やメンテナンスに便利なアイテムです♪/DIY/日曜大工/ _45304 【P08Apr16】,【あす楽対応】 【平日15時まで/即日発送】 【当日発送】,"<img src=http://image.rakuten.co.jp/mznet/cabinet/zura01/45304-1.jpg width=280>
<img src=http://image.rakuten.co.jp/mznet/cabinet/zura01/45304-2.jpg width=280>
<img src=http://image.rakuten.co.jp/mznet/cabinet/zura01/45304-3.jpg width=280>
<img src=http://image.rakuten.co.jp/mznet/cabinet/zura01/45304-4.jpg width=280>
<img src=http://image.rakuten.co.jp/mznet/cabinet/zura01/45304-5.jpg width=280>

【商品説明】<br>
整備にメンテナンスに便利な塗装スタンド！ペイントスタンドが入荷致しました。<br>
<br>
＊バンパーの塗装・補修や日々のメンテナンス等にお勧めのバンパーを置いて置けるスタンド。<br>
<br>
＊幅1140mmで安定感抜群。<br>
<br>
＊奥行は410mmから800mmまで、高さは470mmから900mmまで調節可能。<br>
<br>
＊頑丈なチェーンとカラビナで段階的に調節が出来ます。<br>
<br>
＊バンパーが当たる位置にはスポンジが付いており傷がつきにくい仕様となっています。<br><br>
【商品内容】<br>
■塗装スタンド一式<br><br>
【商品詳細】<br>
■塗装スタンド一式<br>
<br>
【商品詳細】<br>
▲収納時　<br>
■高さ　1000mm<br>
■幅　　1040mm<br>
■奥行　 130mm<br>
<br>
▲最大展開時　<br>
■高さ　 470mm<br>
■幅　　1040mm<br>
■奥行　 800mm<br>
<br>
▲最小展開時　<br>
■高さ　 900mm<br>
■幅　　1040mm<br>
■奥行　 410mm<br>
<br>
■重量　4600g<br>
■材質　スティール<br>
■黒塗装仕上げ<br><br>
【注意事項】<br>
■お客様組み立て品となります。<br>
■ご使用の塗料でスポンジが侵されないか確認してからご使用下さい。<br>
■スポンジは柔らかく作られておりますので開梱時や使用時に傷を付けないようお気をつけ下さい。<br>
■パイプ内部は防錆塗装がされておりませんので屋外仕様はしないで下さい。また多湿状態を避け保管してください。<br>
■組み立て時ボルトを締め過ぎると変形の原因となります。<br>
■使用していくうちにボルトが緩むことがあります。定期的にボルトを増し締めしてください。<br>
■使用時は平坦な安定した場所でご使用下さい。<br>
■転倒等の原因となりますので使用時に斜めに荷重がかかるような使用はしないで下さい<br><br>
【保証内容】<br>
■保証はございません。<br>
■商品初期不良のみ商品到着後7日以内対応させていただきます。<br>
■お客様都合での返品は送料、その他手数料をご負担いただきます。<br><br>",塗装スタンド 塗装台/作業台 ペイント/スタンド 乾燥 整備 板金 メンテナンス/調整可能/塗装やメンテナンスに便利なアイテムです♪/DIY/日曜大工/ _45304 【P08Apr16】：Ｍ&rsquo;ｚＮｅｔ,塗装スタンド 塗装台/作業台 ペイント/スタンド 乾燥 整備 板金 メンテナンス/調整可能/塗装やメンテナンスに便利なアイテムです♪/DIY/日曜大工/ _45304 【P08Apr16】,【あす楽対応】 【平日15時まで/即日発送】 【当日発送】。塗装スタンド 塗装台/作業台 ペイント/スタンド 乾燥 整備 板金 メンテナンス/調整可能/塗装やメンテナンスに便利なアイテムです♪/DIY/日曜大工/ _45304 【P08Apr16】[rn]
