14-1701,http://tshop.r10s.jp/kurashikenkou/cabinet/tasya19/7019670-e.jpg?fitin=700:700,1778.4000,,家電 > 生活家電 > 掃除機・クリーナー > その他,ピーナッツクラブ WET&DRY バキュームクリーナー レッド・ブルー AH9172RD・AH9172BL 【D】【KM】,【100円クーポン有】【税込3990円以上で送料無料】,,ピーナッツクラブ WET&amp;DRY バキュームクリーナー レッド・ブルー AH9172RD・AH9172BL 【D】【KM】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶ピーナッツクラブ WET&amp;DRY バキュームクリーナー レッド・ブルー AH9172RD・AH9172BL 【D】【KM】,【100円クーポン有】【税込3990円以上で送料無料】。ピーナッツクラブ WET&amp;DRY バキュームクリーナー レッド・ブルー AH9172RD・AH9172BL 【D】【KM】[rn]
14-1723,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_041/4902530544992_ll.jpg?fitin=700:700,2480.0000,,家電 > 生活家電 > 掃除機・クリーナー > その他,日立 掃除機用吸口 イオネアクティブ D-KY1 [DKY1],　,●日立以外のメーカーのクリーナーに接続できますが、排気循環方式、充電方式および特殊な接続方法のクリーナーを除きます。<br>●アタッチメント付き,日立 掃除機用吸口 イオネアクティブ D-KY1 [DKY1]：エディオン　楽天市場店,日立 掃除機用吸口 イオネアクティブ D-KY1 [DKY1],　。日立 掃除機用吸口 イオネアクティブ D-KY1 [DKY1][rn]
14-1724,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_083/4972883305151_ll.jpg?fitin=700:700,597.6000,,家電 > 生活家電 > 掃除機・クリーナー > その他,コーワ 二段式ロングノズル ホワイト NO.30515 [30515],,□商品説明<br>●全長73cmにも伸び、奥深い隙間や高い所もラクラク掃除。<br>●全メーカー共通。<br>●日本製。<br>□商品仕様<br>●材質:ポリエチレン<br>●パッケージ寸法:W14.0×H49.5×D4.0cm,コーワ 二段式ロングノズル ホワイト NO.30515 [30515]：エディオン　楽天市場店,コーワ 二段式ロングノズル ホワイト NO.30515 [30515],コーワ 二段式ロングノズル ホワイト NO.30515 [30515][rn]
14-1725,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_083/4972883302112_ll.jpg?fitin=700:700,2400.0000,,家電 > 生活家電 > 掃除機・クリーナー > その他,コーワ アレルゲンクリアタービンブラシ 清掃家族 30211 [30211],,□商品説明<br>●天然酵素を塗布したブラシの働きで、ダニや花粉などのアレル物質の活性を抑制。<br>●壁ぎわ逆転ブラシスイッチの働きにより壁ぎわのゴミを効率よく吸引。<br>●各メーカー対応。<br>●つぎ手パイプ付。<br>□商品仕様<br>●内径:32～38mm<br>●寸法:W34.0×H24.0×D6.5cm<br>●質量:380g,コーワ アレルゲンクリアタービンブラシ 清掃家族 30211 [30211]：エディオン　楽天市場店,コーワ アレルゲンクリアタービンブラシ 清掃家族 30211 [30211],コーワ アレルゲンクリアタービンブラシ 清掃家族 30211 [30211][rn]
14-1726,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_075/4964552502138_ll.jpg?fitin=700:700,4000.0000,,家電 > 生活家電 > 掃除機・クリーナー > その他,【送料無料】仲佐 コードレスクリーナー プレミアムピンク NHC-H406W(P) [NHCH406WP],,□商品説明<br>●液体も吸えるウエット＆ドライ仕様。<br>●付属のワイド液体ワイパーで、効率よく液体を吸込むことができます。<br>□商品仕様<br>●集塵方式：フィルター式<br>●集塵容量：630ml(液体吸い込み容量 50ml)<br>●電池：ニッケル水素電池7.2V<br>●充電時間：約12時間<br>●使用時間：約8分間<br>●本体：ABS・PP<br>●電源：AC100V 50/60Hz<br>●消費電力：約6W（充電時）<br>●コード長：約1.8m<br>●寸法：W11.0×H10.0×D38.6cm<br>●質量:820g<br>●付属品：すきまノズル、ブラシノズル、ワイド液体ワイパー、充電用アダプター,【送料無料】仲佐 コードレスクリーナー プレミアムピンク NHC-H406W(P) [NHCH406WP]：エディオン　楽天市場店,【送料無料】仲佐 コードレスクリーナー プレミアムピンク NHC-H406W(P) [NHCH406WP],【送料無料】仲佐 コードレスクリーナー プレミアムピンク NHC-H406W(P) [NHCH406WP][rn]
14-1727,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_001/4039784663527_ll.jpg?fitin=700:700,6389.6000,,家電 > 生活家電 > 掃除機・クリーナー > その他,【送料無料】ケルヒャー 窓用クリーナー WV75 [WV75],簡単窓ふき!あっという間にピカピカに仕上げます。,<img src=http://image.rakuten.co.jp/edion/cabinet/goods/ll/warranty/imgrc0065712695.jpg><br>□商品説明<br>●水ダレしないので、足もとが汚れない!<br>●拭きあとも繊維も残らず二度拭きいらず!<br>●雑巾を使わないので、手が汚れません。<br>●道具が少ないから、後片付けが簡単!<br>●軽量なので苦になりませんし、掃除が楽しくなります。<br>●窓結露やお風呂場の水滴も素早く簡単に吸引します。<br>□商品仕様<br>●電源:充電式<br>●充電時間:3時間<br>●使用可能時間:約20分<br>●洗浄幅:28cm/17cm<br>●寸法:W9×H35.5×D13cm<br>●質量:700g<br>●付属品:本体、ワイパーヘッド(大・小) 各1個、スプレーボトル 1本、ワイプパッド 1枚、窓ガラス用洗浄剤 1本、充電器,【送料無料】ケルヒャー 窓用クリーナー WV75 [WV75]：エディオン　楽天市場店,【送料無料】ケルヒャー 窓用クリーナー WV75 [WV75],簡単窓ふき!あっという間にピカピカに仕上げます。。【送料無料】ケルヒャー 窓用クリーナー WV75 [WV75][rn]
14-1728,http://tshop.r10s.jp/edion/cabinet/goods/l1/img_049/4002667013191_ll.jpg?fitin=700:700,1223.2000,,家電 > 生活家電 > 掃除機・クリーナー > その他,ケルヒャー ポイントブラシ 2863058 [2863058],お風呂、台所、トイレなど色で使い分けできます,□商品説明<br>●お風呂、台所、トイレなど色で使い分けできます。<br>□商品仕様<br>●ブラシ4個組(赤2個　黒2個),ケルヒャー ポイントブラシ 2863058 [2863058]：エディオン　楽天市場店,ケルヒャー ポイントブラシ 2863058 [2863058],お風呂、台所、トイレなど色で使い分けできます。ケルヒャー ポイントブラシ 2863058 [2863058][rn]
14-1729,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_120/5025155008638_ll.jpg?fitin=700:700,3072.0000,,家電 > 生活家電 > 掃除機・クリーナー > その他,ダイソン フトンツール ﾌﾄﾝﾂ-ﾙ [ﾌﾄﾝﾂ-ﾙ],,●本体サイズ(高さ×幅×奥行き）アダプター除く：130x40x200mm<br>●本体重量：0.078kg<br>●製品素材：ABS樹脂、ポリプロピレン,ダイソン フトンツール ﾌﾄﾝﾂ-ﾙ [ﾌﾄﾝﾂ-ﾙ]：エディオン　楽天市場店,ダイソン フトンツール ﾌﾄﾝﾂ-ﾙ [ﾌﾄﾝﾂ-ﾙ],ダイソン フトンツール ﾌﾄﾝﾂ-ﾙ [ﾌﾄﾝﾂ-ﾙ][rn]
14-1730,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_134/4972883350144_ll.jpg?fitin=700:700,1131.2000,,家電 > 生活家電 > 掃除機・クリーナー > その他,コーワ ふとん用ブラシ 35014 [35014],,●コロコロ転がる特殊ブラシで、ふとん・毛布の生地の吸込や噛みつきを抑える<br>●小さな力で軽々動くふとん専用ブラシ<br>●つぎ手パイプ付き<br>●各メーカー対応<br>●サイズ：幅20×奥行き5.5×高さ17cm<br>●原産国：日本<br>●付属品：つぎ手パイプ<br>●本体重量(kg)：0.15,コーワ ふとん用ブラシ 35014 [35014]：エディオン　楽天市場店,コーワ ふとん用ブラシ 35014 [35014],コーワ ふとん用ブラシ 35014 [35014][rn]
14-1731,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_134/4972883350052_ll.jpg?fitin=700:700,1316.8000,,家電 > 生活家電 > 掃除機・クリーナー > その他,コーワ ほうきブラシ 35005 [35005],,●ほうき感覚で、しつこいゴミ・ホコリを掃きながら吸引<br>●チューブ状の細かい吸い口と除電植毛の組み合わせでサッシの溝・網戸・エアコンのフィルター等の面倒な箇所もラクラク掃除<br>●つぎ手パイプ付き<br>●各メーカー対応<br>●サイズ：幅10×奥行き4×高さ20cm<br>●原産国：日本<br>●付属品：つぎ手パイプ<br>●本体重量(kg)：0.1,コーワ ほうきブラシ 35005 [35005]：エディオン　楽天市場店,コーワ ほうきブラシ 35005 [35005],コーワ ほうきブラシ 35005 [35005][rn]
14-1732,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_139/4549077644343_ll.jpg?fitin=700:700,711.2000,,家電 > 生活家電 > 掃除機・クリーナー > その他,パナソニック パナソニックロボット掃除機用フリーフェンス MC-ARF1 [MCARF1],,●侵入させたくないスペースに壁を設けることで、掃除エリアを制限できます<br>●材質:ポリプロピレン<br>●寸法:1枚/W12.8×H7.0cm、10枚/W115.0×H7.0cm<br>●質量:1枚/15g、10枚/150g,パナソニック パナソニックロボット掃除機用フリーフェンス MC-ARF1 [MCARF1]：エディオン　楽天市場店,パナソニック パナソニックロボット掃除機用フリーフェンス MC-ARF1 [MCARF1],パナソニック パナソニックロボット掃除機用フリーフェンス MC-ARF1 [MCARF1][rn]
14-1733,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_134/4972883350069_ll.jpg?fitin=700:700,845.6000,,家電 > 生活家電 > 掃除機・クリーナー > その他,コーワ 除電スライドブラシ 35006 [35006],,●パソコン等・キーボードのすき間、電気製品のノズルだけでは取れないホコリを除電植毛が静電気を空中放電しながら細塵を残すこと無く、掃きながら吸込み<br>●つぎ手パイプ付き<br>●各メーカー対応<br>●サイズ：幅5×奥行き4.5×高さ13cm<br>●原産国：日本<br>●付属品：つぎ手パイプ<br>●本体重量(kg)：0.04,コーワ 除電スライドブラシ 35006 [35006]：エディオン　楽天市場店,コーワ 除電スライドブラシ 35006 [35006],コーワ 除電スライドブラシ 35006 [35006][rn]
14-1734,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_134/4972883350090_ll.jpg?fitin=700:700,1176.0000,,家電 > 生活家電 > 掃除機・クリーナー > その他,コーワ ハケブラシ 35009 [35009],,●吸引力の強い掃除機で使用しても、毛倒れがしにくい<br>●ナイロン毛の腹で、優しい掃除が可能<br>●つぎ手パイプ付き<br>●各メーカー対応<br>●サイズ：幅7×奥行き7×高さ14cm<br>●原産国：日本<br>●付属品：つぎ手パイプ<br>●本体重量(kg)：0.09,コーワ ハケブラシ 35009 [35009]：エディオン　楽天市場店,コーワ ハケブラシ 35009 [35009],コーワ ハケブラシ 35009 [35009][rn]
14-1735,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_125/4974019861944_ll.jpg?fitin=700:700,5692.0000,,家電 > 生活家電 > 掃除機・クリーナー > その他,【送料無料】シャープ 交換用バッテリー BY5SB [BY5SB],,□商品説明<br>●コードレスサイクロン掃除機の交換用バッテリー。<br>□商品仕様<br>●適用機種：ECSX310/SX210/SX200<br>●充電時間：約80分<br>●連続使用時間：自動モード約10分～30分　強モード約8分<br>●寸法：幅107×高さ37×奥行82mm<br>●質量：約0.31kg,【送料無料】シャープ 交換用バッテリー BY5SB [BY5SB]：エディオン　楽天市場店,【送料無料】シャープ 交換用バッテリー BY5SB [BY5SB],【送料無料】シャープ 交換用バッテリー BY5SB [BY5SB][rn]
14-1736,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_134/4972883350120_ll.jpg?fitin=700:700,1440.0000,,家電 > 生活家電 > 掃除機・クリーナー > その他,コーワ スマート床ブラシ 35012 [35012],,●「畳・床」と「じゅうたん」の切替がワンタッチ<br>●軽くて使いやすい<br>●つぎ手パイプ付き<br>●各メーカー対応<br>●サイズ：幅31×奥行き5×高さ22cm<br>●原産国：日本<br>●付属品：つぎ手パイプ<br>●本体重量(kg)：0.29,コーワ スマート床ブラシ 35012 [35012]：エディオン　楽天市場店,コーワ スマート床ブラシ 35012 [35012],コーワ スマート床ブラシ 35012 [35012][rn]
14-1737,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_085/4974019790862_ll.jpg?fitin=700:700,5300.0000,,家電 > 生活家電 > 掃除機・クリーナー > その他,【送料無料】シャープ ロボット家電用センサーフェンス RXSF1 [RXSF1],,□商品説明<br>●目には見えないフェンスで掃除エリアを制限します。<br>●本機から送信する赤外線によって仮想フェンスを作り、COCOROBOは仮想フェンスのエリアを避けて走行します。COCOROBOを走行させたくない場所の前に本機を設置してください。※詳細はメーカーHPをご確認ください。<br>●※COCOROBO RX-V90と組み合わせてお使いいただく場合は、RX-V90のファームウェアを更新する必要があります。詳細はメーカーHPをご確認ください。<br>□商品仕様<br>●対応機種:ロボット家電COCOROBO RX-V200/RX-V90(2013年11月現在) ※RX-V100/V80/V60はご使用になれません。<br>●フェンス信号方式:赤外線<br>●フェンス有効距離:2m/4m 手動切替<br>●使用電池:単1形アルカリ乾電池×2個<br>●電池交換の目安:約3ヵ月(※付属品と同じ銘柄の新しいアルカリ乾電池を使用し、フェンス有効距離を2mに設定して室温25℃で使用したときの目安期間です。異なる条件では目安期間が変わります。)<br>●電池消耗表示:あり<br>●寸法:W4.9×H14.1×D10.5cm<br>●質量:約200g(乾電池なし)、約480g(乾電池含む)<br>●付属品:単1形アルカリ乾電池(2個、試用品)、取扱説明書(保証書付),【送料無料】シャープ ロボット家電用センサーフェンス RXSF1 [RXSF1]：エディオン　楽天市場店,【送料無料】シャープ ロボット家電用センサーフェンス RXSF1 [RXSF1],【送料無料】シャープ ロボット家電用センサーフェンス RXSF1 [RXSF1][rn]
14-1738,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_045/4904550954164_ll.jpg?fitin=700:700,2832.0000,,家電 > 生活家電 > 掃除機・クリーナー > その他,東芝 バーチャルガード VJ-RBG3 [VJRBG3],,□商品説明<br>●赤外線信号による仮想フェンスを作り、本体の進入禁止区域を設定します。<br>□商品仕様<br>●対応機種:VC-RCX1、RVD1、RV1,東芝 バーチャルガード VJ-RBG3 [VJRBG3]：エディオン　楽天市場店,東芝 バーチャルガード VJ-RBG3 [VJRBG3],東芝 バーチャルガード VJ-RBG3 [VJRBG3][rn]
14-1739,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_037/4589914860062_ll.jpg?fitin=700:700,612.8000,,家電 > 生活家電 > 掃除機・クリーナー > その他,エコバックス WINBOT用クリーニングリキッド スプレーボトル 100ml W003 [W003],WINBOT専用クリーニングリキッド,□商品説明<br>●スーパークリーニングリキッドはWINBOTに最適な配合をされた専用洗剤。<br>●容量は100ml。<br>□商品仕様<br>●容量：100ml<br>●寸法：W40×D40×H220<br>●質量：100g<br>●生産国：中国,エコバックス WINBOT用クリーニングリキッド スプレーボトル 100ml W003 [W003]：エディオン　楽天市場店,エコバックス WINBOT用クリーニングリキッド スプレーボトル 100ml W003 [W003],WINBOT専用クリーニングリキッド。エコバックス WINBOT用クリーニングリキッド スプレーボトル 100ml W003 [W003][rn]
14-1740,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_134/4972883350045_ll.jpg?fitin=700:700,2629.6000,,家電 > 生活家電 > 掃除機・クリーナー > その他,コーワ アレルゲンクリアタービンブラシ 35004 [35004],,●アレルギーの要因となるアレル物質を抑制<br>●天然酵素を塗布したブラシの働きで、ダニや花粉などのアレル物質の活性を抑制<br>●壁際逆転ブラシスイッチの働きにより、壁際のゴミを効率よく吸引<br>●つぎ手パイプ付き<br>●各メーカー対応<br>●サイズ：幅25×奥行き6×高さ16cm<br>●付属品：つぎ手パイプ<br>●本体重量(kg)：0.35,コーワ アレルゲンクリアタービンブラシ 35004 [35004]：エディオン　楽天市場店,コーワ アレルゲンクリアタービンブラシ 35004 [35004],コーワ アレルゲンクリアタービンブラシ 35004 [35004][rn]
14-1741,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_001/4054278020716_ll.jpg?fitin=700:700,13504.8000,,家電 > 生活家電 > 掃除機・クリーナー > その他,【送料無料】ケルヒャー 乾湿両用クリーナー MV3P [MV3P],,<img src=http://image.rakuten.co.jp/edion/cabinet/goods/ll/warranty/imgrc0065712695.jpg><br>□商品説明<br>●丈夫でサビないステンレス製の17Lタンク。<br>●新開発のフロアノズルやホース、ベンディングパイプなどを装備しより効率的にゴミを吸引できます。<br>●パワフルかつ省電力を実現。<br>●付属品やアクセサリーを本体にまとめて収納できます。<br>●ゴミを吹き飛ばすブロア機能付き。落ち葉などの広範囲に広がったゴミを寄せ集める時や届きにくい場所のゴミを吹き飛ばすのに便利です。<br>□商品仕様<br>●サイズ:W388×D340×H525mm<br>●質量:約5.8kg<br>●消費電力:900W<br>●コンテナ容量:17L<br>●吸い込み仕事率:190W<br>●運転音:73db<br>●付属品:乾湿両用フロアノズル、コーナーノズル、スポンジフィルター、紙パック1個,【送料無料】ケルヒャー 乾湿両用クリーナー MV3P [MV3P]：エディオン　楽天市場店,【送料無料】ケルヒャー 乾湿両用クリーナー MV3P [MV3P],【送料無料】ケルヒャー 乾湿両用クリーナー MV3P [MV3P][rn]
14-1742,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_103/4989082761169_ll.jpg?fitin=700:700,920.0000,,家電 > 生活家電 > 掃除機・クリーナー > その他,アーネスト 曲がる隙間ヘッド　吸い～ミング A76116 [A76116],,□商品説明<br>●テーブルやソファーなどの家具の隙間（3cm以上）を掃除できる<br>●胴部分が曲がるので腰を曲げずに隙間掃除ができる<br>●吸い込み口が上下についているので家具の下に落ちているホコリも上にあるホコリも吸える<br>●立てる事で縦の隙間もお掃除が可能<br>●※画像はイメージです。<br>□商品仕様<br>●材質：先端部/ABS樹脂、胴部/ポリプロピレン、底パット/ポリエステル、接続パイプ/ポリプロピレン<br>●商品サイズ：本体/幅25.5×長さ65×高さ7.5cm、接続パイプ/直径5×長さ11.5cm<br>●付属品：接続パイプ<br>●原産国：中国<br>●注意事項：ホースパイプ内径　最小32mm～最大43mmまで対応。一部掃除機では接続できないものもあります。（排気循環式・コードレス・業務用など）,アーネスト 曲がる隙間ヘッド　吸い～ミング A76116 [A76116]：エディオン　楽天市場店,アーネスト 曲がる隙間ヘッド　吸い～ミング A76116 [A76116],アーネスト 曲がる隙間ヘッド　吸い～ミング A76116 [A76116][rn]
14-1743,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_119/4995021180571_ll.jpg?fitin=700:700,1264.0000,,家電 > 生活家電 > 掃除機・クリーナー > その他,アイワ ふとん専用ダニクリーン レッド ﾀﾞﾆｸﾘ-ﾝ [ﾀﾞﾆｸﾘ-ﾝ],,□商品説明<br>●通常の掃除機のヘッドを差し替えるだけで、ふとんに付いたダニ・花粉・ホコリをスムーズに吸引します。<br>●ウェーブローラー採用でふとんを吸い込まず生地を傷めません。<br>●ダブルエチケットブラシを採用でペットの毛や糸くずもしっかりキャッチ<br>●シーツや掛け布団など、用途に合わせて４段階の風量調整機能付<br>●３本の継ぎ手パイプ付属で３０ミリ～３７ミリの掃除機ヘッドに取り付け可能<br>□商品仕様<br>●材質／本体：ＡＢＳ樹脂　ローラー部：ポリプロピレン　エチケットブラシ：ナイロン（パイル１００％）<br>●原産国／日本<br>●寸法:W28×H5.7×D20cm,アイワ ふとん専用ダニクリーン レッド ﾀﾞﾆｸﾘ-ﾝ [ﾀﾞﾆｸﾘ-ﾝ]：エディオン　楽天市場店,アイワ ふとん専用ダニクリーン レッド ﾀﾞﾆｸﾘ-ﾝ [ﾀﾞﾆｸﾘ-ﾝ],アイワ ふとん専用ダニクリーン レッド ﾀﾞﾆｸﾘ-ﾝ [ﾀﾞﾆｸﾘ-ﾝ][rn]
14-1744,http://tshop.r10s.jp/enetroom/cabinet/jishahin10/561974.jpg?fitin=700:700,2208.0000,,家電 > 生活家電 > 掃除機・クリーナー > その他,掃除機 2WAY スティック クリーナー IC-S50-S送料無料 アイリスオーヤマ サイクロン スティッククリーナー 2way 掃除機 スティック ハンディクリーナー コンパクト 吸引力 軽量 そうじき ハンディ あす楽対応 母の日,,"シンプルなデザインの2WAYスティッククリーナーです。<br>ハンディタイプとスティックタイプで使用シーンに合わせて使い分けできる2WAYタイプです。<br>スタンディングで自立収納できるので収納場所をとりません。<br>コードフックが付いているのでコードをコンパクトにまとめることができます。<br>いつも清潔、汚れたら水洗いができるダストカップです。<br>便利なすきまノズル付きですき間などの掃除ができます。<br><br>●商品サイズ（cm）<br>延長ハンドル、フロアヘッド装着時(スティック)：幅約24.5×奥行約12.5×高さ約112<br>本体(ボディーのみ)：幅約11.2×奥行約47.5×高さ約11<br>●本体重量<br>延長ハンドル、フロアヘッド装着時(スティック)：約1.7kg<br>ボディーのみ：約1.2kg<br>●材質<br>ABS樹脂、スチール<br>●電源<br>AC100Ｖ（50/60Hz共通）<br> ●消費電力<br>500W<br>●吸込仕事率※<br>80W<br>●吸引方法<br>サイクロン方式<br>●使用温度範囲<br>0～40℃<br>●集塵容積<br>約0.5L<br>●コードの長さ<br>約5m<br>※ヘッドを付けずに吸込んで測定した数値。<br>JIS規格で定められている吸引力の目安で最大値を表示しています。<br>使用時の吸塵力は吸引仕事率以外に吸込具の種類・ゴミのたまり具合や床材の違い等によって異なります。<br><br><br><!--smp_recoitem[kaden]  ▼絶対に編集しないこと-->
<iframe =""""="""" src=""http://www.rakuten.ne.jp/gold/enetroom/corner/smp_u_items_kaden.html"" scrolling=""No"" frameborder=""0"" class=""frame"" width=""100%""></iframe ="""">
<link rel=""stylesheet"" ="""" href=""http://www.rakuten.ne.jp/gold/rack-kan/common/js/smpiframe.css"">
<script src=""http://www.rakuten.ne.jp/gold/rack-kan/common/js/autoheightiframe.js?2"" type=""text/javascript"" =""""=""""></script 　　　　　　　　　　　　　　　　　　>
</div 　　　 >
<!--/smp_recoitem[kaden] ▲絶対に編集しないこと-->",掃除機 2WAY スティック クリーナー IC-S50-S送料無料 アイリスオーヤマ サイクロン スティッククリーナー 2way 掃除機 スティック ハンディクリーナー コンパクト 吸引力 軽量 そうじき ハンディ あす楽対応 母の日：便利生活　マイルーム,物干しランドリーキッチンインテリア一人暮らし収納アイリスオーヤマメタル新生活カラーボックスワンルームラックテレビ台テーブルパソコンデスクチェストベッド家具コーディネート自転車掃除機 2WAY スティック クリーナー IC-S50-S送料無料 アイリスオーヤマ サイクロン スティッククリーナー 2way 掃除機 スティック ハンディクリーナー コンパクト 吸引力 軽量 そうじき ハンディ あす楽対応 母の日,掃除機 2WAY スティック クリーナー IC-S50-S送料無料 アイリスオーヤマ サイクロン スティッククリーナー 2way 掃除機 スティック ハンディクリーナー コンパクト 吸引力 軽量 そうじき ハンディ あす楽対応 母の日[rn]
14-1745,http://tshop.r10s.jp/akibamac/cabinet/05275152/4582246080900.jpg?fitin=700:700,10400.0000,,家電 > 生活家電 > 掃除機・クリーナー > その他,【送料無料】ミーレ【掃除機用】 ターボブラシ STB205-3 (STB2053),,空気の流れで回転するブラシがカーペットや絨毯に絡みついた髪の毛やペットの毛を掻き出し、チリやホコリと同時にしっかりと吸い取ります。,【送料無料】ミーレ【掃除機用】 ターボブラシ STB205-3 (STB2053)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ミーレ【掃除機用】 ターボブラシ STB205-3 (STB2053),【送料無料】ミーレ【掃除機用】 ターボブラシ STB205-3 (STB2053)[rn]
14-1746,http://tshop.r10s.jp/akibamac/cabinet/03034224/4902530699364.jpg?fitin=700:700,1904.0000,,家電 > 生活家電 > 掃除機・クリーナー > その他,日立D-H3 はたき吸口,,■はたきと掃除機が一つになった　先端にナイロンブラシを搭載した吸口です。特殊なナイロンブラシを使用していて、家具や壁についたホコリをやさしく払いながら落とします。ブラシ部分を吸い込む心配はありません。■他メーカーの掃除機にも使えます　付属のアタッチメントを使用すれば、日立以外のメーカーの掃除機に取り付けることができます。　※特殊な接続方式及び業務用・一部掃除機は除きます。,日立D-H3 はたき吸口：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン日立D-H3 はたき吸口,日立D-H3 はたき吸口[rn]
14-1747,http://tshop.r10s.jp/akibamac/cabinet/04525726/7319599020997.jpg?fitin=700:700,640.0000,,家電 > 生活家電 > 掃除機・クリーナー > その他,エレクトロラックスエアリフレッシュナー ココナッツ 掃除機用芳香剤 (ESCOJ),,掃除使用の際の独自なニオイを解消する掃除用芳香剤。,エレクトロラックスエアリフレッシュナー ココナッツ 掃除機用芳香剤 (ESCOJ)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンエレクトロラックスエアリフレッシュナー ココナッツ 掃除機用芳香剤 (ESCOJ),エレクトロラックスエアリフレッシュナー ココナッツ 掃除機用芳香剤 (ESCOJ)[rn]
14-1748,http://tshop.r10s.jp/akibamac/cabinet/05122502/4972883350038.jpg?fitin=700:700,1390.4000,,家電 > 生活家電 > 掃除機・クリーナー > その他,ＫＯＷＡふきはきブラシ No.35003,,■ふきはきブラシ,ＫＯＷＡふきはきブラシ No.35003：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンＫＯＷＡふきはきブラシ No.35003,ＫＯＷＡふきはきブラシ No.35003[rn]
14-1749,http://tshop.r10s.jp/akibamac/cabinet/05216987/4560258444378.jpg?fitin=700:700,2384.0000,,家電 > 生活家電 > 掃除機・クリーナー > その他,スマイル【掃除機用】 ペット用ヘッド SE7900,,お手持ちの掃除機ヘッドを取り換えるだけ、強力回転ブラシに早変わり<br>■掃除機の風がタービンを回転させる動力で、ブラシが高速回転<br>■長いブラシがゴミをキャッチ<br>■カーペットに入り込んだペットや人の毛をかき出す<br>　※毛足の長いカーペットなど、種類によってはブラシの回転が遅くなったり、止まったりすることがあります<br><br>【製品仕様】<br>■本体サイズ 幅×高さ×奥行き（mm）： 約280×80×270<br>■本体重量： 約0.58kg<br>■適用掃除機： 標準的な掃除機に対応（内径32～39.5mm正円形）<br>　※一部取り付けが出来ないメーカーもございます<br>■付属品： アタッチメント<br>,スマイル【掃除機用】 ペット用ヘッド SE7900：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンスマイル【掃除機用】 ペット用ヘッド SE7900,スマイル【掃除機用】 ペット用ヘッド SE7900[rn]
