33-46349,http://tshop.r10s.jp/peintshop/cabinet/nihonpeint/odu100.jpg?fitin=700:700,6912.0000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,【送料無料】オーデフレッシュU100 2 つや有り 白/ホワイト 15kg 日本ペイント 外壁用 水性ウレタン塗料,,"<table width=""400"" bgcolor=""#ffffff"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#4f4138""><b>
<font color=""#ffffff"">商品説明</font></b></th></tr><tr><th width=""94"" align=""center"" bgcolor=""#ebe4da""><font size=""2"" 
color=""#474342"">特長</font></th><td width=""291"" bgcolor=""#f4efe9""><font size=""2"" color=""#484246"">
1,オーデフレッシュU1002は、オーデリウォールシステムは、環境にやさしい完全水系改修システムです。<br /><br />
2,オーデフレッシュU1002は、低汚染性にたいへん優れ、外壁の美観を損なう雨垂れ汚染から建物を守ります。<br /><br />
3,オーデフレッシュU1002は、最先端のバイオ技術で藻、カビの発生を制御します。<br /><br />
4.オーデフレッシュU1002は、微弾性フィラーと高光沢の上塗りにより、高級感のある美しい仕上がりとなります。</font></td></tr><tr><th 
width=""94"" align=""center"" bgcolor=""#ebe4da""><font size=""2"" color=""#474342"">適用下地</font></th><td width=""291"" bgcolor=""#f4efe9"">
<font size=""2"" color=""#484246"">コンクリート、モルタル</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#ebe4da""><font 
size=""2"" color=""#474342"">塗装方法</font></th><td width=""291"" bgcolor=""#f4efe9""><font size=""2"" color=""#484246"">ローラー、刷毛
</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#ebe4da""><font size=""2"" color=""#474342"">使用量<br />(kg/平方m/回)<br 
/>塗面積<br />(平方m/回/缶)</font></th><td width=""291"" bgcolor=""#f4efe9""><font size=""2"" color=""#484246"">０．１５ｋｇ(1平方m当たり)
<br /><br />１００平方m</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#ebe4da""><font size=""2"" color=""#474342"">希釈
</font></th><td width=""291"" bgcolor=""#f4efe9""><font size=""2"" color=""#484246"">水</font></td></tr></table><div id=""mainFooter"">
<!-- EditCode_Footer_S -->
	
<!-- EditCode_Footer_E -->
</div>",【送料無料】オーデフレッシュU100 2 つや有り 白/ホワイト 15kg 日本ペイント 外壁用 水性ウレタン塗料：ペイントshop エビナ,【送料無料】オーデフレッシュU100 2 つや有り 白/ホワイト 15kg 日本ペイント 外壁用 水性ウレタン塗料,【送料無料】オーデフレッシュU100 2 つや有り 白/ホワイト 15kg 日本ペイント 外壁用 水性ウレタン塗料[rn]
33-46370,http://tshop.r10s.jp/interiortool/cabinet/kp/kp-itsivoly.jpg?fitin=700:700,5184.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,関西パテ　仕上げパテ　イッツII　淡アイボリー　12kg　1缶,仕上用パテ,"用途<br>
　石膏ボード、ベニヤ合板、スレート板など内壁接合目地処理の仕上げ<br>
　石膏ボード、ベニヤ合板、スレート板などの全面仕上げ<br>
<br>
特長<br>
　ヘラさばきが良く、伸びがあり、やせが少なく厚付けが可能<br>
　乾燥も早く研磨性に優れ、作業性の良さを重視<br>
　持ち運びに便利な軽量タイプ<br>
　練らずにそのまま使えます。<br>
　ホルムアルデヒド放散等級Ｆ☆☆☆☆",関西パテ　仕上げパテ　イッツII　淡アイボリー　12kg　1缶：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊関西パテ　仕上げパテ　イッツII　淡アイボリー　12kg　1缶,仕上用パテ。関西パテ　仕上げパテ　イッツII　淡アイボリー　12kg　1缶[rn]
33-46371,http://tshop.r10s.jp/interiortool/cabinet/putty/nitto/nitto-cputtym.jpg?fitin=700:700,3456.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,ニットー NSクロスパテスーパーメリット 12kg（3kg×4） 60分,上塗りパテ、最高の接着、最小のパテ起き,"<style>select[name=""choice""]{
height:30px;
}

.choice{
display:block;
margin:20px 0px 10px 0px;
border-width:0px 0px 0px 3px;
border-style:solid;
border-color:#900;
background-image:url(""http://image.rakuten.co.jp/interiortool/cabinet/img/tyu_1.gif"");
background-repeat:no-repeat;
background-position:right center;
width:350px;
height:22px;
padding:8px 0px 0px 10px;
}</style>特長<br>　表面性が良く、クロス壁紙などと接着性が非常に良好です。<br>　クロス貼り起こしにおけるクロス裏面のパテ付着率が少なくなります。<br>　1箱12kg(3kg×4個入り)で、従来よりも軽くて持ち運びが便利です。<br><br>主成分：β石膏<br>タイプ：硬化型<br>色：クリーム<br>混水量：2.0～2.2L/3kg(袋)<br>施工面積：約320平米/12kg(0.5mm塗厚）",ニットー NSクロスパテスーパーメリット 12kg（3kg&times;4） 60分：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊ニットー NSクロスパテスーパーメリット 12kg（3kg&times;4） 60分,上塗りパテ、最高の接着、最小のパテ起き。ニットー NSクロスパテスーパーメリット 12kg（3kg&times;4） 60分[rn]
33-46372,http://tshop.r10s.jp/interiortool/cabinet/12-8630.jpg?fitin=700:700,604.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,極東産機　パテの硬化剤　Ｈｉアップ　350gボトル容器入り　12-8630,粉末パテ用硬化促進剤,"こちらの商品は通常在庫品ですが、複数モールまたは店舗で在庫を共有しておりますので、ご注文いただく数量やタイミングによってはお取り寄せになる場合もございますので、あらかじめご了承くださいませ。特長<br>
　石膏系パテに硬化促進剤を適量散布することにより、パテの硬化時間を短縮することができます。<br>
　添加量はパテの量に対して２％以内でお願いします。",極東産機　パテの硬化剤　Ｈｉアップ　350gボトル容器入り　12-8630：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊極東産機　パテの硬化剤　Ｈｉアップ　350gボトル容器入り　12-8630,粉末パテ用硬化促進剤。極東産機　パテの硬化剤　Ｈｉアップ　350gボトル容器入り　12-8630[rn]
33-46373,http://tshop.r10s.jp/interiortool/cabinet/putty/278-501.jpg?fitin=700:700,1512.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,ヤヨイ化学 上塗り用パテ スーパー スキームＬ 8kg,練り置きできる乾燥タイプ,"●お支払い方法で代引きはできません。<br>
●複数個の場合は北海道、沖縄県、離島への配送は送料都度お見積もりです。特長<br>
　練り置きが可能な乾燥型パテのため、作業効率に優れており、経済的です。<br>
　混合後の粘性変化が少ないので手首や肩への負担が少なく、楽にパテ塗布が行えます。<br>
　高接着力成分につき、薄塗りでも付着強度が高く、壁紙に強力に接着します。<br>
<br>
用途<br>
　（業務用下地調整剤）内装下地の下地調整（仕上げ塗り用）<br>
<br>
適用下地<br>
　石膏ボード、合板など。<br>
　モルタル、珪酸カルシウム板等は、シーラー処理が必要です。",ヤヨイ化学 上塗り用パテ スーパー スキームＬ 8kg：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊ヤヨイ化学 上塗り用パテ スーパー スキームＬ 8kg,練り置きできる乾燥タイプ。ヤヨイ化学 上塗り用パテ スーパー スキームＬ 8kg[rn]
33-46374,http://tshop.r10s.jp/interiortool/cabinet/putty/kyokuto/k12-8629.jpg?fitin=700:700,104.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,極東産機　パテの硬化剤　Ｈｉアップ　100g　1袋　12-8629,粉末パテ用硬化促進剤,"おまとめ梱包対応品特長<br>
　石膏系パテに硬化促進剤を適量散布することにより、パテの硬化時間を短縮することができます。<br>
　添加量はパテの量に対して２％以内でお願いします。",極東産機　パテの硬化剤　Ｈｉアップ　100g　1袋　12-8629：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊極東産機　パテの硬化剤　Ｈｉアップ　100g　1袋　12-8629,粉末パテ用硬化促進剤。極東産機　パテの硬化剤　Ｈｉアップ　100g　1袋　12-8629[rn]
33-46375,http://tshop.r10s.jp/interiortool/cabinet/putty/nitto-speader.jpg?fitin=700:700,536.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,ニットー　新型ＮＳスピーダー　硬化促進剤　300gボトル,ニットーのパテ用,"お取り寄せ特長<br>
　ニットーのパテに相性抜群の硬化促進剤です。<br>
　パテ１ｋｇに対してスピーダー２ｇを添加すると通常の半部の時間で硬化します。<br><br>
※あらかじめ混練水で十分溶解してご使用ください。<br>
※パテ板上での添加では、よく混ぜ合わせてください。",ニットー　新型ＮＳスピーダー　硬化促進剤　300gボトル：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊ニットー　新型ＮＳスピーダー　硬化促進剤　300gボトル,ニットーのパテ用。ニットー　新型ＮＳスピーダー　硬化促進剤　300gボトル[rn]
33-46376,http://tshop.r10s.jp/interiortool/cabinet/putty/278-401.jpg?fitin=700:700,3024.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,ヤヨイ化学 上塗り用パテ スーパー スキームＬ 16kg,練り置きできる乾燥タイプ,"●お支払い方法で代引きはできません。<br>
●複数個の場合は北海道、沖縄県、離島への配送は送料都度お見積もりです。特長<br>
　練り置きが可能な乾燥型パテのため、作業効率に優れており、経済的です。<br>
　混合後の粘性変化が少ないので手首や肩への負担が少なく、楽にパテ塗布が行えます。<br>
　高接着力成分につき、薄塗りでも付着強度が高く、壁紙に強力に接着します。<br>
<br>
用途<br>
　（業務用下地調整剤）内装下地の下地調整（仕上げ塗り用）<br>
<br>
適用下地<br>
　石膏ボード、合板など。<br>
　モルタル、珪酸カルシウム板等は、シーラー処理が必要です。<br>
<br>
●北海道、離島、沖縄県へのお届けの場合は１ケースごとに送料がかかります。",ヤヨイ化学 上塗り用パテ スーパー スキームＬ 16kg：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊ヤヨイ化学 上塗り用パテ スーパー スキームＬ 16kg,練り置きできる乾燥タイプ。ヤヨイ化学 上塗り用パテ スーパー スキームＬ 16kg[rn]
33-46377,http://tshop.r10s.jp/interiortool/cabinet/kp/selkitt.jpg?fitin=700:700,5529.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,関西パテ　セルキット　耐水用　20kg　1缶,エマルジョンパテ,"用途<br>
　コンクリート、モルタル、PC板、ALC板、石膏ボード、フレキシブルボード、ケイカル板、合板等種々の下地の耐水性を要求される箇所の素地調整<br>
<br>
特長<br>
　付着性、耐アルカリ性、特に耐水性が優れています。<br>
　ヘラ捌き、へら切れ、研磨等の作業性が良好です。
　一回の塗り厚は1mmが限度です。それ以上厚付けする場合は重ね塗りして下さい。<br>
　上塗り適合塗料は油性、フタル酸系、塩化ビニル系塗料等です。",関西パテ　セルキット　耐水用　20kg　1缶：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊関西パテ　セルキット　耐水用　20kg　1缶,エマルジョンパテ。関西パテ　セルキット　耐水用　20kg　1缶[rn]
33-46378,http://tshop.r10s.jp/interiortool/cabinet/putty/nitto-speaderf.jpg?fitin=700:700,1382.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,ニットー　新型ＮＳスピーダー　硬化促進剤　1000g袋　品番060006,ニットーのパテ用,"お取り寄せ特長<br>
　ニットーのパテに相性抜群の硬化促進剤です。<br>
　パテ１ｋｇに対してスピーダー２ｇを添加すると通常の半部の時間で硬化します。<br><br>
※あらかじめ混練水で十分溶解してご使用ください。<br>
※パテ板上での添加では、よく混ぜ合わせてください。<br><br>
※写真はイメージです。300g袋の写真を使用しております。",ニットー　新型ＮＳスピーダー　硬化促進剤　1000g袋　品番060006：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊ニットー　新型ＮＳスピーダー　硬化促進剤　1000g袋　品番060006,ニットーのパテ用。ニットー　新型ＮＳスピーダー　硬化促進剤　1000g袋　品番060006[rn]
33-46379,http://tshop.r10s.jp/interiortool/cabinet/tool/yayoi/y268-821.jpg?fitin=700:700,3067.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,ヤヨイ化学 壁紙仕上げ用パテ REBORN レベロン 60分 黄色 （3.7kg×4袋） 268-821,塗りが軽くて、のびが良いパテ（硬化型）,"●お支払い方法で代引きはできません。<br>
●複数個の場合は北海道、沖縄県、離島への配送は送料都度お見積もりです。適用下地<br>
　石膏ボード、合板など<br>
　（モルタル、PC板等はシーラー処理が必要です。）<br><br>

特長<br>
　ヤセが少ない。塗りが軽く、のびが良い。ヘラ切れが良く、サンダー処理のいらない工法ができます。<br>
　黄色<br>
<br>
施工平米目安：およそ300平米/14kg",ヤヨイ化学 壁紙仕上げ用パテ REBORN レベロン 60分 黄色 （3.7kg&times;4袋） 268-821：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊ヤヨイ化学 壁紙仕上げ用パテ REBORN レベロン 60分 黄色 （3.7kg&times;4袋） 268-821,塗りが軽くて、のびが良いパテ（硬化型）。ヤヨイ化学 壁紙仕上げ用パテ REBORN レベロン 60分 黄色 （3.7kg&times;4袋） 268-821[rn]
33-46380,http://tshop.r10s.jp/interiortool/cabinet/putty/nitto-speaderf.jpg?fitin=700:700,475.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,ニットー　新型ＮＳスピーダー　硬化促進剤　300g袋　品番060002,ニットーのパテ用,"お取り寄せ特長<br>
　ニットーのパテに相性抜群の硬化促進剤です。<br>
　パテ１ｋｇに対してスピーダー２ｇを添加すると通常の半部の時間で硬化します。<br><br>
※あらかじめ混練水で十分溶解してご使用ください。<br>
※パテ板上での添加では、よく混ぜ合わせてください。",ニットー　新型ＮＳスピーダー　硬化促進剤　300g袋　品番060002：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊ニットー　新型ＮＳスピーダー　硬化促進剤　300g袋　品番060002,ニットーのパテ用。ニットー　新型ＮＳスピーダー　硬化促進剤　300g袋　品番060002[rn]
33-46381,http://tshop.r10s.jp/interiortool/cabinet/putty/256-211.jpg?fitin=700:700,3576.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,送料無料　ヤヨイ化学　メジトップ　20kg（5kg×4袋入）　１ケース,仕上げ用パテ,"特長<br>
　サンダーを使わないで薄塗り仕上げが可能です。<br>
　黄色、硬化型、石膏ボード用<br>
<br>
施工平米数目安<br>
　３００平米/20kg",送料無料　ヤヨイ化学　メジトップ　20kg（5kg&times;4袋入）　１ケース：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊送料無料　ヤヨイ化学　メジトップ　20kg（5kg&times;4袋入）　１ケース,仕上げ用パテ。送料無料　ヤヨイ化学　メジトップ　20kg（5kg&times;4袋入）　１ケース[rn]
33-46382,http://tshop.r10s.jp/interiortool/cabinet/putty/nitto/nitto-jnsvpate60.jpg?fitin=700:700,1468.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,ニットー NS　Ｖパテ６０　ヤセの少ない深穴タイプ　10kg,下塗りパテ,特長<br>　特殊骨材の配合により、肉ヤセが少なく、また乾燥が早いのも特徴です。<br>　ヘラ(コテ)伸びが良好であるため野丁場での作業に最適です。<br><br>主成分：β石膏<br>タイプ：硬化型<br>色：灰白色<br>混水量：5.0～6.0L/10kg(袋)<br>施工面積：約150平米/10kg(0.5mm塗厚）,ニットー NS　Ｖパテ６０　ヤセの少ない深穴タイプ　10kg：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊ニットー NS　Ｖパテ６０　ヤセの少ない深穴タイプ　10kg,下塗りパテ。ニットー NS　Ｖパテ６０　ヤセの少ない深穴タイプ　10kg[rn]
33-46383,http://tshop.r10s.jp/interiortool/cabinet/putty/nitto/nitto-jsg.jpg?fitin=700:700,1620.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,ニットー ジョイントセメントG　120分　10kg,中・下塗りパテ、広い面積に最適,特長<br>　粘性が少なく、混練が非常に容易です。<br>　ヘラ(コテ)伸びが良好であるため、野丁場での作業に最適です。<br>　肉ヤセが少なく、フラットな状態に仕上がります。<br><br>主成分：β石膏<br>タイプ：硬化型<br>色：灰白色<br>混水量：5.0～6.0L/10kg(袋)<br>施工面積：約150平米/10kg(0.5mm塗厚）,ニットー ジョイントセメントG　120分　10kg：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊ニットー ジョイントセメントG　120分　10kg,中・下塗りパテ、広い面積に最適。ニットー ジョイントセメントG　120分　10kg[rn]
33-46384,http://tshop.r10s.jp/interiortool/cabinet/tool/yayoi/y278-121.jpg?fitin=700:700,1274.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,ヤヨイ化学 ジョイントツー 60分 9kg 278-121,クロス用仕上げ用パテ,"●お支払い方法で代引きはできません。<br>
●複数個の場合は北海道、沖縄県、離島への配送は送料都度お見積もりです。特長<br>
　優れた壁紙接着性を発揮<br>
　塗りやすく、伸びが良い<br>
　ミミ切れが良い<br>
　壁紙の接着性が良い",ヤヨイ化学 ジョイントツー 60分 9kg 278-121：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊ヤヨイ化学 ジョイントツー 60分 9kg 278-121,クロス用仕上げ用パテ。ヤヨイ化学 ジョイントツー 60分 9kg 278-121[rn]
33-46385,http://tshop.r10s.jp/interiortool/cabinet/yk/yk-165333.jpg?fitin=700:700,4644.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,テロソン アルミパテ 防錆 （Ｊ） 4kg,エマルジョンパテ,サビ・段差・凹み・亀裂・穴などすべてを解決。<br>「ヒドイ錆、どうにもならない」をもキッチリ再生。<br>厚付けできて、穴まで埋められる超パテ<br>素材を選ばず使えて、ホントウに便利!(どんな金属にも、どんな塗膜にも、プラスチック、FRPの改修にも)<br>耐水性バツ群、弾力性もあって溶融亜鉛にも密着する強力性能,テロソン アルミパテ 防錆 （Ｊ） 4kg：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊テロソン アルミパテ 防錆 （Ｊ） 4kg,エマルジョンパテ。テロソン アルミパテ 防錆 （Ｊ） 4kg[rn]
33-46386,http://tshop.r10s.jp/interiortool/cabinet/tool/kyokuto/k12-8642.jpg?fitin=700:700,1620.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,極東産機 上塗用パテ Hiスムーズ120 12kg箱入（3kg×4） 1つ 12-8642,抜群の経済性,"●お支払い方法で代引きはできません。<br>
●複数個の場合は北海道、沖縄県、離島への配送は送料都度お見積もりです。特長<br>
　溶かし易く塗りやすい、伸びもよく壁紙との接着性が良いパテ。下塗り用パテとの密着性も優れます。<br>
<br>
適用下地<br>
　石膏ボード、ベニヤ、モルタル、ケイカル板
<br>
防かび剤入り
<br>
※写真は箱入りのものです。",極東産機 上塗用パテ Hiスムーズ120 12kg箱入（3kg&times;4） 1つ 12-8642：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊極東産機 上塗用パテ Hiスムーズ120 12kg箱入（3kg&times;4） 1つ 12-8642,抜群の経済性。極東産機 上塗用パテ Hiスムーズ120 12kg箱入（3kg&times;4） 1つ 12-8642[rn]
33-46387,http://tshop.r10s.jp/interiortool/cabinet/putty/nitto/nitto-nsace.jpg?fitin=700:700,1468.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,ニットー NSエース　Ｖ目地深溝一発　90分　8kg,下塗りパテ,"<style>select[name=""choice""]{
height:30px;
}

.choice{
display:block;
margin:20px 0px 10px 0px;
border-width:0px 0px 0px 3px;
border-style:solid;
border-color:#900;
background-image:url(""http://image.rakuten.co.jp/interiortool/cabinet/img/tyu_1.gif"");
background-repeat:no-repeat;
background-position:right center;
width:350px;
height:22px;
padding:8px 0px 0px 10px;
}</style>特長<br>　肉ヤセが少なく、フラットな状態に仕上がります。<br>　表面性は従来品に比べてザラツキ感が少ない。<br>　粘性が少なく、混練が非常に容易です。<br>　ヘラ運びが非常に軽く、手首の負担が少なくなります。<br>　上塗りパテとの付着性が良好です。<br><br>主成分：α石膏<br>タイプ：硬化型<br>色：淡クリーム<br>混水量：4.6～5.0L/8kg(袋)<br>施工面積：約150平米/8kg(0.5mm塗厚）",ニットー NSエース　Ｖ目地深溝一発　90分　8kg：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊ニットー NSエース　Ｖ目地深溝一発　90分　8kg,下塗りパテ。ニットー NSエース　Ｖ目地深溝一発　90分　8kg[rn]
33-46388,http://tshop.r10s.jp/interiortool/cabinet/putty/271-112.jpg?fitin=700:700,4752.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,ヤヨイ化学　リフォームパテ　9kg　1缶,溶剤ベースリフォーム補修剤,"おまとめ梱包対応品用途<br>
　リフォームパテです。クロス貼り替え時の下地の凸凹補修、ビニルクロスの上へのクロス貼りの時、比較的劣化の少ない砂壁、じゅらく壁へのパテ処理などに。<br>
　耐水性、防カビ性が必要な箇所へのパテ処理。<br>
<br>
特徴<br>
　溶剤ベースのため下地に残ったクロスの裏紙などのふくれがないです。<br>
　キメ細かく平滑に仕上がります。<br>
　乾燥が早く、工期短縮が可能です。<br>
　うすい肌色<br>
<br>
施工平米数（目安）<br>
　20平米/3kg",ヤヨイ化学　リフォームパテ　9kg　1缶：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊ヤヨイ化学　リフォームパテ　9kg　1缶,溶剤ベースリフォーム補修剤。ヤヨイ化学　リフォームパテ　9kg　1缶[rn]
33-46389,http://tshop.r10s.jp/interiortool/cabinet/putty/271-113.jpg?fitin=700:700,1771.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,ヤヨイ化学　リフォームパテ　3kg　1缶,溶剤ベースリフォーム補修剤,"おまとめ梱包対応品用途<br>
　リフォームパテです。クロス貼り替え時の下地の凸凹補修、ビニルクロスの上へのクロス貼りの時、比較的劣化の少ない砂壁、じゅらく壁へのパテ処理などに。<br>
　耐水性、防カビ性が必要な箇所へのパテ処理。<br>
<br>
特徴<br>
　溶剤ベースのため下地に残ったクロスの裏紙などのふくれがないです。<br>
　キメ細かく平滑に仕上がります。<br>
　乾燥が早く、工期短縮が可能です。<br>
　うすい肌色<br>
<br>
施工平米数（目安）<br>
　20平米/3kg<br>
<br>
ヤ",ヤヨイ化学　リフォームパテ　3kg　1缶：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊ヤヨイ化学　リフォームパテ　3kg　1缶,溶剤ベースリフォーム補修剤。ヤヨイ化学　リフォームパテ　3kg　1缶[rn]
33-46390,http://tshop.r10s.jp/interiortool/cabinet/tool/kyokuto/k12-8623.jpg?fitin=700:700,1360.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,極東産機 上塗用パテ Hiスムーズ 60分 12-8623 10kg袋入 1つ,抜群の経済性,"●お支払い方法で代引きはできません。<br>
●複数個の場合は北海道、沖縄県、離島への配送は送料都度お見積もりです。特長<br>
　溶かし易く塗りやすい、伸びもよく壁紙との接着性が良いパテ。下塗り用パテとの密着性も優れます。<br>
<br>
適用下地<br>
　石膏ボード、ベニヤ、モルタル、ケイカル板<br>
<br>
防かび剤入り",極東産機 上塗用パテ Hiスムーズ 60分 12-8623 10kg袋入 1つ：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊極東産機 上塗用パテ Hiスムーズ 60分 12-8623 10kg袋入 1つ,抜群の経済性。極東産機 上塗用パテ Hiスムーズ 60分 12-8623 10kg袋入 1つ[rn]
33-46391,http://tshop.r10s.jp/interiortool/cabinet/putty/271-112.jpg?fitin=700:700,7257.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,ヤヨイ化学　リフォームパテ　15kg　1缶,溶剤ベースリフォーム補修剤,"おまとめ梱包対応品用途<br>
　リフォームパテです。クロス貼り替え時の下地の凸凹補修、ビニルクロスの上へのクロス貼りの時、比較的劣化の少ない砂壁、じゅらく壁へのパテ処理などに。<br>
　耐水性、防カビ性が必要な箇所へのパテ処理。<br>
<br>
特徴<br>
　溶剤ベースのため下地に残ったクロスの裏紙などのふくれがないです。<br>
　キメ細かく平滑に仕上がります。<br>
　乾燥が早く、工期短縮が可能です。<br>
　うすい肌色<br>
<br>
施工平米数（目安）<br>
　20平米/3kg",ヤヨイ化学　リフォームパテ　15kg　1缶：イーヅカ,壁紙クッションフロア内装工具ヤヨイ化学極東産機東リコニシ接着剤塩ビシート床材pタイルパーキリパテクロス巾木アルテコアロンアルファワーロン障子紙糊ヤヨイ化学　リフォームパテ　15kg　1缶,溶剤ベースリフォーム補修剤。ヤヨイ化学　リフォームパテ　15kg　1缶[rn]
