4-11864,,16497.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＶＣその他【VC2CD1000】(6820026) 受注単位1,切削工具\面取り工具\工作機用面取り工具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＶＣその他【VC2CD1000】(6820026) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＶＣその他【VC2CD1000】(6820026) 受注単位1,切削工具\面取り工具\工作機用面取り工具。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＶＣその他【VC2CD1000】(6820026) 受注単位1[rn]
4-11895,,8035.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大昭和精機/ＢＩＧ　センターボーイ【ST10-CBY09010】(3061116) 受注単位1,切削工具\面取り工具\工作機用面取り工具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●ドリル加工の正確な位置決めと面取り加工を同時に作業できます。<br>●刃先の交換ができるスローアウェイ方式なので再研磨の必要がなく常に安定した性能を発揮します。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒大昭和精機/ＢＩＧ　センターボーイ【ST10-CBY09010】(3061116) 受注単位1：クローバー資材館,『カード対応OK！』■〒大昭和精機/ＢＩＧ　センターボーイ【ST10-CBY09010】(3061116) 受注単位1,切削工具\面取り工具\工作機用面取り工具。『カード対応OK！』■〒大昭和精機/ＢＩＧ　センターボーイ【ST10-CBY09010】(3061116) 受注単位1[rn]
4-11896,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005462414.jpg?fitin=700:700,6718.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　２－１８内径用ブレード９０°刃先１４°ＨＳＳ【KP01-320-14】(4044576) 受注単位1,切削工具\面取り工具\工作機用面取り工具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　２&minus;１８内径用ブレード９０&deg;刃先１４&deg;ＨＳＳ【KP01-320-14】(4044576) 受注単位1：クローバー資材館,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　２&minus;１８内径用ブレード９０&deg;刃先１４&deg;ＨＳＳ【KP01-320-14】(4044576) 受注単位1,切削工具\面取り工具\工作機用面取り工具。『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　２&minus;１８内径用ブレード９０&deg;刃先１４&deg;ＨＳＳ【KP01-320-14】(4044576) 受注単位1[rn]
4-11897,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002824878.jpg?fitin=700:700,4843.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　ミルスレッドＢＳＰＴねじ用チップ【1414BSPTMT7】(3325164) 受注単位1,切削工具\ねじ切り工具\工作機用ねじ切り工具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●ミルスレッドツールホルダに取り付けて使用します。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　ミルスレッドＢＳＰＴねじ用チップ【1414BSPTMT7】(3325164) 受注単位1：クローバー資材館,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　ミルスレッドＢＳＰＴねじ用チップ【1414BSPTMT7】(3325164) 受注単位1,切削工具\ねじ切り工具\工作機用ねじ切り工具。『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　ミルスレッドＢＳＰＴねじ用チップ【1414BSPTMT7】(3325164) 受注単位1[rn]
4-11898,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002872810.jpg?fitin=700:700,820.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧＥＸゴールドドリル一般加工用レギュラ３【EX-GDR-3.0 (60530)】 (1011766) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●汎用性が高く、直径4～5倍までのノンステップ高速加工を実現します。<br>●ドリル先端中心部は、細井理論応用による新R刃形を採用しています。<br>●高速、高送りが可能です。切りくずは遷移折断形分断によりステップ切削が不要です。<br>●耐摩耗性、耐溶着性に優れたTiNコーティングを採用しています。<br>●溝フォームは芯厚が厚い高剛性タイプです。<br>●加工穴の位置精度が安定するため、ポンチ打ちやセンタリングが不要です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧＥＸゴールドドリル一般加工用レギュラ３【EX-GDR-3.0 (60530)】 (1011766) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧＥＸゴールドドリル一般加工用レギュラ３【EX-GDR-3.0 (60530)】 (1011766) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル。『カード対応OK！』■〒オーエスジー/ＯＳＧＥＸゴールドドリル一般加工用レギュラ３【EX-GDR-3.0 (60530)】 (1011766) 受注単位1[rn]
4-11899,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002571626.jpg?fitin=700:700,9266.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ロングテーパードリル【LTDD0600A250M1】(6674429) 受注単位1,切削工具\穴あけ工具\テーパーシャンクドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ロングテーパードリル【LTDD0600A250M1】(6674429) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ロングテーパードリル【LTDD0600A250M1】(6674429) 受注単位1,切削工具\穴あけ工具\テーパーシャンクドリル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ロングテーパードリル【LTDD0600A250M1】(6674429) 受注単位1[rn]
4-11900,,1054.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立工機/日立【0032-0743】(7676433) デルタゴンビット（ＳＤＳブラス）　８．０ｍｍＸ１６６Ｌ 受注単位1,切削工具\穴あけ工具\コンクリートドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●真円に近い穴あけが可能です。<br>●位置決めが容易です。<br><br>●被削材：コンクリート、ブロック、モルタル、石材<br><br>●刃径(mm)：8.0<br>●有効長(mm)：100<br>●全長(mm)：166<br>●シャンク：SDSplus<br>●質量(g)：64<br><br>●適合機種：軽量型ハンマードリル<br><br>●刃部：超硬チップ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日立工機/日立【0032-0743】(7676433) デルタゴンビット（ＳＤＳブラス）　８．０ｍｍＸ１６６Ｌ 受注単位1：クローバー資材館,『カード対応OK！』■〒日立工機/日立【0032-0743】(7676433) デルタゴンビット（ＳＤＳブラス）　８．０ｍｍＸ１６６Ｌ 受注単位1,切削工具\穴あけ工具\コンクリートドリル。『カード対応OK！』■〒日立工機/日立【0032-0743】(7676433) デルタゴンビット（ＳＤＳブラス）　８．０ｍｍＸ１６６Ｌ 受注単位1[rn]
4-11901,,2903.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ボッシュ/ボッシュ 先端工具Ｂ【TCHS20SR】(7781741) ボッシュ 超硬ホールソー 20mm 発注単位1,切削工具\穴あけ工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●厚さ5.0mmまでの被削材を、バリがなくきれいに快適に穴あけできます。<br>
●超硬チップを不等ピッチに配列し、穴あけ時の振動を低減します。<br>
●段付きセンタードリルビットで、超硬チップの品質の高さを持続させます。<br>
●鋼板、ステンレス板、塩ビ、FRP、プラスチックの穴あけ。<br>
●刃径(mm):20<br>
●ふところ深さ(mm):12<br>
●シャンク径(mm):10<br>
●刃厚(mm):1.9<br>
●全長(mm):83<br>
●有効長(mm):5.0<br>
●適合機種:三つ爪チャックドリル<br>
●刃部：超硬チップ<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒ボッシュ/ボッシュ 先端工具Ｂ【TCHS20SR】(7781741) ボッシュ 超硬ホールソー 20mm 発注単位1：クローバー資材館,■〒ボッシュ/ボッシュ 先端工具Ｂ【TCHS20SR】(7781741) ボッシュ 超硬ホールソー 20mm 発注単位1,切削工具\穴あけ工具。■〒ボッシュ/ボッシュ 先端工具Ｂ【TCHS20SR】(7781741) ボッシュ 超硬ホールソー 20mm 発注単位1[rn]
4-11902,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003441380.jpg?fitin=700:700,600.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　バイオレット高精度ドリル　ステンレス用　ショート　１ｍｍ【VAPDSSUSD0100(VA-PDS-SUS-1.0)】(6589570) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　バイオレット高精度ドリル　ステンレス用　ショート　１ｍｍ【VAPDSSUSD0100(VA-PDS-SUS-1.0)】(6589570) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　バイオレット高精度ドリル　ステンレス用　ショート　１ｍｍ【VAPDSSUSD0100(VA-PDS-SUS-1.0)】(6589570) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　バイオレット高精度ドリル　ステンレス用　ショート　１ｍｍ【VAPDSSUSD0100(VA-PDS-SUS-1.0)】(6589570) 受注単位1[rn]
4-11903,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004840603.jpg?fitin=700:700,2202.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスドリル【V-SDR-9.7  (8594097)】(6350411) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスドリル【V-SDR-9.7  (8594097)】(6350411) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスドリル【V-SDR-9.7  (8594097)】(6350411) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスドリル【V-SDR-9.7  (8594097)】(6350411) 受注単位1[rn]
4-11904,,7234.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ/タンガロイ　旋削用Ｍ級ネガＴＡＣチップ【CNMG120404-AS  T9115】(7040334) 受注単位10,切削工具\旋削・フライス加工工具\チップ,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒タンガロイ/タンガロイ　旋削用Ｍ級ネガＴＡＣチップ【CNMG120404-AS  T9115】(7040334) 受注単位10：クローバー資材館,『カード対応OK！』■〒タンガロイ/タンガロイ　旋削用Ｍ級ネガＴＡＣチップ【CNMG120404-AS  T9115】(7040334) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒タンガロイ/タンガロイ　旋削用Ｍ級ネガＴＡＣチップ【CNMG120404-AS  T9115】(7040334) 受注単位10[rn]
4-11905,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002572325.jpg?fitin=700:700,10532.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　ＵＰコート　ＣＯＡＴ【WCMT06T308     AP25N】(6830421) 受注単位10,切削工具\旋削・フライス加工工具\チップ,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　ＵＰコート　ＣＯＡＴ【WCMT06T308     AP25N】(6830421) 受注単位10：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　ＵＰコート　ＣＯＡＴ【WCMT06T308     AP25N】(6830421) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　ＵＰコート　ＣＯＡＴ【WCMT06T308     AP25N】(6830421) 受注単位10[rn]
4-11906,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002867930.jpg?fitin=700:700,2487.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ４枚刃ＫＨＡスーパーエンドミル【S4MDD0800 (S-4MD-8)】 (1094556) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●高速切削・高硬度難削材切削に適した（高級粉末ハイス）KHAスーパーシリーズです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ４枚刃ＫＨＡスーパーエンドミル【S4MDD0800 (S-4MD-8)】 (1094556) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ４枚刃ＫＨＡスーパーエンドミル【S4MDD0800 (S-4MD-8)】 (1094556) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ４枚刃ＫＨＡスーパーエンドミル【S4MDD0800 (S-4MD-8)】 (1094556) 受注単位1[rn]
4-11907,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005449206.jpg?fitin=700:700,1332.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日進工具/ＮＳ無限コーティング２枚刃ＥＭＭＳＥ２３０Φ０．８Ｘ２【MSE2300.8X2】 (4241126) 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●荒から仕上げまで万能切削ができます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日進工具/ＮＳ無限コーティング２枚刃ＥＭＭＳＥ２３０Φ０．８Ｘ２【MSE2300.8X2】 (4241126) 受注単位1：クローバー資材館,『カード対応OK！』■〒日進工具/ＮＳ無限コーティング２枚刃ＥＭＭＳＥ２３０Φ０．８Ｘ２【MSE2300.8X2】 (4241126) 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル。『カード対応OK！』■〒日進工具/ＮＳ無限コーティング２枚刃ＥＭＭＳＥ２３０Φ０．８Ｘ２【MSE2300.8X2】 (4241126) 受注単位1[rn]
4-11908,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002566474.jpg?fitin=700:700,6611.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イスカルジャパン/イスカル　Ｂ　旋削／チップ　ＣＯＡＴ【DNMG 150408-GNIC9150】(3385167) 受注単位10,切削工具\旋削・フライス加工工具\チップ,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イスカルジャパン/イスカル　Ｂ　旋削／チップ　ＣＯＡＴ【DNMG 150408-GNIC9150】(3385167) 受注単位10：クローバー資材館,『カード対応OK！』■〒イスカルジャパン/イスカル　Ｂ　旋削／チップ　ＣＯＡＴ【DNMG 150408-GNIC9150】(3385167) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒イスカルジャパン/イスカル　Ｂ　旋削／チップ　ＣＯＡＴ【DNMG 150408-GNIC9150】(3385167) 受注単位10[rn]
4-11909,,18552.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒サンドビックコロマントカンパ/サンドビック チップ【490R-08T308E-ML 1130】(6146023) サンドビック コロミル490チップ 1130 ＣＯＡＴ 発注単位10,切削工具\旋削・フライス加工工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●コロミル490用チップです。<br>
●シャープな切刃で低抵抗です。<br>
●真の4コーナー仕様チップです。<br>
●正面フライス、肩削り、溝加工用。<br>
●良好な面粗さが必要な加工に。<br>
●小型機械での加工に。<br>
●BS:1.2<br>
●RE:0.8<br>
●iC:8.5<br>
●LE:5.6<br>
●S:3.3<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒サンドビックコロマントカンパ/サンドビック チップ【490R-08T308E-ML 1130】(6146023) サンドビック コロミル490チップ 1130 ＣＯＡＴ 発注単位10：クローバー資材館,■〒サンドビックコロマントカンパ/サンドビック チップ【490R-08T308E-ML 1130】(6146023) サンドビック コロミル490チップ 1130 ＣＯＡＴ 発注単位10,切削工具\旋削・フライス加工工具。■〒サンドビックコロマントカンパ/サンドビック チップ【490R-08T308E-ML 1130】(6146023) サンドビック コロミル490チップ 1130 ＣＯＡＴ 発注単位10[rn]
4-11910,,3436.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PFH-017C】(7332041) 深穴ホールソー　カッター　１７ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●内刃、外刃の交互配列で切粉の排出が良く、厚さ12mmまでの穴あけが可能です。<br>●ステンレスにも容易に穴あけができ、しかも長寿命です。<br><br><br>●刃径(mm)：17<br>●ふところ深さ(mm)：55<br>●シャンク径(mm)：10<br>●刃厚(mm)：3.2<br>●全長(mm)：50<br>●有効長(mm)：12<br>●質量(g)：60<br><br>●ステンレス板<br>●鋼板<br>●鋳鉄<br>●合成樹脂<br><br>●刃部：超硬チップ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【PFH-017C】(7332041) 深穴ホールソー　カッター　１７ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PFH-017C】(7332041) 深穴ホールソー　カッター　１７ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒ボッシュ【PFH-017C】(7332041) 深穴ホールソー　カッター　１７ｍｍ 受注単位1[rn]
4-11911,,3674.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【DHS-032C】(4975731) 磁気タイル用ダイヤモンドホールソー　３２ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ビット先端の高品質のダイヤモンドにより、高い耐久性を実現しました。<br>●先端の薄いカッティングエッジにより、今までにない穴あけスピードで、縁欠けのない穴あけができます。<br><br>●被削材：磁器タイル他すべてのタイル。（厚さ20mmまで）<br><br>●刃径(mm)：32<br>●ふところ深さ(mm)：20<br>●刃厚(mm)：1.5<br>●質量(g)：131<br><br>●適合機種：バッテリー式ドリル、バッテリー式振動ドリル（回転モード）、SDSプラスバッテリーハンマードリル（回転モード）<br><br>●刃部：ダイヤモンド<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【DHS-032C】(4975731) 磁気タイル用ダイヤモンドホールソー　３２ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【DHS-032C】(4975731) 磁気タイル用ダイヤモンドホールソー　３２ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒ボッシュ【DHS-032C】(4975731) 磁気タイル用ダイヤモンドホールソー　３２ｍｍ 受注単位1[rn]
4-11912,,3436.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PFH-014C】(7332017) 深穴ホールソー　カッター　１４ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●内刃、外刃の交互配列で切粉の排出が良く、厚さ12mmまでの穴あけが可能です。<br>●ステンレスにも容易に穴あけができ、しかも長寿命です。<br><br><br>●刃径(mm)：14<br>●ふところ深さ(mm)：55<br>●シャンク径(mm)：10<br>●刃厚(mm)：3.0<br>●全長(mm)：50<br>●有効長(mm)：12<br>●質量(g)：60<br><br>●ステンレス板<br>●鋼板<br>●鋳鉄<br>●合成樹脂<br><br>●刃部：超硬チップ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【PFH-014C】(7332017) 深穴ホールソー　カッター　１４ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PFH-014C】(7332017) 深穴ホールソー　カッター　１４ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒ボッシュ【PFH-014C】(7332017) 深穴ホールソー　カッター　１４ｍｍ 受注単位1[rn]
4-11913,,2891.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【BMH-037SR】(7329695) ＢＩＭホールソー３７ｍｍストレート 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●高級コバルトハイスSKH-59(M42)を採用した刃先と強靭なバネ鋼を電子ビーム溶接したバイメタル構造により鋭い切れ味を実現しました。<br>●大径の穴あけ時につきものの振動をバリオピッチにより低減します。<br><br>●鋼板<br>●ステンレス<br>●非鉄金属<br><br>●刃径(mm)：37<br>●シャンク径(mm)：10<br>●刃厚(mm)：1.0<br>●質量(g)：182<br>●フトコロ深さ(mm)：22.5<br><br>●適応板厚：3.2mm<br><br>●刃部：コバルトハイス（SKH-５９）<br>●センタードリル：高速度鋼（HSS）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【BMH-037SR】(7329695) ＢＩＭホールソー３７ｍｍストレート 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【BMH-037SR】(7329695) ＢＩＭホールソー３７ｍｍストレート 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒ボッシュ【BMH-037SR】(7329695) ＢＩＭホールソー３７ｍｍストレート 受注単位1[rn]
4-11914,,2857.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PH-034C】(7333285) 超硬ホールソー　カッター　３４ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●厚さ4mmまでのステンレス板の穴あけができます。<br>●不等ピッチの採用で振動を押え、効率の良い穴あけが可能です。<br><br><br>●刃径(mm)：34<br>●ふところ深さ(mm)：28<br>●シャンク径(mm)：10<br>●刃厚(mm)：2.2<br>●全長(mm)：28<br>●有効長(mm)：4<br>●質量(g)：95<br><br>●ステンレス板<br>●鋼板<br>●アルミ板<br>●合成樹脂<br><br>●刃部：超硬チップ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【PH-034C】(7333285) 超硬ホールソー　カッター　３４ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PH-034C】(7333285) 超硬ホールソー　カッター　３４ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒ボッシュ【PH-034C】(7333285) 超硬ホールソー　カッター　３４ｍｍ 受注単位1[rn]
