38-10063,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs45/trs7941315.jpg?fitin=700:700,8942.4000,,花・ガーデン・DIY > DIY・工具 > その他,ケルヒャー　ディスクパッド（緑）　63697900,【業務用】 オレンジブック2017掲載,<b>メーカー／ケルヒャージャパン（株）</b><br><br>【仕様】<br>●品名:ディスクパッド　381ｍｍ　ハード（緑）5枚入●適合機種:ＢＤ40/25Ｃ<br><br>【質量】　960G<br><br>【原産国】　イギリス<br><br>【2017　オレンジブック掲載】　5 1615　ページ■商品コード：trs7941315　●品名:ディスクパッド　381ｍｍ　ハード（緑）5枚入●適合機種:ＢＤ40/25Ｃ,ケルヒャー　ディスクパッド（緑）　63697900：工具箱　楽天市場店,ケルヒャー　ディスクパッド（緑）　63697900,【業務用】 オレンジブック2017掲載。ケルヒャー　ディスクパッド（緑）　63697900[rn]
38-10095,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs31/trs4613198.jpg?fitin=700:700,7034.4000,,花・ガーデン・DIY > DIY・工具 > その他,日本ウェーブロック　タフニール透明＃４００　０．０８Ｘ９１５Ｘ１００Ｍ　058Z001,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）イノベックス</b><br><br>【特長】<br>●透明性に優れています。●多目的、多用途型の塩ビフィルムです。<br><br>【用途】<br>●養生、カバー用。●間仕切り。<br><br>【仕様】<br>●色:透明（青味）●幅(mm):915●長さ(m):100●厚み(mm):0.08<br><br>【材質／仕上】<br>●ポリ塩化ビニール（PVC）<br><br>【原産国】　日本<br><br>【質量】　9.66KG<br><br>【2017　オレンジブック掲載】　5 3059ページ≪メーカー在庫≫　■商品コード：trs4613198　●色:透明（青味）●幅(mm):915●長さ(m):100●厚み(mm):0.08<br><br>●メーカー直送品となった場合、商品のお渡しが<b><font color=red>車上渡し・１階軒先渡し</font></b>となる場合が御座います。予めご了承下さい。,日本ウェーブロック　タフニール透明＃４００　０．０８Ｘ９１５Ｘ１００Ｍ　058Z001：工具箱　楽天市場店,日本ウェーブロック　タフニール透明＃４００　０．０８Ｘ９１５Ｘ１００Ｍ　058Z001,【業務用】 オレンジブック2017掲載。日本ウェーブロック　タフニール透明＃４００　０．０８Ｘ９１５Ｘ１００Ｍ　058Z001[rn]
38-10096,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs36/trs4897561.jpg?fitin=700:700,5108.8000,,花・ガーデン・DIY > DIY・工具 > その他,アラオ　段差スロープ　コーナー用　AR053,【業務用】 オレンジブック2017掲載,<b>メーカー／アラオ（株）</b><br><br>【特長】<br>●様々な敷き鉄板の厚みに対応できます。ちょっとした段差を解消でき、歩行者、自転車への配慮ができます。<br><br>【仕様】<br>●タイプ:コーナー形●間口(mm):―●奥行(mm):155●高さ(mm):30●縦(mm):155●横(mm):155<br><br>【材質／仕上】<br>●塩化ビニール<br><br>【質量】　1.2KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3031　ページ■商品コード：trs4897561　●タイプ:コーナー形●間口(mm):―●奥行(mm):155●高さ(mm):30●縦(mm):155●横(mm):155,アラオ　段差スロープ　コーナー用　AR053：工具箱　楽天市場店,アラオ　段差スロープ　コーナー用　AR053,【業務用】 オレンジブック2017掲載。アラオ　段差スロープ　コーナー用　AR053[rn]
38-10097,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs36/trs4897838.jpg?fitin=700:700,8176.0000,,花・ガーデン・DIY > DIY・工具 > その他,アラオ　ハイスローブ　AR083,【業務用】 オレンジブック2017掲載,<b>メーカー／アラオ（株）</b><br><br>【特長】<br>●ゴムの弾力性と独自の表面模様でしっかりグリップします。<br><br>【仕様】<br>●間口(mm):1000●奥行(mm):450●高さ(mm):55<br><br>【材質／仕上】<br>●再生ゴム<br><br>【セット内容／付属品】<br>●固定釘4本、連結金具2個<br><br>【質量】　19KG<br><br>【原産国】　中国<br><br>【2017　オレンジブック掲載】　5 3031　ページ■商品コード：trs4897838　●間口(mm):1000●奥行(mm):450●高さ(mm):55,アラオ　ハイスローブ　AR083：工具箱　楽天市場店,アラオ　ハイスローブ　AR083,【業務用】 オレンジブック2017掲載。アラオ　ハイスローブ　AR083[rn]
38-10098,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs36/trs4897552.jpg?fitin=700:700,6812.8000,,花・ガーデン・DIY > DIY・工具 > その他,アラオ　段差スロープ　AR052,【業務用】 オレンジブック2017掲載,<b>メーカー／アラオ（株）</b><br><br>【特長】<br>●様々な敷き鉄板の厚みに対応できます。ちょっとした段差を解消でき、歩行者、自転車への配慮ができます。●ｺｰﾅｰ用との併用により角部の段差も解消できます。<br><br>【仕様】<br>●タイプ:直線形●間口(mm):1500●奥行(mm):155●高さ(mm):30●縦(mm):155●横(mm):1500<br><br>【材質／仕上】<br>●塩化ビニール<br><br>【質量】　4KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3031　ページ■商品コード：trs4897552　●タイプ:直線形●間口(mm):1500●奥行(mm):155●高さ(mm):30●縦(mm):155●横(mm):1500,アラオ　段差スロープ　AR052：工具箱　楽天市場店,アラオ　段差スロープ　AR052,【業務用】 オレンジブック2017掲載。アラオ　段差スロープ　AR052[rn]
38-10099,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs41/trs7620624.jpg?fitin=700:700,3477.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＤＣ　タフステーク　Ｓ　TOUGHSTAKES,【業務用】 オレンジブック2017掲載,<b>メーカー／Ｄａｒｋ　Ｃａｎｙｏｎ社</b><br><br>【特長】<br>●独自の「ディープアンカーテクノロジー」で、平均的なテント用アンカーの10倍の強度を発揮します。●持ちやすいハンドル付きです。●重ねてコンパクトに保管できます。<br><br>【仕様】<br>●幅(mm):64.5●長さ(mm):228●付属ワイヤー径(mm):0.8×4本<br><br>【材質／仕上】<br>●アルミ（6061/T-6）<br><br>【セット内容／付属品】<br>●ワイヤー（線径約0.8mm）4本<br><br>【質量】　33G<br><br>【原産国】　中国<br><br>【2017　オレンジブック掲載】　5 3046　ページ■商品コード：trs7620624　●幅(mm):64.5●長さ(mm):228●付属ワイヤー径(mm):0.8×4本,ＤＣ　タフステーク　Ｓ　TOUGHSTAKES：工具箱　楽天市場店,ＤＣ　タフステーク　Ｓ　TOUGHSTAKES,【業務用】 オレンジブック2017掲載。ＤＣ　タフステーク　Ｓ　TOUGHSTAKES[rn]
38-10100,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs09/trs2970341.jpg?fitin=700:700,107884.8000,,花・ガーデン・DIY > DIY・工具 > その他,旭　かんたん組み立てテント　KT30　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／旭産業（株）</b><br><br>【特長】<br>●一度組み立てれば、面倒な設営作業が不要です。●天幕はフレームに取り付けたままで収納が可能です。<br><br>【仕様】<br>●間口(m):3.0●奥行(m):3.0●天幕色:白●棟高(m):3.12～3.44●支柱の長さは5段階に調整可能（棟高3.12～3.44m）●支柱上部:32mm角（肉厚1mm）●支柱下部:26mm角（肉厚1mm）●収納サイズ(mm):280×280×1560<br><br>【材質／仕上】<br>●フレーム:スチール●天幕:ポリエステル100%<br><br>【質量】　30<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3041　ページ≪メーカー直送品≫■商品コード：trs2970341　●間口(m):3.0●奥行(m):3.0●天幕色:白●棟高(m):3.12～3.44●支柱の長さは5段階に調整可能（棟高3.12～3.44m）●支柱上部:32mm角（肉厚1mm）●支柱下部:26mm角（肉厚1mm）●収納サイズ(mm):280×280×1560,旭　かんたん組み立てテント　KT30　　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,旭　かんたん組み立てテント　KT30　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。旭　かんたん組み立てテント　KT30　　【代引き不可・配送時間指定不可】[rn]
38-10101,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,63878.4000,,花・ガーデン・DIY > DIY・工具 > その他,旭　集会用テント　１．０間Ｘ１．５間　NHTS1　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／旭産業（株）</b><br><br>【特長】<br>●耐食性に優れた防錆樹脂コーティングを施した丈夫な溶融亜鉛メッキ鋼管のパイプ使用しています。●収納時に持ち運びも楽な折りたたみ設計です。●支柱が筋交いより下側で折れるので天幕（帯紐取付）の固定が伏せた状態で出来ます。●軒桁を持って、安全に組立できます。<br><br>【用途】<br>●資材置き場に●建設現場に●運動会に●贈呈用に<br><br>【仕様】<br>●間口(m):2.67●奥行(m):1.79●天幕色:白●棟高(m):2.54●表面に防錆樹脂コーティングを施した溶融亜鉛メッキ鋼管●軒高：2.0ｍ●パイプ径31.8mm×1.6mm厚●天幕：日本防炎協会認定番号取得製品●天幕厚み：0.42mm<br><br>【材質／仕上】<br>●天幕:ポリエステルターポリン●パイプ：溶融亜鉛メッキ鋼管　防錆樹脂コーティング<br><br>【セット内容／付属品】<br>●天幕収納袋<br><br><font color=red>【注意】<br>●強風時には設営しないでください●ウエイトの利用をおすすめします。（別売）●沖縄・離島運賃別途</font><br><br>【質量】　41.7<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3041　ページ≪メーカー直送品≫■商品コード：trs4917626　●間口(m):2.67●奥行(m):1.79●天幕色:白●棟高(m):2.54●表面に防錆樹脂コーティングを施した溶融亜鉛メッキ鋼管●軒高：2.0ｍ●パイプ径31.8mm×1.6mm厚●天幕：日本防炎協会認定番号取得製品●天幕厚み：0.42mm,旭　集会用テント　１．０間Ｘ１．５間　NHTS1　　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,旭　集会用テント　１．０間Ｘ１．５間　NHTS1　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。旭　集会用テント　１．０間Ｘ１．５間　NHTS1　　【代引き不可・配送時間指定不可】[rn]
38-10102,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,78067.2000,,花・ガーデン・DIY > DIY・工具 > その他,旭　集会用テント１．５間Ｘ２間　NHTS2　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／旭産業（株）</b><br><br>【特長】<br>●耐食性に優れた防錆樹脂コーティングを施した丈夫な溶融亜鉛メッキ鋼管のパイプ使用●収納時に持ち運びも楽な折りたたみ設計です。●支柱が筋交いより下側で折れるので天幕（帯紐取付）の固定が伏せた状態で出来ます●軒桁を持って、安全に組立できます<br><br>【用途】<br>●資材置き場に●建設現場に●運動会に●贈呈用に<br><br>【仕様】<br>●間口(m):3.56●奥行(m):2.67●天幕色:白●棟高(m):2.81●表面に防錆樹脂コーティングを施した溶融亜鉛メッキ鋼管●軒高：2.0ｍ●パイプ径31.8mm×1.6mm厚●天幕：日本防炎協会認定番号取得製品●天幕厚み：0.42mm●表面に防錆樹脂コーティングを施した溶融亜鉛メッキ鋼管●軒高:2.0ｍ●パイプ径31.8mm×1.6mm厚●天幕:日本防炎協会認定番号取得製品●天幕厚み:0.42mm<br><br>【材質／仕上】<br>●天幕:ポリエステルターポリン●パイプ：溶融亜鉛メッキ鋼管　防錆樹脂コーティング<br><br>【セット内容／付属品】<br>●天幕収納袋<br><br><font color=red>【注意】<br>●強風時には設営しないでください●ウエイトの利用をおすすめします。（別売）●沖縄・離島運賃別途</font><br><br>【質量】　56.8<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3041　ページ≪メーカー直送品≫■商品コード：trs4917651　●間口(m):3.56●奥行(m):2.67●天幕色:白●棟高(m):2.81●表面に防錆樹脂コーティングを施した溶融亜鉛メッキ鋼管●軒高：2.0ｍ●パイプ径31.8mm×1.6mm厚●天幕：日本防炎協会認定番号取得製品●天幕厚み：0.42mm●表面に防錆樹脂コーティングを施した溶融亜鉛メッキ鋼管●軒高:2.0ｍ●パイプ径31.8mm×1.6mm厚●天幕:日本防炎協会認定番号取得製品●天幕厚み:0.42mm,旭　集会用テント１．５間Ｘ２間　NHTS2　　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,旭　集会用テント１．５間Ｘ２間　NHTS2　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。旭　集会用テント１．５間Ｘ２間　NHTS2　　【代引き不可・配送時間指定不可】[rn]
38-10103,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs09/trs2970350.jpg?fitin=700:700,147619.2000,,花・ガーデン・DIY > DIY・工具 > その他,旭　かんたん組み立てテント　KT60　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／旭産業（株）</b><br><br>【特長】<br>●一度組み立てれば、面倒な設営作業が不要です。●天幕はフレームに取り付けたままで収納が可能です。<br><br>【仕様】<br>●間口(m):6.0●奥行(m):3.0●天幕色:白●棟高(m):3.12～3.44●支柱の長さは5段階に調整可能（棟高3.12～3.44m）●支柱上部:32mm角（肉厚1mm）●支柱下部:26mm角（肉厚1mm）●収納サイズ(mm):290×430×1560<br><br>【材質／仕上】<br>●フレーム:スチール●天幕:ポリエステル100%<br><br>【質量】　54<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3041　ページ≪メーカー直送品≫■商品コード：trs2970350　●間口(m):6.0●奥行(m):3.0●天幕色:白●棟高(m):3.12～3.44●支柱の長さは5段階に調整可能（棟高3.12～3.44m）●支柱上部:32mm角（肉厚1mm）●支柱下部:26mm角（肉厚1mm）●収納サイズ(mm):290×430×1560,旭　かんたん組み立てテント　KT60　　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,旭　かんたん組み立てテント　KT60　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。旭　かんたん組み立てテント　KT60　　【代引き不可・配送時間指定不可】[rn]
38-10104,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs41/trs7620608.jpg?fitin=700:700,4729.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＤＣ　タフステーク　Ｌ　TOUGHSTAKEL,【業務用】 オレンジブック2017掲載,<b>メーカー／Ｄａｒｋ　Ｃａｎｙｏｎ社</b><br><br>【特長】<br>●独自の「ディープアンカーテクノロジー」で、平均的なテント用アンカーの10倍の強度を発揮します。●持ちやすいハンドル付きです。●重ねてコンパクトに保管できます。<br><br>【仕様】<br>●幅(mm):146●長さ(mm):444.5●付属ワイヤー径(mm):1.6×1本<br><br>【材質／仕上】<br>●アルミ（6061/T-6）<br><br>【セット内容／付属品】<br>●ワイヤー（線径約1.6mm）1本<br><br>【質量】　198G<br><br>【原産国】　中国<br><br>【2017　オレンジブック掲載】　5 3046　ページ■商品コード：trs7620608　●幅(mm):146●長さ(mm):444.5●付属ワイヤー径(mm):1.6×1本,ＤＣ　タフステーク　Ｌ　TOUGHSTAKEL：工具箱　楽天市場店,ＤＣ　タフステーク　Ｌ　TOUGHSTAKEL,【業務用】 オレンジブック2017掲載。ＤＣ　タフステーク　Ｌ　TOUGHSTAKEL[rn]
38-10105,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs41/trs7620616.jpg?fitin=700:700,4034.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＤＣ　タフステーク　Ｍ　TOUGHSTAKEM,【業務用】 オレンジブック2017掲載,<b>メーカー／Ｄａｒｋ　Ｃａｎｙｏｎ社</b><br><br>【特長】<br>●独自の「ディープアンカーテクノロジー」で、平均的なテント用アンカーの10倍の強度を発揮します。●持ちやすいハンドル付きです。●重ねてコンパクトに保管できます。<br><br>【仕様】<br>●幅(mm):95.2●長さ(mm):343●付属ワイヤー径(mm):1.6×2本<br><br>【材質／仕上】<br>●アルミ（6061/T-6）<br><br>【セット内容／付属品】<br>●ワイヤー（線径約1.6mm）2本<br><br>【質量】　119G<br><br>【原産国】　中国<br><br>【2017　オレンジブック掲載】　5 3046　ページ■商品コード：trs7620616　●幅(mm):95.2●長さ(mm):343●付属ワイヤー径(mm):1.6×2本,ＤＣ　タフステーク　Ｍ　TOUGHSTAKEM：工具箱　楽天市場店,ＤＣ　タフステーク　Ｍ　TOUGHSTAKEM,【業務用】 オレンジブック2017掲載。ＤＣ　タフステーク　Ｍ　TOUGHSTAKEM[rn]
38-10106,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs29/trs4551362.jpg?fitin=700:700,86592.0000,,花・ガーデン・DIY > DIY・工具 > その他,旭　メッシュテント　１．５間Ｘ２．０間　TMT1　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／旭産業（株）</b><br><br>【特長】<br>●明るい空間を保ち、風をよく通し、直射日光の有害な紫外線をカットします。●遮光率を最大にしてテント内に風を取り込みます。●天幕は、高密度メッシュ仕立てです。<br><br>【用途】<br>●暑い場所の休憩確保に●幼稚園、保育園、施設などの屋外で<br><br>【仕様】<br>●間口(m):3.56●奥行(m):2.67●天幕色:ブルー●棟高(m):2.81●軒高:2m●フレーム:φ31.8mm<br><br>【材質／仕上】<br>●天幕:ポリエステル●フレーム:鋼パイプ<br><br><font color=red>【注意】<br>●北海道・沖縄・離島は、運賃別途必要です●雨天時、使用不可●沖縄・離島運賃別途</font><br><br>【質量】　53KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3041　ページ≪メーカー直送品≫■商品コード：trs4551362　●間口(m):3.56●奥行(m):2.67●天幕色:ブルー●棟高(m):2.81●軒高:2m●フレーム:φ31.8mm,旭　メッシュテント　１．５間Ｘ２．０間　TMT1　 【代引き不可・配送時間指定不可】：工具箱　楽天市場店,旭　メッシュテント　１．５間Ｘ２．０間　TMT1　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。旭　メッシュテント　１．５間Ｘ２．０間　TMT1　 【代引き不可・配送時間指定不可】[rn]
38-10107,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs09/trs2970368.jpg?fitin=700:700,124200.0000,,花・ガーデン・DIY > DIY・工具 > その他,旭　かんたん組み立てテント　KT45　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／旭産業（株）</b><br><br>【特長】<br>●一度組み立てれば、面倒な設営作業が不要です。●天幕はフレームに取り付けたままで収納が可能です。<br><br>【仕様】<br>●間口(m):4.5●奥行(m):3.0●天幕色:白●棟高(m):3.12～3.44●支柱の長さは5段階に調整可能（棟高3.12～3.44m）●支柱上部:32mm角（肉厚1mm）●支柱下部:26mm角（肉厚1mm）●収納サイズ(mm):290×340×1560<br><br>【材質／仕上】<br>●フレーム:スチール●天幕:ポリエステル100%<br><br>【質量】　39<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3041　ページ≪メーカー直送品≫■商品コード：trs2970368　●間口(m):4.5●奥行(m):3.0●天幕色:白●棟高(m):3.12～3.44●支柱の長さは5段階に調整可能（棟高3.12～3.44m）●支柱上部:32mm角（肉厚1mm）●支柱下部:26mm角（肉厚1mm）●収納サイズ(mm):290×340×1560,旭　かんたん組み立てテント　KT45　　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,旭　かんたん組み立てテント　KT45　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。旭　かんたん組み立てテント　KT45　　【代引き不可・配送時間指定不可】[rn]
38-10108,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,4799.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＣＨＥＣＫＥＲＳ　ホイールチョーク　ウレタン　汎用車輪径　UC1700,【業務用】 オレンジブック2017掲載,<b>メーカー／ＣＨＥＣＫＥＲＳ社</b><br><br>【特長】<br>●耐油性、耐薬品性に優れています。●重量トラック・ トレーラーに最適です。●ロープチェーン取付穴付き。<br><br>【用途】<br>●重量トラック トレーラー用<br><br>【仕様】<br>●色:オレンジ●間口(mm):191●奥行(mm):216●高さ(mm):159●汎用タイプ●適応車輪径:686～889mm<br><br>【材質／仕上】<br>●耐衝撃ウレタン<br><br>【質量】　0.9KG<br><br>【原産国】　アメリカ<br><br>【2017　オレンジブック掲載】　5 3028　ページ■商品コード：trs4905288　●色:オレンジ●間口(mm):191●奥行(mm):216●高さ(mm):159●汎用タイプ●適応車輪径:686～889mm,ＣＨＥＣＫＥＲＳ　ホイールチョーク　ウレタン　汎用車輪径　UC1700：工具箱　楽天市場店,ＣＨＥＣＫＥＲＳ　ホイールチョーク　ウレタン　汎用車輪径　UC1700,【業務用】 オレンジブック2017掲載。ＣＨＥＣＫＥＲＳ　ホイールチョーク　ウレタン　汎用車輪径　UC1700[rn]
38-10109,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs33/trs4705033.jpg?fitin=700:700,1716.8000,,花・ガーデン・DIY > DIY・工具 > その他,光　カーストップ　黄色　KCSYB22,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）光</b><br><br>【特長】<br>●樹脂製で軽量、持ち運びに便利です。●底面は滑り止めのゴム付です。●スライド金具を使用すると、より効果的です。<br><br>【仕様】<br>●色:黄色●間口(mm):123●奥行(mm):175●高さ(mm):105●耐荷重:約3トン(2個使用時)<br><br>【材質／仕上】<br>●ＰＰ　EPDM　スチールユニクロメッキ<br><br>【質量】　800<br><br>【原産国】　台湾<br><br>【2017　オレンジブック掲載】　5 3027　ページ■商品コード：trs4705033　●色:黄色●間口(mm):123●奥行(mm):175●高さ(mm):105●耐荷重:約3トン(2個使用時),光　カーストップ　黄色　KCSYB22：工具箱　楽天市場店,光　カーストップ　黄色　KCSYB22,【業務用】 オレンジブック2017掲載。光　カーストップ　黄色　KCSYB22[rn]
38-10110,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs36/trs4904150.jpg?fitin=700:700,12168.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＣＨＥＣＫＥＲＳ　パーキングストップ　１８２９ＭＭ　CS6SY,【業務用】 オレンジブック2017掲載,<b>メーカー／ＣＨＥＣＫＥＲＳ社</b><br><br>【特長】<br>●駐車場や車庫での接触事故を防止します。環境に配慮した再生樹脂を使用しています。●耐候性、化学製品に強くコンクリートのように欠けることがありません。<br><br>【仕様】<br>●色:黄●間口(mm):1829●奥行(mm):152●高さ(mm):102●適用車種:普通車●耐荷重:2ｔ●取付穴径:15mm<br><br>【材質／仕上】<br>●再生プラスチック<br><br>【質量】　11.4KG<br><br>【原産国】　アメリカ<br><br>【2017　オレンジブック掲載】　5 3029　ページ■商品コード：trs4904150　●色:黄●間口(mm):1829●奥行(mm):152●高さ(mm):102●適用車種:普通車●耐荷重:2ｔ●取付穴径:15mm,ＣＨＥＣＫＥＲＳ　パーキングストップ　１８２９ＭＭ　CS6SY：工具箱　楽天市場店,ＣＨＥＣＫＥＲＳ　パーキングストップ　１８２９ＭＭ　CS6SY,【業務用】 オレンジブック2017掲載。ＣＨＥＣＫＥＲＳ　パーキングストップ　１８２９ＭＭ　CS6SY[rn]
38-10111,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,33802.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＣＨＥＣＫＥＲＳ　ホイールチョーク（マイニング用）　MC1210,【業務用】 オレンジブック2017掲載,<b>メーカー／ＣＨＥＣＫＥＲＳ社</b><br><br>【特長】<br>●耐油性、耐溶剤に優れています。●鉱山安全保健管理局の基準をクリアしています。●キャタピラタイプの車輌やダンプカー、ブルトーザー等に最適です。<br><br>【用途】<br>●大型の運搬トラックや建設機械用の大型車、クレーン、マイニング用のトラックに。<br><br>【仕様】<br>●色:オレンジ●間口(mm):356●奥行(mm):432●高さ(mm):356●取付穴径:15mm●適応車輪径:1651～2413mm●最大耐荷重:166ｔ<br><br>【材質／仕上】<br>●耐衝撃ウレタン<br><br>【質量】　11.3<br><br>【原産国】　アメリカ<br><br>【2017　オレンジブック掲載】　5 3028　ページ■商品コード：trs4904591　●色:オレンジ●間口(mm):356●奥行(mm):432●高さ(mm):356●取付穴径:15mm●適応車輪径:1651～2413mm●最大耐荷重:166ｔ,ＣＨＥＣＫＥＲＳ　ホイールチョーク（マイニング用）　MC1210：工具箱　楽天市場店,ＣＨＥＣＫＥＲＳ　ホイールチョーク（マイニング用）　MC1210,【業務用】 オレンジブック2017掲載。ＣＨＥＣＫＥＲＳ　ホイールチョーク（マイニング用）　MC1210[rn]
38-10112,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs36/trs4904141.jpg?fitin=700:700,10216.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＣＨＥＣＫＥＲＳ　パーキングストップ　１２１９ＭＭ　CS4SY,【業務用】 オレンジブック2017掲載,<b>メーカー／ＣＨＥＣＫＥＲＳ社</b><br><br>【特長】<br>●駐車場や車庫での接触事故を防止します。環境に配慮した再生樹脂を使用しています。●耐候性、化学製品に強くコンクリートのように欠けることがありません。<br><br>【仕様】<br>●色:黄●間口(mm):1219●奥行(mm):152●高さ(mm):102●適用車種:普通車●耐荷重:2ｔ●取付穴径:15mm<br><br>【材質／仕上】<br>●再生プラスチック<br><br>【質量】　9.1KG<br><br>【原産国】　アメリカ<br><br>【2017　オレンジブック掲載】　5 3029　ページ■商品コード：trs4904141　●色:黄●間口(mm):1219●奥行(mm):152●高さ(mm):102●適用車種:普通車●耐荷重:2ｔ●取付穴径:15mm,ＣＨＥＣＫＥＲＳ　パーキングストップ　１２１９ＭＭ　CS4SY：工具箱　楽天市場店,ＣＨＥＣＫＥＲＳ　パーキングストップ　１２１９ＭＭ　CS4SY,【業務用】 オレンジブック2017掲載。ＣＨＥＣＫＥＲＳ　パーキングストップ　１２１９ＭＭ　CS4SY[rn]
38-10113,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs41/trs7619421.jpg?fitin=700:700,1052.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＣＨＥＣＫＥＲＳ　アスファルト用とめ金具セット　CSSBTSSPIKE,【業務用】 オレンジブック2017掲載,<b>メーカー／ＣＨＥＣＫＥＲＳ社</b><br><br>【特長】<br>●パーキングストップ、スピードバンプスを固定するための金具です。<br><br>【仕様】<br>●適合本体:CS4S-Y、CS6S-Y、TS8-Y、SB4S、SB6S、SB9S●タイプ:アスファルト用●呼び径×長さ(mm):12.7×305<br><br>【材質／仕上】<br>●工具鋼<br><br>【質量】　300G<br><br>【原産国】　アメリカ<br><br>【2017　オレンジブック掲載】　5 3029　ページ■商品コード：trs7619421　●適合本体:CS4S-Y、CS6S-Y、TS8-Y、SB4S、SB6S、SB9S●タイプ:アスファルト用●呼び径×長さ(mm):12.7×305,ＣＨＥＣＫＥＲＳ　アスファルト用とめ金具セット　CSSBTSSPIKE：工具箱　楽天市場店,ＣＨＥＣＫＥＲＳ　アスファルト用とめ金具セット　CSSBTSSPIKE,【業務用】 オレンジブック2017掲載。ＣＨＥＣＫＥＲＳ　アスファルト用とめ金具セット　CSSBTSSPIKE[rn]
