20-31601,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004413767.jpg?fitin=700:700,2372.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　こて先　４ＢＣ型【T20-BC4】(4003926) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒白光/白光　こて先　４ＢＣ型【T20-BC4】(4003926) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒白光/白光　こて先　４ＢＣ型【T20-BC4】(4003926) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒白光/白光　こて先　４ＢＣ型【T20-BC4】(4003926) 受注単位：1[rn]
20-31625,,148.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１５０ｍｍ　直型【TSP-27 (150MMﾁｮｸ)】(2709058) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●微小なパーツや小物を容易につかむことができます。<br>●先の細いピンセットです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１５０ｍｍ　直型【TSP-27 (150MMﾁｮｸ)】(2709058) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１５０ｍｍ　直型【TSP-27 (150MMﾁｮｸ)】(2709058) 受注単位：1,(2709058)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１５０ｍｍ　直型【TSP-27 (150MMﾁｮｸ)】(2709058) 受注単位：1[rn]
20-31626,,4442.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　７０ｍｍ　超極細型【3M-TNF (3T-70) (70MMﾁﾀﾝ)】(2617242) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●885℃の高温でも変質しません。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　７０ｍｍ　超極細型【3M-TNF (3T-70) (70MMﾁﾀﾝ)】(2617242) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　７０ｍｍ　超極細型【3M-TNF (3T-70) (70MMﾁﾀﾝ)】(2617242) 受注単位：1,(2617242)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　７０ｍｍ　超極細型【3M-TNF (3T-70) (70MMﾁﾀﾝ)】(2617242) 受注単位：1[rn]
20-31627,,5551.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１３０ｍｍ　先端９．５　４枚爪【41LB4-SA (41LB-4) (130MMﾂﾒ4ﾏｲ)】(2617404) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ウェハーなどのハンドリングに適したピンセットです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１３０ｍｍ　先端９．５　４枚爪【41LB4-SA (41LB-4) (130MMﾂﾒ4ﾏｲ)】(2617404) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１３０ｍｍ　先端９．５　４枚爪【41LB4-SA (41LB-4) (130MMﾂﾒ4ﾏｲ)】(2617404) 受注単位：1,(2617404)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１３０ｍｍ　先端９．５　４枚爪【41LB4-SA (41LB-4) (130MMﾂﾒ4ﾏｲ)】(2617404) 受注単位：1[rn]
20-31628,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833300.jpg?fitin=700:700,1425.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒サンハヤト/サンハヤト　ＰＬＣＣタイプＩＣ引抜治具【GX-8】(3859673) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●PLCC ICソケットが垂直水平どちらでも簡単に引き抜けます。<br>●ICとICソケットを傷つけずスピーディーに引き抜けます。",『カード対応OK！』■〒サンハヤト/サンハヤト　ＰＬＣＣタイプＩＣ引抜治具【GX-8】(3859673) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒サンハヤト/サンハヤト　ＰＬＣＣタイプＩＣ引抜治具【GX-8】(3859673) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒サンハヤト/サンハヤト　ＰＬＣＣタイプＩＣ引抜治具【GX-8】(3859673) 受注単位：1[rn]
20-31629,,3271.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１１５ｍｍ　鷲型極細型【7-SA (7G-115) (115MMﾀｲｻﾝﾀｲｼﾞ)】(2617005) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●耐磁性のあるステンレス鋼を使用し、耐久性に優れます。<br>●フッ化水素・硝酸の酸に耐性があります。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１１５ｍｍ　鷲型極細型【7-SA (7G-115) (115MMﾀｲｻﾝﾀｲｼﾞ)】(2617005) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１１５ｍｍ　鷲型極細型【7-SA (7G-115) (115MMﾀｲｻﾝﾀｲｼﾞ)】(2617005) 受注単位：1,(2617005)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１１５ｍｍ　鷲型極細型【7-SA (7G-115) (115MMﾀｲｻﾝﾀｲｼﾞ)】(2617005) 受注単位：1[rn]
20-31630,,291.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチック製ピンセット　１２０ｍｍ　先曲型【TPP-232】(3017257) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●非磁性、絶縁性、耐薬品性、剛性に優れています。<br>●先端が強力で細かな作業に向いています。<br>●対象物を傷つけにくく、耐久性に優れています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチック製ピンセット　１２０ｍｍ　先曲型【TPP-232】(3017257) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチック製ピンセット　１２０ｍｍ　先曲型【TPP-232】(3017257) 受注単位：1,(3017257)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチック製ピンセット　１２０ｍｍ　先曲型【TPP-232】(3017257) 受注単位：1[rn]
20-31631,,3488.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１２０ｍｍ　先端幅８ｍｍ　ウエハー用【85C-SA (85LG-120) (120MMﾀｲｻﾝﾀｲｼﾞ】(2617366) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●精密作業用ピンセットです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１２０ｍｍ　先端幅８ｍｍ　ウエハー用【85C-SA (85LG-120) (120MMﾀｲｻﾝﾀｲｼﾞ】(2617366) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１２０ｍｍ　先端幅８ｍｍ　ウエハー用【85C-SA (85LG-120) (120MMﾀｲｻﾝﾀｲｼﾞ】(2617366) 受注単位：1,(2617366)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１２０ｍｍ　先端幅８ｍｍ　ウエハー用【85C-SA (85LG-120) (120MMﾀｲｻﾝﾀｲｼﾞ】(2617366) 受注単位：1[rn]
20-31632,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005147144.jpg?fitin=700:700,2492.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　チタンピンセット（ＡＡ型）　１２５ｍｍ【PTN-01】(3688321) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●はんだが付着しません。<br>●塩化物、酸などの広範囲で耐食性に優れています。<br>●100%非磁性なので、コンピューター、エレクトロニクス分野の精密作業に最適です。<br>●ステンレスに比べて６割の軽さで疲れません。<br>●使いやすく、先端の丈夫な標準タイプです。<br>●耐食性にたいへん優れたチタニウムを使用しています。<br>●ステンレスの6割の軽さで手になじみ易く長時間使用しても疲れません。<br>●高温でも先端の強度を維持します。<br>●腐食や錆が全くなく又、イオン化しませんので、薬品、バイオ関連分野など、広い分野で使用できます。",『カード対応OK！』■〒エンジニア/エンジニア　チタンピンセット（ＡＡ型）　１２５ｍｍ【PTN-01】(3688321) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　チタンピンセット（ＡＡ型）　１２５ｍｍ【PTN-01】(3688321) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　チタンピンセット（ＡＡ型）　１２５ｍｍ【PTN-01】(3688321) 受注単位：1[rn]
20-31633,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811791.jpg?fitin=700:700,1102.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ピンセット（ＴＳ型）矢じりタイプ　１２５ｍｍ【PT-07 (125MM)】(2964074) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●先端超精密加工の非磁性、耐酸、耐食性を兼ね備えたSUS304製です。<br>●ボディー部のばね性は柔らかく仕上げてあり、長時間の作業でも手が疲れません。",『カード対応OK！』■〒エンジニア/エンジニア　ピンセット（ＴＳ型）矢じりタイプ　１２５ｍｍ【PT-07 (125MM)】(2964074) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　ピンセット（ＴＳ型）矢じりタイプ　１２５ｍｍ【PT-07 (125MM)】(2964074) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ピンセット（ＴＳ型）矢じりタイプ　１２５ｍｍ【PT-07 (125MM)】(2964074) 受注単位：1[rn]
20-31634,,136.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１５０ｍｍ　曲ギザ付【TSP-24 (150MMｻｷﾏｹﾞ)】(2709023) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●狭い所でも楽に作業でき、挟んだ品物がよく見えるため確実に作業ができます。<br>●先曲タイプ（ギザ付）です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１５０ｍｍ　曲ギザ付【TSP-24 (150MMｻｷﾏｹﾞ)】(2709023) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１５０ｍｍ　曲ギザ付【TSP-24 (150MMｻｷﾏｹﾞ)】(2709023) 受注単位：1,(2709023)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１５０ｍｍ　曲ギザ付【TSP-24 (150MMｻｷﾏｹﾞ)】(2709023) 受注単位：1[rn]
20-31635,,143.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１５０ｍｍ　直ギザ付【TSP-23 (150MMﾁｮｸ)】(2709015) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●微小なパーツや小物を容易につかむことができます。<br>●直タイプ（ギザ付）です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１５０ｍｍ　直ギザ付【TSP-23 (150MMﾁｮｸ)】(2709015) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１５０ｍｍ　直ギザ付【TSP-23 (150MMﾁｮｸ)】(2709015) 受注単位：1,(2709015)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１５０ｍｍ　直ギザ付【TSP-23 (150MMﾁｮｸ)】(2709015) 受注単位：1[rn]
20-31636,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005017718.jpg?fitin=700:700,1791.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ピン抜き工具【PAS-32】(4073835) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●セーフティ・スプリング内蔵により、イジェクタ・ピンをスリーブ内に収納し、落下時の衝撃や変形を最小限に抑えます。",『カード対応OK！』■〒エンジニア/エンジニア　ピン抜き工具【PAS-32】(4073835) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　ピン抜き工具【PAS-32】(4073835) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ピン抜き工具【PAS-32】(4073835) 受注単位：1[rn]
20-31637,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003094232.jpg?fitin=700:700,1034.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　技工タイプ　１９０ｍｍ【PT-13 (190MM)】(3688291) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●先端超精密加工の非磁性、耐酸、耐食性を兼ね備えたSUS304製です。<br>●ボディー部のばね性は柔らかく仕上げてあり、長時間の作業でも手が疲れません。",『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　技工タイプ　１９０ｍｍ【PT-13 (190MM)】(3688291) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　技工タイプ　１９０ｍｍ【PT-13 (190MM)】(3688291) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　技工タイプ　１９０ｍｍ【PT-13 (190MM)】(3688291) 受注単位：1[rn]
20-31638,,938.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ製精密ピンセット　２Ａ型　９５ｍｍ【EW-2A】(3289036) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ピンセットの技術革新、オール削り出しのアルミニウム製ピンセットです。<br>●わずか6gと超軽量のため、長時間の使用でも手が疲れにくいです。<br>●ハンドル部分のギザ波が滑り止めとして働きます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ製精密ピンセット　２Ａ型　９５ｍｍ【EW-2A】(3289036) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ製精密ピンセット　２Ａ型　９５ｍｍ【EW-2A】(3289036) 受注単位：1,(3289036)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ製精密ピンセット　２Ａ型　９５ｍｍ【EW-2A】(3289036) 受注単位：1[rn]
20-31639,,991.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ラバーグリップ付ステンレスピンセット　１１５ｍｍ　極細鋭型【TSP-214】(2997410) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ピンセット先端に力が入り、物をしっかりつかむことのできるラバーグリップ付で、指先の滑りも防止します。<br>●長時間使っても疲れにくいピンセットです。<br>●先端が強い、高強度仕様です。<br>●安全保護キャップ付です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ラバーグリップ付ステンレスピンセット　１１５ｍｍ　極細鋭型【TSP-214】(2997410) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ラバーグリップ付ステンレスピンセット　１１５ｍｍ　極細鋭型【TSP-214】(2997410) 受注単位：1,(2997410)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ラバーグリップ付ステンレスピンセット　１１５ｍｍ　極細鋭型【TSP-214】(2997410) 受注単位：1[rn]
20-31640,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002825530.jpg?fitin=700:700,1860.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ピン抜き工具【SS-33】(3418367) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●2ステップの簡単操作で、ハウジングに挿入された端子をきれいに外すことができます。",『カード対応OK！』■〒エンジニア/エンジニア　ピン抜き工具【SS-33】(3418367) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　ピン抜き工具【SS-33】(3418367) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ピン抜き工具【SS-33】(3418367) 受注単位：1[rn]
20-31641,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010002803451.jpg?fitin=700:700,5551.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１３０ｍｍ　先端９．５　２枚爪【41LB2-SA (41LB-2) (130MMﾂﾒ2ﾏｲ)】(2617382) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ウェハーなどのハンドリングに適したピンセットです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１３０ｍｍ　先端９．５　２枚爪【41LB2-SA (41LB-2) (130MMﾂﾒ2ﾏｲ)】(2617382) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１３０ｍｍ　先端９．５　２枚爪【41LB2-SA (41LB-2) (130MMﾂﾒ2ﾏｲ)】(2617382) 受注単位：1,(2617382)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１３０ｍｍ　先端９．５　２枚爪【41LB2-SA (41LB-2) (130MMﾂﾒ2ﾏｲ)】(2617382) 受注単位：1[rn]
20-31642,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003824430.jpg?fitin=700:700,895.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ロックホルダー（曲）　１２５ｍｍ【PH-02 (125MM)】(3598578) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ハンドルの内側が噛み合わせのラチェットになっており、先端で挟んだ部品をロックした状態で保持します。<br>●電子部品の組み立て・はんだ付け作業、精密クランプ作業などに最適です。<br>●自動車、バイクなどのオイルホースのクリップにも使用できます。",『カード対応OK！』■〒エンジニア/エンジニア　ロックホルダー（曲）　１２５ｍｍ【PH-02 (125MM)】(3598578) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　ロックホルダー（曲）　１２５ｍｍ【PH-02 (125MM)】(3598578) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ロックホルダー（曲）　１２５ｍｍ【PH-02 (125MM)】(3598578) 受注単位：1[rn]
20-31643,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002818432.jpg?fitin=700:700,770.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　基板コネクター抜き【SS-10】(3027228) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●精密加工された先端が基板コネクタを確実に保持し、ハウジングのコジリや断線の心配なく、垂直にスムーズに引き抜くことができます。",『カード対応OK！』■〒エンジニア/エンジニア　基板コネクター抜き【SS-10】(3027228) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　基板コネクター抜き【SS-10】(3027228) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　基板コネクター抜き【SS-10】(3027228) 受注単位：1[rn]
20-31644,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833844.jpg?fitin=700:700,10709.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　ハッコー３９４【394-01】(2560445) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●連続吸入で、思い通りのハンドリングが可能です。<br>●手になじむペンタイプのソフトタッチスイッチ採用で長時間の作業も快適です。<br>●静電気から製品を守るESD対応仕様です。",『カード対応OK！』■〒白光/白光　ハッコー３９４【394-01】(2560445) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒白光/白光　ハッコー３９４【394-01】(2560445) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒白光/白光　ハッコー３９４【394-01】(2560445) 受注単位：1[rn]
20-31645,,2688.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　スイストゥィーズ型　１１５ｍｍ　先丸先細型【2G-SA】(3288943) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●耐酸耐磁（SUS304L）のピンセットをベースに本体に無数の穴を空けることで滑り止め効果があります。<br>●SUS420Jに比べサビにくく、耐久性に優れます。<br>●フッ化水素・硝酸の酸に耐性があります。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　スイストゥィーズ型　１１５ｍｍ　先丸先細型【2G-SA】(3288943) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　スイストゥィーズ型　１１５ｍｍ　先丸先細型【2G-SA】(3288943) 受注単位：1,(3288943)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　スイストゥィーズ型　１１５ｍｍ　先丸先細型【2G-SA】(3288943) 受注単位：1[rn]
20-31646,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002940122.jpg?fitin=700:700,256.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ＰＴＺ－４２用交換チップ（先細丸形）【PTZ92】(3335224) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒エンジニア/エンジニア　ＰＴＺ&minus;４２用交換チップ（先細丸形）【PTZ92】(3335224) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　ＰＴＺ&minus;４２用交換チップ（先細丸形）【PTZ92】(3335224) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ＰＴＺ&minus;４２用交換チップ（先細丸形）【PTZ92】(3335224) 受注単位：1[rn]
