20-53601,http://tshop.r10s.jp/todakana/cabinet/00993547/imgrc0064334760.jpg?fitin=700:700,14960.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ヨコヅナ JBS-1105　ステンレス重量戸車 V型 110mm / 1個,,取り寄せ品：通常2～5営業日で入荷後発送　返品・交換不可,ヨコヅナ JBS-1105　ステンレス重量戸車 V型 110mm / 1個：Ｔｏｄａ-Ｋａｎａｍｏｎｏ,ヨコヅナ JBS-1105　ステンレス重量戸車 V型 110mm / 1個,ヨコヅナ JBS-1105　ステンレス重量戸車 V型 110mm / 1個[rn]
20-53636,http://tshop.r10s.jp/parts/cabinet/detail-trusco8/t010003874577.jpg?fitin=700:700,3183.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,コノエ　ステンレス六角穴付ボルトＭ５×１０（４００本入り）,,●耐食性のあるステンレス（SUS304）を使用しています。<BR>●寸法(mm)d×L:M5×10●質量(kg):1.16<BR>●強度区分:A2-70相当●JIS B1176規格品<BR>●ステンレス（SUS304）<BR>,コノエ　ステンレス六角穴付ボルトＭ５&times;１０（４００本入り）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンコノエ　ステンレス六角穴付ボルトＭ５&times;１０（４００本入り）,コノエ　ステンレス六角穴付ボルトＭ５&times;１０（４００本入り）[rn]
20-53637,http://tshop.r10s.jp/parts/cabinet/detail-trusco8/t010003874300.jpg?fitin=700:700,2292.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,コノエ　六角穴付ボルトＭ３×５（５００本入り）,,●SCM材を使用し、高い強度があります。<BR>●寸法(mm)d×L:M3×5●質量(kg):0.31<BR>●強度区分:12.9●JIS B1176規格品<BR>●クロムモリブデン鋼（SCM435）●表面処理:黒染め仕上げ（四三酸化鉄被膜）<BR>,コノエ　六角穴付ボルトＭ３&times;５（５００本入り）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンコノエ　六角穴付ボルトＭ３&times;５（５００本入り）,コノエ　六角穴付ボルトＭ３&times;５（５００本入り）[rn]
20-53638,http://tshop.r10s.jp/parts/cabinet/detail-trusco8/t010003874300.jpg?fitin=700:700,1908.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,コノエ　六角穴付ボルトＭ５×２０（４００本入り）,,●SCM材を使用し、高い強度があります。<BR>●寸法(mm)d×L:M5×20●質量(kg):1.64<BR>●強度区分:12.9●JIS B1176規格品<BR>●クロムモリブデン鋼（SCM435）●表面処理:黒染め仕上げ（四三酸化鉄被膜）<BR>,コノエ　六角穴付ボルトＭ５&times;２０（４００本入り）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンコノエ　六角穴付ボルトＭ５&times;２０（４００本入り）,コノエ　六角穴付ボルトＭ５&times;２０（４００本入り）[rn]
20-53639,http://tshop.r10s.jp/parts/cabinet/detail-trusco8/t010003874302.jpg?fitin=700:700,1323.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,コノエ　ユニクローム六角穴付ボルトＭ１０×４０（５０本入り）,,●SCM材を使用し、高い強度があります。<BR>●寸法(mm)d×L:M10×40●質量(kg):1.59<BR>●強度区分:10.9●JIS B1176規格品<BR>●クロムモリブデン鋼（SCM435）●表面処理:ユニクロムメッキ仕上げ<BR>,コノエ　ユニクローム六角穴付ボルトＭ１０&times;４０（５０本入り）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンコノエ　ユニクローム六角穴付ボルトＭ１０&times;４０（５０本入り）,コノエ　ユニクローム六角穴付ボルトＭ１０&times;４０（５０本入り）[rn]
20-53640,http://tshop.r10s.jp/parts/cabinet/detail-trusco8/t010003971721.jpg?fitin=700:700,2036.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,コノエ　六角穴付ボルト寸法Ｍ５×４５（２００本入り）,,●全ねじタイプに比べ荷重のかかる首下部の強度が強くなっています。<BR>●寸法(mm)d×L:M5×45●質量(kg):1.61<BR>●強度区分:12.9<BR>●クロムモリブデン鋼（SCM435）●表面処理:黒染め仕上げ（四三酸化鉄被膜）<BR>,コノエ　六角穴付ボルト寸法Ｍ５&times;４５（２００本入り）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンコノエ　六角穴付ボルト寸法Ｍ５&times;４５（２００本入り）,コノエ　六角穴付ボルト寸法Ｍ５&times;４５（２００本入り）[rn]
20-53641,http://tshop.r10s.jp/parts/cabinet/detail-trusco8/t010003874577.jpg?fitin=700:700,3360.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,コノエ　ステンレス六角穴付ボルトＭ８×３０（１００本入り）,,●耐食性のあるステンレス（SUS304）を使用しています。<BR>●寸法(mm)d×L:M8×30●質量(kg):1.57<BR>●強度区分:A2-70相当●JIS B1176規格品<BR>●ステンレス（SUS304）<BR>,コノエ　ステンレス六角穴付ボルトＭ８&times;３０（１００本入り）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンコノエ　ステンレス六角穴付ボルトＭ８&times;３０（１００本入り）,コノエ　ステンレス六角穴付ボルトＭ８&times;３０（１００本入り）[rn]
20-53642,http://tshop.r10s.jp/parts/cabinet/detail-trusco8/t010003874302.jpg?fitin=700:700,1080.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,コノエ　ユニクローム六角穴付ボルトＭ１０×３０（５０本入り）,,●SCM材を使用し、高い強度があります。<BR>●寸法(mm)d×L:M10×30●質量(kg):1.34<BR>●強度区分:10.9●JIS B1176規格品<BR>●クロムモリブデン鋼（SCM435）●表面処理:ユニクロムメッキ仕上げ<BR>,コノエ　ユニクローム六角穴付ボルトＭ１０&times;３０（５０本入り）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンコノエ　ユニクローム六角穴付ボルトＭ１０&times;３０（５０本入り）,コノエ　ユニクローム六角穴付ボルトＭ１０&times;３０（５０本入り）[rn]
20-53643,http://tshop.r10s.jp/parts/cabinet/detail-trusco8/t010005396780.jpg?fitin=700:700,16491.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ハードロックナット　スタンダード（リム）　Ｍ１６Ｘ２．０（３０個入り）,,●オールメタル製で摩耗箇所が少なく、高い緩み止め効果を持続し、繰返し使用も可能です。●米国NAS試験航空規格をクリアしています。<BR>●最強のゆるみ止めナット。メンテナンスフリーであらゆる産業分野にて実績多数。<BR>●呼径:M16×2.0●寸法(mm) s:24●寸法(mm)e:27.7●質量(g):1380●寸法(mm) l:21.2<BR>●強度区分:A2<BR>●ステンレス(SUS304相当)<BR>,ハードロックナット　スタンダード（リム）　Ｍ１６Ｘ２．０（３０個入り）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンハードロックナット　スタンダード（リム）　Ｍ１６Ｘ２．０（３０個入り）,ハードロックナット　スタンダード（リム）　Ｍ１６Ｘ２．０（３０個入り）[rn]
20-53644,http://tshop.r10s.jp/parts/cabinet/detail-trusco8/t010003971721.jpg?fitin=700:700,1154.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,コノエ　六角穴付ボルト寸法Ｍ１０×４５（５０本入り）,,●全ねじタイプに比べ荷重のかかる首下部の強度が強くなっています。<BR>●寸法(mm)d×L:M10×45●質量(kg):1.82<BR>●強度区分:12.9<BR>●クロムモリブデン鋼（SCM435）●表面処理:黒染め仕上げ（四三酸化鉄被膜）<BR>,コノエ　六角穴付ボルト寸法Ｍ１０&times;４５（５０本入り）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンコノエ　六角穴付ボルト寸法Ｍ１０&times;４５（５０本入り）,コノエ　六角穴付ボルト寸法Ｍ１０&times;４５（５０本入り）[rn]
20-53645,http://tshop.r10s.jp/parts/cabinet/detail-trusco8/t010003874300.jpg?fitin=700:700,2303.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,コノエ　六角穴付ボルトＭ５×２５（４００本入り）,,●SCM材を使用し、高い強度があります。<BR>●寸法(mm)d×L:M5×25●質量(kg):1.84<BR>●強度区分:12.9●JIS B1176規格品<BR>●クロムモリブデン鋼（SCM435）●表面処理:黒染め仕上げ（四三酸化鉄被膜）<BR>,コノエ　六角穴付ボルトＭ５&times;２５（４００本入り）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンコノエ　六角穴付ボルトＭ５&times;２５（４００本入り）,コノエ　六角穴付ボルトＭ５&times;２５（４００本入り）[rn]
20-53646,http://tshop.r10s.jp/parts/cabinet/detail-trusco8/t010003971723.jpg?fitin=700:700,1979.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,コノエ　ユニクローム六角ボルトＭ６×５５（２５０本入り）,,●一般的な六角ボルトで幅広く使用されています。<BR>●寸法(mm)d×L:M6×55●質量(kg):3.14<BR>●強度区分:4.8<BR>●低炭素鋼（SWCH）●表面処理:ユニクロムメッキ仕上げ<BR>,コノエ　ユニクローム六角ボルトＭ６&times;５５（２５０本入り）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンコノエ　ユニクローム六角ボルトＭ６&times;５５（２５０本入り）,コノエ　ユニクローム六角ボルトＭ６&times;５５（２５０本入り）[rn]
20-53647,http://tshop.r10s.jp/parts/cabinet/detail-trusco8/t010004147529.jpg?fitin=700:700,1991.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,コノエ　六角穴付ボルト寸法Ｍ８×９０（５０本入り）,,●全ねじタイプに比べ荷重のかかる首下部の強度が強くなっています。●ＳＣＭ材を使用し、高い強度があります。<BR>●寸法(mm)d×L:M8×90●質量(kg):2<BR>●強度区分:12.9●JIS B1176規格品●強度区分:12.9(最小引張強さ/耐力)<BR>●クロムモリブデン鋼（SCM435）●表面処理:黒染め仕上げ（四三酸化鉄被膜）<BR>,コノエ　六角穴付ボルト寸法Ｍ８&times;９０（５０本入り）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンコノエ　六角穴付ボルト寸法Ｍ８&times;９０（５０本入り）,コノエ　六角穴付ボルト寸法Ｍ８&times;９０（５０本入り）[rn]
20-53648,http://tshop.r10s.jp/parts/cabinet/detail-trusco8/t010003874301.jpg?fitin=700:700,1836.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,コノエ　ユニクローム六角穴付ボルトＭ３×１５（５００本入り）,,●SCM材を使用し、高い強度があります。<BR>●寸法(mm)d×L:M3×15●質量(kg):0.51<BR>●強度区分:10.9●JIS B1176規格品<BR>●クロムモリブデン鋼（SCM435）●表面処理:ユニクロムメッキ仕上げ<BR>,コノエ　ユニクローム六角穴付ボルトＭ３&times;１５（５００本入り）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンコノエ　ユニクローム六角穴付ボルトＭ３&times;１５（５００本入り）,コノエ　ユニクローム六角穴付ボルトＭ３&times;１５（５００本入り）[rn]
20-53649,http://tshop.r10s.jp/parts/cabinet/detail-trusco6/t010002664114.jpg?fitin=700:700,1895.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ＮＴＮ　Ｂ　中形ボールベアリング,,●内輪・外輪とも軌道は円弧状の深い溝となっており、ラジアル荷重・両方向のアキシアル荷重または合成荷重を受けることができます。●高速回転にも対応します。●最も一般的な開放形深溝玉軸受ベアリングです。<BR>●自動車・産業機全般。<BR>●内輪径(mm):65●外輪径(mm):100●幅(mm):18●質量(g):421.0<BR>●シール形状:開放形●精度等級:JIS B 1514 0級●使用温度範囲:-25～120℃<BR>●高炭素クロム軸受鋼<BR>,ＮＴＮ　Ｂ　中形ボールベアリング：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンＮＴＮ　Ｂ　中形ボールベアリング,ＮＴＮ　Ｂ　中形ボールベアリング[rn]
20-53650,http://tshop.r10s.jp/parts/cabinet/detail-trusco6/t010002847564.jpg?fitin=700:700,856.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,セイキ　平行キー　片丸Ｓ５０Ｃ,,●機械構造用炭素鋼（S50C）冷間引抜材を使用しているので強度に優れたマシンキーです。<BR>●モーター、減速機、ポンプなどの動力伝達部。<BR>●幅(mm):8●高さ(mm):7●長さ(mm):45●質量(g):187.3<BR>●寸法公差:JIS B 1301●片丸タイプ<BR>●機械構造用炭素鋼（S50C）<BR>,セイキ　平行キー　片丸Ｓ５０Ｃ：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンセイキ　平行キー　片丸Ｓ５０Ｃ,セイキ　平行キー　片丸Ｓ５０Ｃ[rn]
20-53651,http://tshop.r10s.jp/parts/cabinet/detail-trusco6/t010006286423.jpg?fitin=700:700,597.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,カタヤマ　ＫＳＣシャフトカラー,,●シャフトカラーが分割できるので前後の部品を取り外すことなく、取り付けることができます。<BR>●アイドラー・スプロケットの位置決め。●ベアリングハウジングとシャフトの固定。●スプロケットやタイミングプーリーなどの位置決め。<BR>●内径(mm):6●外径(mm):20●総幅(mm):10●質量(g):20<BR>●止めねじ:M3<BR>●機械構造用炭素鋼●表面処理:黒染<BR>,カタヤマ　ＫＳＣシャフトカラー：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンカタヤマ　ＫＳＣシャフトカラー,カタヤマ　ＫＳＣシャフトカラー[rn]
20-53652,http://tshop.r10s.jp/parts/cabinet/detail-trusco6/t010002867683.jpg?fitin=700:700,5550.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ＮＴＮ　Ｂ　中形ボールベアリング,,●深い溝により玉を保持するため、一般的な玉軸受に対し、大きな負荷容量を持っています。<BR>●重荷重または衝撃荷重がかかり、長寿命を求められる箇所に。<BR>●内輪径(mm):85●外輪径(mm):150●幅(mm):28●質量(g):1790<BR>●シールド形状:止め輪付鋼板シールド両側非接触形（ZZNR）●精度等級:JIS B 1514 0級●使用温度範囲:-25～100℃<BR>●高炭素クロム軸受鋼<BR>,ＮＴＮ　Ｂ　中形ボールベアリング：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンＮＴＮ　Ｂ　中形ボールベアリング,ＮＴＮ　Ｂ　中形ボールベアリング[rn]
20-53653,http://tshop.r10s.jp/parts/cabinet/detail-trusco7/t010005136005.jpg?fitin=700:700,83.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ＳＴＲＯＮＧ　塗りストロング掛金２５ｍｍ,,●多彩なサイズと強固な作りの鉄製掛金です。<BR>●各種の扉、ロッカー、道具箱など。<BR>●L1(mm):25●内径(mm):5.0●B(mm):15●色:グリーン●質量(g):7<BR>●袋入ねじ付<BR>●スチール（SPCC）<BR>,ＳＴＲＯＮＧ　塗りストロング掛金２５ｍｍ：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンＳＴＲＯＮＧ　塗りストロング掛金２５ｍｍ,ＳＴＲＯＮＧ　塗りストロング掛金２５ｍｍ[rn]
20-53654,http://tshop.r10s.jp/parts/cabinet/detail-trusco6/t010002664116.jpg?fitin=700:700,1040.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ＮＴＮ　Ａ　小径小形ボールベアリング,,●内輪・外輪とも軌道は円弧状の深い溝となっており、ラジアル荷重・両方向のアキシアル荷重または合成荷重を受けることができます。●高速回転にも対応します。●最も一般的な開放形深溝玉軸受ベアリングです。<BR>●自動車・産業機全般。<BR>●内輪径(mm):40●外輪径(mm):52●幅(mm):7●質量(g):33.0<BR>●シール形状:開放形●精度等級:JIS B 1514 0級●使用温度範囲:-25～120℃<BR>●高炭素クロム軸受鋼<BR>,ＮＴＮ　Ａ　小径小形ボールベアリング：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンＮＴＮ　Ａ　小径小形ボールベアリング,ＮＴＮ　Ａ　小径小形ボールベアリング[rn]
20-53655,http://tshop.r10s.jp/parts/cabinet/detail-trusco6/t010002664119.jpg?fitin=700:700,3744.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ＮＴＮ　Ｇ　ベアリングユニット,,●軸受箱の形状が角形で4本のボルトにより機械の側壁などに取り付けるようになっており、軸受周りの構造も簡単で取り付けも簡易なため、フランジ形の中で最も広範囲に使用されています。<BR>●伝動機械および一般機械などに。<BR>●軸径(mm):50●全長(mm):143●全高(mm):143●取付ピッチ(mm):111●取付ねじ:M14●質量(kg):2.4<BR>●給油式角フランジ形●止めねじ式●使用温度範囲:-15～100℃<BR>●軸受:高炭素クロム軸受鋼●軸受箱:鋳鉄<BR>,ＮＴＮ　Ｇ　ベアリングユニット：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンＮＴＮ　Ｇ　ベアリングユニット,ＮＴＮ　Ｇ　ベアリングユニット[rn]
20-53656,http://tshop.r10s.jp/parts/cabinet/detail-trusco7/t010005168467.jpg?fitin=700:700,8400.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ニッサチェイン　ステンレスワイヤーロープ　１．０ｍｍ×１５０ｍ,,●ステンレス製で耐食性に優れ、リール巻き仕様のため扱いやすくなっています。<BR>●転倒防止・連続部品・張り固定・機械部品などに。<BR>●ロープ径(mm):1.00●長さ(m):150●使用荷重(kg):30●質量(kg):0.84<BR>●7×7縒り<BR>●ステンレス（SUS304）<BR>●端末加工により強度は変わります。,ニッサチェイン　ステンレスワイヤーロープ　１．０ｍｍ&times;１５０ｍ：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンニッサチェイン　ステンレスワイヤーロープ　１．０ｍｍ&times;１５０ｍ,ニッサチェイン　ステンレスワイヤーロープ　１．０ｍｍ&times;１５０ｍ[rn]
20-53657,http://tshop.r10s.jp/parts/cabinet/detail-trusco6/t010002847688.jpg?fitin=700:700,616.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,セイキ　　平行キー両角Ｓ５０Ｃ,,●機械構造用炭素鋼（S50C）冷間引抜材を使用しているので強度に優れたマシンキーです。<BR>●モーター、減速機、ポンプなどの動力伝達部。<BR>●幅(mm):7●高さ(mm):7●長さ(mm):20●質量(g):80.2<BR>●寸法公差:JIS B 1301●両角タイプ<BR>●機械構造用炭素鋼（S50C）<BR>,セイキ　　平行キー両角Ｓ５０Ｃ：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンセイキ　　平行キー両角Ｓ５０Ｃ,セイキ　　平行キー両角Ｓ５０Ｃ[rn]
20-53658,http://tshop.r10s.jp/parts/cabinet/detail-trusco6/t010002844066.jpg?fitin=700:700,1080.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,イースタン　樹脂ベアリング　ＥＯタイプ,,●精密ベアリングを内蔵した樹脂成形ベアリングです。●外周部が鉄に比べ、騒音・振動吸収効果があります。<BR>●ガイドローラー、戸車、押さえ用・振れ止め用ローラー。<BR>●内径(mm):10●外径(mm):45●幅(mm):12●ベアリング:6200ZZ●質量(g):44.0●寸法R(mm):6●角度M(°):-<BR>●精度等級:JIS B 1514 0級●使用温度範囲:-20～80℃●樹脂成形ベアリング(JISベアリング内蔵製品)<BR>●ベアリング:スチール●外周部:ポリアセタール樹脂（POM）●ボルト部:スチール<BR>,イースタン　樹脂ベアリング　ＥＯタイプ：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンイースタン　樹脂ベアリング　ＥＯタイプ,イースタン　樹脂ベアリング　ＥＯタイプ[rn]
20-53659,http://tshop.r10s.jp/parts/cabinet/detail-trusco6/t010002847681.jpg?fitin=700:700,616.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,セイキ　平行キー　両角Ｓ５０Ｃ,,●機械構造用炭素鋼（S50C）冷間引抜材を使用しているので強度に優れたマシンキーです。<BR>●モーター、減速機、ポンプなどの動力伝達部。<BR>●幅(mm):6●高さ(mm):6●長さ(mm):20●質量(g):59.8<BR>●寸法公差:JIS B 1301●両角タイプ<BR>●機械構造用炭素鋼（S50C）<BR>,セイキ　平行キー　両角Ｓ５０Ｃ：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンセイキ　平行キー　両角Ｓ５０Ｃ,セイキ　平行キー　両角Ｓ５０Ｃ[rn]
20-53660,http://tshop.r10s.jp/parts/cabinet/detail-trusco7/t010004392557.jpg?fitin=700:700,1408.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,水本　ステンレス　回転アイプレート　３５ｍｍ×３５ｍｍ,,●アイ（リング）の部分が回転するのでつないだチェーンなどがよじれません。●皿頭のねじをご使用ください。<BR>●壁面・床面・柱などに設置し、チェーン・ワイヤ・ロープの端末金具として。<BR>●使用荷重(kN):0.15●H(mm):33●D(mm):5●W(mm):15●A1(mm):35●A2(mm):23●B2(mm):23●T(mm):2.5●質量(g):38●B1(mm):35●d (mm):4<BR>●ステンレス（SUS304）●仕上げ：バレル研磨仕上げ<BR>,水本　ステンレス　回転アイプレート　３５ｍｍ&times;３５ｍｍ：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウン水本　ステンレス　回転アイプレート　３５ｍｍ&times;３５ｍｍ,水本　ステンレス　回転アイプレート　３５ｍｍ&times;３５ｍｍ[rn]
