20-23501,http://tshop.r10s.jp/wrapping/cabinet/hobby/4571239804647.jpg?fitin=700:700,823.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-464 ドロップC 立体型（粘土型）,,"レジンクラフトやクレイクラフトに！<br>

貼り合わせて作るドロップ立体型です。レジン等の溶液は注射器で注入でき、つなぎ目のきれいなドロップが出来上がります。 <br>
●全体サイズ：W45xD15xH28mm<br>
●パーツサイズ：丸直径20mm、四角14x20mm<br>
●材質：シリコーンゴム<br>

●対応素材：樹脂粘土・軽量粘土・オーブン粘土・レジン・銀粘土・UVジェル<P><IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/nekoposu.jpg"" border=""0"" width=""100%""></P>",【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-464 ドロップC 立体型（粘土型）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-464 ドロップC 立体型（粘土型）,【ネコポス対応商品】3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-464 ドロップC 立体型（粘土型）[rn]
20-23547,http://tshop.r10s.jp/wrapping/cabinet/hobby/padico/4902498741419-01.jpg?fitin=700:700,414.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス 転写シール　アルファベット大文字　（1シート入り）（UVレジンクラフト）,,"レジンや粘土など、シールに貼れる素材ならなんでも金属風に仕上げることができるメタルシートです♪<br>
適当なサイズにカットしたメタルシートを作品に貼り、セットの磨き材やメラミンスポンジでメタルシートを削れば、作品の凸凹が浮かび上がり、キラキラとしたシルバーが出てきて、アンティークな仕上がりに！ネイルアートに使っても綺麗に決まります♪<br><br>
●セット内容：<br>
転写フィルム×1枚（90mm×120mm）<br>
転写棒×1本<br><br>",【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス 転写シール　アルファベット大文字　（1シート入り）（UVレジンクラフト）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス 転写シール　アルファベット大文字　（1シート入り）（UVレジンクラフト）,3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス 転写シール　アルファベット大文字　（1シート入り）（UVレジンクラフト）[rn]
20-23548,http://tshop.r10s.jp/wrapping/cabinet/hobby/4965492777907-01.jpg?fitin=700:700,116.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　両面ミニフレーム（セッティング台）　ラウンドS RCH-111,,"樹脂アクセサリーに！両面装飾可能！<br>
アンティークな色合いの台座です♪<br>
<br>
レジンでのアクセサリー作りにピッタリな金属製のセッティング台です。直接レジンを流してもOK！<br>
 表面、裏面両方装飾に使えます！小さいサイズなのでピアスにもピッタリ！<br>
<br>
●サイズ：約φ10mm<br>
●材質：亜鉛合金<br>
<br>
◆ＵＶレジン×セッティングの使いかた◆<br>
1：ベースとなる紙を接着剤で貼ります。マニキュアを塗ったり、マスキングテープを貼ってもＯＫ。 <br>
2：紙にニスなどを塗り、防水加工をします。 <br>
3：ＵＶレジンを流し入れ、パーツやラメでデコったら、紫外線で固めて完成です。 <br>
<br>
※同じ品番、色番でも生産工程により多少色目等が異なる場合があります。 <br>",【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　両面ミニフレーム（セッティング台）　ラウンドS RCH-111：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　両面ミニフレーム（セッティング台）　ラウンドS RCH-111,3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　両面ミニフレーム（セッティング台）　ラウンドS RCH-111[rn]
20-23549,http://tshop.r10s.jp/wrapping/cabinet/hobby/padico/4902498741433-01.jpg?fitin=700:700,414.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス 転写シール　レース　（1シート入り）（UVレジンクラフト）,,"レジンや粘土など、シールに貼れる素材ならなんでも金属風に仕上げることができるメタルシートです♪<br>
適当なサイズにカットしたメタルシートを作品に貼り、セットの磨き材やメラミンスポンジでメタルシートを削れば、作品の凸凹が浮かび上がり、キラキラとしたシルバーが出てきて、アンティークな仕上がりに！<br><br>
●セット内容：<br>
転写フィルム×1枚（90mm×120mm）<br>
転写棒×1本<br><br>",【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス 転写シール　レース　（1シート入り）（UVレジンクラフト）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス 転写シール　レース　（1シート入り）（UVレジンクラフト）,3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス 転写シール　レース　（1シート入り）（UVレジンクラフト）[rn]
20-23550,http://tshop.r10s.jp/wrapping/cabinet/001/4965492727506_r.jpg?fitin=700:700,528.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 スーパーレジンUVクリスタルランプ9W専用換え球　UVLK9W（UVレジンクラフト）,,"UVライト9W専用の交換ライトです！<br>
UVライトでレジンが硬化しにくくなったら新しいライトに替えて下さい。<br>
<br>
※本体に替え球を「カチッ」と音がするまでしっかりと差し込んでください。<br>",【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 スーパーレジンUVクリスタルランプ9W専用換え球　UVLK9W（UVレジンクラフト）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 スーパーレジンUVクリスタルランプ9W専用換え球　UVLK9W（UVレジンクラフト）,UVライト9W専用の換え球です♪。【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 スーパーレジンUVクリスタルランプ9W専用換え球　UVLK9W（UVレジンクラフト）[rn]
20-23551,http://tshop.r10s.jp/wrapping/cabinet/hobby/4965492777921-01.jpg?fitin=700:700,178.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　両面ミニフレーム（セッティング台）　ラウンドL RCH-113,,"樹脂アクセサリーに！両面装飾可能！<br>
アンティークな色合いの台座です♪<br>
<br>
レジンでのアクセサリー作りにピッタリな金属製のセッティング台です。直接レジンを流してもOK！<br>
 表面、裏面両方装飾に使えます！<br>
<br>
●サイズ：約φ23mm<br>
●材質：亜鉛合金<br>
<br>
◆ＵＶレジン×セッティングの使いかた◆<br>
1：ベースとなる紙を接着剤で貼ります。マニキュアを塗ったり、マスキングテープを貼ってもＯＫ。 <br>
2：紙にニスなどを塗り、防水加工をします。 <br>
3：ＵＶレジンを流し入れ、パーツやラメでデコったら、紫外線で固めて完成です。 <br>
<br>
※同じ品番、色番でも生産工程により多少色目等が異なる場合があります。 <br>",【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　両面ミニフレーム（セッティング台）　ラウンドL RCH-113：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　両面ミニフレーム（セッティング台）　ラウンドL RCH-113,3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　両面ミニフレーム（セッティング台）　ラウンドL RCH-113[rn]
20-23552,http://tshop.r10s.jp/wrapping/cabinet/hobby/4965492777914-01.jpg?fitin=700:700,139.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　両面ミニフレーム（セッティング台）　ラウンドM RCH-112,,"樹脂アクセサリーに！両面装飾可能！<br>
アンティークな色合いの台座です♪<br>
<br>
レジンでのアクセサリー作りにピッタリな金属製のセッティング台です。直接レジンを流してもOK！<br>
 表面、裏面両方装飾に使えます！小さいサイズなのでピアスにもピッタリ！<br>
<br>
●サイズ：約φ16mm<br>
●材質：亜鉛合金<br>
<br>
◆ＵＶレジン×セッティングの使いかた◆<br>
1：ベースとなる紙を接着剤で貼ります。マニキュアを塗ったり、マスキングテープを貼ってもＯＫ。 <br>
2：紙にニスなどを塗り、防水加工をします。 <br>
3：ＵＶレジンを流し入れ、パーツやラメでデコったら、紫外線で固めて完成です。 <br>
<br>
※同じ品番、色番でも生産工程により多少色目等が異なる場合があります。 <br>",【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　両面ミニフレーム（セッティング台）　ラウンドM RCH-112：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　両面ミニフレーム（セッティング台）　ラウンドM RCH-112,3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　両面ミニフレーム（セッティング台）　ラウンドM RCH-112[rn]
20-23553,http://tshop.r10s.jp/wrapping/cabinet/002/4902498730260.jpg?fitin=700:700,124.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座G 6mm×8mm　（スクエア 7mm×9mmに対応）,,"ジュエルモールドミニ（スクエア＆オーバル）専用のカン付き石座（セッティング台）です。<br>
これを使えば簡単に、ネックレスやピアス・イヤリングなどのアクセサリーが作れちゃいます♪<br>
側面に穴があるのでアレンジ自由自在！<br>
<br>
●数量：1個<br>
●サイズ：6×8mm(穴1mm、厚み3mm)<br>
●対応モールド型：ジュエルモールドミニ　スクエア7×9mm<br>
●カラー：真鍮金メッキ<br>
（表記のサイズは目安です。実際の寸法は個々に若干異なる場合がございます。）<br><P><IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/nekoposu.jpg"" border=""0""></P>",【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座G 6mm&times;8mm　（スクエア 7mm&times;9mmに対応）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座G 6mm&times;8mm　（スクエア 7mm&times;9mmに対応）,【ネコポス対応商品】3240円以上で送料無料！(沖縄県を除く)。【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座G 6mm&times;8mm　（スクエア 7mm&times;9mmに対応）[rn]
20-23554,http://tshop.r10s.jp/wrapping/cabinet/002/4902498730307.jpg?fitin=700:700,124.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座K 7mm×9mm　（オーバル 8mm×10mmに対応）,,"ジュエルモールドミニ（スクエア＆オーバル）専用のカン付き石座（セッティング台）です。<br>
これを使えば簡単に、ネックレスやピアス・イヤリングなどのアクセサリーが作れちゃいます♪<br>
側面に穴があるのでアレンジ自由自在！<br>
<br>
●数量：1個<br>
●サイズ：7×9mm(穴1mm、厚み3mm)<br>
●対応モールド型：ジュエルモールドミニ　オーバル8×10mm<br>
●カラー：真鍮金メッキ<br>
（表記のサイズは目安です。実際の寸法は個々に若干異なる場合がございます。）<br><P><IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/nekoposu.jpg"" border=""0""></P>",【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座K 7mm&times;9mm　（オーバル 8mm&times;10mmに対応）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座K 7mm&times;9mm　（オーバル 8mm&times;10mmに対応）,【ネコポス対応商品】3240円以上で送料無料！(沖縄県を除く)。【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座K 7mm&times;9mm　（オーバル 8mm&times;10mmに対応）[rn]
20-23555,http://tshop.r10s.jp/wrapping/cabinet/002/4902498730215.jpg?fitin=700:700,124.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座B 7mm×8mm　（ヘキサゴン8mm×9mmに対応）,,"ジュエルモールドミニ（ヘキサゴン）専用のカン付き石座（セッティング台）です。<br>
これを使えば簡単に、ネックレスやピアス・イヤリングなどのアクセサリーが作れちゃいます♪<br>
側面に穴があるのでアレンジ自由自在！<br>
<br>
●数量：1個<br>
●サイズ：7×8mm(穴1mm、厚み3mm)<br>
●対応モールド型：ジュエルモールドミニ　ヘキサゴン8×9mm<br>
●カラー：真鍮金メッキ<br>
（表記のサイズは目安です。実際の寸法は個々に若干異なる場合がございます。）<br><P><IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/nekoposu.jpg"" border=""0""></P>",【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座B 7mm&times;8mm　（ヘキサゴン8mm&times;9mmに対応）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座B 7mm&times;8mm　（ヘキサゴン8mm&times;9mmに対応）,【ネコポス対応商品】3240円以上で送料無料！(沖縄県を除く)。【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座B 7mm&times;8mm　（ヘキサゴン8mm&times;9mmに対応）[rn]
20-23556,http://tshop.r10s.jp/wrapping/cabinet/002/4902498730246.jpg?fitin=700:700,124.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座E 7mm×10.15mm　（ヘキサゴン8mm×11mmに対応）,,"ジュエルモールドミニ（ヘキサゴン）専用のカン付き石座（セッティング台）です。<br>
これを使えば簡単に、ネックレスやピアス・イヤリングなどのアクセサリーが作れちゃいます♪<br>
側面に穴があるのでアレンジ自由自在！<br>
<br>
●数量：1個<br>
●サイズ：7×10.15mm(穴1mm、厚み3mm)<br>
●対応モールド型：ジュエルモールドミニ　ヘキサゴン8×11mm<br>
●カラー：真鍮金メッキ<br>
（表記のサイズは目安です。実際の寸法は個々に若干異なる場合がございます。）<br><P><IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/nekoposu.jpg"" border=""0""></P>",【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座E 7mm&times;10.15mm　（ヘキサゴン8mm&times;11mmに対応）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座E 7mm&times;10.15mm　（ヘキサゴン8mm&times;11mmに対応）,【ネコポス対応商品】3240円以上で送料無料！(沖縄県を除く)。【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座E 7mm&times;10.15mm　（ヘキサゴン8mm&times;11mmに対応）[rn]
20-23557,http://tshop.r10s.jp/wrapping/cabinet/002/4902498730277.jpg?fitin=700:700,124.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座H 7mm×9mm　（スクエア 8mm×10mmに対応）,,"ジュエルモールドミニ（スクエア＆オーバル）専用のカン付き石座（セッティング台）です。<br>
これを使えば簡単に、ネックレスやピアス・イヤリングなどのアクセサリーが作れちゃいます♪<br>
側面に穴があるのでアレンジ自由自在！<br>
<br>
●数量：1個<br>
●サイズ：7×9mm(穴1mm、厚み3mm)<br>
●対応モールド型：ジュエルモールドミニ　スクエア8×10mm<br>
●カラー：真鍮金メッキ<br>
（表記のサイズは目安です。実際の寸法は個々に若干異なる場合がございます。）<br><P><IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/nekoposu.jpg"" border=""0""></P>",【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座H 7mm&times;9mm　（スクエア 8mm&times;10mmに対応）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座H 7mm&times;9mm　（スクエア 8mm&times;10mmに対応）,【ネコポス対応商品】3240円以上で送料無料！(沖縄県を除く)。【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座H 7mm&times;9mm　（スクエア 8mm&times;10mmに対応）[rn]
20-23558,http://tshop.r10s.jp/wrapping/cabinet/002/4902498730253.jpg?fitin=700:700,124.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座F 8mm×11.65mm　（ヘキサゴン9mm×13mmに対応）,,"ジュエルモールドミニ（ヘキサゴン）専用のカン付き石座（セッティング台）です。<br>
これを使えば簡単に、ネックレスやピアス・イヤリングなどのアクセサリーが作れちゃいます♪<br>
側面に穴があるのでアレンジ自由自在！<br>
<br>
●数量：1個<br>
●サイズ：8×11.65mm(穴1mm、厚み3mm)<br>
●対応モールド型：ジュエルモールドミニ　ヘキサゴン9×13mm<br>
●カラー：真鍮金メッキ<br>
（表記のサイズは目安です。実際の寸法は個々に若干異なる場合がございます。）<br><P><IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/nekoposu.jpg"" border=""0""></P>",【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座F 8mm&times;11.65mm　（ヘキサゴン9mm&times;13mmに対応）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座F 8mm&times;11.65mm　（ヘキサゴン9mm&times;13mmに対応）,【ネコポス対応商品】3240円以上で送料無料！(沖縄県を除く)。【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座F 8mm&times;11.65mm　（ヘキサゴン9mm&times;13mmに対応）[rn]
20-23559,http://tshop.r10s.jp/wrapping/cabinet/002/4902498730284.jpg?fitin=700:700,124.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座I 8mm×11mm　（スクエア 9mm×12mmに対応）,,"ジュエルモールドミニ（スクエア＆オーバル）専用のカン付き石座（セッティング台）です。<br>
これを使えば簡単に、ネックレスやピアス・イヤリングなどのアクセサリーが作れちゃいます♪<br>
側面に穴があるのでアレンジ自由自在！<br>
<br>
●数量：1個<br>
●サイズ：8×11mm(穴1mm、厚み3mm)<br>
●対応モールド型：ジュエルモールドミニ　スクエア9×12mm<br>
●カラー：真鍮金メッキ<br>
（表記のサイズは目安です。実際の寸法は個々に若干異なる場合がございます。）<br><P><IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/nekoposu.jpg"" border=""0""></P>",【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座I 8mm&times;11mm　（スクエア 9mm&times;12mmに対応）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座I 8mm&times;11mm　（スクエア 9mm&times;12mmに対応）,【ネコポス対応商品】3240円以上で送料無料！(沖縄県を除く)。【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座I 8mm&times;11mm　（スクエア 9mm&times;12mmに対応）[rn]
20-23560,http://tshop.r10s.jp/wrapping/cabinet/002/4902498730208.jpg?fitin=700:700,124.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座A 6mm×7mm　（ヘキサゴン7mm×8mmに対応）,,"ジュエルモールドミニ（ヘキサゴン）専用のカン付き石座（セッティング台）です。<br>
これを使えば簡単に、ネックレスやピアス・イヤリングなどのアクセサリーが作れちゃいます♪<br>
側面に穴があるのでアレンジ自由自在！<br>
<br>
●数量：1個<br>
●サイズ：6×7mm(穴1mm、厚み2.5mm)<br>
●対応モールド型：ジュエルモールドミニ　ヘキサゴン7×8mm<br>
●カラー：真鍮金メッキ<br>
（表記のサイズは目安です。実際の寸法は個々に若干異なる場合がございます。）<br><P><IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/nekoposu.jpg"" border=""0""></P>",【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座A 6mm&times;7mm　（ヘキサゴン7mm&times;8mmに対応）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座A 6mm&times;7mm　（ヘキサゴン7mm&times;8mmに対応）,【ネコポス対応商品】3240円以上で送料無料！(沖縄県を除く)。【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座A 6mm&times;7mm　（ヘキサゴン7mm&times;8mmに対応）[rn]
20-23561,http://tshop.r10s.jp/wrapping/cabinet/002/4902498730239.jpg?fitin=700:700,124.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座D 6mm×8.65mm　（ヘキサゴン7mm×10mmに対応）,,"ジュエルモールドミニ（ヘキサゴン）専用のカン付き石座（セッティング台）です。<br>
これを使えば簡単に、ネックレスやピアス・イヤリングなどのアクセサリーが作れちゃいます♪<br>
側面に穴があるのでアレンジ自由自在！<br>
<br>
●数量：1個<br>
●サイズ：6×8.65mm(穴1mm、厚み3mm)<br>
●対応モールド型：ジュエルモールドミニ　ヘキサゴン7×10mm<br>
●カラー：真鍮金メッキ<br>
（表記のサイズは目安です。実際の寸法は個々に若干異なる場合がございます。）<br><P><IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/nekoposu.jpg"" border=""0""></P>",【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座D 6mm&times;8.65mm　（ヘキサゴン7mm&times;10mmに対応）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座D 6mm&times;8.65mm　（ヘキサゴン7mm&times;10mmに対応）,【ネコポス対応商品】3240円以上で送料無料！(沖縄県を除く)。【300円OFFクーポン！4月25日まで！】UVレジンクラフト　パジコ　ジュエルラビリンス　石座D 6mm&times;8.65mm　（ヘキサゴン7mm&times;10mmに対応）[rn]
