20-164401,http://tshop.r10s.jp/kurashikenkou/cabinet/tasya12/9301734-e.jpg?fitin=700:700,1509.6000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















<font color=""deeppink""><b>変幻自在な電源タップ♪</b></font><br><br>
クネクネとジョイント部分が動くキュービックタップ！<br>
変幻自在に折り曲げて、お部屋や柱周りに合わせて使えます♪<br>
最大180に曲がるので、デジタルカメラなどの幅広アダプターもOK！<br><br>
◆一括集中スイッチ付きで省エネ♪<br>
◆トラッキング火災・静電気防止で安心安全♪<br>
※海外では使用できません。USBポートは付いていません。<br><br>●商品サイズ（約）：幅25.8×奥行3.85×高さ3.25cm<br>
●重量：約360g<br>
●材質<br>
本体：耐火ABS樹脂<br>
プラグ差し込み部分：耐火ABS樹脂、ユリア樹脂<br>
●カラー：ホワイト<br>
●コンセント差し込み口：4個<br>
●電源コード長さ：2.0m<br>
●定格：125V/15A （合計1500Wまで）<br>
●機能：静電気防止機能・絶縁キャップ（トラッキング火災防止）",CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕,【税込3990円以上で送料無料】。CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕[rn]
20-164442,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_136/4953103457317_ll.jpg?fitin=700:700,984.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコム 3ピンプラグ対応タップ(マグネット付) ホワイト T-T1B-3425WH [TT1B3425WH],,●プロジェクタや複合機、モニタなどの3ピンプラグが採用されているOA機器をアダプタなしで接続することができる3ピンプラグ対応タップです。  <br>●裏面に強力マグネットを装備していますので、スチール面などにしっかりと固定することができます。  <br>●差込口には耐熱性に優れたユリア樹脂を使用していますので、万一の発熱の際にも融解しにくく、電気火災の防止に有効です。  <br>●プラグの刃の根本に絶縁キャップが付いており、トラッキング現象による火災の防止に役立ちます。  <br>●電源コードには、社団法人日本配線器具工業会規格(JWDS0010)に適合した二重被ふくコードを採用していますので、断線や被ふく破れによる感電・火災の防止に有効です。  <br>●狭い場所でも配線しやすい180°スイングプラグを採用しています。  <br>●EUの「RoHS指令(電気・電子機器に対する特定有害物質の使用制限)」に準拠した環境にやさしい製品です。  <br>●プラグ仕様は3ピン式で、便利な4個口タイプです。<br>●本体差込口形状：3ピン <br>●本体差込口個数：4個口 <br>●プラグ仕様：2ピン・スイングプラグ(アースコード付) <br>●コード長：2.5m <br>●定格：125V・15A・1500W <br>●絶縁キャップ付きプラグ：○ <br>●二重被ふく：○ <br>●スイングプラグ：○ <br>●カラー：ホワイト <br>●材質：本体:ABS樹脂、プラグ:PVC 差込口:ユリア樹脂 <br>●外形寸法：幅215mm×奥行45mm×高さ30mm ※コード部分及びプラグ部分を除く <br>●質量：526g <br>●環境配慮事項：EU RoHS指令準拠 <br>●使用可能地域：本製品は日本国内の電源を想定して設計されていますので、日本国外ではご使用いただけません。 <br>●電気用品安全法：PSE適合,エレコム 3ピンプラグ対応タップ(マグネット付) ホワイト T-T1B-3425WH [TT1B3425WH]：エディオン　楽天市場店,エレコム 3ピンプラグ対応タップ(マグネット付) ホワイト T-T1B-3425WH [TT1B3425WH],エレコム 3ピンプラグ対応タップ(マグネット付) ホワイト T-T1B-3425WH [TT1B3425WH][rn]
20-164443,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_126/4969887835463_ll.jpg?fitin=700:700,752.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 電源タップ（2P・3個口・3m） TAP-3W3N [TAP3W3N],,□商品説明<br>●トラッキング火災予防に極めて有効な絶縁キャップ付きスイングプラグを採用しています。<br>●安全性、信頼性を向上させた保護被ふくコードを使用しています。<br>●大量導入時にゴミが少ない簡易ビニール包装です。<br>□商品仕様<br>●定格容量：15A・125V（1500Wまで）<br>●プラグ仕様：2P（絶縁キャップ付きスイングプラグ）<br>●差込口：2P・3個口<br>●電源コード長：3m<br>●本体サイズ：W86.5×D36×H21.3mm,サンワサプライ 電源タップ（2P・3個口・3m） TAP-3W3N [TAP3W3N]：エディオン　楽天市場店,サンワサプライ 電源タップ（2P・3個口・3m） TAP-3W3N [TAP3W3N],サンワサプライ 電源タップ（2P・3個口・3m） TAP-3W3N [TAP3W3N][rn]
20-164444,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_061/4953103381971_ll.jpg?fitin=700:700,585.6000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコム 電源タップ(4個口/2m) ホワイト T-S02-2420WH [TS022420WH],,□商品説明<br>●プラグ仕様は2ピン式で、便利な4個口タイプです。<br>●狭い場所でも配線しやすい180°スイングプラグを採用しています。<br>●トラッキング現象による火災の防止に役立つ絶縁キャップ付きのコンセントプラグを採用しています。<br>●差込口には耐熱性に優れたユリア樹脂を使用しており、万一の発熱の際にも融解しにくく、電気火災の防止に有効です。<br>●電源コードには一般社団法人日本配線システム工業会規格(JWDS0010)に適合した二重被ふくコードを採用しており、断線や被ふく破れによる感電・火災の防止に有効です。<br>●※本製品は日本国内の電源を想定して設計されていますので、日本国外ではご使用いただけません。<br>□商品仕様<br>●本体差込口個数:4個口<br>●本体差込口形状:2ピン<br>●プラグ仕様:2ピン・スイングプラグ<br>●材質:本体/ABS樹脂、プラグ/PVC 差込口/ユリア樹脂<br>●電気用品安全法:PSE適合<br>●定格:125V・15A・1500W<br>●コード長:2m<br>●外形寸法:W3.9×H2.25×D12.6cm ※コード部分及びプラグ部分を除く<br>●質量:244g,エレコム 電源タップ(4個口/2m) ホワイト T-S02-2420WH [TS022420WH]：エディオン　楽天市場店,エレコム 電源タップ(4個口/2m) ホワイト T-S02-2420WH [TS022420WH],エレコム 電源タップ(4個口/2m) ホワイト T-S02-2420WH [TS022420WH][rn]
20-164445,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_062/4953103457034_ll.jpg?fitin=700:700,846.4000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコム 雷ガードタップ(6個口・2．5m) ホワイト T-K1A-2625WH [TK1A2625WH],,□商品説明<br>●雷サージから電子機器を守る、高性能雷サージ吸収素子を内蔵した、雷ガードタップです。プラグ仕様は2ピン式で、便利な6個口タイプです。<br>●一般に雷の被害は、直撃雷によるものはまれで、配電線や通信ケーブル近辺の落雷によって生じる誘導雷が多く、被害は広範囲に広がります。この誘導雷により発生する雷サージ（瞬間的な高電圧）が家屋内に進入すると電気的に接続されている電気製品が破損する恐れがあります。本製品には、最大サージ電圧12、500Vの高性能雷サージ吸収素子（バリスタ）を内蔵しており、雷によるパソコンやAV機器等の電子機器への被害防止に有効です。※最大サージ電圧12500VはJEC210/212規格に基づく数値です。IEC6100-4-5規格では最大サージ電圧は4、500Vになります。<br>●プラグの刃の根本に絶縁キャップが付いており、トラッキング現象による火災の防止に役立ちます。<br>●狭い場所でも配線しやすい180°スイングプラグを採用しています。<br>●電源コードには、一般社団法人日本配線システム工業会規格(JWDS0010)に適合した二重被ふくコードを採用していますので、断線や被ふく破れによる感電・火災の防止に有効です。<br>●差込口には耐熱性に優れたユリア樹脂を使用していますので、万一の発熱の際にも融解しにくく、電気火災の防止に有効です。<br>●※直撃雷を受けた場合には機器を保護できません。<br>●※許容量を超える過電流が流れた場合、吸収素子が破損し、機器を保護できない場合があります。<br>●※本製品では、電話線などコンセント以外から進入する雷サージから機器を保護することはできません。<br>□商品仕様<br>●本体差込口形状：2ピン<br>●本体差込口個数：6個口<br>●プラグ仕様：2ピン・スイングプラグ<br>●定格：125V・15A・1500W<br>●雷ガード：○<br>●絶縁キャップ付きプラグ：○<br>●二重被ふく：○<br>●スイングプラグ：○<br>●使用可能地域：本製品は日本国内の電源を想定して設計されていますので、日本国外ではご使用いただけません。<br>●電気用品安全法：PSE適合<br>●コード長：2.5m<br>●材質：本体/ABS樹脂、プラグ/PVC、 差込口/ユリア樹脂<br>●寸法：W22.0×H2.5×D4.4cm ※コード部分及びプラグ部分を除く<br>●質量：335g,エレコム 雷ガードタップ(6個口・2．5m) ホワイト T-K1A-2625WH [TK1A2625WH]：エディオン　楽天市場店,エレコム 雷ガードタップ(6個口・2．5m) ホワイト T-K1A-2625WH [TK1A2625WH],エレコム 雷ガードタップ(6個口・2．5m) ホワイト T-K1A-2625WH [TK1A2625WH][rn]
20-164446,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_140/4969887837221_ll.jpg?fitin=700:700,345.6000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ デスククランプ TAP-F37CLAMP [TAPF37CLAMP],,●対応機種:TAP-F37-2CLK、TAP-F37-5CLK、TAP-F37-2CLZ、TAP-F37-5CLZ<br>●サイズ:W40×D35×H51.2mm(ネジ含まず)<br>●材質:スチール,サンワサプライ デスククランプ TAP-F37CLAMP [TAPF37CLAMP]：エディオン　楽天市場店,サンワサプライ デスククランプ TAP-F37CLAMP [TAPF37CLAMP],サンワサプライ デスククランプ TAP-F37CLAMP [TAPF37CLAMP][rn]
20-164447,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_127/4953103456679_ll.jpg?fitin=700:700,1216.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコム 抜け止めマグネット雷タップ T-Y3A-3750WH [TY3A3750WH],,□商品説明<br>●(たっぷりコンセント)7台の接続が可能な大口コンセントです。  <br>●(ガッチリ抜け止め)プラグをしっかりロックするので、抜ける心配がありません。  <br>●(スイングプラグ)180°可動プラグですので、せまい場所でもOKです。  <br>●(強力マグネット)強力マグネット採用でスチール製の机等に仮固定できます。落下等には注意して下さい。  <br>●(光るスイッチ)集中ON・OFFでき、うっかり消し忘れも防止できます。  <br>●安全な2重被ふくケーブルを採用しています。  <br>●(雷サージ吸収効果)12500V(最大サージ電圧)⇒240V(制限電圧) ※直撃雷を受けた場合は保護できません。<br>□商品仕様<br>●長さ：5.0m <br>●使用目的・用途：電気製品のコンセントが不足して困っている時に役に立ちます。 <br>●付属品：なし <br>●サイズ：約幅295mm×奥行き50mm×高さ31mm <br>●定格：15A・125V・1500Wまで <br>●コンセントロック：○ <br>●コンセントタイプ：3P <br>●コンセント個口：7 <br>●ケーブル径：約8.5mm <br>●使用可能地域：本製品は日本国内の電源を想定して設計されていますので、日本国外ではご使用いただけません。 <br>●コネクタ形状1：プラグ:2P,エレコム 抜け止めマグネット雷タップ T-Y3A-3750WH [TY3A3750WH]：エディオン　楽天市場店,エレコム 抜け止めマグネット雷タップ T-Y3A-3750WH [TY3A3750WH],エレコム 抜け止めマグネット雷タップ T-Y3A-3750WH [TY3A3750WH][rn]
20-164448,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_139/4969887836798_ll.jpg?fitin=700:700,1520.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 節電エコタップ(2P・6個口・2m) TAP-S25-2 [TAPS252],,●独立したスイッチにより機器ごとのON・OFFが可能なので、こまめにON・OFFすることで待機電力を減らし、節電効果があります。<br>●スイッチには省電力グリーンLEDランプを使用しているので、1日10時間の使用でも10年以上持ちます。<br>●差込口は熱に強いユリア樹脂を使用しているので、安全に使用できます。<br>●ACアダプタに対応したレイアウトを採用しており、小型ACアダプタが無理なく1個接続可能です。<br>●より丈夫で安全な二重被ふくコードを使用しています。<br>●壁などに仮固定できるフック穴付きです。(穴ピッチ245mm)<br>●トラッキング火災予防に効果的な絶縁キャップ付きプラグを採用しています。<br>●L型プラグなので、電源コードが下になり、スッキリ配線ができます。<br>●定格容量:15A・125V(合計1500Wまで)<br>●プラグ仕様:2P・絶縁キャップ付きL型プラグ<br>●差込口:2P・6個口<br>●電源コード長:2m<br>●サイズ:本体/W291×D40×H26mm<br>●材質:本体/難燃性ABS樹脂、差込口/ユリア樹脂<br>●仮固定穴ピッチ:245mm,サンワサプライ 節電エコタップ(2P・6個口・2m) TAP-S25-2 [TAPS252]：エディオン　楽天市場店,サンワサプライ 節電エコタップ(2P・6個口・2m) TAP-S25-2 [TAPS252],サンワサプライ 節電エコタップ(2P・6個口・2m) TAP-S25-2 [TAPS252][rn]
20-164449,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_078/4969887229347_ll.jpg?fitin=700:700,1200.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ ACアダプタ対応省エネタップ 2P・5個口 TAP-2531ES [TAP2531ES],,●定格容量／１５Ａ・１２５Ｖ（合計１５００Ｗまで）<BR>●差込口／２Ｐ・５個口<BR>●プラグ形状／２Ｐ・絶縁キャップ付きスイングプラグ<BR>●コード長／２ｍ<BR>●本体サイズ／Ｗ２７５×Ｄ５５×Ｈ２６ｍｍ,サンワサプライ ACアダプタ対応省エネタップ 2P・5個口 TAP-2531ES [TAP2531ES]：エディオン　楽天市場店,サンワサプライ ACアダプタ対応省エネタップ 2P・5個口 TAP-2531ES [TAP2531ES],サンワサプライ ACアダプタ対応省エネタップ 2P・5個口 TAP-2531ES [TAP2531ES][rn]
20-164450,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_130/4969887833513_ll.jpg?fitin=700:700,2319.2000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 高強度タップ（3P・4個口・1m） レッド TAP-HP4-1R [TAPHP41R],,□商品説明<br>●医療施設、工場、オフィス、学校、イベント会場など過酷な環境に対応できる高強度の3P・4個口電源タップです。<br>●タップ内部は割れにくく耐熱性に優れたナイロン66を使用し、本体とコードをPVCで一体成型し、完全な二重構造にすることにより、耐久性を高めています。<br>●コードは踏んでも強く、折りぐせがつかない、しなやかで耐久性の高いソフトVCTコードを使用しています。<br>●プラグ部は踏みつけによる割れ、変形に強い形状です。<br>●3P-2P変換アダプタを標準で装備しています。<br>●使用しない差込口にホコリや異物の侵入を防止する、コンセント防塵キャップ（2個）が付属しています。<br>●吊り下げに便利な、引っ掛け用フック穴付きです。<br>●本体にはアース線が付いており、別途アース接続が可能です。<br>●用途に応じて便利に使い分けができるよう、4色（白、赤、緑、青）のラインナップを用意しています。<br>※本体からコードまで同じ色なので、電源の種類、用途による識別が可能です。<br>●RoHS指令に対応した製品です。<br>＜病院内での色の使い分け＞<br>（赤）一般、特別、瞬時特別非常電源用<br>※緊急用として、オペ室や病室でのME機器用として使われます。<br>（緑）瞬時特別非常電源で、交流無停電電源に使用可<br>※UPS、バッテリー充電などのバックアップ用に使われます。<br>（白）商用電源回路用<br>※パソコンなど一般機器用として使われます。<br>（青）その他電源用<br>※機器以外のその他電源用として使われます。<br>□商品仕様<br>●カラー：レッド<br>●定格容量：15A・125V（合計1500Wまで）<br>●プラグ仕様：接地付きプラグ（3P）<br>※3P→2P変換アダプタ（アースコード付き）付属<br>●差込口：接地付き（3P）並行4個口（ナイロン66、外郭/PVC（ポリ塩化ビニル））<br>※アースコード付きです。<br>※引っ掛け用フック穴付きです。<br>※差込口は縦に配列されています。<br>●電源コード：ソフトVCT2.0平方ミリメートル×3芯<br>●電源コード長：1m<br>●本体サイズ：W198×D40×H34.5mm<br>●規格：PSE準拠、RoHS対応<br>●付属品：変換アダプタ（3P-2P）、コンセントキャップ（2個）<br>●生産国：日本,サンワサプライ 高強度タップ（3P・4個口・1m） レッド TAP-HP4-1R [TAPHP41R]：エディオン　楽天市場店,サンワサプライ 高強度タップ（3P・4個口・1m） レッド TAP-HP4-1R [TAPHP41R],サンワサプライ 高強度タップ（3P・4個口・1m） レッド TAP-HP4-1R [TAPHP41R][rn]
20-164451,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_139/4969887836842_ll.jpg?fitin=700:700,1632.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 節電エコタップ(2P・4個口・3m) TAP-S26-3 [TAPS263],,●独立したスイッチにより機器ごとのON・OFFが可能なので、こまめにON・OFFすることで待機電力を減らし、節電効果があります。<br>●スイッチには省電力グリーンLEDランプを使用しているので、1日10時間の使用でも10年以上持ちます。<br>●恐ろしい雷から機器を守る、雷ガードを内蔵しています。<br>●電力オーバー時に自動で電力の供給をストップすることができるブレーカーを搭載しています。<br>  ※接続している機器の消費電力の合計が1500Wを超えた場合、ブレーカーが作動し電源が切れます。<br>  ※消費電力が1500Wを超えても、すぐに電源は切れません。<br>  ※オーバーした消費電力の%によって、ブレーカーが作動するまでの時間は異なります。(室温25℃の場合)<br> ・135%オーバー時(2000W)/約1時間<br> ・200%オーバー時(3000W)/約4～50秒<br> ・300%オーバー時(4500W)/約0.8～12秒<br> ・500%オーバー時(7500W)/約0.3～4秒<br>  ※ブレーカーが作動した場合は一度接続した機器をタップから外し、1500W以下になるように機器を取り除き、リセットボタンを押してください。<br>●差込口は熱に強いユリア樹脂を使用しているので、安全に使用できます。<br>●ホコリ防止シャッターにより、使用しないコンセントへのホコリの侵入を防ぎ、トラッキング火災予防に効果的です。<br>●ACアダプタに対応したレイアウトを採用しており、小型ACアダプタが無理なく1個接続可能です。<br>●より丈夫で安全な二重被ふくコードを使用しています。<br>●壁などに仮固定できるフック穴付きです。(穴ピッチ175mm)<br>●トラッキング火災予防に効果的な絶縁キャップ付きプラグを採用しています。<br>●プラグの刃は180°回転するスイング式なので、コンセントとコードが平行になり、スッキリ配線ができます。<br>●定格容量:15A・125V(合計1500Wまで)<br>●プラグ仕様:2P・絶縁キャップ付きスイングプラグ<br>●差込口:2P・4個口<br>●電源コード長:3m<br>●サイズ:本体/W223×D40×H26mm<br>●バリスタ電圧:240V<br>●制限電圧:395V<br>●サージ耐量(8/20μs):6000A<br>●材質:本体/難燃性ABS樹脂、差込口/ユリア樹脂<br>●仮固定穴ピッチ:175mm,サンワサプライ 節電エコタップ(2P・4個口・3m) TAP-S26-3 [TAPS263]：エディオン　楽天市場店,サンワサプライ 節電エコタップ(2P・4個口・3m) TAP-S26-3 [TAPS263],サンワサプライ 節電エコタップ(2P・4個口・3m) TAP-S26-3 [TAPS263][rn]
20-164452,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_063/4953103637337_ll.jpg?fitin=700:700,8294.4000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,【送料無料】エレコム EU RoHS指令準拠 雷ガード二重構造工事用タップ(8個口・5．0m) T-WRMK3850LG/RS [TWRMK3850LGRS],,□商品説明<br>●熱に強い二重構造ケースを採用していますので、高温になる工事現場や工場などの条件の過酷な現場に適しています。また、コンセントの差し込み口を耐熱性に優れたユリア樹脂を使用した二重構造としているほか、ケーブルは丈夫で安全性を向上させた二重被ふくケーブルを採用しています。これにより大電流を使用することの多い工事現場や工場でも安心して使用できるようになっています。プラグ仕様は3ピン式で、便利な8個口タイプです。<br>●EU（欧州連合）の電気・電子機器に対する特定有害物質の使用制限を目的とした「RoHS指令」に準拠しています。廃棄処分の際に人や環境への影響を抑えることができる地球にやさしい製品で、環境問題への取り組みを進める企業はもちろん、環境問題への関心が高い個人の方にもお勧めです。<br>●突然の落雷による雷サージから、パソコンをはじめとする電子機器を守る雷ガードが付いたタイプです。最大サージ電圧12、500Vの高性能雷サージ吸収素子（バリスタ）を内蔵しています。わずかなサージでも、動作異常や回復不能な故障が発生する可能性がある電子機器などが、落雷で受けるリスクを軽減することができます。※最大サージ電圧12500VはJEC210/212規格に基づく数値です。<br>●パッケージを簡素化して環境に配慮しました。ゴミを減らせて開梱作業もスムーズです。まとめてのご購入に最適です。<br>●本体裏面には、強力マグネットを装備していますので、スチール面にしっかり固定したり、タップ本体に装備された「仮固定穴」を使ってネジやフックで仮に固定することもできます。<br>●差し込み口を回転させることによりプラグをロックすることができ、不意の抜け落ちを防止します。<br>●通電時には、LED ランプが点灯しますので、離れた場所からも通電状態を確認することができます。<br>●プラグの刃の根本に絶縁キャップが付いており、トラッキング現象による火災の防止に役立ちます。<br>●ネジやフックで仮固定ができるように仮固定穴を設けています。<br>□商品仕様<br>●本体差込口形状：3ピン<br>●本体差込口個数：8個口<br>●プラグ仕様：3ピン・ストレートプラグ<br>●定格：15A・125V・1500W<br>●雷ガード：○<br>●絶縁キャップ付きプラグ：○<br>●通電表示ランプ：○<br>●二重被ふく：○<br>●抜け止め機能：○<br>●マグネット：○<br>●壁掛け用フック：○<br>●環境配慮事項：EU RoHS指令準拠、環境配慮パッケージ<br>●使用可能地域：本製品は日本国内の電源を想定して設計されていますので、日本国外ではご使用いただけません。<br>●材質：本体/ABS、プラグ受け部分/ユリア樹脂<br>●寸法：W39.5×H2.6×D4.35cm<br>●質量：940g,【送料無料】エレコム EU RoHS指令準拠 雷ガード二重構造工事用タップ(8個口・5．0m) T-WRMK3850LG/RS [TWRMK3850LGRS]：エディオン　楽天市場店,【送料無料】エレコム EU RoHS指令準拠 雷ガード二重構造工事用タップ(8個口・5．0m) T-WRMK3850LG/RS [TWRMK3850LGRS],【送料無料】エレコム EU RoHS指令準拠 雷ガード二重構造工事用タップ(8個口・5．0m) T-WRMK3850LG/RS [TWRMK3850LGRS][rn]
20-164453,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_139/4953103095632_ll.jpg?fitin=700:700,1624.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコム RoHS対応抜け止め7個口タップ 3m T-ECOY053NDA [TECOY053NDA],,●(たっぷりコンセント)7台の接続が可能な大口コンセント  <br>●(ぬけ止め)プラグをしっかりロックするので、ぬける心配がありません。  <br>●(2重被ふくケーブル)安心・安全の2重被ふくケーブルで強度を増しました。  <br>●(強力マグネット)強力マグネット採用でスチール製の机等に仮固定できます。落下等には注意して下さい。  <br>●雷サージ吸収効果12500V(最大サージ電圧)⇒400V(制限電圧)  <br>●(3P-2P変換アダプタ付)3Pコネクタを2Pコネクタに変換できるアダプタがついています。  <br>●RoHS対応商品。<br>●規格:RoHS規格に適した7個口タップ。 <br>●コード長:約3m <br>●使用目的・用途:電気製品のコンセントが不足して困っている時に、役に立ちます。 <br>●付属品:3P-2P変換アダプタ付 <br>●サイズ:約幅295mm×奥行き50mm×高さ31mm <br>●定格:15A・125V・1500Wまで <br>●コンセントロック:○ <br>●コンセントタイプ:3P <br>●コンセント個口:7 <br>●パッケージ:PE袋 <br>●ケーブル径:直径約8.5mm <br>●環境配慮事項:本製品は日本国内の電源を想定して設計されていますので、日本国外ではご使用いただけません。,エレコム RoHS対応抜け止め7個口タップ 3m T-ECOY053NDA [TECOY053NDA]：エディオン　楽天市場店,エレコム RoHS対応抜け止め7個口タップ 3m T-ECOY053NDA [TECOY053NDA],エレコム RoHS対応抜け止め7個口タップ 3m T-ECOY053NDA [TECOY053NDA][rn]
20-164454,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_139/4969887836873_ll.jpg?fitin=700:700,1752.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 節電エコタップ(2P・6個口・2m) TAP-S27-2 [TAPS272],,●独立したスイッチにより機器ごとのON・OFFが可能なので、こまめにON・OFFすることで待機電力を減らし、節電効果があります。<br>●スイッチには省電力グリーンLEDランプを使用しているので、1日10時間の使用でも10年以上持ちます。<br>●恐ろしい雷から機器を守る、雷ガードを内蔵しています。<br>●電力オーバー時に自動で電力の供給をストップすることができるブレーカーを搭載しています。<br>  ※接続している機器の消費電力の合計が1500Wを超えた場合、ブレーカーが作動し電源が切れます。<br>  ※消費電力が1500Wを超えても、すぐに電源は切れません。<br>  ※オーバーした消費電力の%によって、ブレーカーが作動するまでの時間は異なります。(室温25℃の場合)<br> ・135%オーバー時(2000W)/約1時間<br> ・200%オーバー時(3000W)/約4～50秒<br> ・300%オーバー時(4500W)/約0.8～12秒<br> ・500%オーバー時(7500W)/約0.3～4秒<br>  ※ブレーカーが作動した場合は一度接続した機器をタップから外し、1500W以下になるように機器を取り除き、リセットボタンを押してください。<br>●差込口は熱に強いユリア樹脂を使用しているので、安全に使用できます。<br>●ホコリ防止シャッターにより、使用しないコンセントへのホコリの侵入を防ぎ、トラッキング火災予防に効果的です。<br>●ACアダプタに対応したレイアウトを採用しており、小型ACアダプタが無理なく1個接続可能です。<br>●より丈夫で安全な二重被ふくコードを使用しています。<br>●壁などに仮固定できるフック穴付きです。(穴ピッチ245mm)<br>●トラッキング火災予防に効果的な絶縁キャップ付きプラグを採用しています。<br>●プラグの刃は180°回転するスイング式なので、コンセントとコードが平行になり、スッキリ配線ができます。<br>●定格容量:15A・125V(合計1500Wまで)<br>●プラグ仕様:2P・絶縁キャップ付きスイングプラグ<br>●差込口:2P・6個口<br>●電源コード長:2m<br>●サイズ:本体/W291×D40×H26mm<br>●バリスタ電圧:240V<br>●制限電圧:395V<br>●サージ耐量(8/20μs):6000A<br>●材質:本体/難燃性ABS樹脂、差込口/ユリア樹脂<br>●仮固定穴ピッチ:245mm,サンワサプライ 節電エコタップ(2P・6個口・2m) TAP-S27-2 [TAPS272]：エディオン　楽天市場店,サンワサプライ 節電エコタップ(2P・6個口・2m) TAP-S27-2 [TAPS272],サンワサプライ 節電エコタップ(2P・6個口・2m) TAP-S27-2 [TAPS272][rn]
