30-10601,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs05/trs2282780.jpg?fitin=700:700,2378.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　遮光ガラス　＃１１　２０枚入　GC,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●コスト重視の低価格タイプです。●傷に強いです。●遮光度の番手が大きいほど濃くなります。<br><br>【用途】<br>●アーク溶接に。<br><br>【仕様】<br>●縦(mm):50●横(mm):105●遮光度:＃11●摘要:箱入●適合機種:HS、TPW-T、TPW-K、TWHMなど●厚み:3.0mm<br><br>【材質／仕上】<br>●ガラス<br><br>【質量】　752G<br><br>【原産国】　ドイツ<br><br>【2017　オレンジブック掲載】　4 1994　ページ■商品コード：trs2282780　●縦(mm):50●横(mm):105●遮光度:＃11●摘要:箱入●適合機種:HS、TPW-T、TPW-K、TWHMなど●厚み:3.0mm,ＴＲＵＳＣＯ　遮光ガラス　＃１１　２０枚入　GC：工具箱　楽天市場店,ＴＲＵＳＣＯ　遮光ガラス　＃１１　２０枚入　GC,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　遮光ガラス　＃１１　２０枚入　GC[rn]
30-10628,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs06/trs2561824.jpg?fitin=700:700,331.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径２．０ｍｍ　棒長２５０ｍｍ　TST10202,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●下向および水平すみ肉溶接において特に良好な作業性を有する高酸化チタン系溶接棒で、アークは安定し、スパッタも少なく、スラグのはく離性が良好です。●低電圧溶接機用溶接棒なので家庭用100V電源で使用できます。線径2.6mm以上の溶接棒は200V電源を推奨します。●溶け込みが浅く、光沢のある美しいビードが得られます。<br><br>【用途】<br>●薄板の溶接に。<br><br>【仕様】<br>●心線径(mm):φ2.0●棒長(mm):250●適用板厚(mm):3.0～5.0●電流範囲(A)下向:30～60●電流範囲(A)立向上進・上向:30～60●目安入数(本):20●JIS Z3211 E4313規格品（高酸化チタン系溶接棒）（※TST10-142、TST10-145は除く）●棒端色:白色<br><br><font color=red>【注意】<br>●過電流での使用はスパッタ（溶滴の飛び散り）が発生するなど作業性悪化の原因となりますので適正電流範囲を守ってください。●過度に吸湿すると溶接作業性悪化やピット（溶接部に孔があく）が発生することがありますので溶接棒はパッケージに戻して密封してください。●全姿勢で溶接可能ですが、下向と水平すみ肉で良好な作業性を有する。</font><br><br>【質量】　200G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1945　ページ■商品コード：trs2561824　●心線径(mm):φ2.0●棒長(mm):250●適用板厚(mm):3.0～5.0●電流範囲(A)下向:30～60●電流範囲(A)立向上進・上向:30～60●目安入数(本):20●JIS Z3211 E4313規格品（高酸化チタン系溶接棒）（※TST10-142、TST10-145は除く）●棒端色:白色,ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径２．０ｍｍ　棒長２５０ｍｍ　TST10202：工具箱　楽天市場店,ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径２．０ｍｍ　棒長２５０ｍｍ　TST10202,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径２．０ｍｍ　棒長２５０ｍｍ　TST10202[rn]
30-10629,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,861.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径２．０ｍｍ　棒長２５０ｍｍ　TSR22010,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●被覆剤中に約30%の鉄粉を含有したライムチタニヤ系溶接棒で、再アーク性に優れ、ビード伸びも良く、断続溶接、すみ肉溶接、タック溶接（仮付け）など全姿勢で溶接できます。<br><br>【用途】<br>●鉄の薄板から厚板の溶接に。（多層盛りを行うことで厚板も溶接可能）●軟鋼を用いる車両、軽量鉄骨、建築などの一般構造物の溶接に。<br><br>【仕様】<br>●心線径(mm):φ2.0●棒長(mm):250●適用板厚(mm):3～5●電流範囲(A)下向:30～60●電流範囲(A)立向上進・上向:30～60●目安入数(本):102●JIS Z3211 E4303規格品（ライムチタニヤ系溶接棒）●棒端色:赤色<br><br><font color=red>【注意】<br>●過電流での使用はスパッタ（溶滴の飛び散り）が発生するなど作業性悪化の原因となりますので適正電流範囲を守ってください。●過度に吸湿すると溶接作業性悪化やピット（溶接部に孔があく）が発生することがありますので溶接棒はパッケージに戻して密封してください。●全姿勢で溶接可能。</font><br><br>【質量】　1000G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1945　ページ■商品コード：trs2561921　●心線径(mm):φ2.0●棒長(mm):250●適用板厚(mm):3～5●電流範囲(A)下向:30～60●電流範囲(A)立向上進・上向:30～60●目安入数(本):102●JIS Z3211 E4303規格品（ライムチタニヤ系溶接棒）●棒端色:赤色,ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径２．０ｍｍ　棒長２５０ｍｍ　TSR22010：工具箱　楽天市場店,ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径２．０ｍｍ　棒長２５０ｍｍ　TSR22010,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径２．０ｍｍ　棒長２５０ｍｍ　TSR22010[rn]
30-10630,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs06/trs2562031.jpg?fitin=700:700,1281.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　鋳物用溶接棒　心線径２．６ｍｍ　棒長３００ｍｍ　TSC1264,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●純ニッケル心線を使用し、溶接部の硬さが低く、機械加工が容易で溶接ひずみや応力の発生が少なく割れが発生しにくい溶接棒です。●アークは安定しており、スラグのはく離が良好です。<br><br>【用途】<br>●一般鋳鉄の補修溶接に。（一般的に鋳物の補修溶接で溶接姿勢は下向で使用します。）●鋳鉄と鉄（軟鋼等）の異材溶接に。<br><br>【仕様】<br>●心線径(mm):φ2.6●棒長(mm):300●適用板厚(mm):4～7●電流範囲(A)下向:50～80●電流範囲(A)立向上進・上向:-●目安入数(本):4●JIS Z3252 ECNi該当●棒端色:赤紫色<br><br><font color=red>【注意】<br>●下向溶接</font><br><br>【質量】　72G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1946　ページ■商品コード：trs2562031　●心線径(mm):φ2.6●棒長(mm):300●適用板厚(mm):4～7●電流範囲(A)下向:50～80●電流範囲(A)立向上進・上向:-●目安入数(本):4●JIS Z3252 ECNi該当●棒端色:赤紫色,ＴＲＵＳＣＯ　鋳物用溶接棒　心線径２．６ｍｍ　棒長３００ｍｍ　TSC1264：工具箱　楽天市場店,ＴＲＵＳＣＯ　鋳物用溶接棒　心線径２．６ｍｍ　棒長３００ｍｍ　TSC1264,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　鋳物用溶接棒　心線径２．６ｍｍ　棒長３００ｍｍ　TSC1264[rn]
30-10631,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,746.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ　TST10145,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●下向および水平すみ肉溶接において特に良好な作業性を有する高酸化チタン系溶接棒で、アークは安定し、スパッタも少なく、スラグのはく離性が良好です。●低電圧溶接機用溶接棒なので家庭用100V電源で使用できます。線径2.6mm以上の溶接棒は200V電源を推奨します。●溶け込みが浅く、光沢のある美しいビードが得られます。<br><br>【用途】<br>●薄板の溶接に。<br><br>【仕様】<br>●心線径(mm):φ1.4●棒長(mm):250●適用板厚(mm):1.2～3.0●電流範囲(A)下向:20～45●電流範囲(A)立向上進・上向:20～45●目安入数(本):96●JIS Z3211 E4313規格品（高酸化チタン系溶接棒）（※TST10-142、TST10-145は除く）●棒端色:白色<br><br><font color=red>【注意】<br>●過電流での使用はスパッタ（溶滴の飛び散り）が発生するなど作業性悪化の原因となりますので適正電流範囲を守ってください。●過度に吸湿すると溶接作業性悪化やピット（溶接部に孔があく）が発生することがありますので溶接棒はパッケージに戻して密封してください。●全姿勢で溶接可能ですが、下向と水平すみ肉で良好な作業性を有する。</font><br><br>【質量】　500G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1945　ページ■商品コード：trs2561794　●心線径(mm):φ1.4●棒長(mm):250●適用板厚(mm):1.2～3.0●電流範囲(A)下向:20～45●電流範囲(A)立向上進・上向:20～45●目安入数(本):96●JIS Z3211 E4313規格品（高酸化チタン系溶接棒）（※TST10-142、TST10-145は除く）●棒端色:白色,ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ　TST10145：工具箱　楽天市場店,ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ　TST10145,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ　TST10145[rn]
30-10632,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,1021.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TSS308325,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●スラグはく離性、アーク安定性が良好で、スパッタも少なく、ビード外観も優れています。●ステンレス用溶接棒の欠点である棒焼け性についても良好です。<br><br>【用途】<br>●18%Cr-8%Niステンレス鋼（SUS304とSUS304）の溶接に。<br><br>【仕様】<br>●心線径(mm):φ3.2●棒長(mm):350●適用板厚(mm):5.0～8.0●電流範囲(A)下向:70～120●電流範囲(A)立向上進・上向:65～105●目安入数(本):11●JIS Z3221 ES308-16規格品（※TSS308-142は除く）●棒端色:黄色<br><br><font color=red>【注意】<br>●全姿勢で溶接可能。</font><br><br>【質量】　500G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1946　ページ■商品コード：trs2562022　●心線径(mm):φ3.2●棒長(mm):350●適用板厚(mm):5.0～8.0●電流範囲(A)下向:70～120●電流範囲(A)立向上進・上向:65～105●目安入数(本):11●JIS Z3221 ES308-16規格品（※TSS308-142は除く）●棒端色:黄色,ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TSS308325：工具箱　楽天市場店,ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TSS308325,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TSS308325[rn]
30-10633,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs20/trs3935779.jpg?fitin=700:700,16692.8000,,花・ガーデン・DIY > DIY・工具 > その他,育良　溶接棒乾燥器（４０９００）　ISD200,【業務用】 オレンジブック2017掲載,<b>メーカー／育良精機（株）</b><br><br>【特長】<br>●有害な湿分を除去して溶接準備を万全にします。●溶接欠陥の発生を防止します。●スパッタ量を減少させます。●安定したアークを実現します。<br><br>【用途】<br>●溶接棒の乾燥に。<br><br>【仕様】<br>●定格入力(V):AC100●設定温度(℃):50～200●最大棒量(kg):5●溶接棒長(mm):最長 450●幅(mm):140●奥行(mm):515●高さ(mm):240<br><br>【質量】　3KG<br><br>【原産国】　韓国<br><br>【2017　オレンジブック掲載】　4 1945　ページ■商品コード：trs3935779　●定格入力(V):AC100●設定温度(℃):50～200●最大棒量(kg):5●溶接棒長(mm):最長 450●幅(mm):140●奥行(mm):515●高さ(mm):240,育良　溶接棒乾燥器（４０９００）　ISD200：工具箱　楽天市場店,育良　溶接棒乾燥器（４０９００）　ISD200,【業務用】 オレンジブック2017掲載。育良　溶接棒乾燥器（４０９００）　ISD200[rn]
30-10634,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,728.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径１．６ｍｍ　棒長２５０ｍｍ　TSS308162,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●スラグはく離性、アーク安定性が良好で、スパッタも少なく、ビード外観も優れています。●ステンレス用溶接棒の欠点である棒焼け性についても良好です。<br><br>【用途】<br>●18%Cr-8%Niステンレス鋼（SUS304とSUS304）の溶接に。<br><br>【仕様】<br>●心線径(mm):φ1.6●棒長(mm):250●適用板厚(mm):1.6～3.0●電流範囲(A)下向:15～40●電流範囲(A)立向上進・上向:10～35●目安入数(本):23●JIS Z3221 ES308-16規格品（※TSS308-142は除く）●棒端色:黄色<br><br><font color=red>【注意】<br>●全姿勢で溶接可能。</font><br><br>【質量】　200G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1946　ページ■商品コード：trs2561999　●心線径(mm):φ1.6●棒長(mm):250●適用板厚(mm):1.6～3.0●電流範囲(A)下向:15～40●電流範囲(A)立向上進・上向:10～35●目安入数(本):23●JIS Z3221 ES308-16規格品（※TSS308-142は除く）●棒端色:黄色,ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径１．６ｍｍ　棒長２５０ｍｍ　TSS308162：工具箱　楽天市場店,ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径１．６ｍｍ　棒長２５０ｍｍ　TSS308162,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径１．６ｍｍ　棒長２５０ｍｍ　TSS308162[rn]
30-10635,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,535.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径２．０ｍｍ　棒長２５０ｍｍ　TST10205,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●下向および水平すみ肉溶接において特に良好な作業性を有する高酸化チタン系溶接棒で、アークは安定し、スパッタも少なく、スラグのはく離性が良好です。●低電圧溶接機用溶接棒なので家庭用100V電源で使用できます。線径2.6mm以上の溶接棒は200V電源を推奨します。●溶け込みが浅く、光沢のある美しいビードが得られます。<br><br>【用途】<br>●薄板の溶接に。<br><br>【仕様】<br>●心線径(mm):φ2.0●棒長(mm):250●適用板厚(mm):3.0～5.0●電流範囲(A)下向:30～60●電流範囲(A)立向上進・上向:30～60●目安入数(本):53●JIS Z3211 E4313規格品（高酸化チタン系溶接棒）（※TST10-142、TST10-145は除く）●棒端色:白色<br><br><font color=red>【注意】<br>●過電流での使用はスパッタ（溶滴の飛び散り）が発生するなど作業性悪化の原因となりますので適正電流範囲を守ってください。●過度に吸湿すると溶接作業性悪化やピット（溶接部に孔があく）が発生することがありますので溶接棒はパッケージに戻して密封してください。●全姿勢で溶接可能ですが、下向と水平すみ肉で良好な作業性を有する。</font><br><br>【質量】　500G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1945　ページ■商品コード：trs2561832　●心線径(mm):φ2.0●棒長(mm):250●適用板厚(mm):3.0～5.0●電流範囲(A)下向:30～60●電流範囲(A)立向上進・上向:30～60●目安入数(本):53●JIS Z3211 E4313規格品（高酸化チタン系溶接棒）（※TST10-142、TST10-145は除く）●棒端色:白色,ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径２．０ｍｍ　棒長２５０ｍｍ　TST10205：工具箱　楽天市場店,ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径２．０ｍｍ　棒長２５０ｍｍ　TST10205,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径２．０ｍｍ　棒長２５０ｍｍ　TST10205[rn]
30-10636,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,721.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径２．６ｍｍ　棒長３５０ｍｍ　TSR22610,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●被覆剤中に約30%の鉄粉を含有したライムチタニヤ系溶接棒で、再アーク性に優れ、ビード伸びも良く、断続溶接、すみ肉溶接、タック溶接（仮付け）など全姿勢で溶接できます。<br><br>【用途】<br>●鉄の薄板から厚板の溶接に。（多層盛りを行うことで厚板も溶接可能）●軟鋼を用いる車両、軽量鉄骨、建築などの一般構造物の溶接に。<br><br>【仕様】<br>●心線径(mm):φ2.6●棒長(mm):350●適用板厚(mm):4～7●電流範囲(A)下向:60～100●電流範囲(A)立向上進・上向:50～90●目安入数(本):39●JIS Z3211 E4303規格品（ライムチタニヤ系溶接棒）●棒端色:赤色<br><br><font color=red>【注意】<br>●過電流での使用はスパッタ（溶滴の飛び散り）が発生するなど作業性悪化の原因となりますので適正電流範囲を守ってください。●過度に吸湿すると溶接作業性悪化やピット（溶接部に孔があく）が発生することがありますので溶接棒はパッケージに戻して密封してください。●全姿勢で溶接可能。</font><br><br>【質量】　1000G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1945　ページ■商品コード：trs2561948　●心線径(mm):φ2.6●棒長(mm):350●適用板厚(mm):4～7●電流範囲(A)下向:60～100●電流範囲(A)立向上進・上向:50～90●目安入数(本):39●JIS Z3211 E4303規格品（ライムチタニヤ系溶接棒）●棒端色:赤色,ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径２．６ｍｍ　棒長３５０ｍｍ　TSR22610：工具箱　楽天市場店,ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径２．６ｍｍ　棒長３５０ｍｍ　TSR22610,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径２．６ｍｍ　棒長３５０ｍｍ　TSR22610[rn]
30-10637,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs06/trs2723433.jpg?fitin=700:700,1564.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　ステンレス異材用溶接棒２．０ｍｍ　棒長２５０ｍｍ　TSS309205,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●スラグはく離性、アーク安定性が良好で、スパッタも少なく、ビード外観も優れています。●ステンレス用溶接棒の欠点である棒焼け性についても良好です。<br><br>【用途】<br>●22%Cr-12%Niステンレス鋼（SUS309Sなど）の溶接およびステンレス鋼と炭素鋼または低合金鋼との異材溶接に。●SUS304クラッド鋼の合わせ材側の下盛溶接に。<br><br>【仕様】<br>●心線径(mm):φ2.0●棒長(mm):250●適用板厚(mm):3～5●電流範囲(A)下向:45～65●電流範囲(A)立向上進・上向:40～60●目安入数(本):46●JIS Z3221 ES309-16規格品●棒端色:黒色<br><br><font color=red>【注意】<br>●全姿勢で溶接可能。</font><br><br>【質量】　500G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1946　ページ■商品コード：trs2723433　●心線径(mm):φ2.0●棒長(mm):250●適用板厚(mm):3～5●電流範囲(A)下向:45～65●電流範囲(A)立向上進・上向:40～60●目安入数(本):46●JIS Z3221 ES309-16規格品●棒端色:黒色,ＴＲＵＳＣＯ　ステンレス異材用溶接棒２．０ｍｍ　棒長２５０ｍｍ　TSS309205：工具箱　楽天市場店,ＴＲＵＳＣＯ　ステンレス異材用溶接棒２．０ｍｍ　棒長２５０ｍｍ　TSS309205,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　ステンレス異材用溶接棒２．０ｍｍ　棒長２５０ｍｍ　TSS309205[rn]
30-10638,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,1902.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　鋳物用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TSC1324,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●純ニッケル心線を使用し、溶接部の硬さが低く、機械加工が容易で溶接ひずみや応力の発生が少なく割れが発生しにくい溶接棒です。●アークは安定しており、スラグのはく離が良好です。<br><br>【用途】<br>●一般鋳鉄の補修溶接に。（一般的に鋳物の補修溶接で溶接姿勢は下向で使用します。）●鋳鉄と鉄（軟鋼等）の異材溶接に。<br><br>【仕様】<br>●心線径(mm):φ3.2●棒長(mm):350●適用板厚(mm):5～8●電流範囲(A)下向:70～110●電流範囲(A)立向上進・上向:-●目安入数(本):4●JIS Z3252 ECNi該当●棒端色:赤紫色<br><br><font color=red>【注意】<br>●下向溶接</font><br><br>【質量】　128G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1946　ページ■商品コード：trs2562049　●心線径(mm):φ3.2●棒長(mm):350●適用板厚(mm):5～8●電流範囲(A)下向:70～110●電流範囲(A)立向上進・上向:-●目安入数(本):4●JIS Z3252 ECNi該当●棒端色:赤紫色,ＴＲＵＳＣＯ　鋳物用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TSC1324：工具箱　楽天市場店,ＴＲＵＳＣＯ　鋳物用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TSC1324,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　鋳物用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TSC1324[rn]
30-10639,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,5564.0000,,花・ガーデン・DIY > DIY・工具 > その他,ダイヘン　プラズマ切断用電極　５０～７０Ａ　H669G11　10個,【業務用】 オレンジブック2017掲載,<b>メーカー／ダイヘン溶接メカトロシステム（株）</b><br><br>【特長】<br>●ダイヘン純正部品です。<br><br>【仕様】<br>●適合切断チップ:H669G06、H669G05<br><br>【質量】　1G<br><br>【原産国】　タイ<br><br>【2017　オレンジブック掲載】　4 1940　ページ■商品コード：trs3060144　●適合切断チップ:H669G06、H669G05,ダイヘン　プラズマ切断用電極　５０～７０Ａ　H669G11　10個：工具箱　楽天市場店,ダイヘン　プラズマ切断用電極　５０～７０Ａ　H669G11　10個,【業務用】 オレンジブック2017掲載。ダイヘン　プラズマ切断用電極　５０～７０Ａ　H669G11　10個[rn]
30-10640,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,3527.2000,,花・ガーデン・DIY > DIY・工具 > その他,ダイヘン　プラズマ切断用チップ　３５Ａ　H705F04　10個,【業務用】 オレンジブック2017掲載,<b>メーカー／ダイヘン溶接メカトロシステム（株）</b><br><br>【特長】<br>●ダイヘン純正部品です。<br><br>【仕様】<br>●最大適用電流(A):35●適合機種:M-3500、M-3500C2<br><br>【質量】　1G<br><br>【原産国】　タイ<br><br>【2017　オレンジブック掲載】　4 1940　ページ■商品コード：trs3060161　●最大適用電流(A):35●適合機種:M-3500、M-3500C2,ダイヘン　プラズマ切断用チップ　３５Ａ　H705F04　10個：工具箱　楽天市場店,ダイヘン　プラズマ切断用チップ　３５Ａ　H705F04　10個,【業務用】 オレンジブック2017掲載。ダイヘン　プラズマ切断用チップ　３５Ａ　H705F04　10個[rn]
30-10641,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs10/trs3060152.jpg?fitin=700:700,7402.4000,,花・ガーデン・DIY > DIY・工具 > その他,ダイヘン　プラズマ切断用カップ　１５～３５Ａ　H705F03　5個,【業務用】 オレンジブック2017掲載,<b>メーカー／ダイヘン溶接メカトロシステム（株）</b><br><br>【特長】<br>●ダイヘン純正部品です。<br><br>【仕様】<br>●適合切断チップ:H1002F01、H705F04<br><br>【質量】　25G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1940　ページ■商品コード：trs3060152　●適合切断チップ:H1002F01、H705F04,ダイヘン　プラズマ切断用カップ　１５～３５Ａ　H705F03　5個：工具箱　楽天市場店,ダイヘン　プラズマ切断用カップ　１５～３５Ａ　H705F03　5個,【業務用】 オレンジブック2017掲載。ダイヘン　プラズマ切断用カップ　１５～３５Ａ　H705F03　5個[rn]
30-10642,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,4322.4000,,花・ガーデン・DIY > DIY・工具 > その他,ダイヘン　プラズマ切断用Ｈチップ　７０Ａ　H669G05　10個,【業務用】 オレンジブック2017掲載,<b>メーカー／ダイヘン溶接メカトロシステム（株）</b><br><br>【特長】<br>●ダイヘン純正部品です。<br><br>【仕様】<br>●最大適用電流(A):50～70●適合機種:A-70、DT-6000<br><br>【質量】　1G<br><br>【原産国】　タイ<br><br>【2017　オレンジブック掲載】　4 1940　ページ■商品コード：trs3060128　●最大適用電流(A):50～70●適合機種:A-70、DT-6000,ダイヘン　プラズマ切断用Ｈチップ　７０Ａ　H669G05　10個：工具箱　楽天市場店,ダイヘン　プラズマ切断用Ｈチップ　７０Ａ　H669G05　10個,【業務用】 オレンジブック2017掲載。ダイヘン　プラズマ切断用Ｈチップ　７０Ａ　H669G05　10個[rn]
30-10643,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs48/trs8199950.jpg?fitin=700:700,161460.0000,,花・ガーデン・DIY > DIY・工具 > その他,マイト　エアープラズマ切断機　MP40　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／マイト工業（株）</b><br><br>【特長】<br>●小型･軽量で持ち運びラクラクです。●小型ながらも高い切断能力があります。●トーチ異常回路搭載です。●バックストライキング機構を採用しています。<br><br>【用途】<br>●鉄・ステンレス・アルミニウム・銅などの切断に。<br><br>【仕様】<br>●幅(mm):135●奥行(mm):470●高さ(mm):280●定格入力(kVA):5.6/4.5●使用率(%):40●電流範囲(A):15～28/30～45●電圧(V):単相 200/100<br><br>【セット内容／付属品】<br>●トーチ8m(Oリング･電極･ディストリビューター･チップ1.1mm･シールドカップ･ガイドリング)●アースケーブル5m●ショルダーベルト●電極(3個)●チップ0.9mm(3個)●チップ1.1mm<br><br><font color=red>【注意】<br>●入力100Vでご使用の際は30A以上の入力容量が必要です。</font><br><br>【質量】　7KG<br><br>【原産国】　韓国<br><br>【2017　オレンジブック掲載】　4 1939　ページ≪メーカー直送品≫■商品コード：trs8199950　●幅(mm):135●奥行(mm):470●高さ(mm):280●定格入力(kVA):5.6/4.5●使用率(%):40●電流範囲(A):15～28/30～45●電圧(V):単相 200/100,マイト　エアープラズマ切断機　MP40　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,マイト　エアープラズマ切断機　MP40　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。マイト　エアープラズマ切断機　MP40　【代引き不可・配送時間指定不可】[rn]
