30-10901,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,15560.0000,,花・ガーデン・DIY > DIY・工具 > その他,ニッチ　ギヤードトロリ　１．０ｔ　GT5010,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ニッチ</b><br><br>【特長】<br>●ハンドチェーンと減速歯車を介して、より小さな人力で横行可能です。<br><br>【仕様】<br>●定格荷重(t):1.0●最小回転半径(mm):1000●適用横行レール幅(mm):75-100-125●揚程(m):2.5●手動用<br><br><font color=red>【注意】<br>●手動チェンブロック(H-50A形)の上フックを掛けてご使用ください。●手動チェンブロック(H-50A形)と直結する場合はご相談ください。●電気チェンブロックにはご使用できません。</font>●電気チェンブロックにご使用の場合はご相談ください。</font><br><br>【質量】　12KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2779　ページ≪メーカー在庫品≫■商品コード：trs4576080　●定格荷重(t):1.0●最小回転半径(mm):1000●適用横行レール幅(mm):75-100-125●揚程(m):2.5●手動用,ニッチ　ギヤードトロリ　１．０ｔ　GT5010：工具箱　楽天市場店,ニッチ　ギヤードトロリ　１．０ｔ　GT5010,【業務用】 オレンジブック2017掲載。ニッチ　ギヤードトロリ　１．０ｔ　GT5010[rn]
30-10953,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,31556.8000,,花・ガーデン・DIY > DIY・工具 > その他,スーパー　フリークレーン固定支持ハンガー（２５０ｋｇタイプ）　FRKS025,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）スーパーツール</b><br><br>【特長】<br>●設置場所や作業の状況に合わせて自由な設計で、最良のシステム構築ができます。●走行レールが平行でなくても可能です。（建屋形態に合わせた設置ができます）●曲線の走行レールでも可能です。（非直線の作業にも対応できます）●レールは市販のH（I形）鋼を使用しますので、非常に安価で、また天井梁などを利用して簡単に設置ができます。（設置後の移動も可能）●フリークレーンは軽く滑らかに移動し、電動チェンブロックなどと組み合わせて3次元同時操作ができます。<br><br>【仕様】<br>●定格荷重(t):0.25●適用レール幅(mm):50、75●寸法(mm)E:75●寸法(mm)D:137～149●寸法(mm)B:100●寸法(mm)C:220●寸法(mm)A:112、137●揚程:任意●使用可能範囲:走行レール間に限ります<br><br><font color=red>【注意】<br>●固定支持ハンガー同士及び自由支持ハンガー同士の設置は非常に危険です。必ず固定支持ハンガーと自由支持ハンガーのセットで設置し、使用してください。●使用可能範囲はレール間に限ります。</font><br><br>【質量】　4.7KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2809　ページ≪メーカー在庫品≫■商品コード：trs2403790　●定格荷重(t):0.25●適用レール幅(mm):50、75●寸法(mm)E:75●寸法(mm)D:137～149●寸法(mm)B:100●寸法(mm)C:220●寸法(mm)A:112、137●揚程:任意●使用可能範囲:走行レール間に限ります,スーパー　フリークレーン固定支持ハンガー（２５０ｋｇタイプ）　FRKS025：工具箱　楽天市場店,スーパー　フリークレーン固定支持ハンガー（２５０ｋｇタイプ）　FRKS025,【業務用】 オレンジブック2017掲載。スーパー　フリークレーン固定支持ハンガー（２５０ｋｇタイプ）　FRKS025[rn]
30-10954,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs10/trs3027368.jpg?fitin=700:700,1888.0000,,花・ガーデン・DIY > DIY・工具 > その他,スーパー　フリークレーンケーブルハンガー　FRT2,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）スーパーツール</b><br><br>【用途】<br>●走行レール、横行レールの長さ1.5mに1個使用。<br><br>【仕様】<br>●適用レール幅(mm):75、100、125●使用可能範囲:走行レール間に限ります<br><br>【質量】　400G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2809　ページ■商品コード：trs3027368　●適用レール幅(mm):75、100、125●使用可能範囲:走行レール間に限ります,スーパー　フリークレーンケーブルハンガー　FRT2：工具箱　楽天市場店,スーパー　フリークレーンケーブルハンガー　FRT2,【業務用】 オレンジブック2017掲載。スーパー　フリークレーンケーブルハンガー　FRT2[rn]
30-10955,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,57638.4000,,花・ガーデン・DIY > DIY・工具 > その他,スーパー　フリークレーン固定支持ハンガー（１０００ｋｇタイプ）　FRKS10　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）スーパーツール</b><br><br>【特長】<br>●設置場所や作業の状況に合わせて自由な設計で、最良のシステム構築ができます。●走行レールが平行でなくても可能です。（建屋形態に合わせた設置ができます）●曲線の走行レールでも可能です。（非直線の作業にも対応できます）●レールは市販のH（I形）鋼を使用しますので、非常に安価で、また天井梁などを利用して簡単に設置ができます。（設置後の移動も可能）●フリークレーンは軽く滑らかに移動し、電動チェンブロックなどと組み合わせて3次元同時操作ができます。<br><br>【仕様】<br>●定格荷重(t):1.00●適用レール幅(mm):125、150●寸法(mm)E:135●寸法(mm)D:253～285●寸法(mm)B:100●寸法(mm)C:262●寸法(mm)A:195、220●揚程:任意●使用可能範囲:走行レール間に限ります<br><br><font color=red>【注意】<br>●固定支持ハンガー同士及び自由支持ハンガー同士の設置は非常に危険です。必ず固定支持ハンガーと自由支持ハンガーのセットで設置し、使用してください。●使用可能範囲はレール間に限ります。</font><br><br>【質量】　26.8KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2809　ページ≪メーカー直送品≫■商品コード：trs2403811　●定格荷重(t):1.00●適用レール幅(mm):125、150●寸法(mm)E:135●寸法(mm)D:253～285●寸法(mm)B:100●寸法(mm)C:262●寸法(mm)A:195、220●揚程:任意●使用可能範囲:走行レール間に限ります,スーパー　フリークレーン固定支持ハンガー（１０００ｋｇタイプ）　FRKS10　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,スーパー　フリークレーン固定支持ハンガー（１０００ｋｇタイプ）　FRKS10　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。スーパー　フリークレーン固定支持ハンガー（１０００ｋｇタイプ）　FRKS10　【代引き不可・配送時間指定不可】[rn]
30-10956,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs05/trs2403846.jpg?fitin=700:700,41870.4000,,花・ガーデン・DIY > DIY・工具 > その他,スーパー　フリークレーン自由支持ハンガー（２５０ｋｇタイプ）　FRCS025,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）スーパーツール</b><br><br>【特長】<br>●設置場所や作業の状況に合わせて自由な設計で、最良のシステム構築ができます。●走行レールが平行でなくても可能です。（建屋形態に合わせた設置ができます）●曲線の走行レールでも可能です。（非直線の作業にも対応できます）●レールは市販のH（I形）鋼を使用しますので、非常に安価で、また天井梁などを利用して簡単に設置ができます。（設置後の移動も可能）●フリークレーンは軽く滑らかに移動し、電動チェンブロックなどと組み合わせて3次元同時操作ができます。<br><br>【仕様】<br>●定格荷重(t):0.25●適用レール幅(mm):50、75●寸法(mm)C:220●寸法(mm)D:130～154●寸法(mm)A:112、137●寸法(mm)B:100●揚程:任意●使用可能範囲:走行レール間に限ります<br><br><font color=red>【注意】<br>●固定支持ハンガー同士及び自由支持ハンガー同士の設置は非常に危険です。必ず固定支持ハンガーと自由支持ハンガーのセットで設置し、使用してください。●使用可能範囲はレール間に限ります。</font><br><br>【質量】　6.4KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2809　ページ≪メーカー在庫品≫■商品コード：trs2403846　●定格荷重(t):0.25●適用レール幅(mm):50、75●寸法(mm)C:220●寸法(mm)D:130～154●寸法(mm)A:112、137●寸法(mm)B:100●揚程:任意●使用可能範囲:走行レール間に限ります,スーパー　フリークレーン自由支持ハンガー（２５０ｋｇタイプ）　FRCS025：工具箱　楽天市場店,スーパー　フリークレーン自由支持ハンガー（２５０ｋｇタイプ）　FRCS025,【業務用】 オレンジブック2017掲載。スーパー　フリークレーン自由支持ハンガー（２５０ｋｇタイプ）　FRCS025[rn]
30-10957,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,24134.4000,,花・ガーデン・DIY > DIY・工具 > その他,スーパー　フリークレーンプレーントロリー（１０００ｋｇタイプ）　FRP10,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）スーパーツール</b><br><br>【特長】<br>●設置場所や作業の状況に合わせて自由な設計で、最良のシステム構築ができます。●走行レールが平行でなくても可能です。（建屋形態に合わせた設置ができます）●曲線の走行レールでも可能です。（非直線の作業にも対応できます）●レールは市販のH（I形）鋼を使用しますので、非常に安価で、また天井梁などを利用して簡単に設置ができます。（設置後の移動も可能）●フリークレーンは軽く滑らかに移動し、電動チェンブロックなどと組み合わせて3次元同時操作ができます。<br><br>【仕様】<br>●定格荷重(t):1.00●適用レール幅(mm):125、150●最小回転半径(mm):1500●寸法(mm)C:100●寸法(mm)L:16●寸法(mm)K:66●寸法(mm)H:42●寸法(mm)D:262●揚程:任意●使用可能範囲:走行レール間に限ります●寸法(mm)G:163●寸法(mm)I:16●寸法(mm)J:34<br><br>【質量】　15KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2809　ページ≪メーカー在庫品≫■商品コード：trs2403897　●定格荷重(t):1.00●適用レール幅(mm):125、150●最小回転半径(mm):1500●寸法(mm)C:100●寸法(mm)L:16●寸法(mm)K:66●寸法(mm)H:42●寸法(mm)D:262●揚程:任意●使用可能範囲:走行レール間に限ります●寸法(mm)G:163●寸法(mm)I:16●寸法(mm)J:34,スーパー　フリークレーンプレーントロリー（１０００ｋｇタイプ）　FRP10：工具箱　楽天市場店,スーパー　フリークレーンプレーントロリー（１０００ｋｇタイプ）　FRP10,【業務用】 オレンジブック2017掲載。スーパー　フリークレーンプレーントロリー（１０００ｋｇタイプ）　FRP10[rn]
30-10958,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs05/trs2403803.jpg?fitin=700:700,39525.6000,,花・ガーデン・DIY > DIY・工具 > その他,スーパー　フリークレーン固定支持ハンガー（４９０ｋｇタイプ）　FRKS05,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）スーパーツール</b><br><br>【特長】<br>●設置場所や作業の状況に合わせて自由な設計で、最良のシステム構築ができます。●走行レールが平行でなくても可能です。（建屋形態に合わせた設置ができます）●曲線の走行レールでも可能です。（非直線の作業にも対応できます）●レールは市販のH（I形）鋼を使用しますので、非常に安価で、また天井梁などを利用して簡単に設置ができます。（設置後の移動も可能）●フリークレーンは軽く滑らかに移動し、電動チェンブロックなどと組み合わせて3次元同時操作ができます。<br><br>【仕様】<br>●定格荷重(t):0.49●適用レール幅(mm):75、100●寸法(mm)E:100●寸法(mm)D:242～274●寸法(mm)B:100●寸法(mm)C:226●寸法(mm)A:145、170●揚程:任意●使用可能範囲:走行レール間に限ります<br><br><font color=red>【注意】<br>●固定支持ハンガー同士及び自由支持ハンガー同士の設置は非常に危険です。必ず固定支持ハンガーと自由支持ハンガーのセットで設置し、使用してください。●使用可能範囲はレール間に限ります。</font><br><br>【質量】　13.8KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2809　ページ≪メーカー在庫品≫■商品コード：trs2403803　●定格荷重(t):0.49●適用レール幅(mm):75、100●寸法(mm)E:100●寸法(mm)D:242～274●寸法(mm)B:100●寸法(mm)C:226●寸法(mm)A:145、170●揚程:任意●使用可能範囲:走行レール間に限ります,スーパー　フリークレーン固定支持ハンガー（４９０ｋｇタイプ）　FRKS05：工具箱　楽天市場店,スーパー　フリークレーン固定支持ハンガー（４９０ｋｇタイプ）　FRKS05,【業務用】 オレンジブック2017掲載。スーパー　フリークレーン固定支持ハンガー（４９０ｋｇタイプ）　FRKS05[rn]
30-10959,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs16/trs3703835.jpg?fitin=700:700,45784.8000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　大容量メタルセンサー（金属感知機能付）リール　単相１００Ｖ　２０ｍ　MSS231KV,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●コンクリート中の金属を感知します。●鉄筋や金属の埋設管の入ったコンクリートの穴あけ作業など、建物のリニューアル工事に使用されています。●電圧が不安定な現場でも確実に動作するセンサー内蔵です。●大型コアドリルを使用する耐震補強工事などに使用されています。<br><br>【用途】<br>●電気工事。●通信工事。●ガス工事。●メンテナンス。●設備工事。●配管工事。●橋梁補強工事。<br><br>【仕様】<br>●電線仕様長さ(m):20●電線仕様太さ(mm[[の2乗]]):3.5●電線仕様芯数(C):3●定格電流(A):6●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:2●温度センサー:-●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●電線種:VCT●AC100V●コンセント防じんキャップ付●漏電地絡保護専用●ブレーカー付<br><br>【質量】　9.3<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2431　ページ■商品コード：trs3703835　●電線仕様長さ(m):20●電線仕様太さ(mm[[の2乗]]):3.5●電線仕様芯数(C):3●定格電流(A):6●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:2●温度センサー:-●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●電線種:VCT●AC100V●コンセント防じんキャップ付●漏電地絡保護専用●ブレーカー付,ハタヤ　大容量メタルセンサー（金属感知機能付）リール　単相１００Ｖ　２０ｍ　MSS231KV：工具箱　楽天市場店,ハタヤ　大容量メタルセンサー（金属感知機能付）リール　単相１００Ｖ　２０ｍ　MSS231KV,【業務用】 オレンジブック2017掲載。ハタヤ　大容量メタルセンサー（金属感知機能付）リール　単相１００Ｖ　２０ｍ　MSS231KV[rn]
30-10960,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs16/trs3686191.jpg?fitin=700:700,33146.4000,,花・ガーデン・DIY > DIY・工具 > その他,日動　金属センサードラム３０Ｍ　KSEK34,【業務用】 オレンジブック2017掲載,<b>メーカー／日動工業（株）</b><br><br>【特長】<br>●金属に触れてから0.1秒以内で電源が切れます。●コンクリートの湿気による誤作動が激減しました。<br><br>【用途】<br>●建設工事などの現場作業に最適。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:-●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●サイズ(mm):W300×D250×H390●過負荷保護:○●入力(V):100●漏電保護:○●AC100V●電線種:VCT●屋内型●ケーブルとドラムを同時に止める「ドラムストッパー」付●ブレーカー付●側板色:エメラルドグリーン●電線色:黒<br><br><font color=red>【注意】<br>●接地されていない金属や塩ビ管などには反応しません。</font><br><br>【質量】　9.5<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2431　ページ■商品コード：trs3686191　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:-●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●サイズ(mm):W300×D250×H390●過負荷保護:○●入力(V):100●漏電保護:○●AC100V●電線種:VCT●屋内型●ケーブルとドラムを同時に止める「ドラムストッパー」付●ブレーカー付●側板色:エメラルドグリーン●電線色:黒,日動　金属センサードラム３０Ｍ　KSEK34：工具箱　楽天市場店,日動　金属センサードラム３０Ｍ　KSEK34,【業務用】 オレンジブック2017掲載。日動　金属センサードラム３０Ｍ　KSEK34[rn]
30-10961,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs01/trs1055607.jpg?fitin=700:700,28616.0000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　メタルセンサー（金属感知機能付）リール　単相１００Ｖ接地付　３０ｍ　MSB301KX,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●鉄筋や金属の埋設管の入ったコンクリートの穴あけ作業など、建物のリニューアル工事に使用されています。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:2●温度センサー:○●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●AC100V●電線種:ソフトンVCT●ニュートビプラグ●漏電遮断器仕様●金属感知機能付●ブレーカー付●コンセント防じんキャップ付●アース付<br><br>【質量】　9.6<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2431　ページ■商品コード：trs1055607　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:2●温度センサー:○●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●AC100V●電線種:ソフトンVCT●ニュートビプラグ●漏電遮断器仕様●金属感知機能付●ブレーカー付●コンセント防じんキャップ付●アース付,ハタヤ　メタルセンサー（金属感知機能付）リール　単相１００Ｖ接地付　３０ｍ　MSB301KX：工具箱　楽天市場店,ハタヤ　メタルセンサー（金属感知機能付）リール　単相１００Ｖ接地付　３０ｍ　MSB301KX,【業務用】 オレンジブック2017掲載。ハタヤ　メタルセンサー（金属感知機能付）リール　単相１００Ｖ接地付　３０ｍ　MSB301KX[rn]
30-10962,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs01/trs1055615.jpg?fitin=700:700,37104.8000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　メタルセンサーリール　単相１００Ｖ接地付　３０ｍ　接地抵抗可変式　MSB301KVX,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●鉄筋や金属の埋設管の入ったコンクリートの穴あけ作業など、建物のリニューアル工事に使用されています。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:2●温度センサー:○●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●AC100V●電線種:ソフトンVCT●ニュートビプラグ●漏電遮断器仕様●金属感知機能付●ブレーカー付●コンセント防じんキャップ付●アース付<br><br>【質量】　9.6<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2431　ページ■商品コード：trs1055615　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:2●温度センサー:○●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●AC100V●電線種:ソフトンVCT●ニュートビプラグ●漏電遮断器仕様●金属感知機能付●ブレーカー付●コンセント防じんキャップ付●アース付,ハタヤ　メタルセンサーリール　単相１００Ｖ接地付　３０ｍ　接地抵抗可変式　MSB301KVX：工具箱　楽天市場店,ハタヤ　メタルセンサーリール　単相１００Ｖ接地付　３０ｍ　接地抵抗可変式　MSB301KVX,【業務用】 オレンジブック2017掲載。ハタヤ　メタルセンサーリール　単相１００Ｖ接地付　３０ｍ　接地抵抗可変式　MSB301KVX[rn]
30-10963,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs16/trs3703703.jpg?fitin=700:700,15738.4000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　メタセン（金属感知器）ボックス　１００Ｖ接地付　５ｍ　MB5,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●コンクリート中の金属を感知します。●鉄筋や金属の埋設管の入ったコンクリートの穴あけ作業など、建物のリニューアル工事に使用されています。●電圧が不安定な現場でも確実に動作するセンサー内蔵です。●大型コアドリルを使用する耐震補強工事などに使用されています。<br><br>【用途】<br>●電気工事。●通信工事。●ガス工事。●メンテナンス。●設備工事。●配管工事。●橋梁補強工事。<br><br>【仕様】<br>●電線仕様長さ(m):5●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):10●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:2●温度センサー:-●通電ランプ:-●接地端子:○●2P・3P兼用プラグ:○●電線種:VCT●AC100V●コンセント防じんキャップ付●漏電地絡保護専用●ブレーカー付<br><br>【質量】　1.8<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2431　ページ■商品コード：trs3703703　●電線仕様長さ(m):5●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):10●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:2●温度センサー:-●通電ランプ:-●接地端子:○●2P・3P兼用プラグ:○●電線種:VCT●AC100V●コンセント防じんキャップ付●漏電地絡保護専用●ブレーカー付,ハタヤ　メタセン（金属感知器）ボックス　１００Ｖ接地付　５ｍ　MB5：工具箱　楽天市場店,ハタヤ　メタセン（金属感知器）ボックス　１００Ｖ接地付　５ｍ　MB5,【業務用】 オレンジブック2017掲載。ハタヤ　メタセン（金属感知器）ボックス　１００Ｖ接地付　５ｍ　MB5[rn]
30-10964,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs16/trs3686175.jpg?fitin=700:700,31716.0000,,花・ガーデン・DIY > DIY・工具 > その他,日動　金属センサードラム　１００Ｖ　アース漏電しゃ断器付　３０ｍ　KSEB34,【業務用】 オレンジブック2017掲載,<b>メーカー／日動工業（株）</b><br><br>【特長】<br>●金属に触れてから0.1秒以内で電源が切れます。●コンクリートの湿気による誤作動が激減しました。<br><br>【用途】<br>●建設工事などの現場作業に最適。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:-●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●サイズ(mm):W300×D250×H390●過負荷保護:-●入力(V):100●漏電保護:○●AC100V●電線種:VCT●屋内型●ケーブルとドラムを同時に止める「ドラムストッパー」付●ブレーカー付●側板色:エメラルドグリーン●電線色:黒<br><br><font color=red>【注意】<br>●接地されていない金属や塩ビ管などには反応しません。</font><br><br>【質量】　9.5<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2431　ページ■商品コード：trs3686175　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:-●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●サイズ(mm):W300×D250×H390●過負荷保護:-●入力(V):100●漏電保護:○●AC100V●電線種:VCT●屋内型●ケーブルとドラムを同時に止める「ドラムストッパー」付●ブレーカー付●側板色:エメラルドグリーン●電線色:黒,日動　金属センサードラム　１００Ｖ　アース漏電しゃ断器付　３０ｍ　KSEB34：工具箱　楽天市場店,日動　金属センサードラム　１００Ｖ　アース漏電しゃ断器付　３０ｍ　KSEB34,【業務用】 オレンジブック2017掲載。日動　金属センサードラム　１００Ｖ　アース漏電しゃ断器付　３０ｍ　KSEB34[rn]
30-10965,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,51096.0000,,花・ガーデン・DIY > DIY・工具 > その他,アルインコ　二連梯子　全長６．０５ｍ～１０．１９ｍ　最大仕様質量１３０ｋｇ　SX103D　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／アルインコ（株）住宅機器事業部</b><br><br>【特長】<br>●強度に優れたプロも納得するアルミ製はしごです。●ロープはエンドレス構造でたるまず、じゃまになりません。●安全・安心な大型脚端具を採用しています。<br><br>【仕様】<br>●最大使用質量(kg):130●全長(m):6.05～10.19●正面有効幅:322mm（上はしご）353mm（下はしご）●踏ざん間隔:345mm●踏ざん踏面幅:42mm●Aマーク認定品<br><br>【材質／仕上】<br>●アルミ<br><br>【質量】　26.3KG<br><br>【原産国】　中国<br><br>【2017　オレンジブック掲載】　4 2679　ページ≪メーカー直送品≫■商品コード：trs4555767　●最大使用質量(kg):130●全長(m):6.05～10.19●正面有効幅:322mm（上はしご）353mm（下はしご）●踏ざん間隔:345mm●踏ざん踏面幅:42mm●Aマーク認定品,アルインコ　二連梯子　全長６．０５ｍ～１０．１９ｍ　最大仕様質量１３０ｋｇ　SX103D　　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,アルインコ　二連梯子　全長６．０５ｍ～１０．１９ｍ　最大仕様質量１３０ｋｇ　SX103D　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。アルインコ　二連梯子　全長６．０５ｍ～１０．１９ｍ　最大仕様質量１３０ｋｇ　SX103D　　【代引き不可・配送時間指定不可】[rn]
30-10966,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,68282.4000,,花・ガーデン・DIY > DIY・工具 > その他,ハセガワ　アルミ合金製伸縮式長尺専用脚立　LG10109　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／長谷川工業（株）</b><br><br>【特長】<br>●イベントホール、階段教室、競技場のスタンドなど、段差が大きく天井や壁面が高い場所での高所作業に威力を発揮します。●最大約2mの段差解消ができ、段差の大きい場所での高所作業や壁面作業が行えます。<br><br>【仕様】<br>●最大使用質量(kg):135●天板寸法(mm):-●収納時全長(m):2.65●縮長時ステップ数(天板除く):7●伸長時ステップ数(天板除く):14●最上段高さ(m):2.34～4.34●踏ざん踏面幅:外はしご24mm、内はしご28mm●伸縮ピッチ:305mm●ANSI規格適合品<br><br>【材質／仕上】<br>●アルミ合金<br><br><font color=red>【注意】<br>●脚立の組立は２人以上で行ってください。</font><br><br>【質量】　29.9<br><br>【原産国】　中国<br><br>【2017　オレンジブック掲載】　4 2697　ページ≪メーカー直送品≫■商品コード：trs4343531　●最大使用質量(kg):135●天板寸法(mm):-●収納時全長(m):2.65●縮長時ステップ数(天板除く):7●伸長時ステップ数(天板除く):14●最上段高さ(m):2.34～4.34●踏ざん踏面幅:外はしご24mm、内はしご28mm●伸縮ピッチ:305mm●ANSI規格適合品,ハセガワ　アルミ合金製伸縮式長尺専用脚立　LG10109　　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,ハセガワ　アルミ合金製伸縮式長尺専用脚立　LG10109　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。ハセガワ　アルミ合金製伸縮式長尺専用脚立　LG10109　　【代引き不可・配送時間指定不可】[rn]
